2.1875e-05+6.8978e-06i,-0.00062752+1.4062e-05i,-0.0017547+0.00090251i,-0.0010964+0.0015697i,-0.00043728+0.0022015i,-8.3331e-05+0.0023419i,-0.00084879+0.0020881i,-0.0004232+0.0020591i,0.0011401+0.0013363i,0.0016416+0.0006724i,0.00091845-0.00030569i,-0.00024462-0.00094535i,-0.0010237-0.00081078i,-0.000741-0.00059872i,-0.00032015-0.00034267i,-0.00061375-0.00014944i,-0.0011955+0.00037572i,-0.001678+4.7611e-06i,-0.00072718-0.00073028i,0.00014833-0.00063038i,-0.00017724-0.0001713i,0.00023793+0.00062858i,-9.1034e-05+0.00069342i
0.00044253-0.00094768i,0.0011814-0.001808i,0.0014569-0.0010008i,0.00060416-0.00099089i,0.00026389-0.00090446i,0.00018552+0.00047265i,-0.00017752+0.00022046i,0.00050681-0.0012244i,0.0012182-0.0011817i,0.00020092-0.0011526i,-0.00063597-0.0017867i,-0.00055746-0.0010243i,-0.00032864+0.00034919i,7.4762e-05+0.00011794i,0.00018264+2.9681e-05i,-0.00062158+0.00022369i,-0.0004803-0.00037968i,5.5775e-05-3.2243e-05i,-4.3627e-05+0.0007367i,-0.00021688+0.00053007i,0.00020718-0.00040034i,0.001001-0.00072041i,0.00068269+0.00061459i
0.0013535-0.00022407i,0.0019942-0.001071i,0.0020151-0.00054871i,0.0021742+0.00023173i,0.0023445+0.00031187i,0.0014912+0.00097098i,0.0010831+0.0011905i,0.00091086+0.00081391i,0.0003085-3.9596e-05i,6.3285e-05-0.0015296i,-4.1454e-05-0.0022834i,0.00011412-0.0013137i,-8.0293e-05-0.00015766i,-5.7404e-06-0.00027087i,0.00089999-0.0013634i,0.00051883-0.0014309i,-0.00069197-0.00020152i,-0.00073364+0.00029615i,0.00017738+0.00034517i,0.00046778+0.00043423i,-0.00028599+0.00062065i,-0.0011287+0.00045134i,-0.00071445+0.00078026i
-0.0014113-5.1531e-05i,-0.0015265-0.00033526i,-0.00041298+0.00045583i,0.00054979+0.0012567i,0.0010644+0.00083517i,0.0010601-0.00014536i,0.00097146-3.1334e-05i,0.00048771+0.00035802i,0.00042451-0.00029892i,0.0010048-0.00097393i,0.00047826-0.0011942i,-0.00032391-0.001162i,-1.5568e-05-0.00079704i,-2.9323e-05-0.00038198i,-0.00053908+0.00018795i,-0.00043719-0.00044435i,-5.5229e-05-0.00092946i,0.0001499-0.00083791i,-0.00022177-0.00049394i,-7.4313e-05+0.00043275i,0.00039462+0.0011008i,0.00025797+0.00081897i,-0.00030741+0.00049075i
-0.00058449+0.00051133i,-0.00035487+0.00081307i,0.0011359+0.0013138i,0.0022847+0.0010423i,0.0018588+0.0013818i,0.0013849+0.0010633i,0.0019204+0.00032223i,0.0025708+0.00053912i,0.0021597+0.00019051i,0.00083104-0.0010875i,0.00059828-0.0014048i,0.00053587-0.00023633i,0.00010586+0.00034151i,0.00030583-0.00021247i,0.00039015-0.00061519i,7.0603e-05-0.00035939i,-0.00041961-0.00028431i,-0.00025066-0.00073458i,-0.00013389-0.00065771i,-0.00026431-3.9334e-05i,-0.00029531+0.00033748i,-0.0002082-0.00012232i,-0.00014637-0.00026821i
9.257e-05+0.0011626i,9.4356e-05+0.0011538i,0.00049657+0.0012552i,0.0024069+0.0021029i,0.0030285+0.0016967i,0.0015188+0.00033855i,0.00060325-0.00021069i,0.00081657-0.00018473i,0.0011673-0.00012587i,0.00036198-0.00055969i,-0.00047848-0.00023599i,-1.7342e-05-0.00031615i,0.00052787-0.0010043i,0.00079669-0.0010276i,0.00075145-0.0012342i,0.00082726-0.0011091i,-0.00028535+0.00042337i,-0.001157+0.0014085i,-0.00058038+0.0010626i,-0.00020055+0.00045335i,0.00027536-0.00011199i,0.00086432+0.0004368i,0.00015238+0.00092518i
-0.0025822+0.0012851i,-0.0017207+0.0010204i,0.00051086+0.002012i,0.0026173+0.0023202i,0.0036646+0.0010853i,0.0027267+0.00082429i,0.0010495+0.0011377i,0.0001887+0.0014353i,0.00071451+0.00095432i,0.00092664+0.0003464i,-0.0001649-0.00084715i,-3.8934e-05-0.001971i,0.00043544-0.0022456i,6.9498e-06-0.0018552i,-0.00039025-0.0014136i,-0.00062768-0.00052394i,-0.0010684+0.000439i,-0.0010048+9.3374e-05i,-0.00039474-0.00034179i,0.00062613+0.00011955i,0.00064104+0.00014939i,0.00025582-5.6024e-05i,0.0003371+1.7769e-05i
0.0012169+0.0021991i,0.00139+0.0011821i,0.0028383+0.001445i,0.0038752+0.0011117i,0.0038778-0.00097921i,0.0028185-0.0014567i,0.0018126-1.1994e-05i,0.0022038+0.00050505i,0.0021982-0.00021026i,0.00095959-0.00091977i,0.00035544-0.00089101i,0.00039673-0.00021089i,-5.744e-05+0.00054509i,-0.00058806+0.00044397i,-0.00045899-0.00039479i,-0.00057314-0.00094053i,-0.0006838-0.00063344i,-0.00065238-0.00057904i,-0.00038139-0.00076551i,3.06e-05-0.00049936i,0.00038489-0.00013536i,-0.0003007+7.0763e-05i,-0.0001853+0.00030185i
0.0012159+0.00076951i,0.00052508+0.00043829i,0.0021485-0.0001571i,0.002088+3.9294e-05i,0.00069147-0.00016146i,0.00090199+0.00014349i,0.0014127+0.00041484i,0.0013278-3.8208e-05i,0.0011352-0.00071961i,0.0010673-0.0018684i,0.00096408-0.0011614i,0.00046815+0.00052042i,-0.00031446+0.00063385i,-0.00097449+0.00044343i,-0.001162-0.00038315i,-0.00075823-0.00067202i,-0.0010385-1.9142e-05i,-0.0012071+0.00035627i,-0.00078214+0.00064749i,-0.00043807+0.00071577i,-0.00067851+0.00036576i,-0.00047479-0.00071481i,0.00047391-0.0009381i
-0.00018088+0.00060269i,-2.4861e-05+3.9031e-05i,0.00044241-6.2824e-05i,0.0018504+0.00060041i,0.0029431+0.0007687i,0.001734-0.00013943i,0.00086896+9.7908e-06i,0.0010312+0.00055708i,0.0013507-9.0114e-05i,0.0013696-0.00054747i,0.00061981-0.00031945i,4.6542e-06-0.00033461i,-0.00027694-5.9612e-05i,0.00024826+0.00011432i,0.00045451-0.00036121i,-0.00021719-0.00051565i,-0.00050944+0.00031321i,-0.00088699+0.00010429i,-0.0014171-0.00081067i,-0.00096793-0.00068246i,-0.00015566-9.174e-06i,-0.00060519+0.00051737i,-0.00041171+8.7802e-05i
1.3755e-06+7.242e-05i,0.00077525+0.00058471i,0.0019633+0.00079427i,0.0025274+0.00033875i,0.0021493+4.6749e-05i,0.0011943+0.000474i,0.00065013+0.00044446i,0.0003059+0.00030307i,0.00064897-0.00070114i,0.00051014-0.0016819i,-1.0815e-05-0.0011472i,7.0523e-06-0.00098865i,0.00011169-0.00075398i,0.00032363+2.0962e-05i,6.9778e-05+6.0658e-06i,-0.00028902-0.00044303i,-0.00018144-0.00070013i,6.1683e-05-0.00076428i,-0.00052522-0.0001587i,-0.00078415+0.00036688i,-0.00072567+0.00019082i,-0.0013389-0.00010617i,-0.0018762-0.00049532i
6.6515e-05+0.0017621i,-0.00072862+0.0012986i,0.00050034+0.0014607i,0.0027255+0.0017802i,0.003706+0.0013095i,0.0029249+0.00012741i,0.0014361+5.2239e-05i,0.00049047-0.00020561i,6.1166e-05-0.00075731i,0.00052768-0.0011218i,0.00098514-0.00050385i,-0.00021745+0.00010129i,-0.0014851-0.00048403i,-0.00092173-0.00036594i,-0.00013254-0.00063851i,-0.00027568-0.00092006i,4.1786e-05-0.00031264i,0.0003456+0.00048613i,0.00069871+0.00076454i,0.0011151+0.00082209i,0.00036722+0.00038605i,-0.00020118-0.00072857i,-0.00037628-0.00040038i
0.00041407+0.0010923i,-0.00015636+0.0011544i,-0.00030442+0.0018195i,0.00073481+0.0016305i,0.00071927+0.00099624i,0.0012266+0.00073656i,0.0023187+0.0011445i,0.0022618+0.0014123i,0.0024013+0.00038312i,0.0018764-2.7902e-05i,-0.00025886-3.1549e-05i,-0.0011664-0.00053403i,-0.00037268-0.00066683i,0.00077057-9.1936e-05i,0.00069818+4.1132e-05i,-0.00031272-0.00022306i,-0.00068069-7.4842e-05i,-0.00095171+0.00062638i,8.8976e-05+0.00073104i,0.000781+0.00078362i,6.7775e-05+0.0010607i,1.3299e-05+0.00059689i,-0.00010972+0.0001531i
-0.00027283-1.5532e-05i,-0.00052316-0.0009915i,3.0642e-05-0.0016759i,0.0016507-0.00083131i,0.0023324+0.00041134i,0.0020704+0.00085758i,0.0017374+0.00031691i,0.001447-0.00090306i,0.00093739-0.0014031i,0.00033862-0.0017142i,-0.00062211-0.0014956i,-0.0011337-9.4663e-05i,-0.00088493+0.00035629i,-0.000422-0.00021616i,0.00016564-0.00011213i,0.0006837-0.00019105i,0.00041863-0.00056341i,-0.00019323-0.00027534i,-0.00031057+0.00046667i,-8.6505e-06+0.00023356i,0.00029573-0.00015218i,0.00084727-0.0002101i,0.00079781+0.00042526i
-0.00024012+0.00098256i,-0.00043046+0.00081603i,0.00033589+0.00070633i,0.0011543+4.1905e-05i,0.0016648-0.00015396i,0.001657+0.00056874i,0.0018138+0.0010577i,0.0015514+0.00031283i,0.00075335-0.00054226i,5.8979e-05-0.00017538i,-0.00061135+0.00069282i,-0.00032283+0.00075357i,0.00055623-0.00013784i,0.00034474-0.00085556i,-0.00032317-0.00081523i,-7.8154e-05-0.00056724i,3.5663e-05-0.00042707i,-0.00015734-5.3191e-05i,0.0001263+0.00039815i,0.00022051+0.00031025i,-0.00042846+7.3819e-05i,-0.00090546+0.00031385i,-0.00014206+0.00087727i
0.00045795+0.00085026i,0.0012945+1.3766e-05i,0.00214+0.00089364i,0.0027025+0.0022179i,0.0024076+0.0013782i,0.0018582+0.00068308i,0.0020582+0.00093595i,0.0022626+0.00011337i,0.0024638-0.0011877i,0.0019758-0.00089054i,0.00090224-0.00051992i,0.00020241+5.1189e-05i,-0.00062105+0.00061293i,-0.001345+0.00032038i,-0.0010768-6.9684e-05i,-0.00042583+2.6978e-05i,-0.00050718+0.00041687i,-0.00045718+0.00013278i,4.1544e-06+6.8561e-05i,-0.00035631+0.00048337i,5.932e-05+6.2318e-05i,0.00096158-0.00026802i,0.00090138-0.00071111i
2.5603e-05-0.00054033i,-0.00014704-0.00038794i,0.00061791-0.00020029i,0.0014827+0.00074277i,0.0021635+0.0013876i,0.0021943+0.00081358i,0.0012437+7.1732e-05i,0.00097669-0.00042656i,0.00038381-0.0014649i,-0.00015798-0.00267i,4.7147e-06-0.0022999i,-0.00019726-0.00092352i,-0.0010095-0.00045953i,-0.0010812-0.00020013i,-0.00042616+0.00038805i,-0.00041864-0.0003654i,-0.00091317-0.00076243i,-0.0017312+0.00026011i,-0.0014787+0.00080221i,-0.0011944+0.00086878i,-0.0014593+0.00061847i,-0.0011214+0.00032501i,-0.00018102+1.8353e-05i
0.0013804-0.00040728i,0.0013932-0.00022107i,0.0014781-0.0003631i,0.0014268+0.00097815i,0.00070163+0.0012171i,0.00040411-6.2229e-05i,0.0012323-0.00011481i,0.0015693-0.0003465i,0.0016129-0.00075121i,0.00081539-0.0005671i,-0.00021785-0.00044117i,-0.00047835-0.00010688i,-0.0002311+0.00033895i,2.9659e-05+0.00046326i,0.00015421+0.000241i,0.0003118-3.9394e-05i,2.5879e-05-0.00014847i,-0.00039011-0.00053579i,-0.00043196-0.00053088i,-0.0004041-0.00025595i,-0.00030878-0.00021626i,-0.00057731-0.00038958i,-0.00056048-0.00086521i
0.00034472+0.0014793i,0.00024137+0.0010541i,0.0010582+0.00026667i,0.0028154-0.00017774i,0.0029872-0.0004496i,0.0014813-0.00012596i,0.00069543+0.00082495i,0.00078413+0.00096643i,0.0012411-0.00027816i,0.0015294-0.0015647i,0.00088708-0.0014093i,0.00044389-0.00025449i,2.7805e-05+0.00030735i,-0.00036981+0.00027987i,-7.8725e-06+0.00015277i,0.00030706-0.00010341i,0.00042842-0.00018551i,9.5828e-05+3.6626e-05i,2.9024e-05+0.00035725i,-0.00033282+0.00014239i,-0.00063307-7.1089e-06i,-1.7619e-05+0.0004646i,0.00036316+0.00055576i
0.0015239+0.0012543i,0.0019925-1.0178e-05i,0.0022431-0.0014534i,0.0027246-0.0012763i,0.0020049-0.00065885i,0.0014563-0.00066038i,0.001513-0.00033138i,0.0015434-0.00013935i,0.0018475-0.0010206i,0.0011212-0.00064993i,0.00027671-1.0234e-06i,-0.00035072+0.00026566i,-0.0006218+0.00049045i,-0.00077723+0.00027426i,-0.0010165+0.00023608i,-0.0010962+0.00020211i,-0.0010358+0.00019611i,-0.00044441+0.00040066i,-0.00013965+0.00082785i,0.00010605+0.00093184i,0.00052558+0.0011739i,0.00065942+0.0015009i,-0.00012941+0.00036054i
-0.0001352-0.00047845i,-0.00042202+0.001041i,0.00048302+0.0027436i,0.0026843+0.002096i,0.0035243+0.0013926i,0.0027708+0.00067484i,0.001772+0.00059602i,0.0012629+0.00019138i,0.0016772-0.00043741i,0.0017798-0.00053704i,0.00092463-0.00083756i,0.00017781-0.00035812i,4.5044e-05+1.5181e-05i,0.00025292+8.311e-05i,-0.00019212+0.00032621i,-0.00094615+0.00027112i,-0.0014911-0.00024274i,-0.0013632-0.0011928i,-0.0008569-0.0014708i,-0.00031471-0.00060124i,0.0010445+0.000453i,0.0016851+0.00036616i,0.00081656-8.0175e-05i
0.00054062-0.00071426i,0.00028804+0.00057111i,0.0010709+0.0010829i,0.0024472+0.00051948i,0.0021154-0.00047731i,0.0011246-0.00042037i,0.0011286+0.00033598i,0.0011977-0.00017862i,0.0011977-0.0010501i,0.00095458-0.00090561i,0.00059317-0.00061118i,0.00043791-0.00047123i,0.0007466-0.00027319i,0.00068829-0.0005023i,0.00028723-0.00086452i,-0.00064744-0.00060031i,-0.0011184-0.00084446i,-0.0004925-0.0010463i,-0.00011816-0.00010149i,-5.9127e-05+0.0008748i,2.0713e-05+0.00034641i,-0.00047351-0.00066568i,-0.0003617-0.00049494i
4.9095e-05-0.00032962i,0.00097314-0.00019283i,0.0011817+0.00070628i,0.0015169+0.0015081i,0.0022478+0.0011358i,0.0018873+0.00057779i,0.0013791+0.00058556i,0.00086126-0.0001235i,0.000695-0.00078995i,0.0001849-0.00091673i,-0.00022251-0.00078205i,-0.00058268-0.00019859i,-0.00088584-0.00042405i,-0.00067508-7.9719e-05i,-0.0007604-6.0354e-05i,-0.00049623+0.00010261i,7.5954e-05+0.00038216i,6.8442e-05-3.5169e-05i,-0.00036527+0.00016541i,-2.0913e-05+0.00066587i,0.00021415+0.0010588i,-0.00038515+0.0011551i,-0.001405+0.0011019i
-0.00064303-0.001726i,-0.00052516-0.00042178i,2.9857e-05+0.00080655i,0.00032569+0.0013477i,0.00026584+0.0014049i,0.00032525+0.00096053i,0.00064301+0.00032917i,0.00098923-0.00025422i,0.00081789-0.0010087i,0.00050295-0.000546i,6.6685e-05+0.00017743i,-0.00034869-0.00038947i,6.8453e-05-0.00090552i,0.00013058-0.00033614i,-0.00021967+2.9063e-05i,-0.0005955-0.00031088i,-0.0012675-0.00032846i,-0.00086267-0.00018798i,-0.00022182-0.00038105i,0.00011389-0.00010151i,0.00023029+0.00024656i,-0.0001599+5.717e-05i,-0.00023554+0.00040508i
0.00026629+0.00023641i,0.00019048+0.00026979i,-0.00027199+0.00059634i,0.00071183+0.00031366i,0.0020067+0.00029644i,0.0017222+0.0005974i,0.00091639+0.0010519i,0.00079454+0.00082722i,0.0014557+0.0003453i,0.0015548-2.6017e-05i,0.00088163-0.00099226i,0.00055104-0.0012822i,0.00030895-0.00073121i,-0.00028566-0.00051224i,-0.00085072-0.0003102i,-0.00089813-0.00030704i,-0.00061212-0.00024673i,-0.00059387+6.3746e-05i,-0.00055059-0.00010503i,-0.00072035-0.00088263i,-0.0011644-0.001127i,-0.00064783-0.00031594i,0.0001857+0.00058563i
0.00016285+0.00073355i,-0.00056396+0.0015166i,-0.00032133+0.0018536i,0.00099143+0.0014024i,0.0014063-0.0004681i,0.00049443-0.0010298i,-0.0002645+0.00019858i,0.00010506+0.00033021i,0.0011228-0.00067712i,0.0010103-0.00096738i,0.00022975-0.00069977i,-0.00014145-0.00058419i,-0.00019345-0.00088104i,8.5866e-05-0.00078434i,0.00022008-0.00024533i,0.00011019-0.00063318i,0.0002038-0.0011095i,0.00051668-0.00082414i,6.0682e-05-0.0003285i,-0.00039712+0.00049816i,-0.00034912+0.0012046i,-0.00051808+0.0014521i,-0.00070734+0.0012654i
0.00078527-0.00045004i,0.00045337+1.2096e-06i,0.00064002+0.00059918i,0.0018937+0.00069898i,0.0019288+0.00022038i,0.0010537+0.00012405i,0.00057426+0.00050771i,0.00088008+6.2202e-05i,0.0006375-0.00098711i,0.00062177-0.0015967i,0.00055548-0.0018029i,0.00072482-0.0016965i,0.0011578-0.00018869i,0.00031319-3.3872e-05i,-0.00040333-0.00063055i,-0.00031904-0.00054291i,-0.00078331-0.00017687i,-0.0011718-0.00031346i,-0.00043525-0.00016804i,0.00027921+0.00050453i,8.4788e-05+0.00043122i,-0.00020216+0.00055696i,-0.00049002+0.00056607i
-0.00040844+0.00214i,0.00063775+0.0022587i,0.002374+0.0026069i,0.0043274+0.0022424i,0.0050837+0.0010612i,0.0040741+0.00020519i,0.0024683+0.00036505i,0.0023182+0.00028292i,0.0028902-0.00019631i,0.0020402-0.00032784i,0.0006847-0.00089057i,0.00024512-0.00072238i,-9.0546e-05-0.00024002i,-0.00080847-0.00075723i,-0.00073433-0.00022174i,-0.00019658+0.0001912i,-0.0010053-0.00048684i,-0.0014584-0.00034204i,-0.00092071+0.00028347i,-0.00044376+0.00055788i,1.648e-05+0.0004271i,-0.00014208+0.00034848i,-0.00028485+0.00022249i
-0.001567+3.4712e-05i,-0.0017874+0.00096329i,-0.0011869+0.0013552i,0.00051532+0.0018783i,0.0022993+0.0020703i,0.0025402+0.0017886i,0.0012177+0.00095056i,0.0012056+0.00050325i,0.0012016+0.0002368i,0.00030705-0.00033154i,-0.00038449+0.00025691i,-0.0005188+0.00047554i,-0.0002795-0.00062703i,-0.00027097-0.00097589i,-0.00030329-0.00088035i,-0.00038356-0.00044328i,-0.00058403+0.00050278i,-4.7739e-05+0.0011141i,2.9411e-05+0.0010814i,-0.00020544+0.00066271i,-0.00018853+0.00089709i,-0.00044743+0.00070203i,-0.00046775-0.0001336i
0.00098886-0.0004635i,0.00045479-0.00060358i,0.00021554-0.00064771i,0.00092475-0.00071983i,0.001134-0.00059451i,0.00042854-0.00030164i,0.00035613+0.00053591i,0.00099333+0.00077457i,0.0011477-0.0001522i,0.0010015-0.0012053i,0.00085594-0.0015315i,0.00031092-0.00061151i,0.0008839+1.3044e-05i,0.0013737-0.00060214i,0.00040645-0.00088661i,-0.00034545-0.000369i,-0.00096103-0.00013752i,-0.00055638-0.00053402i,5.7719e-05+0.00037319i,-0.00066104+0.00080012i,-0.00070501+0.00040879i,-0.00041681+0.00035666i,-9.3782e-05+7.2653e-06i
0.00060998-0.00043941i,0.0008616+0.00044277i,0.0012243-0.00057352i,0.0022337-0.0010435i,0.001841-0.00016655i,0.00095966+0.00086545i,0.00087918+0.00072336i,0.0014111+3.7186e-05i,0.0022282-0.00059535i,0.0016631-0.00095157i,0.00062375-0.00043112i,0.0001659+0.0003077i,-6.2208e-05+0.00065848i,0.00032782+0.00074501i,0.00043358+0.00023041i,-0.00053153-0.00059028i,-0.0008015-0.00042285i,-0.00040393+0.0001586i,0.00012288+0.00071471i,-1.6271e-05+0.0010451i,-1.3724e-05+0.0010592i,5.6648e-05+0.00014314i,0.00062721-0.0002085i
-0.00067451+0.00054278i,-0.0001772+0.00017367i,0.00089304-0.00020589i,0.0020548-0.00043197i,0.0013989-0.00097566i,0.0014123-0.0013821i,0.0021235-0.00024602i,0.0023113+0.00018891i,0.0013504-0.00063036i,0.000616-0.00088208i,0.00090226-0.0006738i,0.00086155-0.00058142i,0.00068516-3.0454e-05i,0.00063462+0.0005135i,0.00036885+0.00066925i,0.00015131+0.00099523i,-9.9211e-05+0.00057198i,-0.00041282-0.00061542i,-0.00048078-0.00089977i,-0.00051399-0.0002064i,6.4468e-05-0.00010023i,0.00036926-7.9849e-05i,2.0015e-05-0.00015178i
-0.00041132-0.00023949i,-0.0010431-0.00014493i,-0.00093919+0.00017234i,0.00010807+0.0014142i,0.00079441+0.0014257i,0.00048165+0.0011073i,0.00065131+0.00067471i,0.0014598-0.00037888i,0.0017999-0.0011944i,0.0014448-0.00089891i,0.00019762-0.00065952i,-0.00028997-0.00050257i,1.5395e-05-0.00012564i,-0.00032179-0.00016067i,-0.00054096+4.1576e-05i,-0.00070759-0.00068402i,-0.00059058-0.0016036i,-0.00060412-0.00053439i,-0.00080724+0.00034615i,-4.1575e-05+0.00020273i,0.00022049+0.00022742i,3.5094e-05+0.00049419i,-0.00045144+0.00052907i
