-0.0045691-0.00059405i,-0.0050556-8.012e-05i,-0.0046594+0.0017855i,-0.0021216+0.0019075i,-0.00018794+0.0028596i,6.8521e-05+0.003608i,-0.0002996+0.0027979i,-2.1115e-05+0.0018325i,0.00054883+0.0012121i,0.00042359+0.00030959i,0.0010342-1.4361e-05i,0.00098273-0.0010922i,-0.00015615-0.0022095i,-0.0013226-0.0013164i,-0.0020316-0.00095355i,-0.0011193-0.0016152i,0.000202-0.0017168i,0.00057029-0.001305i,0.00034394-0.00033512i,0.00013288+0.0001732i,0.00084742-0.00020361i,0.00091166-0.0011023i,0.00018365-0.0016745i
-0.00041713-0.0016629i,-0.0015933-0.0016059i,-0.001379-0.00092656i,-0.00098744-0.00053223i,-0.00071507-0.00017195i,-0.0005495+0.00077331i,-0.00037579+0.00059352i,0.00014535+0.00022369i,-0.00023494+0.00054055i,-0.00059087+0.00029074i,-0.00076183-0.0003485i,-0.00024508-0.00034219i,0.00033626+0.00040625i,2.7896e-05+0.0002574i,-0.00017435-0.0004833i,0.00013653-0.00011049i,0.00044455+0.00077417i,0.0002463+0.00055419i,0.00060429+0.00020277i,0.00051863+4.6019e-05i,0.0002412-0.00014321i,0.00048724-5.7503e-05i,0.00053617+2.9476e-05i
0.001139-0.0013627i,0.00097102-0.002317i,-0.00044171-0.0025679i,-0.0012319-0.0014821i,-0.0010625-0.00046105i,-0.00082265-0.00030975i,-0.00099042+9.5782e-05i,-0.00073615+4.9269e-06i,-6.6997e-05-0.00079448i,0.00046018-0.00080747i,0.0011316-0.00038482i,0.001479+4.1474e-05i,0.0013997+0.00039726i,0.0017435+0.00064366i,0.0013807+0.00076541i,-4.5161e-05+0.00014813i,-0.00032959-0.0001414i,0.00051603+0.00032311i,0.0007143+0.00039654i,0.00092807-0.00014877i,0.00075823-0.00069541i,0.00075666-0.00053893i,0.00052297+0.00036264i
-0.0015051-0.0012752i,-0.0025636-0.0010212i,-0.0023973-0.00032294i,-0.0010105-5.9731e-05i,0.0003353+4.8548e-05i,0.00051296+0.00070403i,-0.00013574+0.00096982i,-0.00046285-0.00011196i,-0.00016397-0.00022236i,0.0004319+0.00045757i,0.0003861+0.00038371i,-0.00010286-0.00013893i,6.2885e-06+0.00020069i,0.00017043-6.6917e-05i,-0.0005469-0.00061461i,-0.00034627-0.00020402i,0.00036867-0.00046742i,0.00025704-0.00024482i,-0.00013394+0.00033496i,6.2308e-05+0.00012332i,0.0010408+0.00055186i,0.0006659+0.00041194i,-0.00012851-0.00080556i
0.0007521-0.00032778i,0.0010769-1.2406e-05i,0.001512+0.00024729i,0.00086469-0.00026954i,2.0396e-06-0.00077302i,-0.00068063-0.00017515i,-0.00089471+0.00039646i,-0.00084435+0.00045549i,-0.0009004+0.00033404i,-0.00068165+8.489e-05i,0.00019379+0.00053658i,2.6054e-05+0.0010895i,-0.0013308+0.0008376i,-0.00092627-0.00041602i,0.00011541-0.00098946i,3.0491e-05-0.00033922i,4.6141e-05+0.00021807i,-0.00023083+0.00025039i,-5.0011e-05-0.00011135i,0.00049722-0.00015574i,0.00035473+0.00096633i,-1.0272e-05+0.0013142i,0.00058847+0.00046011i
-0.0013658-0.0031708i,-0.0013807-0.0032562i,-0.0013007-0.0019271i,-0.00064851-0.0007396i,0.00016073+9.0372e-05i,0.00057873+0.00050557i,0.00041765+0.0004287i,-0.00014102-0.0001013i,-0.00061804-0.00060979i,-0.00059586-0.00050523i,-0.00084926-0.00087236i,-0.00090399-0.00071566i,-0.0009244+0.00018997i,-0.00053885+3.0299e-05i,0.00023491+0.00028788i,0.00030497+0.00072075i,3.1347e-05-4.6364e-05i,0.00021793-0.0002134i,0.00045446-0.00017023i,0.00066889-0.00052426i,0.00075125+7.5905e-05i,0.00035123+0.00045779i,9.1365e-05+6.5062e-05i
-0.00053372-0.0017736i,-0.0012494-0.0018351i,-0.001636-0.00060223i,-0.0018373+0.00016832i,-0.0012076+0.00025991i,-0.00047429+0.00078394i,0.00037674+0.00038388i,0.0012846-0.00016293i,0.0015093+0.00020888i,0.0009894+0.0010667i,2.7962e-05+0.001353i,-0.00086002+0.00011601i,-0.00065006-0.0011457i,-0.00022637-0.00080442i,-0.00038656-0.00060064i,-3.42e-05-0.00079426i,0.00060287-0.00029711i,0.00040121+0.00067558i,3.3231e-05+0.00086797i,0.00021238+4.632e-05i,0.00021291-0.00041868i,-0.00031192-0.0001997i,-0.00069295-0.00043108i
-0.0014057-0.0010192i,-0.0012554-0.00069227i,-0.0013009-0.0007588i,-0.00084931-0.00051631i,-0.00031875-0.00075659i,0.0002627+0.00012625i,0.0007662+0.00072679i,0.00022105-7.0914e-05i,-0.00074679-0.00080207i,-0.00090101-0.00099421i,-0.0011252-0.0005929i,-0.0011954-0.00047627i,-0.00019475-0.00037146i,-0.00030212-3.0334e-05i,-0.00082738+1.154e-05i,0.00035144+0.00019306i,0.0008685-4.4195e-06i,0.00052766-2.5549e-05i,0.00037079+0.00034676i,0.00038446+0.00063604i,0.00054137+0.0010048i,0.00031142+0.0011694i,0.00021172+0.00074175i
-0.00021466-0.00066519i,-0.0011869-0.0011841i,-0.0018192-0.0012749i,-0.00046679-0.00089504i,0.00076197-0.0010028i,0.000531-0.00023269i,0.00034991+0.00096404i,0.00055891+0.00069075i,0.00038208-0.00041606i,0.00034549-0.0011106i,5.351e-05-0.00065218i,-0.00015664-0.00015839i,-3.651e-05+0.0001138i,0.00036818+0.00021722i,0.0011077-0.00034184i,0.0013494-0.00054524i,0.00087163+3.7022e-05i,0.00043236-3.4099e-05i,-0.00033193-0.0006733i,7.5456e-05-0.00078782i,0.00086563-0.00027263i,-3.1157e-05+4.9142e-06i,-0.00028977-0.00012762i
-0.00052208-0.00051917i,-0.00095228-0.00045967i,-0.00023708+3.1334e-06i,0.00072601+9.6875e-05i,0.0011853-0.00039241i,0.00091062-0.0007064i,-0.00026682-0.00012987i,-0.00025098+0.00071304i,0.00033643+0.0012005i,0.00023844+0.00047045i,-0.00042168-0.00031455i,-0.00090806-0.00064205i,-0.00027525-0.00025997i,0.00038804+0.00073298i,-0.00016505+0.00027575i,-0.00029941-0.00038314i,-0.00041145-0.0002194i,-0.0011146-0.00024214i,-0.0010503-0.00028454i,-0.00044438-0.0001466i,0.00032284+0.00015087i,0.00036323+0.00036275i,-0.00011749+0.00045294i
-0.0007543-0.0024149i,-0.0018589-0.0030144i,-0.0020879-0.0024797i,-0.00051419-0.00025331i,0.00050125+0.0017817i,0.00083697+0.001951i,0.001169+0.0011856i,0.00078461+0.00087608i,0.00030099+0.00049092i,-0.00052972+8.8875e-05i,-0.0011921-3.3342e-05i,-0.00060988+0.00022271i,0.00041631-0.000171i,0.00090802+0.00031146i,0.00081088+0.00086973i,0.00063384+0.00022767i,0.00020151-0.00037639i,-0.00022478-0.00036714i,-7.3741e-05+9.0126e-05i,0.00010307+0.00089806i,5.0397e-05+0.00099058i,0.00032708+0.00017067i,0.00035714-0.00042011i
-0.00055488-0.0014115i,-0.001838-0.0016587i,-0.0021511-0.0013215i,-0.0012836-0.00048157i,-0.0004937-0.00028098i,-0.00014461+7.7672e-05i,6.9702e-05+0.00075113i,-0.00019977+0.00081918i,-0.0008707+0.00066651i,-0.0013981+0.00031536i,-0.001127+2.9955e-05i,-0.00031831-0.00027976i,0.00037744-0.00051948i,0.00033715-0.000223i,7.4301e-05+0.00058579i,-0.00018287+0.0010689i,-0.00025352+0.00087777i,-2.6052e-05+0.0010283i,-0.00012878+0.00051767i,0.00020825-0.00043901i,0.00060234-0.00018397i,0.00010977+0.00065446i,-4.663e-05+0.00068118i
-0.00028755-0.0019939i,-0.00021175-0.00277i,-0.00099665-0.0029375i,-0.00074201-0.0015323i,0.00025302-0.00040007i,0.00078942+0.00040573i,0.00067553+0.00035242i,0.00041246+0.00024934i,-0.00011811+0.0004541i,-0.00055816+0.00060029i,-2.3749e-05+0.0006724i,5.7599e-05+0.00026097i,-0.00037542-0.00061806i,-0.00036793-0.0011279i,0.00034432-0.00091195i,0.00085262-0.00032167i,0.00052482-0.000219i,0.00013062-0.00015019i,1.2886e-05+0.00058305i,-2.8719e-05+0.00055485i,-0.00034906+7.434e-05i,-0.00029507+0.00033411i,-0.0004025-0.00012487i
-0.00086483-0.00012369i,-0.0016103-1.9778e-05i,-0.0009418+0.00046004i,0.00055156+0.00077428i,0.0019762+0.00067684i,0.001294+0.00032562i,-0.00039749+0.00021948i,-0.00062703-0.00039776i,-0.00055134-0.0013571i,-0.00024042-0.0015165i,0.0004459-0.0011513i,0.00056568-0.00067198i,-0.00033377-0.00014097i,-0.00036789-0.00038451i,0.00044926-0.00074189i,-0.00014315-0.00025707i,-0.00031753+0.00046857i,9.4865e-05+0.00028201i,7.779e-05-0.00018055i,0.00045333+0.00031926i,0.000502+0.00057345i,0.00040775+0.00017731i,0.00035118+0.00031923i
-0.0019043+0.000153i,-0.0026321+0.0002753i,-0.0026664+0.00051757i,-0.0015174+0.00077679i,-0.00060596+0.0012815i,-0.0005285+0.00084208i,-0.00082429-2.9509e-05i,-0.0013768-0.00031224i,-0.00095113-0.00035156i,0.00010807-0.00055044i,5.6161e-05-0.00039887i,-0.00042512-0.00039125i,-0.0003904-0.001072i,-0.00010246-0.0014689i,-0.00051405-0.0011008i,-0.00034312-0.00079791i,-0.00030286-0.00096454i,-5.0606e-05-0.00045487i,0.00015413+0.00045378i,-0.00060359+0.00049514i,-0.0010805-0.00012507i,3.8955e-05-0.0010867i,0.00093362-0.00090476i
0.00015143-0.0021159i,4.7852e-05-0.0019661i,7.9592e-05-0.001234i,0.00050129-0.00064113i,0.00049276-9.9807e-05i,0.00030879+0.0010278i,0.00049823+0.0015334i,0.00043236+0.00012387i,0.00022865-0.00074715i,6.1954e-05-0.00044019i,-0.00043173-0.00075515i,-0.00020279-0.001183i,0.00010372-0.00047871i,8.8807e-06-0.00025875i,0.00060839-0.00029605i,0.0010899-6.4465e-05i,0.00070239-0.00028665i,0.00019599+0.00016769i,-0.00026502+0.00051913i,-0.00032743+0.00010631i,0.00011637-0.00016908i,0.00022467-0.00023787i,-0.00021195+0.00047341i
-0.0012785+0.00063409i,-0.0014625+0.0003592i,-0.00026731+0.00084588i,0.00074956-0.00011795i,0.0011751-0.0014698i,0.00052927-0.0016476i,0.00046217-0.00087227i,0.00070912-0.00032715i,0.00053293-5.1407e-05i,0.00022145+0.0007301i,-0.0002834+2.83e-05i,-0.00063908-0.00095773i,-0.00020133-0.00023909i,0.0007717+0.00053621i,0.00050006+0.00096518i,-0.00046548+0.0011592i,7.3427e-05+0.0012736i,0.00072245+0.00064041i,0.00078986+0.00020018i,0.0002093+0.00033039i,-4.032e-05+0.00018207i,0.00022491+0.00035495i,0.00025954+0.00029119i
-0.00090522-0.0016486i,-0.0012202-0.0014889i,-0.001351-0.00026033i,-0.00067669+0.00017187i,0.0004228+0.00018444i,0.00086432+0.00037449i,0.00020905+0.0010498i,-0.00052852+0.00064436i,-0.00020826-0.00012133i,-5.661e-05+0.00034485i,-0.0007848-0.0001133i,-0.00086639-0.001005i,-0.0003524-0.00088121i,2.0068e-05-0.00044921i,0.00016751-0.00038869i,0.00014579-0.00073433i,0.00024102-0.00050895i,0.00035547-8.2945e-05i,-1.5339e-05+0.00035058i,2.9055e-05+0.00013999i,-0.00022536+6.6852e-05i,-0.00080095+0.00048974i,-0.00040099+0.00059764i
1.9795e-05-0.0017168i,-0.00073642-0.001885i,-0.0014148-0.00071739i,-0.00049999+0.00014732i,-0.00048695+0.00087953i,-0.00081735+0.00083664i,0.00015744+0.00050324i,0.00065498+0.00022689i,0.00013963-0.00037506i,-0.00039274-9.704e-05i,-0.00057766+0.00023792i,-0.00044523+0.000152i,0.00043526+9.9629e-05i,0.00058972-6.4308e-05i,-6.5618e-05+0.00023071i,0.00022144+0.00025887i,0.00014243-2.0272e-05i,0.00023505-0.00030512i,0.00073171-0.00057803i,8.2497e-05-0.00025624i,5.0341e-06-8.6109e-05i,0.00068739+2.3121e-05i,0.00091279-0.00033471i
0.0007937-0.00018113i,1.1627e-05-0.00043648i,-0.00025785-0.0011037i,6.7231e-05-0.0017537i,0.00079353-0.0013057i,0.000362-0.00031557i,5.4369e-05-0.00015674i,-0.00048165+8.8429e-05i,-0.0014013-0.0005109i,-0.00093885-0.0011372i,-0.00096328-0.0012604i,-0.0016241-0.0014494i,-0.00067325-0.00064694i,8.4542e-06-0.00046892i,0.00021672-0.00025399i,0.00038155+4.2786e-05i,0.00066015-0.00021977i,0.00064596+0.00013361i,0.00037266+0.00034993i,0.00061834+0.00011499i,0.00087802-0.00028404i,0.0011493-0.00064492i,0.0010056-0.00075631i
-0.00029777-0.00083475i,0.00016016-0.0011331i,0.00052706-0.00047711i,0.00065517-0.00014753i,0.00099915-0.00055578i,0.00082844+0.00024599i,0.00019335+0.0015139i,9.6846e-05+0.0014102i,-0.00017448+0.00090307i,-0.0009+0.00016524i,-0.0013211-0.00054631i,-0.0015259-0.00068935i,-0.001214+3.2715e-05i,-0.00031928+0.00097997i,3.5287e-05+0.0013092i,3.3659e-05+0.0011255i,0.00089313+0.00074063i,0.00059065+9.8343e-05i,7.9588e-05+0.00010937i,-0.00047354+0.00064447i,-0.0003551+0.00040271i,0.00048231+7.3782e-05i,-0.00014634+0.00059357i
0.00016616-0.0002981i,-0.00039046-4.9531e-05i,-0.0010356+0.00037324i,-0.00071809+7.6778e-05i,-0.00047622-0.00012061i,-0.0005525+0.00025298i,-0.00091664+0.00042173i,-0.00072034+0.00010924i,0.00049389-3.6015e-05i,0.0010964+0.0003579i,0.00026542+0.00037493i,-0.00041072-2.2427e-05i,-1.9498e-05+0.00015123i,0.00051927+0.00047013i,0.00056135+0.00064819i,0.00050735+0.0010959i,0.00020036+0.00076995i,-4.2724e-05+0.00054136i,0.00052044+0.00043152i,0.0010238+0.00010203i,0.0009564-0.00030555i,0.00044745-0.00026875i,-5.0074e-05-0.00018458i
-0.00026183+0.00071737i,-0.00010908-0.00053372i,-0.00056582-0.0002046i,-2.3209e-05+0.00011214i,0.00067576+0.00057302i,-2.9253e-05+0.0003619i,-0.00040057+0.00077282i,-0.00030661+0.001305i,0.00026198+0.00061346i,0.00035115-3.7828e-05i,0.00028228-0.0006951i,8.7706e-05-0.0012399i,-0.00039671-0.0014623i,-0.00018458-0.00061548i,0.00052103-0.00015266i,0.00083755-0.00057453i,0.00028104+0.00062583i,6.1305e-05+0.000974i,0.00067772+0.00015532i,0.0011631+0.00025663i,0.00088244+0.0009741i,0.0012261+0.0010251i,0.0012351+6.3493e-05i
0.0010843+0.00048543i,0.00073586+0.0004641i,0.0011259-6.4698e-05i,0.0017816-0.00048862i,0.0014108-0.0010344i,0.00015666-5.8725e-05i,-0.00049927+0.001163i,-0.00050485+0.00093888i,-0.0006133+0.00056706i,6.3556e-05+0.00058613i,0.00016474+0.00098133i,-0.00060935+0.00091087i,9.2874e-05+0.00032117i,0.00080402+0.00023628i,0.00053534+0.00067048i,0.00055963+0.00076041i,-0.00028477+5.642e-05i,9.7316e-05-0.00051558i,0.00093403-0.00037659i,0.00084988+0.0005268i,0.00028125+0.00044611i,0.00032822+0.00018489i,0.00081425+0.00034435i
-0.00023909-0.0011019i,-0.0014902-0.00045421i,-0.0027308+1.2252e-06i,-0.0016642+0.00057821i,-0.00044194+0.0006829i,-0.00059122+0.00048818i,-0.00044037-0.00018383i,-0.00053699-0.00041687i,-0.000754+0.00011004i,-0.00029248+0.00044634i,-9.664e-05+0.00043872i,0.00015378+0.00035125i,0.00015912+0.0002101i,2.7912e-05+0.00023056i,0.00033127-0.0002675i,0.00032453-0.00090388i,-0.00030073-0.00029672i,-0.0006135-6.6376e-05i,-0.00028189-0.00014179i,0.00014845+0.00022842i,0.00019438-0.00030421i,0.0003741-0.00085352i,0.00039496-0.00050668i
-0.0011327+0.00052399i,-0.0014795-0.00031335i,-0.00063621+7.79e-05i,0.00065475+0.0007237i,0.00093977+0.00056096i,0.00055059+7.6415e-05i,0.00071992-0.00023085i,0.0011154-7.4543e-05i,0.00091164+0.00040811i,-3.2988e-05-7.6902e-05i,-0.00016328-0.00065668i,0.00051725-0.0013594i,0.00091752-0.0010992i,0.0010955-0.00018787i,0.00057139-0.00056444i,-0.00022753-0.0012004i,-0.00027111-0.0011479i,0.0004808-0.00076961i,0.00095633-0.00021307i,0.00042843+0.00043941i,-0.00041312+0.00064358i,7.1847e-05+0.00062156i,0.00079017+0.00092871i
-0.0010721-0.0017134i,-0.0016732-0.0021231i,-0.0019047-0.0009392i,-0.0011628+0.00034636i,-0.0010775+0.00055908i,-0.00056299+0.00019873i,0.00013658+0.00027408i,-0.00020356+0.00074331i,-0.00013161+0.00042749i,0.00053501+2.2511e-05i,0.00022766-0.00018053i,-4.5965e-05-0.00098248i,1.7e-05-0.0013014i,-4.4611e-05-0.00050833i,0.00037549-0.00020808i,0.0010805-0.00033238i,0.00070957+8.9431e-05i,-8.0928e-05+0.00040963i,-7.5326e-05+0.00033444i,-0.00032591-9.5534e-05i,-0.00095692+6.4487e-05i,-0.00073821+0.00073071i,0.00016169+0.00035605i
0.00073915+0.00034623i,0.0002941-0.00033293i,0.00071015-0.00066151i,0.0012037-0.00058791i,0.0017371-0.0012175i,0.00071791-0.0013696i,-0.00080444-0.0003648i,-0.00043113+0.00095534i,0.0003727+0.0013505i,-0.00026352+0.00058888i,-0.00073608-0.00029599i,-0.0009636-0.00068615i,-0.00062068-0.00086608i,-0.00045338+3.9288e-05i,-0.00058666+0.00078648i,-0.00069294+0.00044383i,-0.00065235-0.00024165i,-0.00069338-0.00019146i,-0.00072329+0.00076588i,-2.7632e-05+0.0010218i,0.00071395+7.3909e-05i,3.0645e-05-0.00046961i,-0.00019862-0.00052265i
-5.855e-05+0.00033907i,-0.0010058+0.00093545i,-0.0015991+0.00080735i,-0.00072098-6.6076e-05i,-9.963e-06-0.00067212i,0.00053335-0.00046154i,0.0010219-0.00016354i,0.00073265-0.00053204i,-9.5416e-05-0.00083784i,-0.00051381-0.00015277i,-0.00068382+0.00025405i,-0.00035667+1.1369e-05i,0.00013944+0.00013185i,0.0005184-0.00011881i,0.00031277-0.00074859i,0.00014686-0.0010503i,-8.873e-05-0.0010949i,-6.2919e-05-2.915e-05i,-8.1096e-05+0.00028251i,0.00067737-3.877e-05i,0.0011036+0.00023733i,0.00039748+0.00032903i,-0.00029792+0.00065463i
-0.00038657-0.0022549i,-0.0014959-0.002755i,-0.0016857-0.0021932i,-0.0018786-0.00039192i,-0.0022657+0.0001885i,-0.0024712+0.00039126i,-0.0018263+0.00066006i,-0.0013457+0.00044939i,-0.0010341+0.00029165i,-0.000588+0.0002055i,-0.00075415+0.00026546i,-0.0012642+0.00045761i,-0.0014351-3.7751e-05i,-0.00104-0.00034317i,-0.00015171-0.00070038i,0.00065148-0.00052441i,0.00047071-7.9085e-05i,-5.5341e-06+6.7492e-05i,-6.1454e-05-0.00025565i,3.1033e-05-2.5432e-05i,0.00018667-0.00012207i,0.00015071-0.00022285i,0.00010905+6.8322e-05i
-0.0022655-0.00082179i,-0.0017677+0.00030054i,-0.00080882+0.00090939i,0.00029101+0.0018632i,0.0017411+0.0014523i,0.0021501+0.00022477i,0.0011199-0.00040732i,0.0005452-0.00017579i,0.0003609-8.2168e-05i,-0.00016304-8.4925e-05i,-0.00062034-3.6523e-05i,-0.00045687-0.00015764i,-0.0003292-0.00021407i,-0.00019906-0.00059582i,-0.00011234-0.0011891i,0.00048816-0.0011715i,0.0012194-0.00067113i,0.00064752+9.6874e-05i,-0.00025394+6.0012e-05i,0.00035188+6.2353e-05i,0.00072701+8.4176e-05i,0.00015887+0.00020004i,0.00013042+6.3109e-05i
0.00087987-0.0020406i,0.00047983-0.0020314i,0.0012601-0.0015041i,0.00059854-0.0013623i,-0.00083615-0.001243i,-0.00078058-0.00019945i,-0.00022804+2.1956e-05i,2.0444e-05-0.00080484i,0.00014786-0.00029451i,0.00026402+0.0001006i,0.00049967+0.00028385i,0.00018129+0.0008963i,0.00012106+0.0012367i,0.00068369+0.0017625i,0.00071769+0.0010853i,0.00066482+0.00022839i,0.00097178+0.00036275i,0.00075156+0.00015544i,0.00011816-2.2245e-05i,-8.6557e-05+0.00042437i,8.7107e-05+0.00048319i,0.00057435+0.00078716i,0.00047578+0.00057726i
