-0.0020103+0.0018809i,-0.0020644+0.0012153i,-0.001588+0.001773i,-0.00022589+0.0020113i,0.0004721+0.0020373i,0.00081346+0.00046753i,0.00096982+2.5716e-05i,0.00056801+0.00014501i,0.00067722+0.00012484i,0.00052287+0.00088607i,0.00048837+0.00080947i,0.00084979+0.00032242i,0.00091416-9.7525e-05i,0.00060927+0.00019106i,0.00016188+0.00024044i,0.0001213+0.00023817i,-0.00049126+0.00048618i,-0.00047875-0.0004182i,0.00033132-0.00061091i,0.00045413-0.00039543i,-0.00034373-0.00028232i,-0.0011911-0.00031327i,-0.00022036-3.7671e-05i
-0.00092833-0.0019499i,-0.00076746-0.0014294i,-0.00079392-0.0018365i,-0.0016602-0.0018508i,-0.0022-0.00034215i,-0.0010539+0.00077299i,0.00026685+0.0010874i,0.00010258+0.00029305i,-0.00028758-0.00022762i,-0.00061581+6.2036e-05i,-0.00014639+7.0846e-06i,0.00080645+0.00012656i,0.00036878+0.00096066i,-0.00031774+0.00077183i,-0.00039516+2.3141e-05i,-0.00034774-0.00031993i,0.00030735-0.00055208i,0.00058356-0.00031554i,-8.1638e-05-0.00028835i,-0.0010897-0.00062165i,-0.0011962-4.0539e-05i,2.088e-05-0.00023508i,0.00085803-0.0010514i
0.00017622+0.0017024i,0.00083977+0.0019921i,0.00039826+0.0013097i,0.0006888+0.00021736i,0.00079769-0.00021925i,0.00019501-0.00059905i,-9.2861e-05-0.0012757i,0.00039101-0.0011679i,0.00056817-0.0014472i,6.5663e-05-0.00087792i,0.00011507-5.3517e-05i,0.00069887-0.00080462i,-0.00031446-0.00059812i,-0.001133+0.00032973i,-0.00043996+0.00086718i,0.00015496+0.00065812i,0.00039579+2.4242e-05i,0.0002873+0.00018327i,0.00011925+0.00016454i,0.00018847-0.00050218i,0.00087529-0.00045251i,0.00064132+4.7194e-06i,0.0001614-0.00019159i
-0.00092897+0.00041169i,-0.0012118+0.0010832i,-0.00088887+0.0018497i,0.0002958+0.0015687i,0.0013765+0.00079654i,0.0016611-0.00022159i,0.00062976-0.00055995i,6.1452e-05+0.00026595i,0.00013178+0.00024016i,-2.4346e-05-7.9601e-05i,-0.00024732+0.00053923i,-0.00016328+0.00047165i,-9.5058e-05+9.1607e-05i,5.3876e-06-0.00055392i,-5.4386e-05-0.0012375i,-0.00042083-0.00095802i,-0.0008008-0.00017768i,-0.00046479-0.00013135i,-0.00054236-0.00028162i,-0.0001784+0.00032973i,1.7669e-05+0.00010511i,-0.00026733-0.00057892i,-0.00017397-4.5639e-05i
-0.00092802-0.0014005i,-7.8266e-05-0.0016177i,-0.00083908-0.00079046i,-0.0011055+0.00011904i,-0.00070158-1.5808e-06i,-0.00069461+5.1897e-05i,-0.00041887+0.00029562i,-0.0001162+0.00052585i,-0.00044569-4.4581e-05i,-0.00039298-0.00056153i,5.0481e-05+0.00013825i,0.00062388+0.0011968i,0.00042157+0.0013451i,-0.00023509+0.00077785i,-0.00010506-0.00027532i,-0.00035291-0.00067481i,-0.00032772-6.124e-05i,0.00019137+0.00017277i,0.00051552+0.00038776i,0.00040111-0.00022592i,-0.00016176-0.00031291i,-0.00056195+0.00017267i,6.8735e-05-0.00078921i
-0.0025554-0.00035438i,-0.0013815-0.00017358i,0.00033756+0.0005412i,0.001423+0.00070466i,0.0016716+0.00045836i,0.0017574-0.00068027i,0.0013366-0.0014958i,0.00099891-0.00071301i,0.00081449+0.00016898i,-0.00014163+0.0010084i,-0.0014844+0.0011335i,-0.0012267+0.00056293i,7.2613e-05-0.00023413i,0.00038778-0.00094379i,-3.107e-05-0.00074122i,0.00037909-2.3151e-05i,0.0009829+0.00056519i,0.00064168+0.00016356i,-0.00039528-0.00052874i,-0.0010174-0.00079235i,-0.00037023-0.00070272i,0.00043732-0.00083484i,0.00056895-0.00051484i
0.0035578+0.0010749i,0.0034252+0.00029985i,0.001527-0.00072513i,9.4976e-05-0.0010135i,-0.00038422-0.00030198i,-0.00081471-1.5833e-05i,-0.0004797-6.2635e-05i,-0.00020755-4.4498e-05i,-0.00015098+0.0001624i,0.00024782+0.00045231i,-8.362e-05-9.7255e-05i,-0.00056203-0.00049967i,-0.00032733-0.00095715i,-0.00030579-0.0013021i,-0.00030057-0.00075697i,-0.00034019-0.00023984i,-0.00055492+0.0001804i,-0.00056602+0.00046642i,-0.00026032+3.7063e-05i,-2.7755e-05-0.00037416i,0.00025304-0.00020869i,0.0012957+0.00021543i,0.0012231+0.0006225i
-0.0011323+0.0014341i,-0.00058309+0.0018962i,0.00029026+0.0028878i,0.0013113+0.0026149i,0.0019695+0.00098915i,0.0023483+0.00011193i,0.0018347-0.0002042i,0.0001967+0.00022419i,-0.00032968+0.00035508i,-4.8725e-05-1.8612e-05i,-0.00026691-0.00049066i,-0.0010499-0.00044192i,-0.00087404+1.5348e-05i,-0.0004749+0.00062527i,-0.00033753+0.00066122i,-7.8667e-06-8.9211e-06i,-0.00024016-0.00042123i,-0.00027655-0.00032092i,-2.3113e-05+0.00030091i,-2.3777e-05+0.00023785i,0.0002706-6.5023e-05i,0.00032913-0.00052045i,-0.00010094-0.00026326i
0.00029671-0.001628i,-1.1016e-05-0.001513i,0.00026384-0.0017549i,0.0014537-0.00203i,0.0013306-0.00081066i,0.0010333+0.00056447i,0.0010596+0.00079125i,0.0006023+0.00020592i,0.00066387+0.00041608i,0.00052763+0.0009356i,0.00012865+0.00079365i,-0.00032838-0.0001204i,-2.829e-05-0.00020516i,0.00014862+0.00051014i,-9.8561e-05+0.00060019i,-4.2945e-05+0.00036162i,-0.00037021+0.00011012i,0.00032867-0.00011479i,0.0010864+0.00019337i,0.00089012+0.00093491i,0.00088205+0.00075444i,0.00067921+0.00035147i,-0.00035877+0.00071945i
-0.00066244-0.00087184i,-0.00066582-0.00011531i,-0.00067318-7.1629e-05i,-0.00025286+0.00059632i,-6.2513e-05+0.00086589i,0.0003796+1.299e-05i,0.00082231-9.0778e-05i,0.0011096+0.00033592i,0.00087573+0.00091845i,0.00011784+0.00084192i,-6.9723e-06-0.00011133i,-0.0003143-0.00058526i,-0.0010646-0.00090071i,-0.00080823-0.00065831i,0.00027626-0.0001927i,0.00015785-0.00029765i,9.931e-05-0.00036177i,0.00015507-0.00033178i,-0.00054184-0.00044798i,2.8113e-05+0.00012972i,0.00061635+1.2632e-05i,0.00016417+1.9229e-05i,-0.00056505+0.00020629i
-0.0016054-0.001542i,-0.00081423-0.00049571i,-0.00054256+2.2862e-05i,-1.9076e-05+0.00030308i,0.00066058+0.00061537i,0.00083431+0.00074703i,0.00085403+0.00029267i,0.00074407-6.7712e-05i,0.00065139+0.00014045i,0.00059182+0.00048375i,0.00062376+0.00029622i,4.6514e-05-0.00055586i,-0.00036612-0.0007004i,0.00033815-0.00011516i,0.00031075-0.00022704i,-7.5846e-05-0.00017771i,0.00058538-3.0997e-06i,0.00098888-1.3236e-06i,0.00041393+0.00023642i,0.00024138-4.3272e-05i,0.00038901-0.00034379i,0.00054939-0.00022154i,0.001254+9.8607e-05i
0.001204+6.539e-05i,0.0006502+5.4213e-05i,0.0014331-0.00041684i,0.0014085-0.00070855i,0.00076195-0.00078027i,0.00051146-0.0007641i,0.00036635-0.00019152i,0.00021392+0.00062237i,-1.8057e-05+0.00022201i,0.00038461-2.4243e-05i,0.00081032+0.00052925i,0.00063964+0.00030425i,0.00026861+7.7246e-05i,-2.8033e-05-0.00021186i,-0.00047274-0.00027375i,-0.00053471-7.3176e-05i,-0.00033132+0.00037588i,-0.0003727+0.00092533i,-0.00010738+0.0011649i,-0.000241+0.00071601i,-4.985e-05+6.2908e-05i,0.00016539+0.00017821i,-0.0011112-6.5822e-05i
0.0012387-0.0010913i,0.0011043-0.00073714i,-0.00098501-0.0005265i,-0.0012553-0.0012004i,-0.00028863-0.00096363i,0.00039071-0.00026764i,0.0006956-0.00028508i,0.00033463-0.00012753i,0.00022952+0.00015669i,0.00068889+0.00088709i,0.0011523+0.00072067i,0.00097534-0.00020196i,0.00032075-0.00027694i,0.00013824-0.00028261i,0.00071421-0.00043507i,0.00043336-3.3814e-05i,-1.6295e-05+0.00029138i,0.00012016+0.00013804i,-7.5525e-06-0.00019682i,-0.00046532+0.00013723i,-0.00078004+0.00018111i,-0.00052718-0.0001466i,0.00024888-3.4603e-05i
0.0012649-0.00017409i,0.0011814+0.00052057i,0.0016088+0.00069394i,0.001337+0.00080008i,0.000647+0.00065256i,0.0016485+0.000649i,0.0013657+0.00082556i,6.6357e-05+0.00055867i,-0.00010341+8.2376e-05i,-0.00068589-0.00058509i,-0.0011516-0.00096246i,-0.00020363-0.00033417i,-0.00049162+0.00023795i,-0.00089511-0.00010618i,-0.00083834+0.00045117i,-0.00081044+0.0010236i,-0.00055267+0.00088009i,-0.00084168+0.00060123i,-0.00066444+0.00012131i,-0.00067997-1.2664e-05i,-0.001022-0.00050299i,-0.00059082-0.00068703i,3.7919e-05-0.0010299i
0.0010274-0.0005391i,0.00037311-0.0011543i,-0.00047743-0.0013014i,-0.00081543-0.001298i,-0.00063785-0.00093242i,-0.0003277-0.00096367i,-0.00012964-0.0011456i,-0.0004648-0.00047323i,-0.00049543+9.4491e-05i,-0.00021847+0.00034146i,-0.00046462-0.00017083i,-0.00060951-0.0001143i,-0.00018813-4.2456e-05i,0.00043435-0.0010869i,0.00054019-0.00095i,0.00030943-0.00010343i,0.0009921-0.0001272i,0.0010283-0.00049256i,-0.00060302-0.00067905i,-0.0009286-0.0004599i,6.8332e-05+0.00031285i,0.00057266+0.0003664i,0.00092911-3.3445e-05i
0.0036212+0.0014584i,0.0040248+0.0012758i,0.0036677-0.00075727i,0.0021987-0.0016189i,0.00045353-0.0013567i,-0.00037911-0.00045827i,-0.0001699-0.00018276i,7.4723e-05-0.00045884i,0.00073687-0.00013389i,0.00039293-0.00018655i,-0.00032573-0.0001653i,-0.00011836+0.00024438i,0.00026793+0.00013095i,4.8011e-05-0.00010144i,-0.00038549+1.285e-05i,-6.8195e-05+0.0011892i,-0.00010641+0.001885i,-2.6515e-05+0.001867i,0.0001492+0.0015419i,0.00031824+0.0010876i,0.00088867+0.00068855i,0.00092192+0.00015948i,0.00071534-1.4587e-05i
-1.655e-05-0.0009661i,0.00089693-0.0010209i,0.00073886-0.0011585i,0.00036782-0.00091399i,0.0003022-0.00018475i,0.0004605+0.00056722i,0.00037838+0.00077232i,8.4654e-05+0.0002584i,0.00016369-3.0375e-05i,0.00018146-0.00063439i,0.00038724-0.00089915i,0.00057707-0.00045983i,0.00020332+0.00013914i,-4.5462e-05+0.00061382i,-1.7657e-05+0.00039671i,0.00056851-0.00012502i,0.00089366-7.59e-05i,0.00092551+0.0004707i,-2.9824e-05+0.00059656i,-0.0011094-0.00029719i,3.1546e-05-0.00031709i,0.0011236+0.00029488i,0.00091906+0.00032922i
0.0026845-0.00091721i,0.0020966-0.00058105i,0.00036957-0.00156i,-0.00030151-0.0019092i,2.8492e-05-0.0001496i,0.0012252+0.00047939i,0.0016579-0.00042442i,0.0015501-9.2467e-05i,0.0012535+9.9588e-05i,0.00076389-2.1194e-05i,-0.000196+0.00067793i,-0.00069268+0.00092041i,-0.00010691-0.000535i,0.00059602-0.00096743i,0.00039504-4.8569e-05i,0.00021715+1.7947e-05i,0.00027484-0.00028227i,0.00078756-0.00025843i,0.00069546-0.00062386i,0.00035505-0.00073614i,0.00085545+0.00010366i,0.00020957+0.00037763i,-0.00019503-1.4034e-05i
0.0012026+0.00025894i,0.0010969+0.0011497i,0.0013368+0.00044017i,0.00095469-0.0011283i,0.00034943-0.0012309i,0.00082335-0.00071041i,0.00052503-0.00085465i,4.8383e-06-0.0011435i,0.00048088-0.0012311i,0.00031393-0.00073838i,6.3494e-05+6.3858e-05i,-0.000112+0.00045281i,-0.00064833+0.0003383i,-0.0010489+0.00016949i,-1.1373e-05-2.5133e-05i,0.00054449-1.6105e-05i,-0.00010775+6.6059e-05i,-0.00083972+0.0004725i,-0.00025929+0.00043735i,0.00093673-4.3331e-05i,0.0003425-0.00010508i,-0.00048068+0.00010684i,-0.00044988+0.00011557i
0.00069324+0.00086432i,0.0014593+0.00073922i,0.0018933-0.00097785i,0.0012366-0.0016159i,0.00027855-0.00093146i,0.00052072-9.0679e-05i,0.00026083+0.00059027i,-0.00044357-0.00013979i,6.2262e-05-0.00077715i,0.00019992-0.00059482i,-7.8794e-06+0.00026299i,-0.00031594+0.00035742i,-0.00095814-0.0006999i,-0.00097704-0.00062539i,-0.00037449-6.9713e-05i,-3.5681e-06-0.00039832i,-9.3863e-05-4.0974e-05i,-0.0003109-7.04e-05i,-0.00064156-0.00036095i,-0.00022722-0.00013442i,0.00027745-0.00028191i,5.7325e-05-0.00070508i,-0.00055332-0.00045844i
0.00052011+3.7803e-06i,0.00014996+9.115e-05i,-0.00093586-0.0003477i,-0.00075763-0.00069333i,-8.823e-05-0.00052756i,0.00043663-0.00022081i,0.0002034-0.00013522i,-6.5499e-05+0.00046413i,0.0002681+0.00076977i,0.00077023+0.00032135i,0.00077439+0.00050318i,0.00065585+0.00092433i,0.00093787+0.00040965i,0.00040631-0.00024351i,-0.0005171-0.00057142i,-0.00053163-0.00090336i,-0.00060502-0.00082689i,-0.00057085-0.00039488i,-0.00045449-0.00017253i,-0.00030639-0.00066911i,-0.00045393-0.00071532i,4.6204e-05-0.00050203i,0.0007685-0.00032927i
-9.2976e-05+0.00060654i,0.00061146+0.0006172i,0.0012031+0.00096378i,0.00093987+0.0014049i,0.0015712+0.00065416i,0.0022181-0.00046562i,0.001789-0.0011512i,0.0010003-0.00024329i,0.00084213+0.00028523i,0.0011971+0.00019833i,0.00083684+8.0657e-05i,-0.00014276-0.00019861i,-0.00084018-0.00033167i,-0.00087019-2.6777e-05i,-0.00049329-0.00046049i,-0.00022887-0.00067529i,4.9007e-05-0.00055306i,0.00032847-0.00040235i,-0.00040661-0.00012318i,-8.6065e-05-0.00039687i,0.00086128-0.00055666i,0.00073768-0.00058591i,0.00022847-0.0002488i
-0.00020782+0.0021326i,0.00095315+0.00275i,0.0015495+0.002237i,0.0012826+0.00091158i,0.00061497+0.00014845i,-0.00019064+0.00064209i,9.7193e-05+0.00010183i,0.00042785-0.00076324i,-3.4902e-06-0.00064025i,-1.2927e-05-0.00033016i,0.00021275+0.0001528i,0.00035926+0.00036196i,0.00034416+0.0004044i,0.00012662+0.0001531i,0.00034563-0.0001232i,0.00058756-0.0001965i,0.0005847-0.00021407i,0.00058847-0.00023782i,7.3844e-05+0.00019622i,-0.00048307+0.0002511i,-0.00040733-0.00045942i,-0.00043937-0.00046253i,0.00012792-0.00056241i
-0.00032097+0.0002944i,-0.00038795+0.00054681i,0.00020365+4.5722e-05i,0.00055509-1.6327e-05i,-0.00011104+0.00013378i,-0.00025139-0.0007888i,0.00023365-0.0013492i,-0.00043691-0.0011521i,-0.0013073-0.0010499i,-0.00070841-0.00050704i,-0.00015679-0.00036247i,-0.00020149-0.00027568i,-0.00013529+0.00010067i,-0.00026741-0.00010707i,-0.00069773+0.00027723i,-0.00086655-0.00031483i,1.4291e-06-0.0010077i,0.00054473-0.00037914i,0.00045607+0.00051402i,0.00037702+0.00024121i,0.00037244-0.00018856i,0.00051478-0.00024828i,-0.00010785+3.0888e-05i
0.00048019+0.0018882i,-0.00067803+0.001255i,9.334e-05+0.00019851i,0.00096419-0.00066643i,0.00075324-0.0013811i,0.00017841-0.0010012i,0.00012763-0.00087319i,0.00026203-0.0004303i,0.00017616-0.00032503i,0.00042623-0.0005544i,0.00034332-0.00071651i,0.00032978-0.00086753i,0.00070833-0.00087576i,0.00051166-0.00096634i,3.9982e-05-0.0011107i,-0.00032679-0.00072763i,-0.00015602-0.0008183i,-0.00059876-0.0007156i,-0.00092469-0.00013804i,0.00023358+0.00051405i,0.0001016+0.0005967i,-0.00044078+0.00061857i,-0.00018047+0.0010064i
-0.00090428+0.00048199i,-0.00026174+0.00038023i,0.00046559+0.00075519i,0.001525+0.00054589i,0.0017077+0.00019706i,0.0012121-1.2104e-05i,0.00061858+5.3347e-05i,0.00015881+0.00035704i,0.0001711+0.00021082i,0.00092817-1.0342e-05i,0.0015877-0.00051009i,0.00047953-0.0006214i,-0.0006986-5.6814e-05i,-0.00024967-7.1634e-05i,0.00099378-0.00061959i,0.00097677-0.00080377i,-0.00014289+0.00039506i,-0.00073453+0.0007629i,-0.00075713+3.1177e-05i,-0.00033281-9.4064e-05i,-0.00026909-0.0002385i,-4.1046e-05+7.9685e-05i,-3.3006e-05+0.00079336i
-0.0022766-5.7322e-05i,-0.0031299+0.00061902i,-0.0026263+0.0006086i,-0.0008763+0.00089072i,0.00042783+0.0010241i,0.00085821+0.0015102i,0.00045704+0.0012573i,0.00017372+0.00024652i,0.0002572+0.00021028i,0.00026612+0.00098299i,0.00045279+0.00068408i,0.00023552+0.00033268i,0.00029967+0.00018604i,0.0010524-0.0005629i,0.00058529-0.000901i,-0.00018264-0.00042054i,0.00056902+0.00022442i,0.0009703+0.00027008i,0.00073693+0.00042225i,0.0013639+0.00065078i,0.00092233+0.00093518i,-0.00070222+0.00063279i,-0.00066653+5.4036e-05i
-0.0016908+0.0004902i,-0.00042273+0.0006504i,0.00017175+0.0020345i,0.00090383+0.0026385i,0.0019187+0.002331i,0.0013747+0.001251i,0.00061348-0.0002609i,8.3756e-05-0.001196i,-1.2858e-05-0.0015242i,-0.00010871-0.0015222i,-0.00027734-0.00051288i,-0.00078785+0.00021522i,-0.00033514+2.2888e-05i,0.00038482+0.00025968i,8.8526e-05-0.00035898i,0.00069537-0.00062476i,0.0012214+0.00041912i,0.0012795+0.00022298i,0.00085673+0.00036328i,0.00046122+0.00079613i,0.0002051-5.3659e-05i,-0.00018813-0.0010379i,-0.00013101-0.00045394i
0.0010636-0.0013878i,0.0004579-0.0011026i,-0.00058503-0.00088659i,-0.00018019+8.0931e-05i,0.00019957+0.00086365i,0.00053337+3.7278e-05i,0.0009981-0.0012412i,0.00032534-0.00069844i,-0.00085943-0.00035193i,-0.00033164-0.00068439i,0.00045908-0.00077255i,0.00083257-0.0007846i,0.00092506-0.00029058i,0.00092291+0.00023532i,0.001228-0.00023175i,0.00084542-0.00083872i,0.00059898-0.00035351i,0.00065275+0.00024295i,0.00072063+0.00063282i,0.00046045+0.00053287i,0.00040479+0.00058462i,0.00067834+0.00049615i,0.00054145+9.632e-05i
0.0013962-0.00018122i,0.0016193+0.00014407i,0.001716-0.00044062i,0.00043561-0.00084644i,-0.00063876-0.00064443i,-0.00091218-0.00025472i,-0.00099967+0.00071855i,-0.00049566+0.00049388i,0.00034176-1.2955e-05i,0.00047092+0.00033067i,0.00010627+0.00038608i,-0.00039455+0.00017535i,-0.00036132+0.00018048i,-0.00024601-0.00024785i,-0.00030325+0.00010136i,5.1325e-05+0.0006179i,0.00037665+0.00044563i,-4.5172e-05+0.00023217i,-0.00043055-3.3557e-05i,8.4828e-05+0.00038571i,0.0003741+0.00024204i,-0.0001295-0.00048993i,0.00016688-0.00097037i
-6.866e-06-0.0018868i,-0.00039464-0.0024285i,-0.00049357-0.0026953i,-0.00065352-0.001576i,-0.00095941-0.00062001i,-0.00012029-0.0012288i,0.0012282-0.0011651i,0.00090204+0.00015748i,-9.7846e-05+0.00088184i,-0.00091436+0.00072065i,-0.00070349+0.0009387i,-0.00033846+0.00050076i,-0.00021028-0.00053827i,-3.6756e-05-0.00091066i,-0.00020009-0.00077115i,-0.00042706-0.00079706i,-0.00017843-0.00030775i,-9.7369e-05+0.00045677i,-0.00023754-0.00022157i,-0.00048029-0.00046826i,-0.00020777-0.00037683i,0.00042787-0.00057027i,0.00063065-0.00011289i
0.0023921+0.00040125i,0.0023423-0.00053017i,0.002202-0.00057882i,0.00070135-0.0012785i,0.00047405-0.0019613i,0.00046033-0.0013908i,0.00017042-0.00070776i,-3.3601e-05+0.00026201i,-0.00056174+0.00052626i,-0.00022158+5.8493e-05i,-0.00021104-0.00046882i,-0.00088622-0.00047713i,-0.00012944-0.00034339i,0.0004771-0.00089358i,8.223e-05-0.00080342i,-4.4566e-05+0.00019162i,0.00019217+0.00070209i,-0.00075152-0.0002753i,-0.0011923-0.00082487i,-0.00083566+8.9608e-05i,-0.00073414-5.0488e-05i,-0.00077518-0.00065691i,-0.00086189-0.00014868i
-0.0010236+0.00052025i,-0.0002107-0.0002746i,0.0015827-8.8047e-05i,0.0017922+0.00094344i,0.00064194+0.00094952i,6.3521e-05-4.0324e-05i,8.9417e-05-0.00020968i,-0.000631+0.00020821i,0.0002253+0.00029884i,0.0013072+0.00015571i,0.0012782-0.00018132i,0.0013386+0.00010643i,0.0009285+9.458e-05i,0.00014865-0.00050301i,0.00028577-0.0002891i,0.00080549+3.1391e-05i,0.00056711+0.00041214i,4.0937e-05-2.4401e-05i,0.00032856-0.00012849i,0.00056447+0.00019376i,3.926e-05-0.00015737i,-5.9262e-05+0.00013105i,0.00035717+2.7676e-05i
