-0.0013873-4.5492e-05i,-0.0017262+0.00045286i,8.5397e-05+0.00051245i,-0.00030778+0.00043905i,-0.0010855+0.00062873i,-0.0015757+0.0016915i,-0.0017105+0.0022884i,-0.00061326+0.0017973i,0.00033632+0.0010068i,0.00067256-9.3945e-05i,0.00092213-0.00061526i,0.00061704-0.00058122i,0.00040455-0.00091217i,0.00055462-0.0012916i,0.00057345-0.00062612i,0.00043386-0.00029147i,0.00039479+0.00012678i,3.3389e-05-0.00035829i,-0.00064659-0.00079455i,3.8375e-05-0.00021176i,0.00047284-0.00061139i,-8.8299e-06-0.00073056i,-6.9186e-05+5.6886e-05i
-0.00033663+0.0025082i,0.00010785+0.002112i,2.5446e-05+0.0022455i,3.8091e-05+0.0026856i,0.0008625+0.0021333i,0.0015353+0.00043809i,0.0005169+3.6903e-05i,-0.00064233+0.00012599i,-0.00060504-0.00014536i,-0.00024174+2.8226e-05i,0.00066916+3.8561e-06i,0.00062275+0.00064064i,-0.00013514+0.00075327i,0.00058865-0.00016086i,0.00075048-0.00046122i,4.7805e-05-0.00016965i,4.2687e-05+0.00062827i,-0.00045556+0.001113i,-0.00051911+0.0004296i,-0.00010431-0.0002469i,-0.00013701-0.00051151i,-0.00011584-0.00051449i,-0.0002612-0.00012468i
0.0020482+0.0019161i,0.0014969+0.0010169i,0.0026473+0.0013295i,0.0034235+0.00073511i,0.0030754-0.00071377i,0.001417+0.00025863i,-0.00011582+0.001179i,-0.00056482+0.0004071i,-0.00069143-0.00086429i,3.898e-05-0.0012282i,0.00085421-0.0009725i,0.00021007-0.00099026i,-0.00047103-0.0011492i,-0.00011079-0.00092602i,-6.436e-05-0.00090559i,-0.00018797-0.00099853i,-3.2235e-05-0.00077465i,-0.00039999-0.00052677i,-0.00058358+8.4555e-05i,-0.00056601+0.0004482i,-0.00023541+0.0003436i,-7.2061e-05-0.00014685i,0.00012302-0.0004273i
0.0016587+0.00063445i,0.0019836+0.00089195i,0.002593-9.1804e-05i,0.0015527-0.0006357i,0.00025025-0.0015572i,0.00028359-0.0021573i,0.00040925-0.00075172i,-0.00043492+0.00061453i,-0.00065418+0.00089799i,0.00044492-0.00015651i,0.0010104-0.0011351i,-0.00041348-0.00089593i,-0.0012902-0.00056962i,-0.0012434-0.00057971i,-0.0011138-0.00042712i,-0.00093187+0.00017326i,-0.00069284-0.00015615i,-0.00097197+3.1737e-05i,-0.00090082+0.00091188i,0.00034651+0.00035278i,0.00062795-0.00038969i,0.00028758+4.8484e-05i,0.0002473+0.00022497i
0.00042829-0.0003235i,0.0012643+0.00013402i,0.0012709+0.0012397i,0.0016377+0.00098022i,0.0015638+0.00043085i,0.00043871-0.00015118i,-0.00074255-8.1485e-05i,-0.00079568-0.00013219i,0.00030699-0.00017021i,2.9863e-05-3.7348e-05i,-0.00054751+0.00022053i,0.0001589+0.00072735i,0.0001914+0.00036585i,-0.00040405-0.00046787i,-6.9048e-05-0.00053753i,-0.00017747-0.00010487i,-0.00058432+0.00026012i,-0.0005538-3.7839e-05i,-0.0011439-0.00023024i,-0.000395-0.00050245i,0.00040953-0.00037705i,-5.496e-05-0.00059449i,-0.00035093-0.0003963i
0.0017506+0.00057213i,0.0015521-0.00029242i,0.0017427+0.00039602i,0.0012802+0.00057114i,0.0011467-5.4612e-05i,0.00071477-0.0002036i,7.6403e-05+4.0601e-05i,-0.00019949+0.00088025i,-0.00064881+0.00069021i,-0.00089428+4.4127e-05i,-0.00024637-0.00038401i,0.00019844-0.0010055i,-0.00074175-0.0010011i,-0.0010967-0.00094316i,-0.00033671-0.00089138i,-0.00012659-0.00025765i,-0.00022556+0.00014828i,-0.0004646+0.00014302i,-0.00066266+0.00049048i,-0.00014975+0.00065394i,0.00047327-5.38e-05i,0.0011967-0.00034057i,0.00083494-0.00016843i
-0.0010994+0.0010207i,-0.00079534+0.0010827i,0.00068349+0.0010918i,0.0024157+0.00082949i,0.0026404+0.0006682i,0.0014172+0.00045631i,0.0002664-0.00030934i,-0.0011201-0.0012833i,-0.0018393-0.00064733i,-0.0010065+0.0001065i,0.00014927-0.00010383i,0.00069234-0.00061226i,0.0011133-0.00098797i,0.00067162-0.00076894i,0.00036819-0.00053683i,0.00068788-0.00048871i,0.00018466-0.00020714i,-0.00020304+0.00075369i,-0.00028561+0.0012983i,-0.00031403+0.001148i,-0.00039327+0.0010032i,-0.000198+0.0011247i,-0.00036477+0.00049802i
0.00064774-0.001312i,0.00078884-0.0012927i,-0.00032666-0.0006078i,2.3909e-05+0.00060748i,0.0012358+0.0010341i,0.00084083+0.00091603i,1.6217e-05+0.00064095i,-0.00054194+0.00019261i,-0.00066697-0.00032247i,-0.0009506-0.001398i,-0.00097899-0.0012929i,-0.00045578-0.00056395i,0.00039114-0.00098133i,0.00020587-0.00033924i,-0.00049987+0.00093236i,-0.00013129+0.0008429i,-1.9852e-05+0.00067907i,-0.00040141+0.00064742i,-0.00051965+0.00061223i,5.6413e-05+4.628e-05i,0.00082928-0.00014561i,0.00056916+0.00010807i,0.00018885-0.00026532i
0.0015763+0.00048447i,0.0017152+0.00074736i,0.002831-8.113e-05i,0.0027397-0.00067206i,0.0011746-0.00059048i,-0.00067093-0.0004697i,-0.0011094-0.0001777i,-0.0010861-0.00029037i,-0.0013651-0.00066038i,-0.00054684-0.00052611i,0.00015156-0.00016409i,-0.00071789+6.8481e-05i,-0.00094953-4.9697e-05i,-0.00057761-0.00053699i,-0.00036743-0.00051273i,0.00070417+2.2021e-05i,0.00070304+9.7293e-05i,0.00025164+2.4957e-05i,0.00017737-8.3364e-05i,0.00010599-0.00015406i,0.00053191+0.00032485i,0.00032331+0.0005923i,-0.00069083+0.00041028i
0.00020782-0.0014249i,0.00087277-0.0019898i,0.00019426-0.0029904i,-0.00026352-0.0023037i,9.206e-05-0.0015815i,0.00015125-0.00087513i,-0.00065063-0.00056739i,-0.00094834-0.00085855i,-0.00055794-0.00049848i,-0.0011786-0.00033368i,-0.0014848-0.00017651i,-0.00089792+0.00034524i,-0.00014919-0.00025965i,-0.00060465-0.00046884i,-0.00084402-1.4456e-06i,-0.00038388+0.0002531i,6.5383e-05+0.00058082i,0.00019464+0.00059874i,-0.00031412+6.7314e-05i,-0.00047895-0.00073648i,-0.00033684-0.00072363i,-0.00061779-0.00032806i,-0.00038609-0.00013075i
-0.00039011-1.5492e-05i,4.7615e-05-0.00037559i,0.00013018-2.5139e-05i,0.00015083+7.1554e-05i,0.0013822-0.00039997i,0.0015621-0.00011763i,0.00041084+0.00024987i,-0.00024856-0.00064338i,0.00010779-0.0014101i,0.00059285-0.0010728i,0.00052382-0.00054698i,4.7335e-05-7.3507e-05i,-0.00040164-3.5085e-06i,0.00023758-2.4993e-05i,0.00086686+0.00017093i,0.0005363+0.00054808i,0.00036009+0.00045067i,-0.00033738+0.001112i,-0.00044229+0.0015976i,-0.00036326+0.00066385i,-0.00042372-0.00030904i,-0.00043407-0.00027876i,-0.00036096-0.00030282i
0.00014036-0.00012212i,0.00034778+0.00085771i,0.0010242+0.0021258i,0.0014283+0.0016432i,0.0013852+0.00051147i,0.00085309+0.00012357i,-6.123e-05-0.00024443i,-0.00039076-0.00012363i,-0.00023322-5.6755e-05i,-5.712e-05-0.00027236i,-5.1021e-05-0.00042865i,0.00013918-0.00074469i,0.00025881-0.00057547i,0.00011564-0.00045918i,-0.00038925-0.0003694i,-0.00042484-0.00063104i,-6.4101e-05-0.0010135i,-8.4164e-06-0.00040532i,-0.00045184+0.00014952i,-0.0011229-0.00024786i,-0.00062315-0.00065926i,-0.00021442+0.00016945i,-0.00012428+0.00082919i
0.00065049+0.00095001i,0.00091237+0.0011265i,0.00062325+0.00012966i,0.0010767-0.00068993i,0.0015976-0.00058576i,0.00074241-0.00061245i,-0.00069881-0.00032389i,-0.00093556-9.3735e-05i,-0.00047989-0.00017571i,-0.00047629-0.00056945i,2.6148e-05-0.0014415i,5.7076e-05-0.0016458i,-0.00051834-0.00044964i,-0.0012462+0.00032818i,-0.0012574+0.00023327i,-0.00024913+0.00017099i,-0.0002895-0.00041631i,-0.00073557-0.00072241i,-0.00034262+0.00030144i,-0.00016268+0.0012018i,-0.00057907+0.0012124i,-0.00066168+0.0010686i,-0.0001408+0.0013749i
0.0009829-0.00065371i,0.00086133-0.0006597i,0.0013213-0.00079684i,0.00093176-0.0010821i,0.0012238-0.00078964i,0.0017203+1.6322e-05i,0.00039806+0.00028492i,-0.00091918+0.00017998i,-0.00064426+0.00025337i,-0.00041226+0.00057059i,-0.00088418+0.00028774i,-0.0011336-0.00064598i,-0.00056564-0.00073001i,-0.00039978+0.00038216i,-0.00049789+0.00050887i,-0.00058504+0.00018532i,-0.0006689+0.00015759i,-0.0005572+0.00016175i,-0.00011738+2.7295e-05i,-6.0414e-05+0.00010744i,-0.00010938+4.9365e-05i,0.00027116-0.00011021i,-0.0002535+0.00017106i
-0.00047627+0.00033983i,-0.0016117-0.00070637i,-0.00052806-0.00014978i,0.0013561+0.00077242i,0.00105+0.00098925i,0.00012302-0.00010026i,-0.00043953-0.00094226i,-0.00083516-0.00047755i,-0.00064428+5.4604e-05i,-0.00017571+0.00022453i,-0.00049113+0.0004015i,-0.00077317+0.0001552i,-0.00024908-0.00017646i,0.00066001+4.7699e-05i,0.00062068-0.00024063i,0.00015874-0.00034225i,0.00023639-6.1189e-05i,-0.00024381+0.0002477i,-0.0007244+0.00052596i,0.00019561+0.00025729i,0.00052663-0.00010036i,0.00022152-0.00043248i,2.6602e-06+0.00035049i
0.0012666+0.0012344i,0.0012783+0.00063706i,0.001116+0.0001431i,0.0011581-0.00038075i,0.0012588-0.00033144i,0.00083638-0.00015264i,0.00051615+0.0001818i,0.0004018+0.00066231i,-0.00061375+0.00059102i,-0.00075513+0.00024009i,-4.0731e-05-0.00084765i,0.00038095-0.0013818i,7.209e-06-0.00076389i,-0.00079347+0.00030132i,-0.00021153+0.00094766i,0.00014372+0.00071329i,-0.00039675+7.0214e-05i,-0.00044951-0.00030559i,-0.00067706-0.00015801i,-0.00097158+0.00012573i,-0.00097471+0.00018292i,-0.00099198+0.00011706i,-0.00013217+0.00034957i
-1.1699e-05+0.0013476i,-0.00022758+0.0010453i,-0.0013073+0.00099491i,0.00012811+0.0013028i,0.0017067+0.0015028i,0.0011987+0.0013219i,-0.00023773+0.00034872i,-0.0010362-0.00025306i,-0.00070725-0.00074722i,-1.1096e-05-0.00092844i,0.00032517-0.00087636i,0.00024373-0.0016788i,0.00061406-0.0016883i,0.00076771-0.00094818i,0.00059946-0.0010546i,0.00025106-0.0013936i,-0.00051167-0.0013782i,-0.00074026-0.0002518i,-0.0012658+0.0012598i,-0.0011881+0.0011423i,-0.00048754+0.00040296i,-0.00048679+0.0003335i,-0.00061447+0.00052666i
0.00097599-0.0011207i,-0.00046005-0.00054421i,-0.00081629-0.0024151i,-0.00015774-0.0025647i,0.00043718-0.0010616i,0.00032578-0.00095704i,0.00025946-0.0015474i,-0.00018666-0.00060764i,-0.0010617-0.00027176i,-0.0007167-0.0012556i,-0.0004104-0.0011747i,-0.00074258-0.00072304i,-0.00063755-0.00038957i,-0.00060347-0.00017071i,-0.00019736-0.00059349i,0.00056457-0.00045726i,0.00026254+0.00023088i,0.00031821+0.00054982i,0.00098537+0.00059229i,0.0010279+0.00060566i,0.00096611+0.00057531i,0.00053249+8.7035e-05i,1.8009e-05-0.00015531i
-0.00080121+0.00038125i,-0.00059703+0.0001689i,0.00012666+0.00031078i,0.00067103+0.0020152i,0.0015625+0.0016994i,0.0012694+0.00022857i,0.0002911-0.0001533i,-0.00044112-0.00057991i,-0.00061502-0.00035197i,3.656e-05-0.00013043i,0.0001777-0.00060415i,-0.00037972-0.00092601i,-0.00087874-0.00092899i,-0.00094869-0.00038652i,-0.00059347+0.00011845i,-0.00029648-0.000638i,0.00038597-0.00071612i,0.00042567-7.0955e-05i,-0.00028008+2.9507e-05i,-0.00030703+0.00027856i,-0.00014221+0.00014097i,-0.00061742-4.8198e-05i,-0.00067064-0.00070591i
0.0015197-0.00034953i,0.00055928+4.698e-05i,0.00078658-7.8217e-05i,0.00055682-0.00046209i,0.00040983+0.00020128i,0.00054046-0.00025724i,0.00067054-0.00066154i,-5.8709e-05-0.00033487i,-0.00034545-0.00078699i,7.8184e-05-0.0011434i,-0.00019396-0.0014847i,-0.00053951-0.0010657i,-0.00078387+0.00024394i,-0.00075374+0.00030924i,-0.00020407-0.00026275i,0.0001291-0.00019973i,-0.00018113-0.00045103i,-0.00053715-0.00049245i,-0.00057432-0.00021452i,-0.00035671+0.00023174i,5.9748e-05+0.00065034i,0.00010826-0.00015519i,-0.00030767-0.00044578i
0.00181-0.00072136i,0.0022938-0.00072869i,0.0027704-0.00057599i,0.0024011+0.00035357i,0.0016328+0.0011215i,0.00030753-2.0407e-05i,2.7706e-05-0.00077903i,0.00036559-0.00020966i,0.0006118+0.00010615i,0.00062902-0.00057915i,-0.00019763-0.0016798i,-0.0011797-0.0017822i,-0.0015417-0.00094789i,-0.00061973-9.4432e-05i,0.00071974+0.00088662i,0.00041281+0.0012793i,-0.00053828+0.00052872i,-0.0013883+8.6939e-06i,-0.00090096+0.0001375i,0.00016186+0.00023787i,0.00042125+0.0001819i,0.00012973+0.00011273i,-0.00054873+4.4775e-05i
-1.4216e-05+0.00060211i,0.0011788+0.0012354i,0.00072883+0.0015822i,0.0007713+0.0015579i,0.0016502+0.0013364i,0.0011591+0.00057579i,-0.00030583-0.00032344i,-0.00054748-0.0010093i,-0.00064801-0.0011268i,-0.001029-0.0008979i,0.00012937-0.00065151i,0.00060869-0.00025472i,9.6776e-05-9.6549e-05i,-9.4333e-06-0.00037578i,0.00018526-0.00064897i,-0.00017516-0.0014157i,-0.0012796-0.0013945i,-0.0016611+0.00037949i,-0.0013486+0.00071748i,-0.00039015+0.00010785i,0.00059446-9.6301e-05i,0.00043856-0.00072166i,0.0002854-0.0013391i
7.3339e-05-0.001084i,-2.7022e-05-0.0010094i,-0.00066517-0.002356i,-3.7496e-05-0.0017074i,0.00082214+0.00014367i,0.00074668+0.0012461i,0.00029006+0.0019281i,-4.7925e-05+0.0016727i,-0.00024136+0.00052153i,-0.00065358-0.00012003i,-0.00030957-0.00016028i,-3.0795e-05+0.00068239i,-0.00048256+0.0010099i,-0.00086708+0.00043984i,-0.0011702+0.00067168i,-0.0010497-2.3858e-05i,-0.00038362-0.00094662i,0.00018088+1.1541e-05i,-0.00020585+0.00082973i,-0.00080599+0.0013764i,-0.00039323+0.00068655i,-0.00030837-0.00047638i,-0.00017397-0.00068051i
-0.00041855-0.0008243i,-0.00057105-0.00049079i,-0.00097504-4.0264e-05i,-0.00054066-5.6948e-05i,0.00011616+0.00040595i,7.2208e-05+0.00086412i,-0.00013794+0.00011632i,-0.00081552-0.00034242i,-0.0010797-0.00036056i,-0.00036899+5.0621e-05i,0.00024171+5.4114e-05i,-2.9921e-05-0.00016508i,0.00053117+0.00051152i,0.000884+1.8328e-05i,-0.00062332-0.00088881i,-0.0013057-0.00060984i,-0.0011106+0.00027178i,-0.0010042+0.0006073i,-0.0011408+0.00032211i,-0.0010388+0.00020331i,-0.0004755+0.00020371i,-0.00069079+0.0001605i,-0.0008895+0.00042124i
0.00013956+0.0013218i,-0.00039316+0.00087454i,-0.00065548+0.00021922i,0.0011126+0.00011512i,0.0021167+0.0005983i,0.0012118+0.00029427i,-0.00023154-0.00068094i,-0.00091117-0.00087831i,-0.00023999-0.0001789i,0.00032102-4.4313e-06i,0.00030451-4.4892e-05i,0.00059243-0.00018788i,-0.00024207-0.00073816i,-0.0016229-0.00082452i,-0.0010833-0.00012146i,-0.0002679-7.3587e-05i,-0.00071993-0.00018268i,-0.00085073-4.4098e-05i,-0.00079912-0.0001771i,-0.00044476-0.00014855i,-0.00030143-0.00030135i,-0.00041951-0.00044087i,-0.00012197-0.00060309i
0.00021179-0.0026069i,-0.00013419-0.0022465i,-0.001081-0.0024692i,-0.0011435-0.0012597i,-0.00023071+0.00030698i,0.0010858+0.00048732i,0.0011519+3.7014e-05i,-0.00049879-0.00042831i,-0.0013062+6.7919e-06i,-0.00097957+0.0004702i,-0.00097312+0.00094175i,-0.00069036+0.0011544i,0.00018307+0.001386i,0.00018303+0.0016826i,-0.00042635+0.0010684i,0.00012092+8.4217e-06i,0.00023762-0.00050628i,-0.00023047-0.0007897i,-0.00038563-0.00068342i,-0.00060866+7.9055e-05i,-0.00035488+0.00095075i,-0.00014626+0.00078247i,-0.00037642+0.00010558i
0.0011281+0.00036582i,0.00060043+0.00055924i,0.00048508+3.9339e-05i,0.0017481-0.00044012i,0.0022177-0.00084477i,0.0016877-0.0003163i,0.0011342+0.00012145i,0.00047751-0.00014743i,-0.00022892-0.0003279i,9.2179e-05-0.001052i,0.00079974-0.0016464i,0.00040539-0.0016053i,-0.00031721-0.0014092i,-0.00022676-0.00063378i,-0.00054505+4.955e-06i,-0.0011733+0.00039241i,-0.001076+0.00060461i,-0.00088083+0.00026602i,-0.00089672+0.00036511i,-0.00096805+0.00021986i,-0.00072669+0.00017292i,-0.00025666+0.00011896i,0.00048081+2.8106e-05i
0.00031277-0.001706i,0.00069911-0.0018788i,-0.00035287-0.0019501i,-0.00087197-0.00082986i,-0.0001944+0.00037697i,0.00025251+0.00092405i,-0.00023825+0.0010511i,-0.0007429+0.00034961i,-0.00078093+9.3119e-05i,-0.00079292-0.00058639i,-0.00053369-0.0013826i,-6.0247e-05-0.00061606i,0.00038163+0.00062491i,0.00040319+5.1149e-05i,2.477e-05-0.0006243i,0.00050551-0.0006512i,0.0014079-0.00046358i,0.00054142-0.00027416i,-0.0010658-6.3534e-05i,-0.0014793-0.00017557i,-0.0011005-0.0008159i,-0.00019379-0.00026764i,0.00013975+0.00091297i
0.0017373-0.0011379i,0.0023326-0.00099963i,0.0012587-0.0011131i,0.00033532-0.0010724i,0.00032385-0.00052482i,-4.0191e-05+0.00047669i,-0.00060662+0.00054749i,-0.001218+1.1982e-05i,-0.0013673-0.00040544i,-0.0014246-0.00066026i,-0.0013876-7.5026e-05i,-0.0012005+0.00018493i,-0.00015887-0.00057763i,0.00023219-0.00031081i,-0.00016741-0.00023242i,-0.00033046-0.00030477i,-0.00072271+2.0871e-05i,-0.00064189+0.0009547i,-0.00031875+0.0013882i,-0.00045067+0.0013577i,-0.00068337+0.00053154i,-0.00077614+0.00018227i,-0.0010003+0.00070337i
0.00016972-0.00179i,-2.9432e-05-0.00057751i,0.0012205-0.0001779i,0.0020872+0.00023726i,0.0020631+0.00018395i,0.0013141+0.00012564i,0.00060102-0.00031425i,5.7633e-05+0.00031161i,-0.00034504+0.001159i,-0.00023798+0.0002792i,-5.4954e-05-0.00046879i,-0.00057468-0.00020776i,-0.00033476-0.00045215i,8.6235e-05-0.00050774i,-5.3456e-05-0.00069073i,5.542e-05-0.00068413i,0.00068063+0.00013874i,0.0005006-0.00024457i,-0.0002828-0.00061713i,-3.2573e-05-7.7035e-06i,2.1545e-05+8.7909e-05i,-0.00039588+0.00039738i,-0.00043829+9.1168e-05i
0.0029493+0.0005414i,0.0033345+0.00012137i,0.0036853+3.8868e-05i,0.0022384+0.00016442i,0.0010812+5.1036e-05i,-0.00029524+0.00046782i,-0.00038306+0.0012846i,3.5824e-05+0.0013221i,-0.00010456-9.6239e-05i,-0.00025522-0.0010379i,-0.00097741-0.00099005i,-0.0011426-0.00097098i,-0.0007683-0.001011i,-0.000787-0.00034306i,-0.0012287+0.00035403i,-0.0011364+0.00037957i,0.00016564-0.00027257i,6.0519e-05-0.0007148i,-0.00035447-0.00013408i,0.00012684+0.00020464i,9.6331e-05-0.00054795i,-0.0001992-0.0003886i,-0.00033901-0.00021132i
-0.00099069+0.00028728i,-0.0009261+0.0004773i,0.00055912+0.0009204i,0.0018537+0.00047645i,0.0019986+1.0826e-05i,0.0010488-0.00052534i,-0.0004873-0.00043455i,-0.0016912-1.2691e-05i,-0.0014364-0.00034909i,-0.0010426-0.001307i,-0.00051095-0.0017626i,-0.00023058-0.00074322i,-0.00026797-6.2735e-05i,-0.00070188-0.00046678i,-0.00075614-0.00043838i,-0.00049155+0.00020827i,-0.00089888+0.00053534i,-0.00094753+0.00044349i,-0.00038726+0.00095332i,0.00020241+0.00066477i,0.00070701+0.00014481i,0.00076728-0.00023475i,0.00042963-0.00055669i
