-0.0011575+0.00049643i,-0.0020011-0.00088208i,-0.0015025-0.002224i,-0.0015779-0.0019604i,-0.0026399-0.0008338i,-0.002742+0.0010201i,-0.0017095+0.0020661i,-0.00022616+0.001304i,0.0010517+1.0956e-05i,0.0014555-0.00095448i,0.00063092-0.00075946i,5.4082e-05-0.00031037i,0.0004924-0.00090528i,0.00092191-0.0011638i,0.00061858-0.0009593i,0.00073077-0.00044352i,0.00039069-0.00023865i,-6.3176e-05-0.00067207i,-0.00026531-0.00067413i,-2.7659e-05-0.00041505i,0.00050452-5.0262e-06i,0.00018652+0.00010623i,-0.0002511-0.00014308i
0.0011598-0.0013072i,0.0014139+0.00010401i,0.00102-0.001313i,-4.5856e-05-0.0026102i,-0.0014599-0.002117i,-0.0022405-0.0010126i,-0.0013425-0.00071187i,0.00010641-0.0010238i,0.00031275-0.0012611i,-4.3425e-05-0.0011033i,5.3667e-05-0.0003831i,-0.00073909+0.00059399i,-0.0010692+0.00043118i,-0.00060401-5.7905e-05i,-0.00093719-8.4544e-05i,-0.0012491+0.0004462i,-0.00078146+0.001026i,-0.0003005+0.00073894i,-0.00095-0.00024071i,-0.00068856-0.00061525i,2.2144e-05+9.2198e-05i,-2.1517e-05+0.00011466i,0.00094476-0.0002498i
-0.0007107+0.00042646i,-0.00085004-0.00014824i,-0.0010538+0.00019671i,-0.00084676+0.00010399i,-0.00080489-7.7424e-05i,-2.6066e-05-0.00018532i,0.00058502+0.00041856i,0.00050336+0.00073146i,0.00027178-2.0248e-06i,0.0003181-0.00067546i,0.00076241-0.00097884i,0.00093152-0.00062176i,0.0004813-0.00042916i,0.00026917-0.00028943i,0.00015459+0.00045253i,-0.00047934+0.00053667i,-0.0003934+0.00010029i,-0.00064714-8.5334e-06i,-0.00059479+0.00014116i,-0.00015033+0.00037177i,0.00018264+7.3301e-06i,0.00057297-0.00020658i,0.00027676-0.00031046i
-0.00025884-0.001448i,-0.00049487-0.0016657i,-0.00027804-0.0017394i,0.00026016-0.0012254i,-4.9167e-05-0.0010155i,-0.0011032-0.00091751i,-0.00062629-0.00079494i,0.00031833-0.00061006i,0.0007618-8.425e-05i,0.00097914+0.00018314i,0.00056483-5.0462e-05i,0.000331-0.00047083i,8.5584e-05-0.00026005i,-0.00059985-0.0002495i,-0.00090497-0.00019393i,-0.0002892+0.00020426i,-0.00019194+0.00059561i,-0.00061473+0.00077845i,0.00057305+0.00049341i,0.0011432+0.00046607i,0.00081861+4.3713e-05i,0.0004437-0.00036551i,0.0001508-0.00045909i
0.00039752-0.00011049i,0.0014411-0.00071299i,0.0014989-0.0011718i,0.00015121-0.0015831i,-0.0012007-0.0017914i,-0.0017447-0.0016521i,-0.0014131-0.00090405i,-0.00068611+0.00029032i,-0.00040468+0.00050583i,-0.0010392+4.8101e-05i,-0.00086844+2.4835e-06i,-8.2475e-05+0.00036386i,0.00025897-0.00013031i,0.00071083-0.00085418i,0.00024932-0.00082005i,-0.00035658-0.00010909i,-0.00043423+0.00035212i,-0.00022064+0.0004057i,-0.00038573+0.00056936i,-0.00012539+0.00017438i,0.00033686-0.00044775i,0.00044247-0.00072205i,0.0002465-9.8332e-05i
0.00018717-0.0028095i,0.00020401-0.0022159i,-0.00097536-0.0027273i,-0.0019885-0.0022853i,-0.0020056-0.00059831i,-0.0010998+0.00056563i,-0.00024862+0.00045748i,-0.00048869-0.00047782i,-0.00071864-0.0012577i,-0.00071275-0.00078387i,-0.00066105+0.00042158i,-0.00053577+0.00048917i,-0.00040267+0.00037424i,-0.0003055+0.00021998i,-0.00031368-0.00026964i,-0.00071562-0.00075368i,-0.00088727-0.0010834i,-0.00063641-0.00080211i,-0.00010182-0.00023526i,0.00030903+0.00044788i,0.00065767+0.0011337i,0.00089153+0.00098306i,0.0007275+0.00051377i
-0.00038244+0.00052298i,0.00040038-0.00030756i,0.00072066-6.7593e-05i,0.00061705-0.00014528i,-0.00018326-1.0539e-05i,0.00052655+0.00022848i,0.00092084-0.00023116i,0.00071506-0.00040498i,0.00062941+2.7819e-05i,0.00079513+0.00053644i,0.00024833+0.0003529i,-0.00060124-0.00028657i,-0.00029765-0.00061019i,0.00022665-0.00088004i,-0.00053161-0.001087i,-0.0014705-0.00070423i,-0.0013139+0.00013904i,-0.0013878+0.00019242i,-0.001201-0.00045018i,6.1911e-05-0.00032334i,0.00028801+0.00046083i,-0.00019579+4.6668e-05i,-2.9064e-05-0.00048112i
-0.0014844-1.6404e-05i,-0.0018875+0.00035121i,-0.0010701+0.0010282i,-6.4202e-05+0.00065356i,0.00036136-0.00052531i,-9.5433e-05-0.00090657i,-0.00043528-0.00060441i,-0.00040029-0.0010381i,8.3898e-05-0.0012502i,0.00085959-0.00047233i,0.0012166-0.00056905i,0.00075166-0.00072435i,-0.00019332-0.00017916i,-0.00031303-0.00037219i,-9.0458e-05-0.00038057i,-0.00017613-0.0001223i,-0.00025375-0.00093168i,-0.00038101-0.00059536i,0.00011138+5.1651e-05i,0.0008589-0.00037261i,0.00069273+1.9525e-05i,7.6231e-05+0.00017892i,0.00056653-0.0002733i
-2.8273e-05+0.0017933i,0.00021497+0.002096i,0.0011163+0.0016882i,0.00071936+0.00081867i,-1.7302e-05-0.00062713i,-0.00030563-0.00010365i,-0.00068513+0.0012192i,-2.8197e-05+0.0010455i,0.00086975+0.00064254i,0.00048592+0.00017953i,0.00052544-3.302e-05i,0.00031842-0.00027991i,-5.0012e-05-0.00081279i,1.7215e-05-0.0015104i,0.00019597-0.0019787i,2.9195e-05-0.0016222i,0.00049109-0.0013554i,0.0006476-0.00053849i,-2.8555e-05-0.00036442i,-0.00013505-0.00069611i,-0.00062156-0.00024622i,-0.00072434-2.653e-05i,-0.00063743-0.00015221i
0.0005677+0.00012995i,0.00025674+7.4331e-05i,0.0015486+0.00058049i,0.001511+0.00026393i,0.00045389+2.825e-05i,-0.00015788+0.000632i,-0.00013262-4.2447e-05i,0.00029207-0.0010102i,0.00027495-0.00081292i,0.00053184-0.00087465i,0.00062015-0.0013924i,0.00037921-0.0016448i,0.00033588-0.00080661i,0.00050141-0.00020576i,0.00072706+2.0935e-05i,-0.00024134+0.00058792i,-0.00089058+0.00047881i,-0.0006719+0.0005902i,-0.00025064+0.00099016i,-0.00015801+0.00046791i,0.00020252-0.00016669i,0.00037983-0.00015608i,-3.1116e-05+0.00050627i
-0.00074188+0.00057223i,0.00014975-0.00029822i,0.00021156-9.332e-05i,8.6344e-05-0.00010745i,9.0101e-05-7.5079e-05i,0.00017782+0.00064197i,-7.1358e-05+0.00075027i,-4.9273e-05-4.8898e-05i,0.00010131-0.00016329i,0.00055561-0.00033205i,0.0012281-0.00052946i,0.00075671-0.00025113i,0.00050163-0.00038678i,0.00058701-0.00027398i,-0.00015926-0.00037458i,-0.00010664-0.00044457i,0.00052415-3.5238e-05i,0.00010161-9.8842e-05i,-5.0599e-05-0.00029644i,2.3616e-05+0.00055303i,-5.2556e-06+0.00077218i,0.0001935+0.00043344i,0.00022999+0.0004443i
0.00010046+0.00089508i,-0.00014258+0.0013092i,-0.00081975+0.00023048i,-0.0010295+8.9216e-05i,-0.00086716-0.00064102i,-0.00068558-0.0011455i,-0.00062213-1.284e-05i,-0.00058951+0.00054788i,-1.1839e-05+1.1848e-05i,0.00081504-0.00018447i,0.0010919-0.00019467i,0.0007297-0.00065757i,0.00051839-0.0011425i,0.00024606-0.0013167i,3.0001e-06-0.0011211i,0.00051789-0.00018717i,0.00024146-0.00011922i,-0.00035202-0.00021553i,0.00030634+0.0001112i,0.00040708-0.00025436i,0.00031858-0.00026348i,0.00093728+0.000267i,0.00051303+8.7397e-05i
0.00020818+0.0011097i,0.0012575+0.00078779i,0.0016189-0.00031926i,0.0015187-0.00049414i,0.00076906-0.00048536i,-0.0002669-0.00024954i,0.00011248+6.7192e-05i,0.00091417-0.00021995i,0.00060842-0.0003702i,0.00067593+0.00075452i,0.0011505+0.0005437i,0.00062957-0.00036102i,0.00025601-0.00056909i,0.00032899-0.001453i,-0.00013316-0.001114i,-0.00085765+0.00030453i,-0.00083662+0.00088894i,-0.00023108+0.00091518i,0.00053847-0.00040397i,0.0011642-0.0007032i,0.0011655+9.3665e-05i,0.00020849+0.00027503i,-0.00064436+5.5054e-05i
-0.0021328-0.0016768i,-0.0017532-0.0017468i,-0.0023153-0.00072347i,-0.0018468+6.282e-05i,-0.0016566+0.00039939i,-0.00085317+0.00084545i,0.00041874+0.0012777i,3.2505e-05+0.00044733i,-0.0005576-0.00055245i,-0.00050789-0.00064798i,-0.00012636-0.00011992i,0.00028628+0.00053622i,0.00093067+0.00016424i,0.0011506+0.00013583i,0.00079221+0.00013977i,0.0013244+0.00024789i,0.0016945-0.00014622i,0.0011716-0.00024854i,0.00063041-0.00017615i,0.00070348+0.00033858i,0.00045411+0.00062923i,-0.00012506+0.00021374i,-0.00013605-0.00065262i
0.0021329+0.0019904i,0.0021695+0.0013308i,0.002668+0.00035581i,0.0021452-0.00092984i,0.00069008-0.0019319i,-0.00080923-0.0012116i,-0.00053851+0.00029478i,0.00069701+0.00035654i,0.00063625-0.00019352i,9.9354e-05-0.00072022i,1.733e-05-0.0014626i,0.00053861-0.001063i,0.0010746+0.00013365i,0.0003755+0.00017038i,-7.091e-06-0.00071606i,-2.9886e-06-0.00038139i,-1.6222e-05-0.00010005i,-3.1984e-05-0.0006493i,0.0002271-0.00020819i,0.00065143+0.00012472i,2.9167e-05-0.00037568i,-0.00010389-0.00085927i,7.1896e-05-0.00048019i
-6.7981e-05-0.00033017i,-0.0008841-0.00034042i,-0.0012845-0.00072755i,-0.00084871-0.00076186i,-0.0008314-0.00013391i,-0.00040834+0.00051686i,0.00021018+0.00085659i,0.00022248+0.00073631i,-7.6965e-05-7.506e-06i,-9.711e-05+0.00023438i,-0.00068969+0.00026859i,-0.0012894-0.00011289i,-0.00044306+0.00017085i,0.00051318+5.9927e-05i,0.00033556-0.00026101i,0.0003135-0.00041521i,0.00032278-0.00062672i,0.00029667-0.00058872i,0.00015887+6.7888e-06i,0.00052947+0.00085087i,0.00029334+0.00073988i,1.7764e-05-0.00022396i,-0.00014777-0.00037837i
0.00010748-0.00037612i,0.00080077-0.00061548i,0.0010333-0.0012716i,-0.00041881-0.0010161i,-0.0017861-6.4678e-05i,-0.00092679+0.00086402i,-0.00018019+0.0011642i,-0.00088212+0.00011428i,-0.00035845-0.0011089i,0.0004552-0.0010287i,-8.6707e-05-0.00031797i,-0.00025233+0.00026026i,0.00062675+0.00078633i,0.00021459+0.00090768i,-0.00044607+0.00021264i,0.00028711-0.00036578i,0.0005666-0.00016017i,0.00058323-0.00020472i,0.00059337+2.1727e-05i,-0.00023352+0.00021364i,-0.00018794-0.00039156i,0.00020723-0.00091066i,0.000212-0.0011618i
0.00028123-0.0010781i,0.00086726-0.00090112i,-0.0001852-0.00028502i,-0.00098216-0.00014817i,-0.00082598-0.00029225i,-0.0012354-2.9773e-05i,-0.0017053+0.0001552i,-0.0017194+0.00013048i,-0.0011931-0.00029715i,-0.00048219-0.00035139i,0.00019672-0.00056068i,0.00087429-3.1638e-05i,0.00078055+0.0005411i,0.0003692-6.7745e-05i,0.00022743-0.00056164i,0.00030675-0.00024815i,0.00046996+4.7526e-05i,0.00074606-0.00017786i,0.00072648-0.00033328i,0.00067376-0.00023785i,0.00018225+3.961e-05i,-0.00011671+0.00053955i,-0.00050457+0.0010365i
-0.00020451+0.00039782i,0.0013532-0.00055112i,0.0018713-0.00024324i,0.0005367+0.00053594i,-0.00018575+0.00046192i,-0.00020197+0.00018065i,-0.00079887+0.00052229i,-0.00062654+0.00011041i,0.00026109-0.0010671i,0.00081423-0.00091035i,0.00059918+0.00034851i,0.00049973-0.00020658i,0.00034339-0.00087693i,-0.00034363-0.00093923i,-0.00076564-0.00075069i,-7.1151e-05-0.00029827i,0.00019605+0.00011884i,-1.2714e-05-0.00019892i,0.00028705+0.00010301i,0.00010765+0.00096604i,3.2126e-05+0.00061043i,0.00029474+0.00055391i,0.00024187+0.00083392i
0.00026603-0.00093106i,-0.00026913-0.0006198i,-0.00055161-0.00069596i,-0.00084054-0.0012328i,-0.0020262-0.0014907i,-0.0020619-0.001101i,-0.0010965+0.00029871i,-0.00015828+0.0010095i,0.00085977+0.0007184i,0.0017571+0.00074669i,0.0011492+0.00051952i,0.00069079+5.9385e-05i,0.00049903-0.00022622i,-4.9342e-07-0.00025102i,-0.00058227+0.00041903i,-0.00058326+5.0181e-05i,-1.8242e-05-0.00083916i,0.00027573-0.00035967i,7.4131e-05+0.00019447i,-0.00015284+0.0004469i,-0.00057293+0.00029762i,-0.00030669+0.00017026i,0.00062062+4.7029e-05i
-0.00067386+0.001557i,0.00056472+0.0015047i,0.000845+0.002124i,0.00041994+0.0008208i,7.5519e-05-0.0002147i,-0.00050555+0.00024641i,-0.00086127+0.00098695i,-0.00051556+0.00042168i,-0.0004583-0.00066958i,-5.2119e-05-0.00029464i,0.00052094+0.00085984i,-0.00030077+0.00094554i,-0.0006118+0.00042774i,3.6028e-05-0.00030283i,-4.5998e-05-0.0010268i,-0.00015586-0.00049937i,-0.00084651+0.0002237i,-0.0012075-0.000371i,-0.00053989-0.00035467i,-0.00014306-0.00010006i,7.8357e-05-0.00075794i,0.00041092-0.00019375i,0.00081388+0.0014599i
-0.00089351+0.00068989i,0.00014283+0.00040048i,9.2224e-05+0.00059094i,-0.00020124+3.3585e-05i,0.00023401-0.0012878i,-0.00015142-0.00095804i,-0.0013832-1.0854e-05i,-0.0014676-0.00083519i,-0.00026214-0.0012533i,0.00023717-0.000863i,-0.0002859-0.00060528i,-0.00012298-0.00010728i,0.00020085+0.00054271i,0.00023272+0.00031406i,0.0007091-0.00038896i,0.00089311-0.00027236i,0.00029768-0.00019523i,-5.8296e-05-0.00065213i,0.00051205-0.00056379i,0.00053961-0.00092222i,0.00055864-0.001446i,0.0010779-0.00096591i,0.00033622+0.00028545i
