0.00042181-3.8736e-05i,0.0012188-0.00018011i,0.00034571-0.001928i,0.00045395-0.0025888i,-0.0004321-0.0015494i,-0.0010438-5.6652e-05i,-0.00087674+0.00074391i,8.202e-05+0.00077073i,0.001114-7.9119e-06i,0.00080368-0.0012565i,0.00018182-0.0018453i,0.00018074-0.0015657i,0.00019388-0.0010667i,7.896e-05-0.00074803i,0.00081165-0.00030919i,0.0013269+0.00038535i,0.0004344+0.00037942i,-6.186e-05+0.00094974i,-8.5077e-05+0.0010811i,-0.00042964-0.00028954i,-0.00083355-0.00057469i,-0.0013443-0.00015374i,-0.00088272+6.6939e-05i
-0.0012355+0.0022127i,0.00052088+0.0019073i,0.0024661+0.0020605i,0.0033902+0.00089268i,0.0029577-0.0019359i,0.0015173-0.0023374i,0.00027218-0.00039657i,-0.00078902+0.00052071i,-0.00067896+0.00063651i,0.00018439+0.00067181i,0.00029117+0.00035058i,-0.0005943-0.0004617i,-0.001746-0.00097388i,-0.0015905-0.00043546i,-0.00076571+0.0006426i,-0.00026138+0.00061069i,-0.00021149-2.549e-05i,-0.00033381-0.00029339i,0.00034327-8.6051e-05i,0.00041651+0.00014917i,0.00028047-1.9182e-05i,0.00053555-0.00053482i,4.4177e-05-0.00052944i
0.0032078+0.00093245i,0.0020694-0.0012576i,0.0030446-0.0020677i,0.0045506-0.0027809i,0.003157-0.0037686i,0.0013381-0.0036688i,0.0011204-0.0020989i,0.00077098-0.00027824i,-5.8895e-05-8.5806e-05i,8.1983e-05-0.00059493i,0.00067709-0.0003009i,7.2695e-05+0.00054895i,-0.00072048+0.0013664i,-0.00074442+0.00098715i,-0.00074785+0.00016935i,-0.00043304-0.00038898i,-4.1626e-05-0.0006629i,0.0003824-0.0006369i,0.00027512-0.00026363i,5.5177e-05-0.00051606i,0.00016866-0.00092136i,-1.574e-05-0.00047381i,-0.00017195+0.00011409i
0.0015919-0.00067375i,0.0022214-0.0014916i,0.0023355-0.0014443i,0.0014445-0.0015321i,0.00049739-0.00095371i,-0.00019181-1.7415e-05i,0.00012664-0.00040747i,-0.00012964-6.7713e-05i,-0.0011786+0.00025298i,-0.0007455+5.9117e-05i,-6.0742e-05+0.00028751i,0.00011134+0.00095238i,6.9559e-05+0.0010652i,-0.00071555+0.00088327i,-0.0012786+0.0009489i,-0.00077539+0.00040451i,-0.00032594+8.0048e-05i,-0.00060234+0.00047848i,-0.00087808+0.00029522i,-0.0004369-0.00032924i,-0.00019748-0.00017235i,-0.0003237+0.00068437i,-0.00020083+0.0012116i
0.00031379-0.00066866i,0.0010179-0.000552i,0.0018986-0.0011434i,0.0030797-0.0027533i,0.0024753-0.0026238i,0.00083857-0.0011725i,9.0475e-05-0.0010925i,-9.4902e-05-0.00093008i,5.3942e-07-8.5242e-05i,0.00011384+0.00038528i,-0.0005113+0.0003i,-0.0010439+8.1665e-05i,-0.00059207+0.00052253i,-0.00015273+0.0013978i,0.0006376+0.00049287i,0.00096075-0.00054742i,0.00021891-0.00050823i,-0.00068171-0.00034667i,-0.00042026-0.00089013i,0.00043075-0.0012843i,0.0001567-0.00065238i,0.00015441+2.1095e-06i,0.00065271+0.00017961i
-0.0010763-0.00082205i,0.00056452-0.00044565i,0.0015114+3.0624e-05i,0.0012728-0.00026937i,0.0010588-0.0011654i,0.00038471-0.001014i,-0.00062802-9.3411e-05i,-0.0013418+0.00092828i,-0.0014492+0.0011059i,-0.00083395+0.0012983i,-0.00039419+0.0011518i,-0.00064359+0.00096184i,-0.0004625+0.00049881i,-0.00030032+8.3087e-05i,-0.00074679-0.00038216i,-0.0011057-0.00025759i,-0.00080656-0.00012296i,-0.00015543-0.00036699i,0.00014501-0.00066507i,5.8549e-06-0.00088549i,-0.00010951-7.0647e-05i,-0.00016728+0.0001209i,-0.00067599-0.00031518i
0.0012309-0.001453i,0.00133-0.0022551i,0.0019131-0.001648i,0.0022507-0.00082336i,0.001292-0.0012794i,0.00050748-0.0016964i,-8.8771e-05-0.0012785i,-0.00077988-0.00063242i,-0.00057488+0.00027054i,-0.00039547+0.00061983i,-0.00059137+0.00042173i,-0.00019486+0.00053098i,0.00041459+0.00051562i,0.0008312+0.0011994i,0.00094963+0.0007869i,-4.0982e-05-0.00023806i,-0.0003582+0.00019556i,0.00043217+0.0010235i,0.00030996+0.00099631i,-0.00032383+0.00051144i,-0.00090086+0.00056496i,-0.0013224+0.001065i,-0.00071893+0.0018256i
0.00040043+0.00052355i,0.0010702-4.4318e-05i,0.00166-0.0018119i,0.001295-0.0031305i,0.00078784-0.0029547i,-0.00019272-0.0021226i,-0.00060226-0.00090791i,-8.9648e-05-0.00036585i,-9.0196e-05-0.00071181i,0.00047297-0.00084658i,0.0008309-0.00050462i,-0.00019008+0.00021048i,-0.00060125+0.0014348i,-0.00065153+0.0012915i,-0.00032657+0.00020251i,-0.00017479-0.00056112i,-0.00020989-0.00016374i,-0.00056239+0.0006374i,-0.00049637-0.00029677i,-0.00027957-0.00075867i,-0.00073239+0.0001342i,-0.0004715+0.00018948i,-2.4901e-05+1.7639e-05i
0.0033996-7.8233e-05i,0.0025839-6.7149e-05i,0.0019362-0.00071262i,0.0016199-0.0006555i,0.00044945-0.0016649i,-0.00049222-0.0020055i,-0.00052833-0.00080452i,-0.00060832+7.658e-05i,-0.00061126-0.00036986i,-6.3339e-05-6.0681e-05i,0.00048227+0.00051691i,-0.00024024+0.00020566i,-0.00071344+0.00083528i,-0.0004722+0.0010362i,-0.00016949+0.00059459i,-0.00018438+0.00052614i,-4.5751e-05-0.00037806i,-0.00066401-0.0006378i,-0.00084685-1.8231e-05i,-0.00038793+0.00016859i,-0.00029613+0.0001842i,-0.00014557+0.00021711i,-0.00025104-0.00019778i
0.00041808-0.00049818i,0.00070848-0.0013503i,0.0021901-0.0020705i,0.0025735-0.0031027i,0.0018243-0.0032641i,0.0011518-0.0020248i,0.00097169-0.00064867i,7.6703e-05-2.6857e-05i,-0.00036224+1.9503e-05i,-0.00024418-0.00029498i,0.00011885-5.5989e-05i,-0.00021184+0.00020434i,-0.0011586-0.00027205i,-0.00097363-0.00011318i,0.00016219-0.00026386i,0.00027066-0.00035084i,-0.00027735-2.5866e-05i,-1.4497e-05+0.00056906i,-0.00022417+0.00095524i,-0.0010808+0.00016088i,-0.0010401-0.00057201i,-0.00035513-0.00061333i,-0.00016669+3.5317e-05i
0.0013073-3.0715e-06i,0.0011238-0.0010865i,0.0015504-0.0019473i,0.001232-0.0020477i,-0.00049382-0.0021166i,-0.00051092-0.0011476i,0.00011182-0.00013287i,-0.00055191-0.00045599i,-0.00034842-0.0007898i,3.1301e-05-0.00077727i,0.00024128-0.0010844i,1.2317e-05-0.00092894i,-0.00087334-0.00033806i,-0.00090181+0.00011191i,-0.00021481-7.001e-05i,-0.00049385+0.00044188i,-0.00073268+0.00092783i,-0.00041366+0.00042883i,-0.00025104+0.00013498i,8.5431e-05-0.00017301i,-0.00040434-0.00015886i,-0.00035182+1.8786e-05i,0.00019215-0.0003795i
0.0014726+0.0008531i,0.0013133+0.00033668i,0.0020559+0.0005995i,0.0027412-0.00073643i,0.0031592-0.0024404i,0.0016169-0.0022855i,-0.00020607-0.00084103i,-0.00075738+0.00018268i,-0.00063865-3.6512e-06i,-0.00027228-0.00038604i,0.00090003-0.00043113i,0.00073992-3.2165e-05i,-0.00026479+0.00033091i,-0.00059328+0.00085375i,-1.6712e-05+0.00070894i,0.00074842+0.00085391i,0.00025663+0.0013847i,-0.00013893+0.00073671i,0.0006515+0.00014515i,0.00063006+0.00027083i,-0.00025569+0.00027128i,-8.8924e-05+0.00014047i,0.00021099+0.00019893i
0.00076232-6.1102e-05i,0.001511-0.000885i,0.0019889-0.0015556i,0.0021013-0.0016846i,0.002576-0.0016447i,0.0022123-0.0012459i,0.0015365-0.00026289i,-0.00034927+6.8279e-05i,-0.0012224+0.00015742i,-6.0691e-05+0.00017304i,0.00069915-0.00032583i,-0.00027661-0.00025399i,-0.00091349+0.0008677i,-0.0010564+0.001325i,-0.0008829+0.00020035i,-3.6481e-05-0.00016382i,-0.00011148+0.00016866i,-0.00075023+0.00048988i,-0.00038327+0.00019149i,-9.3445e-05-0.0011505i,-8.8151e-06-0.0013316i,0.0005119-0.00060411i,0.0010629-0.00072774i
0.00056017-0.0024275i,0.00015313-0.0016944i,-0.0002907-0.0020498i,-0.0012871-0.001729i,-0.00052003-0.0013215i,0.00029528-0.0005679i,0.00056027+0.00061254i,0.00023959+0.0010708i,-9.0998e-06+0.00069414i,-0.00063593+0.00010975i,-0.0010479-0.00037805i,-0.00045187-0.00026252i,0.00051467+0.00099255i,0.0009581+0.0012032i,0.00033463+0.00051858i,-0.00043358-0.00030226i,-0.00027308-0.00075302i,0.00024326-0.00066078i,0.00027072-6.5723e-05i,-8.1943e-05-4.3176e-05i,-0.00068575+7.1689e-05i,-0.0007629-9.094e-05i,-0.00079757-0.00045924i
0.0005656+0.00064196i,0.00114+0.00063835i,0.0022183+0.00062617i,0.002725-0.0010166i,0.0013886-0.0020222i,-0.00044544-0.0012274i,-0.0014446-0.00065041i,-0.0012248+0.00010865i,-0.00059511+0.00029248i,-0.00032875-9.4089e-05i,-0.00033641+0.00014773i,-0.00016564-0.00031662i,-3.5591e-05-0.00065615i,-4.6163e-05-0.00032434i,0.00022682+0.00028775i,0.00085036+0.0001482i,0.00091155-0.00045368i,-0.00030914+8.8301e-05i,-0.00069259+0.00045054i,-0.00019316+0.0002243i,-0.00082917+0.000116i,-0.00099491+6.0211e-05i,-0.0012437+0.00035063i
-0.00052871-0.00054426i,0.0009374-0.0011949i,0.0027253-0.0019808i,0.0021738-0.0025082i,0.0017872-0.0027391i,0.0015414-0.0016129i,0.00020458-0.00067409i,-0.00040527-0.0010756i,-0.00094911-0.00086081i,-0.0008162-0.00056633i,-0.00019713-0.00036355i,-0.00025479+0.00026882i,-0.00017047+0.00060059i,0.00022+0.0010285i,0.000283+0.00092666i,0.00047316+0.00034143i,0.00042666+0.00037815i,-9.9557e-05+0.00014272i,-0.00057168-0.00065141i,-0.00091971-0.0014078i,-0.0011483-0.0011309i,-0.0009443-0.00032752i,-0.0010073-0.0002565i
0.00080049-0.00011965i,0.0014113-0.0001969i,0.0017227-0.00067065i,0.0016564-0.00063614i,0.0013456-0.00083078i,0.00058962-0.00071911i,-7.0547e-05-0.00011598i,-0.00048809+0.00032015i,-0.00099962+0.0006869i,-0.00087252+0.00057905i,-0.00057831-0.00016586i,0.00044917-0.00041442i,0.00077542+0.00016726i,0.00037995+0.00039777i,9.1086e-05+7.1587e-05i,1.3806e-05-0.00082482i,0.00033085-0.0012853i,0.00037059-0.00088465i,0.00049989-0.00095868i,0.00027824-0.00093329i,-0.00021883-0.00030915i,-0.00064656+0.00039901i,-0.00087906+0.00067231i
0.0011998-0.0013254i,0.0019398-0.0020023i,0.0029415-0.0031384i,0.0021574-0.0039448i,0.0011619-0.0033689i,0.001311-0.0021573i,0.0005814-8.6244e-05i,-8.1359e-05+0.0011676i,-0.00053401+0.0013308i,0.00011074+0.00065746i,0.00072257+0.0011435i,-0.0003163+0.0010949i,-0.0013028-0.00013205i,-0.0011383+4.885e-05i,-0.00060002+0.0008904i,-0.00032322+0.00034079i,-0.00019468-0.0011398i,-0.00080341-0.0013867i,-0.0010533-0.0010573i,-0.00047542-0.0014169i,-0.00038227-0.0013546i,-0.0007036-0.00095455i,-0.0007932-0.00068189i
0.0012651+0.0013082i,0.0022841+0.00041625i,0.003604-0.00011248i,0.0030519-0.0014787i,0.001884-0.0024001i,0.0011593-0.0021377i,0.00041244-0.00061994i,-0.00046227+0.00024511i,-0.00023646+0.00081499i,0.00040545+0.00048317i,0.0007258-5.7593e-06i,0.00059698+0.00047896i,-0.00039001+0.00039118i,-0.0010199-0.00053298i,-0.00085031-0.00022147i,-0.00071902+0.00080014i,-0.00037873+0.00048251i,5.0128e-06+0.00020519i,-3.5899e-05+0.00056204i,-0.00031079+0.0007233i,8.0454e-05+8.9894e-05i,0.00073912-0.00098321i,0.00046899-0.00095288i
-0.00025499+0.0014154i,0.0011244+0.0017058i,0.0019976+0.00094525i,0.0024523-0.0007139i,0.0023809-0.0017068i,0.0015409-0.0012329i,0.0008034-0.00075903i,0.00063353+0.00020285i,0.00035779+0.00088686i,0.00076498-0.00039167i,0.00049539-0.00070099i,0.00017094+0.00031048i,0.00040672-0.00013233i,7.4698e-05-0.00032738i,-0.00027487+0.00016272i,-0.00056232+0.00018543i,1.0649e-05+0.00041986i,0.00064945+0.00029831i,0.00022187+0.00029695i,-0.00034162+0.00040559i,-9.4131e-05+6.4995e-05i,9.9092e-05+0.00016029i,-3.8283e-05+0.00031151i
7.562e-05+0.0015138i,0.0014305+0.00088395i,0.0018814+4.8491e-05i,0.0022918-0.000875i,0.002662-0.00159i,0.0011596-0.0011775i,-0.00027739-0.00044063i,-0.00044989+3.9097e-05i,-0.00020499+2.9707e-05i,-0.00015279-0.00089195i,-0.00056548-0.0013452i,-0.00088908-0.00094411i,-0.00098705-0.00034146i,-0.00044654+1.1051e-06i,0.0004671+0.00024767i,0.0005586-6.7851e-05i,-0.00067356+8.1721e-05i,-0.0012906-3.8147e-05i,-0.00080625-7.7563e-05i,-0.0006014+5.5994e-05i,-0.00047289+0.0001077i,-4.6351e-05+0.00037612i,0.00037016+0.00049733i
0.00044291-0.0012979i,0.00078196-0.00083169i,0.00082853-0.0011001i,0.00085721-0.0017808i,0.00063664-0.0019313i,0.00047993-4.332e-05i,-0.00037303+0.00072i,-0.0018142-0.00054044i,-0.001706-0.00085378i,-0.00081946-0.00079532i,-0.00017896-0.00079284i,0.00031091-0.00038734i,0.00061592-0.00037503i,0.0003362-0.00044589i,0.00066424-9.6049e-06i,0.00061921+4.1375e-06i,0.00023426+0.00040035i,-0.00028959+0.00095984i,-0.00029609+0.00065866i,9.2345e-05+0.00028043i,-0.00026042+0.00027973i,-0.00019721+0.00024876i,3.9729e-05+0.00010514i
6.6852e-05+0.0006557i,-7.858e-05+0.00010899i,0.00048075-6.958e-05i,0.0018204-0.00012963i,0.002095-0.00089489i,0.0011012-0.0013943i,0.00020873-0.00053227i,-0.00083924+0.00090668i,-0.001707+0.0010936i,-0.0012115-2.6809e-05i,9.3921e-05+2.5533e-05i,8.0775e-05+0.0003415i,-0.00064958-0.00016628i,-0.00014358-0.00011705i,0.00013925+0.0003571i,0.00030019-0.00011057i,0.00055784-0.000242i,0.00048888-0.0003901i,-0.00025281-0.001108i,-0.00054203-0.00099216i,-0.00068329-0.0012836i,-0.00082146-0.0013315i,0.00035775-0.00062534i
0.0003777-0.0015513i,0.00036493-0.0011229i,0.0020856-0.0015654i,0.0032565-0.0015008i,0.0023214-0.0017986i,0.00085027-0.0020879i,0.00067158-0.00046374i,0.0010074+0.00049599i,0.0001655+0.00053849i,3.213e-05+0.00026634i,0.0003809+0.00024587i,-0.00025604+1.203e-05i,-0.00027819+8.4457e-05i,0.00034663+0.00022781i,0.00068222+0.00017098i,0.00029156+0.00011833i,-0.00010984-0.00046475i,0.00010816-0.00094033i,0.00066868-0.00072259i,0.00041565-6.3673e-06i,-0.00051006+0.00065716i,-0.0010718+0.00081284i,-0.00055562+0.00035435i
2.1731e-05-0.0015815i,0.00050322-0.0019724i,0.00064527-0.0028249i,0.00094814-0.0033175i,0.00079124-0.0026699i,0.00075031-0.0015008i,0.0008717-4.2461e-05i,0.00031935+0.00050282i,-0.00021783+0.00060458i,-0.00078654+0.00077152i,-0.00058264-8.9745e-05i,-0.00039317-0.0001792i,-3.2265e-05+0.00097375i,0.001131+0.0018638i,0.00088637+0.0019676i,6.2138e-05+0.0014413i,-0.00016223+0.00091527i,-0.00049373+0.00062656i,-0.00077895+0.0006492i,-0.00045436-0.00044539i,-0.0002903-0.00057644i,-0.00044073+0.00081308i,-0.00038427+0.00066519i
0.0022604-0.0015503i,0.002882-0.0025879i,0.0025833-0.0022236i,0.0015409-0.0018532i,-0.00018667-0.0013647i,-0.00071987-0.0011084i,-0.0011814-0.00095152i,-0.001303-0.00096415i,-0.00094911-0.00071218i,-0.00072796+0.00041811i,-0.00096593+0.0011238i,-0.0010505+0.00069983i,-0.00027095+0.00050261i,-0.00017941+0.00070935i,-0.00061457+0.00068827i,-0.00045677+0.00025953i,2.0471e-05-0.00055482i,-0.00053298-0.0009449i,-0.0012742-0.00059598i,-0.0014384-0.00025603i,-0.0015292-0.00074439i,-0.0010011-0.0010108i,-0.00030354-0.00068614i
