0.0032037-0.00094214i,0.0023399-0.00090228i,0.00054467-0.0018135i,-0.0012112-0.0019436i,-0.0019845-0.0010824i,-0.0019306+0.00022226i,-0.0014415+0.00098479i,-0.00055918+0.0010631i,0.00037358+0.00076432i,0.00057413-0.00025765i,-0.00023431-0.00061836i,-0.0011987-0.00033839i,-0.0011024-0.00012494i,-0.00067938+0.00078347i,-0.00024685+0.0011922i,0.00042662+0.00061567i,0.00041383+7.6021e-05i,0.00031987-0.00071386i,0.00042093+0.00044344i,0.00063168+0.0006475i,0.00040964-0.00049522i,-0.00022852-0.00077044i,-0.00012902-0.00085537i
-0.0012309-0.0012301i,-0.0021625-0.0016845i,-0.0019058-0.0010043i,-0.00098255-0.00055463i,-0.00014074-0.00079546i,-8.1862e-05-0.0012506i,0.00027096-0.0012988i,0.00060676-0.0010276i,0.00011901-0.00020528i,-8.4897e-05+0.00046636i,-0.000298+0.00030351i,-0.00020436+4.5179e-05i,-0.00018551-0.00050061i,-0.00071243-0.0013843i,-0.00072421-0.0010679i,-0.0003909+4.9476e-05i,-0.00080072+0.00038215i,-0.00027499-0.00025271i,-0.00019755+2.206e-05i,-0.00054776+0.0004594i,0.00022572+0.00040212i,0.00044662-8.1813e-05i,-1.525e-05+0.00030157i
-0.00095195-0.00097809i,-0.0005629-0.00070129i,-0.00033566-0.00081037i,0.00019882-0.0012443i,0.0010369-0.0010263i,0.0015195-0.00036291i,0.0014402-0.00038807i,0.00091445-0.00086469i,0.0013086-0.00091646i,0.0013011-0.00042673i,0.00072409-0.00025078i,0.00022536-0.00064814i,0.0003327-0.0011533i,0.00055416-0.0013933i,0.00031834-0.001645i,0.00083607-0.00099185i,0.0010223-0.00058874i,0.00028883-0.0002706i,-0.00074344-0.00020161i,-0.00086509-0.00064226i,-0.00071059-0.00047023i,-0.00038874+0.00032232i,-0.00018155+0.0012431i
0.00057091-0.0014281i,0.00012261-0.0024072i,0.00047729-0.0022382i,0.00056394-0.0011733i,0.00019415-0.00083339i,-5.8937e-05-0.0011386i,-7.8115e-05-0.0014649i,0.00014578-0.00078482i,0.00021263+0.00043985i,0.00099631+0.00072257i,0.00088303+0.0006375i,-0.00039212+0.00038948i,-0.00083638+0.00014892i,-0.000343+0.00040553i,-0.00018885-6.7565e-05i,-0.00052213-0.00010607i,-0.00026313+0.0001207i,0.00075661+1.5178e-05i,0.0011742+0.00022374i,0.0010068+7.7631e-05i,0.00055555-0.00020265i,-2.472e-05-0.00016069i,-0.00061507-0.00013227i
-0.0010193-0.0010736i,-0.001346-0.00070255i,-0.0021748-0.00051291i,-0.0010637-0.0011327i,-0.00024911-0.0013958i,0.00024943-0.0014968i,0.00071992-0.0010318i,0.00092023-0.0008229i,0.00071024-0.0004685i,-0.00061466+0.00034544i,-0.001376-4.2414e-05i,-0.0011694-0.00056625i,-0.00066289-0.00020534i,-1.3509e-05+0.00017646i,0.00034786+0.0002881i,0.00020558+0.00013891i,8.255e-05-0.00040734i,5.8453e-06-0.00054398i,-0.00041605-7.0091e-05i,-0.00044219-4.7926e-05i,-0.00022683-0.00014962i,-0.00044595-0.00019606i,-0.00035581-7.266e-05i
-0.0019423-0.0031806i,-0.0019272-0.002799i,-0.0031062-0.00054832i,-0.0031547+0.00059492i,-0.00088343+0.00097931i,0.00047589+0.00055715i,0.0004542-6.7157e-05i,-4.0851e-05+0.00026343i,-0.00010773-8.6946e-05i,-0.0007328-0.00041091i,-0.0014836+0.00060278i,-0.00098742+0.00055698i,0.00042797-0.00048897i,0.0011276-0.0010531i,0.0008005-0.0013949i,-0.00013458-0.00028097i,-0.00089369+0.00075063i,-0.00094419+0.00046707i,-0.00080057+0.00040783i,-0.00065655+0.00067953i,-0.00064429+0.00047799i,-0.00010881-0.00077218i,0.00077428-0.0010311i
0.00074569-0.0010877i,0.00087286-0.0013465i,0.001221-0.0015051i,0.00088905-0.0010923i,0.000312-0.0010454i,-0.00035074-0.0014147i,0.0006669-0.0012661i,0.0015477-9.0442e-05i,0.00067239+0.00072506i,-0.00024512+0.00018373i,-0.0010548-0.00039971i,-0.00086961+2.7101e-05i,0.00014982+0.00043725i,0.00011584-0.00064044i,-8.04e-05-0.0017589i,2.0241e-05-0.0014459i,-0.00052371-0.00038352i,-0.00069309+0.0004893i,-0.00022783+0.00073089i,-0.00065443+0.00066326i,-0.00047768+0.00035108i,4.1468e-05-1.5436e-05i,-0.00016835-0.00032619i
0.0020342-0.001159i,0.0018496-0.0018522i,0.0013292-0.0025783i,0.00051927-0.0032561i,-9.1125e-05-0.0028552i,-0.00060642-0.0016816i,-0.00023838-0.00084366i,0.00091839-0.00075457i,0.0011097-0.0010346i,0.00011495-0.0015251i,-0.0011999-0.0014497i,-0.0011009-0.0010743i,-0.00059679-0.0010052i,-0.0012803-0.00030063i,-0.0015052-2.7763e-05i,-0.00052094-0.00074045i,0.00016767-0.0010744i,9.7209e-05-0.00045341i,0.00025104+0.00047997i,0.00037559+0.0010328i,7.4428e-05+0.00049577i,-0.00025558-0.00011681i,-0.0002002+0.00086745i
0.0020131-0.0011249i,0.001384-0.0019676i,0.0005928-0.0025029i,0.00028249-0.0029205i,-0.00079891-0.0025006i,-0.0013015-0.001774i,-0.00017979-0.00089753i,0.0007735+1.2727e-05i,0.00020169+0.00080251i,0.00012434+0.00079866i,0.001192+0.00044173i,0.00091787-0.00035949i,0.00012422-0.0010622i,0.00071287-0.00079109i,0.00070553+0.00012495i,0.00026584+0.0008693i,-0.00022579+0.0004101i,-0.00088936+0.00015908i,-0.0014892-1.441e-06i,-0.0010617-0.00068939i,5.7543e-05-0.0004658i,0.00055037-0.00023064i,0.00054079-3.0127e-05i
0.0017837-5.5408e-05i,0.0011124-0.00097259i,0.0013533-0.0019503i,0.001555-0.0021005i,0.0010755-0.0027335i,-0.00010661-0.0020659i,-0.00027497-0.00088607i,0.00020962-0.00054908i,-2.6277e-05-0.00060166i,-0.00045729-0.00087987i,-3.0355e-05-0.00090213i,0.00036577-0.00035699i,0.00010046+0.00029326i,0.00017974+0.00079609i,0.00038391+0.00055026i,0.00026075+0.00047992i,-0.00021579+0.00061979i,-0.00053408+0.0011121i,-0.00044156+0.00074898i,0.00012505+3.6358e-05i,0.0005111-4.6808e-05i,0.00033932-0.00046993i,-0.0001487-0.00094511i
0.0018543-0.0016411i,0.00096827-0.0031758i,-0.00062201-0.0034082i,1.451e-05-0.0020945i,0.00085375-0.00050987i,0.00073159-0.00056785i,0.00057968-0.00094168i,0.00065429-0.00052351i,0.00044258-0.00018518i,-0.00025241+0.0002219i,-0.00058532+0.00015369i,-0.00065158+0.00027992i,-0.00044387+0.00011471i,0.00049573+0.00021869i,0.0011774+0.00049441i,0.00020951+0.00025811i,-5.0573e-05-0.00010853i,0.00062751-0.0001585i,0.00077623+0.00033925i,0.00059684+0.00049333i,2.1273e-05+0.00030245i,-0.00047269-0.00046189i,0.00013027-0.00050173i
-0.00047034+0.00093365i,-0.00074906+0.0002066i,-0.00078534+0.00035608i,-0.00032438+0.00043825i,3.6633e-05+0.00015142i,0.00071151+0.00023171i,0.00077825+0.00013387i,0.00049761+3.4431e-05i,0.00049427-0.00017643i,0.00033699-0.00028147i,8.4687e-05+0.00038983i,-0.00018809+0.00070131i,-0.00043558+0.0010193i,-0.00010081+0.00070708i,0.00038985-0.00017892i,-0.0002557-4.9584e-05i,-0.00049348-0.00015505i,0.00013652-0.00071577i,0.00052538-0.00071415i,0.00035006-0.00071445i,-0.00011842-0.00028262i,0.0001598+0.00021283i,0.00058054+4.2471e-05i
-8.8193e-05+0.0016531i,0.00077226+0.0021245i,0.00037883+0.001202i,0.00024573-0.00010372i,0.00060608-0.00050408i,0.0014234-0.00087096i,0.0016752-0.00078463i,0.00069777-0.00058632i,0.00035764-0.00070984i,0.00095815-0.00030391i,0.0009124+5.4492e-05i,-2.4059e-05-0.0003219i,-0.00051201-0.0007514i,-0.00076423-0.0010256i,-0.00092226-0.00072665i,-0.00055988+0.00037265i,-0.00018504+0.00049892i,-6.5075e-05+0.00027868i,-0.00054541+0.00024357i,-0.00053877-9.7655e-05i,-0.0002492+0.00033852i,-0.00028045+0.00042635i,0.00061626+0.00056961i
-0.00017784+0.0013623i,-0.00057593+0.0013436i,-0.0012098+0.0011963i,-0.0013092+0.00055804i,-0.00079011-0.00081573i,0.00013295-0.001206i,0.00043151-0.00047144i,0.00033325-9.4236e-05i,-0.00019078+0.00035539i,-9.1941e-05+0.0011955i,2.5545e-05+0.00061595i,0.00029493-0.00066936i,0.00095267-0.00035823i,0.0008514+0.00035551i,-0.00010332-0.00033638i,-0.0003237-0.00072996i,-8.2778e-05+7.2752e-05i,-4.036e-05+0.00043894i,0.00014181+0.00024289i,0.00032257-0.00010863i,0.00028944+0.00085594i,0.00072326+0.00093402i,0.00061593-0.00029492i
-0.0014572-0.00080851i,-0.00073517-0.00064931i,-0.00063315+0.00028629i,-0.0003336+0.00054724i,0.0015464-0.00039697i,0.0019382-0.0012714i,0.0010027-0.00065345i,0.00067613+6.2215e-05i,0.00023934+0.00042635i,-0.000405+0.00016537i,7.7592e-05-0.00027828i,0.00041907-0.00031171i,0.00026611-0.0011228i,-3.1949e-06-0.00093557i,-0.00024249-0.00014838i,0.00045176+0.00016055i,0.0013029+0.00044983i,0.00084912+0.00041506i,0.00044799+8.8534e-05i,0.0005632-0.00014623i,0.00054175-0.00031504i,0.00072408-7.0121e-05i,0.00057148-0.00043176i
-0.00080148-0.00055543i,-0.0018829-0.00099939i,-0.0014417-0.001152i,-0.0002152-0.0013155i,0.00067404-0.0016922i,0.0013518-0.0019229i,0.0011235-0.0014171i,0.0010086-0.0012735i,0.00095109-0.00075364i,0.00071383+0.00076422i,0.00010318+0.0010993i,-0.00091262+0.0003073i,-0.0011908-0.0007882i,4.6311e-05-0.00082926i,0.00034249-0.0001079i,-0.00040721+0.00094377i,-0.00023124+0.00088657i,0.00097987+7.1983e-05i,0.0011182-0.00022204i,9.0757e-05-0.00061279i,0.00013844-0.00052607i,0.00046668-5.4116e-05i,0.00019527+7.2468e-06i
0.0012853+0.00031198i,0.0014589-0.00046502i,0.001916-0.0012101i,0.00092753-0.0012239i,-0.00070216-0.00077406i,-0.0011307-0.00084779i,-0.00032273-0.00075322i,0.00039322-0.00016275i,0.0011442-0.0001308i,0.0014335-0.00031272i,0.00071078-1.4245e-05i,-0.00017227+0.00032759i,-0.00012624+0.00018588i,-0.00021977+0.00016755i,-0.00013519-7.3282e-05i,0.0008604-0.00018195i,0.0018711+0.00064849i,0.0016753+0.0012833i,0.00050327+0.00069142i,-0.0001642+0.00054576i,-0.00038912+0.00059699i,-0.00043923+0.00095061i,0.00012492+0.00070408i
0.002518-0.00053565i,0.0016249-0.0019865i,0.00056797-0.0025297i,0.00084982-0.0018557i,0.00056866-0.0015748i,-0.00031754-0.0017916i,-5.0356e-05-0.0015849i,0.00046788-0.0011231i,0.00077065-0.00061517i,0.00074668-2.1871e-05i,-0.00016491-0.0006345i,-0.00047721-0.00090879i,-0.00067829-0.00056068i,-0.00042744+0.0003045i,-0.00012067+0.0007884i,-0.00022647+0.00061072i,-0.00064346+0.00039474i,-0.00079968-0.00014017i,-0.00041774-0.0001129i,0.00022833-0.00029554i,0.0002127-0.00062687i,-0.00062587-0.00044724i,-0.0011807-0.00024952i
-0.00082967-0.0019135i,-0.0006932-0.0011229i,-0.00045403-0.00026238i,-0.00010349-0.00028214i,0.00052695-0.00082991i,0.00097003-0.00064827i,0.00045705-0.00047834i,-0.00038154-0.00055287i,-0.00082269-0.00031699i,-7.3545e-05-0.00043291i,0.00059079-0.00048268i,0.00028218-0.00042428i,-0.00025515-0.0002359i,-0.00047599+0.00040729i,-0.00051921+0.00062515i,-0.00016678+0.00028691i,-0.00039262+0.0001556i,-0.00064666-0.0004762i,0.00045601+6.6895e-05i,0.0011992+0.0013607i,0.0013241+0.00080476i,0.0011+0.00061149i,0.00032654+0.00027671i
-0.0012063-0.00020177i,-0.001323-0.00035434i,-0.0016367+4.8637e-05i,1.5865e-05-0.00077874i,0.00080038-0.0018771i,0.00087181-0.0018242i,0.0016651-0.00076954i,0.002168+0.000274i,0.0016604+0.0013004i,-0.00012156+0.0015139i,-0.0006538+0.0005425i,-0.00031313-0.00013772i,-0.00033419-0.00043957i,-0.00013818-2.8765e-05i,0.00027539-0.0002818i,-2.389e-05-0.00077883i,-0.00063966-0.00077284i,-0.00099061-0.00013957i,-0.00095179+0.00049494i,-0.00025146-0.00037032i,-0.00014303-0.00027905i,-0.0010057+0.00037134i,-0.00091693-3.2097e-05i
0.00061735-0.001951i,0.0015122-0.0023607i,0.0014688-0.0024249i,0.00090694-0.0014543i,0.00031184-0.00075665i,0.00012616-0.00088404i,0.00027995-0.0010623i,0.00014529-0.00081958i,-0.00019362-0.00021618i,-0.00060136-1.621e-05i,-0.00051073-0.00048755i,-0.0008122-0.00077091i,-0.00050144+0.00019829i,0.00016888+0.0009142i,-7.3402e-05+0.00012708i,2.8253e-06-0.00090885i,-0.00011916-0.0011033i,0.00021507-0.00035101i,0.00078804-0.00012212i,0.00082592+0.000119i,-0.00025027+0.00092876i,-0.0012346+0.00056899i,-0.00056042-0.00039083i
0.0013389-0.0014076i,0.0010947-0.00079935i,0.00072837+0.00061191i,0.00032788+0.0014851i,-8.9422e-05+0.000981i,-0.00067375+2.0542e-05i,-0.00062094-0.0011043i,-9.2694e-05-0.00056707i,-0.00012197+0.00024548i,-0.00062327+0.00030967i,-0.00038923-0.00072797i,0.00051212-0.0014708i,0.00016641-0.0010116i,-0.00058252-0.00046833i,-0.0006325+0.00010954i,-0.0002315-4.8786e-05i,5.43e-05-0.00064005i,0.0001881-0.00038706i,0.00062655-1.5248e-06i,0.00095184+9.1603e-05i,0.00026312-6.8527e-05i,-0.00015809-0.00039404i,-0.00030067-0.00034725i
-9.5071e-05-0.0015488i,-0.00011628-0.0016005i,-0.0011269-0.0014305i,-0.00017147-0.0018408i,0.0014376-0.00085877i,0.0016804-0.00063825i,0.00095787-0.0013403i,0.00049601-0.00058571i,0.00016736-0.00011118i,-0.0011272-0.00056247i,-0.00067285-0.00085652i,0.00074684-0.0010608i,0.0010361-0.00093519i,0.0012118-0.00071858i,0.0011396-0.00080191i,0.00091288-0.00094367i,0.00048411-0.00037519i,0.00023156-0.00014019i,-5.1873e-05-0.00021488i,-0.00019812-5.3151e-05i,0.00051094+1.8574e-05i,0.00073041-1.9401e-05i,0.00047998+0.00015952i
-0.00013648-0.00070985i,-6.0606e-05-0.00089915i,-0.00080253-0.0013241i,-0.00091661-0.0014409i,0.00011825-0.0016307i,0.00055124-0.0010845i,0.00073191+0.00011144i,0.00071531-0.00011596i,0.00036157-5.537e-05i,0.00039221+0.00017169i,0.00043238+0.0002711i,0.00043663+0.0001078i,0.00012424-0.00033047i,5.2523e-05-2.0436e-05i,0.00018648-0.00021549i,0.00047233-0.00036329i,0.00043529+9.1837e-05i,0.00016259+5.7405e-05i,8.7527e-05-4.6688e-05i,1.747e-05+0.00069856i,9.9793e-06+0.00043072i,-2.3385e-06+0.00053323i,-9.93e-05+0.0010627i
0.001295+0.0015073i,0.0013027+0.00061016i,0.0014896-0.00094265i,0.00023306-0.0015527i,-0.00039333-0.0024711i,-0.00054965-0.0025398i,-6.4956e-05-0.0017811i,0.00077053-0.0014327i,0.0011511-0.00054212i,0.0010541-0.00014957i,0.0002656-0.00050725i,7.3619e-05-0.00036307i,0.00039815-3.2083e-06i,4.5756e-05-0.00053563i,-0.00038362-0.00032342i,0.00026881-2.7713e-05i,0.00047957-3.8346e-06i,0.00031773-0.00021829i,-9.5565e-05-0.00015746i,-0.00052607-7.4219e-06i,-0.00013683-1.7309e-05i,0.000367+0.0002372i,0.00030215+0.00022777i
0.00085232-0.0028108i,0.0014236-0.0030374i,0.00014727-0.0031839i,-0.00061622-0.002438i,-0.0010287-0.0014154i,-0.0015959-0.00090498i,-0.0012115-0.00060015i,-0.00033147-0.00071978i,-0.00030006-0.00065946i,-0.00044488-0.00034304i,-0.00085422-0.00040247i,-0.001256+0.00016501i,-0.00095662+0.00071633i,7.6966e-05-0.00027438i,0.00055441-0.00044146i,-0.00016246-0.00020393i,-0.00020558+2.9581e-05i,0.00041934+0.00012851i,0.0010594+0.0003146i,0.0015009+0.00074619i,0.0010265+0.00061008i,0.00014863+0.00027099i,-0.00029831-0.00036091i
-0.0031635+0.00024157i,-0.0028959+0.00031482i,-0.0015127+0.0017734i,-0.00028848+0.0021156i,0.00094209+0.00030739i,0.00074827-0.0017117i,0.00061994-0.0020441i,0.00038734-0.0012243i,-0.00013766-9.0603e-05i,-0.00030096+0.00089917i,-0.00030849+0.00048237i,-0.00025927-0.00082754i,-0.00081435-0.00055136i,-0.00066342-0.00036091i,-0.00019332-0.00016193i,-3.5774e-05+0.00023339i,0.00045562+0.00076181i,0.00055241+0.00089238i,0.00067659+0.00013187i,6.2463e-05-0.00028697i,-0.00050027+0.00048361i,-0.0001764+0.00036497i,-0.00046331-0.00057262i
0.0015644-0.0023457i,0.0024391-0.0034032i,0.0016081-0.0042831i,-0.00052821-0.0026208i,-0.0020592-0.00068007i,-0.0015782-0.00059914i,0.00018048-0.0013678i,0.0010307-0.0003673i,0.0008274+0.0010032i,-0.00029344+0.0011134i,-0.00040074+0.00046091i,0.00021435-0.00035376i,-0.0004646-0.00055558i,-0.00041451-0.00048361i,0.00050951+0.00032961i,0.0014279+0.00077697i,0.0007225+0.00076248i,-0.00058538+0.00061256i,-0.00026125+5.3045e-05i,-0.00027931-0.00065998i,-0.0004743-0.0011405i,-0.00055115-0.00028875i,-0.00044816+0.00071992i
-0.00068997+0.0015639i,-0.00012853+1.6424e-05i,0.00053689-0.00088643i,0.00078689-0.0010217i,0.00065144-0.0015793i,0.0010054-0.0015369i,0.00060654-0.00069653i,0.00075578-0.00036087i,0.00097028+0.00034787i,-7.4481e-05+0.00099634i,2.7228e-05+0.00036983i,0.00045277-0.00018892i,0.0002046-0.00036914i,-0.00035565-0.00016035i,-0.00073776-0.00013459i,-0.00057018-0.00016077i,-0.00021878-0.00027915i,-0.00035675-0.00060389i,-0.00028012-0.0001305i,0.00037789-0.00022122i,0.0008104-0.00040834i,0.00082683+0.00011756i,0.00041444+0.00019078i
0.00070125-0.00080302i,0.00040709-0.00098i,-0.00023314-0.0016585i,-0.00044771-0.0019594i,-0.0005921-0.0019459i,0.00035481-0.0022265i,0.00056965-0.0015761i,-2.8151e-05-0.00080876i,-0.00040943-0.00067268i,-0.00016435-0.00074756i,0.00019405-0.00083104i,-0.00032941-0.0010608i,-0.00031117-0.00046395i,0.00043626-0.00025188i,0.00017484+7.5912e-05i,-0.00019112+0.00077015i,0.00016994+0.00013157i,0.00032119-0.0010958i,0.00056419-0.00086544i,0.00042134+0.00034111i,-0.0002017+0.00076024i,-0.0003342+4.2605e-05i,-0.0006863-0.00019414i
-0.00073471+0.00036656i,-0.00069885-0.00085917i,-5.971e-05-0.00097815i,0.0005593-0.0002573i,0.00072859-0.001247i,0.00046471-0.0023874i,0.00044829-0.0014681i,3.8552e-05+3.9667e-05i,0.00039617+0.0004104i,0.0012505+4.8795e-05i,0.0012919-0.00041524i,0.00082936-0.0011537i,0.00023611-0.0015543i,4.0244e-05-0.002104i,-8.5937e-05-0.0015389i,0.00018209-0.00019268i,0.00014455+0.00023695i,-7.626e-05+0.00039376i,0.00050523+0.00058187i,-0.00017543+0.00047209i,-0.00076823+0.00030975i,8.242e-05+0.00027611i,0.000298+0.00020591i
-0.0011438+0.00024171i,-0.0023547-0.0009153i,-0.0026858-0.00041094i,-0.00065624+0.0011594i,0.00012112+0.0011026i,-0.00056839-0.00061293i,0.00039711-0.00077646i,0.00097167+0.000392i,0.00060661+0.00092129i,0.00015756+0.00092574i,-0.0006072+0.00044277i,-0.0010042-0.0002279i,-0.00065459-0.00017608i,-0.00037961-0.00022924i,-0.00019-0.00030942i,-0.00045179-0.00024223i,-0.0006752-0.00022464i,-0.00046886-0.00014885i,-0.00032481+5.7635e-05i,-0.00035352+0.00059186i,-0.00093572+0.00043433i,-0.0008971+0.00014452i,-0.00040018+0.00030501i
0.00098855-0.00040297i,0.0016693-0.0016981i,0.001405-0.0026188i,0.00050328-0.0034492i,0.00028917-0.0028796i,0.00050669-0.0015261i,0.00063112-0.0014435i,0.00051533-0.00093772i,-0.00069662-0.0005261i,-0.00085375-0.001075i,0.00051973-0.00044563i,0.00060936+9.9668e-05i,-8.6427e-05+3.8827e-05i,-0.00053677+0.00026113i,5.2081e-05+0.00045988i,0.00038251+0.00030621i,-0.00018805+8.2985e-05i,-0.0008321+5.8019e-05i,-0.00083582+0.00030808i,-0.00097435+0.0005426i,-0.00057103+0.00028998i,0.00050285-0.00011568i,0.00067502+0.00028132i
