-0.0013866+0.00019523i,0.00015527-6.8896e-05i,0.00014424+0.00061152i,-0.0002185+0.0014551i,-0.00079995+0.0020816i,-0.001293+0.0021161i,-0.00091155+0.0014795i,0.00018918+0.00069189i,0.00092623+2.5385e-05i,0.00095727+7.8203e-05i,0.00058933-7.0796e-05i,-7.4864e-05-0.00079246i,5.8668e-05-0.0010697i,-0.00032789-0.0013253i,-0.00075399-0.00087654i,-0.0003967+0.00042823i,-0.00024926+0.00081174i,7.4691e-05+0.00059533i,0.0004674+0.00021181i,0.00022664+5.3145e-08i,0.00019663+0.00011298i,0.00036028-0.00047232i,-0.00014212-0.00066899i
0.00050616-0.00091388i,0.00051792-0.00010083i,0.00102-0.00038918i,0.00038082+0.00056884i,-0.0007306+0.0015167i,-0.0005936+0.0016511i,0.00026137+0.0012227i,0.00066327-0.00056569i,0.00037106-0.0019253i,9.8002e-06-0.0014313i,-0.00017611-0.00074646i,0.00033157-0.00023848i,0.00022777+7.4648e-05i,7.7222e-05-0.00012076i,0.00029726-0.00055353i,0.00053243-0.00077224i,-3.9068e-05-0.00068343i,-0.00010385-0.00012969i,0.00063018-0.00039167i,0.00088453-0.00073171i,0.00058544-0.00013144i,-1.0272e-05-0.00052351i,-0.00027947-0.0015323i
0.00080911-0.0011021i,0.0015363-0.0010245i,0.00024679-0.00054649i,-0.00043834+0.00033904i,-0.00038518+0.0010916i,0.00030184+0.0015848i,0.00030696+0.00088951i,-9.1793e-05-0.0004927i,-0.00068734-0.00074202i,-0.0013152-0.00012127i,-0.00020493+6.3402e-05i,0.00057923-0.00016581i,0.00044957+0.00017626i,3.3228e-05+0.00034861i,-0.00011769+4.4695e-05i,-0.00013708+1.2701e-06i,-0.00018513-0.00011694i,-0.00021258-0.0002438i,-0.00025057-0.00043549i,0.00028023+2.0524e-05i,-0.00010149+0.00065i,-0.00023908+0.00037057i,0.00028893-0.00057991i
-0.00087398+0.00012596i,-0.00062643+0.00034064i,-0.0019715+0.00016588i,-0.0025406+1.1482e-05i,-0.0020088+0.00011443i,-0.0012928+0.00039604i,-0.001293+0.00094465i,-0.0013877+0.00023974i,-0.00043932-0.0008624i,-0.00016435-0.0005079i,-0.00055318-1.4322e-05i,0.00015482+0.00046015i,0.0007931+0.00053112i,0.00028295-8.1033e-05i,0.00015353-4.9701e-05i,0.0010271+0.00051834i,0.0014118+0.0008512i,0.0010441+0.0011794i,0.00048903+0.00095049i,0.00066956+7.9024e-05i,0.00093469+3.7449e-05i,0.00037069+0.00042186i,-0.00029883+0.00010344i
0.0014221+0.00016903i,0.0014919+0.0010542i,0.0011915+0.000285i,-0.00056435+0.00051036i,-0.0013977+0.0019437i,-0.0006454+0.0019006i,-0.00073686+0.00048855i,-0.00083836-0.00041317i,-0.00067131-0.00056226i,-0.00046921-0.0011785i,1.2597e-05-0.0010734i,0.00017884+5.3659e-05i,0.00036999+0.0011249i,5.7101e-05+0.0010267i,-0.00025128-3.079e-05i,0.0005889-0.0006751i,0.00049612-0.00067988i,-0.00012632+6.7541e-06i,-0.00028353+0.00072062i,-7.3241e-05+0.00090799i,-0.00013414+0.0004883i,2.7899e-05+2.756e-06i,0.0003446+1.69e-05i
-0.00012028-0.00041532i,-0.00082833-0.00054091i,-0.0004449-0.00063124i,-0.0004424-0.00018556i,-0.0014745+9.2441e-05i,-0.0019704+7.9955e-05i,-0.00091299+0.00035749i,-0.00037033+0.00027941i,-0.00059048-0.00038307i,-1.6484e-05-0.00029276i,0.00016463+5.8785e-05i,-5.205e-05-0.0001429i,-0.00021366-0.00059899i,-0.00036753-0.0010233i,0.00029934-0.00080284i,0.00091419-0.00058795i,0.00041069-0.00062927i,-0.00030401+0.00034144i,-0.00020095+0.00049837i,0.00033617-0.00030253i,0.00031695-0.00029703i,0.00011564-0.00037804i,4.2699e-05+7.2894e-05i
0.00094729-0.0016886i,0.00064394-0.00057216i,-0.00079174+0.00015322i,-0.0015653-0.00035479i,-0.001976+0.00012787i,-0.0021011+0.0019132i,-0.00074539+0.0025188i,0.00064188+0.0013406i,0.00026834-0.00047614i,-0.00072807-0.0010355i,-0.00093975-0.00112i,0.00035095-0.00081104i,0.00093649-0.0002647i,-1.937e-05-0.00014472i,-0.0005219+0.00019431i,-0.00029214+0.00092175i,-8.2849e-05+0.00049364i,0.00049332-0.00024943i,0.00047679+0.00017661i,0.00043244+0.00030803i,0.00055667+0.00053472i,0.00038278+0.0005785i,-7.873e-05-0.00036923i
-0.0014222+5.567e-06i,-0.0015528+0.00026718i,-0.00149+0.00045997i,-0.0016046+0.00052177i,-0.0014233+0.0012235i,-0.0013562+0.00093208i,-0.001066-1.6067e-05i,-0.00066629-0.00068284i,-0.00023208-0.0011818i,-1.1728e-05-0.0013706i,-0.00034313-0.00097066i,0.00034033-0.0010583i,0.0014079-0.0011527i,0.0011667-0.0013327i,0.00034302-0.00081674i,0.00025573-0.00049287i,0.00028448-0.00090738i,0.00019165-0.00078476i,0.00014472-0.00052187i,-1.937e-05+7.3938e-05i,-5.6728e-05+0.00056553i,0.00036361+0.00068998i,0.00050741+0.00031601i
-0.00061898+0.00068998i,-0.00052316+0.00045062i,-9.0441e-05+0.00021078i,0.00037755+0.00070535i,-0.00054667+0.00074348i,-0.00099105+0.00018599i,-3.0923e-05+0.00018592i,0.00045673+0.00013288i,-2.2635e-05+0.0003848i,0.00021125+0.00067062i,0.00019802+0.00039114i,-0.00062322-0.0005428i,-0.00066734-0.00064239i,-0.00037837-0.00040472i,-0.00080145-0.00072507i,-0.00043444-0.00084344i,-7.9532e-05-0.00035482i,-0.00097147-0.00018271i,-0.0013448-0.00030017i,-0.00077512-0.00017666i,-0.00023346-0.00046059i,-0.00012263-0.00055204i,0.0001332+6.1848e-05i
-0.00037846+0.00032995i,-0.0014223-0.00017847i,-0.0018076-0.00028563i,-0.0015251+4.0551e-05i,-0.00080131+0.00036644i,-0.00020521+0.0016589i,-0.00010059+0.0018029i,1.929e-05+0.00087016i,-0.00013098+0.00019284i,-0.00031387+0.00024486i,0.00028604+0.00045917i,-0.00010523+2.342e-05i,-0.0010868-0.00040148i,-0.00073177-0.00013712i,-0.00027969-0.00029926i,0.00057503-0.00076534i,0.0010284-8.8068e-05i,0.00074459+0.0003904i,0.00063975+1.5808e-05i,0.00045857-0.00024172i,-0.00057576+5.0706e-05i,-0.00064882+0.00051266i,0.00039155+0.00014552i
0.00027511-0.0003659i,0.00043071-0.0001499i,0.00069833+0.00039768i,0.00050916+0.0016738i,-0.00039413+0.0019813i,-0.00057758+0.00021739i,-0.00046328-0.00054209i,-0.00032869-0.001043i,-0.00011279-0.0021925i,0.00019124-0.0018003i,0.0013803-0.0009205i,0.0013921-0.00025444i,0.00041013+0.00012002i,-0.00017225+0.00050003i,-0.00027077+0.00060076i,-1.8772e-05+7.1718e-05i,0.00056047-0.00043501i,0.00099311-0.00077709i,0.00054309-0.00039948i,4.5796e-05+0.00032655i,-0.00033944+0.00045552i,-0.00046544+8.4673e-05i,-0.00024797-0.00022566i
0.00028524+0.0002055i,0.00027267+0.00061503i,0.00028513+0.0013289i,-0.00094169+0.001239i,-0.0015251+0.0013427i,-0.0013683+0.0025166i,-0.0014862+0.0026358i,-0.0010584+0.0011874i,-0.00061029+9.9483e-05i,-0.00035496-0.00024462i,-0.0003305-0.00061369i,-0.00066854-0.00055526i,-0.0006051+1.1196e-05i,-0.0004101+0.00057902i,-8.0545e-05+0.0005814i,-0.00046669+5.5408e-05i,-0.00048367-0.00022242i,0.00058433-0.00027333i,0.00029106-0.00044038i,-0.00037785-0.00019404i,-0.00037046-0.00017045i,-0.00079349-8.6481e-05i,-0.0010294-0.00032176i
-0.0022855+0.00076008i,-0.0014386+0.00017517i,-0.0003436-9.619e-05i,-0.00021171+4.4659e-05i,-0.00071513+0.00026643i,-0.00065622+0.00032315i,-0.00033553-0.00052842i,0.00015854-0.0016628i,-4.5778e-05-0.0017001i,-0.00050427-0.00051523i,-0.00039461+0.00090082i,2.7201e-05+0.001347i,0.00013862+0.00092887i,-6.2017e-05+0.00068288i,-0.00050001+0.00049525i,-0.00070047+9.191e-05i,-0.00049957-0.0005122i,-0.00063059-0.00053799i,-0.00030617-8.8741e-05i,-2.7126e-05+0.00021153i,-0.00066284+0.00026209i,-0.00074206-0.00023025i,-0.00063226-0.00033493i
-0.00096777-0.00077928i,-0.00051484-0.00099675i,-0.00077528+2.056e-05i,-0.00074209+0.00094604i,-0.00062169+0.0010264i,-0.00019851+0.00040686i,0.00015173-0.00052345i,0.00067549-0.0012195i,-0.00011118-0.00080465i,-0.00070301+0.00030441i,-0.000257+0.00032275i,0.00054981-0.00011084i,0.00046635-0.00021615i,-0.00016867+0.0004113i,-0.00098533+0.0005419i,-0.001086-0.00067581i,-0.00045118-0.0010034i,0.00038374-0.00032657i,-4.6801e-05-0.00024651i,-0.00037598-7.5858e-05i,-0.00028817+0.00013488i,-0.00090603+1.2521e-05i,-9.5645e-05+0.00038993i
-0.00067401+0.00080859i,-0.0017467-3.5003e-05i,-0.0008211+0.00017106i,0.00059883+0.00021793i,-0.00025738+0.00021573i,-0.0013417-0.00028605i,-0.0012217-0.0014987i,-0.001026-0.0014576i,-0.00083699-0.00034987i,-2.4111e-05-0.00028128i,0.00050744-0.00062121i,0.0004554-0.00057232i,0.00048681-0.00071217i,0.00029606-0.00066832i,0.00027774-0.00032239i,0.00021863-0.00016799i,8.5007e-05-2.5605e-05i,0.00029196+4.027e-05i,0.00020477+0.00034672i,0.00032063+0.00049722i,0.00039995+0.00083521i,0.00028124+0.00079947i,0.00050771+3.9178e-06i
-0.0003203+0.00069558i,-0.00097395+0.00038193i,-0.0014065+0.0016286i,-0.00056641+0.0025582i,-0.00065783+0.0018026i,-0.00039645+0.0006363i,0.00028777+0.00075565i,0.00066196+0.00036927i,0.00082882-0.0002869i,0.00069741-9.114e-05i,5.8782e-05-0.00048755i,-3.6166e-05-0.00055974i,0.00052263+0.00082101i,0.00023379+0.0012116i,-0.00013663+0.0002174i,0.00040862+0.000102i,0.00075359+0.00018543i,0.00037694+0.00018184i,0.00022999-6.6118e-05i,0.00019278-0.00043579i,0.00018799-0.00071115i,-0.00037657-0.00019045i,-0.00080716-0.00017907i
0.0010599+0.0010327i,0.00018413+0.00053237i,-0.00018812-0.0006391i,-0.0006196-0.00070098i,-0.0016755+0.00082115i,-0.0022487+0.0016313i,-0.0015077+0.0008736i,-0.00084892-0.00039408i,-0.00047171-0.00081292i,-0.00014263-6.3792e-05i,-0.00013028+6.5992e-05i,0.00045716+0.00015517i,0.00028997+0.0006381i,0.00032901-0.0001466i,0.00074802-0.00065797i,0.00055895-0.00068198i,-4.7683e-05-0.00026167i,-0.00049417-0.00022347i,0.00016603-0.00018177i,0.0015209-0.00048305i,0.0018959-0.00081743i,0.00083954-0.0007213i,0.00035029-0.00060608i
-1.9247e-05+0.0001106i,0.00016469-0.00053639i,4.1618e-05-0.00041312i,-0.00024458+7.7996e-05i,-0.00021633+0.00058326i,0.00019518+0.0009076i,0.00044249+0.0011826i,0.00050938+0.00078458i,0.00021898-0.00066653i,-7.1469e-05-0.0010645i,-0.00052651-0.00056083i,-0.00092336-0.00016223i,-0.00042868+0.00050761i,-0.00039949+0.00053557i,-0.0010974+0.00014863i,-0.00035164+0.00052324i,0.00079321+0.00048233i,0.00016869-0.00042385i,-0.00022009-0.00047168i,-0.00024029-0.00029062i,-0.00050567-0.00010214i,5.204e-05+0.00014231i,0.00051097-0.0001926i
-6.7693e-05+0.00048402i,-0.00046299-0.00026374i,-0.00054639+0.00037969i,-0.0016574+0.00114i,-0.0025935+0.0012996i,-0.0013374+0.0018026i,-2.5527e-05+0.0018898i,0.00040292+0.00047609i,0.00033156-0.00051103i,-0.0001454-0.00024079i,6.8862e-05-0.00048871i,0.00021109-0.00021907i,-0.00028855+9.6469e-05i,-0.00043487+0.00021845i,-0.00043779+0.00075239i,-0.00084235+0.0011032i,-0.00042415+0.0015441i,0.00019859+0.001856i,0.00024527+0.0009946i,0.00012939-0.00012497i,-0.00021932-0.00081616i,-0.00027217-0.00066667i,-0.00040076+0.0001833i
-0.0010523+0.00059479i,-0.00029051+0.00010239i,-3.4297e-05+0.00083982i,-0.00077679+0.001285i,-0.00097218+0.0017075i,-0.00070348+0.0021763i,-0.00045362+0.0012324i,-1.3763e-05+0.00020446i,0.00040798+0.00031866i,-7.7357e-05+0.00039922i,9.716e-05+0.0004632i,0.00038238+0.00031147i,-0.00024067-9.2013e-05i,-0.00065487-0.00041247i,-0.00059993-0.00069628i,-0.00067132-0.00083293i,-0.0011352-0.00096873i,-0.00072297-0.00088313i,0.00027678-3.7824e-05i,0.00056334+0.0010344i,0.00011773+0.00068986i,-0.00039692+0.00030377i,-0.00039398+3.8261e-06i
0.0011356-0.00032016i,0.00065214+0.00047846i,0.00023144+0.00034633i,-3.6482e-05-4.8517e-05i,8.8063e-05+0.0011292i,0.0011293+0.0015848i,0.0013969+0.00077447i,0.00026214-0.00028197i,-0.00043687-0.00048462i,-0.00074396-0.00031198i,-0.0001307-0.00050165i,0.00099794-0.00036433i,0.0013469-0.00010194i,0.0008423+0.00027973i,0.0004439+0.00043391i,0.00053347-3.9417e-05i,0.00095923+4.3388e-05i,0.00089836-3.4109e-05i,0.00015616-0.00033932i,-0.00040074+0.00044936i,-0.0004001+0.0010093i,-0.00027034+0.00049192i,-2.7957e-05+0.00015759i
-0.0009459-0.000576i,-0.00075164-9.1458e-05i,-0.00028311+0.0012387i,-0.00055978+0.0024074i,-0.00099385+0.0019788i,-0.00076633+0.00053901i,-0.00013221-0.00026952i,-9.1467e-05-0.00078763i,-0.0007511-0.00077328i,-0.00055251-0.0007136i,-5.693e-05-0.0010644i,9.8905e-05-0.0011936i,-5.1595e-05-0.0011262i,0.00034566-0.00060746i,0.00076386+0.0004628i,0.00032114+0.00042573i,0.00059823-0.00044905i,0.00084612-0.000785i,0.00036833-7.6921e-05i,-3.8855e-05+0.00030602i,-0.00050963+0.00011577i,-0.00031066-0.00016686i,0.00016245-0.00029723i
-0.00050312+0.00050215i,-0.00018298+0.00014799i,0.00040459-0.00084436i,0.00060022-0.0009867i,0.00050136+0.00033507i,-0.00027578+0.0007146i,-0.00024146-9.2046e-07i,0.0001907-0.00046995i,-0.00027627-0.00091022i,-0.0005142-0.00093826i,-4.0079e-05-0.00046368i,0.00019357-0.00021767i,-0.0003121+0.00017725i,0.00057719+0.00024843i,0.0010108+0.00021534i,6.2933e-06+7.9872e-05i,-0.00080856-0.00024367i,-0.00089421-0.00030107i,-0.00072201-0.00031011i,-0.00057882-1.9866e-05i,-0.00032242+0.00022986i,0.00031288-0.00012072i,0.00093552-8.7691e-05i
-0.0009543-0.0016137i,-0.00071346-0.00073297i,-0.0017745+8.8441e-05i,-0.0031126+0.0013053i,-0.0035129+0.0019192i,-0.002196+0.0024809i,-0.00075338+0.0019733i,0.00011579+0.00099382i,0.00059484+0.00044378i,0.0007497+3.9744e-05i,0.00027941+0.00075814i,0.00033216+0.001145i,6.8616e-05+0.00050741i,0.00014661+4.6035e-07i,0.0012695-0.00067281i,0.0010311-0.00083429i,0.00047864-0.0009539i,0.00089285-0.0015658i,0.00078048-0.0013637i,0.0003574-0.0004846i,0.00040162-9.8432e-05i,0.00034619-0.00040825i,0.00023708-0.00097395i
6.876e-05+0.00096595i,-8.853e-05+0.0008792i,0.00044112+0.00016816i,0.00080763+0.00019313i,0.00054883+0.00084568i,-0.0005545+0.00029999i,-0.00077712-3.0567e-06i,-0.00021237-0.00026512i,1.782e-05-0.0010853i,-0.0002644-0.00043885i,0.00027792+0.00078971i,0.000569+0.00079486i,-0.00028487+0.00018696i,-0.00081414-4.7234e-05i,-0.00016027-0.00043439i,0.00011258+4.8198e-05i,-0.00057005+0.00052318i,-0.00036362+0.00019183i,7.5307e-06+0.00010568i,-0.00024353+0.00011305i,-0.00041802+0.00020655i,-0.00028333+0.00053437i,-6.9254e-05+0.00069013i
-0.0010851-0.0004791i,-0.00054402-0.00084726i,-0.0011547+0.00012966i,-0.0010178+0.0011262i,-0.0005728+0.0018097i,0.00052768+0.0023552i,0.0006426+0.001108i,0.00038146-0.00098855i,0.00058395-0.0014574i,0.00023122-0.00074414i,3.5095e-05+0.00036289i,-0.0001757+0.00034536i,-1.248e-05-0.00053344i,0.00018143-0.00065289i,-0.00069842-0.00029182i,-0.00092299+0.00042259i,-0.00034974+0.00079737i,-0.00024583+0.00066924i,-1.1777e-05+0.00012831i,-0.00028105-0.00046169i,-0.00098357-0.00068387i,-0.0010154-0.00015574i,-0.00085774+0.00022747i
-0.00062681-0.00016153i,-0.00040386+6.5357e-05i,-0.00052212-0.00053151i,-0.0010116-0.0013989i,-0.001483-0.00052788i,-0.0013993+0.00082828i,-0.0011921+0.00026996i,-0.00068361-0.00082086i,-0.00012376-0.00060373i,0.00033119+0.0003532i,0.00103+0.00060496i,0.0012089+0.00058084i,0.00050212+0.00048264i,0.00031623-0.00024482i,0.0004495-0.00075375i,0.00041343-0.00018435i,0.00023123+0.00068499i,-4.3903e-05+0.00070477i,0.00021174-0.00015203i,0.00031757-7.9923e-05i,0.00045199+0.00052082i,0.00010712-0.00011344i,-0.00014255-0.00033338i
-0.00048437-0.0020021i,-0.00098305-0.00158i,-0.0010975+5.502e-06i,-0.00035952+0.0018417i,-1.8347e-05+0.0027657i,-0.0001182+0.0020467i,0.00021498+0.0011439i,0.00046616+0.00055786i,-4.6625e-05-5.5584e-05i,-0.0003165+0.00022039i,0.00029154+0.00038632i,-8.626e-05+3.0587e-05i,-0.0010305-0.00013686i,-0.00069677+0.00054369i,0.000112+0.00093427i,0.00038412-0.00015657i,0.00026941-0.00080416i,0.00063418-0.0003652i,0.00055798-7.7056e-05i,-0.00021632-0.00020324i,-4.4978e-05+0.00039473i,0.00051648+0.00054032i,-3.0628e-05-0.00033437i
0.00021113+0.00014293i,0.00030005+0.0013449i,0.0010401+0.001287i,-0.00099903+0.0010997i,-0.0032363+0.00035446i,-0.0029107+0.00070885i,-0.00091339+0.00099193i,0.0006548+0.00052438i,0.00039298+0.00013849i,-0.00048553+0.00021726i,-0.0009025+0.00031025i,-0.00069299+0.0001375i,0.00044716+7.6718e-05i,0.001276-0.0002813i,0.0012942-0.00043829i,0.00091805+0.00015345i,0.00027898+8.063e-05i,-0.00020939-0.00069292i,-0.00035031-0.0001629i,0.000183+0.00060601i,0.00062962+0.00060479i,0.00056249+0.000121i,0.00040927-0.00024225i
-0.00076969+0.00071116i,-0.001011+7.1097e-05i,-0.001058+0.00076879i,-0.00047058+0.0010187i,0.00015889+0.0013049i,-0.00076702+0.0010478i,-0.00084659-0.00031694i,-0.00035147-0.00081519i,-0.00021616-0.00065821i,-0.00059368-0.00019439i,-0.000898+0.0003276i,-0.0003417+0.00067525i,9.4733e-06+0.0006232i,0.00013028+0.00015638i,0.00015683+2.5633e-05i,0.00060422+0.00019576i,0.0012566+0.00010908i,0.00046522-0.00022642i,-0.0003884-0.0010172i,9.336e-05-0.0010477i,0.00071451+1.9504e-05i,0.00030448+0.00012622i,-4.4576e-05-0.00053925i
-0.0001315+0.0003425i,-0.00021872-2.9052e-05i,-0.00012714-0.00061821i,-0.00021366+7.589e-05i,-0.0010145+0.00087029i,-0.00082729+0.0011236i,-0.00084582+0.00042235i,-0.00076965-2.4159e-05i,-0.00029303+0.00026266i,-0.00051424-0.00020506i,-0.0011971-0.0002352i,-0.0011178+0.00011366i,-0.00052406-0.00029559i,-0.00032467-0.0007091i,-0.00033733-0.0007495i,-0.00062976-0.00080572i,-0.00069322-0.00019599i,-0.00031996+0.00043955i,0.0005007+0.00051861i,0.00030228+0.0006212i,0.00019034+0.00088904i,0.00077511+0.00064924i,0.00060935+0.00042073i
-0.0013434+0.00070877i,-0.00047712+0.00070631i,-9.256e-05+0.00086309i,3.7299e-05+0.00048706i,-0.00055254+3.6529e-05i,-0.00089498+0.00037553i,-0.00044321+0.00055364i,-0.00025777-0.00073141i,-0.00020912-0.00091098i,-0.00018394-0.00012316i,0.00028312-5.8276e-05i,0.00054347-0.00024345i,-0.00015647-1.7418e-05i,-0.00096259+0.00055294i,-0.0011147+5.8741e-06i,-0.0011912-0.00052968i,-0.00042177-0.00083659i,0.00013441-0.0011261i,-0.00030321-0.0009549i,-0.00025928-0.00038992i,0.00056365+1.292e-05i,0.00054709+4.0096e-05i,0.00022949+0.00050403i
