0.0011867+1.4014e-05i,0.001099-0.00040796i,0.00013882-0.0021024i,-0.0016379-0.0033533i,-0.0030462-0.0030605i,-0.0027152-0.0012562i,-0.00040145+0.0007188i,0.0011498+0.00048442i,0.0015374-0.0010304i,0.0015254-0.0020142i,0.00019972-0.00038983i,-0.00098733+0.00069508i,-0.00046249-0.0001769i,0.0001685-0.00082895i,0.00020583-0.00053339i,-0.00044427-7.2244e-05i,-0.0013907-0.00043547i,-0.0018106-0.00055419i,-0.001729-0.00023396i,-0.0014608-0.00076002i,-0.00077923-0.00060699i,-0.0004773+0.00051125i,-0.00055868+7.521e-05i
0.0011609-0.00036344i,0.00064453-0.00075601i,-9.4259e-05-0.0015817i,-0.003156-0.002068i,-0.0050619-0.0017812i,-0.0037211-0.00096538i,-0.0016267-0.00099479i,0.0011852-0.00074208i,0.0022021-0.00046509i,0.0018111-0.00085546i,0.0010805-0.0010313i,0.00037449-0.00098393i,7.2675e-05-0.00075677i,-3.3333e-05-0.00018069i,8.1049e-06+0.00021093i,-0.0004954+0.0002112i,-0.0011572+0.00046076i,-0.0011822+0.0011393i,-0.0003915+0.0011012i,0.00038599+0.00054901i,0.00018794-0.00019007i,-0.00038279+4.359e-05i,-0.00011037+0.0009503i
0.00056475+0.00050366i,-1.5783e-05+2.9089e-06i,-0.00038674-0.0011301i,-0.0017687-0.0020585i,-0.00401-0.002388i,-0.0042102-0.0011159i,-0.0023318+0.00028984i,-5.563e-05-0.00034339i,0.00042397-0.0017184i,-0.00013109-0.0015912i,-0.00077974-0.00084538i,-0.00014996-0.00071751i,0.00071808-0.00087809i,0.00057014-0.00024588i,0.00029322+0.00067724i,-0.00047011+0.00037421i,-0.0010077-0.00080462i,-0.00088631-0.00081599i,-0.0013929-0.00046893i,-0.0015168-0.00068448i,-0.0010526-0.00010972i,1.9199e-05+0.00031734i,0.00062723+0.00069083i
-0.0003136-0.00034062i,0.00010769-0.00065232i,-0.00077769-0.0020303i,-0.0032961-0.0030241i,-0.0037331-0.00222i,-0.0021795-0.00021607i,-0.0010062+0.00055742i,0.00066701-0.00016173i,0.0015058-0.00050233i,0.00056998-0.0010257i,-0.00060404-0.00089004i,-0.00071698+3.1984e-05i,-0.00032531-9.9033e-05i,0.00014694-0.0007059i,5.046e-05-6.8007e-05i,-0.00045701+0.00017003i,-0.00049427-0.00015529i,-0.00027822+0.00022993i,-0.00013522+0.00037479i,0.00026283-0.000114i,0.00070787-0.00011298i,0.0004672+0.00035347i,0.00017126+0.00075795i
-0.0024116+6.555e-05i,-0.00087326+0.0006055i,-0.001999+0.00097684i,-0.0028386+0.00076356i,-0.001541+0.00079132i,-0.00015113+0.00023042i,0.00069706-0.00039477i,0.0012884-0.00051115i,0.0017974-0.00095062i,0.00111-0.0014545i,0.00024906-0.00068904i,0.00073201-0.00050264i,0.0015076-0.00062468i,0.00079778-7.9576e-05i,-0.00022185+0.00013923i,0.00014277-0.00010928i,0.00060604-0.00030979i,-7.1842e-05-0.0004587i,-0.00047539-0.00063401i,-0.00064206-0.00013834i,-0.00036663+0.00068672i,5.0046e-05+0.0011525i,1.2825e-05+0.0012874i
-0.00039277-0.00034254i,-0.00054069-0.001671i,-0.0018426-0.0024468i,-0.0030263-0.0030436i,-0.003149-0.0019502i,-0.0012136+0.00027806i,0.00044228+0.0010048i,0.0010031+0.0002222i,0.0015489+0.00049012i,0.00084412-0.0001665i,0.00012191-0.00072652i,0.00045291-0.00070486i,0.00074308-0.0010971i,0.00051559-0.00091705i,-0.00029963-0.00059162i,3.9842e-06-0.00064647i,0.0006949+9.7795e-05i,0.00033642+0.00028795i,6.5321e-05+1.3586e-05i,0.00028327-0.00012822i,-0.00016597+0.00030391i,-0.0002616+0.00026122i,-0.00012483+0.0004201i
0.00044243+0.00012412i,0.00031607+0.00065384i,-0.00059954-0.00069235i,-0.0022098-0.0022768i,-0.0027072-0.0016683i,-0.0024348+0.00017875i,-0.0011065+0.00085889i,0.00070672+0.00017338i,0.0013012-0.0018483i,0.00081676-0.0023953i,9.6474e-06-0.0010363i,0.00022891-0.00047934i,-7.357e-05-0.0010193i,-0.00057334-0.0012584i,-0.00018547-0.00090229i,-0.000111-0.00069203i,0.0001403-0.00045587i,2.0149e-05-0.00061832i,-7.6812e-05-0.0005519i,-0.00029908-0.00029659i,-0.00027014-0.00064974i,-0.00029741-3.6078e-05i,-0.00053179+0.00047076i
0.00034636+0.00049479i,8.8323e-05-1.6299e-05i,-0.00039606-0.0019227i,-0.0019056-0.0045558i,-0.0036551-0.0043609i,-0.0039438-0.0020307i,-0.0013185-0.00027158i,0.0015368+0.00059012i,0.0019265-0.00025594i,0.00038997-0.0011409i,-0.00061116-0.0009061i,-5.0318e-05-0.00010272i,7.2168e-05+0.00039668i,-0.00091099+0.00027365i,-0.00131-0.0002648i,-0.00033732-0.00026838i,7.4889e-05-0.00021964i,0.00018507-8.016e-05i,-0.00045584+0.00036605i,-0.00033402+0.00010459i,0.00091418+0.00020968i,0.00056825+0.00072513i,-0.00039551+0.00081719i
0.0011195+0.00017682i,0.00012235+0.00030119i,-0.0012971-0.001005i,-0.003983-0.0022813i,-0.0051599-0.002288i,-0.0036834-0.00089606i,-0.00054169+0.00020632i,0.0018136-2.6518e-05i,0.0023089-0.00026596i,0.0013515-0.00092779i,0.00022203-0.00094819i,-0.00041329-0.00051947i,-0.00095236-0.00077722i,-0.00048393-0.0014276i,-0.0001129-0.0012214i,-0.000285-0.00050113i,-0.00047955+0.00014988i,-0.00012745-0.00012874i,0.00013922-0.00053286i,-0.00014035-0.00040506i,-0.00056609-0.00026729i,-0.00024758+6.5155e-06i,0.0002287-0.00020056i
-0.00060711-0.00012909i,-0.00034853-0.0013023i,-0.0013213-0.0023737i,-0.0026438-0.0024907i,-0.0037611-0.0014902i,-0.0027633+0.00036269i,-0.00050474+0.00092245i,0.0012627-0.00050848i,0.0016692-0.0013714i,0.0010507-0.0013002i,0.00035186-0.00061054i,0.00065054-0.00016529i,0.00064335-0.00076442i,-0.00034392-0.0010426i,-0.00044382-0.00043621i,0.00043105+0.0002382i,0.00044261+0.00078891i,0.00066746+0.00052621i,0.00085785-0.00022177i,0.00029763-0.00026883i,0.0001201+5.8726e-05i,-4.0919e-05-8.1411e-05i,-0.00043425+3.8073e-05i
0.00044648-0.00041426i,8.7065e-06-0.00021383i,-0.0012179-0.00093036i,-0.0030288-0.0011905i,-0.0032895-8.8625e-05i,-0.0017191+0.00098012i,-0.00067671+0.0012142i,0.00012077+0.00084413i,0.00087485-0.00055047i,0.00089424-0.0013929i,-0.00040163-0.00089322i,-0.00055219-0.00025901i,0.00034594+4.0604e-05i,2.9767e-05-0.00082441i,-6.3992e-06-0.0015668i,6.3301e-05-0.00049685i,0.00020709-0.0003482i,0.00033023-0.00055824i,-0.00055727-0.00011258i,-0.00080345-0.00040269i,0.00016286-0.0001048i,0.0002405+0.00057112i,-0.00039394+5.0111e-05i
-0.0013384+9.2474e-05i,-0.00049741+8.556e-05i,-0.00042805-0.00041088i,-0.0026622-0.00027041i,-0.0037561+0.0002162i,-0.0017337+7.681e-05i,-0.00010776+0.00026869i,0.0010701+0.00041647i,0.0010578-0.00057398i,0.00028383-0.0014958i,-3.2618e-05-0.0015468i,0.00077136-0.00080971i,0.00094904-0.00076408i,7.8767e-05-0.0010531i,-0.00022485-0.00069923i,-0.00094754-8.8313e-05i,-0.0010892+0.00010752i,-0.001047-0.00017397i,-0.0014372-0.00059588i,-0.00066098-0.0002836i,-0.00068749-0.00016162i,-0.00058539+0.00027228i,-7.1146e-05+0.0011796i
0.00048345+0.00052376i,0.00027846-0.00029199i,-0.00068468-0.00071197i,-0.0021915-0.0012464i,-0.0028129-0.0017737i,-0.0022694-0.00027548i,-0.00062625+0.0011531i,0.00099871+0.00016195i,0.0015815-0.0012654i,0.00059265-0.0015921i,-0.00061503-0.0010431i,-0.00090571-7.9112e-05i,-0.0010065-0.00022725i,-0.00042036-0.00062815i,0.00046522-0.00037174i,0.00025067-6.569e-05i,-8.5039e-05+0.00032941i,0.00036039-1.1938e-05i,0.00022949-0.00066052i,0.00044493-0.00087808i,0.0012633-0.00037221i,0.0010743+0.00030856i,0.0012099+0.00026956i
0.00023234+0.00057542i,-0.00081707+8.1431e-05i,-0.0014855-8.095e-05i,-0.0025753-0.00038982i,-0.0038782+6.2125e-05i,-0.0030524+0.00045877i,-0.00094702+0.00077801i,0.00061073+0.00046092i,0.0012218-5.9357e-05i,0.0011201-0.00021904i,0.00076766-0.0011415i,0.00024334-0.0012501i,-0.00020037-0.00084639i,-0.00020862-0.00013455i,5.9882e-06+0.00093746i,-0.00031614+0.0013659i,-0.00083504+0.00061157i,-0.00086379+0.00032254i,-0.0006493+0.00048114i,-0.0012409+0.0004562i,-0.00084612+0.00054676i,-0.00043251+0.00022585i,-0.00038764-0.00018336i
-0.001632+0.0016552i,-0.0015538-0.00061107i,-0.00063923-0.0005378i,-0.00098791-0.00056766i,-0.0019538-0.0015625i,-0.001905-0.0010786i,-0.00045295-0.00020316i,0.00098859-0.00020017i,0.0020812-0.0002616i,0.0021553-0.00049788i,0.0011628-0.00031849i,0.00071318+2.7133e-05i,0.00061876+1.0963e-05i,0.00020663-6.0627e-05i,-0.00083083-0.00011361i,-0.0014629-0.00015361i,-0.0012841+0.00026563i,-0.00038699+0.00065323i,0.00011113+0.00044374i,-0.00024999+9.1469e-05i,-0.00051641-5.8062e-05i,-0.0003864+0.00055688i,-0.0005646+0.00030173i
-3.1719e-05-0.00046569i,-0.00080547-0.00031171i,-0.0021654-0.00049248i,-0.004411-0.000318i,-0.0063233+0.00092556i,-0.0035924+0.00094401i,0.00032928+0.00054414i,0.001504+0.00025685i,0.00078676-0.00063829i,0.00034354-0.001219i,0.00069449-0.0008317i,0.00033098-0.00052728i,0.00055659-0.000597i,0.00082829-0.00031236i,0.00014085+0.0004246i,-0.00073566+0.00036276i,-0.00080892+0.0001437i,-0.0005211+0.00022261i,-7.0467e-05-2.8598e-05i,0.00027512+0.0001512i,0.00061018+0.00051232i,0.00032036+0.00042916i,-0.00035196+0.00072497i
-0.0015965-0.00066038i,-0.00095875-0.00075085i,-0.0010268-0.00088678i,-0.0015299-0.0014588i,-0.0014025-0.0012329i,-0.00072947+0.00023939i,0.00058373+0.0013087i,0.0017467+0.0010968i,0.0015223-0.00087326i,0.00027303-0.0018989i,-0.00049755-0.0010735i,0.00018662-0.00029288i,0.00025503-2.9354e-05i,-0.00014023-0.00026637i,-9.4374e-05-0.00067094i,-0.00015725-0.00044019i,0.00027193-0.00022372i,0.00038813+0.00015732i,0.00034409+0.00035912i,0.00042031-0.00047361i,0.00028232-0.00034134i,0.00051932+0.00013097i,0.0011924-5.6911e-05i
