0.00068784+0.00057352i,0.001285+0.00064123i,0.0012899-0.0008579i,0.00035188-0.0021233i,-0.00049157-0.0032268i,-0.00044069-0.0026223i,-0.00080576-0.00092567i,-0.00030188+0.00023138i,0.0006767+0.0012886i,0.0013202+0.00063026i,0.0012115-0.0005157i,4.1142e-05-0.00036517i,-0.00038372+0.0003593i,-0.00059481+0.0010226i,-0.00062305+0.00031357i,-0.00014855-0.00036249i,-0.00029879-0.00027927i,-0.00013909+1.4029e-05i,0.00052078-3.1244e-06i,0.00050869-0.00016602i,-0.00011861-0.00038225i,-1.6262e-05-0.00041522i,0.00044738-0.00010244i
0.00083997+0.001665i,1.7796e-05+0.00088948i,0.00038601+0.0010133i,0.0019469+0.00083194i,0.001789-0.00018168i,0.00087453-0.0013299i,0.00021847-0.0015194i,-0.0007488-0.00097359i,-0.00069601+0.00013186i,0.00016707+0.00021276i,0.00093458-0.0011577i,0.0011856-0.0012728i,0.0012309-3.0772e-05i,0.00054464+0.00089933i,0.00014796+0.0010525i,-0.00018953+0.00088524i,-0.00059247+0.0010195i,-0.00016279+0.00050181i,0.00018271-0.00071637i,0.00019758-0.0009214i,0.0003362+0.00042762i,0.00010566+0.00047907i,-0.00039709-0.00090431i
-0.00081828-0.0003025i,-0.0011395-0.00050834i,-0.00026748-0.00058081i,0.0012328+0.00019826i,0.0018093-0.00022313i,0.001127-0.00096129i,0.00059146-0.0007076i,-4.803e-05+1.9364e-05i,-0.0012366+0.00015154i,-0.0013937+0.00025435i,-0.00023049+0.00028864i,0.00048875+0.00015573i,0.00072675+0.00024896i,0.00040068+3.4878e-05i,-9.2762e-06-0.00075998i,0.00034261-0.00024027i,0.00042374+7.1891e-05i,0.00054414-0.00086764i,0.00079527-0.00059696i,0.00083232+9.8228e-06i,0.0012756+0.00019315i,0.0013023-0.00055327i,0.00070001-0.00099039i
-0.000246+0.00037358i,-0.0010851+0.00037111i,-0.00018717-5.345e-05i,0.0020563-0.00043703i,0.0034119-0.00068041i,0.0028999-0.0011213i,0.0012587-0.0013359i,-5.8297e-05-0.00015533i,5.324e-05+0.00078777i,0.00063045+0.00095194i,0.00045487+0.00084256i,2.7072e-05+0.0003289i,3.6973e-05-0.00069474i,-0.00016948-0.00069405i,-0.0011262-0.00058146i,-0.0013331-0.00062492i,-0.0007869-0.00022817i,-0.00044158+0.00042335i,0.000146+0.00085877i,0.00018272+0.00043299i,-6.9383e-05-0.00013679i,-0.00027445-0.00044943i,-0.00051847-0.00080425i
0.00063205-0.00033984i,0.00023866-0.00020427i,0.0016984-0.00073485i,0.0031191-0.00082631i,0.0031389-0.0016752i,0.0019995-0.0018891i,0.00042496-0.00063044i,-0.00034138-9.5275e-05i,-0.00040019-0.00033637i,0.00079658+0.00021829i,0.0011119+0.00075647i,-6.4617e-05+0.00063862i,-0.000381+0.00051773i,0.00043743+2.8491e-05i,0.0010112+0.00019233i,0.0011044+0.00015765i,0.00091705+0.00053451i,0.00080177+0.00081867i,0.00090789+0.00052231i,0.0012747+0.00062509i,0.00077608+0.00097317i,2.2037e-05+0.00089542i,-0.00030244+0.00088382i
-0.00019111-0.00099088i,0.00086496+8.4177e-05i,0.00089032+0.00023536i,0.0013576-0.0006196i,0.0022835-0.0017722i,0.0024715-0.0016269i,0.0011614-0.00091425i,-0.00062781-0.0002855i,-0.001325+3.3062e-05i,-0.00067911+9.9809e-05i,-0.0004026+0.00029705i,-0.00046079+0.00044938i,0.0002474+0.00034588i,0.00017258+0.00014953i,-0.00046059-0.00020013i,-0.00024805-0.00011906i,0.00042009+0.00011665i,0.0012802+0.00036515i,0.0014688+0.00017436i,0.00081293-0.00050453i,-0.00047501-0.00076746i,-0.001021-0.0015447i,-0.00034544-0.0014983i
0.0011987-0.0010537i,0.00067281-0.00039011i,0.0017647+0.00031139i,0.0027328+7.2653e-05i,0.0027989-0.0012658i,0.0016651-0.0013276i,1.8436e-05-0.00077808i,-0.00020602-0.00075233i,0.00029075+0.0001334i,0.0004502+0.00053876i,0.00047715-0.00013059i,0.00032283-0.00072638i,3.7514e-06-9.5155e-05i,-0.00060798+0.00040807i,-0.00055071-0.00017878i,-5.4037e-05-0.00087827i,0.00047047-0.00083138i,0.00074775-0.00016676i,0.00029711-9.5434e-05i,0.00038119+0.00028457i,0.0011901+0.00040944i,0.0008037+0.00061886i,0.00019209+0.001123i
0.00014559-0.00033969i,0.00049731-0.00047266i,-0.00046866-0.0014246i,0.0002138-0.0020147i,0.0017742-0.0015011i,0.00099505-0.0010783i,0.00051228-0.0011349i,0.00014695-0.00051871i,-0.00076124+0.00014494i,-0.00030062+0.00076787i,0.0011872+0.00059645i,0.0016205-3.9745e-05i,0.00067599+0.00024577i,0.00039841+0.00068748i,0.00033763+0.00056432i,3.4367e-06+0.00037301i,0.00011427+0.00077637i,0.00041055+0.00072897i,0.00040256+0.00030438i,0.00033332-0.00043183i,-0.00037423-0.00011276i,-0.00063482+0.00034631i,0.00032832+0.00049635i
-0.00018868+0.00052079i,-5.1502e-05+9.0387e-05i,3.0068e-05+0.00052069i,0.00099343+0.00054723i,0.0024628-0.00080291i,0.0017141-0.00077611i,0.00024146-0.00018945i,-2.9916e-05-0.00042152i,-0.00076682-0.00028088i,-0.00084936+0.00057048i,-0.00043131+0.00050644i,-0.00041747+9.9997e-05i,-4.3506e-05-2.4275e-05i,-4.8538e-05+9.039e-05i,-0.00032197+0.00018229i,-0.0002755+0.00024726i,0.00042539-0.00023631i,0.00056301-0.0010158i,0.00046748-0.0014615i,0.00053597-0.0014168i,0.00023419-0.00091716i,-1.7048e-06-0.00010316i,-0.00037558+0.0010372i
1.2323e-05-0.00040298i,0.0010501-0.00033644i,0.0011495+0.00049826i,0.0015742-3.785e-05i,0.0023247-0.0014222i,0.0017041-0.0016086i,0.00044881-0.00039702i,-0.00035189+0.0002618i,-0.0005642+0.00034191i,-0.00014554+0.00053552i,0.00026423+0.00022465i,0.0003299-0.00053813i,0.00052059-0.00065579i,0.0008164-0.00012642i,0.00063198+0.00010985i,0.00015212+0.00025896i,-0.00037448-5.052e-05i,4.2615e-05-0.00075358i,0.00065194-0.00044701i,-0.00044092-0.00073659i,-0.00051844-0.0013061i,0.00048739-0.00072083i,0.00020194-0.00019949i
0.0010449+0.0012837i,0.0010406+0.0010257i,0.0013077+5.6106e-05i,0.0026684-0.00056708i,0.0034718-0.0014054i,0.0023915-0.0016126i,0.0011792-0.00019689i,0.00068601+0.0012603i,0.00079273+0.001855i,0.00080602+0.00094953i,0.00062894-4.6491e-05i,-0.00012447+4.3052e-05i,-0.00043981+0.00023271i,8.3325e-05-0.00043922i,0.00062391-0.00034347i,0.00058272+0.00013951i,-0.00023101+0.00013696i,-0.00038485-0.0004466i,-0.00015385-0.00020513i,-0.00030592-8.0524e-05i,-0.00037757-0.00036598i,-0.00050012-0.00049781i,-0.00017482-0.00075942i
-0.00087712-0.00030771i,-0.00021378-2.3396e-05i,0.00087645+0.00013013i,0.0020108-0.00063815i,0.0031349-0.0017444i,0.0023954-0.0028511i,0.00070326-0.0021821i,-0.00039733-0.00039009i,-0.00039427+0.00014832i,8.3924e-05+0.00091798i,-0.00010448+0.00074343i,-9.2147e-05-0.00015392i,0.00035064-0.00055164i,0.000486-0.00069267i,-0.00048179+0.00028364i,-0.0010791+0.00084727i,-0.00034057+0.00053821i,0.00041864+0.00069042i,0.00068617+0.00025865i,0.00062828-0.00077619i,0.00062319-0.00089856i,0.00064847-9.9947e-05i,-0.00045252+0.00047134i
-0.00062632-0.00025719i,-0.00015969-0.0005578i,0.00015657+0.0003557i,0.00096948+0.0013825i,0.0022322+0.00031687i,0.0023057-0.00096409i,0.00054389-0.00075544i,-0.00088584-0.00058607i,-0.00049372-0.00036839i,0.00021799-0.0004616i,0.00022489-0.0011585i,0.00050569-0.00022466i,0.00030526+0.00091036i,-0.00033139+0.00060474i,-0.00072828+6.2456e-05i,-0.00048969+5.1121e-05i,0.00010533+0.00020292i,7.691e-05+0.00037393i,-0.00038095-2.9237e-05i,-0.00063175-0.00038835i,6.1716e-05-0.00031971i,0.00071229-0.00062236i,0.00016724-0.00091077i
0.0010986-0.00074999i,0.00080205-0.00072819i,0.0006413-0.00056507i,0.00094697+3.1636e-05i,0.0010539+8.3505e-05i,0.00058126-0.0004707i,0.00027196-2.8205e-06i,-1.6535e-05+0.00094678i,-8.1744e-05+0.0008807i,9.6214e-05+0.00072073i,6.4012e-05-0.00013198i,0.00010184-0.00051123i,0.00033491+0.00015914i,0.00039331-0.00024284i,0.00079663-0.00067779i,0.00079693-0.00038542i,0.00038213+3.0821e-05i,-9.6297e-05+7.2883e-05i,0.00011778-0.00053005i,0.00088594-0.00050898i,0.00065369-0.00011132i,-0.00011675-6.8322e-05i,-3.9444e-05-0.00017307i
0.0011736+0.0017822i,0.00064744+0.001628i,0.001187+0.00053795i,0.001876-0.00038792i,0.0019293-0.0013437i,0.001343-0.0026891i,0.00028543-0.0020504i,-0.00027696-0.00045275i,4.0698e-06+0.00030904i,0.00045087+0.00087334i,0.00019521+0.00062744i,-0.00024187+0.00013734i,0.0004794+0.00078289i,0.0015586+0.00026225i,0.0014389-7.6228e-05i,0.00090043+0.00029727i,0.00040633+8.0212e-05i,0.00024831-4.0473e-05i,0.00030148-0.00096359i,-0.00027555-0.00099743i,-8.7327e-05+0.00053136i,0.0012928+0.00081759i,0.0014518+0.00034308i
0.00071607+9.9995e-05i,0.00065676+0.00022555i,0.0020136+0.00085339i,0.0035379+0.0007039i,0.0033794-0.00010731i,0.0025449-0.00082329i,0.0014125-0.00028838i,0.00016334+0.00069426i,4.9793e-05+0.00042601i,0.00063734+2.7053e-05i,0.0011776-0.00042864i,0.00092938+0.0002598i,0.00062579+0.00083973i,0.00053506-6.4456e-05i,1.3502e-05+0.00010563i,0.00031615+0.00078303i,0.00044794+0.00045466i,0.00032381-0.00061382i,1.0983e-05-0.00098614i,-0.00040464-0.00047469i,-0.00030968-0.00091014i,0.00056856-0.00076645i,0.00049623+0.00064952i
0.0003154+0.00073483i,0.00037205+0.0010044i,0.0011322-0.00041037i,0.0014448-0.0019162i,0.00094937-0.0028252i,0.0001053-0.0021673i,-0.00032507-0.00074036i,-0.00060435-5.56e-06i,-0.0005838+0.00075028i,-0.00010159+0.00075149i,-0.00056895-3.0859e-05i,-0.0013773-0.0007428i,-0.00045477-0.0003408i,0.0006692+0.00031328i,0.00077502-2.8977e-06i,0.00061086-0.00031708i,0.00074441+1.7252e-05i,0.00069208-0.00063905i,0.00056741-0.0010173i,0.00056458-0.00037949i,8.7371e-05-0.00023861i,-7.6748e-05-0.00052216i,0.00060569-0.00082644i
-0.0011298-0.00083304i,-0.00082215-0.00070446i,-8.1304e-05+0.00034779i,0.0014027+0.0011238i,0.0022389+0.00055757i,0.0023891+0.00025767i,0.0020916+0.00037102i,0.0019174+0.00019536i,0.00075736+0.00045765i,0.00014886+0.0010164i,0.00054839+0.0010779i,0.000119+0.0010637i,0.00020295+0.00070518i,-0.00018306+0.00028933i,-0.00034355+0.00021423i,-0.00021017+7.2224e-05i,-8.424e-05+0.00037639i,0.00050723+2.0761e-05i,0.00034278-0.00083639i,5.1369e-05-0.00080838i,-0.00037215-0.00019525i,-0.00055555-0.00022128i,0.00021709-0.00088796i
