-0.0013048+0.00088825i,-0.00064091+0.00052809i,-0.0010839-4.057e-05i,-0.0018463+0.00034659i,-0.0031302+0.001185i,-0.0019728+0.001586i,-0.00062749+0.0015861i,-0.001358+0.0011388i,-0.0013129+0.0015636i,-0.00023635+0.0018269i,0.00025975+0.00054381i,-0.00030709-0.00017432i,-0.00093675-0.00011514i,-0.000472-0.00042636i,0.00017002+0.00013462i,6.4307e-05+0.00033934i,-0.00010138+0.00037848i,4.5184e-05+0.00037765i,0.00024781+0.0001315i,-0.00062034+0.00020201i,-0.00061026-0.00012844i,-0.00016844-0.00023325i,5.2804e-05+4.827e-05i
0.00029818+0.00068317i,0.00032099-0.00044862i,0.00059219-0.00081849i,-0.00094289-0.00021084i,-0.0030814+0.00020295i,-0.0029205+0.00095068i,-0.00089598+0.0017324i,-0.00046445+0.0018819i,-0.0010008+0.0014293i,-0.0012347+0.00099784i,-0.0010159+0.0010104i,-0.00048897+0.0003811i,-0.00036259+0.00019299i,-0.0012641+0.00091447i,-0.0017639+0.00090322i,-0.00071883+0.00055379i,-0.00019641+0.00091553i,-0.00036999+0.0010238i,-0.00087457+0.00027869i,-0.00093693-0.00034084i,-0.00096918-0.00025635i,-0.00060598-0.00017741i,3.2798e-05-0.00021895i
-0.00065338-0.0012598i,-0.00098793-0.00041292i,-0.0026961-0.00055319i,-0.0042857-0.0012977i,-0.0038528-0.00065866i,-0.0019065+0.0014664i,0.00022034+0.0017118i,0.00089215+0.0012021i,-1.11e-05+0.0014422i,-0.00038518+0.0019341i,0.00047952+0.0015489i,0.00031487+0.00054498i,0.00032733+0.00071746i,0.001137+0.0011447i,0.00087716+0.00098186i,0.00071819+0.00041429i,0.0006465-9.5412e-05i,0.00044331-2.8488e-05i,0.00042902-0.00022166i,0.00013269-0.00051998i,-0.00077439-0.00033644i,-0.00079923-0.00012697i,-0.00020544+0.00011456i
-0.0008337-0.00056932i,-0.00033186-0.0010219i,-0.0015996-2.5945e-05i,-0.0023471+0.00074149i,-0.0019266+0.0012616i,-0.00045137+0.00091357i,0.00071221+0.00040345i,-0.00061706+0.00063166i,-0.001467+0.0010669i,-0.00075222+0.00067643i,-0.0002581+0.00017207i,-0.00045424+0.00010128i,-0.00072866+3.8537e-05i,0.00055662-0.00015605i,0.0008357-0.0003084i,0.00020783-7.6207e-06i,0.00085+0.00034397i,0.00066638+0.00019461i,2.5618e-05-0.00012502i,0.00098415-0.00015891i,0.0012983-0.00034095i,-8.4652e-06-0.00026543i,-0.00085802+0.00016888i
0.0010563+0.00062393i,-0.00028596-0.00038538i,-0.00097308-0.00067828i,-0.0016444+2.6561e-05i,-0.00193+0.00035349i,-0.0013352+0.00099753i,-0.00071396+0.0011518i,-0.00087549+0.00086166i,-0.0013461+0.00030981i,-0.001036-0.00024776i,-6.7357e-06+0.00032696i,1.3645e-05+0.00096246i,-0.00020865+0.0011641i,3.8799e-05+0.00085845i,-0.00042188+0.0004126i,-0.00027188+0.00060907i,0.00070042+0.00053813i,0.00052948-0.000295i,0.00024765-0.00026479i,0.00052704+8.8455e-05i,0.0003423-0.00036663i,3.7844e-05-0.0008583i,-0.00026571-0.00043694i
-0.00078947+0.00033697i,0.00033637+0.0003747i,0.00034129-0.00032565i,-0.00093794+0.00037754i,-0.0025876+0.0014519i,-0.0017237+0.0012796i,-0.00069021+0.00067764i,-0.0015185+0.00060568i,-0.001945+0.0011713i,-0.0016044+0.0012895i,-0.00040277+0.00040929i,0.00035771+0.00032673i,0.00032915+0.00054693i,0.0007316+0.00027354i,0.00066824-0.00022221i,9.6496e-05-5.5143e-07i,0.00013169+0.0002127i,0.00011592-5.6743e-05i,-0.00040553+3.2006e-05i,-0.00030578+0.00013069i,-7.445e-05-2.551e-05i,-0.00031183-0.00028381i,-0.00014427-0.00021107i
-0.00071653+0.0029748i,-0.00085507+0.0032033i,-0.00056463+0.0022672i,-0.00098432+0.0013432i,-0.0018963+0.00085388i,-0.0014823+0.00072825i,-0.00058863+0.00073095i,-0.0011732+0.00032242i,-0.0017754+0.00028939i,-0.0012119+0.0002558i,-0.00068501+0.00015166i,-0.00036973+0.00038512i,-0.00090292+0.00069378i,-0.0011181+0.00050245i,-0.00032972+0.00049776i,-0.00033271+0.00038132i,-0.00055334+0.00044922i,0.00029906+0.0012094i,0.00059166+0.00054088i,8.8243e-05-0.00063323i,-0.00048365-0.00063914i,-0.00067329-0.00018151i,-0.00031508+0.00049564i
-0.00094464+0.0014515i,-0.00094216+0.0020567i,-0.00017307+0.002279i,0.00017407+0.0010905i,-0.00017537-0.00038541i,0.00044277-0.00024884i,0.0016093+0.00068177i,0.0010964+0.00066346i,-0.0011241+0.00061019i,-0.0018008+0.0014434i,-0.00031309+0.001326i,-6.4882e-05+0.00080819i,-0.00099913+0.00096112i,-0.00086372+0.00073218i,-0.00047887-1.9792e-06i,-0.00018293-2.8503e-05i,0.00056059+5.053e-06i,0.00050048-9.4749e-05i,4.539e-05-0.00045964i,-0.0008448-0.00036349i,-0.0017451+0.00055025i,-0.0011951+0.00043703i,0.00010021+0.0004439i
0.00017324+0.00022804i,0.00056946+0.00024686i,-0.00018009-0.00087914i,-0.0015258-0.0027832i,-0.002619-0.0030662i,-0.0025983-0.0009928i,-0.0013484+0.0010398i,-0.0011423+0.0010714i,-0.0010887+0.00069928i,-0.00042261+0.0011473i,-0.00013512+0.00084315i,-0.00082656-6.1624e-05i,-0.0013956+0.00020787i,-0.0011992+0.00071027i,-0.0010101+0.00095202i,-0.00062318+0.001584i,-0.0006248+0.0017686i,-0.00024095+0.0014463i,-0.00035458+0.00065502i,-0.00094442+7.7663e-05i,-0.00059679+4.4665e-05i,-0.00042172-7.4517e-05i,-0.00086396-0.00011883i
0.0004621-0.00015305i,-5.7214e-05-0.00094913i,-0.00043461-0.0013182i,-0.0018468-0.00043438i,-0.0031568+0.00034134i,-0.0022616+0.0018933i,-0.00048615+0.0027653i,-0.00052383+0.001367i,-0.0013822+0.0012463i,-0.0017376+0.0019216i,-0.001268+0.0013597i,-0.00071619+0.0010646i,-0.0013033+0.0012579i,-0.00091389+0.0008966i,0.0001108+5.349e-05i,0.00029027-0.00047107i,0.00029916-0.00025256i,0.00088193+0.00035242i,0.0010859+0.00059905i,0.00037928-7.1892e-05i,0.00034471-0.00028482i,0.00014648-0.00018008i,-0.00029086-0.00032445i
0.00099183+0.00099525i,0.0014623+0.00040666i,0.00047188-0.00024173i,-0.0012121-0.0016841i,-0.0023674-0.0014269i,-0.0021874+0.00011302i,0.00014179+0.00082525i,0.00068273+0.0010983i,-0.00029513+0.0014992i,-0.00020016+0.0021448i,-0.00028564+0.0007959i,-0.00043565-0.00052371i,-0.00013741-0.0004254i,-0.0003208+5.6935e-05i,-0.00076958+0.00020588i,-0.00079152-0.00016119i,-0.00032561-1.5161e-05i,-9.6376e-05-6.9076e-05i,0.00019348-0.0006511i,-6.7614e-05-0.0011108i,-0.00060324-0.0011013i,-0.00082499-0.00063023i,-0.00023674-0.00027325i
0.00076941-0.00076927i,-0.00048384-0.00015394i,-0.0020451+0.00044697i,-0.0036094-1.5901e-05i,-0.0040145+0.00031125i,-0.0027317+0.0017392i,-0.0013558+0.0018321i,-0.0013422+0.00037806i,-0.0015916+0.00017754i,-0.00057638+0.0012133i,0.00023141+0.0017445i,0.00038679+0.0012521i,0.00022566+0.00083051i,0.00037351+0.0010293i,0.00065297+0.0011106i,-7.5753e-05-0.00027578i,-0.00054141-0.00046998i,3.3979e-05+0.00057575i,-1.262e-05+0.00029358i,5.517e-05-8.1939e-05i,0.00061982+0.00013865i,0.00037039+0.00074588i,-0.00032159+0.00074549i
-0.00071498-3.5306e-05i,-0.00060764+0.00020095i,-0.0016018+0.00025508i,-0.001919-0.00033439i,-0.0026562+0.00019562i,-0.0025634+0.0018692i,-0.0011696+0.0022496i,-0.0010145+0.001738i,-0.0017871+0.0016018i,-0.0015629+0.0017448i,-0.00040789+0.0019407i,-0.00045663+0.0013734i,-0.00087072+0.00090642i,-0.00067198+0.001039i,-0.0006597+0.0010585i,-0.00059689+0.00083936i,-7.1599e-05+0.00042486i,-3.2652e-05-0.00055739i,-0.00023855-0.00064052i,0.00031794-3.7983e-05i,0.0005057+0.00085669i,-0.0003761+0.0002753i,-0.00027382-0.00055423i
0.0010429-0.00035627i,-0.00067345-0.0003226i,-0.0030177-0.00053023i,-0.0038653-0.00076135i,-0.003966-0.0004309i,-0.0031515+0.00063256i,-0.0020373+0.0010249i,-0.00060201-0.00026819i,-0.00069167-3.9874e-05i,-0.0010985+0.00083975i,-0.00059268+0.00065881i,-0.00022685+0.00085181i,-0.0001188+0.00086011i,9.0476e-05+0.00060304i,0.00086044+0.00037198i,0.0012848+0.00064778i,0.00086061+0.0007264i,0.00010785+0.00022127i,-0.00049068+0.00049299i,-0.00046181+8.1816e-05i,-0.0001767-0.00051556i,-0.00024952-0.00050065i,-0.00073943+0.00015149i
-0.0016807+0.0022517i,-0.00043755+0.0020118i,0.00061891+0.0015806i,-7.4813e-05+0.0015564i,-0.00061606+0.0005192i,0.00013705+0.00083598i,0.00061755+0.0013272i,-0.00055043+0.0012443i,-0.0020355+0.0019508i,-0.0018095+0.0023255i,-0.0012162+0.0016452i,-0.00017773+0.00069429i,0.00049003-0.00014885i,0.00019868-0.00045925i,-0.00024732+0.00059278i,-0.00078313+0.0010161i,-0.00021339+0.00036969i,0.00032692-0.00034008i,0.00049137-0.00059193i,0.00042911-0.00073634i,-8.5177e-05-0.0008287i,0.00065526-0.00078724i,0.00099025-0.00059438i
0.0002343-0.00077494i,9.9397e-05-0.00023277i,-0.00074226-0.00042589i,-0.0018883-0.00028867i,-0.0020702+0.00036799i,-0.00055238+0.00070997i,0.000853+0.0010625i,6.0954e-05+0.001218i,-0.0012432+0.00074227i,-0.00020003+0.00038546i,0.00078883-6.6006e-05i,0.00029248-0.00057573i,0.00012369+3.6097e-05i,-1.6077e-05+0.0007892i,-0.00039341+9.1564e-05i,-0.00028636-0.00048524i,-0.00012443-3.4831e-05i,0.00014346-0.00018866i,0.00045172-0.0012369i,7.6361e-05-0.0010257i,-3.2622e-05-0.00026225i,-6.5798e-05-1.6668e-05i,0.00062134+0.00041789i
0.00057178-4.6138e-05i,-3.3243e-05+0.00016176i,-0.00014957-0.00022713i,-0.0013096-0.00050683i,-0.0019508-0.00016434i,-0.00083369+0.00095043i,0.00011323+0.0017651i,0.00012572+0.0011016i,-0.00017344+0.00048673i,-9.9408e-05+0.0010955i,0.00017061+0.00095349i,-0.00023151+0.00048519i,-0.00045835+0.00055375i,-0.00042136+0.0013883i,-0.00040014+0.0018683i,0.00012128+0.0010774i,0.0004671+0.00094547i,-0.0002489+0.0011687i,-0.00074916+0.00027853i,-0.00054106-9.2218e-05i,0.00020551+0.00045086i,0.00039085+0.00075891i,0.00031688+0.00083677i
-0.0011761-0.00024045i,-0.00061812-0.00028209i,-0.0021583-8.9902e-05i,-0.0035021+0.00014786i,-0.0034167-0.00035079i,-0.0019268-0.00012865i,-0.00044361+0.0011627i,-0.00077539+0.0013409i,-0.0018194+0.0012291i,-0.0013835+0.0017505i,-0.00031623+0.0013432i,-2.2039e-05+0.00031505i,0.00057394+0.00040287i,0.00042925+5.5808e-05i,-0.0004939-0.00015366i,0.00045368-5.4906e-05i,0.00091869+0.00023637i,0.00039409+0.00049164i,0.00089955+0.00047404i,0.00093929+0.00060196i,-0.0001353+0.00062572i,-0.00069088+0.000471i,-7.3925e-06+0.00031205i
-0.00077598+0.00024502i,-0.00042245-0.00039609i,-0.0011556-0.00065014i,-0.002571-0.00096805i,-0.0025362-0.0012761i,-0.001171+0.00010216i,-0.00064609+0.0011491i,-0.00065866+0.00040475i,-0.0013321+0.00067835i,-0.001027+0.0014386i,0.00013759+0.0015435i,0.00058507+0.0010085i,-0.00015647+0.00063574i,-0.00024179+0.00075091i,6.4014e-05+0.00062189i,-6.8107e-05+0.00042866i,-0.00029906-0.00036004i,0.00012161-0.0014593i,0.00024302-0.0011582i,-0.00033502-0.00045617i,-0.00050264-0.0001211i,-0.00014737+0.0001806i,0.00032814+0.00025735i
-5.8463e-05-0.0016438i,-0.00043385-0.0011776i,-0.001615-0.0010051i,-0.0022145-0.00037218i,-0.0014554+3.5541e-05i,-0.0002673+0.001143i,0.0004603+0.0019591i,0.00043079+0.0010087i,-0.00032796+0.00020706i,-0.00084612+0.00095485i,-0.00049474+0.0013678i,-0.00067012+0.00078132i,-0.0010831+0.00061022i,-0.00055697-0.0002119i,4.2628e-05-0.00043881i,-0.00013178+0.0002325i,-0.00039368+0.00022075i,-0.00047247+4.8509e-05i,-5.501e-05-0.00044493i,-0.00022626-0.00051557i,-0.00018754-0.00057794i,0.00037097-0.00063391i,0.00045432+0.0001017i
0.0011435+0.00026921i,0.00056073-0.00114i,-4.9528e-05-0.0021658i,-0.0013426-0.0020414i,-0.0024848-0.0011387i,-0.0020445-5.7331e-05i,-0.00058092+0.00033421i,-0.00059243-6.2716e-05i,-0.0013081+0.00068237i,-0.0013981+0.0022087i,-0.0015561+0.001939i,-0.0017392+0.0012287i,-0.0015149+0.00063012i,-0.00043277+0.0013226i,0.00055316+0.001492i,0.00061974+0.00046653i,5.0079e-05-0.00013521i,-0.00089729-0.00031195i,-0.00041351+0.0001332i,-3.5753e-05+0.0004998i,-0.0010726-0.00011049i,-0.0010966-0.00070673i,-0.00038843-0.00027616i
0.0018487-0.00030437i,0.00088966-0.0017519i,-0.00080005-0.0015152i,-0.0018942-0.0016572i,-0.0033676-0.0018378i,-0.0037744-0.00031421i,-0.0020791+0.00083639i,-0.0010286+0.00096213i,-0.0010651+0.0012887i,-0.0012154+0.0019363i,-0.0010452+0.001443i,-0.00080191+0.00045236i,-0.0006518+0.0007506i,-0.00017859+0.0014557i,0.00012863+0.001584i,0.0002048+0.0013355i,0.0010609+0.0001502i,0.00098432-0.00029527i,0.00028902+0.0002796i,0.0003484+0.00048163i,0.00065129+0.00020619i,1.9875e-05+0.0001988i,1.7202e-05+0.00011011i
0.00082881+0.0011426i,0.0005987+0.00014365i,0.00045764-0.00072974i,-0.00029657-0.0013947i,-0.001339-0.0012802i,-0.0010755-0.00014142i,-0.000208+0.0013043i,0.00020577+0.0013963i,-6.63e-05+0.00088306i,-0.00057568+0.00013917i,-0.00013198-0.00022301i,-0.00010863-3.1774e-05i,-0.00028979+2.4716e-05i,-0.0001941+0.00034832i,-0.00066907+0.00038444i,0.00025087+0.00037562i,0.0012009+0.00069695i,0.00086734+0.00052858i,0.00013623-0.0002145i,-0.00019564-0.0010239i,-0.00039513-0.0013981i,-0.00018336-0.0014756i,0.00035209-0.00094051i
0.0005214-0.0012843i,-0.0005688-0.001738i,-0.0017209-0.002155i,-0.0028634-0.0012033i,-0.0028927+0.00024583i,-0.0023576+0.001699i,-0.00099414+0.0017188i,-0.00059146+0.0009967i,-0.002089+0.00092206i,-0.0018296+0.0012722i,-0.00060856+0.0016309i,-0.00055218+0.001354i,3.6267e-05+0.00070156i,0.00091987+0.00066203i,0.00069871+3.3008e-05i,0.00037016-0.00063064i,0.00021185-0.00076787i,0.00029684-0.00062785i,-0.00023064-0.00049006i,-0.00072814-1.3796e-05i,-0.00061138+0.00033482i,-0.00032681-0.0002103i,0.00027409-0.00054802i
-0.00039876-0.00012963i,-0.00023701+0.00011558i,-0.0013021+0.00026908i,-0.0015156+0.00078088i,-0.0013297+0.00059439i,-0.0012853+0.0004089i,-0.00098731+0.0010486i,-0.0011436+0.00091166i,-0.0018611+0.00074525i,-0.0015708+0.0011021i,-0.00066198+0.0011619i,-0.00077035+0.00015501i,-0.00070405-0.00018305i,-0.00075944+6.5935e-05i,-0.00071032-0.00027591i,-7.4038e-06-3.4233e-05i,1.8538e-05+0.00041362i,0.00036762+0.00053032i,-0.00016213+0.0001232i,-0.00065435-0.00058976i,-0.00064672-0.0010664i,-0.0008081-0.00030037i,-0.0010248+0.00031502i
-0.00043853+0.0012727i,-0.001267+0.0011041i,-0.001597+0.0011064i,-0.0014529+0.00081812i,-0.0017722+0.00069903i,-0.0012389+0.0012841i,0.0001514+0.0014389i,0.00043215+0.0013772i,0.0001422+0.00096674i,4.6795e-06+0.00080139i,-0.00076655+0.0007856i,-0.0011172+0.00076451i,-0.00075585+0.0011713i,-0.00048628+0.00087654i,-0.00046613+0.00032052i,-0.00093278+0.00032433i,-0.00070325+0.00031504i,-0.00023935+0.00012303i,-0.001055+0.00026964i,-0.00058315-6.8619e-05i,0.00066596-0.00040966i,0.00060373-4.7937e-05i,0.00036398+0.00024069i
-0.00044948-0.0017926i,-0.0012378-0.00076652i,-0.0022224-0.00011943i,-0.0021434+0.0006718i,-0.0022076+0.0016358i,-0.00094904+0.0022684i,0.00035699+0.0020563i,-0.00017448+0.00096662i,-0.0011612+0.00034244i,-0.0012277+0.00056191i,-0.0005097+0.00029629i,-0.00029681+0.00064653i,-0.00029851+0.0010169i,0.00020125+0.00048469i,0.00052325+0.00084166i,0.00079073+0.0012183i,0.00088413+2.2467e-05i,0.00085921-0.001251i,0.00021923-0.00094104i,-0.00039968-0.00069092i,-0.00011977-0.00084635i,0.00017902-0.00092438i,0.00032797-0.00040785i
-2.1161e-05+0.00069961i,-0.0010912+0.0018692i,-0.0012937+0.001049i,-0.0017362+1.4095e-05i,-0.0019142+0.00061241i,-0.00082584+0.0020731i,0.00067046+0.0025946i,0.00028573+0.0016485i,-0.0011486+0.0008962i,-0.0011482+0.0014887i,-0.0013488+0.0012676i,-0.0018198+9.4645e-05i,-0.0010547+0.00073518i,-0.00091451+0.0012339i,-0.00063316+0.00036596i,-0.00023775+0.00033335i,-0.00043105+0.00012438i,-0.00034322-0.00050147i,9.5462e-06-0.00073574i,0.0005496-0.0013501i,0.00049794-0.0010959i,-5.4216e-05-2.2001e-05i,-0.00075078+0.00066242i
-0.0011197+0.00069481i,-0.00026216+0.0017728i,-0.00024498+0.0017504i,-0.00085702+0.00059778i,-0.00090207+6.6704e-05i,-0.00078321+0.00042657i,-0.00065034+0.0017999i,-0.0007579+0.0022455i,-0.0011272+0.0022719i,-0.00070954+0.0014025i,-0.00064146+0.00050858i,-0.00091896+0.00052585i,-0.00082918+0.00063577i,-0.00061303+0.00087126i,-0.00029144+0.0010911i,0.00039214+0.00094226i,0.00071593+0.00016411i,0.00057338-0.00036716i,6.4924e-06-0.00057809i,-0.0002143-0.00057462i,-0.00011307-0.00079669i,-0.00010632-0.00050428i,-0.00014106-0.00021344i
0.0010795+0.00067807i,0.0011766-0.00021889i,0.0012761-0.00074249i,6.7945e-05-0.0011513i,-0.0016058-0.0014476i,-0.0022554-0.0007171i,-0.0016615-0.00034555i,-0.0015802-0.00028899i,-0.0024158+0.00044287i,-0.0017573+0.0013134i,-0.00070435+0.00093656i,-0.00075039+0.00034247i,-0.00095442+0.00029124i,-0.00015049+0.00075701i,0.000869+0.00096802i,0.00049799+0.00097254i,-1.1629e-05+0.00031133i,0.00040207+0.00046128i,0.00013537+0.00050674i,0.00057475+8.8015e-05i,0.0012534+0.00011253i,0.00064477+0.00012938i,-8.2601e-05+0.00078674i
-0.0012269+0.00040651i,0.00034817+4.7402e-05i,0.00035642-0.00036841i,-0.0014647-0.00058133i,-0.0021555+6.0264e-06i,-0.00077817+0.00054552i,0.00015569+0.00097356i,0.00021459+0.00055472i,-0.00072096+0.00035723i,-0.0013901+0.00094277i,-0.0010597+0.00049873i,-0.00044379-0.00025104i,-0.00013242-1.0021e-05i,-4.484e-06-8.324e-05i,-0.00033953-0.0002507i,-0.00070161-2.732e-05i,-2.2972e-05+0.00049465i,0.00082424+0.00053026i,0.0010754+0.00019447i,0.00075864-0.00075739i,0.00070012-0.0011877i,0.00050135-0.00029237i,-0.00049969+0.00021914i
-0.0014212-0.00013626i,-0.0011684+0.00042779i,-0.00020356-5.8699e-05i,-0.0003656-0.00069245i,-0.0007786-0.00068321i,-0.0004145+0.00089564i,-0.00043558+0.0024808i,-0.00032996+0.0017748i,-0.0010333+0.0017464i,-0.0015925+0.0019766i,-0.0013384+0.0014294i,-0.0010813+0.00038748i,-0.00079925+1.7839e-05i,-0.00070717+0.00048454i,-0.00045768+0.00021948i,-0.00059808-0.00019464i,-0.00073521+0.00017828i,0.00034782+0.00099453i,0.00036194+0.00072617i,-0.0001277+0.00026475i,-0.00036222-0.00016595i,-0.00063344-0.00056051i,8.443e-05-0.00027132i
