0.0012886+0.003735i,-0.00056+0.0039939i,-0.00089805+0.0009671i,0.00027684-0.00021293i,0.0010798-0.00022153i,0.001012-0.00065645i,0.00028211-0.0011397i,0.00052841-0.00059134i,0.0009497+0.002173i,0.0011737+0.0044201i,0.0012865+0.0041405i,9.5998e-05+0.0020859i,-0.00083767+0.00037239i,-0.0004594+5.6852e-05i,-0.00054162+3.6446e-05i,-0.0016359-0.000424i,-0.0016887-0.0012564i,-0.0008181-0.00050332i,-0.00037838+0.00088827i,0.00046487+0.00061982i,0.0015179-7.8311e-05i,0.0016276+0.00040997i,0.0010038+0.000663i
0.0072062-0.0018835i,0.0045117+0.0007276i,0.0022228+0.0005632i,0.0017041-0.00087475i,0.0013237-0.0011964i,0.00043785-0.00082423i,-0.00082788+0.00051789i,-0.0025958+0.0019066i,-0.0044549+0.0021585i,-0.005505+0.0022624i,-0.0054004+0.0010259i,-0.0043918-2.2257e-05i,-0.0024928+0.00036085i,-5.6447e-05+0.00069546i,0.00025453+0.0010486i,-0.00035783+0.0011676i,3.7075e-05+0.0008858i,9.9385e-05+0.00016775i,0.00027364+0.00020173i,0.00022035+0.0010261i,-0.00024776+0.0007359i,-0.00080154-6.8288e-05i,-0.00049882-0.00051289i
0.0043829-0.0056983i,0.0050019-0.0023533i,0.0049355-0.00074015i,0.0041229-0.001889i,0.0022581-0.00271i,0.00085688-0.0024712i,4.0062e-05-0.0018543i,-0.00030809-0.0023022i,0.00078592-0.0040229i,0.0012741-0.0056101i,0.00076314-0.0058571i,0.00014186-0.0041756i,-0.001067-0.0023111i,-0.0016592-0.0011801i,-0.0012234+0.00040468i,-0.0009834+0.00094099i,-0.00090409+0.00017396i,-0.0005733-9.4798e-05i,-0.00014592+0.00018024i,-0.00031381+0.00016961i,-0.00026066+0.00022041i,-0.00059438-0.00026679i,-0.00092479-0.0010842i
-0.0044654-0.0046872i,-0.00070477-0.0046086i,-0.00084297-0.002285i,-0.0016553-0.0016267i,-0.0015281-0.0012685i,-0.00064873-0.0014008i,0.0015311-0.00092213i,0.0042739-0.00084884i,0.0057475-0.0015361i,0.0061443-0.0012427i,0.0051659-8.2815e-05i,0.0026806+0.00046003i,0.0016119+0.0010414i,0.0016562+0.0012687i,0.0014324+0.00032063i,0.0007299-0.00028413i,0.00073926-0.00023409i,0.0010957-0.00037824i,0.00041127-0.00013062i,0.00020568+0.00041109i,0.00047966+0.00027754i,-3.1791e-05-5.777e-05i,-0.00060031+4.4429e-05i
-0.0065423+0.00045327i,-0.0048925-0.0018995i,-0.002763-0.00039932i,-0.0014822+0.0017348i,-5.3136e-05+0.0017638i,0.001114+0.00054062i,0.0015261+6.1925e-05i,0.0011801+0.00028222i,3.9049e-05+0.00060165i,-0.0010126+0.0025404i,-0.002194+0.0042885i,-0.0013526+0.0036878i,0.00049122+0.0014944i,0.00060528+2.2277e-06i,0.0006331-0.00060794i,0.00055091-0.0011728i,0.0005103-0.0011241i,0.00040996-0.00070646i,-9.2999e-06-0.00027735i,-0.0002101+0.00024679i,-8.6014e-05+0.00075905i,-0.00063547+0.0011311i,-0.0015098+0.0010208i
-0.0026956+0.0040722i,-0.0044078+0.00024954i,-0.0028407-0.00013701i,-0.0011426+0.00080951i,0.00012657+0.00093044i,0.0011648-0.00021942i,0.00053639-0.0015466i,-0.0020478-0.0027115i,-0.0053145-0.0041542i,-0.0065414-0.0052299i,-0.0047526-0.0045571i,-0.0018699-0.0024361i,-0.00081734-0.00042979i,-0.0012634-0.00047082i,-0.00097721-0.0011662i,-0.00032172-0.00096698i,-0.00022097-0.00055434i,-0.00026092-0.0002809i,-0.00046922-0.00016545i,-0.00038336+0.00084201i,-0.0006675+0.0010524i,-0.00058709+0.00017917i,-0.00027845+0.00050515i
0.002897+0.0039442i,-0.0010961+0.0027217i,-0.0012392+3.8393e-05i,-0.00066767-0.0019355i,0.00040779-0.0016684i,0.0012232-0.00022625i,0.00091709-0.0012759i,-0.00012922-0.0034892i,-0.00056133-0.0043475i,0.00072404-0.0039579i,0.0025284-0.0032226i,0.0026849-0.0013186i,0.00058354-0.00041151i,-0.0018446-0.0013644i,-0.0022479-0.0010659i,-0.0013871-0.00067607i,-0.00061011-0.0006947i,-0.00063099+0.00030618i,-0.00094216+0.00022885i,-0.00057961-0.0010182i,-0.00073194-0.0015689i,-0.0011656-0.0010642i,-0.00046216+8.9299e-05i
0.00917+0.0020981i,0.0049211+0.003322i,0.0025991+0.0010643i,0.002212-0.0013804i,0.0016738-0.0024924i,0.0017189-0.0025468i,0.0012416-0.0013573i,0.00071358+0.0012439i,0.0016284+0.0044431i,0.0025963+0.0061073i,0.0018984+0.0045258i,3.7587e-05+0.0012529i,-0.00083804-0.00012013i,-0.0012355+0.00026387i,-0.0010969+0.0010738i,-0.00016079+0.001319i,0.00019804+0.00071905i,-0.00014379+0.00015018i,0.00030427-0.00013365i,0.00032372-0.00063006i,-9.8907e-05-0.0010902i,0.00016733-0.00093391i,0.00060678-8.411e-05i
0.0032054-0.0066256i,0.0036844-0.0030327i,0.00048719-0.0018917i,-0.00031965-0.0014393i,0.00080597-7.6093e-05i,0.00039055+0.00056938i,-0.00094624+0.0010878i,-0.0021685+0.0024906i,-0.0037862+0.0025762i,-0.0052652+0.00093876i,-0.0047771+0.00021512i,-0.0033027+0.00026443i,-0.002185+0.0004489i,-0.0010502+0.0007966i,0.00036993+0.000784i,0.00070352+0.001342i,-0.0001556+0.0015553i,-0.00063833+0.0006478i,-0.00024633+0.00016419i,0.00071368-0.00031158i,0.00048593-0.00039431i,-0.00034246-7.0902e-05i,-0.00036038+0.00036251i
-0.0046148-0.0088329i,-8.8711e-05-0.0072907i,0.00041875-0.0031643i,-0.0012598-0.0013009i,-0.0015665-0.0017779i,-0.00082328-0.0018052i,-0.00033433-0.0014904i,0.00036943-0.002705i,0.00048965-0.005362i,9.3596e-05-0.0076468i,0.0003077-0.0069014i,-3.2641e-05-0.0036339i,-0.00047847-0.00093131i,0.00059563-0.00010722i,0.0010486-0.00057343i,8.8557e-05-6.9466e-05i,-6.0777e-05+0.00080193i,0.00059688+0.00041939i,0.000481-0.0002359i,0.00018315+0.00013152i,4.5979e-05+0.00073409i,-0.00047565+0.00033242i,-0.0016425-0.00030061i
