-0.0029436+0.0017555i,-0.00038904+0.0020536i,5.6158e-05+0.0024358i,0.00039803+0.0031578i,0.00039893+0.0043641i,0.0010346+0.0031694i,0.0017119+0.0007524i,0.0017098-5.0251e-05i,0.0011485+0.00028014i,0.00067645+0.00078218i,0.00058315+0.00066252i,0.00081955+1.424e-06i,0.0011854-0.00086134i,0.00071341-0.00078577i,4.9862e-05+0.00011961i,-0.00019257+0.0010935i,-0.00030042+0.00091055i,0.00045327-0.00025394i,0.0013008-0.0003569i,0.0010592+0.00059724i,0.00018578+0.00071487i,-8.2019e-05+0.00015909i,-9.0409e-05-0.00033252i
-9.4141e-05-9.3803e-05i,0.00045777+0.00072418i,0.00020793+0.00061368i,-0.0011163+0.00094376i,-0.0015282+0.0013895i,-0.00051229+0.0011471i,0.00075946+0.00082938i,0.0012745+0.00082944i,0.0010938+0.0010864i,0.00055821+0.00098647i,-4.4189e-05+0.00049563i,0.00018906+7.1135e-05i,0.00071457-0.00019279i,0.0006007-7.3041e-06i,0.00047552+0.00037937i,-0.00019446+0.00019645i,-0.00068791-0.00035139i,-0.00054932-0.00064602i,-0.00043661-0.00069131i,-0.00030082-0.00024186i,-0.00047907-0.00021905i,-0.00011424-0.00047883i,-4.9727e-05-0.0001735i
0.00093661-0.0011403i,0.00055808-0.0012802i,6.1362e-05-0.0011274i,0.00054006-0.00057514i,0.00018742+0.00036416i,-0.00053922+0.0011392i,-0.00021123+0.00075573i,0.00061928-8.267e-05i,0.00035268-0.00057936i,6.2061e-05-0.00068717i,0.00052611-0.00033984i,0.00062696+2.1609e-06i,0.00038505+0.00025945i,0.00035542+0.00055621i,0.00019458-4.067e-05i,0.00027683-0.0012193i,-2.1089e-05-0.00088822i,-0.00012217+0.00027096i,0.00033804+0.00054963i,0.00047125+3.2413e-05i,0.00033485+4.056e-06i,1.3777e-05+0.00015534i,9.4205e-05+0.00026548i
-0.00049972+0.00020342i,-0.0016074+0.00093173i,-0.0013003+0.00089675i,-0.00052421+0.00058976i,-0.00093828+0.00062786i,-0.0011174+0.00044127i,-0.00033473+0.00073153i,0.00029009+0.0010622i,0.000505+0.0015275i,6.6102e-05+0.0011888i,0.00030348+7.2934e-05i,0.00068767-0.00075246i,0.00034812-0.00096124i,0.00018887-0.00051825i,0.00036276-0.00051414i,-0.00030362-0.00056908i,-0.00092076-0.00071359i,-0.00072402-0.00059961i,-0.00042272-0.00063631i,-0.00045896-0.00064789i,-0.0001057+8.2167e-05i,0.00056074+0.00066025i,0.0003394+0.00082503i
-0.00011657+0.00041031i,0.00038061-8.4028e-05i,-0.00016006+0.00033122i,-0.00091087+0.00097071i,-0.00062374+0.0015578i,2.1794e-05+0.001808i,0.00011328+0.0013511i,7.591e-05+0.0005677i,0.00069102-0.00019882i,0.0010957-0.00065112i,0.00051528-7.2451e-05i,5.826e-06+0.00018591i,-6.8632e-06-0.00051376i,-5.7535e-05-2.3559e-05i,-0.00034292+0.0010536i,3.4626e-05+0.00075359i,0.00047562+7.4683e-05i,0.00060187-0.00019819i,0.00080784-0.00044744i,0.00088128+0.00016952i,0.001057+0.00089697i,0.0012268+0.00068799i,0.00022885+0.00018623i
0.00056758-0.00019394i,0.00023569+0.00062885i,-1.5832e-05+0.00080519i,-0.0010212-0.00071246i,-0.0020163-0.0011383i,-0.001765-0.00012268i,0.00012299+0.00028409i,0.0013122+0.00023976i,0.0012648+0.00028226i,0.00086072-0.00050832i,0.00033852-0.00060305i,-9.4583e-05-0.00024941i,-0.00024113-0.0003802i,-6.4233e-05-0.00014906i,6.2277e-05+0.00042414i,0.00028659+0.0007848i,0.0005274+0.00088784i,0.00060901+0.00049858i,0.00028154-0.00039162i,0.00037226-0.0006251i,0.00021791-1.529e-05i,0.00038318+0.00037163i,0.0003538+0.00016272i
0.00073294-0.00056196i,0.0007762-0.0010593i,0.0011058-0.00031566i,0.00082174+2.1187e-05i,-0.00016801-0.00025065i,-0.00094988+0.00041046i,-0.0010268+0.00070552i,-0.00023384+0.00072081i,0.0001435+0.00067156i,0.00071662+0.00065892i,0.00047737+0.00050613i,0.00071649-0.00017567i,0.00092103-0.00041033i,-0.0003347-0.00057342i,-0.00091455-0.00058669i,0.00016518-0.00012477i,0.0010802-0.00012297i,0.0010758-0.00064925i,8.8356e-05-0.00082389i,-0.00066469-0.00043494i,-0.00041071+0.00013054i,-2.0726e-05+0.00060037i,-0.00030707+0.00022932i
-0.001074+0.001214i,-0.00036158+0.0010816i,-0.00060091+0.00080924i,-0.00061785+0.001555i,6.0935e-05+0.0026454i,-0.0001094+0.0025201i,-0.0003194+0.0018972i,-0.001057+0.00087514i,-0.0012104-0.00041229i,-2.807e-05-0.00075168i,0.0010219+5.5276e-05i,0.00088544+0.0012022i,0.0010432+0.0010926i,0.0013874+0.00077695i,0.00039442+0.00065543i,-0.00025365-0.00018646i,0.00025817-0.00061157i,0.0002383-0.00017596i,7.2754e-05+0.00020505i,-1.8916e-05+0.00039716i,-0.00029916+0.0009389i,0.00016908+0.0016252i,0.00061634+0.0011588i
-0.00016993-0.00087261i,-0.00060992-0.00069478i,-0.00012842+0.00091125i,-6.4282e-05+0.0016832i,-0.00023865+0.00098373i,-0.00029164+0.001077i,6.5647e-05+0.00071421i,0.00092301+0.00034538i,0.00087319+0.000189i,0.00017987+0.00063885i,-6.3528e-05+0.00061951i,0.00076963-0.00038447i,0.00078505+6.3422e-05i,-0.00031188+0.00032453i,-0.00036306-0.00048272i,0.00049922-0.00053711i,0.00046504-7.1177e-05i,0.00037644-0.00024859i,-5.5016e-05-0.0004885i,-0.0013949-5.0589e-05i,-0.0018446+2.6552e-05i,-0.001016-0.000113i,-0.00075587+7.217e-05i
-0.0015868+0.0027256i,-0.00089691+0.002726i,-0.0006591+0.0029609i,0.00075727+0.0022046i,0.0016767+0.0015107i,0.0011906+0.0003345i,0.00067211-0.00089662i,0.0007911-0.00028941i,0.00098669+0.00078843i,0.0011701+0.00094392i,0.00062417+0.00029729i,-0.00066049-0.0001977i,-0.00062044-0.00018129i,4.3357e-05-0.00035413i,0.00016241-0.00038174i,-0.00010966-0.00026595i,-0.00044666-0.00052076i,-0.00071051-0.00073562i,-0.00071589-6.73e-05i,0.00021409+0.00044162i,0.00050956-1.2908e-05i,-1.6993e-05+2.1528e-05i,0.00046211+0.00011711i
-0.00027872-0.00038842i,0.0011176-0.00063248i,0.0016946-0.00026486i,0.0019333+0.00012889i,0.0017013+0.00045982i,0.0010271+0.00036989i,0.0004996+0.00016418i,8.5249e-05-8.5373e-05i,-0.00022265+0.00019762i,-9.391e-05+4.5949e-05i,-0.00017588-0.00092941i,-0.00064634-0.00012745i,-0.00052562+0.0010457i,-0.00053485+0.00081081i,-8.4186e-05+0.00029069i,0.00033413+0.00042377i,0.0010803+0.00058455i,0.00074863+2.2798e-05i,-0.00017961-0.00080289i,-1.3722e-05-0.00039163i,-9.2092e-07+0.00030196i,-0.00031077+0.00095727i,-0.00094077+0.00060317i
-1.2694e-05+0.0010254i,-0.00046187+0.00070151i,-0.00097301+0.0008047i,-0.00059792+0.00034936i,0.00036439+0.00046454i,-5.8777e-05+0.0011003i,-0.00022001+0.00099204i,0.00065752+0.00046671i,0.00072652+8.4516e-05i,0.00052035-0.00012958i,0.00037924-0.00016167i,0.00042735+0.00055431i,0.00049024+0.0014445i,0.00049846+0.0010062i,-1.9438e-05+0.00038445i,-0.00099162-0.00029591i,-0.00051033-0.00052226i,0.00050151-7.761e-05i,0.00034647+0.00037314i,-0.00038761+0.00042027i,-0.00049394-0.00011853i,0.00041802-0.00036943i,0.0010105-0.00027323i
-0.00042119+0.0019014i,0.00053672+0.0023067i,0.00064336+0.0019599i,0.00032328+0.0018783i,-0.00031561+0.0017034i,-0.00034686+0.0007538i,-0.00034555+0.00074156i,0.00014728+0.00046996i,0.0010799+0.00072539i,0.00055493+0.00085061i,-0.00031065+0.00019054i,-0.00019417+0.00018459i,2.7613e-07-0.00060241i,-0.00011483-0.00059349i,-0.00062563+2.228e-05i,-0.00073601+3.823e-06i,-0.00063327-0.00034008i,-0.00028545-0.00020025i,0.00019704-0.00018678i,0.00064736-0.00099165i,0.00072335-0.0009776i,0.00045288+5.6077e-05i,-0.00031971+0.0005779i
-0.0018438-0.00046897i,-0.0010442-4.8733e-05i,-0.00097001+0.00098278i,-0.00095747+0.0025678i,0.00078198+0.003155i,0.0024459+0.002195i,0.0020718+0.00079195i,0.0016626+0.00052609i,0.00093473+0.0011665i,0.00015617+0.00035874i,-0.00012085+0.00019873i,0.00064612+0.00079779i,0.0011298+0.00073068i,0.00076675+0.00061208i,0.0005593+0.0001863i,0.00021472-0.00033712i,0.00062931+0.00017026i,0.00043377+0.0006492i,-0.00026712+0.00030816i,-0.00021051-0.00050188i,-0.00047204-0.0011662i,-0.00053609-0.00030264i,-6.4544e-05+0.00017485i
0.00045161-0.00012523i,0.00090597-0.00031015i,0.00092481+0.00051026i,0.00094529+0.0012988i,0.00080226+0.0018366i,0.00073212+0.00162i,0.00050754+0.00020744i,2.0137e-06-0.000465i,-0.00058205-0.00038297i,-0.00081531-0.00037705i,-0.0012987+0.00099945i,-0.0012703+0.0016596i,0.00012588+0.00033816i,0.0010294-0.00020284i,0.00062669+4.3362e-05i,0.00026563-0.00012992i,-0.00011736-0.00025349i,-8.8693e-05-4.3583e-05i,0.00043121+0.00023859i,0.00037053+0.00029401i,-0.0007233+0.00012444i,-0.00082638-2.1169e-05i,6.7706e-06+0.0001122i
0.0015401-0.00051231i,0.00050671-0.0013755i,0.0003442-0.0018708i,-4.9212e-05-0.0015609i,-0.0011072-0.0011882i,-0.0015715-0.00060807i,-0.00060075-0.00017775i,-0.00015486+9.9942e-05i,0.00021848-0.00028507i,0.00021018-0.00086213i,-0.00062619-0.00033937i,-0.0010426+0.00055809i,-0.00026688+0.00066199i,0.00064231-0.00030022i,0.00047901-0.0010588i,0.00057493-0.00017493i,0.00065709+0.00015176i,1.4344e-05-0.00039519i,-0.0005675-0.00080383i,-0.00043499-0.0006977i,-0.00049652+8.7136e-05i,-0.00058324+8.7249e-05i,-0.00053032-0.00095161i
0.00069138-0.00076606i,0.00051679-0.0011171i,0.00031479-0.00019624i,-0.000574+0.00065462i,-0.001001+0.00068955i,-0.0011534+0.00077808i,-0.00065885+0.00054154i,0.00034215+0.000814i,0.00090918+0.0017203i,0.00077172+0.00080878i,0.00052359+0.00056942i,0.00031254+0.0006716i,-6.6144e-05+9.3609e-05i,-0.00049226+0.0005241i,1.6114e-05+0.00091602i,0.0010482+0.0010147i,0.00063193+0.0012454i,0.00033501+0.0010379i,0.00050014+0.00026108i,0.0003905-3.6602e-05i,-3.1617e-05+0.00040181i,-0.000275+0.00072505i,-4.3274e-05+0.00062931i
0.00051012+0.00052261i,-0.00017987+0.00066568i,-0.00097971+0.0004687i,-0.00032789+0.00068544i,0.00054431+0.00065197i,5.3256e-05+0.0011701i,-0.00074078+0.0014619i,-0.00062993+7.5971e-05i,-0.00069498-0.0012044i,-0.00045928-0.00069752i,0.00053071+0.0006439i,0.0013195+0.00061699i,0.0014861+0.00054378i,0.00022404+0.00089316i,-0.001029+0.00022105i,-0.00031227-0.00016141i,0.00092125+0.00046285i,0.00077308+0.0007083i,-1.9783e-05+0.00022651i,-0.00054061+0.0003032i,-1.5214e-05+0.00011872i,0.00019783-0.00042189i,4.1689e-05-0.00053635i
-0.0021423-0.0010655i,-0.001054-4.7695e-05i,-0.00031063+0.0013159i,9.5199e-05+0.0029422i,0.00087856+0.0039662i,0.00087507+0.0032642i,0.00074205+0.0010167i,0.00072421-0.00020685i,-4.0052e-05+0.00029345i,-0.00058738+8.704e-05i,1.4042e-05-6.6233e-05i,-6.8658e-05+3.5679e-05i,-0.00034087-0.00075508i,-0.00050203-0.0009325i,-0.00057896-0.00061434i,-0.00041637-0.00027269i,-0.00062236-0.00041482i,-0.0002349-0.00076273i,0.00049531-1.1409e-05i,0.0004597+0.0008343i,0.0006656+7.3003e-05i,0.00078464-0.00047541i,0.00020443+1.9297e-05i
0.00027282+0.00017586i,0.00077458+0.00010506i,0.00049755-0.00069189i,-0.00037857-0.00037739i,-0.001239+0.00043781i,-0.0019844+0.00040988i,-0.0018634-0.0013003i,-0.00068865-0.0018368i,0.00088689-0.00034391i,0.00085239+0.00028267i,8.2773e-05-9.2617e-05i,0.00020189+1.484e-05i,5.5213e-05-4.5749e-05i,-0.00071635-0.00055133i,-0.0010302-0.00044682i,-0.00020328+0.0002167i,0.00068438+8.0231e-05i,0.00086112-0.00035974i,0.00057899-0.0001574i,0.00075804+2.3142e-06i,0.0012877+0.0005044i,0.0010123+0.00059738i,-0.00035137-0.00018634i
-0.00074413-0.0011456i,-0.0010192-0.00044742i,-0.0015755+0.00029066i,-0.0010698+0.00049992i,7.6156e-05+0.00097822i,-0.00036828+0.0015064i,-0.0010533+0.0011882i,0.00026238+0.00044901i,0.00089204+0.00060325i,0.00056641+0.00020114i,-3.0738e-05+0.00018622i,-0.00048269+0.00042263i,0.00029078-0.00016688i,0.0011159-1.4913e-05i,0.000593+0.0001163i,-0.00031021+0.0003507i,-0.00048152+0.00090217i,-0.00060381+0.00073437i,-0.00088763+0.00066408i,-0.00085407+0.0008592i,-0.00047914+0.00062622i,0.00012585+0.0010797i,0.00061855+0.0013356i
-0.00025088+0.00122i,0.00017974+0.00090587i,0.0010053+0.001212i,0.0017269+0.00070953i,0.001204+0.00039987i,0.00045318+0.00074334i,0.00025216+0.00087543i,-5.4428e-05+0.00037918i,-0.00048664-0.00031901i,-0.00058827-0.00031246i,-0.00031713-0.00044829i,0.00010281-0.00070125i,0.00031426-0.00068813i,0.00037975-0.00040406i,-0.0005225-0.00041374i,-0.0010856+0.00045599i,-0.0007733+0.0013165i,0.00031972+0.0012039i,0.00028177+0.00026126i,-0.0002548-0.00052046i,0.00018422+0.00025572i,0.00072213+0.00096721i,-2.4737e-05+0.0005368i
0.00040947-0.0013242i,0.00038747-0.0026599i,-0.00025808-0.0032381i,-0.0010551-0.0010843i,-0.00050963+0.0012116i,3.781e-05+0.001489i,-0.00012423+0.00035084i,-0.00014538-0.00020613i,5.858e-05-0.00034502i,3.9411e-05-0.00020426i,0.00077781+0.00032486i,0.0013051+0.0010474i,0.00086418+0.0011615i,0.0012749+0.00021291i,0.00080943-0.00024332i,0.00037095+6.1674e-05i,0.00014868+0.00045367i,-0.00010694+0.00024126i,-0.00014788-0.00015414i,-5.2184e-05+0.00050414i,0.00011956+0.00079299i,0.00034402-5.0671e-05i,0.00084041-0.00022296i
0.0002062-1.3157e-06i,-0.00016429+0.0012267i,-0.00083635+0.0029431i,-0.00020263+0.002814i,0.001436+0.0021033i,0.0012071+0.00073505i,0.00014066-0.00015825i,-0.00016423+0.00026724i,-0.0012193+0.00055695i,-0.0012371-0.00011494i,-0.00038055-0.00015233i,-1.7626e-05+0.00060883i,0.00053726+0.00066189i,0.00095149+0.00040496i,0.00072901-0.00033587i,-0.000366-0.00023258i,-0.001264+0.00027i,-0.00099774+0.00030593i,-0.00024729-0.00038014i,-0.00012554-0.00067495i,-0.00037757-0.00011771i,-0.00058489-0.00015934i,-0.00029342-0.000156i
-0.0012785-0.0014906i,-0.00084267-0.00092647i,-0.0014851-0.001679i,-0.0012014-0.0016736i,-0.00082062-0.00027372i,-0.00039325+0.00013386i,-0.00033477-0.00027895i,-0.00022285-0.00059432i,-8.3578e-05-0.00050692i,-0.00024281+0.00017637i,0.00093432+0.00036198i,0.0015047+4.7158e-05i,0.0012397+9.0668e-05i,0.0010968-0.00028003i,0.0003927-0.00042052i,-0.00016904-3.8066e-05i,8.9268e-05+0.00043906i,-2.3457e-05+0.00071959i,-0.00028155+0.00082945i,-0.00011397+0.00109i,0.0002767+0.0013457i,0.00041735+0.00076904i,-0.00021692-0.00041355i
-0.0011758-3.5534e-05i,-0.0021808+0.0012954i,-0.0032161+0.0025814i,-0.0029045+0.0028454i,-0.0019233+0.0021312i,-0.0017316+0.0025465i,-0.0011146+0.002077i,-0.00051999+0.00086124i,0.00020886+0.00061732i,0.00038673+0.00084529i,0.00053923+0.0011679i,0.0012095+0.0014842i,0.001321+0.00090277i,0.00070357+0.00059577i,-7.9932e-05+0.00014587i,-0.00018175-0.00032952i,0.00032724-0.0007855i,0.0006955-0.00092477i,0.00050089-0.00030693i,0.00037959+2.6306e-05i,0.00056738+3.0062e-05i,0.0007848-0.0010523i,0.00069547-0.0012619i
0.00013057-0.0014662i,0.0013402-0.0025786i,-0.00015451-0.0020528i,-0.0012582+4.536e-05i,-0.00083181+0.0021707i,5.4231e-05+0.0029652i,0.00082379+0.0018683i,0.00070733+0.00029578i,-0.00017419-0.00034127i,-0.00094403-0.00037633i,-0.0010654+0.0001038i,-0.00084194-4.5819e-05i,-0.00036331-0.00048603i,9.3349e-05+0.00015466i,0.00026119+1.2822e-05i,0.0002724-0.0003443i,0.00024776-0.00012284i,0.00044257+0.00022019i,0.00049235+0.00028978i,-9.7053e-05+0.00031905i,-0.00069749+0.00011842i,-0.00016928+0.00016322i,0.00066462+0.00045979i
-0.0015508+2.4976e-05i,-0.00066903-1.2919e-05i,-0.00055311+0.0004845i,-0.0010244+0.0012074i,-0.0018195+0.0017568i,-0.0023388+0.001896i,-0.0010877+0.0013704i,-0.00019773+0.00065013i,-0.00037265+0.00079426i,0.00027927+0.00064625i,0.0012037+0.00022188i,0.0012961-0.00056523i,0.00071339-0.0012059i,-1.9709e-05-0.00088438i,-0.00049375-0.00040329i,-0.00087743+0.00019178i,-0.00026146+5.7644e-05i,3.0771e-05-0.00041078i,-0.00049654-8.137e-05i,-0.0010475+7.8155e-05i,-0.00050111-0.00047929i,0.00049293-0.00069444i,0.00034332-0.0006268i
-0.00036224+0.0013325i,8.5256e-05+0.00032894i,0.002198-0.0003023i,0.0031219-0.00061005i,0.0021027-0.00064209i,0.00067449-0.00031207i,0.00071019-5.2493e-05i,0.0011165+7.0199e-05i,0.0012719+0.00016444i,0.0010443+7.8529e-06i,0.00022266-7.0397e-05i,-0.0001903+0.00031754i,-0.00065395+0.0008097i,-0.00046078+0.00081428i,0.00051004+0.00039815i,0.00058594+0.00082946i,6.5741e-05+0.00058246i,5.3174e-05-0.00012484i,0.00026001-1.8566e-05i,0.00035424-0.00018628i,-1.6002e-05+0.000214i,-0.00016238+0.00035859i,0.00046619-0.00035504i
0.00024272+0.0013086i,0.00078408+0.0013405i,0.00064546+0.00060605i,-0.00042007+2.9088e-05i,-0.0010176-0.00017893i,-0.00077837+0.00032826i,-0.00090245+0.00063634i,-0.0010048+0.00063803i,-0.00042411+0.00071705i,0.00023487+0.00039761i,0.00090781+0.00023363i,0.00035552+0.00054016i,-0.00034386+0.0003135i,8.8583e-06-0.00072855i,-0.00011317-0.00078541i,-0.00071739-0.00059925i,-0.00074917-0.0013292i,-0.00034241-0.00071701i,-0.00010084+0.00033128i,4.3685e-05+0.00089517i,5.7333e-05+0.0007339i,-0.00042516+0.00011904i,-0.00019213-0.00023179i
0.0010934-0.0013407i,0.00026531-0.0019227i,0.0002369-0.0014026i,-0.00013546-0.00044295i,-0.0015304+6.5846e-05i,-0.0014242+0.00065761i,-0.00099817+0.00096161i,-0.00069737+0.00043835i,-0.00028725+2.7811e-05i,-0.00064801+0.00060782i,-0.0010944+0.0014404i,-0.00093474+0.0015412i,-0.00059384+0.00093871i,0.00016949+0.00045515i,0.00031006+0.00026789i,-0.00022997+0.00021395i,-0.00026837+0.00020202i,-8.1058e-05+4.7248e-05i,0.00014728-8.9345e-06i,0.00029385+0.00034783i,0.00066275+0.00064611i,0.00066091+0.00062752i,0.00043588+0.00015955i
-0.00023776-0.0026754i,-0.00050367-0.0021306i,-0.0015672-0.001662i,-0.0028289-0.00080029i,-0.0023672+0.00024074i,-0.0013081+0.0006812i,8.841e-06+0.0013841i,0.0013473+0.0014207i,0.0011599+0.00045105i,0.0010717-0.00020614i,0.0013371+7.7988e-05i,0.00087418+0.00052136i,0.00048473-5.408e-05i,0.00048029+5.2982e-06i,0.00085991+0.00028074i,0.00049642+0.00029862i,0.00013591-5.2941e-05i,0.00057666-0.00059127i,0.0003946-0.00038394i,-4.7956e-05-0.00020219i,8.9654e-06+0.00041519i,0.00024375+0.0011456i,0.00072866+0.00061054i
