-0.0025418+0.00043044i,-0.00073883+0.00072947i,-0.00066999-0.00010761i,-0.0013417+0.00043769i,-0.0022011+0.0017926i,-0.0026838+0.0016154i,-0.0021642+0.0021396i,-0.00071689+0.0021856i,0.0001417+0.001215i,0.00013541+0.00051614i,0.00027265+0.00042178i,0.00034346-0.00013992i,0.00013591-0.00073927i,-0.00013156-0.00078356i,-0.00045357-0.00013222i,-0.00057108+0.00064955i,-0.00016054+0.00032584i,0.00038701-0.00041019i,0.00067508-0.00060031i,0.00064991+0.00027163i,0.00045198+0.00038997i,-3.1954e-05+4.7565e-05i,0.00051111+0.00069561i
0.00033854+0.001029i,0.00033237+0.0017616i,0.0001502+0.0023223i,0.000736+0.0015542i,0.0014738+0.00077633i,0.00057915+0.00042773i,-0.00074203-0.0001216i,-0.0012084-0.00041406i,-0.00078651-0.00010557i,-0.00015678+0.00047912i,0.00019269+0.00020859i,0.00045644-0.00068139i,0.00037292-0.00074954i,-0.00023269-0.00021151i,-0.00087553+0.00028024i,-0.00094658+0.00069845i,-0.00068344+0.00026411i,-0.00065845-0.00022347i,-0.00027501+5.031e-05i,0.00032442+0.00053114i,-9.4975e-05+0.00050002i,-0.0007796+9.5993e-05i,-0.00012264-0.00067459i
8.478e-05-0.00027045i,-0.00062817-0.00023915i,-0.00043227-0.0002681i,-0.0014465-0.00093585i,-0.0030115-0.00099451i,-0.003226+0.00026873i,-0.0022221+0.00094321i,-0.0023301+0.00091418i,-0.0021489+0.00090057i,-0.00062057+0.0010065i,-0.00045624+0.00059101i,-0.0014006-4.5602e-05i,-0.0014089+0.00044044i,-0.00061432+0.00087832i,9.4047e-05+0.00084855i,0.00066305+0.0012752i,0.00039892+0.0013065i,-0.00055003+0.00019776i,-0.00038789-0.00032518i,-6.3119e-05+5.9154e-05i,-0.00067039+0.00059776i,-0.00059009+0.00058762i,-0.00023403+0.00018235i
0.00033998-0.00028775i,0.00079545-0.0016624i,0.00098935-0.0027686i,0.00045465-0.001751i,-0.0010163+3.5766e-05i,-0.0024189+4.117e-05i,-0.0026816-0.00019331i,-0.0010867+0.00089251i,-0.00068305+0.0020578i,-0.0012601+0.0013637i,-0.0013089+0.00032297i,-0.00049651-0.00018865i,-0.00046989-0.00026981i,-0.00061311+2.2257e-05i,0.00019926+0.00027876i,0.00031395+0.00069946i,-6.9865e-05+0.000772i,-0.00066438+0.00065831i,-0.0003801+0.0003466i,-0.00044704+1.4963e-05i,-0.0012632+8.2928e-05i,-0.00053713-2.282e-05i,0.00018453+0.0007176i
-0.00028967+1.3825e-05i,-7.0872e-05+0.0002561i,0.000257+0.00012184i,-0.00069862-0.00038129i,-0.0022932-0.00057375i,-0.0020503-7.279e-05i,-0.0015735-0.00032162i,-0.0019956-0.0010359i,-0.0020389-0.00063937i,-0.00087209+0.00021449i,9.0971e-05+0.00018963i,0.00020878+0.00067617i,0.00012534+0.00043833i,0.00043072+0.00038474i,0.00070275+2.4625e-05i,0.00054842-0.00029677i,-0.0001213-0.00011125i,-0.00074626-7.8985e-05i,-0.00034879-0.00037288i,-0.00011226-7.0217e-05i,-0.00033401+0.00061833i,-0.00016632+0.00048727i,-0.00027969+0.00028838i
-2.9687e-05+0.0017096i,0.00069379+0.0013882i,0.0010057+0.0017574i,0.00099418+0.00094162i,0.00072689+0.00032598i,2.7934e-05+0.00034957i,-0.00087454+0.00016459i,-0.0012086+0.00033102i,-0.00079672+0.00073789i,-0.00086905+0.001505i,-0.00075052+0.0011951i,-0.0010728+0.00057462i,-0.00077245+0.00037916i,-0.00032368-0.00051988i,-0.00064301-0.0003464i,-0.00064149+0.00021282i,-0.00045457+2.9557e-05i,-0.00010563-5.8911e-05i,0.00012002-2.7335e-05i,-9.2457e-05+0.00029538i,-0.00018425+0.00041115i,0.00026378-1.7462e-05i,0.00033145-0.00018028i
0.00011995+0.0004644i,0.0013878-0.00041905i,0.0008751-0.0012777i,-0.00037922-0.0010257i,-0.00091865-0.00015216i,-0.001513+0.00025595i,-0.0013318+0.00090559i,-0.0012533+0.001434i,-0.0015846+0.0013012i,-0.00073584+0.00094011i,-0.00042129+0.00079959i,-0.00085725+0.0006845i,-0.0012133-7.156e-05i,-0.001302-0.00067951i,0.00014619-0.00020717i,0.00092357+0.00063188i,-8.6107e-05+0.00010064i,-0.00075465-0.00083591i,-0.00091445-0.0010064i,-0.00082231-0.000988i,-0.00072956-0.00044005i,-0.00091208-0.00027869i,-0.0010884-0.00055712i
-0.0012949-0.00060899i,-0.0012783-0.001553i,-0.0006641+0.00017104i,-0.00030123+0.0017947i,-0.0010353+0.0013781i,-0.0015582+0.00079118i,-0.00087656+0.00092898i,-0.00046178+0.0012068i,-0.00083093+0.0011404i,-0.0010415+0.00058231i,-0.0003412+0.00033376i,-9.7325e-05+0.00068258i,-0.00053447+0.001173i,-0.00024104+0.00092801i,-4.2167e-05+0.00063365i,-0.00057619+0.0002962i,-0.00099801+0.00033346i,-0.00093357+0.00051565i,-0.00010385+0.00050394i,0.00079378+0.00035116i,0.00030869-0.00017878i,0.00060512-0.00048049i,0.00059669-0.00014997i
5.4032e-05+0.0014082i,0.00076116+0.0010443i,0.00032966+0.00093247i,-3.8622e-06+0.00079683i,-4.885e-05+0.00050547i,-0.00082627+0.00061993i,-0.0015726+0.00025172i,-0.0019644-0.00059565i,-0.0020379+8.0811e-05i,-0.0013482+0.00095135i,-0.00018816+0.00099346i,0.00018744+0.00078353i,-4.9648e-05+0.0010025i,-0.00019654+0.0015851i,8.491e-05+0.0014588i,0.00066033+0.00081113i,0.00086813+0.00069198i,0.00041418+0.00085725i,-0.00019709+0.00074285i,-0.0004852+0.00048623i,-0.00027856+0.00038806i,0.00060096-0.00037441i,0.00075739-0.0013281i
-0.00035553-0.00010051i,0.00062398-0.00050307i,0.0014818-0.00050523i,0.00087999-0.00083392i,-0.00034601-0.0009106i,-0.0021674-0.00096023i,-0.0025773-0.00059955i,-0.0023315+0.00092377i,-0.0030371+0.0014792i,-0.0022998+0.00095286i,-0.00057541+0.00077528i,-6.9188e-05+0.00017875i,-0.00022772+2.0646e-05i,-0.00021842+0.00024232i,0.00054453+4.9633e-06i,0.00049557-5.3326e-05i,-0.00037486+0.00010745i,-0.00062356-4.3093e-05i,0.00018901+0.00036269i,0.00040282+0.00020611i,0.00013707-0.00045161i,-0.0006107-0.0005139i,-0.00098046-0.00046752i
-0.00023751+0.00076965i,-0.00086601+0.00039931i,-0.0019286+0.00045166i,-0.0013232+0.00074411i,-0.0012089+0.00061606i,-0.00092658+0.00011225i,-0.00065661+0.0007712i,-0.0012722+0.001495i,-0.0016658+0.0010733i,-0.0010114+0.0011434i,-0.00012396+0.00085088i,-0.00020048-0.00012411i,-0.00020184-0.00053514i,-0.0001266-0.00071941i,0.00011974-0.0007091i,0.00035781-0.00011252i,9.0018e-05-6.9064e-05i,-5.3887e-05-0.00098771i,-0.00047655-0.0012685i,-0.00016351-0.0011699i,-8.1089e-05-0.00055594i,-6.1452e-05+0.00043392i,8.5644e-05+0.00014262i
-0.00069882+0.00090295i,0.00013073+0.0014162i,-0.00033467+0.0017506i,-0.0015332+0.0015878i,-0.0011698+0.0011884i,-0.00056939+0.00073452i,-0.0013516+0.0010271i,-0.0016982+0.0011525i,-0.0012678+0.0010863i,-0.00069753+0.0010333i,-0.00024037+0.00017798i,0.00015814+8.0103e-05i,0.0003359+6.3719e-05i,0.00020769+0.00013845i,0.00012418+0.00093819i,0.00020519+0.00057557i,0.00070195-0.00033186i,0.00051493+0.00061298i,0.00027069+0.0012169i,-0.00022528+0.00044846i,-0.00059087-0.00012159i,-0.00043056-0.00041088i,-0.00030832-7.6176e-05i
0.00049014-0.00058602i,0.0001028-0.00023229i,-0.0011086-0.00078922i,-0.0014103-0.0009442i,-0.001801+4.679e-05i,-0.0025613+0.00097562i,-0.0023555+0.00081981i,-0.0021011-9.7143e-05i,-0.0023341-1.3579e-05i,-0.0020584+0.00097822i,-0.0014128+0.00077639i,-0.00092536-0.00036268i,-0.00047487-0.0012569i,2.0289e-05-0.0016018i,0.00036843-0.0014725i,6.7244e-06-0.00081032i,-0.0010395-4.8893e-05i,-0.00076737-0.00010069i,0.00012178-0.00038633i,-2.1186e-05+7.9728e-05i,-0.00022495+0.00064618i,9.0846e-06+0.0014625i,0.00032948+0.0014171i
-0.0020941+7.53e-05i,-0.00088943+2.426e-05i,-0.00041778+0.0011415i,-0.00055873+0.00079174i,2.0118e-06+0.00057531i,-0.00013116+0.00064197i,-0.00081588+0.00038833i,-0.0013613+0.00013261i,-0.0015221-7.0413e-05i,-0.0011939+0.00058575i,-0.00063769+0.0010262i,0.00011624+6.3815e-05i,0.00024645-0.00052821i,-0.00049895-0.00064693i,-0.00081732-0.00047268i,-0.0006564-0.00035165i,-0.00023935-8.3533e-05i,-0.0007606-0.00011505i,-0.0010421-0.00017485i,-0.00017153+0.00033125i,-1.7897e-05+0.00057848i,-0.000409+0.00059715i,-0.00042952+0.00012583i
-0.00012527+0.00016258i,-0.0001721+0.00039893i,0.00018078+0.0011743i,-9.0694e-05+0.0020451i,-0.0010137+0.0015436i,-0.0018521+0.0006985i,-0.0026037+0.0001446i,-0.0020081+0.00011645i,-0.0011222+0.00052898i,-0.0011369+0.00081979i,0.0001623+0.00078418i,0.00043199+0.00063121i,-0.00071684+3.3389e-05i,-0.00034333-0.00069615i,0.00030536-0.00020964i,-0.00014505+0.00036002i,-0.00092305+0.0005677i,-0.00081568+0.00063679i,-0.00080059+0.00062155i,-0.00055962+0.0004087i,-0.00071013-0.00061161i,-0.00084318-0.0010822i,-0.0002679-0.00020225i
-0.00015158-0.0001147i,0.0002395-0.0013084i,0.0012265-0.0012486i,0.00084683-0.0013296i,-0.00075026-0.0018429i,-0.0020318-0.0012364i,-0.0022808-2.5659e-05i,-0.0019169+0.001186i,-0.0012606+0.0012583i,-0.00077706+0.00092791i,-5.0663e-05+0.00021643i,0.00024775-3.5108e-05i,-0.00075535+0.00044489i,-0.0010567+0.00032639i,-0.00040754-5.986e-05i,-0.00040936+7.1675e-07i,-0.00090559-0.0001216i,-0.0013599-0.00031129i,-0.0012432-0.00049783i,-0.00021666-0.00046353i,0.00013308+0.00022031i,-0.00023131+0.00056807i,0.00012604+0.00013053i
0.0020064+0.00065157i,0.00088074-0.00016142i,0.00083943-0.00021148i,0.0001126-0.00012656i,-0.0012118-0.00086802i,-0.0020275-0.0011664i,-0.0021892-0.00093112i,-0.0015209-0.00069433i,-0.0016158+2.7693e-05i,-0.0011287+0.00099076i,-0.00040511+0.0010056i,-0.0006973+0.00069183i,-0.0010886+0.00094616i,-0.00075851+0.00093394i,-0.00029134+0.00080592i,-0.00033036+1.5344e-06i,-0.00037216-0.00089634i,-2.8618e-05-0.00038162i,-5.792e-05+8.9891e-05i,-0.00085577-0.00034824i,-0.0011961-0.00062775i,-0.0010628-0.00063375i,-0.0010898-0.00061052i
0.001488+0.00050086i,0.00085033+7.5985e-05i,0.0012221-0.00094151i,0.0016376-0.00074524i,0.0003084-0.00058097i,-0.0015656-0.00052907i,-0.00123-0.00033599i,-0.00067299+9.3606e-05i,-0.00087991+0.00078225i,-0.00061832+0.0011145i,-0.00055476+0.00044196i,-0.0011413-2.305e-05i,-0.00099941-0.00012944i,-0.00057205+0.00057036i,-0.00032382+0.00045228i,0.00036088-0.00014157i,-0.00017671+0.00033512i,-0.0010612+0.0011764i,1.2924e-05+0.0012033i,0.0013698+0.00057384i,0.00077598+0.00022505i,-0.00039475+0.00019459i,-0.00059787+0.00043858i
0.00035908+0.0013197i,0.00029285+0.0016108i,0.00010245+0.0005788i,-0.00043067+8.2943e-06i,-0.0012581+0.00015309i,-0.0021358+9.708e-05i,-0.0023075+0.00011831i,-0.0014284+0.00047074i,-0.00086564+0.00093766i,-0.00070688+0.00034354i,-0.00054285-0.00061219i,0.00011594-0.00071208i,0.00047936-0.00050893i,0.00019072+0.00040378i,-0.00018679+0.00092109i,-3.6932e-05+0.00057607i,-0.00028005+0.00059853i,-0.00012234-0.00013609i,0.00061371-0.00063808i,0.000474-0.00011454i,0.00031874-0.00020026i,0.00045752-0.00087303i,0.00016756-9.9991e-05i
0.0013895-0.0013337i,-4.6343e-05-0.0007983i,-0.00053579-0.00093342i,-0.00073133-0.0018114i,-0.0017026-0.0014352i,-0.0023618+0.00033951i,-0.0023325+0.0010734i,-0.0018673+0.0011894i,-0.0011137+0.0017032i,-0.00031631+0.0015327i,-0.00040233+0.0010894i,-0.00023765+0.0010065i,8.3013e-05+0.0011811i,0.000355+0.00077978i,0.0011442+8.0408e-05i,0.001074+0.00028023i,-0.00012146+0.00043417i,-0.00095261+0.00055035i,-0.00070272+0.00051063i,0.00023347+0.00022388i,0.00075973+0.00011904i,-0.00024749-0.00024589i,-0.00025562-0.000712i
-0.0024464-0.00063642i,-0.0021912+0.00033179i,-0.0034347+0.0003742i,-0.0031014+0.0020024i,-0.0025466+0.0035252i,-0.0025388+0.0021918i,-0.0017482+0.00035813i,-0.0013231+0.00031186i,-0.0023235+0.00083221i,-0.0020438+0.0012111i,-0.0013972+0.0015754i,-0.0013144+0.00064708i,-0.00019081-0.0011969i,0.00013397-0.0018454i,-0.00026478-0.00075402i,-0.00052517-0.00046485i,-0.00057753-0.00063778i,-0.00067474-0.00025844i,-0.00053115+0.00030003i,-0.00048282+0.0010312i,-8.9095e-05+0.001504i,0.0003987+0.00067391i,0.00045317-5.033e-05i
0.00033602+0.00072326i,0.0010908+0.00054107i,0.0017882+0.00069307i,0.0010196+0.00057026i,0.0002585-0.00054725i,-0.00041561-0.0011313i,-0.0011106-0.00087778i,-0.00085909-0.00080799i,-0.00070168+0.00054193i,-0.0010629+0.0016084i,-0.00068905+0.0014407i,-0.00069666+0.00051418i,-0.0016605-0.00039568i,-0.0014314-0.00025592i,-0.0011611+0.0002458i,-0.0011868+0.00059488i,-0.0013714+6.5569e-06i,-0.00081579-0.00085615i,0.00063379-0.00014807i,0.00061081+0.00074327i,3.1573e-05+0.00021709i,-0.00034835-0.00030723i,-0.00076666-0.00010721i
0.00078484-0.0010084i,0.00013917+0.00010709i,-0.0010128+6.3007e-05i,-0.0015028+0.00092688i,-0.0018602+0.0015589i,-0.0021245+0.0011575i,-0.0015348+0.0010537i,-0.00060494+0.0012875i,-0.00073455+0.0012788i,-0.00088198+0.0015428i,-0.0010502+0.0016337i,-0.00075811+0.00076438i,0.00020665+0.00032682i,8.8406e-05-0.00023886i,0.00017224-0.00040559i,0.00061337+0.00065422i,-0.00034428+0.00070225i,-0.0010852+0.00021257i,-0.0012588+1.2669e-05i,-0.00037616+0.00012201i,-7.5238e-05+0.0004806i,-0.0005189+0.00063925i,-6.627e-05+0.00031999i
2.957e-05-0.0018221i,0.00055477-0.00088102i,0.00019042-6.7158e-05i,-0.0013455-0.00012652i,-0.0022446-2.9626e-05i,-0.0025092+0.00025988i,-0.0021119-7.6959e-06i,-0.0018448+8.9997e-05i,-0.0019857+0.0004363i,-0.0017983+0.00079265i,-0.0011539+0.0009555i,-0.0014053+0.00024428i,-0.00121+2.7106e-05i,-0.00012789+0.00036618i,0.00023059+0.00021822i,0.00014187+0.00029968i,-0.00063578+0.00036159i,-0.00087761+1.0808e-06i,-0.0006036-0.00037903i,-0.00067986-0.00052301i,1.469e-05-0.00024116i,0.00032346+0.00042351i,8.1761e-05+0.00056765i
-0.00032763-0.0019299i,-0.001122-0.0016277i,-0.0018793-0.0021929i,-0.0018639-0.0021284i,-0.0020727-0.00081514i,-0.0029038-3.8235e-05i,-0.0028317+0.00059771i,-0.002217+0.00075254i,-0.0018659-4.155e-05i,-0.0012216-0.0003919i,-0.00073482-0.00025687i,-0.00078963-0.00010523i,-0.00080548-2.2872e-05i,-0.00042294+0.00038473i,0.00037505+0.00096178i,0.00043739+0.00030228i,-0.00047494-0.00014236i,-0.0014235-4.796e-05i,-0.0013401+0.00014838i,-0.00030561+0.00075376i,0.00048699+0.00053726i,0.00011182-0.00050577i,-0.00044542-0.00082645i
-0.0014518-6.7145e-05i,-0.00065271+0.00091202i,-0.00089443+0.0025653i,-0.0012746+0.0026123i,-0.00074642+0.0026867i,-0.00063759+0.0019755i,-0.0012354+0.00041974i,-0.0018891-8.5547e-05i,-0.0011358-0.00013332i,-5.2292e-05+0.0003165i,0.00027413+0.00078584i,0.00011309+0.00094518i,-0.00058313+0.00097956i,-0.00070409+0.00045243i,-0.00065322-0.00036075i,-0.00034276-0.00069696i,0.00011055-0.00093984i,-0.00020811-0.0011068i,-0.00053696-0.0002358i,-0.00056239+0.00069709i,-9.2943e-05+0.00050756i,0.00030598+0.00050407i,0.00026574+0.00062265i
0.0009279+0.00022214i,0.00062238-0.001226i,-0.00013457-0.0025388i,-0.00053176-0.0020667i,-0.0014986-0.0011073i,-0.002015-0.00062802i,-0.0017218+0.00098541i,-0.0012519+0.001673i,-0.0012349+0.0010242i,-0.0014148+0.00082894i,-0.00074718+0.00020199i,-0.0012118-0.00014858i,-0.0013195+6.3494e-05i,-0.00051407+9.1729e-05i,-0.00059119+0.00033935i,-0.001017+0.00026662i,-0.0009055+0.0001887i,-0.00067935+0.0005959i,-0.00024475+0.00053067i,-0.00031034+0.00036188i,-9.8855e-05+6.7172e-05i,0.00099993+0.00020964i,0.00085843+0.00052346i
-0.00057316-0.00042073i,-0.00026259-0.00075834i,-0.0004403-0.00077529i,-0.00011023+0.00017285i,-0.0008222+0.0013687i,-0.002023+0.0018982i,-0.0022275+0.0024448i,-0.0024874+0.001454i,-0.0020195+0.0010519i,-0.0011334+0.0019386i,-0.0011648+0.0015487i,-0.0011027+0.0010558i,0.00011286+0.001003i,0.00030335+0.00084906i,-0.00024684+0.0010314i,0.00017193+0.00088219i,0.00039441+0.00046089i,-0.00025203+0.0003763i,-5.6185e-05-0.00026098i,0.00047954-0.00066204i,0.00085452-0.00066137i,0.00045266-0.00056117i,0.00029666-0.00032102i
0.0012719-0.0005768i,0.00032509-2.962e-05i,-0.00038032-0.00052641i,-0.0019066-0.0010518i,-0.0032404-0.00071491i,-0.0030801-0.00023193i,-0.002267+4.0836e-05i,-0.0018338+0.00028162i,-0.0014955+0.00032844i,-0.00088282+0.0002738i,-0.00022536+0.00067772i,0.00017432+0.00064149i,-0.00025222-0.00022504i,-0.00048416-5.3462e-05i,-5.5163e-05+0.0004553i,-0.00040835+0.0005715i,-0.00088833+0.0011021i,-0.0010114+0.0011499i,-0.00078065+0.0010082i,-0.00055099+0.0006032i,-9.6829e-05+0.00024105i,0.00044053-0.00010824i,0.0002475-0.00035638i
-0.00088935+0.00021267i,6.0788e-05+0.00020341i,-0.00017901+0.00028132i,-0.00028154+0.00016975i,-6.9e-05-6.2987e-05i,-0.0015473-4.6891e-06i,-0.0019498-4.5562e-05i,-0.0014935-9.025e-08i,-0.0017745+0.00070203i,-0.0021097+0.00073198i,-0.001544+4.0908e-05i,-0.00057956-0.00036575i,-0.00045204-0.00029104i,-0.00037587-0.00014153i,-0.00013105-0.00023388i,-0.00023772-0.00031994i,-0.0010181-8.7496e-06i,-0.0011363-2.364e-05i,-0.00041706-0.0002561i,3.7015e-05-0.00010853i,0.00013267-9.4515e-05i,0.0005298-0.00027622i,0.00035662-2.7286e-05i
-0.0014769-0.00076846i,-0.0016038-0.00069497i,-0.0012142+0.00053631i,-3.7884e-05+0.0024876i,-0.00054807+0.0026767i,-0.0012238+0.001563i,-0.0014197+0.00051923i,-0.0016171-0.00049531i,-0.0020344-0.00057904i,-0.0016183+4.559e-07i,-0.00026938+0.0005964i,5.6895e-06+0.00065604i,0.00029478+0.00085226i,0.00087793+0.0011995i,0.0010355+0.00070636i,0.00055496+7.8487e-05i,-0.00044825-0.00011397i,-0.00076821+0.00043315i,-0.00057626+0.00085073i,-0.0010652+0.00035917i,-0.00085781+0.00012401i,-0.00021503+0.00062265i,-0.00043422+0.00049711i
0.00092938-0.0021215i,-0.00016067-0.00040219i,-0.0012332-0.0020084i,-0.0027941-0.0023281i,-0.0037336-0.00076173i,-0.002304+0.00063156i,-0.0011493+0.0014556i,-0.0011128+0.00078919i,-0.0017584+0.00071899i,-0.0020583+0.0010119i,-0.00048557+0.00099044i,0.0011105+0.00092158i,0.00051626+0.0007447i,0.00027181+0.00059541i,0.00086763+0.00076046i,0.00033772+0.00066982i,0.00017312-0.00019584i,8.2062e-06-0.0010729i,-0.00022467-0.0011414i,-0.00038769-0.00047923i,-0.00056227-3.1902e-05i,-0.0006418+0.0005685i,-0.00038276+0.00041722i
