-0.001337-0.0019096i,-0.0012319-0.00057087i,-0.001094+0.00038475i,-0.0013812+0.00053484i,-0.0025332+0.0010035i,-0.002221+0.0016309i,-0.00046425+0.0015453i,0.00054853+0.0010068i,0.00081118+0.00056065i,0.00064293-0.00010077i,0.00037745-0.0010331i,-0.00033689-0.00063607i,-0.00071268+1.2579e-05i,-0.00079734-0.00028992i,-0.00017901-0.0002564i,0.00037474-0.00017268i,-7.8096e-05-0.00027278i,-0.00039725-0.0004406i,1.2925e-05-0.00025297i,0.00021396+0.0003929i,0.00044365+0.0010665i,0.00025196+0.00042677i,-0.00023257-0.00051387i
0.0011851-0.0022169i,-0.0002652-0.0017531i,-4.036e-05-0.0012669i,0.00073754-0.0011164i,0.00023466-0.00011916i,0.00041463+0.00077135i,0.0009606+0.00080916i,0.00079887+0.00040792i,0.00041444-0.00029377i,0.00029379-0.00084109i,-0.00021273-0.00036597i,-0.00048058+0.00021973i,4.4092e-05+0.00023842i,0.0003142+0.00049886i,-6.5362e-05+0.00042897i,-0.00013281-0.00014011i,-0.00085136-0.00024111i,-0.00077991-0.00032545i,7.6949e-05+0.00023949i,0.00035359+0.00058454i,0.00081711+0.0004159i,0.00077944+0.00067372i,-9.5542e-05+0.0004941i
-0.0013195-0.0022537i,-0.0022025-0.00068109i,-0.0025679+0.00014836i,-0.0019276-0.00020164i,-0.0010475-0.00039395i,-0.00064068+0.00014198i,-9.695e-05+0.00012557i,0.00011355-0.00036214i,-0.00054934-0.0007477i,-0.0012421-0.00071729i,-0.0011651-0.00012137i,-0.00065767+0.00027636i,2.4241e-05+0.00039772i,0.00057242+0.0006837i,0.0004027+0.00054033i,0.00021109+0.00083092i,0.00066218+0.0010456i,0.00050027+0.00096949i,0.00014457+0.00021308i,-0.00032033-0.00039542i,-0.00054681-0.00064474i,-4.0795e-05+0.00022672i,-7.1452e-08+0.00099245i
-0.00089347-0.0021462i,-0.0022459-0.00059998i,-0.0025106+0.00062573i,-0.0013703+0.0010202i,-0.00021058+0.00013928i,0.0001009-0.00028386i,0.00078927-0.00027573i,0.0015209-0.00061298i,0.00082394-0.0012001i,0.00041588-0.0011603i,0.00054793-0.00048079i,0.00032152-0.00018398i,-0.00013635-0.00043123i,-0.00037122-0.00013402i,0.00019177+0.00026426i,0.0002603+0.00088699i,-0.00028919+0.00085837i,-0.00022553+0.00043923i,-0.00014449-2.5672e-06i,-0.00027623-0.0010997i,-0.00027531-0.0016766i,-0.00029489-0.0012169i,-0.00030161-0.00060161i
0.00047038-0.0025513i,-7.8237e-05-0.00056047i,-0.00032101+0.00065062i,-0.00035774+0.00074608i,-0.00022798+0.0008275i,-1.4146e-05+0.00077591i,0.00057207+0.00024822i,0.00067247+0.00024797i,0.00013329+0.00070922i,-0.00069696+0.0010502i,-0.00045953+0.00049786i,0.00055804+3.8213e-05i,0.00085214-1.4302e-05i,0.00038948+0.00028671i,-3.4733e-05+0.00054338i,-0.00056378+0.00036148i,-0.00069968-0.00051526i,-0.00077904-0.00051059i,-0.00060265+0.00038106i,-0.0004396+0.00068506i,-0.00017955+0.00081308i,0.00023819+0.00051863i,0.00018782+0.0001338i
0.00040139-0.0040503i,-0.00107-0.0035561i,-0.0022789-0.0030489i,-0.0018745-0.0023636i,-0.001807-0.001316i,-0.0013454-4.2012e-05i,0.00046099+0.00042908i,0.0011568+0.00024444i,3.5968e-05-0.00015812i,-0.00061449-0.00062351i,-0.00068912-8.4065e-05i,-0.00046846+0.00049799i,-9.3913e-05+0.00025295i,-0.00013649-8.8532e-05i,-0.00065075-0.00033963i,-0.0009884-5.332e-05i,-0.001104+0.00023783i,-0.000185+0.00015604i,0.00047613+4.2941e-05i,0.0001466+0.00021012i,-0.00025491+0.00092507i,-0.00029077+0.00030048i,0.0001179-0.00079663i
-0.00037632-0.0016216i,-0.00034422-7.5493e-05i,-0.00065785+0.00028217i,6.5288e-05-5.5313e-05i,0.00047616-0.00027203i,-0.00067267-0.00025707i,-0.0016307-0.0002909i,-0.0017105-0.00040255i,-0.00066537-1.7389e-05i,0.00077271-7.5669e-05i,0.00089254-0.00030751i,0.00037251-0.00037208i,0.0003378-0.00036143i,0.00014896-0.00019996i,-0.00017547-0.00015627i,0.00055448-0.00024061i,0.00035466+0.00064843i,-0.0006772+0.00083455i,-0.00069293+0.00074694i,-0.0005446+0.00055619i,-0.00034981-0.00036313i,-0.00030531-0.0003395i,-0.00022749+0.00044087i
0.0010932-0.0014328i,0.00059674-0.00058092i,0.00037456+0.00043563i,0.00078848-0.00082113i,0.0010204-0.0013712i,0.00056182-0.00075735i,0.00010698-0.00034515i,0.0001596+0.00019265i,0.0002477+0.00050065i,-0.00012117+0.0005369i,-0.00054796+0.00083718i,-0.0012044+0.0004545i,-0.00096017+0.0001201i,-0.00059764+0.00016836i,-0.00035669-0.00037688i,-0.00019017-0.00057374i,-0.00062291+9.732e-06i,-7.9745e-05+0.00045595i,0.00015103+0.00010028i,-0.00035738+9.7736e-06i,0.00028797+0.0003145i,0.00057576+0.00047772i,-8.0541e-05+0.00085738i
0.00031046-0.00084228i,0.00029319-0.0009463i,0.00076696-5.2699e-05i,0.0014409+0.00026436i,0.0010006+0.00086543i,0.0003819+0.0018755i,0.00022675+0.0015149i,0.00010308+0.00080897i,-0.00051972-0.00023447i,-0.00097595-0.00071263i,-0.00049796-0.00087591i,0.00022953-0.0016032i,0.0010866-0.001842i,0.0010124-0.0012682i,0.00052435-0.00051815i,-0.00011831-0.00045228i,-0.0006179-0.00011583i,-0.00040247-3.4536e-05i,-0.00051784+0.00010178i,-0.00091068+0.00079076i,-0.0004278+0.00057934i,-7.1863e-05+0.00010881i,0.00019653-0.0001329i
-0.0031205-0.0024865i,-0.0036141-0.00044958i,-0.0035299+0.0018414i,-0.0012081+0.0019537i,0.00022131+0.0010575i,-0.00028834+0.00035938i,-0.00088506-0.00018572i,-0.0011132-0.0005048i,-0.0014434+1.1839e-05i,-0.0014245+0.00029236i,-0.00069841-0.0008957i,0.00021263-0.0011421i,0.00095101-0.00065308i,0.0011718-0.00048922i,0.001244-0.00020245i,0.00090068+0.00046087i,-7.0448e-06+0.00068254i,-0.00090033+0.0002231i,-0.00084113-0.00024363i,-0.00090327+0.0003617i,-0.001422+0.00049594i,-0.00079584+0.00046782i,-0.00039122+0.00070794i
-0.00048942+0.00019131i,-0.00061884+0.00029405i,0.00034824+0.00018985i,0.00084141-2.8174e-05i,0.00046629-0.00011797i,-4.8445e-05+3.3326e-05i,0.00084151+0.00018253i,0.0020206-0.00017873i,0.0011819-0.00030645i,0.00032421-7.192e-05i,-0.00028046+2.5628e-05i,-0.0011324-0.00016423i,-0.0012596-0.00036007i,-0.00021568-0.00049283i,-0.00026675+0.00015505i,-0.001143+0.00011354i,-0.00068889-0.00037181i,1.834e-05+0.00029471i,0.00027544+0.00022239i,8.2752e-05-0.00012238i,-0.00073355-0.00010767i,-0.00070408+8.79e-05i,-0.00041137-0.00017597i
-0.0001664-0.0022301i,8.4163e-05-0.0014417i,0.00059085-0.00073586i,0.00090193-0.00031996i,0.0010902+0.00019034i,0.001095+0.00051684i,0.00062754+0.00045363i,-0.00039765-0.00029273i,-0.0011946-0.00012247i,-0.00082732+0.00059549i,-0.0001727+0.00083382i,-0.00084239+4.5971e-05i,-0.0013802-0.00043716i,-0.00051815+0.00014761i,-8.3283e-05+7.8776e-05i,-0.00043014-0.00040059i,-0.00024657-0.00023581i,-9.6031e-05-8.7133e-05i,-0.00029783-0.00021299i,-0.00065906-0.00056326i,-0.0008531-0.00033021i,-0.00035596-0.00022644i,0.00012175+3.1133e-06i
-1.0838e-06-0.0016711i,-0.0013858-0.0010335i,-0.00053498-2.6745e-05i,0.00021427+0.00018717i,-0.00081241-0.00015147i,-0.0020561-0.00037952i,-0.0015417+0.00020086i,-0.00015536+0.00037421i,-0.00040001-0.00056037i,-0.00086774-0.0009217i,-0.0002533-8.8576e-05i,-1.5564e-05+0.00012823i,-0.00043153-0.00033602i,-0.0002204-0.00084331i,0.00012282-0.0012682i,-0.00019756-0.00097606i,-0.00017926-0.00015269i,-8.3183e-05+0.00040097i,-6.1756e-05+0.00025549i,-9.7108e-05+0.00010769i,-0.00016138+0.00021633i,0.00025047+0.00088433i,0.00062724+0.0011275i
-0.00011769-0.00059072i,-2.533e-05-0.00046105i,0.00035948+0.00058162i,0.00080113+0.00082311i,0.00059935+0.00065977i,3.3369e-05+0.00086343i,0.00013485+0.00094144i,0.00075192+0.00040532i,0.0001683-0.00039027i,-0.00029746+0.00030767i,-0.00052775+0.00045005i,-0.00042206-0.00027732i,-0.00020963+0.0003435i,-0.00026797+0.00058306i,-0.00049351+0.00028744i,-0.00058316+0.0010017i,0.00016835+0.0012085i,0.00043645+0.00047186i,-0.00047806-7.7583e-05i,-0.0010742+0.00030789i,-0.00025015+0.00040791i,8.7228e-05-0.00035789i,-0.00035217+1.2251e-05i
0.00029411-0.0036638i,-0.00057344-0.0020123i,-0.0017348-0.00018743i,-0.002124+0.0003681i,-0.0022883-0.00025771i,-0.0010359-0.00038886i,0.00053439+9.3259e-05i,0.00088059+0.00048714i,0.0010625+0.00014049i,0.0008776-0.00069681i,0.00032081-0.00043778i,0.00011816-0.00063138i,0.00017291-0.00040019i,0.00020137-7.5009e-05i,0.00036903-0.00077938i,0.00086921-0.00084933i,0.0010017-0.00012439i,0.00087346+9.1582e-05i,0.00034215-0.00035945i,-0.00013339-0.00046969i,-0.00032986-0.00025988i,2.658e-05-0.00059007i,0.00066689+0.00015834i
-1.8617e-05-0.00071431i,-0.00021514-0.00045542i,0.00030637+0.0012263i,0.00067414+0.0011514i,0.00061152-0.00066528i,-8.6741e-05-0.00065186i,-0.00061204+0.0002126i,0.00023196+0.0004055i,0.00060594+0.00079712i,0.00024573+0.00040692i,7.1657e-05-0.00032336i,-2.5683e-05-0.00061421i,-0.00015586-0.00037632i,-0.00031382-0.0009069i,-5.6953e-05-0.0015086i,-9.9372e-05-0.00054802i,-0.00029317+0.00053747i,-9.8626e-05+0.00093479i,0.00015371+0.00025708i,-0.00013567-0.00042955i,-0.00072255-0.00040835i,-0.00033069-0.00056626i,0.00049499-0.00033297i
-0.0014556-0.0017673i,-0.0020527-0.00079616i,-0.0016494+0.00066643i,-0.00039191+0.00088604i,-0.00033222+0.0006126i,-0.0009122+0.00034979i,-0.00068033-0.00019496i,-0.0004485-0.00061538i,-0.00055778-0.00032499i,-0.00050877-0.00010997i,-0.00057378-0.00039668i,-0.00032316-0.00035594i,4.7214e-05+0.00063731i,-1.9694e-05+0.00089165i,0.00023622+2.244e-05i,0.00052312+0.0001781i,0.00068652+0.00060638i,4.7083e-05+0.0011186i,-0.00049436+0.0013935i,0.00033173+0.0010557i,0.00049343+0.00030158i,0.00027652+0.00012062i,0.00029657+0.0010373i
-0.00040444-0.0019932i,-0.00090325-0.00014831i,-0.0014881+0.0013033i,-0.0011119+0.00090229i,6.458e-05+0.000162i,0.00045426+0.00047007i,0.00023493+0.00030883i,0.00033611+0.00017754i,0.00019767+0.00040683i,-0.00078122+0.00056997i,-0.0013399+0.00048166i,-0.00036678-0.0005788i,0.0004252-0.00082272i,-8.795e-05-0.00066495i,-5.2598e-05-0.00032491i,9.5524e-05+0.00016699i,0.00015636+0.00011865i,-0.00032229-0.00020858i,-0.00068023-0.00077415i,-7.6575e-05-0.00058052i,0.00035449+8.5043e-05i,-0.00073809-3.205e-05i,-0.0013912+0.0001401i
-0.00012925-0.00042408i,-0.0001942+0.00029029i,0.00033318+0.0019339i,0.0012687+0.0015639i,0.00087331+0.00045166i,9.6064e-05+0.0003706i,1.6635e-05+4.5672e-05i,0.00049247-0.00061061i,0.00068689-0.00060697i,0.00020817-0.00033045i,3.7628e-05-0.00028381i,-5.4629e-05-0.00030742i,0.00013064-0.00054043i,0.00047497-0.00020912i,0.00045944+0.00037132i,-0.00020881+0.00023779i,-0.00097422+0.00045341i,-0.00072693+0.00090007i,-0.00036772+0.00078936i,0.00010968+0.00061797i,5.9378e-06+0.00061435i,-0.00078719+0.00035193i,-0.0010503+0.00061813i
-0.00034992-0.002427i,-0.0012747-0.00084117i,-0.0022459+0.00035225i,-0.0026086+0.00072122i,-0.0018744+0.0010358i,-0.00093794+0.0006198i,-0.00037604-0.00095072i,-0.00021468-0.0014758i,0.00013161-0.0009829i,0.00013256-0.00083689i,-0.00039924-0.00057432i,-0.00056418-0.00017573i,-0.00014467+0.00043213i,0.00015627+0.00048848i,1.4706e-05+0.00074498i,-0.00069584+0.0012321i,-0.00045685+0.0017086i,0.00058523+0.00082647i,0.00056543+8.0565e-05i,0.00032941+0.00025515i,-2.2102e-05+0.00027362i,0.00029024+0.00030802i,0.00047458+0.00026994i
0.0013644-0.0023456i,0.00068784-0.0015743i,0.0002584-0.0005245i,-0.00012775-4.1023e-05i,-0.00026531-0.00023982i,0.00034281-0.00053784i,0.00057558+5.6567e-05i,0.0004484+0.00049297i,0.00045978+0.00087105i,0.00023642+0.0011637i,-4.6242e-05+0.00064317i,0.00044067-0.00012729i,0.0011125-0.00032385i,0.00038101-0.00049795i,-0.000783+7.4861e-05i,-0.00042753+0.00015981i,-0.00052126-0.00067408i,-6.52e-05-7.7584e-05i,9.468e-05+0.00056924i,-3.5404e-05+0.00047825i,-0.00030812+0.00054917i,-0.0014747+0.0004392i,-0.0015848+0.00064132i
-0.0026613-0.0018283i,-0.0026495+0.00026927i,-0.0022077+0.0027264i,-0.00053341+0.003452i,0.00082843+0.0024683i,0.00075139+0.00078663i,0.0006072-0.00048803i,0.00033667-0.00076964i,-0.00033459-0.00068897i,-9.6909e-05-0.00047217i,-1.5842e-05-0.00045775i,-1.1253e-05+0.00011996i,0.00021131+0.00063132i,0.00041347+0.0003824i,0.00057806+0.00018447i,-0.00012169+0.00012996i,-0.00032399+0.00056456i,0.00025309+0.00057786i,0.00072669-0.00023802i,0.00040723-0.00019525i,-0.0010151+0.00037385i,-0.0014994-0.00033871i,-0.0007996+0.00012086i
0.0011535-0.0014699i,0.00024086-0.00062119i,0.0008485-0.00037208i,0.00087156-0.0005948i,0.00027498-0.0010448i,7.7638e-05-0.0010908i,-0.00062125-0.00026385i,-0.00067255+1.29e-05i,-0.00062385-8.1426e-05i,0.00013062-0.00019334i,0.00052992-7.5328e-05i,-0.00024652-0.00036537i,-0.00032426-0.00059063i,-0.0003391-0.00034335i,-0.00045334-0.00056152i,0.00017883-0.00046995i,0.0008477+0.00031847i,0.00064949+0.0010044i,0.00043194+0.00096897i,-4.005e-05+0.00016451i,-0.00018884+0.00027526i,0.00028056+3.263e-05i,0.0010144-0.00035349i
-0.00039467-0.0016321i,-0.0014551-0.00055569i,-0.0013216+0.00037965i,-0.00057923-0.00021698i,-0.00049785-0.0010524i,-0.0015315-0.00032805i,-0.0017853+0.00049781i,-0.00049315+0.00022548i,0.00018357+6.701e-05i,0.00028491+9.3972e-05i,0.00054175+0.00012179i,-0.00024008-0.00016342i,-0.0011105-0.00027177i,-0.0013355-4.3799e-05i,-0.0010284-0.00012178i,0.00036451-8.6482e-05i,0.00040774-0.00014225i,-0.0002197+6.3766e-05i,0.00011148+0.00034368i,-0.00021768+0.00047372i,-0.0001228+4.3945e-05i,0.00076525-6.1428e-05i,0.00024337+0.00029365i
-0.0011539-0.0028232i,-0.0011032-0.0022479i,-7.9943e-05-7.1154e-05i,0.00017075+0.0013563i,-0.00015313+0.0015422i,-8.3866e-05+0.00070004i,2.349e-05-0.00038516i,9.533e-05-0.00053055i,-0.00071622-0.00052625i,-0.0011976-0.0010648i,-0.00045531-0.00087924i,-9.0429e-05+4.1765e-05i,6.4809e-05+0.000196i,-8.6246e-05+0.0005103i,-0.00063897-4.6857e-06i,-0.00074482-0.00049283i,-0.00052838+0.00064483i,0.00032363+0.0014559i,0.00068539+0.00052196i,-0.0007494+8.1352e-05i,-0.001206+3.7889e-05i,-0.00079292+0.0003263i,-0.00066878-3.7408e-05i
-0.00011231-0.0027802i,-0.00095685-0.0015642i,-0.0013972-0.00054787i,-0.00088072-0.00082538i,-0.00058056-0.0010381i,-0.00032833-0.00057361i,-0.00042954+0.00014538i,-0.00047924-4.5379e-05i,-0.00057244-0.00011238i,-0.00019489-0.00022383i,0.00057827-0.00019636i,0.00037896+0.00015986i,-0.00029782+0.00021694i,-0.00036427+0.00053858i,7.7778e-05+0.00077383i,0.00013628+0.00083589i,-8.0351e-05+0.00040679i,0.00018984+0.00013677i,0.00026356-2.5917e-05i,8.4893e-05-0.0001879i,-0.00066111+0.00024867i,-0.0014309+0.00096911i,-0.00077854+0.0014963i
-0.0016113-0.0037942i,-0.0027261-0.0013635i,-0.0024181-3.2196e-05i,-0.0014597-4.6286e-05i,3.4586e-05-0.00010619i,4.2745e-06-0.00037071i,-0.00033557-0.0006431i,0.00034011-0.00067265i,0.0003439-0.00055646i,-0.00010641-3.1253e-05i,-0.00025705+8.3432e-05i,-0.00067313-1.4193e-05i,-0.00024452+0.00035866i,0.00024679+0.00014641i,-0.00077534-0.00039167i,-0.001398+8.3562e-05i,-0.00082819+0.00045112i,2.3781e-05+0.00090181i,0.00092311+0.00063343i,0.00080969+0.00032272i,-0.00028917+0.000338i,-0.0010039+0.0002813i,-0.000391+0.00012264i
-0.001816-0.003399i,-0.0023319-0.0013074i,-0.0021484+0.00106i,-0.0014254+0.0015464i,-0.00080136+0.00088276i,-0.00031732+0.00038901i,0.00024774+9.8986e-05i,0.00076218+0.00029874i,4.5289e-05+0.00066747i,-0.00088728+0.00038416i,-0.00029592-0.00010143i,0.00037765-0.00011947i,0.00022968+0.00024467i,-0.00034882+0.00010744i,-0.00060104-2.9636e-05i,-0.00076532-0.00041754i,-0.0010523-9.5217e-06i,-0.00059413+0.00022852i,1.7457e-05-0.00095862i,-0.000125-0.0011928i,-0.00063236-0.00066829i,-0.00068353-0.00069388i,-0.00030249-0.00050463i
-0.0010529-0.0021548i,-0.0014027-0.001234i,-0.0016254-2.9905e-05i,-0.0006335+0.0010285i,3.7508e-05+0.00048173i,0.00049882-0.0001783i,0.00044249+0.00026289i,-0.0004219-0.00038193i,-0.00073749-0.00082581i,-0.00065049-6.5179e-05i,-0.00030652-8.053e-05i,0.00010281-0.00085176i,0.00057505-0.000117i,0.00060345+0.00046443i,0.00013337-0.00052023i,0.00038781-0.0012059i,0.00086335-0.00018107i,0.0004091+0.00064398i,5.6363e-05+2.2025e-05i,-0.00012129-0.00013643i,-0.00035012+0.00038458i,-0.00050327+0.00024302i,-0.00078221+5.9509e-05i
-0.0010495-0.00092925i,-0.0013218-9.7981e-05i,1.5942e-06+0.0016472i,0.00055267+0.0016952i,-7.0448e-05+1.6577e-05i,-0.00082795-0.00073383i,-0.00066663-0.0005275i,-0.00032168-0.00023826i,-0.00033481-0.00042027i,0.000275-0.00072326i,0.00047978-0.00013383i,-0.00037134+0.00080248i,-0.0012209+0.00052406i,-0.00032243-1.8053e-05i,0.00018548-2.4249e-05i,-0.00069723+0.0001251i,-0.00099503-5.3677e-05i,-0.00073564-2.4695e-05i,-0.00050412+0.00028199i,-0.00026824+0.00068269i,-0.00032045+0.0004253i,-0.00055652-0.00019411i,5.6828e-05+0.0001619i
-0.001546-0.0034173i,-0.0030326-0.0016208i,-0.0028275+0.00057395i,-0.0019836+0.0015811i,-0.0012308+0.00089621i,-0.00067308-7.3767e-05i,0.00026808-0.00053423i,0.00031979-0.00020885i,-0.00075235+0.00029206i,-0.0013053+0.00065305i,-0.0021168+0.00069023i,-0.002273+0.00031402i,-0.0011498+0.0005699i,-0.00022802-8.6703e-05i,-0.00027117-0.0011308i,-0.00042301-0.00096049i,-0.0005381-0.00055889i,-0.00046973+1.142e-05i,-0.00022429-5.3138e-05i,-8.0562e-05-0.00076244i,-4.8018e-05-0.0013165i,0.00025203-0.00076291i,0.00038701-0.00033028i
0.00015856-0.0029456i,-0.00097336-0.0030898i,-0.00092644-0.0015251i,-0.00024099-8.6724e-05i,0.00021698+0.00054619i,0.00018107+0.00093649i,2.2494e-05+0.00071303i,-0.00018659+0.00037214i,-8.95e-06-0.00044785i,0.00047522-0.0010744i,0.00066471-0.00064458i,0.00042318-0.000164i,-0.00025903-0.00014025i,3.5496e-05-0.0001835i,0.00019972+0.00016628i,0.00010923+0.00065473i,-5.8817e-05+0.001174i,-0.00095011+0.00070881i,-0.0010214-0.00075271i,-0.00031576-0.00088361i,4.8125e-05+3.9902e-05i,-0.00023504+0.00043375i,-0.00041639-0.0005625i
