-0.0013405+6.9791e-06i,-0.00037941-0.00029583i,-0.00095888+0.00012246i,-0.0010357-0.00052632i,-0.0013523-0.0024807i,-0.0012789-0.0021311i,-0.00065943-0.00068221i,-0.00015002-7.2418e-05i,0.0006508-0.0002376i,0.00080149-0.00025758i,0.00074654-0.00021158i,0.00085202-0.000356i,0.00055932-0.00062071i,0.00019977-0.00066127i,-0.00069104-0.00026901i,-0.0011586+0.00050141i,-0.00066059+0.00049031i,0.00029532-0.00018692i,0.0010407-0.00079015i,0.0010068-0.00033166i,0.00020499+0.00035971i,-9.7031e-05+0.00025703i,0.00029811-1.2779e-05i
0.00068829+0.0019151i,-0.00046377+0.0018888i,-0.00023745+0.0010561i,0.0013117+0.00078758i,0.0013569+0.00022405i,-0.00016131-0.0015074i,-0.00040471-0.0013624i,-0.00026576-0.00024617i,-0.00028711-0.00046358i,-0.00022139-0.00088047i,-0.00062182-0.0010235i,-0.00060385-0.001214i,-0.00079341-0.00075013i,-3.3576e-05-0.00049334i,0.00026524-0.00015856i,-0.00055348+0.0005016i,-0.00010057+0.0007452i,0.00020611+0.00096485i,0.0004345+0.0001703i,0.0011139-0.00039598i,0.0010216+3.5193e-05i,0.00015931-3.3586e-05i,-7.5921e-05-0.00029252i
-0.00026091+0.0013074i,0.00090831-2.2974e-05i,0.0015687-0.00044324i,0.0010803-0.00044137i,0.00053772-0.0010277i,0.00036405-0.0019387i,-1.723e-05-0.0020673i,-0.00020912-0.0015033i,0.00015495-0.0010449i,0.00031217-0.00038073i,0.00028845+0.0013382i,0.00043573+0.0018715i,0.00022048+0.00048556i,0.0005834-0.00072465i,0.00067502-0.00037441i,0.00040089+0.00034855i,0.00049786+0.00076601i,0.00088776+0.00062686i,0.00098365+0.0001681i,0.00033178+0.00084518i,-0.00057063+0.00129i,-0.00073409+0.00043583i,0.00014415+7.217e-05i
-0.00062302+0.00086983i,-0.0012889+0.00041824i,-0.00097023-5.0555e-05i,-0.00094047-0.00022735i,-0.0014496-0.00083322i,-0.0014546-8.0836e-06i,-0.0010559+0.00052731i,-0.00074963-1.6417e-05i,-0.0010713-0.00036146i,-0.0012828-0.0005108i,-0.0003763-0.00018196i,0.00033957+0.00051751i,0.00030711+0.00042364i,0.00012004+0.00061228i,-0.00067193+0.00064198i,-0.00044588+0.00033204i,-0.00031581+0.00016772i,-0.00068098+0.00085157i,-0.0006008+0.0014907i,-0.00044187+0.00076218i,-1.3423e-05+0.00018664i,-5.1523e-05-1.988e-05i,-0.00057932-0.00029824i
7.627e-05+0.00073286i,0.00058246+0.00044034i,0.00093827+0.00037011i,0.00070462-0.00035007i,-1.8302e-05-0.0011414i,-0.00062361-0.0010567i,-0.00010676-0.00045801i,0.00029395-0.00021063i,-9.1025e-05-0.00061997i,-0.00077569-0.00097388i,-0.00036059-0.00053022i,0.00052541+0.0005109i,0.00019579+0.00040342i,-0.00015666+2.2291e-06i,-0.00012698-0.00025629i,2.9346e-05-6.8442e-05i,8.9652e-05+7.1456e-05i,0.000867+0.00025126i,0.0019447+0.00044624i,0.00091186+0.00032309i,-0.00053204+6.1413e-05i,-0.00022667-0.00033886i,-0.00013592-0.00026076i
-0.00039473-0.0008959i,0.00067382-0.00064547i,-0.00048096+0.00010803i,-0.0013438+0.00015828i,-0.00052143-0.0007397i,-0.00059198-0.0016414i,-0.0007284-0.0017511i,-0.00058761-0.00090175i,-0.001382-4.9655e-05i,-0.0013129-0.00037513i,-0.00053249-0.0001494i,3.2063e-05-4.0343e-05i,0.00031536-0.00040229i,5.7618e-05-0.00030178i,-0.00057739-0.00076345i,-0.00028747-0.00075485i,0.00028534+0.00018765i,-3.3915e-05+0.0005538i,-0.00028324+0.00035936i,-0.00034119+2.6207e-05i,-0.00029012-0.00015149i,0.00070181-0.00031482i,0.001421-0.00061022i
0.0002418+0.0011371i,-0.00036132+0.0011825i,-0.0001979+0.00095383i,0.00045884-0.00053203i,0.00046619-0.0014207i,3.7802e-05-0.0013479i,0.00024254-0.0012657i,0.0010586-0.00084336i,0.0004349-0.00022504i,-0.00041031+0.00062573i,-0.00033531+0.00051158i,-1.6631e-05+3.5367e-05i,0.00048441-0.00056385i,0.0006989-0.0014797i,-2.022e-05-0.0013111i,-0.00062834-0.00071834i,-0.00077443-0.000396i,-0.0013535-0.00013393i,-0.00060491+0.0002228i,0.00026361-7.6703e-06i,0.00084344-2.0562e-06i,0.0010371+0.00076806i,0.00028369+0.00070415i
-0.0007591+0.00088883i,-0.0012186+0.00082538i,-0.00097983+0.00010945i,-0.00065629-7.1329e-05i,-0.00045766-0.00051525i,-0.00017223-0.00025071i,-0.00027407+0.00065498i,-0.00051344+0.00013037i,-0.00056858-0.00066909i,-0.000321+1.8126e-05i,0.00024816+0.00079194i,0.00062646-0.0001495i,-0.00021093-0.00046955i,-0.0010728+0.00042039i,-0.00081706+0.00087757i,-0.0003962+0.00091138i,-2.0135e-05+0.00033211i,-0.00016272-7.8408e-05i,1.0354e-05-0.00018847i,0.00091667-0.00074318i,0.0014983-0.0011034i,0.00098439-0.00069289i,-8.0504e-05-1.0405e-06i
0.00033613-0.00059012i,-0.00052763-0.00023708i,-0.0003335-0.00073194i,0.00019169-0.0013673i,-0.00098882-0.0012438i,-0.0018082-0.0011058i,-0.00097614-0.0010443i,-0.00028916-0.00070305i,-8.8582e-05-0.00045277i,-0.00083739-0.00026168i,-0.0007604-0.00050913i,-2.0076e-06-5.9608e-05i,0.00061449+0.00040583i,3.3267e-05+0.00052723i,-0.00060005+0.00021017i,-0.00040317+6.5975e-05i,0.00034315+0.00084015i,0.000934+0.00038877i,0.00095403-0.00040088i,0.00066021+6.6326e-05i,5.8245e-05+0.0003061i,0.00070622+0.00081876i,0.0012108+0.00093313i
0.00091363+0.00019181i,0.00085557+0.00037008i,0.00014783-7.6366e-05i,-0.001093-0.00084681i,-0.0012282-0.0012299i,-0.00033727-0.00054909i,8.5797e-05+0.00041165i,1.7484e-05+0.00044021i,-0.00026309+0.00021167i,-0.00046202+0.00029628i,-0.00016306+0.00074825i,-0.00034499+0.0007347i,-0.00063513+3.2369e-05i,-0.00094749-4.483e-05i,-0.00066095-0.00044293i,-0.00019734-0.00038799i,-1.0413e-05+0.00024448i,5.2077e-05+0.00041528i,-0.00018035+0.00020211i,-0.00050311-0.00053229i,-0.0003037-0.00043936i,0.00029398-0.00038546i,0.00035322-0.00054512i
0.0005177+4.5621e-05i,0.00028737+2.4205e-06i,-0.00021924-0.0010065i,0.00027542-0.0015454i,0.00043322-0.0029071i,0.00016023-0.0041727i,0.00012923-0.0030527i,-0.00017824-0.0014632i,-6.7721e-05-0.0013038i,0.00015458-0.0015021i,-0.0002931-0.0010725i,-0.00053829+0.00018092i,-0.00067903+0.001041i,-0.00064216+0.0013911i,-0.0004772+0.0014599i,0.00015082+0.00068734i,0.00036555+0.00026888i,-0.00063963+0.00036578i,-0.00026515+0.00036592i,0.00080842+0.00047444i,0.00056982+0.00054122i,0.00038388+1.0751e-05i,0.00012782-8.6276e-05i
0.001828+0.0016915i,0.0012407+0.0020792i,0.00067845+0.0010855i,0.00063873-0.00030921i,0.0006765-0.00096678i,0.00091024-0.0010494i,0.0003781+0.00014503i,-0.00076464+0.0016581i,-0.00070859+0.001415i,-0.0011836-6.9905e-05i,-0.00041203-0.0003462i,0.00068632-0.0001688i,-0.00021815+0.00046141i,-0.00099589+0.00056285i,-0.00058648-0.00013724i,-0.0010092-0.00029321i,-0.0012143-0.00021924i,-0.00022862-0.00034883i,0.00042234-0.00038533i,5.3524e-05+0.00025892i,-0.00012218+0.00035943i,0.00034957-6.3279e-05i,0.00023957+0.00013049i
0.00020253+0.0016873i,-0.00015001+0.0013554i,-6.8517e-05+0.00099255i,-8.4863e-05-0.00074179i,0.00043859-0.0021091i,0.00033293-0.0026543i,-0.00019766-0.0016189i,-0.00053144+0.00018819i,-0.00012386+4.8565e-05i,0.00073401-0.0010351i,0.00094934-0.0011588i,0.00089745-0.00051358i,0.00069382-0.0003467i,0.00025267-0.0003914i,-0.00045934-0.0004245i,-0.0010422-0.00013753i,-0.00095422+0.00062921i,0.00019029+0.00048899i,0.0010658+0.00053969i,0.00035688+0.00039838i,-0.00067329-0.00022814i,-0.00064374-0.00013135i,-2.8362e-06+0.00036256i
0.00094433+0.0015712i,-0.00014794+0.00061779i,0.0011209-0.00082079i,0.0014097-0.0017656i,-0.00065849-0.0025452i,-0.0015701-0.0026821i,-0.0010485-0.0015353i,-0.00086583-0.00074196i,-0.00037482-0.00062478i,0.00025394-0.00099345i,0.00025115-0.0013938i,-1.7236e-05-0.00094936i,0.0005117-7.8262e-05i,0.00066887+0.00080525i,0.00020642+0.0011164i,0.00022197+0.00099259i,-0.0003754+0.0011404i,-0.00070798+0.0011643i,-0.0007161+0.0010322i,-0.00051103+0.00093023i,0.00024451+0.0001566i,0.00050779+1.5918e-05i,0.00050883+0.00043283i
0.00016699-0.0013143i,3.5427e-05-0.0011119i,-0.00046659-0.0011476i,-0.00080181-0.00069697i,-0.00050796-0.00041073i,-0.00014023-0.00076945i,0.00060009-0.00096738i,0.00094102-0.0011875i,0.00046658-0.00083382i,-0.00018158-0.00041537i,-0.00042278-0.00044943i,-0.00024998-8.8382e-05i,0.00028999-0.0005668i,-5.646e-05-0.00099215i,-0.00036709-0.00052112i,3.9003e-05+0.00081879i,0.00071292+0.00081746i,0.001753+0.00074325i,0.0013482+0.00095315i,0.0006712+0.00010378i,0.00035493-0.00065216i,-2.2799e-05+0.00032867i,-0.00022841+0.00055677i
-7.8974e-05+0.00035138i,-5.0402e-05-0.00043738i,0.00041053-0.0013558i,0.00043634-0.0011688i,0.00037515-0.0012359i,8.1982e-05-0.0017571i,0.00017549-0.0012342i,-0.0001109+0.00017617i,-0.00066332+0.00034288i,-0.00046427-0.00044007i,-0.00054266-0.00018561i,-3.9072e-05+7.3284e-05i,0.00038774+0.00038878i,-8.9348e-05+0.00044582i,-0.00042702-0.00042172i,-0.00078988-0.00077622i,-0.00094335+0.00013713i,-0.0006598+0.00060154i,0.00028509+0.0004544i,0.00044972+0.00025383i,0.00018032+0.00023317i,0.00034584+0.00018136i,-0.00018301+0.000105i
0.00049659-0.00020312i,-0.00023502+0.00065341i,2.2592e-05+0.00059988i,-3.4443e-05-0.00051671i,-0.00022397-0.0017148i,-0.00094283-0.0020048i,-0.0019863-0.0009517i,-0.0013862+0.00036148i,-0.00060997+0.00016023i,-0.00032293-0.00058943i,0.000125-0.00075989i,-0.00017267-0.00049115i,0.0004509+0.00015002i,0.00064239+0.00031622i,-0.00090294+0.00037215i,-0.0021095+0.00039653i,-0.00080807+7.575e-05i,0.00027884+0.00012163i,0.00034481+0.00012874i,0.00017924+5.6177e-05i,0.00025953-0.00031194i,-0.00018692-0.00022368i,-0.00087594+0.00055415i
0.0005222-0.00044357i,0.00067405-0.00054691i,0.00078283-0.00056487i,0.00039697-0.001115i,9.1627e-05-0.0022244i,0.000827-0.0022787i,0.00058061-0.0014574i,-0.0010165-0.00094866i,-0.0013342-0.00095946i,-0.00063961-0.00096391i,-0.00016784-0.00019572i,0.00010113-0.00041099i,4.2347e-05-0.00063478i,-0.00030915+0.00047124i,-0.00084773+0.00093101i,-0.00088447+0.00051031i,-9.6139e-05+0.00071147i,0.00048047+0.00072068i,0.0004535+0.0003831i,2.4667e-05+0.00060532i,-3.9817e-05+0.00050838i,-0.00071573+0.0002004i,-0.0011525+0.00026786i
0.00028868-0.00053947i,0.00035476+0.00058241i,0.00074786+0.0011131i,-0.0001669+0.00059078i,-0.0003516-0.0010009i,-0.00030246-0.0017012i,-0.00087713-0.001003i,-0.00062685-0.00040105i,-0.00011571-0.0003471i,-0.00043291-0.0004358i,-0.00064372+3.5249e-05i,-0.00015468+0.00023478i,-0.00041997-0.00031624i,-0.00028105-0.00067234i,-0.00014526-0.00045221i,-0.0007124-0.00066081i,-0.00017209-0.00050488i,0.00030186-0.00083533i,0.00065485-0.00086211i,0.00087267+0.00021839i,0.0002566+0.00014488i,-0.00022096-0.00078719i,-5.8462e-05-0.00070442i
0.00034237+0.00024936i,0.00038584+0.00035533i,0.00047296+9.3065e-05i,-5.9059e-05-0.00036636i,-0.00036191-0.0002539i,-0.0002932+0.00011555i,-1.3123e-05+0.00023412i,-0.00022368-2.1297e-05i,-0.00097985+0.00022992i,-0.00020501+0.00034415i,0.00082303+0.0001974i,0.00028528+0.00073602i,-0.00049425+0.00089594i,-0.00045081+0.0005636i,-0.0001946+0.00048415i,-0.00060955+0.00037052i,-0.0008993+0.00062275i,-3.1084e-05+0.00056635i,0.00085701+4.4358e-05i,0.00024351-0.00057432i,-8.7221e-05-0.00044902i,4.8613e-05+0.00033579i,0.00032888+0.00031047i
0.00055319+0.00063443i,-2.5349e-05+0.00057152i,0.00017495+0.00011016i,-0.00028712-0.0010858i,-0.0011431-0.0016998i,-0.0012892-0.0012953i,-0.00043194-0.00046721i,0.00057505-0.00039117i,0.00039063-0.00012775i,0.00039959+0.00094278i,0.00016814+0.00071756i,0.00040645-0.00054862i,0.0013502-0.00090924i,0.00099966-0.00037344i,-0.00029543-0.00050718i,-0.00084635-0.00057363i,-0.00035454+3.0693e-05i,0.00036568-0.00034661i,0.00034766-0.00094848i,7.3116e-05-0.00076049i,-0.00052031-0.00037486i,-0.00062159-0.00016441i,0.00023215-0.00063996i
-3.4097e-05-0.00099168i,0.0002935-0.00039541i,-0.00036163-0.00049133i,-0.00092636-0.0008483i,-0.00071224-0.0010351i,-0.000299-0.0011188i,-6.0062e-05-0.0010664i,0.00026345-0.00047581i,0.00025411-0.00042158i,-3.5747e-05-0.00055329i,6.875e-05-0.00036595i,-0.00030113-0.00010367i,-0.00047643+0.00023865i,0.00028306+0.00032782i,-7.4237e-05+0.0002246i,-0.00075918+0.00015408i,-0.000285+0.0002059i,-0.0001178+0.00049485i,0.0002239+0.00035281i,0.00083071+0.00030383i,0.00057387+0.00034027i,-0.00063275+0.00050184i,-0.00086998+0.00078447i
0.00022747+0.001661i,8.5883e-05+0.001366i,-0.00076959+0.00058214i,-0.0012864+0.00037839i,-0.00070075-0.00026838i,-0.00033229-0.0010812i,-9.7276e-05-0.0009245i,0.00053521-0.00073389i,0.00097648-0.0010113i,0.00050838-0.00073181i,-0.0006398-0.00051072i,-0.00076295-0.00080935i,1.4319e-07-0.00048063i,-7.1865e-06-0.00037821i,-0.00052994-0.00046935i,-0.00093669+9.4098e-05i,-0.00030085+0.00073594i,-7.7143e-06+0.0010846i,-0.00078037+0.00089744i,-0.0011576+0.00052766i,-0.0012295+0.00023394i,-0.00061413-5.0673e-05i,7.1986e-05-0.00037417i
3.8748e-06+0.00086133i,0.00021564+5.9982e-05i,0.00090685-0.00040565i,0.0015849-0.00040619i,0.0017055-0.0003693i,0.00094605-0.00041351i,4.6081e-05-0.00030817i,-0.00027763+0.00013915i,-0.00029485+0.0003655i,0.0004982+0.00011686i,0.0010179+0.00036391i,0.0006636-4.3665e-05i,0.00047257-0.00072505i,0.00059619-0.00063221i,0.00018374-0.00053643i,-0.00038805-0.00059644i,-0.00048742-0.00087642i,-0.0004317-0.00066066i,-0.00042013-0.00021364i,-0.00012285-0.00043568i,0.0002939-4.7227e-05i,0.00026209+0.00086525i,-0.00015153+0.00050457i
-0.00074758+0.00057607i,-0.00054004-0.00044144i,-0.0010979+0.000372i,-0.0017102+0.00055994i,-0.0012201-0.00014313i,-0.00074806-0.0003346i,-0.00083034-0.00045409i,-0.00053685-0.00070954i,-9.3653e-05-0.00036514i,-6.5317e-05+0.00056642i,-0.00014111+0.00071985i,-0.00046839+0.00015604i,-0.00030782-0.00081487i,0.00016506-0.0011431i,8.2864e-06-0.00060096i,-4.4811e-05+0.00039915i,-0.00055013+0.00078332i,-0.00068223+0.00030913i,8.6587e-05+0.001044i,-0.00025232+0.00075733i,-0.00032442-0.00015222i,0.00038967-0.00019866i,0.00039593-0.00018401i
0.0013478+0.0011328i,0.0013093+0.00085862i,0.0018974-0.00044667i,0.0013263-0.0016957i,0.00032073-0.0021581i,-0.00068752-0.0021204i,-0.0015052-0.0007101i,-0.0014548-3.6074e-05i,-0.00090888-0.00071002i,-0.00079085-0.0013783i,-0.00072581-0.00067213i,-0.00038952+7.663e-05i,0.00027934-0.00016193i,0.00011412-7.1118e-05i,-0.00054642-4.0437e-05i,-0.00070738+0.00018907i,0.00041003+0.00054365i,0.00085855+0.00097085i,0.00027523+0.00075375i,0.00017633-1.9759e-05i,0.00038314-0.00046466i,0.00016079-0.00042099i,0.00018774-0.00030307i
-0.00074557-0.0023873i,-0.00021352-0.0011522i,-0.0014194-0.00048575i,-0.0021664-0.00021808i,-0.0013848-0.00043173i,-8.3593e-05-8.1617e-05i,0.00070884+0.00013602i,0.00036246-0.00023015i,-6.2341e-05-0.000741i,-0.00032219-0.00099216i,0.00044248-0.00039661i,0.00047575+6.639e-05i,7.5178e-05+3.6179e-05i,0.0004081-0.00015225i,0.00030985-0.00034971i,-0.00025933-0.00059828i,-0.00033281+0.000423i,4.6768e-05+0.0015689i,0.00050999+0.001012i,0.0013013+0.000263i,0.00071245-3.7906e-05i,-0.00091202+5.4117e-05i,-0.00058493+0.00050065i
0.00058055+0.00054617i,-0.00036712-0.00023738i,-0.00045678+2.6554e-07i,0.00028862+0.00028467i,0.00015272-0.0011772i,5.4075e-05-0.0024887i,0.00026751-0.0015729i,0.00067622-0.00090961i,0.00088718-0.00071575i,0.00032041-0.00029922i,0.00037071-0.000396i,0.0008619+0.00014199i,0.001055+6.9956e-05i,0.00090553-0.00028334i,-0.00026398-0.00047397i,-0.00068966-0.00022434i,-0.00072802+0.00040825i,-0.00032175+0.00036939i,0.00027941+0.00057882i,-0.0002074+0.00075554i,-0.00031934+0.0003692i,0.00032514+0.00017028i,0.00041814+0.00041456i
0.00012019+0.00087948i,0.00031309-0.00015396i,-0.00043811-0.00063379i,-0.00090486-0.00094941i,-0.0001595-0.0020755i,0.00063829-0.0021938i,-3.8232e-06-0.00089847i,-0.0009702-0.00040928i,-0.0008131-8.0637e-05i,-0.00017994+0.00015119i,-0.00015485-1.2733e-05i,-0.00015701-0.00071949i,0.00016315-0.00033919i,0.00063099+0.00010588i,0.0007254-7.4844e-06i,-0.00039201+0.00015993i,-0.0012688+0.00060838i,-0.00085942+0.0011373i,-0.00022001+0.0010802i,0.00032955+0.0008419i,0.00031484+0.00066045i,-0.00017913-0.00031898i,0.00032495-0.0009237i
0.0011593-0.00056416i,0.00088537+0.00020052i,0.00063879+0.00060214i,0.0010327-0.00033119i,0.0010926-0.0014631i,0.00015576-0.001405i,-0.0010433-0.00054832i,-0.001159-3.6516e-05i,-0.00058093+0.00036754i,-0.00018847+0.00012125i,-4.9566e-05-0.0002147i,0.00010083+0.00032178i,0.0001049+0.0002633i,-0.00043501-0.00029955i,-0.00017356-0.00066503i,0.00049762+0.00018883i,8.8168e-05+0.0011789i,-0.00017907+0.0011676i,0.0011946+0.00030265i,0.0018576-0.00038829i,0.0011513-0.00045291i,0.00033632-0.0002406i,-0.00035794+0.00019034i
0.0010508+0.00058624i,0.00081105+0.00064536i,0.00018384-0.00034307i,-0.00029185-0.0016854i,-0.00014704-0.0020004i,-0.00010295-0.0010689i,-0.0005307+8.8151e-05i,-0.00059476+0.00054277i,-0.00090374+0.00039961i,-0.0010684+7.6519e-05i,-0.00041734-0.00051642i,0.00038238-0.0013214i,-2.6554e-05-0.0013594i,-0.00068062-0.00066681i,-0.0006562-0.0001192i,-0.00065689-0.00026101i,-0.00044908-0.00028116i,-2.2269e-05-4.2614e-05i,0.00063158-0.00012184i,0.0007987+0.0003683i,0.00081543+0.00030606i,0.00092993+7.0282e-05i,0.00048156+5.9991e-05i
0.000774-1.4708e-05i,-0.00018228-0.00028667i,-0.00098378-0.00017534i,-0.0019-0.0002352i,-0.0013143-0.0013496i,-0.00056624-0.0020208i,1.1133e-05-0.0011956i,0.00043697-0.00036866i,0.00013822-0.00045912i,-0.00013628-0.00022548i,-0.00063905+9.1226e-06i,-0.00067599+0.00056676i,-8.5056e-05+0.0014816i,-0.00015891+0.0010116i,-0.00081804-1.795e-05i,-0.00078238+0.00040338i,-0.0008737+0.0011604i,-0.0012392+0.00092579i,-0.00098342+0.00027828i,-0.00063763-0.00017047i,-9.5069e-05-9.054e-05i,0.00038671+0.00020022i,0.00053216+0.000196i
