-0.0016426-0.00074604i,-0.0016167-0.0016925i,-0.0024275-0.00080325i,-0.0018942+0.00026613i,-0.0011548+0.00073877i,-0.00042815+0.00010073i,0.00031866-4.996e-05i,0.00078374+0.00089914i,0.00092128+0.0010945i,0.00039453+0.00050067i,5.8668e-05-6.5237e-05i,0.00035228+0.00039024i,0.00055785-4.1249e-05i,0.00014787-0.0012785i,-0.00063616-0.0012954i,-0.00050921-0.00091543i,-0.00016545-0.00017908i,9.5063e-05-0.00018983i,0.00017437-0.00095812i,0.0001653-0.00082544i,0.00022638-0.00013896i,-0.00012732+0.0001915i,0.00011514-7.5516e-05i
6.2278e-05+0.0010086i,-4.9146e-05+0.0012953i,7.9419e-05+0.00083055i,0.00030599+0.00065311i,0.0011638+0.0014577i,0.0015924+0.0012642i,0.00085002-0.00017245i,-0.00043061-0.00066286i,-0.00072817-9.1238e-05i,0.00012057-7.8816e-05i,0.0007727-0.00029372i,0.00089524-0.00028725i,0.00022403-0.00015212i,0.00025814+0.00041406i,0.00046521+0.00022074i,0.00021706-0.00090736i,0.00048696-0.0012059i,0.00083783-0.0010293i,0.00067234-0.00037402i,0.00014213+2.0866e-05i,3.2588e-05-0.00021917i,-0.00076456-0.00010489i,-0.00079383-9.6651e-05i
-0.00037774+0.00011534i,-0.00021435-0.0001101i,0.00012736-0.00070108i,0.00082722-0.00066741i,0.00077271-0.00042414i,0.0011293-0.00028181i,0.0010259+8.7458e-05i,-0.00054043+0.00017624i,-0.00075046+0.00027859i,5.1088e-05-0.00023948i,0.00032266-2.9296e-05i,1.6188e-05+3.6504e-05i,-0.00028789-0.00042551i,0.00025424-0.0002304i,0.00046777-0.00023629i,0.00041526-0.00048109i,-1.1692e-05-0.00081323i,-0.00034577-0.00027506i,-0.00033356+0.00019705i,-0.00023135-0.00054074i,-0.00030592-0.0011968i,-0.00027208-0.0007212i,0.00027955-0.00011515i
-0.00021262+0.00071992i,-0.00042428+0.00032898i,0.00023023+0.0012506i,0.00075087+0.0014383i,0.0011687-2.0091e-05i,0.00079767-0.0014129i,1.034e-05-0.001167i,-0.00062036-0.00018232i,-0.00084564+0.00050331i,-0.00033057+0.00077861i,-0.00012218+0.00059265i,-0.00093632-3.1304e-05i,-0.00097349-0.00043018i,-0.00013797-0.00010096i,-0.00020419+4.6318e-05i,-0.0010016-0.00082041i,-0.0012638-0.0010957i,-0.0004811-0.00013783i,0.00016093+0.00025242i,0.00011148+0.00011948i,-0.00013726-0.00011595i,-0.00036903-0.00059936i,-0.00034797-0.00034499i
0.00072495-9.8596e-05i,0.00017999-0.00055302i,-0.00051114-0.00096064i,-0.00038394+0.00094704i,-0.00040461+0.0018749i,0.00013115+0.00090595i,0.0011078+0.00043988i,0.001205+7.8417e-05i,0.00073429+0.00080283i,-0.00056828+0.0006891i,-0.0011305-2.3859e-05i,-0.00056667+0.00034939i,8.3832e-05+0.00065544i,0.00028041+0.00044141i,0.0001235-3.5778e-05i,0.00029005-0.00041676i,0.00037889-0.00053475i,0.00037228-0.00034989i,0.00052781+0.00019792i,0.00076651+0.00047668i,0.00021252-0.000179i,-0.00041233-0.00016463i,-0.0004975+0.0001915i
-0.00064174-0.0011666i,-0.00010991-0.0013745i,0.0010947-0.00048157i,4.2257e-05+0.00027552i,-0.00038322+7.5921e-05i,0.00089164-0.00060639i,0.0010159-0.00057262i,0.00031432+0.00078581i,-0.00029264+0.0013841i,-0.00033769+0.00064884i,-0.00044683+0.00016922i,-0.00032522-0.00065569i,0.00034766-0.0010526i,0.00079268-0.00070268i,0.00071678-6.0391e-05i,0.00028923+0.00016779i,-3.5437e-05+0.00037105i,-0.00027402+0.00022457i,-0.00074982-0.00028035i,0.00012091+5.4281e-05i,0.00040566+0.00070443i,-0.00050449+0.00042151i,-0.00028263-0.00010653i
-0.0013256-0.00031978i,-0.0013632+0.00025768i,-0.0013191+0.00057352i,-0.00069751+0.00024051i,0.0010686+0.00077635i,0.0021673+0.00094007i,0.0015025-0.00036503i,0.00073424-0.00068561i,0.00066279+0.00066771i,0.00039759+0.0017143i,0.00041744+0.0013704i,0.00012831+0.00042541i,-0.00077198+0.00019633i,-0.001154+0.00022188i,-0.0014132-8.6285e-05i,-0.00064308-0.0001544i,0.00019251+6.6025e-05i,0.00051081+0.00038996i,0.00068957+0.00042973i,-7.7695e-06+0.00023971i,-0.00044569-0.00022117i,-8.3444e-05-0.00065442i,-0.00051312-0.00019915i
-0.00098579-0.0019983i,-0.00056021-0.001501i,-0.0005267-0.00069813i,-0.00046137+0.00036859i,4.9156e-05+0.00044888i,0.0012658+0.00052435i,0.0022958+0.00018862i,0.0015631-0.00023207i,0.00064039-0.00027535i,0.00040324+0.00029448i,0.00015913+0.0010803i,-7.7359e-05+0.0012296i,-0.00028798+0.00049258i,-0.00068348-0.0010234i,-8.7546e-05-0.00098901i,0.0003534-0.00024953i,-0.00030581-0.0001006i,-0.00055246-8.6892e-05i,-0.00055889+0.00030367i,-0.00058896+0.00023823i,-0.00080895-0.00032528i,-0.00082201-9.9494e-05i,-0.00018223+0.00038917i
-0.00044648-6.7689e-05i,-0.00016874+8.4085e-05i,0.00043674-0.00023778i,0.00055135-0.00039542i,0.00022414-0.00034464i,0.0012026+0.00013681i,0.0013688+0.00092306i,0.00083279+0.00079373i,0.00088984+0.00084555i,0.00029546+0.00084357i,6.4235e-05-0.00028439i,-0.00035406-0.00048064i,-0.00068884+0.00032464i,-0.00026073+0.00058148i,-0.00025913+0.00102i,0.00025807+0.0010617i,0.00013226+0.00058614i,-0.00060742+0.00026359i,-0.00018076+0.00032945i,0.00043261+0.0010205i,-0.00029229+0.00074251i,-0.00097737+0.00018368i,-0.00093129-7.6798e-05i
0.00023745-0.00030427i,5.5387e-05-1.1352e-05i,0.00072598+0.00020528i,0.0020291+0.00058677i,0.0032163+0.0003642i,0.002964-0.00031796i,0.0014895-0.00067021i,0.00011003-0.00050103i,-0.0011524+0.00010131i,-0.00095945+0.00071911i,4.0018e-06+0.00075155i,-8.4668e-05+0.00059281i,-9.1443e-05+0.00092343i,0.00047983+0.0010136i,-7.6018e-05+0.00022736i,0.00033046-0.00049251i,0.0005394-0.00026223i,1.6169e-05+3.3638e-05i,0.00012843-0.00017878i,-8.239e-06-0.00031227i,-0.00017711-0.00046545i,0.00022753-0.00073178i,5.5269e-05-0.00022669i
0.0010077-0.00022544i,0.00030355+0.0012424i,-0.00077511+0.0017977i,-0.0012392+0.0016696i,-0.00027784+0.0018819i,0.0011225+0.0020569i,0.0011951+0.00059766i,0.00042822-0.00024181i,0.00022832+0.00046679i,-3.7581e-05+0.00037399i,0.00087014-3.9741e-05i,0.0015753+5.7878e-05i,0.0012567+0.00017023i,0.0011633-7.7015e-05i,0.00073084-0.00010776i,-4.2321e-05+0.00026527i,0.00016974+0.0001982i,0.00056708+0.00052726i,-6.0561e-05+0.00028434i,0.00021488-0.00051621i,0.00096956-0.0007638i,0.0011826-0.00016958i,0.0003157+0.00029871i
-3.4599e-05+0.0010494i,-0.00013965+0.0010913i,0.00045989+0.00070189i,0.00038848-0.0012283i,0.0003503-0.0017657i,-0.00049795-0.0012869i,-0.00063677-0.0010943i,-0.00020393-0.00022616i,-0.00027137+0.00079247i,-0.00039112+0.00074227i,-1.2944e-05+0.00027723i,-0.00021095+3.6759e-05i,-0.00072555-1.4005e-05i,-0.00031019+0.00022142i,-2.4165e-05+0.00052124i,0.00018287+0.00057816i,0.00011319+0.00017548i,-0.00024118+0.00034854i,-0.00074536+0.00056546i,-0.00048901+0.00017728i,6.1907e-05+6.9803e-05i,-0.0003347-0.00019736i,-0.00025587-0.00041007i
0.0014863+0.00051201i,0.0016167+0.0011236i,0.0010573+0.00071256i,-0.00024368-8.8283e-05i,-0.00027484+0.0004498i,0.0014785+0.00093879i,0.0016033+0.0006449i,0.00057889+0.00061914i,-0.00032168+0.00076694i,-0.00068937+0.00069932i,-0.00010021+0.00020901i,0.000534-0.0001981i,0.0003325-0.0002541i,-0.00048932-2.9075e-05i,-0.00070461+0.00026603i,-0.00020464+0.00037347i,-0.00018647+0.00059433i,-0.00053431+0.00093808i,-0.00051794+0.0005582i,-0.00051632+0.00019998i,-0.000211+0.00034276i,-0.00037352+4.9178e-05i,-0.00032422+0.00048931i
-0.0018207-0.00070586i,-0.0011262-0.0015802i,-0.0010888-0.00053733i,4.2284e-05+0.0011337i,0.0017386+0.0015754i,0.0018738+0.00051881i,0.00068999-0.00052509i,-0.00036989+0.00035381i,-0.0010517+0.00079361i,-0.0010109+0.00084904i,-6.1847e-05+0.00061581i,-0.000311-0.00017019i,-0.00072677-0.00079759i,-0.00063051-0.00073367i,-0.00055202-0.00023573i,-0.00013403-9.9884e-05i,9.16e-06-0.0002584i,0.00016103-0.00030136i,0.00099757-0.00049028i,0.0013665-0.00062677i,0.00090468-6.5356e-05i,0.00032297+0.00060431i,-0.00018676+0.00046919i
0.0011497-0.00065966i,0.00049337-0.00049084i,0.00013995+0.00033676i,0.00030193-0.00012873i,0.00088481-0.0012548i,0.001323-0.00065062i,0.0010846+0.00020744i,0.00015307+0.00016852i,1.537e-05+0.0002634i,0.00015238-0.00045347i,-0.00022222-0.00078228i,-0.00079853-4.1678e-05i,-0.0011676+0.00027036i,-9.7705e-05+0.0003247i,0.00017037+0.00044736i,-0.00027768-9.095e-05i,0.0004375-0.00011661i,0.0010175+0.00040551i,0.0011924+0.00041689i,0.0015931+0.00021433i,0.0012635+0.00039336i,0.0005759+0.00091418i,1.9065e-05+0.00028478i
0.0011758-0.0011476i,0.001671-0.0010482i,0.0011154-0.00036072i,0.00019281+0.00065579i,0.0007133+0.0015383i,0.0014098+0.00072233i,0.0011407-0.00040738i,0.00081186-9.7391e-05i,0.00043082+0.00022209i,0.00037236+0.00058878i,0.00069103+0.0008384i,0.00080239+0.00060057i,0.00082501+0.0005247i,0.00028377+0.00082294i,0.00052453+0.00057993i,0.00064123+0.00026196i,0.0010282-0.00016806i,0.0013168-0.00049747i,0.00032677-0.00066154i,-0.00015187-0.00090366i,-0.00011839-0.00057094i,-0.00021084+0.00017924i,-0.00060296-0.00048431i
0.0011401-0.00043101i,0.0012117+0.00016622i,0.0014607+0.00039029i,0.0016941-0.00093144i,0.0013286-0.0016214i,0.00020822-0.0010979i,-0.00033893-1.8176e-05i,-6.3301e-07+0.0005901i,0.00029475+0.00034734i,2.2947e-05-0.00038204i,0.00041295-0.0010067i,0.00053573-0.00035947i,0.00035056+0.00016261i,0.00044518+0.0001831i,0.00023658+0.00037044i,1.4921e-05+1.4237e-05i,5.2852e-05+0.00066648i,3.331e-05+0.0012201i,-0.00048345+7.0879e-05i,-0.00060207-0.00018717i,-0.00033594-3.9378e-05i,0.00037556-0.00036286i,0.00051763-0.00033979i
-0.0016549-0.00093209i,-0.0014793-0.0011031i,-0.002009-0.0002527i,-0.00077723+0.00021268i,0.0010207+0.00022917i,0.0017802+0.00017737i,0.00075704-0.00050096i,-0.00010006+0.00020426i,-0.00039204+0.0013155i,-0.00076195+0.00069333i,-0.00068275+0.00022589i,-0.00050945+0.00016139i,-0.0004863+0.00022013i,-0.00060429+0.00047683i,-0.00015937+0.00044217i,0.00032551+0.00022314i,0.00083479+2.5302e-05i,0.0013105-0.00023901i,0.0011147+9.1021e-05i,2.5491e-06+0.00047831i,-0.00065313+0.00068937i,-0.00042271+5.7181e-05i,-0.00033584-0.00026957i
0.00012498-0.00031771i,-0.00011536+0.00031441i,-7.2971e-05+0.00045359i,0.00044859+0.0002917i,0.0007655+0.00068276i,0.0008215+0.00083234i,0.0011233+0.00020559i,0.0005731+0.00015015i,2.2097e-05+0.00011462i,0.00054051+3.1819e-05i,0.00030438+0.00016993i,-0.00040885-0.00024109i,-0.00073419-0.00041065i,-0.00063923+0.00024739i,-0.00013437+0.00093965i,0.00059262+0.0008806i,0.00038495+0.0003436i,-0.00012892+0.00016535i,0.00010734-0.00051864i,0.00046406-0.00063334i,0.0011106+0.00053344i,0.00099082+0.00036322i,-0.00014763-0.00018704i
0.00039185+0.00079717i,-0.0004559+0.00045364i,-3.9254e-05+0.00016165i,2.9034e-05+5.1201e-05i,0.00029341-0.0001988i,0.00066377-0.00047795i,0.00055878-0.00026156i,0.00050006+0.0010141i,-0.0003344+0.0014143i,-0.0010774+0.0007612i,-0.00016577+0.0004134i,0.0004445-0.00063086i,-8.3508e-05-0.00087842i,-3.2031e-05+0.00024818i,3.1763e-05-0.00027077i,0.00011027-0.00035326i,2.1401e-05+0.00058116i,-0.00015836+0.00045073i,-0.00018926-0.00031889i,9.7211e-05-0.00061546i,-0.00015239-1.0711e-05i,-0.00047989+1.912e-05i,-0.00062376-0.0003194i
-0.00038807+0.00075508i,-0.00060913+0.00013639i,0.00018258-0.0013103i,0.0015967-0.0013736i,0.0020038-0.00098266i,0.0012192-0.00062417i,0.00058802-7.4714e-05i,8.6704e-06-7.6099e-05i,-0.00028858-0.0001734i,-0.00010485-6.0184e-05i,0.00010094+0.00063166i,-0.00036228+0.00033965i,-0.00039477-0.00015021i,-0.00035759+0.00014294i,-0.00027744+5.1338e-05i,6.8325e-05-0.0002978i,0.00064975-0.0003756i,0.0011087-0.00065168i,0.00081953-0.00029291i,0.00013737+0.00021776i,0.00011048+4.176e-05i,8.9647e-05+7.565e-05i,-0.00044304+4.6487e-05i
0.00090834-0.001414i,0.00070301-0.0016405i,-0.00021719-0.0014807i,-0.0011818+0.00044047i,-0.0011251+0.0014219i,3.4083e-05+0.0015089i,0.0012272+0.001199i,0.00071369+7.7586e-05i,-6.3506e-05-0.00098666i,-0.00081729-0.0016409i,-0.00078101-0.0013851i,0.00040395-0.00063216i,0.00076356+9.4692e-05i,0.0010301+5.1914e-06i,0.00078063-0.0004226i,-5.3578e-06-2.8472e-06i,-0.00039548+5.2228e-05i,-0.00034735-0.00050123i,0.00041353-0.00082785i,0.0006278-0.00054528i,0.0002386-0.00073809i,0.00034787-0.00037898i,0.00033597+7.4407e-05i
0.00044721+0.00053269i,-8.4695e-05+0.00045447i,-0.00061222-0.00037115i,-0.00033811-0.00078909i,-2.23e-05-0.00090187i,-0.00062238-0.0010923i,-6.9892e-05-0.00024336i,0.00029892+0.00065472i,-0.00079505+0.00083654i,-0.0010741+0.00012479i,-0.00039598-0.0002413i,0.00045238-0.00025234i,0.00083965-8.1335e-05i,0.00027054+0.00058003i,-0.00058617+0.00059962i,-0.00051386+0.00034167i,-0.0001732+0.00039761i,-0.00024724+0.00023427i,0.00055488-0.00057372i,0.00068606-0.00078237i,-0.00036398-0.00015589i,-0.00045879+0.00030201i,0.00018609+0.00078625i
-0.0015003-0.00028337i,-0.00259-0.0001705i,-0.0024114+0.0010074i,-0.0014389+0.0019572i,-0.00012743+0.0015802i,0.0010124+4.2131e-05i,0.0010295-0.0011185i,0.00041247+0.00029985i,-0.00055526+0.0018682i,-0.00062696+0.0016159i,0.00025318+0.0011494i,0.00043933-3.2575e-05i,0.00040116-0.00095312i,0.00015416-0.00058021i,0.00025184-0.00044535i,0.00037787-0.0003202i,0.00012137-0.00041428i,0.00028896-6.9909e-06i,0.00022496+0.0001258i,-4.8999e-05-0.00059627i,-0.0005321-0.00090878i,-0.00086921-0.00078805i,-0.00026452-0.00037661i
-0.00084552-9.6316e-05i,-0.0012084-0.00012069i,-0.00057462+0.00017251i,0.00077204+0.00033258i,0.0022545+0.0013492i,0.0027266+0.0015405i,0.0021478-3.7104e-05i,0.0012481-0.00051628i,0.00034057-0.00027043i,-0.00023463-4.1764e-05i,4.0866e-05+0.00035261i,0.00021777+0.00074162i,-0.00032576+0.00058484i,-0.00040413-0.00036199i,4.4885e-05-0.0010599i,0.00043137-0.00033109i,0.00064872+0.00028988i,0.00062057-0.00013492i,0.00097919-0.00030315i,0.001202+0.00011253i,0.00064877+0.00028743i,0.00036293+0.00023169i,0.00033823+0.00050627i
-0.00071496-1.8596e-05i,-0.00092644-0.0009522i,-0.00073137-0.00064215i,-4.7658e-05+0.00060237i,0.00067642+0.00098723i,0.00097687+0.00030816i,0.00073699-0.00030233i,-0.00024355-0.00020907i,-0.001192+0.00052797i,-0.0015236+0.0011827i,-0.00083974+0.00098351i,-5.3878e-05+0.00070034i,-0.00036879+3.3172e-05i,-0.00026311-0.0002115i,7.0363e-05-5.3461e-06i,-6.4146e-05-0.00014518i,0.00015757-0.00028313i,0.00054658+0.00020475i,0.00046216+0.00049284i,0.00024754-0.00036488i,-0.00054437-0.00054651i,-0.00088899+0.0005138i,-0.00024527+0.00073708i
-9.7839e-06-0.00024261i,0.00018825+0.00044767i,0.00021327-9.313e-05i,0.00016443-0.00063003i,0.00056647-0.00041989i,0.0011894+0.00064898i,0.0011342+0.00031917i,0.00020602-0.00055669i,-0.0010475-0.00030584i,-0.00094299-7.0064e-05i,0.00038183-0.00021823i,0.00096486+0.00023668i,0.00098931+0.0010091i,0.00044429+0.0010248i,0.00032377+4.2739e-06i,0.00068302-0.0008556i,-0.00015885-0.00067769i,0.0003525+3.2153e-05i,0.00060041+0.00076252i,0.00070008+0.00066293i,0.00094532+0.00013642i,0.00039588-0.00042083i,0.0004987-0.00011284i
-0.00097044-0.0025308i,-0.00028065-0.0018332i,-0.00096793-0.00059319i,-0.0017716+0.00020999i,-0.0014217+0.0015099i,2.6359e-05+0.00039228i,0.0015126-0.00082715i,0.00078628+0.00028585i,-0.00081123+0.0010691i,-0.0005121+0.00072176i,0.0004461+3.2025e-05i,0.00088368+9.2108e-05i,-0.00019711+0.00056468i,-0.00070389+0.0003i,-0.00020297-0.00014839i,0.00026673-0.00070248i,0.00030104-0.00034764i,-0.00014847-0.0002095i,0.00022522-0.00063127i,0.00062618-0.00026954i,-0.00060597-1.3494e-05i,-0.0010207-0.00043541i,-0.0001013-0.0005471i
-0.00016608+0.0007584i,0.00063204+0.0011265i,0.00079747+0.0010398i,0.00028002+0.00090986i,-0.00021935+0.00092036i,-7.7064e-05+0.00043249i,0.00041076+0.00080813i,0.00090774+0.0011694i,0.00036009+0.0011092i,-3.4782e-05+0.0015492i,6.4402e-05+0.0014082i,-0.00015491+0.00094349i,-0.00060305+0.0011054i,-0.00082613+0.00079057i,7.5805e-05+0.00018364i,0.00050451-0.00033944i,0.00025015-0.00062056i,-0.00035018-0.00050804i,-0.00070342-0.00096185i,-0.00037149-0.00090057i,7.5246e-05-0.00017646i,0.00020536+0.00077083i,-0.00015741+0.00034029i
0.00093232+0.00034359i,0.00085741+0.00045392i,0.00083241+8.1377e-05i,0.0011416-0.0014622i,0.0020889-0.0024306i,0.0019582-0.0015609i,0.0011961-0.0007373i,0.00093219-0.00026331i,0.00074797+4.0485e-05i,0.00032499+0.00015962i,0.00034821+0.00029942i,-0.00036078+0.0005997i,-0.0011491+0.00088512i,-0.00054298+0.00043553i,-0.00037464-6.3777e-05i,-0.00050688-0.00050925i,-0.00091618-0.00067059i,-0.00036698-4.3817e-05i,0.00025703+0.0005147i,-2.0475e-05-0.00017088i,-0.00011245-0.00095259i,0.00019784-0.0005596i,0.00078491-0.00034183i
0.00064523+1.1868e-05i,0.00071584+0.00011793i,0.00073018+0.00068251i,-9.1705e-05+0.00042311i,-8.668e-05-0.00028664i,0.0010162-0.00093645i,0.0010763-0.00083799i,-2.6963e-05-0.00013299i,-0.00099509+0.00071979i,-0.00037762+0.0010678i,0.0001177-0.00018823i,-0.00026448-0.0012871i,-0.00083122-0.0010459i,-0.00093886-0.00023681i,-0.00066268+0.00086868i,-0.00020158+0.0012966i,0.0003245+0.0013944i,0.00023658+0.00077237i,0.00018462-0.00041322i,-0.00020134-0.00074568i,-0.00049565-0.00037031i,-0.00078084+0.00056171i,-0.00069507+0.000719i
0.0003481+0.00070915i,0.00066461-2.338e-05i,0.00069249-0.00064356i,0.00021944-0.0014448i,0.00019123-0.0014187i,0.001361-0.00081104i,0.0015627-2.8528e-05i,0.00093366+0.00062951i,0.00064789+0.00027147i,0.00041577+0.00014466i,0.00017832+0.00020561i,-0.00043197+6.6355e-05i,-0.00056642-0.00032707i,-0.00069431-0.00045445i,-0.0010523-0.00023987i,-0.00051375+0.00023952i,0.00038001+0.00040491i,0.00064043-0.00040707i,0.00065396-0.00039545i,0.0015127+0.00052296i,0.0018565+0.00067266i,0.00070568+0.00039867i,0.00017088+0.0006781i
