-0.0045251+0.001886i,-0.0033684+0.0025169i,-0.002802+0.0018699i,-0.0017672+0.0016724i,-0.0007156+0.002228i,-0.00010165+0.001477i,0.00012513-0.00016384i,0.00053128-0.000436i,0.00091118-0.00018429i,0.0014426-5.9731e-05i,0.0020935+0.00038411i,0.0011794+0.0004961i,-0.0001917-0.00012023i,-0.00026135-0.0005843i,4.6913e-05-0.00079882i,0.00041384-0.00031006i,0.00088933-0.00027113i,0.00065968-0.0011217i,0.00026282-0.00031463i,-0.00019672+0.00049831i,-0.00065947+6.7605e-05i,-5.8309e-05+0.0002704i,0.0011117+0.00059918i
-0.0021885-0.0014584i,-0.002315-0.00073491i,-0.001569-0.00013352i,-0.00093129-0.00035831i,-0.00026736-0.00012444i,4.7372e-07+0.00019016i,-9.0286e-05+0.00027867i,9.9767e-05+0.0010326i,0.00047338+0.0012157i,0.00041959+3.82e-05i,0.00027988-0.00099483i,0.00044304-0.00081716i,0.00092617+8.2694e-05i,0.00069517+0.0011618i,0.00065636+0.00052983i,0.0009078-0.00014238i,0.00071227-0.00027636i,0.00097956+0.00015145i,0.00064005+0.0002271i,0.00015104+0.00037572i,-0.0002797+0.0004072i,-0.00016223+0.00011795i,0.0005781+0.00020147i
-0.00015737+0.0034853i,-9.9002e-05+0.0022656i,0.00061847+0.0015773i,0.00075293+0.0013586i,0.00044877+0.00074352i,0.00023803-0.00058342i,-9.2896e-05-0.0009628i,1.6463e-05-0.0006526i,0.00022907-0.00083108i,0.00048761-0.00058076i,0.0006853-0.00047275i,0.00046264-0.00035412i,0.00064683-0.00016082i,0.00072683-0.00045616i,0.00045521-0.00067407i,-9.6216e-05-0.00010311i,-0.00030128+0.00039548i,0.00012763+0.0005075i,7.2356e-06-0.00015866i,-0.00020894-0.00033431i,1.5899e-05-5.847e-05i,0.00059187+0.00023725i,0.00053449+4.5945e-05i
-0.00037505-0.0033259i,-0.0015814-0.0035345i,-0.002591-0.0027823i,-0.0013979-0.001529i,-0.0011331-0.0003241i,-0.0014115+0.00018595i,-0.00098678-0.00034443i,-0.00017714-0.0010142i,0.00056464-0.001017i,-2.2639e-05-0.0010486i,-0.00042332-0.00084121i,0.00044675+0.00012155i,0.00064362-4.9463e-06i,-9.3406e-05-0.00045447i,-5.0366e-05-0.00044474i,-4.41e-05-0.00072383i,-0.00017953-0.00069221i,-3.5942e-05+0.00024884i,-0.00011273+0.0011623i,6.7028e-05+0.00062836i,0.00037266+0.00020598i,0.00015983-9.107e-06i,8.1689e-05-0.00038264i
0.0023016+0.0023141i,0.0018037+0.0015985i,0.0013683-0.00019913i,0.0012493-0.001393i,0.0010618-0.0014007i,0.00024741-0.0011037i,-0.00068448-0.00075473i,-0.00097783-0.00061794i,4.0982e-05-0.00084988i,0.00013885-0.0010853i,-0.00031417-0.0013576i,-0.00055331-0.00083261i,-0.00056846-0.00059653i,-0.00015967-0.00086829i,-0.00080748-0.00051204i,-0.0011247-0.00016232i,-0.00044021-9.4989e-05i,-0.001144+9.3117e-06i,-0.0012906-0.0001202i,-0.00057755+0.00015996i,-0.00030374+0.0002277i,-0.00046457-0.00058006i,-0.00043891-0.0010365i
-0.0015484-0.00049705i,-0.0012509-0.00017942i,-0.00091558+0.00086008i,-0.00053723+0.0017889i,2.6736e-05+0.0018574i,-2.4723e-05+0.0013642i,-0.00010792+0.00064431i,0.00060868+0.00068756i,0.00083091+0.00038075i,0.00022511+0.00032323i,0.00016126+7.3715e-05i,-4.4047e-05-0.0005451i,-5.3917e-05-0.00020446i,0.00010869+1.8437e-05i,0.00049616-0.00049877i,0.00065444-0.00023921i,-0.00015623+0.00030027i,-0.00014984+6.7392e-05i,0.00037705-0.00024843i,-0.00016746-5.2793e-05i,-0.00090404+0.00047632i,-0.00051022+0.00042369i,-0.00014519+0.00020251i
-0.00062842+0.00078818i,-0.00025746+0.0012517i,0.0012658+0.00085846i,0.0010933-3.0065e-05i,0.0002869-8.3346e-05i,0.00025539+0.00061848i,0.00064727+0.0010382i,0.00068365+0.001086i,0.00087257+0.00036114i,0.0014511-0.00040712i,0.0011335-2.3864e-05i,0.00031167+0.00087263i,0.0003281+0.00046749i,0.00059895+3.441e-05i,-2.027e-05+5.8268e-05i,-0.00062039-0.00048731i,-0.0015215-0.00092183i,-0.0011016-0.00018356i,0.00041191+0.00027332i,0.00085294-0.00046305i,0.00099715-0.00098008i,0.0016287-0.0001006i,0.001409+0.00074331i
0.00053117+0.0016027i,0.00060849+0.00022843i,0.00017367-0.00034129i,0.00040304+0.00015822i,0.00086363+0.00016443i,0.00034795-0.00070598i,-0.00052971-0.0011511i,-0.00088125-6.1908e-05i,-0.00092758+0.00069224i,-0.00098992+0.00055957i,-0.0012386-9.0164e-05i,-0.00016315-0.00083398i,0.00078932-0.0008963i,0.00032525-0.00023215i,0.00020007+0.00010833i,0.00026696+0.00012782i,0.00021956+0.00013168i,0.00016714+0.00027364i,-0.00010243-0.00022891i,-1.6611e-05-8.7804e-05i,-8.8003e-05+0.00065595i,-0.00062192+0.00036837i,0.00026464-0.00012012i
-0.00089433-0.00034905i,-0.0015945+2.3023e-05i,-0.0016738+4.0207e-05i,-0.00067822+0.00036339i,0.00034153+0.00087333i,8.718e-05+0.0011142i,-1.1219e-05+0.00086933i,-8.7996e-05+0.00021104i,-0.00033832-0.00028943i,-0.00013876+6.6953e-05i,0.00011904+0.0007834i,0.00054724+0.0004581i,0.00085201+6.2766e-05i,0.00090851+0.00012924i,0.00098916+0.00013585i,0.00075258-7.7312e-05i,0.00040076+9.2209e-06i,0.00025507+0.00014201i,0.00017662-0.00031112i,-0.00013295-0.00066736i,0.00012922-0.00017756i,0.00027511+0.00046491i,-4.5178e-06+0.00048583i
-1.4754e-05+0.001223i,-0.00025632+0.00014933i,-0.00018131-0.00048548i,0.00085906+0.00012291i,0.0011484+0.00031432i,0.00065111-0.00010257i,-8.2617e-06-0.00035486i,-0.0006445-0.0005404i,-0.00099201-0.0001262i,-0.0016634+0.00023069i,-0.0012303-3.6702e-05i,-0.0006139-0.00032539i,-0.00055861-0.0010095i,6.8381e-05-0.00080219i,0.00041367-2.7424e-06i,0.00032081+0.00026058i,0.00040155-0.00098394i,0.00037058-0.0016262i,3.7538e-05-0.00061489i,0.00038389+9.1958e-05i,0.00059833+0.00052924i,-0.00020013+0.00094169i,-0.00087975+0.00064912i
-0.00010754-0.0005472i,-0.000354-0.0010583i,3.9654e-06-0.00085822i,0.00038472-0.00037746i,0.00043427+9.7883e-05i,-2.7906e-05+0.00080242i,-0.00051125+0.0010851i,-0.00072582+0.0009775i,-0.00021232+0.00089501i,0.00038789+0.0002028i,0.00056974-0.00051929i,0.00038386-0.00069924i,-7.1262e-05-0.00096267i,-0.00010477-0.0010002i,0.00043982-3.5105e-05i,0.00090309+0.00055476i,0.00013867+0.00075593i,-0.0010437+0.00070967i,-0.00079571+0.0008581i,-0.00013866+0.00073584i,-0.00031803+0.00029073i,-0.00063029-0.00010878i,-0.00025842-0.00021604i
