0.0011899+0.00051085i,0.0019459-0.00074016i,0.0029923-0.0022496i,0.0031406-0.0032295i,0.0021144-0.0030721i,0.00089923-0.001542i,0.00045473-0.00033584i,0.00041541-0.00038418i,0.00029094-0.00065265i,0.0006247-0.00034019i,0.00063623-4.6293e-05i,4.7847e-05-0.00017638i,-8.468e-05-0.00031618i,-0.00010751+0.00025534i,5.9119e-05+0.00067175i,0.00051427+0.0005253i,0.00066847+0.00023721i,0.00078731-0.00025481i,0.00058695-0.00056298i,0.00088797-0.00021279i,0.00080835-0.00047611i,0.00016317-0.0012592i,4.9074e-06-0.00094301i
0.00034732-0.0013194i,0.0015149-0.002584i,0.0010954-0.003188i,-0.00018883-0.0021541i,0.00014719-0.0013756i,0.0019621-0.00078107i,0.0021408-8.0519e-06i,0.00089401+0.00068355i,-0.00038443+0.00087273i,-0.0010514+0.00097482i,-0.001175+0.00093164i,-0.00093039+0.00046306i,-0.00040801+0.00027407i,-0.00026129-0.00018713i,7.4301e-05-0.0010258i,0.00043807-0.0007262i,-0.00011912+6.4843e-06i,0.00034574+0.00051927i,0.0012378+0.00034307i,0.0010147-0.00011284i,0.00092954-0.00011832i,0.00072188-0.00021596i,0.00034441+5.754e-05i
0.0032189-0.00027353i,0.0039472-0.00093702i,0.0038666-0.0021829i,0.0029055-0.0024978i,0.0016693-0.0015601i,0.0011744-0.00099302i,0.00069997-0.00012853i,9.2944e-05+0.0010877i,-9.1537e-05+0.0012244i,-0.00027103+0.00087976i,-0.00010819+0.00088875i,0.00015945+0.00025811i,-0.00047012-0.0012167i,-0.00048829-0.0015755i,-0.00053085-0.0012724i,-0.00045861-0.0011168i,-0.00029822-0.00045813i,-0.00019265-0.0005972i,0.00061354-0.00088964i,0.00033676-0.00064647i,-0.00013471-2.6743e-05i,-0.00011729+1.3992e-05i,0.00016697-0.00020121i
0.0006761-5.6383e-05i,0.0016309-0.0016846i,0.0026338-0.0034508i,0.0023587-0.0044148i,0.0016733-0.0041026i,0.001077-0.0023965i,0.0011468-0.00049102i,0.00071779-0.00016607i,0.00021221-0.00029011i,0.00035544-7.966e-05i,0.00039474-0.00031703i,4.5517e-05-0.0014061i,-0.00068569-0.0020538i,-0.00011141-0.0013628i,0.00084092-0.00039201i,0.0010909+0.0004031i,0.00097674-9.0299e-05i,0.00052561-0.00083071i,0.00025766-0.0013339i,0.00060708-0.0011704i,0.00020074-8.3212e-06i,-0.00064729+0.00037383i,-0.00013866+0.00012379i
0.00051335+0.00029535i,0.00081103-0.0014897i,0.0013278-0.0020398i,0.00097652-0.0014295i,0.00088369-0.00013304i,0.0020439+0.00067011i,0.0018914+0.00048392i,-6.4903e-05+0.00010043i,-0.00074445+0.00029381i,-0.00047913+0.00036311i,-0.00090257+0.00056294i,-0.00093185+0.00028562i,-0.00043493-0.00043451i,6.6489e-05-0.000846i,0.00053558-0.0013047i,0.001167-0.00019427i,0.00099874+0.00081643i,5.1673e-05+0.00023782i,9.1908e-05+0.00015114i,0.00027489+0.00021212i,-5.0753e-05-0.00018499i,3.5466e-06-0.00041572i,0.00014509-9.3165e-05i
0.00069554+3.0311e-05i,0.0018706-0.0015524i,0.0029271-0.0015612i,0.0022648-0.001271i,0.0014087+0.00017152i,0.0020375+0.00016i,0.0014062-0.00076929i,-2.2855e-05+0.00030085i,-0.00045023+0.00102i,-0.0001421+0.00051605i,0.00076997+0.0005512i,0.00059996+0.00053942i,-0.00043001+0.00014568i,-0.00073677+0.00022148i,-0.0011351-8.1691e-05i,-0.00096637+4.0797e-05i,-5.511e-05+0.00022929i,-0.0001222-0.0003012i,-0.00083751-0.00027252i,-0.00088562-3.887e-05i,-0.00010821+4.4162e-05i,0.0002359-0.00030734i,0.0002547-0.00082742i
0.0011925-0.0009341i,0.0015684-0.0013305i,0.0016988-0.0017789i,0.00068613-0.0026054i,-0.00026097-0.0020349i,-0.00016723-0.00017805i,0.00014238+0.000942i,-0.00052356+0.00094621i,-0.00080249+0.00069855i,-0.00018989+0.00062777i,0.00027781+0.00023938i,-7.8023e-05+0.00016327i,-0.00038167-2.7959e-05i,-0.00097012-1.8093e-05i,-0.00081685+0.00051003i,-3.5032e-05+0.000561i,0.00043531-0.00035508i,0.00069398-0.00068335i,0.0004024+9.0792e-05i,8.476e-05+0.00088037i,-0.00023316+0.0006081i,0.00021342+0.00022771i,0.00079915+7.4482e-05i
0.0014745-0.0011382i,0.0015451-0.0015435i,0.0011043-0.0032782i,0.00085952-0.003253i,0.00099632-0.0017262i,0.0012407-0.0011731i,0.0014823-0.0008802i,0.00052739-0.00015792i,-0.00050653-0.00032871i,-0.00042658+0.0002017i,-0.0001082+0.0006641i,0.00010608+0.00039654i,-0.0003058+3.8384e-05i,-0.00016298-0.00038703i,0.00043135-3.353e-05i,6.5688e-05-2.8528e-05i,-0.00012551+5.7842e-06i,-0.0002081+0.00042146i,-0.00022339+0.00059622i,3.7974e-05+0.00089551i,-0.0006432+0.00089699i,-0.00063739+0.00016658i,-6.8078e-05+0.00071549i
-0.00042405-0.00061925i,-0.000168-0.00051669i,0.00067488-0.0015466i,0.001321-0.0019132i,0.0014819-0.0013641i,0.0011524-0.0010581i,0.00031878-0.00093012i,-0.00057256-0.00068108i,-0.00087455+0.00019939i,-0.00062117+0.001026i,-7.3761e-05+0.00062535i,0.00016278+0.0008703i,-4.9563e-05+0.0007605i,0.00029212-0.0003392i,0.00065543-0.00056315i,0.00057683-0.00059324i,0.00046073-0.0010847i,0.00064514-0.00076216i,0.00069374-1.247e-06i,0.0013204+0.00016307i,0.0013696+4.1578e-05i,0.00076908-0.00024364i,0.00075332-0.00044188i
0.0012048-0.00090312i,0.0024672-0.0022285i,0.0017592-0.003485i,0.00092884-0.0040119i,0.0011081-0.0026318i,0.0012508+0.00021938i,0.0011087+0.0015633i,0.00032768+0.0013417i,-0.00032602+0.001469i,-0.00076928+0.00086108i,-0.00084713+0.0001644i,-6.7865e-05+8.8654e-05i,-0.00018717+2.6599e-05i,-0.0012144-0.00044789i,-0.0011928-0.0010007i,-0.00070617-0.00093832i,-0.00020762-0.00092489i,0.00020942-0.00064451i,0.00046065-0.00015163i,0.00015713-0.00021537i,0.00017645+0.00010585i,7.0515e-05+0.0001454i,-0.00021915+0.00026462i
