-0.00068199-0.0012739i,-0.0018006-0.0016333i,-0.0019572-0.00097175i,-9.4339e-05+0.00016139i,0.0014068+0.00096924i,0.0014184+0.0011801i,0.0010016+0.0007267i,0.0013148+0.00028399i,0.0010699-0.00014923i,0.00046515-0.00096935i,-0.00010293-0.0010495i,-0.00028585-0.00049666i,-1.8478e-05-0.00079708i,-0.00025855-0.00071703i,-0.0010266+0.00021285i,-0.0013205+0.00055901i,-0.00092638+0.00078941i,-0.0004269+0.00017342i,-0.00044121-0.0010338i,-0.00081073-0.00085734i,-0.0010874-0.00026572i,-0.00050322+0.00023523i,0.00015067+0.00024797i
0.0014785+0.00034842i,0.001485+0.00045058i,0.002041+0.00045315i,0.0025115+0.0010816i,0.0028225+0.00027702i,0.0012552-0.00057585i,-0.00059786-0.00064847i,-5.4024e-05-0.00065651i,0.00062118-0.00079296i,8.4052e-05-0.00099898i,-0.00050611-0.0011313i,-0.00017515-0.0012469i,0.00094778-0.00048091i,0.0009055+0.00021975i,0.000446+0.00016041i,7.7836e-05+0.00095203i,-0.00060374+0.00051052i,-0.00096358-0.00068064i,-0.00048198-0.00042855i,0.00010674+0.0004905i,0.00027619+0.00066636i,0.00067107+0.00037941i,6.5224e-05-0.00023878i
8.0328e-05-0.00095347i,0.00060836-0.0015618i,0.00068508-0.0015381i,0.00088116-0.00023085i,0.0014242+0.00082018i,0.001821+0.00034719i,0.0011567-0.00023224i,0.00065837+4.8568e-05i,0.00042657-0.0010114i,-0.00034615-0.0017704i,-0.00057069-0.00018317i,-0.00026408+0.00074492i,-0.00023416+0.00034717i,-0.00050923-0.00022818i,-0.00070872-0.00051883i,-0.00069224-0.00052526i,-0.00027621-0.00020275i,0.00022774+0.0004807i,7.6525e-05-8.275e-05i,-5.5808e-05-0.0011841i,-0.00012134-0.0010938i,-1.1544e-05-0.00056608i,-0.00020276-0.00014613i
0.00069649-0.0017475i,-0.0008874-0.0007778i,-0.0012254-0.0006844i,-0.00063131-0.00031788i,-0.0002711+0.00050239i,0.00019717+0.00096947i,-3.0058e-06+0.00090188i,0.00077611+0.0008023i,0.0018742+7.9686e-05i,0.00070006-0.0009296i,-0.00077613-0.0012006i,-0.00034642-0.00080026i,0.00057436+0.000215i,-0.00038555+0.00088644i,-0.00085128+0.00051513i,-0.00074893+0.00066908i,-0.00099532+0.0010733i,-0.00011982+0.00064984i,0.00039631-2.1962e-05i,-0.00031138-8.5587e-06i,-0.00065351+0.00042958i,-0.00059173+0.00025907i,-0.00069599+0.00013374i
-0.00099143-0.0013709i,-0.0010399-0.0018439i,-0.00092367-0.001224i,-5.0301e-05+0.0011589i,0.0014497+0.0028074i,0.0026553+0.0020715i,0.0019834+0.0011536i,0.0010222+0.00031001i,0.0007027-0.00051498i,-0.00015837-0.00026712i,-0.0003957-0.00011136i,-0.00074395-0.00047502i,-0.00067893-0.00031165i,-0.00065134+0.00031164i,-0.00083322+0.0003091i,1.8288e-06-0.00032441i,0.00080502-0.0011915i,0.0006294-0.0012956i,0.00030788-0.0012119i,0.00053816-0.0013294i,0.00066905-0.0010835i,0.00067055-0.00038746i,0.00061788-0.00014404i
0.0012358-0.0006647i,-0.00049792-0.0008047i,-0.00094002-0.00058798i,0.00056379+0.00031286i,0.001189+0.00086414i,0.00043331+0.00045416i,0.00065742+0.00021435i,0.0014111+0.00021619i,0.00084723-7.1679e-05i,0.00023168-0.00067447i,0.00011944-0.00027892i,0.00053403+0.00053307i,0.00054376+7.8959e-05i,-0.00033365-0.00076177i,-0.00062386-0.00043126i,0.00027648-0.00012929i,0.00077385-3.4757e-05i,0.00021414+0.00036169i,-0.00023839+0.00037504i,-0.00040119-2.2633e-05i,-0.00079084+0.00028634i,-0.0005842+0.00074248i,-0.0002022+0.00011864i
-0.00056935-8.9097e-05i,-0.00028855+0.00038419i,0.00098311+0.00098248i,0.0019954+0.0020434i,0.0025519+0.0020209i,0.0019835+0.00081915i,0.00062685+0.00034952i,0.00010354+0.00089927i,0.00054131+0.0009614i,0.00085502+0.00012323i,0.00042948-5.7859e-05i,-0.0003399+4.3806e-05i,-0.00057586-3.2802e-05i,-0.00065539-0.0006957i,-0.00081471-0.0010701i,-0.0005904-0.00041545i,-0.00033804+0.00056252i,0.00011461+0.00080881i,2.9586e-05+0.00013795i,0.0002308-0.00026954i,0.0002345-7.1281e-05i,9.1475e-05+0.00021182i,-7.0764e-05+0.00021272i
0.0011148-0.0025098i,-5.061e-05-0.0020635i,-0.00098359-0.0026784i,-0.00096227-0.0013954i,-0.00054198-0.00038064i,-0.00031292+0.00017654i,0.00042804+0.0011464i,0.0014489+0.0011994i,0.0014134+0.00013119i,0.00052899-0.0008919i,0.0004128-0.00023457i,8.258e-05+0.00025622i,-4.5656e-05-4.1405e-05i,0.00063659-0.00014097i,0.00045853-0.00024868i,0.00027044-0.00048493i,-5.4792e-05+4.4527e-06i,-0.00065281+0.0002038i,-0.00072434+0.00015953i,-0.0010719+0.00033003i,-0.00099193+0.00022357i,-0.00072797-4.1878e-05i,-0.00035283+4.749e-05i
-0.0010399-0.00012742i,-0.00062296+0.00059128i,-0.0006936+0.0012503i,0.00041191+0.0025135i,0.00072566+0.0029589i,-0.00017983+0.00074568i,-0.00068353-0.00098522i,-0.00077441-0.00057872i,9.9689e-05-0.00094843i,0.00028901-0.0013169i,-0.00011176-0.00032413i,0.0011166-6.7609e-05i,0.001792-0.00048969i,0.00073249-0.0013795i,0.00019231-0.001797i,-0.00047662-0.0015639i,-0.00098503-0.00091461i,-0.00021359+0.00048178i,0.00010455+0.0005172i,0.00025477-2.5012e-05i,0.0006192+0.00068362i,0.00069194+0.00091208i,0.00013775+0.00049785i
0.0010301+0.001295i,0.00052037+0.0016619i,0.00044061+0.001568i,0.001727+0.0013595i,0.0035275+0.0011867i,0.0029226+0.00088814i,0.0016387+0.00078342i,0.0011147+0.000558i,0.00071146-0.00016327i,0.00061039-0.00088013i,0.00049024-0.0012373i,0.00014642-0.0011727i,0.00010835-0.00050829i,0.00073593-0.000345i,0.00056613+0.00029541i,-0.00039946+0.0011101i,-0.00073809+0.00076509i,0.00036337+0.00021471i,0.00037056+2.354e-05i,-8.9478e-05+8.548e-05i,-2.2668e-05+0.00010279i,-9.5562e-06-0.00028064i,-0.00010806-0.0005263i
