0.0013781-0.00099654i,0.0010647-0.0023011i,-5.2899e-05-0.0031196i,0.00023321-0.0016759i,0.00083001-0.0014459i,0.00023906-0.0010202i,-0.0010437+0.00053763i,-0.0010393+0.002585i,2.6116e-05+0.0033194i,0.0012293+0.001695i,0.0015697-0.00041915i,0.00097067-0.00081695i,0.00083694-0.00025232i,-2.5744e-05-0.00026815i,-0.00056253-0.0001426i,-0.0001848-6.4265e-05i,-0.0003844+0.00011954i,-0.00044049+0.00062248i,-0.0005422+0.00063483i,0.00011428-0.00022681i,0.00083742-0.00049263i,0.00065449-8.3162e-05i,-8.1074e-05+8.3229e-05i
0.00099515+0.0013634i,0.00096204+0.00085956i,0.00101+0.000274i,0.0017737-0.00037444i,0.0026237-0.0018065i,0.001892-0.0021511i,0.000191-0.001823i,-0.00077031-0.00083935i,-0.00045908+0.00022805i,0.00047303+0.00057652i,0.00073491-5.6e-05i,0.00051636-0.00070343i,0.00083822-0.00091394i,0.00084706-0.0017437i,2.8508e-05-0.0019628i,-0.00059471-0.0010318i,-0.0010899-0.00021744i,-0.00079772+0.00025612i,-0.00067012+0.00046061i,-0.0010351+5.2389e-06i,-0.00041778+1.548e-05i,2.9776e-05+0.00050746i,0.00037459+0.00040503i
0.001172-0.0025278i,0.0012598-0.0014964i,0.0012785-0.001495i,0.0021572-0.00078498i,0.0024132+4.468e-05i,0.0018589+0.00067229i,0.0010862+0.0013163i,0.00040876+0.0017757i,0.00022804+0.0018094i,-6.8973e-06+0.0017442i,5.0153e-05+0.00079222i,0.00072095+0.00023926i,0.00088206+0.00029088i,0.00083536+0.0001042i,0.00065381+0.00028426i,-0.00041027+6.422e-05i,-0.0013179-0.00013614i,-0.00046043+0.00011075i,0.00013141+0.00039568i,-7.3797e-05-0.00037251i,0.00010544-0.00059547i,-5.7271e-05-0.00031456i,-0.00050344-0.00029102i
-0.00021238+0.0011443i,-0.00020821+0.0014652i,0.00011853+0.00076157i,0.001378-0.00061506i,0.0021171-0.0015871i,0.0015242-0.002527i,-0.00014456-0.0020989i,-0.00091022+0.00036698i,-0.00051114+0.0020802i,-0.00040881+0.0013856i,0.00032866+0.0004768i,0.00083183-0.00064675i,0.00016819-0.0012286i,-0.00029547-0.00080349i,-0.00030678-0.00011777i,-0.00044093+0.00026222i,-0.0004685+0.00036251i,-0.00062315+0.0010076i,-0.00093416+0.0011674i,9.0937e-05+0.00037715i,0.00073483-0.00011676i,3.4259e-05+0.00028837i,-0.0001957+0.00062098i
0.00097741+0.0014778i,0.0011476+0.00089376i,0.001628+0.00066425i,0.0028603+0.00078878i,0.0036327-0.0003267i,0.0027347-0.001321i,0.00019318-0.0010167i,-0.00094729+9.7075e-05i,-0.00067446+0.000429i,4.42e-05-3.3695e-05i,0.00032786+0.0004462i,0.00057656+0.00089541i,0.0011676+0.00061843i,0.0013961-0.0006239i,0.00088343-0.0013969i,0.0001905-0.0010696i,7.3642e-07-0.0010706i,0.00022125-0.0010146i,-4.8636e-05-0.00041376i,-0.00035555+0.00086263i,0.00014039+0.0013374i,0.00044874+0.00030413i,0.00043305-0.00055693i
-0.00073198-0.0023144i,-0.0011861-0.0031202i,0.00022433-0.002416i,0.0011243-0.001937i,0.00089281-0.002789i,0.0014199-0.0027139i,0.0009286-0.0007359i,-0.00054151-0.00010218i,-0.00074324-0.00026387i,-0.0007072+0.0001255i,-0.00074068-7.3506e-05i,-0.00056709-0.00013328i,-0.00021916+0.00018432i,0.00031795+0.00037619i,0.00084023+7.1886e-05i,0.0009591-0.00064923i,0.00024488-0.00088264i,-0.00081273-0.00024771i,-0.00053512+7.9998e-05i,5.9566e-06+0.00027307i,-0.00052545+0.00049555i,-0.0009398+0.00029238i,-0.00061661-3.6095e-05i
0.0030234-0.00021415i,0.0028515-0.00072311i,0.0039797-0.002018i,0.0035027-0.0030691i,0.0033237-0.0029423i,0.0028254-0.0019954i,0.0013251-0.00011658i,0.00014699+0.0017745i,-0.0004042+0.0021166i,-0.00050137+0.0010231i,-0.00031188+0.0003042i,3.0209e-06-0.0007739i,4.1234e-06-0.0015312i,0.0003298-0.001519i,3.4966e-05-0.0017047i,-0.00083588-0.0011695i,-0.0012571-0.00046111i,-0.00044366-8.1907e-05i,0.00018941+0.00024084i,0.00051562-0.00027106i,0.00038457-0.00070409i,7.6258e-05-0.00063497i,0.00043521-0.00075296i
-0.00028202-0.00028348i,0.0013099-0.00095573i,0.0011885-0.00075293i,0.0010418-0.00061306i,0.0016388-0.00083701i,0.00090548-0.0016949i,-0.00065069-0.0014618i,-0.0013686+0.00034326i,-0.0010283+0.0010859i,0.00026444+0.00070058i,0.00065808+0.00062355i,0.00034463-0.00010517i,9.3967e-05-0.0004995i,-0.00044999-0.00014453i,-0.00026265+0.00025108i,-0.00036897+0.00022376i,-0.00039444-2.9398e-06i,1.8337e-05+9.02e-05i,-2.7181e-05+0.00018107i,-0.00045512-0.00012074i,-0.00040049-0.00043373i,1.9838e-05+0.00038209i,-8.3501e-05+0.0010706i
0.0012819-4.6123e-05i,0.00091955-0.00029628i,0.0012325-0.0010428i,0.0020944-0.0019123i,0.0032993-0.002685i,0.0023167-0.0027287i,-0.00048584-0.0018327i,-0.0019846-8.1457e-05i,-0.0014236+0.00073684i,-0.00023653+0.00087849i,0.00036953+0.00063794i,0.00070536+0.0003373i,0.00042493+0.00039978i,-0.00057462-0.00033391i,-0.00047239-0.0010773i,0.00038856-0.00035477i,0.00067621-6.2275e-05i,-0.00027995+0.0002059i,-0.00097153+0.0010038i,-0.00011272+0.00051791i,0.00064666+0.00025398i,0.00034037+0.00052418i,-0.00039305+0.00022223i
0.0022325+0.0014938i,0.002367+0.0012293i,0.002874+0.002348i,0.0034886+0.002303i,0.0037985+0.00088251i,0.0023796-0.00073837i,0.00057183-0.0010537i,-0.00061109+0.0006604i,-0.0010036+0.0023962i,-0.0004095+0.0016168i,0.00067144+7.6842e-05i,0.0016297-0.0013055i,0.0018741-0.00087901i,0.0013614+5.8215e-05i,0.0013851-0.00073976i,0.00047944-0.0013172i,-0.0002739-0.0014793i,-0.0001781-0.00076908i,-0.00050427-0.00012703i,-0.00026401-2.0929e-05i,-0.00025664+0.00052021i,-0.00068999+0.00028386i,-0.00064631-0.00084006i
0.00035245+1.7059e-05i,-0.00010926-0.00036446i,0.00049126-0.00066483i,0.0017965-0.001679i,0.0029454-0.0030463i,0.0031924-0.0030982i,0.0015885-0.0013463i,0.00017521+0.00026286i,0.00035686+0.0011626i,-0.00053771+0.0010481i,-0.0016034+9.4482e-06i,-0.0018085-0.00031897i,-0.0015356-0.00039891i,-0.00013806-0.0007988i,0.00039799-0.0003033i,-0.00024435+0.00025326i,-0.00035013+5.0298e-05i,-0.00072023-0.00015769i,-0.00087439-0.00050491i,-0.00045364-0.00061129i,-7.1155e-05+0.00031011i,-0.00015199+0.000283i,9.5836e-05-0.00056382i
0.00061573-0.00124i,0.00093498-0.0011633i,0.0006441+2.4842e-05i,0.0015823+0.00095816i,0.0032391+0.00068712i,0.002668+0.0005321i,-7.8803e-05+0.0010058i,-0.0012558+0.0019258i,-0.00053347+0.0019039i,0.00045355+0.00070845i,0.000531+1.6216e-05i,4.0773e-05+2.1139e-06i,-1.5439e-05+1.1182e-05i,-0.00031652-0.00061044i,-6.3196e-05-0.0012547i,0.00025369-0.00089157i,-9.3332e-06-0.00021218i,-0.00066557+3.4286e-05i,-0.001009+0.00014221i,-0.00097824+9.6096e-05i,-0.0013865-8.0489e-05i,-0.00061784+2.8864e-05i,4.9323e-05-0.0003554i
-0.00097148-0.0011455i,-0.00072506-0.00078451i,0.00062161-0.00020415i,0.0018781+0.00032304i,0.0020784-0.00040625i,0.002149-0.0020082i,0.00053622-0.0019014i,-0.0011622-0.00086234i,-0.0010491+8.2107e-05i,-0.00023891+0.0003896i,-7.0919e-05+0.00020257i,-0.00027989+0.00020932i,-0.00012824+0.00014974i,0.00015452-0.00043587i,-9.1674e-05-0.00076237i,-0.00070356-0.00071362i,-0.0010653-0.0010184i,-0.0010998-0.00085041i,-0.00054153+0.00020784i,0.00045715+0.0006445i,0.00068519+0.00015203i,0.00025355-5.2852e-06i,0.00031483+0.0010535i
-0.00070094-0.000301i,-0.00085337-0.00088237i,0.00053329-0.00061163i,0.0020044-0.00026296i,0.0024925-0.00056759i,0.0019566-0.0006122i,0.0010927-0.00067093i,-6.4501e-05-9.2104e-05i,-0.00022638+0.000369i,0.00050679+0.00040614i,0.00091465+0.00044333i,-9.5142e-06+8.0062e-05i,-0.00013512+0.00025808i,0.00069654+0.00039853i,0.00052269+0.00014544i,0.00075654+0.00019672i,0.00076305-1.4688e-05i,0.00048969-0.00036696i,0.0004846-0.00040494i,0.0005106-0.00097369i,0.00039045-0.00067179i,0.00055705+2.9665e-05i,0.00071512-0.00061423i
-2.5236e-05+0.00060666i,0.00019639+0.00067348i,0.0010847+0.0018811i,0.0026403+0.0013426i,0.0032122-0.00051697i,0.0017017-0.0013175i,-0.0004165-1.5821e-05i,-0.00090597+0.0011177i,-0.0010256+0.0018151i,-0.00062767+0.001784i,0.0001106+0.00068269i,0.00090383-8.0092e-05i,0.001062-0.00056326i,0.00031538-0.00065055i,-0.00046661-0.00048145i,-0.00067427-2.8168e-05i,-0.00050224+0.00038232i,-0.00040906+0.00026392i,-0.00012876+0.00036294i,-3.9476e-06+0.0007934i,6.3057e-06+0.00060305i,-0.00015194+4.1347e-05i,-0.00024334+6.522e-06i
0.00071857+0.0020692i,0.00048682+0.0012364i,0.0014888+0.0018152i,0.0031146+0.0023218i,0.0042745+0.0006974i,0.0026914-0.0015051i,-8.626e-05-0.0013672i,-0.00073844+0.00025944i,-0.00036315+0.0010053i,-0.00047054+0.00063684i,0.00017596-0.0001508i,0.00093184-0.00075452i,0.0013494-0.00074483i,0.0008002-0.00038008i,-0.00034649-0.0010179i,-0.00065754-0.0010616i,-0.00098475-0.00090645i,-0.00124-0.00069829i,-0.0014019+2.4095e-05i,-0.00038572-1.4027e-05i,0.00081959-0.00058851i,0.00090631-0.00060631i,0.00068184-0.00013434i
-0.0019541-0.0010425i,-0.0017885-0.00085638i,-0.0024495-0.00016565i,-0.0017141+0.00057368i,0.00028506+0.00036641i,0.0015674-6.3757e-05i,0.00027059+0.0001638i,-0.0016202+0.00064807i,-0.0016929+0.001019i,-0.00051425+0.0017222i,0.00040404+0.0018091i,0.00077847+0.0011498i,0.0010845+0.00097724i,0.0010685+0.00078303i,0.00025188-1.6966e-05i,-0.00010439-0.00029263i,-0.00036306+0.00044494i,-0.0008401+0.0012369i,-0.00030841+0.0011223i,-0.00033295+0.00032917i,-0.00090509+6.56e-05i,-0.00066453+0.00011583i,-0.0003021+9.8649e-05i
-0.0011645-0.00041508i,-0.0017305-5.878e-05i,-0.0010821-0.00063159i,0.0004975-0.00026068i,0.0011002-0.00045293i,0.0011465-0.001712i,0.00065326-0.0013428i,-9.6909e-05-5.3282e-05i,-0.00034933+0.00066177i,-0.00020315+0.0014332i,0.00018535+0.0014945i,0.0012027+0.0011065i,0.001273+0.001076i,0.001088+0.00058238i,0.0010784+0.00011749i,0.00029297-2.3621e-05i,-4.4773e-05-0.00045193i,-8.8817e-05-0.00017351i,-0.0006461+0.00032055i,-0.0005524+0.00032561i,-5.3796e-06+0.00016313i,0.00022644+0.00028218i,-9.8684e-05+0.00050012i
-0.00032399+0.00040612i,-0.00069358+0.00020854i,9.0996e-06-0.00020737i,0.0010586-0.00025796i,0.0016423-0.0012779i,0.0012276-0.0019576i,7.5163e-05-0.0014813i,-0.00092494-0.00080189i,-0.00082976-0.00049903i,0.00023358-0.00074827i,0.00040884-0.00063172i,-1.5963e-05-0.00026348i,0.00052468+0.00030307i,0.00041764+0.00052398i,-3.7994e-05+0.00012888i,-2.8671e-05+0.00027217i,-6.7473e-05+0.00049954i,-0.00019035+5.2564e-05i,-0.00065932-0.00067207i,-0.00025831-0.00049575i,9.2695e-05+0.0001832i,-0.00017125+0.00049114i,-8.0569e-05+0.00020399i
-0.00022114-0.0011157i,-0.00039727-0.001167i,-0.00033845-0.0015827i,0.0014318-0.001615i,0.0025394-0.0016376i,0.0016158-0.00096575i,0.00095855+0.00076961i,-7.5598e-05+0.0012056i,-0.00027343+0.0010566i,-0.00017579+0.0014621i,-0.00031394+0.0011504i,1.0297e-05+0.00051488i,-0.00018348-9.3848e-06i,0.00026112-0.00036768i,0.00083405-0.0010259i,-0.00023086-0.0011159i,-0.00042642-0.00046107i,-0.00027379+0.00013478i,-0.00094588+0.00019355i,-0.0003653-1.3219e-05i,0.00018431-0.00012184i,-8.56e-05-6.6707e-05i,-3.8871e-05+0.00045636i
0.0014835+0.0010784i,0.00072316+0.00016311i,0.0019492-0.00055107i,0.0027854-0.0010761i,0.0027965-0.0020575i,0.0014892-0.0023862i,-0.00092174-0.0011545i,-0.0012791+0.0017391i,-0.00093934+0.002338i,-0.00083824+0.00082373i,-0.00088245+0.0002205i,-0.0010408-0.00030489i,-0.00076135-0.0010246i,6.9689e-06-0.0017602i,0.00017919-0.001722i,-4.541e-05-0.00076071i,0.00037217+2.6084e-05i,0.00016468+0.00010303i,-0.00051238-0.00031074i,-0.00075741-0.00028108i,-0.00081395-0.00090673i,-0.00030672-0.0012261i,-2.8925e-05-0.00093855i
-0.003188-0.0010755i,-0.0026654+0.00038303i,-0.0023731+0.00056841i,-0.0012276+0.00033259i,0.00088443+0.00043868i,0.0022752-0.00044383i,0.0014817-0.00076635i,0.0002298+0.00021186i,-0.00032032+0.0010856i,-0.0003404+0.0012316i,-4.6897e-05+0.0010021i,-0.00080341+0.0010531i,-0.0014854+0.0012633i,-0.00041139+0.00053087i,3.9161e-05+7.6815e-05i,7.7065e-05+0.00024035i,-0.00011768-0.00048479i,-0.00049538-0.00087621i,-0.00091167-0.00088016i,-0.00076485-0.00062572i,-0.0006354+0.00010248i,-0.00015679+0.00024165i,0.00030488+5.5776e-05i
0.0019509+0.00060924i,0.0017963+0.00041047i,0.0022794+0.00066842i,0.0019837+0.00039355i,0.0024353-0.0012901i,0.0025532-0.0021319i,0.00035067-0.0011154i,-0.0010711+0.00070655i,-0.00070965+0.0014758i,-0.00038569+0.0006917i,9.3479e-05+0.0002553i,0.00060273-1.7901e-06i,0.00085785-0.0010337i,0.00065934-0.0015051i,0.00011336-0.00073355i,0.00046832+0.00021491i,0.00040431+0.00080588i,-0.00080369+0.00034837i,-0.0010655+0.00011574i,-0.00076982+0.00082445i,-0.00072077+0.00077161i,-0.00036483+0.00023114i,-0.00034037+5.5145e-05i
-0.00080751+0.00082718i,0.0017155+0.00026766i,0.0035009+0.00019284i,0.0036182-0.00019939i,0.00328-0.0007871i,0.0022256-0.0011593i,0.00085355-0.00096016i,-0.00040878+0.00034376i,-0.00090778+0.0015975i,-0.00073963+0.0013153i,2.8241e-06+0.00024934i,8.3263e-06-0.00010564i,7.8887e-05-0.00062537i,0.00068279-0.00067323i,0.00073191-0.00048905i,0.00034507-0.0007444i,-0.00032541-0.00080353i,-0.0010882+0.00011698i,-0.0010241+0.00033894i,-0.0001848-0.00016902i,0.00072649-0.00035819i,0.0012907-0.00055068i,0.00083525+0.00025166i
-0.00015293-0.0016728i,0.0011807-0.0020852i,0.0028188-0.0014653i,0.003626-0.0019618i,0.0027627-0.001979i,0.00113-0.0021593i,-0.00048633-0.00083276i,-0.001074+0.0013865i,-0.0010343+0.001557i,-0.00064331+0.0011415i,-0.00033282+0.00081229i,0.00033072+0.00088745i,0.00066003+0.0014341i,0.000809+0.0011957i,0.0010846+0.00024279i,0.00094518-0.00031865i,0.00025533-0.00011034i,-0.00028163+3.9113e-05i,0.00029423+0.00016048i,0.0010129+0.0003518i,0.00064053+0.00024961i,-4.0809e-05-7.0245e-05i,0.00015734-0.00042104i
-0.00034564-0.00075222i,-0.00041608-0.0005757i,0.00029429-0.00082529i,0.0010816-0.00095804i,0.0017886-0.00047967i,0.0016484-0.00030116i,0.0005792-0.00084354i,-8.1846e-05-0.00036307i,-0.00040973+0.00073i,-0.0001945+0.0009552i,0.00079956+0.00031416i,0.0012405-0.00010977i,0.00045233-0.00010161i,0.0003466+0.0001328i,0.0012286+4.2198e-05i,0.0015292-1.3191e-05i,-0.0001471+0.00040396i,-0.00082269+0.0011899i,-7.2407e-05+0.0010101i,-1.5196e-05-0.0001454i,-0.0002508-0.00025264i,-0.00029999+1.4843e-05i,0.0003911+0.00053139i
0.0006521-0.0007855i,0.00094685-0.00084504i,0.0011625-0.0013061i,0.0026363-0.0011094i,0.0028765-0.00069391i,0.0012558-0.00090698i,-0.00051229-1.9088e-05i,-0.0008601+0.0010084i,-0.00019588+0.00086308i,-0.00028509+0.0013335i,-0.00029839+0.0018357i,0.00056226+0.00091486i,0.00090804-0.00019298i,0.00042139-8.0426e-05i,0.00050091+0.00077692i,0.00062913+0.00034123i,0.00046105-0.00070766i,-0.00023751-0.00092712i,-0.0010026-0.00079554i,-0.00080189+5.6582e-05i,-0.00030224+0.00038327i,-0.0007133-0.00025336i,-0.00085531-0.00066987i
0.0011279-0.0011475i,0.0017066-0.00063408i,0.0013005-0.00034112i,0.00073467-0.0012583i,0.0010259-0.0019259i,0.00080815-0.0016266i,-0.00026058-0.00028635i,-0.00111+0.0014741i,-0.00080098+0.0010237i,-0.00038517+9.7949e-06i,0.00057409-0.00023956i,0.00037201-0.00072188i,-0.00098309-0.00083441i,-0.00081253-0.00074635i,0.00019622-0.00071462i,-8.5716e-05+1.5487e-05i,-0.00070407+0.00093185i,-0.00057975+0.00084094i,-0.00020069-2.9768e-05i,0.00042583-0.00012105i,0.00074912+3.994e-05i,4.4738e-05-0.00031021i,0.00024239+4.7722e-05i
-0.00138-0.0012936i,-0.0013694+0.00022235i,-0.00096304+0.0015537i,0.0011331+0.0013415i,0.0033175+0.00063759i,0.0036063-0.0012516i,0.00094169-0.0020091i,-0.0015476-0.001236i,-0.0014965-5.6588e-05i,0.00024317+0.0013379i,0.001409+0.0014586i,0.0014213+0.001035i,0.0012134+0.00066237i,0.00097482-0.0002215i,0.0012206-0.00021784i,0.0011287-0.00020464i,-7.778e-05-0.00026913i,-0.00077068+0.00012102i,-0.0010207+4.5174e-05i,-0.0013876+0.00050005i,-0.00036602+0.00059946i,0.00057128+0.00069489i,-0.00045551+0.00072458i
-0.00054622-0.00065622i,-0.00011753-0.00028582i,0.00036219-0.0011955i,0.00050098-0.002196i,0.00062693-0.001714i,0.00015875-0.001188i,-0.0014726-0.00078715i,-0.0019528+2.9182e-06i,-0.00071008+0.00049824i,0.00070094+0.00077431i,0.00065933+0.00074741i,0.00036617+2.3994e-05i,0.0011173-0.0004276i,0.0017215-0.00088733i,0.0012795-0.00090045i,8.7079e-05-0.0010124i,-0.0010972-0.0010028i,-0.00126-0.00076676i,-0.00080372-0.0017309i,-0.0011117-0.0012277i,-0.0014482+2.6772e-05i,-0.00086646-0.00062895i,-0.00065554-0.00085244i
0.0013314-0.0012049i,0.001659-0.001277i,0.0022686-0.0014667i,0.0032549-0.00082057i,0.0034187-0.00085188i,0.0020159-0.0010256i,0.00074354-0.00023464i,0.00018176+0.00086434i,0.00022038+0.0012015i,0.00055584+0.00067784i,0.00039227+6.5909e-05i,7.6505e-06+0.00021799i,0.00022866-0.00013725i,0.00053544-0.00082436i,0.00016658-0.00055397i,-0.00041797-0.00037577i,-0.00060188-0.00087458i,-0.00099081-0.00096224i,-0.00074433-9.4085e-05i,-0.00058678+0.00037356i,-0.00045937-0.00039578i,-0.0004577-0.00042642i,-0.00020205+0.00011415i
-0.00099083-0.0023536i,-0.00079653-0.002107i,-0.00024814-0.0016011i,0.0010774-0.0016325i,0.0021484-0.0016707i,0.0021889-0.0014364i,0.00040891-0.00053081i,-0.0012235+0.00067883i,-0.00059471+0.0014374i,-0.00022342+0.0014185i,-0.00055317+0.00059864i,-0.0002121+0.0003076i,0.00058253+0.00018176i,0.00094622+0.00029929i,0.00021668+0.00084599i,0.00014216+0.001032i,0.00024594+0.00025495i,0.00014201-0.00032131i,0.00035737+7.0751e-05i,-0.0004284+0.00060678i,-0.0012331+0.00037869i,-0.0010219-0.00092429i,-0.00035987-0.0010109i
0.00083119+0.0020139i,0.0017645+0.0010142i,0.0027386+0.0010203i,0.003524+0.00036143i,0.0029303-0.0012705i,0.0014525-0.0018416i,-0.00063515-0.00081333i,-0.0014551+0.00055721i,-0.00015237+0.0018536i,0.0011127+0.0018327i,0.0011425+0.00023909i,0.0012161-0.00099146i,0.0012772-0.0011834i,0.00061247-0.0016139i,0.00013557-0.0014044i,-0.00019834-0.0011873i,-7.2193e-05-0.0011084i,-0.00021725+4.0967e-05i,-0.00018147+0.00091053i,-0.00024117+0.00075425i,-0.00063949+3.7708e-05i,9.0238e-05-0.00098773i,0.0004774-0.001021i
