-0.0022829+0.0002026i,-0.0020124-0.00011079i,-0.00249+0.00028862i,-0.0019724+0.00027793i,-0.0026888+0.00041768i,-0.0034904+0.0013503i,-0.0038847+0.0027023i,-0.0022916+0.003178i,2.2152e-05+0.0017839i,0.0011304+0.00053378i,0.0019237+1.5425e-05i,0.0011726+3.1542e-05i,0.00023047-0.00057747i,-8.7975e-05-0.0016584i,-0.0010317-0.0015143i,-0.0010802-0.00047897i,-0.00026967+0.00045771i,-0.00018725+4.6848e-05i,0.00026144-0.00017179i,0.00095537+0.00043971i,0.0009357+0.00075944i,0.00029175+0.00070732i,7.7138e-05+5.1993e-05i
0.0010001-0.001266i,-0.00016049-0.0012593i,-0.0015432-0.0019351i,-0.0021821-0.0029686i,-0.0031824-0.0022843i,-0.004101-0.00087735i,-0.0035566+0.00070972i,-0.0010264-0.00013029i,0.00095576-0.0017829i,0.00041204-0.0012318i,0.0001906+5.9696e-05i,0.00086447+0.0013896i,0.001019+0.0025965i,0.00071341+0.002044i,0.00014459+0.00060796i,-0.00048503-0.00038473i,-0.00048875+0.0002415i,0.00014688+0.00078358i,0.00035817+0.0008938i,0.00030797+0.00093548i,0.0001937+0.00040366i,0.00041448+0.00058294i,0.00060844+0.0013475i
0.0014282+0.0012574i,0.0003083+0.00040298i,-0.00022773-0.00063828i,-0.0010551-0.0013749i,-0.0025026-0.0020396i,-0.0040023-0.0015969i,-0.0038637+0.00015278i,-0.0016463+0.00072566i,0.00025905-4.7566e-06i,0.00048751-0.00047833i,-0.00012693-0.00055635i,-0.00081549-0.00033665i,-0.00064968-4.5551e-05i,-0.00037351+0.00014847i,-0.00099778+0.00041098i,-0.00065731+0.00056995i,-1.3452e-05+0.00080375i,-0.00019785+0.00096042i,-0.00073073+4.5728e-05i,-0.00068622-0.0007878i,-0.00025014-0.00062i,3.0135e-07-0.00034053i,-0.00012007-0.00036632i
-0.0012082-0.00041435i,-0.0010998-0.00043484i,-0.0002817-0.00079895i,0.00024069-0.00027397i,-0.0016737-0.00022646i,-0.002852-9.4559e-05i,-0.0012095+0.00082582i,0.00046353+0.0010088i,0.00060103+0.00030847i,0.00079474-0.00049i,0.00098231-0.00070938i,0.00076698-0.00056329i,0.00082309+4.8444e-05i,0.000611+0.00016531i,0.000346+0.00025153i,0.00010617+0.0011949i,0.00022621+0.0012487i,0.00037601+0.00035336i,0.00064058+0.0001719i,0.000432+0.00039753i,-0.00012908+0.00051334i,-0.00039882+0.0007086i,-0.00024365+0.000564i
-0.00077034-0.0010044i,-0.0010164-0.001513i,-0.0010484-0.00082899i,-0.0025314-0.00048329i,-0.0037198-0.0014687i,-0.0038925-0.00092749i,-0.0027985+0.00029741i,-0.0010911+0.00067079i,0.00018528-0.00071263i,0.00010603-0.0013027i,-0.00014533-0.00024027i,0.00066829+0.00011803i,0.00065985+4.9368e-05i,0.00029811+0.00035108i,-0.00024909+0.00048916i,-0.0010051+0.00021927i,-0.0013802-1.7068e-05i,-0.00042544-5.1559e-05i,0.0010104-1.4518e-05i,0.0010499+0.0005685i,0.00044803+0.0011697i,0.00015913+0.00093785i,0.00021909+0.00033529i
0.00020983+5.323e-05i,0.00014286-0.00023741i,-0.00048399+1.1233e-05i,-0.0018749-8.2277e-05i,-0.0035257-0.0012367i,-0.0039925-0.0018699i,-0.0031809-0.00021753i,-0.0016586+0.0006708i,-0.00041478-0.00019914i,0.00044255-0.00045975i,0.001121-0.00027369i,0.00077952+3.5995e-05i,0.00033764+0.00038723i,-8.5069e-05+0.00031635i,-0.00080333-0.00012854i,-0.00078561+9.3116e-05i,-0.00025649+0.00091895i,-0.00022935+0.00088738i,0.00029472+0.0007388i,0.0004937+0.00051396i,0.00012282+0.00019648i,0.00027947+0.00031634i,0.00060595+0.00055995i
-0.00062041-0.00062263i,5.7984e-05-0.00063128i,-0.00015903-0.00056378i,-0.00036339-0.0015593i,-0.0014091-0.0022472i,-0.0027531-0.0021331i,-0.0020151-0.00049973i,0.00016441+0.00080025i,0.0016141-0.00023789i,0.0010969-0.00074188i,0.00068106-0.00022015i,0.00084154-0.00016486i,0.00012233-0.00018683i,-5.3608e-05-0.00034299i,0.00010634-0.00079162i,-0.00011983-0.00056633i,5.0452e-05-0.00039031i,0.00058062+0.00052069i,0.0008617+0.0005651i,0.00022096-0.000984i,0.00015472-0.0011216i,0.00031787+0.00015391i,-8.327e-05+0.00073551i
0.0016534-0.00026936i,0.0011995-0.00025237i,0.00057922-0.00031779i,0.00035146-0.0016523i,-0.0015386-0.002568i,-0.0030501-0.0014168i,-0.0021586-0.00052374i,0.00013021+0.00033672i,0.0012121+0.00059747i,0.0010402-0.00016377i,0.00075042-0.00037371i,-6.4943e-05+0.00070856i,-0.0011771+0.0012976i,-0.00054844-0.00017414i,7.0857e-05-0.00036853i,-0.0007125+0.00052433i,-0.00037967+0.00065455i,0.00018167+0.0010557i,-0.00014451+0.0013253i,9.1062e-05+0.00076353i,0.00065595+0.00011958i,-2.564e-05-0.00021496i,-0.00087289-0.00054127i
-2.0423e-05-0.0011023i,-1.9661e-05-0.00086828i,-0.00032896-0.0015273i,-0.0012862-0.0013923i,-0.0031124-0.00082364i,-0.0042041-0.00041464i,-0.0034064+0.00050616i,-0.00088184+0.00062044i,0.00011865+0.00049313i,-0.0005434+0.0003195i,-0.00065071-0.00023536i,-0.00093008-0.00027197i,-0.00049457+0.0001077i,-5.1405e-05-0.00018268i,-0.00070486-0.00013942i,-0.00088709-9.4553e-05i,0.00011644+0.00040879i,0.0004469+0.0014483i,1.2753e-05+0.0014835i,-0.00045898+0.00059614i,-0.00081312-0.00028179i,-0.00054211-9.5549e-05i,4.4873e-05+0.00042673i
0.0005697+0.0005295i,0.00061129-0.00042851i,5.9772e-05-0.001828i,-0.0015996-0.0025169i,-0.0023182-0.0026113i,-0.0025488-0.0014921i,-0.0025316+0.00013061i,-0.0014882+4.9989e-05i,0.00040222-0.0011943i,0.0011324-0.001425i,0.0010196-0.0010835i,0.00089913-6.5742e-05i,0.00060791+0.0009808i,0.00049944+0.0011363i,0.0001672+0.00092343i,-0.00075708+0.00040895i,-0.0010159+0.00073918i,-0.0003313+0.001629i,0.00013655+0.0016484i,0.00067591+0.0010439i,0.00047223+0.00025066i,0.00040442-0.00012406i,0.00060174-0.00014883i
-0.00042053+0.00042564i,-0.00048146-0.00031382i,-0.00070594-0.00012542i,-0.00010428+0.00014442i,-0.00076584-0.0003506i,-0.0024751-0.00019434i,-0.0017752+0.00067433i,-9.2343e-05+0.00016229i,0.0006574-0.00096304i,0.00035209-0.0010667i,-0.00024999-0.00077765i,-0.00051823+0.0001209i,-0.00083973+0.00086327i,-0.00086696+0.00028158i,-0.00045881-0.00040198i,-0.00062518-0.00014352i,-0.00081476+0.00035521i,-0.00034419+0.0010133i,-0.00037834+0.0010618i,-0.00047423+0.00028495i,-9.5079e-05-0.00048264i,-0.0002029-0.00048908i,-0.00030964-8.6871e-05i
-0.00089878-0.0011309i,-0.00061973-0.0013309i,-0.00036748-0.00075302i,-0.0012486-0.00055755i,-0.0022488-0.00047439i,-0.0027279-0.00050306i,-0.0018363+6.1563e-05i,-0.00020534+0.00053606i,0.00081085+0.00013535i,0.00023942-0.00056092i,-0.00047245-0.00079549i,0.00022379-0.00036006i,0.00041913-0.00018386i,0.00011363+2.727e-05i,0.00039133+0.00050243i,0.00086671+0.00036662i,0.00090034+0.00049637i,6.5829e-05+0.0007086i,-3.952e-05+0.00080802i,0.00025767+0.00080782i,0.00018256+0.00020584i,8.9786e-05-0.00048782i,0.00058914+0.00025414i
0.0014203-0.00061535i,0.00028301-0.0020267i,-0.00018996-0.0029095i,-0.00076334-0.0026969i,-0.0025782-0.002685i,-0.0041379-0.0013039i,-0.0033551+0.00042003i,-0.0015211+0.00076793i,9.5321e-05-0.00034906i,0.001071-0.0013415i,0.00066557-0.00083105i,-0.00025979+0.00042324i,-0.00017243+0.00063339i,2.7702e-05+0.00051782i,-7.791e-05+0.00053973i,-0.00013789+0.00079044i,-4.7591e-05+0.00086214i,0.00017902+0.00085836i,0.00050085+0.0011147i,0.00058244+0.0012258i,0.00064007+0.0015145i,0.00072306+0.0006446i,0.00064999-0.00031324i
0.00042919-0.00049149i,7.7191e-05-0.00062514i,-0.00011336-0.00092028i,-0.0010115-0.00033716i,-0.0024223-0.00087902i,-0.0030426-0.00059713i,-0.0018353+6.7993e-05i,0.00033667-0.00014063i,0.0010944-0.00028092i,4.7287e-05-0.00044132i,-0.0007538-9.2637e-05i,-0.0008539-0.00015639i,-0.00078857+0.00010846i,-0.00058225+0.00046124i,-0.00066842+0.00056506i,-0.00014076+0.00075644i,0.00082455+0.00086306i,0.00072828+0.00088472i,0.00044763+0.00044216i,0.00034833+0.0002035i,0.00034093+0.00027815i,0.00028923+0.00014864i,0.00025619+0.00035547i
0.00028531+0.00024787i,0.00023784-0.00031747i,0.0001246-0.0012108i,-0.00023954-0.0027158i,-0.001521-0.0036214i,-0.003216-0.002506i,-0.0026833-0.00033404i,-0.00027447+0.00071467i,0.001102+4.7793e-06i,0.0014966-0.00048024i,0.00068373-0.00053199i,9.9897e-05-0.00013718i,8.563e-05+3.2272e-05i,-0.00020574-6.3764e-05i,-0.00041212-0.00031779i,8.8217e-07-0.00030213i,0.00057649+0.00045939i,0.00065075+0.00091974i,0.00061917+0.0011912i,0.0012028+0.00099658i,0.0018042+0.00042226i,0.00063169-0.00013492i,-0.0010904-0.0011904i
-0.00094055-0.0011337i,-0.0013511-0.00083915i,-0.0025505+8.6587e-05i,-0.0028686+0.00042171i,-0.0031646-0.00021698i,-0.0036563-0.00099571i,-0.0025083-0.00082715i,-0.00061349-4.0746e-05i,0.00012704+7.8939e-06i,0.00023022-0.00034517i,0.00027979-0.00024342i,9.7465e-05-0.00015684i,-0.00031719+9.8372e-05i,-0.00068104-4.9672e-05i,-0.0004437-0.00076566i,0.00043901-0.00099527i,0.00043818+0.0002381i,-0.00031628+0.001059i,-0.00037945+0.00095489i,8.6881e-05+0.00079501i,0.00013562+0.00074981i,1.1597e-05+0.00066724i,-0.00052724+0.00060802i
-0.00072042+0.00091525i,-0.0015584+0.00060317i,-0.0020563-7.1238e-05i,-0.00078713-0.001037i,-0.00090074-0.0018357i,-0.0027576-0.0013273i,-0.0022393+0.00055663i,-0.00013826+0.0012761i,0.00090273+0.00017217i,0.0011274-0.00052831i,0.00084052-0.00055173i,0.000414-0.0004535i,7.2111e-05+0.00011689i,-0.00026864-0.00020008i,-0.00039095-0.00081918i,-0.00031475-9.2832e-05i,-0.00028025+0.0010966i,-0.00026648+0.0012906i,-0.0003433+0.00090395i,-5.2574e-05+0.00036699i,0.00058064-0.00049596i,0.00090552-0.00065547i,0.00029862-0.00059067i
0.00024806-0.0013109i,-2.6919e-05-0.00062892i,-0.0011981-0.00090861i,-0.0016353-0.0011667i,-0.0020724-0.00060579i,-0.0040682+0.00025112i,-0.0041787+0.0009254i,-0.001501+0.0011416i,0.00072574+0.00054292i,0.00069126+0.0002564i,-6.8866e-05+0.00043178i,-6.9713e-05+0.00081113i,-0.00036812+0.001002i,-6.1933e-05+0.00077724i,7.4606e-05+0.00054901i,-0.00021262+0.00078391i,-0.00011172+0.00084575i,-0.00040174+0.00042747i,0.00078128+4.0898e-05i,0.0013411-0.00021473i,0.00059894-0.0004074i,0.0004115-0.00034473i,3.052e-05-1.2006e-05i
-0.00085419-4.6315e-05i,-0.0011691-0.00052699i,-0.00095745-3.7835e-05i,-0.0012631+0.00040433i,-0.0017414-0.00097022i,-0.002289-0.0010403i,-0.0028251+0.00074843i,-0.001306+0.0007389i,0.00030134-0.00064647i,0.00082633-0.00090032i,0.00030633-0.00053017i,-0.00015361-0.0004154i,-0.00051027-0.00013699i,-0.00080457+0.00019171i,-9.2137e-05+0.00025695i,2.3004e-05+0.00033652i,-0.00062574+5.4584e-05i,-0.00081982+0.0004447i,-0.00037533+0.00058043i,-3.3609e-05+0.00048485i,-0.00061157+0.00012693i,-0.00070284-0.00018449i,-0.00033242+0.00038646i
0.00066634+0.0015836i,-0.00011455+0.00064787i,0.0005905-0.00037271i,1.9493e-05-0.0016485i,-0.001842-0.0023308i,-0.0027245-0.0020082i,-0.0021363-0.0004893i,-0.00092223+0.0003684i,-5.997e-05+0.00039885i,0.00073531+4.0791e-05i,0.0008887-0.00023879i,0.00063332-0.00036223i,0.00060522-0.00028288i,0.00015123-0.00022681i,-0.00063764-0.00071428i,-0.00032256-0.00082341i,-6.1439e-05+0.0002116i,0.0001032+0.0010707i,1.3398e-05+0.00085794i,-0.00029235+0.000201i,-0.00028845-0.00061194i,-0.00061408-0.00060566i,-0.00064898-0.00021126i
0.002072-0.00041835i,0.00049262-0.0012058i,-0.00054156-0.0025901i,-0.0018402-0.0036732i,-0.0038749-0.0034i,-0.0054609-0.0018949i,-0.0042507-0.00049545i,-0.001107+7.6889e-05i,0.0010106-0.00055549i,0.001357-0.0012664i,0.00090514-0.00055212i,0.00029837+0.00060119i,-0.00076727+0.00019089i,-0.00099758-0.00077221i,0.00020029-0.00034743i,0.00042145+0.00024446i,0.00023178+0.00023273i,0.00047197+0.00056022i,0.000524+0.0013478i,0.00053853+0.0015476i,-1.8641e-05+0.00073023i,-0.00047296-0.00026864i,-0.00023646-0.00080742i
0.00011286-0.0013118i,-0.00049887-0.00046141i,-0.00034278-6.4344e-05i,-0.00051909-0.0013344i,-0.001685-0.0022857i,-0.0032372-0.0019061i,-0.002572+0.00022814i,-0.00041801+0.00056751i,0.00059682-0.00048046i,0.000771-0.00090776i,0.00063349-0.00070868i,0.00038853-6.1579e-06i,0.00021152+0.00015195i,-0.00039859-2.1891e-05i,-3.9762e-05-0.00053233i,0.00089342-0.00061699i,0.00095909-0.00014444i,0.00070026-0.0001942i,-0.00014099+0.00029939i,-0.00032157+0.00075012i,0.00013909+0.00036471i,0.00017239+0.00032769i,0.000562+0.00032841i
-2.4527e-05+0.00012462i,0.00035172+4.0144e-05i,0.00047081+0.00034095i,-0.00049908+0.00055077i,-0.0020687-0.00012578i,-0.003726-0.00059821i,-0.0032009-4.7023e-05i,-0.0012561-7.9575e-05i,-0.00010874-0.0008551i,-0.00018164-0.00051662i,-0.00043863+0.00030039i,-0.00089897+0.00028966i,-0.0016074+2.8219e-05i,-0.00096555+0.00022617i,-4.24e-05-0.00012435i,0.00021694-0.0003974i,-0.00015133-0.00025385i,-0.00022739-1.065e-05i,-0.00027457+0.00021753i,-0.00036224+0.00026988i,-0.00091314-0.00030008i,-0.0010502-0.00033513i,-0.00032051-7.1774e-05i
0.00082281-0.00046555i,0.00011356-0.00074884i,4.5425e-05-0.00041274i,-0.00035165-0.0018385i,-0.0017376-0.0040461i,-0.0023165-0.0029824i,-0.001539-0.00021448i,-0.00024168+0.00082786i,0.00047657+0.0002128i,4.1647e-05-4.8826e-05i,-0.00065418+3.648e-05i,-0.00060659+0.00074163i,-0.00064566+0.0008268i,-7.4678e-05+0.00032617i,0.00023425-0.00025058i,0.00045183-0.00084427i,0.00081553-0.0004775i,0.00040748+0.00017414i,7.2556e-05+0.00068115i,-0.00028341+0.00065596i,-0.00048228+0.00055974i,-0.0004602+0.00044676i,-0.00021979+2.4084e-05i
-0.001108+0.0005675i,-0.00082541-0.00020799i,-0.0011818-0.0010486i,-0.0020664-0.00095597i,-0.0024602-0.00034666i,-0.0027561-6.5191e-06i,-0.0026223+0.00043931i,-0.00046951+0.00046533i,0.0010885-2.9984e-05i,0.00061789-0.00091433i,0.00054601-0.00096869i,0.00050147+0.00015433i,0.00016329-0.00018625i,-0.00030376-3.306e-05i,-0.00018919+0.00036559i,0.00098701+0.00021596i,0.0010905+5.331e-05i,0.00047347+0.00026911i,0.00029934+0.00048458i,0.0002468+0.00026108i,0.00019524+8.6004e-05i,2.51e-05-0.00022275i,4.7497e-05+0.00022056i
-0.00055252+0.00098751i,0.00083038+0.00042512i,0.00090491+0.0010888i,-0.00016292+0.00066354i,-0.0012596-0.0012965i,-0.002544-0.0017887i,-0.0025314-0.00049531i,-0.0012837-0.00014179i,-3.7494e-06-0.00047291i,0.00057947-0.00024847i,-0.00023556-0.00039709i,-0.00038025-0.0002102i,-0.00020113-5.5579e-05i,-0.00059748-0.00028232i,-0.0012381+0.00028474i,-0.0017716+0.0010304i,-0.0015477+0.0013569i,-0.00097857+0.00058162i,-0.00061687+5.8168e-05i,-0.00051506+0.00021352i,-6.2978e-05+0.00040055i,-0.00026641-0.00045198i,-9.8703e-05-0.00085889i
-0.00016243+0.00070208i,-0.00050153+0.00051247i,-0.00064321+0.00025646i,-0.00060836-7.3252e-05i,-0.0013533-0.00054156i,-0.0022026-0.0012069i,-0.0019947-0.00051097i,-0.001148+0.00020348i,-0.00022263-0.0006287i,0.00077915-0.00067735i,0.00094876-0.00018134i,-0.00060227-0.00030067i,-0.0011634-0.00062881i,-0.00037473-0.0006166i,-0.00029656+0.00011831i,-0.00035805+0.00091774i,-0.00041835+0.00048306i,-0.0011787-0.00032379i,-0.0010377-0.00080774i,-9.7975e-05+2.049e-05i,9.4107e-05+0.00035851i,0.00040438-0.00015154i,0.00093182+0.00023251i
0.001201+0.0019571i,0.0013911+0.00068273i,0.00092561+0.00030458i,-0.00012694-0.000512i,-0.0012085-0.0025457i,-0.0024149-0.0026922i,-0.0026411-0.00036788i,-0.0013804+0.0011657i,-0.00052124+0.00038159i,-0.00028947-0.0011618i,0.00010987-0.0011927i,0.00096167-0.00048158i,0.00061689-0.00022452i,-0.00014783-0.00048147i,-0.00027312-0.00029823i,3.03e-05+0.00057007i,0.00049685+0.0011201i,0.00030723+0.00040489i,-3.8408e-05-0.00032353i,-0.00038478-0.00030471i,-5.1259e-05-0.00021211i,9.5526e-06+8.2788e-05i,-9.7877e-06-0.00013285i
0.00068796-0.00092294i,7.5877e-06-0.0006213i,-4.2451e-05-0.00063883i,-3.5408e-05-0.0014804i,-0.0011202-0.0021946i,-0.002283-0.0018036i,-0.0023502-0.00044011i,-0.0011961-0.00018591i,-0.0003058-0.0012989i,0.0002389-0.0011789i,0.00027254-0.00018636i,-0.00021199+9.7799e-05i,-0.00068005+6.9643e-05i,-0.00094098+0.00029925i,-0.00090356-0.00014586i,-0.0010274-0.00050816i,-0.00066325-0.00013255i,-0.00014372+0.00019752i,-0.00017005+0.00038365i,-0.00034975-5.0434e-05i,-5.2323e-05-0.00021263i,-0.00047617-2.3258e-05i,-0.0010806-0.00012787i
9.6586e-05+0.00061369i,-0.00033227-7.2855e-05i,-0.0015184-0.00078967i,-0.0020346-0.00088632i,-0.0029517-0.00065043i,-0.0036145-0.00010174i,-0.0025868+0.00090081i,-0.00079946+0.0010249i,8.4709e-05+3.1316e-05i,0.00026593-0.00073876i,0.00030094-0.0012816i,4.3711e-05-0.001026i,-0.00040377-0.00064095i,-0.00066787-0.00070708i,-0.00059952-0.0003431i,-0.00079181+0.00035476i,-0.00024034-9.3508e-05i,0.00069533-0.00034635i,0.00088373+0.00011232i,0.00067099+0.00037201i,0.0011704+0.00043961i,0.00076982-6.5754e-05i,-0.00035441-0.00027306i
0.00015156-3.5792e-05i,-5.6505e-05+0.0004379i,0.00015978+0.0010138i,-7.3316e-05-0.00031866i,-0.0012925-0.0019141i,-0.0020589-0.0011087i,-0.0019383+9.7239e-05i,-0.00059018+0.00041751i,0.00042532+0.00028755i,0.00029471-0.00022784i,0.0005957+7.8456e-05i,0.00067713+0.00014558i,0.00056771+4.383e-05i,0.00096949-0.00015811i,0.00061613-0.00059429i,-0.00020499-8.4897e-05i,-0.00036727-7.4878e-05i,-0.00011092+0.00013424i,0.00021875+0.0016927i,0.00054567+0.0017094i,0.00094116+0.00066389i,0.00033768+0.00055672i,-0.00049173+0.00069327i
