-0.00028205+0.00054198i,0.00022211-0.00062176i,-0.00054753-0.0018182i,-0.00086205-0.0014671i,-0.00047434-0.0010507i,-0.001023-0.0010224i,-0.0017443+0.00046993i,-0.00041104+0.0019787i,0.0015303+0.0011668i,0.001333+0.00026515i,0.00055801-0.00014747i,0.00085102-0.00052323i,0.0011317-0.00010728i,0.00021885-6.0623e-05i,-0.00090791-0.00020942i,-0.00071788-3.7698e-05i,1.0798e-05+0.0001445i,0.00089131-0.0002085i,0.0014769-0.0003416i,0.0011224-0.00030871i,0.00041227-1.0226e-05i,0.00072205+0.00057756i,0.00084194+0.00061724i
0.00043254+0.00062916i,-0.0001229-6.6743e-05i,-0.0010295-0.00083867i,-0.0010588-0.0010082i,-0.00018105-0.0013943i,-1.1805e-06-0.0024025i,-0.0012635-0.0020668i,-0.0012721-0.00027962i,0.00053108-0.00026024i,0.0006115-0.001208i,-0.00034233-0.00052177i,-0.000333-8.7274e-05i,1.2976e-06-0.00046678i,-6.6254e-05-0.00046977i,-0.00036664-0.00038129i,-0.00036293-3.3355e-05i,-0.0001626+0.00026757i,-0.00019334-0.00049436i,-0.00037698-0.00076421i,0.00031348-0.00044413i,0.00043013+0.00015905i,-0.00023741+0.00069724i,-0.00053583+0.00036769i
0.0014575-0.0008845i,0.001068-0.0007016i,6.9755e-05-0.0014795i,0.00020491+8.3594e-05i,8.4447e-05+0.0021387i,-0.0001859+0.00082119i,-0.00040738+2.989e-05i,-0.00028718-0.00032857i,0.0012931-0.00052215i,0.0013373-0.00014344i,0.00065073+2.7614e-06i,0.00051505+7.0797e-05i,3.0672e-05+9.4456e-05i,0.00038305+0.00042357i,0.00042124+0.0002279i,0.00023532-0.001264i,0.00011803-0.0014667i,-0.00045315-8.5266e-05i,-0.00046287+0.00065881i,0.00014658+0.00039103i,0.00016342+0.00052164i,-0.00012933-0.0001379i,0.00015185-0.00092397i
-0.0024087-0.00030172i,-0.0014211-3.8013e-05i,-0.00098448+0.0002108i,-0.00089644+0.00050573i,-0.00084091+0.00030369i,-0.00060416-0.00029826i,-0.00057686+0.00014028i,-0.00030462+0.00083857i,0.0004624+0.00032228i,9.2758e-05-0.00075074i,0.00019393-0.00031575i,0.00054013+0.0004637i,0.00038452-0.0001058i,0.00056714-0.0010777i,-0.0001548-0.0014119i,-0.0010806-0.0011901i,-3.185e-05-0.00056602i,0.0011777-8.7884e-05i,0.00095235+0.00022962i,-9.9746e-05+0.00032416i,-0.00039943-0.00010684i,-0.00047466-6.0939e-06i,-0.00017786+0.00029673i
0.0001237-0.00027124i,-0.0005691-0.0011201i,-0.00089385-0.00077258i,0.00011254-2.8416e-05i,0.0010837-1.8868e-05i,6.8173e-05-0.00095211i,-0.0017933-0.0011085i,-0.0015395-0.00047055i,-0.00013674-0.00015547i,0.00037877+8.2416e-05i,7.8596e-05+0.00022289i,0.00021436+0.00033907i,0.0011443+0.00033536i,0.0007551+0.00044355i,1.8906e-07+0.00044567i,0.0003655+2.0367e-05i,-2.3245e-06-0.00017464i,-0.00072042+4.1645e-05i,-0.00058569+0.00032551i,-0.00031102+0.00010504i,3.2144e-05+0.00026517i,0.00024795+0.00079016i,0.00040343+0.00047846i
-0.00048696+0.0012714i,0.0002813+0.0012162i,0.000893+0.0021637i,0.0017253+0.0017042i,0.0018658+0.0010896i,0.0011395-4.3718e-05i,-0.00043136-0.0006716i,-0.00091311+0.00030983i,0.00082064+0.00020843i,0.0011963-0.0008013i,0.00071377-0.0007903i,0.0005377-1.9716e-05i,0.00043791-5.8858e-05i,0.00062026-0.00057754i,0.00024054-0.00066416i,-7.993e-05-0.00057197i,0.00046698+8.8267e-05i,0.00079728+0.00037294i,0.00086789-1.6997e-05i,0.00014027-0.00037408i,0.00030126-0.00021453i,0.0012127+0.00031136i,0.00069355+2.5177e-05i
0.00078081-0.0012352i,7.6841e-05-0.0013594i,-0.0014371-0.0012042i,-0.0014031-0.00010598i,-0.00036869+0.00034607i,6.4104e-05-0.00013936i,-9.2122e-05-0.0004313i,-1.8957e-05+0.0006606i,0.00068479+0.0010896i,0.00065188-0.00018168i,-5.8258e-06-0.00048943i,-0.0006273+1.6578e-05i,-0.00036475+0.00030551i,7.7996e-06-0.00018124i,0.00064877-0.0014029i,0.00060432-0.0013748i,0.00051176-0.00041229i,0.0002807-0.00012049i,-0.00015775-0.00037916i,0.00019827+0.00031065i,1.1994e-05+0.00072712i,-0.00054702+0.00016931i,-0.00040054+0.00011282i
-0.001204+0.0010318i,-0.00068837+0.0004379i,-0.00080894+0.00032384i,-0.00067759+0.00055968i,0.00040945-7.6516e-05i,0.00048498-0.00078209i,-0.00065123-0.00018328i,-0.00030848+0.00026919i,0.00074243+0.00045539i,0.00043471-3.1392e-05i,-0.00042582-0.0002659i,-0.00041507+0.0007247i,-3.6995e-05+0.00085572i,-3.8351e-06+0.00044365i,3.2782e-05+0.00015829i,-5.0115e-05-0.00064009i,-7.0552e-05-0.0013506i,0.0002897-0.0014038i,-6.6034e-05-0.00096613i,-0.00054447-0.00038534i,-0.00016871-0.00012056i,4.3748e-05-0.00029513i,0.00068075-0.00027098i
5.6738e-05-0.00049056i,-0.00017066-0.00074596i,-0.00077849-0.00052516i,-0.00054876-3.9337e-05i,-0.0001742-0.00057052i,-0.00104-0.0012858i,-0.0014189-0.0011854i,-0.00024902-0.00014514i,0.0012265+0.0006921i,0.00099456+0.00018225i,-0.00015265-7.3913e-05i,-0.00026521-2.5669e-05i,0.0003064-0.00066113i,0.0010502-0.00075759i,0.00053458-0.0012185i,-0.00068504-0.001593i,4.5706e-05-0.00069378i,0.00071785+0.00043041i,6.7263e-05+0.00027218i,1.578e-05-0.00040472i,0.0001271-0.00049195i,0.00027884+2.6148e-05i,0.00019468+0.0004075i
-1.2031e-05+0.0026581i,0.0003845+0.0017165i,0.000848+0.00090847i,0.00067779+0.00043283i,0.00078731-0.00039026i,0.00043015-0.0011723i,-0.00083406-2.197e-05i,-0.00067004+0.00082396i,0.00077123+0.00071766i,0.0010687-2.7056e-05i,0.00072565-0.00050456i,0.00042994-0.00079081i,0.00031585-0.00091036i,-0.0006698-0.00016339i,-0.00078976+0.00010218i,-0.00050694+0.00012938i,-0.0005633+0.000248i,0.00041189-4.5541e-05i,0.00078515-5.1531e-05i,0.00043482+0.00014352i,-0.00039282-0.0005283i,-0.00095861-0.00044688i,-0.00029948-0.00041278i
0.00020372-0.0014982i,-0.00062771-0.00039623i,-0.00031013+0.0002071i,-0.00069092+0.0012249i,-0.0012727+0.0012182i,-0.0011837-0.00031i,-0.0010216-0.00040681i,-0.00076205+0.00032557i,-1.4052e-05+0.00010365i,0.00016417+7.0768e-05i,-0.00025277+7.3857e-06i,-0.00027054-2.4307e-05i,-0.00038741+0.00048867i,-0.00024652+0.00080619i,3.3106e-05+0.00048248i,-0.00028488-9.1622e-05i,-0.00028034+0.00019895i,0.00018052+0.00069967i,0.00015466+0.00043425i,0.00025371+0.00026535i,0.00089665+0.00020452i,0.00056566+0.00023961i,-1.4229e-05+0.00011098i
8.0335e-05+0.00038852i,-0.0005076-0.00091416i,-0.0013434-0.0014583i,-0.0012004-0.00056465i,-0.00027425+0.00011948i,5.4421e-05-0.00078933i,-0.00043741-0.0015999i,8.2465e-05-0.00026842i,0.0010453-5.1087e-05i,0.00081984-0.00065187i,0.00015516-0.00063634i,-9.2189e-05+8.264e-06i,0.00013762+0.00053083i,0.00099246+0.00017431i,0.00038946-0.00056772i,-0.00063287-0.0011817i,0.00026895-0.00076109i,0.001046-0.00014938i,0.00036106-0.00018874i,-4.5489e-06-0.00014236i,0.00024229+0.00021687i,0.00017988-0.0001488i,-0.00027587-0.00049043i
-0.00028849-6.4682e-05i,-0.00081844+0.0010382i,-0.0010394+0.0015267i,-6.9386e-05+0.0011006i,0.00085571-9.3337e-05i,-0.00013272-0.0014701i,-0.0012255-0.00045914i,-0.00045221+0.0013595i,0.001024+0.0002809i,0.0014047-0.00098549i,0.00023373-0.0009849i,-0.00033028-0.0008163i,-9.3828e-05-0.00066611i,-0.00042525-0.00077073i,-0.00052915-0.0005243i,6.0104e-05-7.3158e-06i,-1.6111e-05+0.00050013i,-0.00019863+0.0005354i,0.00062739+0.00033596i,0.00031868+0.0003107i,-0.00078653+0.00010796i,-0.00069673+0.00023219i,-0.00011995-0.00033757i
-0.0014569+0.00024976i,0.00010442-0.00028186i,0.00065845-0.00055543i,0.00012441+0.00043544i,-7.8301e-05-4.9223e-05i,6.8157e-05-0.0015971i,-0.00025753-0.0011453i,3.1975e-05+0.00026876i,0.0012555+0.00071133i,0.0019952+0.00020217i,0.0011372-0.00048547i,0.00021793-0.00078386i,0.00027742-0.0010213i,0.00024843-0.00087281i,-1.9088e-06-0.0003741i,5.7579e-05-0.00063769i,-2.5068e-05-0.00026614i,0.00025845+5.9829e-05i,0.00069498+0.00014196i,0.00047802+0.00056976i,0.00012284+0.00091691i,0.00026769+0.00047964i,0.001031-0.00028435i
-0.00088889+0.00015657i,-9.8203e-05+0.00084638i,0.00050434+0.0021004i,0.0010347+0.0027057i,0.0015076+0.0027275i,0.00035155+0.0011978i,-0.00090135+0.00035336i,-0.00045225+0.00061411i,0.00015898+0.00041105i,-0.00068672+0.00035367i,-0.001278+0.00079114i,-0.00019905+0.0012123i,8.7489e-05+0.0010898i,-0.0001924-0.00017421i,-3.055e-06-0.00074157i,0.00044181-0.00062184i,0.00046906-0.00059185i,-0.00010872-0.00031688i,-0.00032919-0.00048312i,-0.00044816-0.00074454i,-0.00061748-0.00073164i,-0.00072712-0.00080235i,-0.00024584-0.00046185i
0.0003587+0.00071498i,0.00036149+0.00058438i,0.00014455+0.00045431i,-6.8201e-05-0.00017652i,0.00052722-0.0016491i,0.00026251-0.0026325i,-0.00033922-0.0019179i,0.00038325-0.00037569i,0.0018224+3.0126e-05i,0.0015809-0.00031701i,0.000776-0.00050145i,8.9351e-05-0.00056527i,-0.00041113-0.00092154i,-0.00045421-0.00080976i,-0.00043338-0.00043642i,1.9736e-06-0.00070116i,1.6366e-05-0.00079515i,0.00024052-0.00022058i,0.00083968-0.00010044i,0.00062052+0.00012442i,-0.00034484-0.00019844i,-0.00050376-0.00020407i,0.00085887+0.00039535i
-0.0010987+0.00061556i,-0.0011256+0.00065738i,-7.3319e-05+0.001508i,0.0012155+0.0023511i,0.0023326+0.0017462i,0.001745+0.00024056i,-0.00033319-0.00056663i,-0.00060671+1.8706e-06i,-6.3898e-05+0.00093649i,-0.00054081+6.8632e-06i,-0.00063152-0.00079517i,-6.5451e-05-0.00054794i,0.00043235-0.00018916i,0.00028171-3.6863e-05i,0.0010296-0.00020146i,0.0013433-0.00036396i,0.00051917-0.00016214i,2.1846e-05-0.00016544i,-0.00043239-0.00062158i,-0.00017311-0.00038371i,0.00030184+0.00059573i,0.00020853+0.0011824i,0.00042171+7.6545e-05i
-0.00074016-4.0365e-05i,0.00017142+0.00076127i,0.00027998+0.00082964i,0.00023442+0.00079492i,0.00065715-2.4316e-05i,-0.0003168-0.0012409i,-0.00087134-0.00074747i,0.00025395+0.00034471i,0.0012246+0.00022289i,0.00051278-0.00082287i,-0.00031236-0.00081042i,-0.00043339+1.8213e-05i,0.00020943-0.00037932i,0.00086219-0.0012031i,0.00062333-0.0013457i,0.00024092-0.00082965i,0.00044083-0.00017905i,-7.222e-05+1.6915e-05i,-0.00028068-0.00067083i,4.9535e-05-0.00082995i,-0.00034023+3.7794e-06i,-4.4562e-05+0.00020831i,0.00072534+9.226e-06i
0.001341-0.0015198i,0.0005519-0.001439i,-0.00044736-0.0017941i,-0.00047234-0.0021838i,0.00016272-0.0024313i,6.0428e-05-0.0023354i,-0.0007279-0.00093261i,-0.00079142+0.00047819i,0.00013759+0.00010069i,0.00068444-0.00091773i,0.00044559-0.00053017i,0.00074017+0.00035322i,0.00087661+0.00074018i,0.00082101+0.0013552i,0.00075564+0.00057458i,0.00063433-0.0013264i,0.00030844-0.001766i,-0.00047492-0.0005296i,-6.2444e-06+0.00024736i,0.00019354+0.00040201i,0.00027946+0.00076568i,0.00035466+0.00030807i,0.00023029-0.00023897i
0.0021507+0.00067628i,0.0018077+0.00028563i,0.0011691+0.00032621i,4.6157e-05+0.00084941i,-0.0013074+0.00060437i,-0.0019433-0.00046738i,-0.0011627-0.00068457i,0.0004008-0.00019407i,0.0011718-0.00041554i,0.0004226-0.0016888i,-4.4377e-05-0.0017912i,0.00011542-0.00019117i,-3.316e-05+0.00036176i,-0.00037732+0.00027996i,1.2215e-05-0.00015361i,0.00089426-0.00055624i,0.00087901-7.9697e-05i,0.00018783+0.00027053i,0.00060825+0.00041403i,0.00084421-6.3484e-06i,0.00044261-0.00039333i,-0.00011444-0.00047738i,-0.000525-0.0004825i
0.00080133+0.0002204i,-0.00030503-0.00060447i,0.00043633-0.00077883i,0.0013945-0.00039557i,0.0015725-0.00081947i,0.00077633-0.00042781i,-0.00048347-0.00031944i,-0.00046242-3.8669e-05i,0.00095041+0.000141i,0.0013905-5.3565e-05i,0.0008464+0.00064426i,0.00030666+0.00074449i,0.00032728+0.00036466i,0.00041969-0.00021333i,0.00027049-0.0004721i,0.00063714-0.00021052i,0.00108+0.00017184i,0.00084229+0.00031505i,-0.00020861-0.00040086i,-0.00057558-0.001169i,-0.00085899-0.00086777i,-0.00048965+0.00074375i,-0.00014743+0.00096543i
-0.00087255-0.0025648i,-0.0014453-0.0016132i,-0.0027515+0.00010764i,-0.0030976+0.0025697i,-0.0016616+0.0038781i,-0.00041141+0.0027127i,-0.00098254+0.001036i,-0.00046509+0.00081935i,0.00090654+0.00062268i,0.0010895-0.00029055i,0.00080238+0.00016665i,0.0013241+0.00092474i,0.001477+0.00052525i,0.0012065-0.00019741i,0.00060318-0.00045585i,0.00024704-0.0003935i,0.00052136-0.00048699i,0.00036371-0.00046526i,0.00075526-6.0245e-05i,0.00099355+0.00010327i,0.00079537+2.1485e-05i,0.00028511+6.2544e-05i,0.00023231-6.5108e-05i
0.0002609-0.00040237i,0.00081926-0.00028886i,0.0012806-6.1788e-05i,0.0021768-6.5855e-05i,0.0022095-0.0008365i,0.00094542-0.0019791i,-0.00020299-0.0021451i,0.0011025-0.00062295i,0.0021671+0.00035341i,0.0010617-0.00038917i,0.00023976-0.00061567i,0.00015549-0.00068732i,-0.0003285-0.0004005i,-0.00065657-0.00083465i,0.00012706-0.00068375i,0.00069102+0.00023294i,0.00040076-5.7438e-06i,0.00020671-0.00019082i,0.00075552+0.000419i,0.00049823+2.9442e-05i,-0.00044411-0.0004974i,-0.00075576-0.00043737i,-0.00094998-0.00028625i
-0.00024319+0.000254i,-0.00094445+0.00026169i,-0.001169+0.00068919i,-0.00036297+0.00093983i,0.00060257+3.7135e-06i,0.00095873+0.00037684i,0.00060356+0.00031258i,9.7907e-06-0.00013377i,0.00022314+4.45e-05i,0.00037662+0.00014552i,-0.00023425+0.00038978i,-0.00036874-3.2462e-05i,0.00020069-0.0001766i,0.00027777-0.00012361i,8.578e-05+0.00024026i,-1.9368e-05-0.00011198i,8.9407e-05-6.2341e-05i,9.667e-05+0.00022447i,-0.00046128-0.00045064i,0.00021556-0.00077479i,0.00045358-0.00033563i,1.3814e-05+0.0004624i,-7.9346e-05+0.0006169i
-0.0030083+0.001668i,-0.0018307+0.0028126i,-0.00045598+0.0049545i,0.00058931+0.0046861i,0.0015131+0.0012829i,0.0010398-0.0011335i,-0.00011297-0.0011128i,-0.00042435-0.00048454i,-0.00019319+0.00020165i,0.00087316+0.00036391i,0.001649+0.00032195i,0.00027635+1.624e-05i,-0.00092445-0.00071151i,-0.00090579-0.0010422i,-0.00031708-0.0011624i,9.6584e-05-0.00089049i,-0.00019254-0.00043887i,-0.00046112+0.00038855i,0.00013951+0.00084184i,0.00089434+0.00089313i,0.00088173+0.00080546i,0.0011921+0.00044346i,0.0015734+1.1227e-05i
-0.00098264-0.002497i,-0.00043969-0.0013805i,-0.00052496-0.00031518i,-0.0016744+0.00038779i,-0.0012639+0.00013374i,0.00018433-0.00071601i,0.00018986-0.00069349i,0.00025481-0.00023018i,0.0010892-0.00038283i,0.00017372-0.00079682i,-0.0004056-0.0006864i,-2.8281e-05+0.00076986i,0.00039599+0.0012734i,0.00050548+0.00043624i,5.2277e-05-0.00010034i,-0.00017359-0.00066909i,0.00041257-0.00056205i,0.00087746-8.7414e-05i,0.00082714-0.00021998i,0.00093183-0.00020583i,0.00071711-0.00021658i,0.00041699+4.6381e-07i,-0.00051621-0.00020909i
-0.0011363+4.6529e-05i,-0.00026395-0.00044083i,0.0010219-0.00078808i,0.00030486-0.00056981i,-0.00018721-0.00074121i,0.00057523-0.0012175i,-0.00027516-0.0012899i,-0.0008211-0.00028496i,8.785e-05+0.00022946i,-0.00035881-0.00048164i,-0.0011757+5.2255e-05i,-0.00027598+0.00077512i,0.00098244+0.00044343i,0.0011589-0.00031535i,0.000298-0.00042097i,-0.00074861-0.00043896i,-0.00094384-0.00070618i,-0.0004119-0.00038119i,0.00010689-0.00043022i,0.00082299-0.0011968i,0.00080274-0.001275i,0.00010293-0.00028901i,3.9662e-05+0.000752i
0.0012996+0.0011917i,0.0023836+0.0013006i,0.0034184+0.0016875i,0.0036596+0.0024283i,0.0039548+0.0014071i,0.0023417+6.2371e-06i,-0.00040335+0.00018242i,-0.00068679+0.00057081i,0.00024911+4.3153e-05i,0.00030136-0.00072353i,-0.00052042-0.00042404i,-0.00098883+0.00026337i,0.00015536+0.00020622i,0.0011844+2.458e-05i,0.00076121+0.00018758i,0.00011477+0.00011836i,-3.3228e-08+0.00024609i,-0.00025274+0.000354i,-0.00025738-0.00015605i,-0.00017846-0.00065646i,0.00016365-0.00076657i,0.0003263-0.00072396i,-0.00031536-0.00043864i
-0.00057163-0.0005024i,3.5873e-05+0.00093652i,-0.00034019+0.00074336i,-0.001316+0.00036518i,-0.001939-0.00096735i,-0.0015611-0.0013805i,-0.00089988-0.00029395i,0.00085244+0.00027104i,0.0019317+0.00034235i,0.00073052-0.00027708i,-0.00012675-0.0002588i,4.546e-05+0.00078452i,0.00019614-0.00018183i,0.00077387-0.0013424i,0.0010438-0.00062204i,0.0007629+0.00015128i,0.00027298-0.00027842i,-9.4219e-05-0.00032419i,0.00020976+0.00014735i,1.9728e-05-0.00021893i,-0.00067632-0.00040589i,-0.00078702-0.0003472i,-0.00020894-0.00048664i
0.0012149+0.00089735i,0.00065592+0.0013723i,0.0005923+0.001104i,0.0012579+0.00025761i,0.0029299-0.00080987i,0.0023314-0.0015377i,3.1401e-05-0.00077163i,0.00087861+3.9843e-05i,0.00215-0.00074061i,0.0016585-0.0013374i,0.00054401-0.00083578i,0.00032788-0.00049347i,0.0010075+0.0002068i,0.0011244+0.00069514i,0.00045047+5.6722e-05i,-0.00016796+7.7309e-05i,-0.00069806-0.00014936i,-0.00035682-0.0012221i,0.0004407-0.0010624i,0.001103-0.00022355i,0.00077508+0.00013663i,0.00057659+0.00033289i,0.00052933+8.1681e-05i
0.0012165+0.00023339i,0.0013871+0.00068443i,0.00042115+0.0005254i,-0.00093812+0.00049379i,-0.00092885-8.3726e-05i,-0.00079978-5.9776e-05i,-0.0011492+0.0008247i,-0.00020661+0.00088122i,0.0014238-0.00024452i,0.0022009-0.00086375i,0.0016745+0.00031589i,0.0012858+0.00072726i,0.00088555+0.00091698i,0.00012867+0.0012376i,-0.00041179+0.00069064i,-1.1927e-05+0.00057434i,0.00055926-9.0342e-05i,0.00043919-0.00067456i,0.00010042+6.5777e-05i,-0.00039251-0.00022657i,-0.00076059-0.0005552i,-0.00065452+7.8662e-05i,-0.0005932+0.00026621i
