0.00032733+0.0017514i,0.00053799+0.0025027i,0.0017823+0.0029983i,0.0019378+0.0010443i,0.0018397-0.00020513i,0.0013406+0.00023166i,0.00079283+0.0011415i,0.00048806+0.0015006i,0.00060408+0.0006618i,0.0005513-0.00029324i,-2.1344e-05+0.00024645i,-1.225e-05+0.0014752i,0.00033342+0.0019841i,0.00034893+0.0012799i,0.00043578-0.00013742i,0.00038006-0.0010166i,-0.00016105-0.00071907i,-0.00051018-0.00047698i,-0.00050266-0.00057381i,-0.00015209-0.00065705i,-0.00039007-0.00041038i,-0.00063249-0.00078561i,-0.0004086-0.0010707i
-0.00057076-0.00022767i,-0.00042089-0.00021058i,-0.00036717-0.0011867i,0.00018957-0.0012321i,0.00071987-0.0010864i,0.0011566-0.00055613i,0.00040167-0.00058245i,-0.00078014-0.00039349i,-0.00024655-0.00022487i,0.00065324-0.00028933i,0.00010231-3.0903e-05i,-3.9144e-05+6.4991e-05i,0.00070127+0.0002178i,0.00083292+0.0010643i,0.00099789+0.0014088i,0.0008765+0.00042745i,0.00017465-0.00018682i,-0.00040852+0.00056848i,-0.00028655+0.00037054i,0.0002948+0.00056441i,6.6361e-05+0.00063955i,-0.0010264-0.00038264i,-0.00079753-0.00010129i
-0.00057579-3.8175e-05i,-0.00017007-0.0010537i,0.00087862-0.00089058i,0.0023669-0.00011825i,0.0027413-2.9587e-05i,0.0019239-0.00077165i,0.0016322-0.0010108i,0.0015781+3.9365e-05i,0.001876+0.00066609i,0.001914+0.00054392i,0.0012908-1.3692e-05i,0.0010787+0.00015239i,0.00010245+0.00071013i,-0.00078173+0.0001321i,0.00010993-0.00040959i,0.0012596-8.5146e-05i,0.00099367+0.00043276i,4.7784e-05+0.00076084i,-0.00063626+0.00080203i,-8.7976e-05+0.00099913i,0.00022865+0.00061419i,-0.00024178+7.3485e-05i,-0.00014322+0.00023995i
0.0017313+0.00050651i,0.0015978-0.00024195i,0.0012474-0.0023167i,0.0013417-0.0021017i,0.0010412-0.0008857i,0.00030427-0.00059786i,-0.00020037-0.00027711i,-5.5511e-05+0.00059348i,0.00062684+0.00070648i,0.0013225-0.00019565i,0.0011609-7.1117e-05i,0.00055262+0.00029998i,-0.00046169+8.0456e-05i,-0.00098401-0.00029271i,-0.00026783+0.0002165i,0.00053136+0.00062345i,0.00094053+0.00030846i,0.0014114+0.00045409i,0.0014388-8.9644e-05i,0.00081314-0.00036717i,-0.00035443+0.00041748i,-0.00090705+0.0011698i,-0.00039204+0.0016497i
-0.00079347-0.00033411i,-0.0012701-0.00018042i,-0.0003794+0.00054125i,0.00090747+0.00063992i,0.0022998+9.8264e-05i,0.0031091-0.00088161i,0.0021304-0.00069479i,0.00038287+0.00031524i,0.00017685+0.00016611i,0.0011303+5.4897e-06i,0.0012595+0.00074404i,0.00050327+0.00079615i,0.00024875+0.00038666i,0.00064239-0.0001452i,0.0010259-0.00018758i,0.00086094+7.2854e-05i,0.00057013-3.6921e-05i,0.00042873+3.8595e-05i,0.00020409+0.00039299i,0.00018737+0.00063565i,0.00020202+0.00051332i,-0.00021014+0.00069458i,-0.00027528+0.00045207i
-0.00048889-0.0024828i,0.00028335-0.0021072i,3.7943e-06-0.0015799i,-7.9881e-05-0.0010176i,0.00081428-0.00070645i,0.00099919+0.00042501i,0.0007714+0.0010638i,0.001104+0.0013289i,0.0014191+0.0013963i,0.0014657+0.0012137i,0.00098745+0.0016221i,0.00056748+0.0022936i,0.00061384+0.0019873i,0.00097574+0.00098593i,0.0012075+0.00032226i,0.00095275+0.00035026i,0.00066384+0.00025167i,0.00012015+0.0001307i,-0.00045246-0.00044307i,-0.00069109-0.00034156i,-0.0008146+0.00057099i,-0.00045674+0.00062172i,0.00022504-0.00027886i
0.00028491+0.0011877i,1.8178e-06+0.00081151i,0.00040658-8.9785e-06i,0.0014714-0.00062076i,0.0024168-0.00091135i,0.0017717-0.0011793i,0.00066444-0.00035526i,0.00057425+0.00094858i,0.00083631+0.00081844i,0.0011701-4.8367e-05i,0.00068307-0.00034404i,-0.00017449-0.00057228i,0.00026388-0.00061565i,0.00088034-0.00024049i,0.00066819-0.00025165i,0.0006014-0.00067702i,0.00011694-0.00056901i,0.00017726+0.00046434i,-0.00023131+0.00068243i,-0.00038299-0.00083883i,-0.00010971-0.0012617i,-0.00019246-0.00035103i,2.7569e-05+0.00053946i
0.0023268+0.0014722i,0.0013422+0.0004243i,0.0022817-0.00056269i,0.0031638-9.7162e-05i,0.0030887+0.00056371i,0.0025812+0.00040572i,0.001583+0.0010671i,0.00097157+0.0017593i,0.001733+0.0014243i,0.001496+0.00051888i,0.00071064-0.00052803i,0.00016613-0.00059132i,-0.00063873+9.8955e-05i,-0.00030454+0.00087406i,0.00079339+0.00050306i,0.0011471-0.00093563i,0.0010902-0.00079148i,0.00042496-9.804e-05i,0.00052384-3.2792e-05i,0.00075134+0.00084896i,-0.00030787+0.0015988i,-0.0013463+0.0010695i,-0.0010971+0.00028884i
-0.00062056-0.00076919i,-0.00078533+0.00053635i,-0.00032583+0.0011305i,0.00029352-0.00034234i,0.00095008-0.0016753i,0.0013546-0.0012535i,0.0009348-0.00011994i,-0.00012477+0.00049508i,-2.8532e-08+0.00064841i,0.00056278+0.0010118i,1.2036e-05+0.00081174i,-0.00047179+0.00090531i,-0.00096696+0.00087991i,-0.0010548+0.00068117i,-0.00033661+0.0010173i,0.00014843+0.0010848i,0.00046555+0.00084035i,0.00035599+0.00057817i,-6.7092e-06+0.00037652i,-0.00074906+7.7581e-05i,-0.00089404-0.00061486i,-0.0007288-0.00082916i,-0.00080447-0.00012819i
0.00099948-0.00068346i,0.0014154-0.00069766i,0.0011947-0.0011623i,0.00135-0.0013226i,0.0011051-0.00083665i,0.00070321-0.00019729i,0.00035315-0.00042593i,0.00038684+0.00010609i,0.00038189+0.0016026i,-0.00065341+0.0014886i,-0.0012721+5.5874e-05i,-0.00089391-0.00026306i,-0.00057305+0.00066468i,-0.00031988+0.0011868i,9.0319e-05+0.00040849i,0.00020194+0.00025792i,0.00062672+0.00019997i,0.0010503-0.00012197i,0.00039263+0.00012006i,-0.00062095+0.00029275i,-0.00072701+0.00062807i,-0.0004306+0.00063003i,-0.00061834+5.5449e-06i
