0.00079959-0.00061647i,0.00083525-0.0016232i,-0.00063895-0.002672i,-0.0017827-0.0016318i,-0.0022169-0.00026431i,-0.0023592+0.00073116i,-0.00074828+0.0011207i,0.00063844+0.00090968i,0.00078988+0.00051082i,0.0010696-0.00089482i,0.0013471-0.0012313i,0.0011057+6.6646e-05i,2.8869e-05+1.1077e-05i,-0.00040918-0.00050546i,4.424e-05-0.00047286i,0.00037035-0.00047388i,-3.6854e-06-0.00068483i,-0.00030141-0.0010338i,0.00032869-0.00099486i,0.00015087-0.00066326i,-0.00014763-0.00095695i,7.1287e-05-0.0010113i,-0.00025395-0.00013304i
0.0013935+0.00036582i,0.0016079+0.00053046i,0.00088591+0.00018707i,-0.00067655-0.00043489i,-0.00062371+0.00011112i,0.00027599+0.00068361i,0.00017042+2.9856e-05i,-9.2961e-05-0.00065929i,0.00012415-0.0010659i,0.00051597-0.0013306i,0.00016981-0.00023184i,-0.00045899+0.00056013i,-0.00012019+0.0003196i,0.001041-8.9599e-05i,0.00086722-0.00020617i,0.00036437+3.3404e-05i,0.00051202+0.00045544i,0.00048951+0.00037867i,0.00016133-0.00057071i,-0.00051669-0.00058018i,-0.00063815+6.5239e-05i,0.00015947-1.6613e-05i,0.00011302+0.0001818i
0.0013184-0.0021979i,0.0013288-0.0032726i,0.00083943-0.0022342i,0.00018662+8.4825e-06i,7.1681e-05+0.00063189i,0.00058984+4.9295e-05i,0.00091235-0.00086674i,0.0001737-0.00065175i,-0.00051789+7.243e-06i,-0.00042424+1.988e-05i,0.00031149+0.00047458i,0.00060851+0.00075865i,8.031e-05+0.00097214i,0.00027134+0.00074187i,0.00075762+0.00029329i,0.00064735+0.00044539i,0.00040508-0.00054085i,0.00018292-0.0011874i,0.00038758-0.00043033i,0.00066191+0.00063981i,3.2376e-05+0.00093357i,-0.00029985+0.00052873i,-6.5962e-05-0.00032534i
0.00041993+0.0015814i,0.00031414+0.0015681i,0.00019538+0.0010715i,0.00032122+7.9545e-05i,0.00055086+0.00020998i,-5.2875e-05-0.00034139i,-0.00032625-0.00077i,0.00012821-0.00081072i,0.00066004-0.001033i,0.0011018-0.00021909i,0.0010675+0.00063386i,2.1312e-05+0.00084314i,4.8303e-05-0.00011435i,0.0011496+7.3859e-05i,0.00060654+0.00069157i,-0.00029685+7.9629e-05i,0.00069294-0.00054259i,0.0010705-0.00044011i,0.00011499+0.00052702i,-0.00034311+0.00063445i,-0.00088699+3.7314e-05i,-0.00078499+5.6371e-05i,5.2596e-06+0.00017246i
0.0016418-0.0016826i,0.0017854-0.0021302i,0.001156-0.0018513i,0.0002878-0.0014734i,-0.00035062-0.0011707i,-0.000128-0.00098613i,0.00030947-0.00073735i,0.00013712-0.00070101i,-0.00051113-0.001018i,-0.00040005-0.00061304i,-0.00062255-0.00011876i,-0.00029259-0.0001309i,0.00059658+0.00014725i,0.00035279+0.0007014i,0.00037111+0.00013006i,0.00022516-0.00051121i,0.00062937-0.00022951i,0.0010011+4.3625e-05i,-0.00034083+8.9941e-05i,-0.00078422+3.7359e-05i,5.7987e-05-0.0001209i,-5.7387e-06+6.1096e-05i,-0.00087075+0.00073961i
-9.9758e-05+0.0003074i,-0.0013657+0.0015383i,-0.0010916+0.0011159i,-0.00022462+0.00062976i,0.00028315+0.00024454i,0.00014819+0.00027719i,0.00018147+0.00033317i,0.00054262+0.0004455i,0.00045187+0.00039698i,0.00039633+0.0001266i,0.00040477+8.7561e-05i,0.00044455+0.00032465i,0.00030937+0.00091932i,0.00012002+0.0006992i,0.00063299+0.00068012i,0.00092873+0.00069994i,0.00090583+0.00013773i,0.00064833-2.4843e-05i,-0.0001407-8.1463e-05i,-0.0002884-0.00086844i,0.00061485-0.0011476i,0.00079752-0.00062893i,0.00034537-0.00039181i
-0.00011734+0.00020631i,-9.0251e-05-7.1922e-05i,-0.0001038-0.00010383i,0.00020512+0.00069104i,0.00078567+0.0013867i,0.00086123+0.00054619i,0.0012519-0.00086029i,0.001146-0.00080028i,0.00023639-0.00053799i,-0.00022697-0.00037128i,0.00025131-0.00041158i,0.00090489-0.00012602i,0.00048343+3.9854e-05i,-0.0004669-0.00082143i,-0.00032639-0.0013518i,7.0748e-05-0.00065531i,7.5036e-05+0.00013563i,0.00065093+0.00036847i,0.00053477-6.8575e-05i,0.00034428-0.00033179i,0.00055566+2.7343e-05i,8.7273e-05+0.00020942i,-0.0001243-0.00010114i
-0.00069949-0.00040205i,-0.00048698-0.00013596i,0.00034611-0.00076349i,0.00088926-0.00081505i,0.0006362+0.00012689i,-0.00014873-0.00010985i,-0.00010188-0.00099935i,-0.00017825-0.00073306i,-0.00036422-0.00039527i,-0.00047406-0.0003361i,-0.00037546+8.7595e-05i,-0.00013238+0.00079851i,-0.00019541+0.0011152i,-0.00019619+0.00043426i,0.00022634+0.0001524i,0.0002217+0.00020563i,0.00055037+0.0002408i,0.00082387-0.00014674i,0.00010064-0.0011464i,0.00012683-0.0010289i,0.00061068+0.0002936i,0.0007241+0.00041066i,-0.00013306-0.00072563i
0.001232+0.0011976i,0.001025+0.000852i,4.5652e-05-8.8661e-06i,5.9031e-05+0.00049861i,0.00017367+0.00095794i,0.00059049+0.00038193i,0.0010991-0.00054692i,0.00068646-0.0017133i,0.00052465-0.001917i,0.00036132-0.00075001i,-0.00028262-0.00024983i,3.2342e-05-0.00062932i,0.00052586-0.00038226i,0.00046626+0.00016323i,0.00026434-7.5533e-05i,-0.00070739-0.00010201i,-0.0012123+0.00043946i,-0.00044935+0.00063204i,0.00018265+0.0005754i,-3.9948e-06-0.00023902i,0.00042176+6.7959e-05i,0.00062492+0.00086658i,0.00039362+0.00018341i
0.0014121-0.0010921i,0.0012042-0.0012636i,0.0003613-0.0019882i,-0.00039769-0.0018558i,-0.00096197-0.00088725i,-0.00049035-8.6763e-05i,0.00048525-9.7042e-06i,0.00070206-0.0010208i,0.00034431-0.0015512i,-0.00010727-0.00074704i,0.00018107-0.00019253i,0.00056868+6.1749e-05i,0.00064118+0.00037186i,0.00071236+0.00013232i,0.00055647-5.2383e-05i,0.00029845+3.8301e-05i,-0.000452+0.00017687i,-0.00077636-0.00050883i,0.00015285-0.00077486i,0.00077109-2.9187e-05i,0.0011789+4.487e-05i,0.00095682-0.00025651i,0.00016011-0.0006468i
-0.00052048+5.6561e-05i,-0.0004742-0.00068042i,0.00016777-0.0010709i,0.00089631-0.00099037i,0.0011123-0.00093446i,0.00084765-0.00086139i,0.00030462-0.00054427i,0.00056511-0.00056186i,0.00069063-0.00085506i,0.00010961-0.00098084i,-0.000443-0.00033345i,-0.00062692-0.00018894i,-0.00024472-4.3092e-05i,0.00018527+0.00053363i,0.00041953+0.00082452i,0.00043844+0.00063033i,-1.527e-05+0.00050116i,-0.00047168+0.00017728i,0.00052611-3.7604e-05i,0.0014598+0.00070523i,0.00053845+0.0010223i,-0.00070621+0.00060404i,-0.0012833+0.00010487i
