-0.0025594+0.0011529i,-0.0015497+0.00074462i,-0.0008674+0.00076592i,-6.5782e-05+0.00063404i,0.00023502+9.6154e-05i,0.00075553-0.00040857i,0.00051731-0.00013691i,0.00034379+0.00043408i,0.00064809+0.000739i,0.00060284+0.00044961i,0.00049158-0.00051103i,-8.1035e-05-0.00080315i,5.0318e-05-2.7991e-05i,0.00042011-0.00033408i,-0.00011251-0.00074036i,4.726e-05-0.00028427i,0.00030026+0.00014735i,0.00021614-0.00014208i,0.00064703-0.00018099i,0.0010013+0.00067794i,0.0010518+0.00074024i,0.000391-0.00017566i,0.00010052-0.00074322i
0.00054611-0.00026489i,0.00092844-0.00088394i,0.00024881-0.0017047i,0.00063793-0.0025536i,0.00069704-0.0032109i,0.00030799-0.0030565i,-6.3479e-05-0.0015943i,-4.1415e-05+0.00022048i,-0.0002388+0.0012647i,-0.00015469+0.001285i,-0.0001057+0.00013392i,0.00018997-0.00055231i,0.00075279-0.00070312i,0.0010807-0.00093184i,0.00083534-0.00099111i,-2.2532e-05-0.00086745i,-8.3978e-05-0.001049i,0.00019176-0.00088175i,0.00043663-0.0008138i,0.00017187-0.00043479i,-0.00017369-0.00030852i,-4.7421e-05-7.7504e-05i,-0.00013812+0.00011289i
-0.00069534+0.00038642i,-0.00062781+0.00028549i,-0.00035915-0.00031245i,-0.00012201-0.0015612i,-6.0423e-05-0.0016919i,-0.00068454-0.0012503i,-0.00080107-0.0010337i,-0.00052001-0.00067131i,-0.00088714-0.00058469i,-0.0005716-0.00012489i,0.0002053+0.00076503i,7.5983e-05+0.00068696i,0.00011669-0.00031003i,0.00037092-0.00036339i,0.0002012-0.00023974i,0.00013244+0.00027837i,-5.4748e-05+0.00048856i,-0.00037274+0.00039114i,-0.00023374+0.0001703i,2.7505e-05-0.00053528i,-0.00027191-0.00040197i,-0.00054851-0.00033937i,-2.3637e-05-0.00067302i
0.00020516-0.0011652i,-0.0020027+5.7355e-05i,-0.0020861-0.0005737i,-0.0014699-0.0015467i,-0.0018696-0.0012198i,-0.0012839+0.00036368i,0.00020654+0.0010554i,0.00092126+0.0010903i,0.0007974+0.00083476i,-0.00050522-0.00028444i,-0.0011213-0.0012014i,-0.00068494-0.0010827i,0.00050595-0.00032145i,0.00076032-0.00030045i,-9.9936e-05-0.0004364i,-0.00043578-0.00022945i,-0.00056966-0.00062498i,-0.00095863-0.0011666i,-0.00096683-0.00079818i,-0.00027073-0.00050113i,-0.00035842-0.0002438i,-0.00078324+9.4953e-05i,0.00019158+6.7337e-05i
0.0013577+0.00014306i,0.001205-0.00063119i,0.0013715-0.0017538i,0.00027709-0.0025654i,-0.00085189-0.0030695i,-0.0010411-0.0023065i,-0.00078565-0.00082376i,-0.00021192-0.0001517i,0.00021164-0.00022078i,0.00054354-5.8341e-05i,0.0007684+0.00011754i,0.00065771-5.4e-05i,8.4324e-06+8.0621e-05i,-0.00073214+0.0004231i,-0.00068882+0.00044507i,-0.00087456+5.1842e-05i,-0.0013704-0.00021926i,-0.00051499-4.056e-05i,0.00059116-0.00043167i,-0.00021823-0.00066989i,-0.0010262-0.00043038i,-0.0014485-0.00018731i,-0.0010368+0.00020645i
-0.00055998+0.0022661i,-0.00072367+0.00095125i,0.00066415+0.00011628i,0.00048604-0.00059738i,-0.0002905-0.001321i,-0.00037697-0.0015608i,-0.0012192-0.00084819i,-0.0010406-0.00091163i,-0.00063381-0.001378i,-0.00087194-0.00094813i,-0.00089527-0.00013599i,-0.00058676+0.00041179i,-0.00058851+0.00058704i,-0.00091378+0.00033579i,-0.00056319-0.0001897i,-0.0005336-0.00047231i,-6.5059e-05-2.5487e-05i,0.0013535+0.00057562i,0.0017987+0.00075595i,0.00088147+0.00058277i,-8.1864e-05+1.3421e-05i,-0.00036265-0.0001066i,-0.00040192+7.2006e-06i
0.00064069+0.00085081i,0.0011048-0.0001663i,0.0012808-0.0012168i,0.001581-0.00054015i,0.0008564-0.0016381i,0.00020043-0.0023534i,0.00054815-0.00095835i,0.00011971+0.00013364i,0.00050013+0.00024278i,0.00070936-0.00068615i,0.00033768-0.0011328i,0.00014344-0.00015924i,-0.00056964+0.00084678i,-0.00053293+0.00079484i,-2.4143e-05+0.00023669i,0.00043788-0.00028844i,0.00084336+0.00022048i,0.0010081+0.0010873i,0.00025493+0.00055586i,-0.000402-0.00091043i,-0.00033196-0.0012978i,-0.00032937-0.0005469i,-6.7066e-05+0.0005235i
0.00031198+0.0011561i,0.0015302+0.00099991i,0.0022353+0.00017651i,0.0014645-0.0010181i,0.00057822-0.00089442i,0.00012459-0.00035524i,-0.00014116-0.0006201i,-0.00070138-0.00030259i,-0.00074267+0.00034827i,-0.00053248+0.0001253i,-0.00033377+0.00015374i,-7.2529e-05+0.00028866i,0.00024663+0.00010441i,-9.7218e-05-0.00023289i,-0.00077502-0.00034494i,-0.00048461-0.00079647i,-1.114e-05-0.0013069i,0.00032193-0.00080676i,0.00046405-0.00066392i,-0.00012787-0.00062634i,-0.00051285-0.0004798i,-0.00040783-0.00078074i,-0.0001467-0.00075876i
0.00013072-0.00030398i,-0.00015048+0.00059808i,-0.000154+0.00032461i,-9.2419e-06-0.00075358i,-0.00066316-0.0011149i,-0.0015367-0.00069543i,-0.00075437+6.8022e-06i,0.00017854-2.4206e-05i,0.00042934+0.00029645i,0.00060983+0.00018565i,0.00078184-0.00075725i,0.00043791-0.00048454i,0.00017076+0.00067309i,0.00030474+0.00066633i,0.00036511-0.00052366i,0.00063469-0.0006512i,0.00042109-0.00036485i,0.00056466-8.384e-06i,0.0012274-1.4033e-05i,0.0011301-0.00039988i,0.00043916+0.00038688i,0.00034187+0.00096478i,0.0007359+0.00073692i
-0.0014379+0.00027922i,-0.00039467+0.00019225i,-0.00066557-0.00063196i,-0.00073845+4.1411e-05i,-0.00062474+0.00040475i,-0.0008735-0.00031781i,-0.00095055-0.00015599i,-0.00046948+0.00019694i,-0.00012717+0.0002896i,-0.00052866+0.00048262i,-0.00027255+0.00038391i,-0.00020882+0.00018079i,-0.00060839+0.0001439i,-0.00058285-0.00010442i,-0.00071321-0.00016201i,-0.00087677-0.00013522i,-0.00046001-0.00026258i,-0.00015378-0.00055669i,9.8431e-05-0.00061209i,0.00030846-0.00012682i,3.1642e-05+0.00016718i,-0.00038035-5.5173e-05i,1.2358e-05-0.00038688i
0.00029927+0.00011056i,0.0018259+0.00027672i,0.0022295-0.00038195i,0.0013898-0.0014586i,0.00048629-0.0018456i,-0.0004686-0.0011272i,-0.00065402-0.00084497i,0.0003131-0.0015115i,-8.6923e-05-0.0014798i,-0.00067912-0.00066511i,-0.0005177-0.00022193i,-5.5681e-06-0.00037209i,0.00053855-0.0004149i,0.00067094-0.00010882i,0.00034577+0.00068197i,-0.00038677+0.00039839i,-0.00017012+0.00052709i,0.00053379+0.00077585i,0.00049938-5.8274e-05i,-6.651e-05-0.00036883i,-0.00035285-0.00045813i,-0.00022742-0.00034402i,0.00012298-0.00031354i
-0.00012297-0.0015628i,-0.00096821-0.00098774i,-0.0022923-0.0019333i,-0.0028846-0.0027025i,-0.0025426-0.0022158i,-0.0015932-0.00097546i,-6.135e-05-0.00029473i,0.00078155+4.7269e-05i,0.00058868+0.00032457i,0.0006557+0.00052218i,0.00083823+0.00025089i,0.00040522+5.0619e-05i,0.00052258+0.00014099i,0.0010096+0.00059702i,0.0010548+0.00042186i,0.00061767-0.00025691i,0.00036835+0.00035008i,0.00045053+0.00053991i,0.00019687-0.00011317i,-0.00018682-0.00046418i,-0.00019509-0.00070239i,-0.00026485-0.00047632i,-0.00031698-0.00023298i
0.00056192-0.00025811i,0.0013593+0.00023775i,0.00047917-0.00074318i,-0.00044003-0.0021786i,-0.00089763-0.0018606i,-0.0003664-0.0010881i,-1.4293e-05-0.00063534i,9.2694e-05-0.00024066i,-4.2545e-05+6.689e-05i,-0.00018355+0.00028613i,0.00035504+0.0003365i,0.00066803-1.6217e-05i,0.00018197-0.00041372i,-0.0004371+0.000166i,-1.3594e-05+0.00062693i,0.00025913+0.00075002i,-0.00031592+0.00048379i,-0.00088862+0.00047016i,-0.0012697+0.0002274i,-0.00066717+0.00010882i,-0.00020564-0.00031674i,1.1305e-05-0.00040087i,1.0634e-05+3.3898e-05i
-0.00079161-0.00098869i,-0.0012876-0.001719i,-0.0009472-0.0019698i,-0.00054672-0.0021339i,-0.00040995-0.0025668i,1.1406e-05-0.0020793i,-8.7156e-05-0.00064756i,-0.00013249-0.00097363i,0.00017787-0.0009584i,0.00037299+0.00029843i,0.00094187+0.00050971i,0.00092772-4.303e-05i,0.0010387-0.00025253i,0.0011911-0.0006964i,0.00044037-0.001202i,-2.8088e-05-0.00098051i,-0.00012863-0.00038479i,-0.0003253-6.7152e-06i,-0.00036958-0.00042039i,-0.00017666-0.00031548i,-0.0003992+0.00061027i,-0.00030612+0.00053197i,0.00058652+0.00049805i
-0.00047699-0.0028642i,0.00018642-0.0025922i,-0.00056675-0.0018025i,-0.0017048-0.00035118i,-0.0018375+0.00087105i,-0.00011465+0.0012716i,0.00015822+0.0017248i,0.00026871+0.0018248i,0.0016874+0.00023358i,0.0015415-0.0012134i,0.00044236-0.00030371i,-8.8377e-05+0.00076468i,-0.00052854+0.00051423i,-0.0007906+0.00049243i,-0.0010378+9.2562e-05i,-0.00091747-0.00057528i,5.6563e-06+0.00011206i,0.00076844+5.8347e-05i,0.00068234-1.0944e-05i,0.0007779+0.00064546i,0.00068638+0.00044862i,-0.00011829+6.1293e-05i,-0.00049024+0.00015869i
-0.00095495-0.00028951i,-0.00020863-0.00051064i,-0.000137-0.00019468i,0.00015793-0.00088941i,0.00041586-0.0022005i,-0.00025462-0.0016851i,-0.00022972-0.00090887i,0.000195-9.5853e-05i,-8.1172e-05+0.0004444i,-7.3997e-05-0.00037279i,0.000281-0.00030735i,-0.00076711-0.00021863i,-0.0010355-0.00075335i,-0.00026555-0.00027356i,-0.0004187-0.00026505i,-0.00032363-0.00094258i,-4.6749e-06-0.00088752i,-1.3295e-05-0.00078687i,0.00020084-0.00023517i,0.00025489+0.00048339i,0.00046079+0.00029217i,-0.00034308-0.00028158i,-0.00094653-0.00034091i
-0.00081398-0.000572i,-0.00072235+0.0006191i,0.00038929+0.00063034i,0.00034753-3.8425e-05i,-0.00026943-0.0010068i,0.0004522-0.00035694i,0.00051605+0.00046173i,0.00030295+0.00059578i,0.00053402+0.00047641i,0.0005535+0.0001304i,0.00034437+6.2815e-05i,-0.00047477-4.9062e-05i,-0.00053212-0.00066897i,0.00038177-0.00096186i,0.00092146-9.1339e-05i,0.00052001+0.00021748i,2.1518e-05+0.00037685i,0.00046865+0.0005116i,0.0004193+0.00055028i,-0.00082861+0.00086743i,-0.00082213+0.0003699i,1.8095e-05+0.00011504i,-0.00010083+0.00050608i
-0.0011253+0.0016214i,0.00010091+0.0019012i,0.00051052+0.0018005i,-0.00016417+0.00065693i,-0.0014496-0.00066963i,-0.001518-0.001132i,-0.0011967-0.0010126i,-0.0014711-0.00074329i,-0.0013019+2.1514e-05i,-8.3821e-05-0.00023666i,0.00099472-0.0012443i,0.00094609-0.0012728i,7.3318e-05-0.0010937i,-0.00045095-0.0010049i,0.00016529-0.00017819i,0.00058201+0.00013286i,0.00051233-0.00025234i,0.00040781-0.00034997i,4.4942e-05-0.0012343i,-0.00052723-0.0017586i,-0.00028103-0.0010993i,-1.4743e-05-0.00127i,6.5584e-05-0.0011713i
0.0011902+0.0014782i,0.0018373+0.00046964i,0.0025897+0.00022136i,0.001594-0.00032027i,0.00022245-0.001713i,0.00010336-0.0017118i,0.00061928-0.00078913i,0.001085-0.00012709i,0.0009767-0.0002577i,0.00093125-0.00034004i,0.0010416+0.000704i,0.00089288+0.00045866i,0.00069772-0.00029813i,0.00033099+0.00046815i,-0.00019946+0.00063879i,6.1298e-05+0.0004124i,0.00056401+0.00058879i,3.4535e-05+0.00033877i,-0.00098543-0.00027852i,-0.0011187-0.00058155i,-0.00065924-0.00064237i,0.00020791-0.00047849i,0.00059616-0.00012016i
-0.00022018-0.00037597i,-0.0015167+2.6062e-05i,-0.0028627-0.00047196i,-0.0026425-0.0019511i,-0.0012895-0.0026221i,-0.00064864-0.00181i,-0.0010561-0.001172i,-0.00073499-0.0010376i,5.1782e-05-0.0013767i,-0.00023865-0.001187i,-8.3253e-05+0.00015243i,0.00043463+0.00072291i,0.00013488-0.00011333i,-0.00026059-0.00040405i,-0.00050251+5.8921e-05i,-0.00057435+0.00059812i,1.3072e-05+0.00068366i,5.4439e-05-9.5599e-05i,-0.00056597-0.00021808i,-0.00077824+8.8183e-05i,-0.00013246+0.00052825i,0.00046607+0.00044261i,0.0002555-0.00049436i
0.00029287-0.00094536i,0.00052596-0.0011235i,-0.00035926-0.00055446i,-0.00087551-0.00037731i,-0.00093742-0.00048171i,-0.0010423-0.00029098i,-0.00037258-0.00015818i,0.00012576+9.3629e-05i,-0.00028871-0.00033716i,-0.00011569-0.0010435i,0.00013077-0.0010683i,0.00031445-0.00037138i,0.0005793+0.00018884i,0.00085312+0.00041301i,0.00090715+0.00020039i,0.00035271-0.00048259i,0.00056429-0.00054429i,0.001022+0.00041411i,-6.2899e-05+0.00066177i,-0.00095656+0.00021171i,-0.00058606-0.00021412i,-0.00033524-0.00071509i,-0.00064825-0.00018188i
-0.0020387-0.0010356i,-0.0017183-0.00064855i,-0.0010653+0.00061995i,-0.0010018+0.00077402i,-0.00043457-6.0255e-05i,0.00025083-8.0137e-05i,0.00021165+0.00039413i,-0.00024232+0.0004277i,-0.0004829+0.00056695i,1.7997e-05+0.00088736i,5.0695e-05+0.00024666i,-9.5567e-05-0.00094757i,4.4869e-05-0.0016951i,0.00010552-0.0011868i,-0.00016454+0.00017902i,-0.00020254+0.00051372i,-5.2283e-05-0.00036479i,4.5038e-06-0.00096007i,0.00024548-0.00043975i,0.0002892+0.00012532i,0.00028935+0.0001746i,-3.1094e-05+2.1762e-05i,0.00018355+3.7423e-05i
-0.00073233+0.00063068i,0.00012022+0.00030221i,0.00074088-1.9977e-05i,0.0010373-0.0010744i,0.0012319-0.0021695i,-0.00036354-0.0020507i,-0.0015006-0.00088947i,-0.00070372+0.00058285i,4.0145e-05+0.00092044i,0.00022674+0.00011867i,8.7817e-05+0.00025055i,0.00031552+0.00089158i,-0.0001986+0.00072511i,-0.00052764+0.00032608i,-0.00014751+9.3009e-05i,-9.3211e-05-2.7776e-05i,1.0317e-05+7.5105e-05i,-5.19e-05+6.5694e-05i,4.7571e-05-0.0010312i,-0.00022871-0.0013413i,-0.00033756-0.00051738i,8.782e-05-6.8823e-05i,0.00052804+0.00031965i
-0.00088191-0.00048439i,-0.00061018-2.1486e-06i,-0.0007403-0.00098403i,-0.0013707-0.0014732i,-0.0016141-0.0011964i,-0.00090663-0.0012355i,-1.0174e-05-0.00096926i,-2.0604e-06-0.00070777i,-0.00046302+0.00013254i,-0.00044698+0.0007679i,-4.224e-05+0.00018483i,-0.00012394-0.00032301i,-0.00038035+0.00016733i,-6.6217e-05+0.00018722i,0.00038352-9.6249e-05i,0.00056295-0.00040801i,0.00044549+0.00013964i,0.00035356+0.0011864i,0.00053517+0.0003837i,0.00096444-0.00063761i,0.00073145-0.00049058i,9.5645e-05-0.00047306i,-0.00033724-0.00074658i
0.00075602+1.5799e-05i,4.8374e-05-0.00032429i,0.00048781-0.00026202i,0.0012042-0.00071546i,0.0014515-0.0015545i,0.00052999-0.0013633i,-0.0003891-0.0011793i,1.9772e-05-0.0013673i,0.00036847-0.00098146i,-8.0488e-05-0.00064766i,-0.00064301-0.00075464i,1.1682e-05-0.00050019i,0.0016616-0.0006786i,0.0013948-0.00077365i,0.00025848-0.00037883i,-0.00015243-0.00078017i,-0.0001041-0.0005859i,-1.3352e-05+0.00032258i,1.3043e-05+0.00066639i,0.00014462+0.00067824i,0.00040734+0.00089644i,0.00067344+0.0005384i,0.00029412-0.00013208i
0.000369-0.0017622i,1.582e-05-0.0017555i,-0.0015258-0.0021261i,-0.0025386-0.0019237i,-0.0023314-0.00079941i,-0.0016205+0.00030603i,-0.00085236-0.00046336i,-0.0001947-0.0010688i,-0.00052208-0.00058955i,-0.00067481-0.00020651i,-0.00029903-0.00049067i,0.00019888-0.00072896i,0.0009102-0.00031667i,0.0013596+0.00010289i,0.0014882-6.3179e-08i,0.0014724-0.00044445i,0.00090772-0.00044225i,0.00064304-0.00021071i,0.00060114+4.9401e-05i,0.00049946+0.0001231i,0.00086721-7.5063e-05i,0.00039771+0.00012846i,-0.00017156-0.00017461i
