-0.0020799+7.9908e-05i,-0.0016772+0.00070958i,-0.0012408+0.00073462i,-0.0011148+0.00054118i,-0.0012913+0.00027627i,-0.0013361+0.00012988i,-0.00075336+0.00029363i,0.00030034+0.00082641i,0.00087501+0.00098085i,0.00024251+0.00020225i,-0.00046328-0.00030225i,-0.00042536-7.9227e-05i,-0.00039668-0.00035882i,-0.00021662-0.0010082i,-3.9214e-05-0.0010623i,0.00028893-0.0009709i,0.00051481-0.00048985i,0.00048791+3.6607e-05i,0.00071853+0.00041773i,0.00038282+0.00057078i,-0.00052118+0.00033555i,-0.0010154+7.6633e-05i,0.0001907+4.5583e-05i
0.00069914-0.00025733i,0.0015608+0.00056916i,0.0017296+0.00090787i,0.0011253-2.8707e-05i,0.00095063+0.00012603i,0.0012026+0.00037003i,0.00096974-0.00012662i,0.0009193-0.00063959i,0.00012915-0.00076286i,-0.0002924-0.00010777i,-0.00076752+0.00043677i,-0.00078816-0.00027991i,5.774e-05-0.00077447i,-8.0928e-05-0.00051738i,-0.000399-0.00063874i,-0.00028257-0.00011218i,0.00020509+0.00027435i,0.00020619+0.00052696i,-0.00010076+0.0011907i,-0.00011507+0.00098869i,-0.00031167-7.5461e-05i,-0.00052309-0.00015401i,0.00013092-0.00013974i
2.6671e-05+0.0013756i,-0.0005825-0.00030678i,-0.00062894-0.00058807i,-0.00028453-0.00050804i,0.00018431-0.0010061i,0.00018624-0.00106i,-0.00027075-0.00044621i,-0.00034726-0.00077503i,-8.5393e-06-0.0014573i,4.428e-05-0.0012182i,-0.00025921-0.00013357i,-0.00070064+0.00046972i,-0.00048039-0.00024068i,-9.6721e-05-0.0010094i,0.00040027-0.00081012i,0.00091891-0.00018182i,0.00078279+0.00026227i,0.0003181+0.00016203i,-0.00058458-0.00025329i,-0.00078579-0.00035681i,-0.00048183-0.00051166i,-0.00024507-0.00041163i,5.2602e-05+0.00013149i
-0.00093464-0.00050404i,-0.00027066+0.00025242i,0.0010956+0.0014677i,0.0017482+0.0016871i,0.0016852+0.0012792i,0.00090602+0.00030774i,0.00039987-0.00046838i,-2.5867e-06-0.00091869i,-0.00028917-0.0011798i,0.00025873-0.00053017i,-0.00049046+0.00033737i,-0.00077368+0.00032933i,-0.00025458+6.8144e-05i,-0.00018296-9.5382e-05i,-0.00016879-0.00019381i,-8.2092e-05-9.025e-05i,-0.00010795+0.00019875i,0.00016256+0.00086639i,0.00010414+0.00089873i,8.5902e-05+0.00028008i,0.00027232+0.00030403i,-0.00023729-4.0532e-05i,-0.00029728-0.00046817i
-0.00075257+0.0009476i,-0.00067071+0.00037619i,-0.00011561+0.00089548i,0.00026751+0.00070478i,-4.9298e-05+0.0010228i,0.00051184+0.0013121i,0.00033895-0.00014899i,0.00012415-0.0012659i,0.00029146-0.00055652i,0.00035422+0.00040077i,0.00046954+0.00022369i,0.0001144-0.00044864i,1.6316e-05-0.00045689i,0.000768+0.00059305i,0.0012424+0.00015397i,0.00064474-0.00068578i,0.00010834-0.0002151i,-0.00025904+0.0002756i,-0.00081044+0.00025615i,-9.4629e-05+0.0005221i,6.9406e-06+0.00046353i,-0.00045284+0.00020718i,0.00047492-0.00010431i
-0.00087151+0.0012627i,-0.00041503+0.0013726i,0.00015402+0.0016607i,0.00067904+0.0012422i,0.0014749+0.00026712i,0.0016797-0.0010589i,0.00055058-0.0011886i,-0.00042035-0.00066031i,-0.00058794-0.00039959i,-0.0005068-0.00040544i,-0.00064344-0.00092482i,-0.00077733-0.0011907i,-0.00078399-0.0004548i,-0.00029146-6.0854e-05i,2.8012e-05-0.00056818i,-9.4631e-05-0.00050024i,0.00033392-0.00020578i,0.00075205+0.00017877i,-0.00012866+0.00059709i,-0.0007074+0.00042407i,-0.00070111+0.00022834i,-0.00087952+3.7483e-05i,-0.00033284+0.00042779i
-0.00027772-2.3582e-05i,-0.00034581-0.00022769i,-0.00038862+0.00042619i,-0.00030608+0.00077443i,-0.0001332+0.0014833i,0.00090789+0.0015686i,0.0013395+4.4581e-05i,0.00011209-0.0013096i,-7.0128e-05-0.0016035i,-4.7463e-05-0.0012736i,-0.00028644-0.0004919i,-0.00032698+2.3315e-05i,0.00053901+7.1051e-05i,0.0013762+5.8352e-05i,0.00096303-0.00017026i,0.00034931-0.00036318i,-0.00019279-0.00051702i,-0.00066419-0.0005647i,-0.00050403-0.00075216i,-0.00035223-0.00073225i,-8.8524e-05-0.00030244i,0.00024519-5.2011e-05i,-0.0003577+0.00012528i
0.0011012+0.0010899i,0.00035295+0.00048722i,-0.00068412-0.00081847i,-0.00013443-0.0020404i,-0.0007268-0.0022773i,-0.0023659-0.0014591i,-0.0021904-0.0008353i,-0.00073276-0.00090258i,0.00016533-0.0013992i,0.0004665-0.0012423i,0.00039984-0.00085277i,0.00097386-0.00046362i,0.001846+2.6439e-05i,0.0015026+5.3477e-05i,0.00035661-0.00011052i,-0.00013927-1.93e-05i,-5.4674e-05-0.00035422i,-0.00035414-0.000716i,-0.00013844-0.00066286i,0.00076814-0.0002726i,0.00055906+8.364e-05i,-0.00031415-5.7295e-05i,-0.00062889-0.00082836i
0.00048576-0.0016401i,-0.00026169-0.00083465i,-0.00070407-0.00021454i,-0.0020351-0.00039444i,-0.0026775-0.00024478i,-0.0017961+0.00080035i,-0.00082359+0.00067819i,-0.00017-0.00026434i,-0.00055832-0.00045689i,-0.00035923-0.00045529i,0.00037594-0.00015039i,0.00045357+0.0002343i,0.00035636-0.00027819i,-5.996e-05-0.00090349i,0.0002648-0.0014895i,0.00052145-0.0011919i,-0.00012759-0.00079226i,-0.00051035-0.00017417i,-1.4948e-05+0.00033362i,0.00049576-9.0582e-05i,-1.9209e-05-0.00062274i,0.00051138-0.00068097i,0.0010395-0.00088851i
0.00046585+0.00089914i,0.00094701+0.0003787i,0.0016114+0.00010693i,0.0013872+0.00012149i,0.0011687-0.00031483i,0.00075372-0.0011684i,8.8527e-05-0.00038286i,0.00031165+0.00027247i,0.00071854-0.00029904i,0.0009494-0.00082394i,0.00017772-0.00060969i,-0.0011132-8.4598e-05i,-0.00081766-0.00024671i,-0.0003035-0.00065272i,0.00013127-0.00066431i,0.0001073-0.00011062i,-0.00018225-0.00033669i,-0.00018449-0.00020647i,-0.0005357+0.00038805i,-0.00039201+0.00047864i,-0.00052532+0.00037467i,-0.0007879+0.0004411i,-0.00044362+0.00038045i
0.00014837-0.0010718i,-0.00050356-0.00034966i,-0.00080665-0.00048371i,-0.00063818-8.0341e-05i,-0.00063663+0.00092364i,-0.00011214+0.0017922i,0.00048674+0.00075726i,0.00029756-0.00058115i,-0.00062367-0.0012129i,-0.00049389-0.0012618i,0.00026573-0.00058612i,0.00022984+1.4238e-05i,0.00014148+0.00047484i,0.00032404+0.00032113i,0.0003074-0.00079172i,-3.9337e-05-0.0013708i,-0.0005112-0.001095i,-8.3036e-05-0.00030301i,0.0002327+0.00051087i,0.0004354+0.00056897i,0.001098+0.00053867i,0.00057081+0.00075029i,-0.00058435+9.7716e-05i
-0.00019339-0.00055207i,-0.00011238+0.00030783i,2.9404e-06-0.00042534i,-0.00046219-0.001062i,-0.0012669-0.00035237i,-0.0013153+0.00018582i,-0.00063877+0.0002464i,-4.6859e-05+0.00031569i,-0.00025845-0.00080943i,-0.0010821-0.0010773i,-0.0012979-0.00086735i,-4.2971e-05-0.00087631i,0.00039221-0.00022042i,-9.8497e-05-0.00046624i,-0.00021768-0.00094948i,-0.00019234-0.00011831i,-0.00030624+0.00037769i,-0.0003611+0.00076706i,-0.00025537+0.0006912i,1.6328e-05+5.0622e-05i,0.00012712-0.00024477i,-0.00045335-0.00025908i,-0.00045763-0.00033522i
-0.0014144+0.00064579i,-0.0013342+0.00069915i,-0.00090184+0.00095103i,-0.00022052+0.0015829i,0.00070755+0.002026i,0.0010662+0.0018612i,0.0011818+0.0019208i,0.00058851+0.00079275i,-0.0005836-0.00074192i,-0.0012939-0.0010046i,-0.000832-0.00027836i,-9.2193e-05-0.00026209i,0.00032562-0.0017124i,0.00076707-0.0017328i,0.0012321-0.00092596i,0.00052583-0.0010631i,-0.00021783-0.00098173i,-0.00059194-0.00039728i,-0.00066682-0.00036449i,-0.00056631-0.00020692i,-0.00043994+0.00016224i,-0.00044463+0.00032398i,1.0394e-06+0.00066199i
0.0014139-0.00039466i,0.00053952-0.00048113i,-0.0001294-0.0016411i,-0.0012493-0.0023211i,-0.0014446-0.001371i,0.00018991-0.00026937i,0.00096218-5.4153e-05i,-0.00024457-0.00064878i,-0.00042041-0.0012159i,0.00061652-0.0010716i,0.00098517-0.00085659i,0.00040558-0.00025676i,0.0005396+0.00045406i,0.0008367-0.00011624i,0.00044074-0.0006411i,0.00090834-4.7907e-06i,0.000583+0.00050172i,-0.00013894-0.00016466i,4.1762e-05-0.00056752i,0.00062288-9.6903e-05i,0.0010297+0.00012257i,0.00023105-6.9914e-06i,-0.00032898-0.00046093i
-0.00052305+0.00026413i,-0.0012884-8.8725e-05i,-0.00087347+0.0010659i,0.00017974+0.0023545i,0.00095065+0.0023982i,0.0021622+0.0011821i,0.0016819-0.00013355i,0.00034713-0.00097239i,0.00035198-0.0013025i,0.00054832-0.00055977i,0.00021792+4.9353e-05i,5.3095e-05+0.00052742i,-4.6186e-05-0.00028784i,-0.00010975-0.0014251i,-0.00045675-0.0010076i,-0.00064566-0.00063445i,-0.00074361-0.00011288i,-0.0010432+0.00051393i,-0.00053406+0.00092054i,0.00043464+0.0010541i,0.00035714+0.00023224i,0.00027843-0.00056291i,0.00012832-0.00025148i
-0.00022792+0.00029085i,-0.00027603+0.00042546i,0.00049727+0.00040483i,0.00042498-0.00039345i,0.00021096-0.001123i,-0.00042936-0.00083885i,-0.00048441+0.00016399i,-0.00074761+0.00095227i,-0.00071044+0.00063602i,0.0002747-0.00011625i,0.00016706-0.0011242i,-7.2289e-05-0.0015223i,-0.00017553-0.0010854i,4.002e-05-0.00073892i,0.00052118-0.0010338i,0.00071106-0.00024284i,-0.00047061+0.0011143i,-0.0010832+0.0010093i,-0.0002471+0.00031661i,7.1024e-05+0.00034966i,-7.8588e-05+0.00038423i,-0.00011242+0.0002429i,4.3529e-05+3.3746e-05i
-0.001596-0.0014441i,-0.001969-0.00099164i,-0.0019087+0.00065808i,-0.00039629+0.0015022i,0.0013914+0.001404i,0.0011106+0.0012563i,0.00013782+0.00084923i,0.00037269-0.00035345i,0.00063793-0.00057941i,0.0003095-0.00041361i,-5.083e-05-0.00014502i,-0.00038483-0.00019928i,-0.00045313-0.00076066i,-2.7627e-05-0.00063486i,0.00023254-0.00078752i,0.00048204-0.00063209i,0.00062201-5.9128e-05i,0.00038861+0.0005291i,-9.9388e-05+0.00035515i,-0.00026225-0.00032863i,-0.00037855+0.00020078i,-0.00054244+0.0007076i,-0.00069848-1.1353e-06i
0.0014669-0.0001288i,0.00046081-0.00038233i,-0.00014172-0.00070248i,-0.00051137-0.0010709i,-0.00054749-0.00042501i,-0.00029635+0.00090072i,0.00036282+0.00071844i,0.0006062+1.3474e-05i,0.00012065-0.00015483i,0.00015171-0.0012072i,-9.0484e-05-0.0013029i,-0.00026028+9.3762e-05i,0.00061735+0.00087367i,0.0010878+0.0005861i,0.00075482-0.00040937i,0.00066586-0.0010329i,0.00077306-0.00074482i,0.00070407-0.00044314i,0.00077405+6.7142e-05i,0.00088531+0.0011251i,0.00030728+0.0015533i,-0.00016896+0.00064041i,-0.00049082-0.00025732i
-0.0012388-8.2609e-06i,-0.00052926+0.00041412i,-0.00028744+0.00041369i,0.00048871+0.00058991i,0.0013835+0.00097639i,0.0016748+0.00063875i,0.001448+0.00068227i,0.0011012+0.00045694i,0.00012059-0.0010822i,-0.000854-0.0013691i,-0.00080284-0.00040835i,-0.000333-0.00026491i,0.00057082-0.00069256i,0.0013756-0.00075771i,0.0011406-0.00051929i,0.00010044-0.00020404i,-0.00051056+0.00026687i,-0.00055304-3.896e-05i,-0.00048846-0.00065716i,-7.374e-05-0.00058725i,-0.0004032-0.00016126i,-0.00085385+0.0004204i,-0.00060396+0.00076189i
0.00018672-0.0011136i,-0.00039981-0.0014114i,-0.00122-0.00095084i,-0.0011485-0.00056295i,-0.00017124+0.00086117i,-5.5265e-05+0.0010849i,-0.00024772-0.00017268i,0.00051362-0.0009277i,0.00061712-0.0013017i,0.00033761-0.00075267i,0.00045448+8.4626e-05i,0.0006886-0.00018217i,0.00075401-0.00036599i,0.0002193+0.00039678i,5.2582e-05+0.00057504i,-0.00017611-0.00012484i,-0.00073384-0.0004929i,-0.00046402-0.00040229i,0.00037098-0.00021095i,0.00047893-0.00011522i,0.00042585+9.515e-05i,0.00045617+0.00040376i,0.00032391+0.00030256i
-0.00019544+0.0014678i,0.00041548+0.00081801i,0.0012381+0.00069043i,0.0013723+0.00082888i,0.0011145+0.00034586i,0.00096708-0.00035764i,0.00056227-0.00020093i,0.00011414-0.00046328i,-4.4334e-05-0.0009256i,3.4725e-06-6.3758e-05i,-0.00014651+0.00057074i,0.00019992+0.00023371i,0.00031573+0.00025074i,9.1547e-05+0.00041419i,-0.00027992-3.1466e-05i,-0.00027188+0.00015399i,-0.00023291+0.00049745i,-0.00041868-7.826e-05i,-0.00037514-0.0004871i,-0.000323-0.00074417i,-0.00019757-0.00055645i,0.00044601+0.00015095i,0.00040632+0.00019015i
-0.0013669-0.00046438i,-0.0019752-0.00027366i,-0.0020514-0.00028513i,-0.0019096-0.00012157i,-0.00066676+0.00080483i,0.00035934+0.0022359i,-0.00020324+0.0011086i,1.4465e-06-0.00075132i,0.00050238-0.001353i,0.00036576-0.0009799i,2.7289e-05-0.00039333i,0.0002628-0.0002894i,0.00029885-0.00067515i,7.1389e-05-0.0012667i,0.00012891-0.00090029i,9.5864e-05-0.00050283i,0.00016417-0.00058499i,0.00082781+4.5231e-07i,0.00066176+0.0010103i,0.00015878+0.00081541i,-0.00069725-0.00021292i,-0.00091397-0.00062831i,-0.00043042-0.00023915i
-6.0798e-05-0.00072742i,-3.6623e-05+0.00028747i,-0.00026991+0.0004592i,-0.0010743-7.279e-05i,-0.00080885+0.00058654i,0.00053854+0.0013654i,0.0011364+0.0008368i,0.00086794-0.00061556i,-8.6432e-05-0.0016368i,-0.0002411-0.0017811i,0.00012201-0.0013762i,-5.3346e-05-0.00059726i,0.00070855-0.00034342i,0.0015912+0.00016726i,0.00095331-0.00019885i,0.00043398-0.0011665i,0.00044441-0.00072871i,0.00039673-0.00060382i,0.00023165-0.00016772i,0.00028283+0.00022804i,0.00021975-0.00053284i,-7.8246e-05-0.00051315i,0.00013434+0.00017504i
-6.6811e-05+0.001676i,-0.00077988+0.0028996i,-0.00021095+0.0017369i,0.00066678+0.00022828i,0.00025265+0.00065039i,0.00022093+0.0010085i,0.00045827+0.0011673i,0.00011118+0.00045823i,0.00034383-0.00032722i,0.0010003+0.00026351i,0.00046274+0.00070976i,0.00031498-0.00017039i,7.7733e-05-0.0011371i,0.00015509-0.0013065i,0.0005283-0.0015682i,0.00018274-0.001353i,1.3333e-05-0.00093475i,8.3294e-05-0.000731i,2.9746e-05-0.00039579i,-0.00026036-0.00046047i,-0.00031458-0.00051684i,0.00014769-0.00032721i,0.00049416-4.0429e-05i
0.00027576+0.0013329i,0.0012753+0.00066825i,0.0016856+0.00054526i,0.0013409+0.00036272i,0.00087785-0.00052758i,0.00032142-0.001313i,-0.00015109-0.001277i,-0.00013889-0.0010429i,-0.00034424-0.00017465i,0.00033652-0.00016929i,0.00080373-0.00043376i,9.4997e-05+0.0004795i,-2.6439e-05+0.0014251i,0.00018983+0.0010285i,0.0002221+0.00039333i,-0.00049966-0.00041113i,-0.00059521-0.00064741i,6.2223e-05-0.00025173i,0.00022787-0.00034654i,0.00021795+0.00060818i,-0.00015618+0.0003899i,-7.1708e-05-0.00079273i,9.7681e-05-0.00086709i
-0.00039752+0.00021779i,-0.0005052-0.00050443i,-0.00045017-0.0009097i,-0.0011628+0.00041613i,-0.0011662+0.0015655i,-0.0005235+0.0015108i,-0.00041558+0.00049477i,-0.00056973-0.0011088i,-0.0003941-0.0013147i,-0.00054819+3.696e-05i,3.9107e-05+8.5444e-05i,0.00057827-0.00063563i,0.00047595-0.0003201i,0.00014574-0.00016047i,0.00017996-0.00068489i,0.00022779-0.00051407i,-0.0002265-0.0005473i,-0.00028864-0.0013072i,5.035e-05-0.00090867i,0.00055941-0.0004394i,0.00019005-0.00051134i,-0.0001958-0.00068911i,-0.00025506-0.00066724i
-0.0012544+6.1213e-05i,-0.0013607+2.6134e-06i,-0.0014682-9.9248e-05i,-0.0013026-0.00049095i,-0.0013271-0.00079866i,-0.00061511+0.00039004i,0.00034161+0.00046641i,0.00016726-0.00039679i,-0.00034164-0.00022943i,-0.0010352-8.7107e-05i,-0.0008898+0.00059626i,0.00018089+0.0009491i,0.00057283+0.00058081i,0.00034542+0.00013006i,0.00016266-0.00015299i,0.0003265-0.00036239i,4.6861e-05+0.00019235i,-0.00076138+0.00036659i,-0.00067942-7.9151e-05i,0.00014475-4.3815e-05i,0.00055634-0.00015561i,0.00033079+0.00068466i,0.00084416+0.00097018i
-0.0014258-0.00046418i,-0.0011303-0.00034042i,-0.0011592+0.00033523i,-0.00057114+0.00045166i,7.8035e-05+0.00090976i,0.00058272+0.0015161i,0.0015305+0.00082774i,0.0015098+3.2777e-05i,0.00038315-0.00062228i,-0.00013748-0.00070094i,-0.00033692-2.457e-05i,2.4308e-05-0.00018602i,0.00027372-0.00062094i,-3.9886e-05-0.00065729i,-0.00049528-0.00078606i,-0.0012087-0.00055723i,-0.0010216-1.6204e-05i,-0.00040457+0.00028798i,-0.00068814-0.00011301i,-0.00096523-0.00042522i,-0.00027578-0.00079296i,0.00060358-0.0011969i,0.0010777-0.00095166i
0.00061625+0.0016629i,0.0013271+0.0016775i,0.0017096+0.0014978i,0.0015203+0.0008791i,0.0011038-6.9459e-05i,0.00065056-0.00092776i,0.00096896-0.0018739i,0.00091813-0.0018014i,0.00041171-0.00064386i,-7.386e-05+0.00017704i,-0.00055153+0.00032524i,-0.00076723+0.00050001i,-0.00059797-0.00014868i,-4.8048e-05-7.1296e-05i,-9.5098e-05+0.00038993i,-0.00015276+7.5609e-05i,-4.6026e-06-0.00054462i,8.0419e-05-0.00086143i,-0.00020716-0.00061219i,-8.7128e-05-0.00082017i,-0.00042898-0.00059107i,-0.0014481-0.00041647i,-0.00071162-0.00020345i
-0.00091298-0.00084459i,-0.001334+0.00070309i,-0.0011423+0.0010771i,-0.001009+0.0013292i,-0.00047697+0.0016418i,0.0008053+0.0012868i,0.001021+0.00084067i,0.00052195-0.00027276i,0.00066098-0.0013038i,2.168e-05-0.0014881i,-0.00021748-0.0017637i,4.9732e-05-0.0014283i,0.00028745-0.00059383i,0.00024516-0.00050105i,-9.4741e-05-0.00083601i,-0.00018974-0.00092644i,-0.00032101-9.0867e-06i,-0.00052545+9.5363e-05i,-0.000293+6.0356e-05i,4.5929e-05+0.001107i,0.00044937+0.00049761i,0.00043393-0.00037183i,0.00061172-0.00036948i
-0.00065489-0.00093295i,-0.00090163-0.0003047i,-0.00030856-0.00035613i,0.00054153-0.00068287i,0.0003015-1.4746e-06i,-0.0004507+0.00016602i,-0.0002523+0.00032253i,-0.00047319+0.000792i,-0.00068703+0.0006339i,-0.00056124-2.1722e-05i,-0.00044368-0.00056866i,-0.00023453-0.00029363i,-0.0002657+3.6705e-05i,-0.00063311-0.00032096i,-0.00082101-0.00041599i,-0.00041055-0.00080596i,8.4843e-05-0.00099617i,-9.8659e-05+2.2394e-05i,-0.00075063+0.00026549i,-0.00087467+0.0001353i,-0.00088149+9.7403e-05i,-0.00097643-0.00011242i,0.0001119-0.00052144i
-9.38e-05+0.00056605i,-0.00019708+0.00069105i,-0.0005473+0.0013007i,0.00026369+0.0011207i,0.00091692+0.00041693i,0.00080551+8.0268e-05i,0.0011143-0.00067501i,0.00083779-0.00076597i,0.00067184-0.0006189i,0.00070304-0.00019396i,0.00051192+0.00054619i,0.00035376+0.00067256i,0.00048548-0.00052818i,0.00065741-0.0011434i,0.00056651+0.0001288i,0.00013348+0.0012856i,-0.00017467+0.00025855i,0.00030615-0.00074872i,0.00057732-0.00033428i,0.00026277+0.00036365i,-9.8822e-05-0.00030049i,-0.00014368-0.0010161i,0.00012024-0.00065035i
