0.0006141+0.0015474i,0.00099092+0.0010263i,0.00035706+0.00024509i,-0.0010335+0.00099025i,-0.0013935+0.0025974i,0.00048208+0.0022725i,0.0011663+0.00064162i,-0.00022612-1.4012e-05i,-0.00098088+0.00074956i,-0.00042212+0.0010635i,-0.00045495+0.00034433i,-0.0009886-0.0002944i,-0.0014118-0.00046281i,-0.0013759-0.00013165i,-0.00086592+0.00035967i,0.00013947-7.0366e-05i,0.0013841-0.00038806i,0.0012937-0.00016925i,0.00040089+0.00068576i,-0.00035025+0.00072687i,-0.00026771-0.00046349i,-0.00042823-0.00090873i,0.00017337-0.00085466i
-0.00032604+0.0019311i,-0.00014508+0.0016764i,-0.00050183+0.0019847i,-0.0015844+0.0028706i,-0.00081204+0.0038167i,0.00063485+0.0029739i,0.00073066+0.0013558i,-0.00021897+0.00013829i,7.5876e-06-0.00047605i,0.00059131-0.00052459i,0.00046338+0.00027223i,-0.00026457+0.0010261i,-0.00036489+0.00048995i,-0.00090802+0.00018406i,-0.0007658-0.00015683i,0.00017163+0.00011767i,-9.9712e-05+0.0008688i,2.9268e-05+0.00042625i,0.00023213+1.9956e-07i,-0.00024107-0.00046718i,-0.00094202-0.00076179i,-0.001105-0.00030598i,-0.0007082-0.00031131i
-0.00057193+7.6156e-05i,0.00012737+0.00047123i,0.00059436+0.00067052i,-0.00011554+0.0011382i,-0.00013156+0.0015816i,0.00077152+0.00099292i,0.00059438+0.00054181i,-0.00079089+0.00059618i,-0.0012238+0.00065812i,-0.00061611-0.00025008i,-0.00023254-0.0011161i,3.6996e-06-0.00029453i,-0.00011974+0.00060222i,-0.00035763+0.00022246i,-0.00022907-9.7703e-05i,3.1526e-05+0.00010345i,0.00073433+0.0002816i,0.00074155+0.00043105i,0.00017853+5.5269e-05i,-7.5522e-05-4.1861e-06i,7.8607e-05-0.00030469i,0.00043755-0.00045708i,0.00064609-6.9752e-05i
-0.00078925-6.4223e-05i,-0.0016594-4.4208e-05i,-0.0024738+0.00024018i,-0.0019423+0.00089551i,-0.00063002+0.0018292i,0.0018295+0.0015746i,0.0017403-0.00043453i,0.00013057-0.0019865i,-0.00017907-0.0012283i,-0.00012779-0.00061496i,0.00045757-0.00049836i,0.00013903-0.0002642i,-0.00055481-0.00065647i,-0.00018394-0.00067568i,0.00048241-0.00041965i,-6.113e-05-0.00025716i,-0.00073029-0.00041995i,-0.00027162-0.00068174i,0.00034217-0.0010404i,-7.2909e-05-0.00059595i,-0.00090871+2.3926e-05i,-0.00079685+0.00010445i,-0.00065768-0.00023846i
0.0011342-0.0010301i,0.00011633-0.00098213i,-0.0018942-0.00080584i,-0.0038352+0.00064753i,-0.003397+0.0022807i,-0.0021136+0.002593i,-0.0009856+0.00067101i,-0.001348-0.00057037i,-0.0013985-5.0369e-05i,-0.00063673+0.00042898i,-0.00027751+0.0010706i,-0.00025042+0.0013276i,-0.00037039+0.001252i,-0.00014332+0.00095004i,1.5502e-05+0.00017134i,-1.3665e-05+6.5854e-06i,-0.00014238-0.00090076i,-0.00037922-0.0013004i,-8.964e-05-0.00055335i,-0.00048811+7.0192e-05i,-0.00065852-0.00015033i,-0.00018465-0.00059823i,0.00012335-2.6736e-06i
0.00023656-0.0002075i,0.00041651+0.0010858i,-0.0011622+0.0015671i,-0.0024873+0.0013418i,-0.0010681+0.0015313i,0.00073272+0.0023351i,0.00046607+0.0019755i,-0.00026362+0.0014975i,-0.00047039+0.0018302i,0.00024562+0.0015342i,0.00087994+0.001127i,9.1679e-05+0.0003236i,-0.00032852-0.00063721i,-0.00012374-0.000347i,-0.00029918+0.00039332i,-0.00085309+0.00030136i,-0.00058788-0.00032448i,0.00027076-0.00073516i,0.00048372+2.2166e-05i,0.00088142-5.8095e-06i,0.00095195-0.00013869i,0.00053247+0.00070854i,0.00045421+0.0007003i
0.00078045+0.0031464i,0.00083616+0.0012929i,0.0011307+0.0015179i,0.0011316+0.0014503i,0.00014033+0.00164i,-0.00010314+0.0013973i,-5.3052e-05+0.00060736i,-0.00091079+0.00032726i,-0.00053571-0.0001403i,0.00069013+0.00026908i,0.00090646-5.4811e-05i,0.0001295-0.0011908i,-0.00097256-0.00098247i,-0.0014955+0.00018226i,-0.00144+0.00056082i,-0.00099889+0.00056943i,-1.0354e-05+0.00075187i,0.00016605+0.00054943i,0.00048672-0.00014509i,0.00067824-0.00065575i,-0.00017163-0.00066845i,-0.00087726-0.0005007i,-0.00030337+0.00014051i
0.00028311-0.00029102i,0.00062454+4.7631e-06i,-0.00093253-3.3108e-05i,-0.0022073+0.0002327i,-0.0013672+0.0012513i,0.0010417+0.0012685i,0.0014216-5.8732e-05i,-0.00031873-0.00029344i,-0.001463-3.4784e-05i,-0.0017148-0.00064738i,-0.00088995-0.00077055i,0.00022211-0.00015393i,0.00092921+0.00070469i,0.0010114+0.00035285i,0.0012859-0.00025591i,0.0012971+4.781e-05i,0.00020303+0.00026366i,-0.00015024+0.00013808i,0.0005463-0.00043885i,0.00024684-0.00050498i,-2.6442e-06-0.00051844i,4.1612e-05-0.00040606i,-0.00044662-0.000305i
0.00066169-0.00076604i,3.7796e-05-0.00026029i,0.00035257-0.00093042i,-8.7798e-05-0.00072466i,-0.0011375+6.1717e-05i,-0.0011311+0.0012695i,-0.00040972+0.00084412i,-0.00032382-0.00016508i,-0.00015812-0.00042044i,-1.3446e-06-0.0011018i,-0.00058837-0.00057909i,-0.00071367+0.00027674i,-0.00012418+0.00024629i,3.7143e-05+0.0003533i,-0.000124+7.878e-05i,5.7183e-05+0.00036744i,0.0002157+0.00060912i,0.00060117+0.00037069i,0.0007289+0.000622i,0.00020578+0.00010803i,0.00039583-0.0011303i,0.00070853-0.0018257i,0.0013046-0.0013304i
0.0019696+0.001188i,0.0019863+0.00040154i,0.00026891-0.00035023i,-0.0016869+0.00014086i,-0.0019713+0.0016848i,-0.0017105+0.0018773i,-0.0015836+0.00061454i,-0.0013994+0.00097551i,-0.0015095+0.0013457i,-0.0014287+0.00044122i,-0.0009056+0.00023028i,-0.0012321+0.0010621i,-0.0017471+0.0017095i,-0.0012395+0.001338i,-0.00037188+0.001044i,0.00070088+0.0015987i,0.00093344+0.0011916i,0.00040601-0.0001206i,-0.0002751-0.00056479i,-0.00075639-3.9644e-05i,-0.00026807+0.00038113i,0.00056501+0.00012602i,0.00044715-4.4023e-05i
