-0.00080381-0.00058473i,8.9501e-06-0.00087987i,0.00022668-0.0015058i,-0.00025676-0.0011282i,-0.00094883+3.9391e-05i,-0.0015655+0.00018415i,-0.001702+0.00026868i,-0.0016226+0.0010769i,-0.00066674+0.00095211i,0.00062391+0.00018029i,0.00058366-0.00057694i,-7.9372e-05-0.00014422i,-0.0003121+0.00036318i,-0.00048364-2.9241e-05i,-0.00042967-0.00038396i,0.00016727+0.0004102i,0.00082594+0.00085875i,0.00049195+0.00066584i,4.912e-05+0.0009691i,-0.00013746+0.00093446i,-0.00060894+0.00011415i,-0.00076204-0.0010112i,-0.00021854-0.0014066i
0.00098107+0.00011421i,0.0009657-9.9181e-05i,0.00047482-0.00019389i,0.00017118+0.00025389i,0.00016756+0.0011019i,0.00022917+0.0015969i,3.6362e-05+0.0011429i,-0.00031043+0.00071348i,-0.00064446+0.00042967i,-0.00024815+5.093e-05i,-6.1614e-05-0.000513i,-2.1859e-05-0.0004542i,0.00047855-0.00028354i,0.0012076-0.00032587i,0.0012801-0.00031942i,0.00053073+7.8047e-05i,0.00018267+0.00022027i,1.9532e-05+0.00037377i,-0.00041911+0.00070094i,-0.00049687+0.00081349i,-0.00012676+0.00050038i,0.00034937+0.00018617i,0.00012698+0.0004903i
0.00011843+0.0016855i,0.0004455+0.0012778i,0.0015447+0.00077812i,0.0029834+0.0007947i,0.003105+0.00060043i,0.0011833-1.7548e-05i,-0.00035213-0.00036342i,-0.0014005+1.7343e-05i,-0.001613+0.00088137i,-0.00058914+0.00073966i,-0.00032426+0.00022543i,-0.00036637+0.00069271i,0.00039274+0.00056741i,0.00068428-0.00034307i,0.00019746+0.00013315i,-0.00029046+0.00074462i,-0.00013098+0.00051461i,8.5487e-05+0.00034243i,-4.1725e-05+5.1697e-05i,-0.00012172-0.00045407i,-8.264e-05-0.00029472i,0.0002252+0.00014628i,-0.0002145+0.00081222i
-0.0017945+1.9426e-05i,-0.0013266-0.00021028i,-0.00098823+0.00027721i,-0.00020427+0.0011325i,-0.00031929+0.0016856i,-0.00039913+0.0018506i,0.00058509+0.00057258i,0.0008155+0.00013365i,0.00037118+0.00053216i,0.00095899-0.00015667i,0.00085744-0.00043788i,-0.00036848-0.00018371i,-0.00067695-7.4282e-06i,0.00012558-0.00065324i,0.00030501-0.0012813i,-0.00039142-0.00018245i,-0.0010424+0.00057769i,-0.00077334+0.00085264i,9.5989e-05+0.00059507i,0.00051147+0.00021278i,-0.00015254+0.00063276i,-7.1472e-05+0.00043328i,-0.00035604+0.00012804i
0.00065984+0.0017442i,-0.00050365+0.0017548i,-0.00018342+0.0019896i,0.0017571+0.00099603i,0.0029314+0.0002288i,0.0020485-0.00033749i,0.00029763-0.00037004i,-0.00091658+0.00028058i,-0.0011848+0.00071201i,-0.00077992+0.00033303i,-0.00038795-0.00042539i,1.9607e-05+7.5119e-05i,-0.00041408+0.00044143i,-0.00069739+0.00089125i,-0.00028859+0.0010778i,-0.00041364+0.00053045i,-0.0010461+0.00045507i,-0.0013535+0.00025394i,-0.0013188+0.00049119i,-0.00066099+0.00057008i,-5.8507e-05+8.9513e-05i,0.00025625+0.00049269i,0.00050894+0.00072955i
4.1787e-05+0.00015386i,-0.00064074-0.00026957i,0.00010881-0.00027334i,0.00034326-0.00032512i,0.0006686+0.00060788i,0.00035553+0.0017271i,-4.439e-05+0.0014363i,-3.3796e-05+0.00035302i,-0.00012787+0.00027892i,-7.8166e-05+0.00020844i,-8.4684e-05-0.00063911i,-0.00074702-0.00037784i,-0.0014654+0.00047921i,-0.0012171+0.00039116i,-0.00051906-0.00012094i,-5.4885e-05-0.00077903i,8.1553e-05-0.0012846i,-0.00035108-0.00044333i,-0.00032782+0.001205i,-9.8043e-05+0.0010962i,8.7603e-06-0.0004859i,4.7853e-05-0.00064474i,-0.00014699-0.00052272i
-0.0001796+0.00044858i,0.00030853+0.00063174i,0.00010314+0.00093182i,0.00011462+0.00043522i,0.00071428+0.00010381i,0.0014022-0.00050557i,0.00057281-0.0010098i,-0.00030825+0.00024362i,-4.1732e-05+0.0011172i,0.00011797+0.00044757i,-0.00013488-0.00031787i,5.0383e-05-0.0001765i,0.00071382+0.00050406i,0.00050697+0.00078817i,-0.00014055-2.2144e-05i,-0.00015984-0.00056684i,-0.00011872-0.00027951i,8.5509e-05-6.1374e-05i,-0.00056882-0.00025264i,-0.00057646-7.3695e-05i,2.3986e-05-8.665e-05i,-0.00020745+0.00039754i,-0.00042302-9.3638e-05i
0.00092416+0.00094418i,0.00047095+0.0014427i,0.00059319+0.0012456i,0.00059443+0.00046632i,0.00030638+0.00039629i,0.00055183+0.00032913i,0.00080729+5.6088e-05i,-0.00015532+0.00053366i,0.00017579-0.00014144i,0.0013214-0.00072756i,0.0014423-0.00057968i,0.00066613-8.5742e-05i,-0.00033862-8.0596e-05i,-0.0001384-1.2196e-05i,4.1907e-05+0.00037304i,-0.00029092+0.00080617i,-0.00021074+0.00058386i,-0.00041413-0.00021421i,-0.0006619-3.6007e-05i,-0.00031163+0.00044425i,0.00022426+1.4597e-05i,0.0001107-0.00029284i,4.3578e-05-0.00023242i
0.00017238+0.001731i,-0.00026168+0.0015661i,0.00057759+0.0011385i,0.0015567+0.00095901i,0.0021671+0.0012397i,0.0019118+0.0015035i,0.0012879+0.0011241i,0.001019+0.00077568i,0.00091195+0.0007646i,0.00088024+0.00054504i,0.00069713-8.4074e-05i,-7.0079e-05+0.00014974i,-0.0010762+0.0002772i,-0.00060763-8.3521e-05i,0.00047731+0.00037202i,0.00043258+0.0014084i,-0.00044245+0.0012938i,-0.00023171+0.00016022i,-0.00041041+0.00016315i,-0.00056798+0.00064554i,1.9474e-06+0.00044161i,-6.1079e-05+0.00038887i,5.3608e-05+7.7918e-05i
0.00070419+0.00080333i,0.00017631+0.00031681i,-0.00055328-5.677e-05i,0.00030322-0.00014029i,0.0011844-0.0007791i,0.00029627-0.00053781i,-0.00021406+0.00013495i,-8.5913e-05+0.00046575i,2.3005e-06+0.0013111i,0.00051229+0.001123i,0.00053976-6.2408e-05i,0.0002094+5.7161e-05i,-0.00013428+0.00033459i,-0.00043951+0.0001418i,0.00043612+0.00033402i,0.0011697+0.00033423i,0.0006997-0.00011326i,-0.0002731-0.00014275i,-0.00027291-0.000304i,-0.00010974-0.00033367i,-0.00084842-0.00013554i,-0.0011529-1.481e-05i,-0.00039153-7.7581e-05i
-0.00022705+0.00055234i,0.0009422+0.00060285i,0.0014583+0.00085262i,0.0017915+0.0011796i,0.0026253+0.0014577i,0.0027903+0.0012894i,0.00098145+0.0011306i,-0.00029269+0.00071167i,-0.00073834-8.7601e-05i,-0.0010685-0.00050664i,-0.00060994-5.2033e-05i,6.9296e-05+0.00020383i,0.00014283-3.4638e-05i,6.1945e-05-0.00040937i,0.00038368-0.00087048i,0.00036786-0.00061835i,0.00038261+7.1723e-05i,5.3727e-05+0.00065155i,-0.00063951+0.00029254i,-0.00039592-0.00011389i,-0.00041419-0.00037358i,-0.0007454-0.00027628i,-0.0002815-0.0001876i
-0.000899-0.00029283i,-0.00018094-0.00018601i,-0.00012144-0.00083182i,-0.00094062-0.0012395i,-0.00072772-0.0010599i,0.00064495-0.00028014i,0.0018994+0.00026397i,0.0016389+0.00044771i,0.00075275+0.0003001i,0.00012022-0.00037657i,0.00052882-0.0002806i,0.0002902-7.8423e-05i,2.0873e-05-0.0009267i,0.00023173-0.001165i,0.00017833-0.00058896i,-0.00016258+0.00041708i,-0.00064713+0.00094674i,-0.0010159+0.0010229i,-0.00049046+0.00044446i,-0.00043365-0.0001849i,-0.00096632-0.00034735i,-0.00039723-0.00090982i,0.0007133-0.0011242i
-4.0532e-05+9.6069e-05i,0.00088956-0.00040257i,0.00077003-0.00055038i,0.00015496+0.00035051i,-0.00050917+0.00075065i,0.00023393+0.00049542i,0.00035881-6.0108e-05i,-0.00021289-0.00015987i,-0.0005246+0.00021817i,-0.00045944+0.00053517i,-2.6999e-05+0.00014803i,-0.00023089+0.0001009i,-0.0010897+0.00049416i,-0.0011726+0.00059114i,0.00029422+0.00047316i,0.00055482+0.00037457i,-3.14e-05-0.00010898i,0.00010952-0.00078437i,0.00034826-0.00077622i,0.00024335-0.00025763i,0.00017259-0.00023038i,-4.0937e-05+6.9363e-05i,-0.00052825+0.00037866i
0.00061489-0.00019789i,0.00034732-0.0010224i,-0.00061816-0.00079885i,-0.000492-0.00013773i,0.00028333+0.00064272i,-8.2305e-05+0.0019964i,-8.8051e-05+0.0013249i,0.0002636+0.00018864i,0.00059796+0.00017332i,0.00031749+0.00049423i,-2.0437e-05+0.00058018i,-5.0414e-05-8.8084e-05i,0.00083821-0.00058648i,0.0017653-0.0001987i,0.0013246+0.00014076i,0.0003381-5.6353e-05i,-0.00015046-0.00011819i,-2.4789e-05+0.00052862i,0.00030071+0.00068338i,-1.7606e-05+0.00035345i,-0.00036933+0.00030257i,-0.00055587+8.5281e-05i,-0.00056862+0.00022587i
-0.00089081+0.0010492i,-0.0010456+9.8881e-05i,-0.00028732+0.00023866i,0.00057749+0.0003756i,0.00030392+0.00042723i,0.00065426+0.00082011i,0.00031907+0.00097108i,-0.00046241+0.00036228i,-3.4505e-05+5.9702e-05i,0.00061627+0.00025414i,0.00061097+0.00021984i,0.00016191-0.00011628i,-0.000196-0.0002339i,-0.00040954-0.00072303i,4.772e-05-0.00099071i,-0.00025414-0.00071421i,-0.0011262-0.00085728i,-0.0013997-0.0007576i,-0.00093653-0.00074811i,-0.00017026-0.00040239i,0.00033598-0.00017596i,0.00051651-0.00051724i,0.0001243-4.4969e-05i
-0.00085663+8.5067e-09i,-0.00096291+0.00050646i,0.00016211+0.00084528i,0.00089385+4.4344e-05i,0.001448-0.00055982i,0.0016045+4.4173e-05i,0.00081277+0.00054938i,0.00010802+9.8557e-05i,0.00037748+0.00055233i,0.0007086+0.00068893i,0.00059696-0.00044861i,9.8466e-05-0.00052833i,0.00012515-0.00026469i,-0.00039324-0.00017268i,-0.00064349+0.00041673i,2.1769e-05+0.00033788i,0.00044787-0.00037964i,-0.00095114-0.00028487i,-0.0020229-0.0003278i,-0.00094233+0.00035538i,-5.0717e-06+0.00090858i,-0.00024632+0.0005977i,-0.00027793+0.00038816i
-0.00022342-0.0010448i,0.00066212-0.0011014i,0.00060083-0.00053055i,0.0010389-6.4289e-05i,0.0012078+2.3415e-05i,0.0013805+7.5079e-05i,0.0013877+0.00045548i,0.00033073+0.00046787i,-0.00032561-0.00066903i,0.00034702-0.00072095i,0.00085609-5.3263e-05i,0.0010421+0.00035692i,0.00090423+0.00066255i,-0.00026403+0.00087271i,-0.00081229+0.00027932i,-0.00015573-0.0003288i,-0.00010008-0.00021161i,-0.00051262-0.00016317i,-0.00040811-0.00028265i,0.0003175-0.0003543i,0.00042492-2.4371e-05i,0.00046532+0.00022011i,0.00025471-5.4917e-06i
-0.00069757+0.0017571i,-0.00065476+0.0018188i,2.0774e-05+0.0019068i,0.0014551+0.0021572i,0.0025008+0.0021949i,0.002145+0.0009467i,0.0014592+0.00023306i,0.00061101+0.00025039i,-0.00019364+0.00044386i,-8.0216e-05+0.00059107i,0.00055504-0.00015693i,0.000476-0.00054415i,0.00021273+2.8472e-05i,-7.4784e-05+4.3497e-05i,-0.00050045-0.00029326i,0.00017717-0.00016348i,0.00032502+0.00064494i,-0.00044139+0.00090398i,-0.00065221+0.00058339i,-0.00063836+0.00052461i,0.00042409+0.00013624i,0.001217+0.00010828i,0.00064932+0.00084257i
-0.0012423+0.00046521i,-0.00076125-0.00028411i,-6.333e-05-0.0003146i,-4.6654e-05+0.00066263i,1.2456e-05+0.0011953i,0.00021312+0.00079925i,0.0006478-0.00053184i,0.00090159-0.0010159i,0.00010179+0.00014799i,-0.00021442+0.00060372i,0.00031635+4.1484e-05i,0.00036484-0.00061555i,-0.00032816-0.0013248i,-0.00076092-0.0014364i,-0.00094138-0.00070059i,-0.0010467-0.00030856i,-0.00065954-0.00043562i,-0.00052443+0.00013292i,-8.7386e-05+0.00051384i,-0.00021988-7.1066e-05i,-0.00091379-0.0012507i,-0.00090061-0.0015774i,-0.0003468-0.0011391i
-0.00078459+0.00077995i,0.00033285+0.00060674i,0.001175+0.0011402i,0.0014928+0.0011999i,0.0025582+0.0010733i,0.0028664+0.0012081i,0.00079726+0.0012905i,-0.00025992+0.00090813i,-0.00023285+0.00087504i,-1.6537e-06+0.00051877i,-0.00069821-0.00026555i,-0.0010739+3.3594e-05i,-0.00073197+0.00046969i,-0.00075401+0.00037095i,-0.00081151+0.00037897i,-0.00022341+0.00025633i,0.00027747-5.5836e-05i,3.3601e-05-0.00034252i,-0.00011498+0.00012572i,0.00013677+0.00048742i,3.1541e-06+0.00092107i,-0.00025163+0.00080041i,-0.00024284+0.00011458i
0.00073905-4.535e-05i,0.00038916-0.00038083i,-0.00014784-0.0010319i,-0.00032733-0.00038684i,-0.00029345+0.00076379i,-1.1567e-05+0.0016165i,0.00070818+0.0011604i,8.8342e-05+0.00041705i,-0.00017926+0.00029571i,0.00064208-0.00046455i,0.00017556-0.0011337i,6.8831e-05-0.001007i,0.00052525-0.00053066i,0.00011615-0.00025132i,0.00011491-0.00079944i,0.00029042-0.0014467i,-8.2376e-05-0.0010366i,-0.00059399-0.00082738i,-0.00022582-0.00073427i,9.7608e-05-0.00090737i,-0.00029473-0.0011198i,-0.00077927-0.00045567i,3.9311e-05+1.7651e-05i
-0.0010222+0.0012387i,-0.0010223+0.00051456i,-0.00044105+0.00067189i,0.00055968+0.00059664i,0.0010806+0.0009494i,0.0010371+0.001015i,0.00042047+0.00057677i,-8.5794e-05+0.0002938i,-0.00023363-0.00020885i,0.00028051-0.00068368i,0.00042449-0.00064227i,-0.0002178+0.00018934i,-0.00088883+0.00042485i,-0.0008708+0.00034292i,-0.00053959+0.00040961i,-0.00048891+0.00029078i,-0.00049461-5.8687e-05i,-0.00076555+2.3837e-05i,-0.00052063-0.00012628i,-0.00025928-0.00058215i,-0.0001355-0.00012792i,-0.00021851-0.00053475i,-0.00064392-0.00064328i
0.0012245+0.00055136i,0.0013323-2.0005e-05i,0.0016415-0.00105i,0.0013015-0.0010125i,0.00090145+0.00021994i,0.0010206+0.0017021i,0.0014564+0.0016406i,0.0010944+0.00084436i,5.4504e-05+0.00048601i,-0.000306+7.6894e-05i,-0.00060826-0.00038929i,-0.00082108-3.2823e-05i,0.00017949+0.00053155i,0.00069455+0.00012851i,0.00070625+0.00029283i,0.00057375+0.00023963i,0.00061324-0.00038216i,0.00029069+3.1104e-05i,-0.0002097+0.00026545i,8.0305e-05+0.00016581i,6.9473e-05-0.0001781i,-0.00019828-0.00027935i,-0.00050379-0.00020744i
0.00096092+8.9922e-05i,0.00060528+0.00063232i,0.00040937+0.00045498i,-0.0002193+0.00030188i,-0.0010608+0.00096115i,-0.00084768+0.00078275i,2.4842e-05+0.00025144i,0.0002319+0.00021135i,0.00018356+0.0008285i,0.00030792+0.00060962i,9.87e-05-0.00069638i,0.00011191-0.00070257i,-5.6548e-05+0.00023905i,-0.00023541-0.00017682i,-0.00021641+0.00036887i,-0.00036993+0.0010968i,-0.00075812+0.00032535i,-0.00060271-0.00017536i,0.00018186-9.2237e-05i,0.00030458+0.00019976i,-1.5755e-05+0.00045732i,0.00065493+0.0006417i,0.0010464+0.00052181i
1.3751e-05+0.0015062i,0.00034204+0.0013043i,0.001349+0.00089285i,0.0022474+3.4625e-05i,0.0025622-0.00069366i,0.0020718-0.0003449i,0.00057553+4.3201e-05i,-0.00047405-4.5089e-06i,-0.00046588-6.1339e-05i,-0.00022206+7.7628e-05i,-0.00014018-0.00011918i,-0.00053361-0.00012078i,-0.00048415+0.00064363i,-0.00053193+0.0010638i,-0.0004276+0.00065018i,-0.00048087-3.2872e-05i,-0.00092027-0.00059338i,-0.00084179-0.00077561i,-0.00032433-0.00069198i,8.9594e-05-0.0010851i,1.6831e-05-0.0010657i,-0.00045884-0.00016907i,-0.00052142+8.2826e-05i
-5.1847e-05-0.00054581i,-0.00019456+0.00027491i,-0.00047106+0.00078389i,-0.0010856+0.00083215i,-0.00028418+0.00071284i,0.0011984+0.00038076i,0.0021621+0.00033917i,0.0020538+0.00031635i,0.0011253+0.00064973i,0.00041502+0.00011544i,0.00054218-0.0004334i,0.00081362-0.00029633i,0.00079572+0.00048963i,0.00060734+0.00062346i,0.00039308+0.0005017i,1.2456e-05+0.00023466i,0.00047592-3.3465e-06i,0.00098979+0.00045575i,0.00056127+0.0015262i,-0.00027031+0.0014024i,-0.00046276+0.00020121i,-0.00030342-0.00062671i,5.9391e-05-0.0005949i
