-0.00018709+0.00089701i,0.00019882+0.00092406i,-0.0011498+0.00017331i,-0.0017283-6.6009e-05i,-0.0018809+0.0010695i,-0.001663+0.002134i,-0.00059882+0.0024251i,0.0010057+0.0016248i,0.0023637+0.00066898i,0.0013308+0.00068881i,6.2497e-05+0.00013183i,-8.2051e-06-0.00082653i,-0.0003443-0.0010609i,-0.00044315-0.00063642i,0.00026716-4.3802e-05i,9.723e-05+0.00067055i,2.8975e-05+0.00073843i,0.00046038+0.00063294i,-9.2258e-05+0.0005386i,-0.0010525-0.00014017i,-0.001297-0.00096511i,-0.00029577-0.0014821i,0.00029891-0.0010078i
-0.0012677-0.00054034i,-0.0020056+0.00043657i,-0.0013267+0.00022223i,0.00014086+4.0897e-05i,0.00062513+0.00031637i,0.00080259+0.0002062i,0.0009344+0.00033933i,6.0767e-05+0.00071818i,-0.0004199+0.001078i,1.8833e-06+0.0012041i,0.00053642+0.0010486i,0.00055323+0.0010818i,0.00019236-7.1309e-05i,0.00084913-0.0010267i,0.0015507-0.00034258i,0.0013038-7.5791e-06i,0.00059635+0.00013284i,0.00070215+3.1539e-05i,0.0011333-0.00029982i,0.00071183+0.00031815i,-7.9965e-05+0.00045222i,-0.00015649+0.00037873i,4.5222e-05+0.00068409i
-4.9788e-05+0.0011389i,0.00085543+0.0018564i,0.001938+0.0014264i,0.0018224+0.00051108i,0.0022827+9.1156e-05i,0.0028095+0.00020711i,0.0024749+0.00033486i,0.0016953+0.00082658i,0.00075373+0.00094916i,-0.00029426+0.00057192i,-0.001025-0.00024131i,-0.0015704-0.00051038i,-0.00079868-0.00030016i,8.8619e-05-0.0004524i,-0.00017916-0.00095395i,1.8105e-06-0.00030228i,0.00023237+0.00018185i,0.00010873-0.00031843i,-1.1091e-05-0.00031025i,-1.8673e-05-0.0003528i,-0.00021954+0.00047322i,-0.0001538+0.00076986i,0.00035929-0.00015632i
-0.0011508+0.0011473i,-0.0019091+0.00096875i,-0.0015786+0.00095983i,-0.00041882+0.00050453i,-0.00014993+0.00033602i,6.9845e-05+0.00051719i,0.00045855+0.00029964i,0.00072061+8.1246e-05i,0.00086574+0.00076851i,0.00090377+0.0017185i,0.0014976+0.0013326i,0.0015365+0.00092928i,0.00065608+0.00095766i,0.00058678-0.00014625i,0.00084938-0.0012985i,0.0001172-0.0016054i,-0.00026294-0.00084591i,-0.00013104-0.00020211i,-0.00032238-0.00010816i,-0.00046774-0.00034254i,-0.00044508-0.00036884i,-0.0004931+0.00028008i,-0.00082389+0.0010462i
0.002055-0.0035253i,0.0012373-0.002492i,-0.00037769-0.0018685i,-0.0018866-0.0011722i,-0.0018072-0.00024449i,-0.0013963+0.00082078i,-0.00070403+0.0013888i,0.00054467+0.00033363i,0.00034365-1.8083e-05i,-0.00060083+0.0010014i,-0.00020591+0.00094568i,0.00059309+0.00026084i,0.00023661+0.00011171i,-0.00023133-0.00027661i,0.00026848-0.00047975i,0.00025665+0.00018992i,-0.00017353+0.00022538i,-5.3025e-05-0.00076302i,1.2281e-05-0.0012686i,-0.00030644-0.00072832i,-0.00030384+5.5261e-05i,-0.00071706+9.5704e-05i,6.1411e-05+0.0005606i
-0.0013089-4.3637e-05i,-0.00072293+0.00099493i,0.0008188+0.0014297i,0.0020988+0.0006127i,0.0016031+0.00065493i,0.0014209+0.0013831i,0.00076029+0.0010439i,-0.00013402+0.00051064i,-0.00027633+7.4143e-05i,-0.00045246-1.8229e-05i,-4.1785e-05-0.00043072i,0.00089126-0.00075831i,0.00097567-0.00074964i,0.00039732-0.00078529i,-0.0001582-0.0008899i,-0.00038199-0.00050848i,-0.00054882+0.00011898i,-0.0011725-0.00016662i,-0.0008162-0.0003035i,0.00010674-2.0216e-05i,-3.998e-05+0.00079166i,-0.00064587+0.0012125i,-0.00050175+0.00067036i
0.00033224+0.0012137i,0.00042259+0.002446i,0.00051429+0.0024359i,0.00050149+0.0009624i,0.0001046+0.00013046i,-0.00066026-0.00011322i,-0.00071341-0.00011748i,0.00046596+0.00014213i,0.00036196+0.00079673i,-0.00036558+0.00018497i,1.5124e-05-0.00070965i,-0.00010829-0.00050307i,-0.00076213-0.00017788i,-0.0010026+0.00026717i,-0.00043249+0.00016832i,1.6598e-05-0.00055675i,7.5572e-05-0.001142i,0.00042923-0.00077459i,0.00091147+0.0003266i,0.00028709+0.00040934i,-0.00040702-9.2253e-05i,-0.00034343-8.8717e-05i,-1.4927e-05-0.00044174i
4.4316e-05-0.001322i,0.00040932-0.00058583i,-4.5348e-05+3.7313e-05i,-0.00043257-0.0010572i,-0.00098238-0.00066779i,-0.00020913+0.00033092i,0.00071868+9.4013e-05i,0.00078083-0.00044469i,0.00078948-0.00035517i,0.00094786+0.00036921i,0.0010121+0.0012635i,0.00056405+0.00078618i,-0.0001365+0.0001153i,-0.00031112+0.00041957i,-0.00034403+0.00096683i,0.00017122+0.00080106i,0.00057199+0.0011517i,0.00056015+0.0011496i,-1.2706e-05+0.00080932i,-0.00021543+0.00023888i,0.00026951-0.0001814i,3.5428e-05-0.00067528i,0.0002156-0.00087744i
-0.00013945-0.00068985i,-7.1016e-05-0.00070651i,0.00024673-0.0004087i,0.0009132-3.4007e-05i,0.0010592+0.00021013i,0.0011086+0.0012385i,0.00060309+0.0015656i,0.00019811+0.0011763i,5.136e-06+0.0012335i,-5.9718e-05+0.0010014i,0.00027668+0.00044116i,0.00057407+0.00064382i,0.0004667-6.6585e-05i,-3.5313e-05-0.00054246i,-0.00017017-0.00020725i,-0.00045177+8.0262e-05i,-0.00084291-8.5688e-05i,-0.00032669+4.428e-05i,0.00026601+0.00040086i,3.1137e-05-0.00026184i,-0.00067168-0.00064152i,-0.0014493+4.8636e-05i,-0.0017186+0.00073488i
0.00095103-0.00067604i,0.00026872+0.00022087i,0.00075642-0.00041929i,0.00057708-0.0011485i,-7.9973e-05+0.00012909i,-0.00020519+0.0011004i,-0.00015074+0.0010493i,-0.00046166+0.00062477i,-0.00061172+0.00015745i,-0.00022032-0.00043701i,0.00012603-0.00044393i,0.00017238-0.00011205i,4.5915e-05+0.00037508i,-0.0002022-0.00014553i,-0.00014387-0.00067379i,-7.5565e-05-0.00058907i,0.00033335+0.00031343i,0.0010233+0.00045279i,0.00088455-0.00018805i,0.00023023-4.6918e-05i,0.00064294-0.00060842i,0.00092671-0.00099591i,5.7912e-05+9.7326e-05i
-0.0016979+0.00052322i,-0.0011015+0.0014393i,0.00014043+0.0012744i,0.00060283+0.00053432i,2.0555e-05+0.00086505i,-0.00025415+0.00048283i,-0.00062437-2.8942e-05i,-0.00075207-0.00037967i,-0.00032259-0.00059681i,-0.00013459-0.00035865i,0.0003565+0.00049864i,0.00072239+0.00089392i,0.0005435+6.8163e-05i,0.00036878-0.00065394i,2.8659e-05+7.3263e-05i,0.00018799+0.0010687i,0.0010771+0.0010115i,0.00089145+0.00046575i,-0.00040904+0.00015268i,-0.0010124-0.00024164i,-0.00071461-0.00052633i,-0.00019286-0.00043619i,-4.0935e-05-0.00031923i
-0.00060916-0.00011334i,-0.00059723+0.00051244i,0.00014034+0.00048457i,0.00024932+0.00079921i,-0.0003325+0.0011425i,-0.0013954+0.0011731i,-0.0013196+0.0009388i,-3.4795e-05+0.00092306i,3.5457e-05+0.00073108i,-0.0006159-5.7072e-05i,-0.00035403-0.00053723i,-0.00031103-0.00012716i,-0.00026946+7.5869e-05i,-0.00010037-8.2776e-05i,-2.2667e-05-0.00041594i,-0.00036498-0.00050437i,-0.00038655-0.00059569i,7.759e-05-0.00052675i,0.00020546+4.1513e-05i,0.00022111+0.00042554i,0.00056539+1.0126e-05i,0.00071982-0.00013513i,0.00065641+4.8096e-05i
-0.00096729+0.00080216i,-0.00036652+0.0012373i,0.00069023+0.0015469i,0.0012593+0.00068949i,0.0016128-0.00024861i,0.0013363+0.00039812i,0.00074121+0.00079882i,-0.00010582-0.00022768i,-5.2888e-05-0.0005333i,0.00076105+6.2214e-06i,0.00085379+3.8726e-05i,0.00048609+0.00010503i,0.00030975+0.00037444i,0.00036149-0.00034715i,6.9708e-05-0.0010009i,-0.00012717-0.0011239i,6.1482e-05-0.00087256i,0.0010208-0.00030195i,0.00062689-1.0346e-05i,-0.00048353-0.00030429i,-0.00023125+2.9782e-05i,0.0003502+0.00074278i,4.2055e-05+0.00054472i
-0.0015898+0.00027732i,-0.00068747+0.0012935i,0.00016696+0.0030006i,0.00023071+0.0042013i,3.4059e-05+0.0038077i,0.00071331+0.0020712i,0.001146+0.00046932i,0.00093873+0.00027883i,0.00052926+0.00035671i,0.00046857+9.9964e-05i,0.0001569+6.1219e-05i,-0.00078741+9.0368e-05i,-0.00036985+0.00022205i,0.0011664+0.0005345i,0.00069871-0.00023359i,-0.00068731-0.0009433i,-0.00062272-0.00046578i,-7.0252e-05-0.00037192i,-0.00056719-0.00025665i,-0.00080683-7.8e-05i,-2.6064e-05+0.000121i,0.00029194+0.0007834i,-0.00013188+0.0010141i
-0.00037883+0.0010607i,-0.00033587+0.0012724i,0.00088439+0.0005578i,0.0014271-0.00021286i,0.00071972-0.0010806i,-0.00018115-0.00032004i,0.000235+0.001025i,0.00096867+0.00088555i,0.00079458+5.5734e-05i,0.00082739-0.001145i,0.00065148-0.0015905i,0.00041452-0.0009034i,0.00044539+6.9201e-05i,0.00028907+0.00041126i,0.0003035+0.00063106i,0.00031765+0.00092528i,-0.00010721+0.00092779i,-0.00030819+0.00048442i,-0.00046434-9.1499e-05i,-0.0007513+0.00040742i,-0.0006567+0.00028341i,-0.00030689-0.00035215i,0.000628+9.7208e-05i
-0.00059281-0.00074442i,-0.00081698+0.00036507i,0.00094133+0.00035593i,0.0013499-0.00041622i,0.0010056+0.00037308i,0.00044973+0.0022426i,3.3086e-05+0.0018797i,0.0009229+0.00066167i,0.00033922+0.00048496i,-0.00061708+0.0011425i,-8.8322e-05+0.0014374i,-2.8743e-05+0.00072819i,-9.1212e-05+0.00031697i,-0.00043954+0.00041617i,-0.00078591+0.00027508i,-0.00042775-0.00016578i,-0.00022266+8.1451e-05i,-0.00013281+9.5557e-05i,-0.00037417-2.3516e-05i,-0.00091455-0.00019466i,-0.00083469-0.00021764i,-4.5181e-05-0.00011248i,0.00063308-0.00052112i
-0.00068519+0.0012113i,0.00026274+0.0008033i,0.00085252+0.00044899i,0.0013491+0.00030691i,0.00069021+0.00064078i,-3.2031e-05+0.0014573i,3.7856e-05+0.0021564i,0.00043644+0.0013342i,0.00076438-3.9794e-05i,0.00055581-0.00014228i,0.00049821+0.00041399i,0.000686+0.00042904i,0.00012168+0.0012076i,-0.00053926+0.0016247i,-0.00048627+0.00080802i,-0.00011607+0.00038017i,0.00026707+0.00086426i,0.00060204+0.00067935i,0.00026211+5.3572e-05i,-5.8999e-05-0.00010737i,-0.00029193-0.00023809i,-0.00082284-0.00034553i,-0.00097519-0.00027141i
0.0015886+0.0014243i,0.0019765+0.0023306i,0.0015006+0.0010393i,-0.00011822-0.00078844i,-0.0012976-0.00048254i,-0.0011527+0.00065276i,-0.00045387+0.00095421i,-8.9398e-05+0.00079029i,-0.00013371+0.00053581i,-0.00069052+0.00020463i,-0.0004027-5.5132e-05i,-0.00018666+0.00021914i,-0.00044718+0.00077056i,4.9111e-05+0.00027977i,4.7526e-05+0.0001191i,-0.00014335+0.00021163i,-0.00024875-0.00026122i,-0.0009796-0.00082994i,-0.0011026-0.00062687i,-0.00065317-0.00022679i,-0.00047562-0.00018211i,-0.00026604-0.00034585i,-0.00029301+0.00038405i
0.0014313+0.00082905i,0.00043359+0.0019639i,0.0011028+0.0018141i,0.0021509-0.00060973i,0.002053-0.0013702i,0.0010534+0.00023135i,0.00032988+0.00063745i,0.00012081+0.00029178i,-0.00012523-0.00037348i,-9.6288e-06-0.0007941i,0.00018121-4.4995e-06i,0.00031828+1.4058e-05i,0.0002816-0.0011243i,0.00016399-0.0007723i,0.00031805+0.0003187i,0.00022366+0.00026016i,-0.00036521+0.00079233i,-0.00084855+0.00074229i,-0.00048866+0.00027588i,0.00039913+0.00035231i,0.00084326-3.2243e-05i,0.00056588-0.00066892i,0.00043151-0.00094656i
0.00011871+0.00088899i,0.00043589-0.00018862i,0.00067149+1.3731e-05i,0.00098813+0.00074383i,0.0015799+0.00066232i,0.0012356+0.00073928i,0.00079442+0.000987i,0.00084642+0.00028937i,0.00042561-0.0003861i,0.00021245+2.7229e-05i,0.00040801+0.00054154i,0.00080623+0.00012816i,0.00086905+0.00031331i,-0.00014855+0.00026699i,-0.0010667-0.00014884i,-0.00090389+0.00029742i,-0.00010405+0.00012895i,2.2262e-05-0.00051141i,-0.00030871-0.00030452i,-2.3853e-05-0.00021688i,0.00015078-0.00026164i,-5.6186e-05-0.0001823i,-3.0455e-05+0.00051132i
-0.0024096-0.00061844i,-0.0014657+0.0002568i,-0.0010773-4.8137e-05i,-0.0014457-0.00052016i,-0.0011293+0.00047219i,5.7448e-06+0.00059434i,0.00059365-0.0002876i,-0.00012889-8.7227e-07i,2.6298e-05+0.00022553i,0.00062472+0.00047272i,0.00077375+0.00035625i,0.0011697-0.00018424i,0.00084649-5.2763e-05i,0.00035482-0.00024615i,-0.0005354-0.00079922i,-0.0012313-0.00077778i,-0.0010236-0.00064107i,-0.00058351-0.00021425i,-0.00014607-9.8965e-05i,1.1918e-05-9.9038e-05i,-0.00039383+0.00026415i,-0.000387+4.0851e-05i,-0.00023992-0.00050509i
-0.00017865-0.0018239i,-4.545e-06-0.0014671i,-0.00028075-0.00022208i,-0.00087313-2.3704e-05i,-0.001233-0.00058899i,-0.00077945+0.00042885i,-0.00014374+0.0015541i,-0.00010171+0.00094321i,0.00012337+0.00054473i,5.7216e-05+0.00015381i,4.047e-06-0.00059124i,0.00034545-0.0006129i,0.00095771-0.00028759i,0.0013909+0.0004463i,0.00099662+0.00043215i,0.00030971-0.00027205i,-2.2937e-05-0.00027848i,0.00029154-3.57e-06i,-0.00028138-0.00017825i,-0.001257-0.00024688i,-0.0010124+0.00041844i,-0.00041512+0.0002738i,-0.00051064-0.00046816i
-0.0030239+0.0016931i,-0.0017907+0.0031071i,0.00011539+0.0037292i,0.0019544+0.0033583i,0.0029056+0.0028519i,0.0021132+0.0017429i,0.00038307+0.00050794i,-0.00039171-0.00022762i,-0.00060962+6.0577e-05i,-9.8831e-05+0.00061048i,0.00055118+0.00076814i,0.00026976+0.00029764i,4.1143e-05+0.00018336i,9.5439e-05+0.00017495i,-0.00058455-1.2525e-05i,-0.000304-0.00054672i,0.00025431-0.00022222i,-0.00064998+0.00073292i,-0.00073677+0.00071663i,9.9476e-05-5.1648e-05i,0.00026167-0.00046251i,-9.015e-05-0.00032367i,-0.00023077+0.00016353i
-0.00022577+0.0018529i,-0.00055469+0.0016232i,-0.00066358+0.0024169i,-0.00031416+0.0014457i,-0.00031524+0.00027751i,-0.00066757+0.00061978i,0.00023814+0.00047303i,0.0007158+0.00025942i,3.8351e-05+0.0004576i,-0.00050411+0.00074225i,-0.00044152+0.00077428i,-0.00011837+8.8389e-05i,6.8114e-05-0.0003261i,-0.00097429-0.00021832i,-0.00097507-0.00064849i,0.00067486-0.00053379i,0.00088618+0.0004748i,0.00077497+0.00018226i,-4.4873e-05-0.00050052i,-5.5178e-05-0.00015099i,0.000979+0.00040358i,0.001038+0.00061387i,4.2691e-05+0.00054973i
-0.0016154+0.0022943i,-0.0012592+0.003281i,-0.00014372+0.0033688i,0.0010389+0.0020717i,0.0021145+0.0011071i,0.0012124+0.0010165i,0.00014046+0.00080803i,0.00047424+0.0009716i,0.0001581+0.0012631i,1.8112e-05+0.001008i,0.00083938+0.0011922i,0.00098112+0.0014223i,-1.3501e-06+0.00085318i,-0.0001098+4.7508e-05i,0.00035942-0.0003953i,0.0001474-0.00014698i,-0.00012773+0.0003501i,-0.00040082+0.00066773i,-0.00077291+0.00059499i,-0.00040919-0.00031753i,0.00033432-0.00080561i,0.00068907-0.0006406i,0.00030944-0.0004179i
0.00086417+0.00053367i,0.00085037+0.00013856i,0.0018828+7.977e-05i,0.0017336-0.00049142i,0.00093212-0.00071252i,0.00015323+9.2757e-05i,0.00054917+0.0013385i,0.0011868+0.00088331i,0.001114-0.00031897i,0.00031694-0.00059481i,-3.3361e-06+7.4661e-06i,-0.0004303+0.00030395i,-0.00096555+2.6814e-05i,-0.0005977-0.00029495i,-0.00034061-0.00050408i,-0.00014123-0.0005388i,-7.6129e-05+0.00027979i,-0.00040306+0.00031818i,-0.00019313-2.0692e-05i,-0.00018822+0.00010289i,-0.00039551-0.00011083i,-0.00014604+7.7625e-05i,0.00093555+0.00070295i
-0.0019749-0.00090622i,-0.0015278-9.6713e-05i,-0.0019988-2.4633e-05i,-0.0022693-0.00014059i,-0.00097984+0.00078018i,0.00038024+0.002918i,0.00091581+0.0027323i,0.00054745+0.0013767i,0.0002816+0.0010699i,4.2983e-05+0.0010133i,-2.7912e-05+0.00057931i,0.0002807+0.0012069i,0.00050497+0.0012097i,0.00069851+0.00015994i,0.0011089-0.00032044i,0.0010172-5.0503e-05i,5.4882e-05-0.00052837i,-0.00048985-0.00058927i,-0.00080392-6.6009e-05i,-0.00029025-8.5939e-05i,0.00054123-0.00034728i,0.0011964-0.00014934i,0.0011802+0.0008136i
0.0018269+0.0013424i,0.0013276+0.0013865i,0.0011871+0.0002629i,0.00036756-0.0009068i,-0.00033557-0.0010456i,-0.00054279+0.00026298i,-0.00071815+0.0018735i,-0.00018584+0.0019349i,0.00046751+0.0011809i,-4.8001e-05+0.00060996i,-0.00043855+0.00051512i,-0.00045456+0.00079679i,-0.00089924+0.00011123i,-0.00033917-0.00038478i,0.00097629+0.00023858i,0.0012109-0.00035357i,0.00077725-0.00056796i,0.00031967-0.0003418i,-0.0002539-0.000878i,0.00011702-0.00084327i,0.00065039+0.00077717i,0.00021681+0.0018124i,-8.8534e-05+0.0015918i
-0.0020327+0.0020803i,-0.0022035+0.0018501i,-0.0009743+0.00050673i,0.00066554+0.00038849i,0.00061136+0.00060057i,0.00012927+0.0005784i,0.0002698+0.0014331i,0.00025324+0.0014217i,0.00012234+0.00060324i,-0.00036837-1.9842e-05i,7.4361e-05-0.00060177i,0.00053425-0.00042741i,0.00043945+0.00018937i,0.00027327-0.00031559i,0.00011558-0.001017i,0.00030764-0.0010027i,0.00051723-0.00016277i,6.7515e-05+0.0006148i,-0.00017821+0.00047i,-0.00014199-4.168e-05i,0.00017046-0.00068412i,-0.00037377-0.00062073i,-0.00086102-8.2526e-05i
-0.0022491+0.00088i,-0.0020381+0.0013108i,-0.0013032+0.0018126i,0.0002244+0.0020565i,5.1025e-05+0.0028011i,-0.00023638+0.0027694i,0.00073183+0.002109i,0.00088464+0.0014819i,0.00078232+0.00087348i,0.0011189+0.00084775i,0.0012116+0.0010016i,0.001118+0.00075155i,0.0011215+0.0001042i,0.00079533-0.00035567i,0.00042809-0.00071684i,-3.2616e-05-0.00086283i,-0.00025234-0.00036475i,0.00034623+0.00052048i,0.00015099+0.00055631i,0.00016959-5.7326e-05i,0.00088274-0.00062959i,0.00087043-0.0006278i,0.00020994-0.00029383i
-0.001262+0.000585i,-0.00014181+0.0011109i,0.00085121+0.00097926i,0.00089941+0.00048572i,0.00035708+0.00024992i,4.3183e-07+0.0012169i,0.00053446+0.0014503i,0.0010166+0.00084648i,0.0006616+0.00041443i,0.00072394-9.9858e-05i,0.0011693+0.00073471i,0.0010339+0.0014848i,0.00087757+0.00044433i,0.0011072-0.00072662i,0.0011413-0.00037926i,0.00056122-5.721e-05i,-3.3799e-05-0.00034965i,-0.00018345-0.0008992i,9.2748e-05-0.00047037i,0.00027662+7.9844e-05i,-3.91e-05-0.00020234i,-0.00065077-0.00019111i,-0.00098387-2.7156e-05i
-0.00069959+0.00034057i,-0.00043701+0.00051688i,-2.3908e-05+0.00050748i,-0.00018768-0.00089845i,-0.0003121-0.00051436i,-0.00096971+0.0011572i,-0.00039029+0.0019679i,-6.1259e-05+0.0012907i,-0.00075882-2.5847e-05i,-0.00063243-7.2137e-05i,0.00019431+0.00038099i,0.0004859-1.3237e-05i,0.00024989+8.5599e-05i,-3.2409e-05+0.00041796i,0.00037116+0.00049932i,0.00093856-6.6208e-05i,0.00029226-0.00012718i,-0.00060039+0.00017325i,-0.00018098+9.1741e-05i,-0.00026875+0.00087009i,-0.00076735+0.00080405i,-0.00052987-3.8279e-05i,-0.00027291+0.00024208i
