-0.013145-0.0028686i,-0.00044868-0.024361i,0.011029-0.032795i,0.016899-0.019012i,0.010296-0.0048424i,-0.0038195+0.00082617i,-0.014554+0.0060841i,-0.015368+0.0086159i,-0.010064+0.0053547i,-0.0047025+0.0019807i,-0.0016218+0.0011029i,-0.0013704+4.8835e-05i,-0.002697-0.00067911i,-0.0026531-0.0010596i,-0.00096051-0.0017374i,-0.00062922-0.0013461i,-0.0016675-0.00022231i,-0.0027401+0.00013641i,-0.0026354+0.00015962i,-0.00086193+5.486e-05i,-0.0003024+0.0012553i,-0.0010081+0.0021461i,-0.0017544+0.0013438i
-0.012879-0.0045424i,-0.0046335-0.011641i,-0.001588-0.013663i,-0.0027339-0.004121i,-0.001888-0.0024792i,-0.0023648-0.010635i,-0.0084509-0.013181i,-0.011435-0.010564i,-0.0064959-0.007017i,-0.0021085-0.0033824i,0.00019554-9.3557e-05i,0.0027156+0.0023376i,0.004813+0.0023819i,0.0043932+0.0024811i,0.0011878+0.0027889i,-0.0015744+0.0017619i,-0.0018533+0.0008294i,-0.00075963+0.00087701i,-0.000339+0.0017434i,-0.00074995+0.0022197i,-0.0012425+0.001649i,-0.0010292+0.00010216i,-0.00085464-0.00023508i
0.0021658-0.0065452i,0.028858-0.0019875i,0.038764+0.0038262i,0.022037+0.0049036i,0.0029241+0.00077707i,-0.004309-0.0050736i,-0.0043326-0.012135i,-0.0019034-0.015355i,0.0001442-0.011315i,0.00053153-0.0051178i,-0.0005703-0.0014886i,-0.0020971-0.0010103i,-0.0034228-0.0018427i,-0.003379-0.0012005i,-0.0014058-0.0013412i,-6.7614e-05-0.0020708i,-0.00044344-0.0019358i,-0.00020464-0.0012204i,6.91e-05-0.00063548i,-0.00024628-0.00082226i,-0.00030353-0.00086634i,-0.00059824-0.00070108i,-0.00034806-0.00083647i
-0.0091083-0.0046911i,-0.0092011+0.012826i,-0.011598+0.016246i,-0.010996+0.006374i,-0.0029475-0.0048718i,0.0071104-0.0092688i,0.014003-0.0090411i,0.014615-0.0072202i,0.0096806-0.003316i,0.0039628-0.001894i,0.00057586-0.0017519i,0.00026241+0.00099501i,0.0010363+0.0037398i,-0.00015514+0.0039456i,-0.0012973+0.0029492i,-0.00087818+0.0021299i,-3.8694e-05+0.0018996i,9.0148e-05+0.0020946i,-0.00068514+0.0012434i,-0.00082458+6.8461e-06i,0.00029918-0.00051845i,0.00098519-0.00037137i,0.0016571-0.00036508i
-0.0027383-0.010524i,-0.0016683+0.0060015i,0.0013321+0.010903i,0.0045244+0.0026678i,0.005528-0.0052226i,0.0031186-0.0031757i,0.0042503+0.0043031i,0.0060685+0.0069264i,0.0038617+0.0056144i,0.0018047+0.0036855i,0.0025549+0.00088191i,0.0024368-0.001054i,0.0011935-0.0020861i,0.0011134-0.0013882i,0.0019604+0.0016232i,0.0020955+0.0030124i,0.0017546+0.0019931i,0.0017664+0.0012364i,0.0026253-3.3252e-05i,0.0030079-0.00055547i,0.0015223+2.6755e-06i,0.00067032+0.00015322i,0.00060792+0.00077755i
-0.0093975-0.0084545i,-0.027295+0.00028224i,-0.027034+0.00069574i,-0.0093462+0.0012599i,0.0077005+0.0032994i,0.010326+0.0033728i,0.0042875+0.0068516i,0.00099467+0.008437i,-0.00077553+0.0050284i,0.00016573+0.0034803i,0.0028279+0.0017332i,0.0015959-2.1175e-05i,0.00010978+0.00185i,-0.00073467+0.0016647i,-0.0022536-0.001155i,-0.0021209-0.0018178i,-0.0015894+0.00024896i,-0.0014215+0.0011674i,-0.00089143+0.00077517i,-0.00061244+0.00033794i,-2.8401e-05+0.0003497i,0.00023482+0.00032287i,-3.1115e-05+0.00016334i
0.0096106-0.020362i,0.00088701-0.020552i,0.00064428-0.011894i,4.5658e-05+0.0023952i,-0.0030428+0.011329i,-0.0074217+0.0080314i,-0.011211+0.0039785i,-0.0098198+0.0026326i,-0.0065975+0.00031395i,-0.0045282+0.0023075i,-0.00018281+0.0056573i,0.0028352+0.0045986i,0.0025141+0.0023624i,0.0021279+0.0014569i,0.0015122+0.0017085i,0.0003194+0.0013789i,-0.00069492+0.0005462i,-0.00099059-9.712e-06i,-0.00028163-0.00011245i,-5.8681e-05+0.00029468i,-0.00033659+4.0369e-05i,-0.00079306+6.3007e-05i,-0.0017615+0.00059649i
0.011333-0.009611i,0.0011065-0.017703i,-0.0034616-0.019399i,-0.0095006-0.014993i,-0.012406-0.0082481i,-0.0076004-0.0044743i,-0.0055287-0.0050155i,-0.0050953-0.0056722i,-0.0030714-0.0051606i,-0.0034175-0.0032248i,-0.0035373-9.8502e-05i,-0.0032063+0.0005161i,-0.0041615+0.00048358i,-0.0036525+0.00091666i,-0.0013759-0.00088323i,-0.00074045-0.0015871i,-0.001421-0.0010868i,-0.0013074-0.00085107i,-0.00086517-0.00071513i,-0.00054586-0.00037122i,-0.00094454-4.3787e-05i,-0.0015427-0.00077318i,-0.0016184-0.0012962i
0.016092+0.00025335i,0.01411-0.00015859i,0.013969+0.0071058i,0.011316+0.00084822i,0.0025916-0.012127i,-0.0033073-0.015321i,-0.0029513-0.013918i,-0.00080852-0.010548i,-0.00051536-0.0066649i,-0.0041558-0.0041093i,-0.0059575+0.00074733i,-0.002553+0.004161i,0.00020951+0.0022238i,0.00042028+0.00054169i,0.00052567+0.0015807i,0.0013632+0.0020554i,0.0021643+0.0010331i,0.002622+0.00013566i,0.0030974+0.00019694i,0.0028864+0.0012816i,0.0018453+0.00028726i,0.0011186-0.001732i,0.00059686-0.0018085i
0.011577+0.016854i,0.0086433+0.0077862i,0.0078246+0.0052414i,0.015003+0.0013078i,0.01953-0.0041298i,0.016446-0.0042983i,0.011663-0.0013226i,0.0079361+0.00071611i,0.0057434-0.0001575i,0.0037833-0.0038076i,0.00070341-0.0061236i,-0.0018156-0.0067751i,-0.0040399-0.0056745i,-0.0038275-0.0021431i,-0.0011581-0.00059326i,0.00015037-0.00074945i,-0.00052115+0.00010584i,-0.00066855+0.0011611i,0.00026471+0.0010651i,0.00048901-0.00032379i,0.00085402-0.0012038i,0.00048611+0.00011876i,0.00083557+0.0014677i
0.0059682+0.013553i,0.0013148+0.011095i,-0.0069176+0.019128i,-0.0018706+0.024738i,0.0070928+0.017661i,0.0070568+0.0074299i,0.0040584+0.0029327i,0.0031357+0.0018898i,0.0015729-1.9986e-05i,-0.00037391-0.0029374i,-0.0021-0.0026483i,-0.002159+0.00085628i,1.3723e-05+0.0026669i,0.00096821+0.0023215i,0.00033541+0.0024155i,3.1732e-08+0.0026223i,0.00031907+0.0022928i,0.00069473+0.0006932i,0.00090631-0.00031417i,0.0012012+0.00072346i,0.0014739+0.001431i,0.0015634+0.00082174i,0.00068445+0.00064759i
-0.0083325+0.012271i,-0.0068276-0.0037916i,-0.01656-0.012909i,-0.019824-0.0010041i,-0.012104+0.012968i,-0.0046005+0.014015i,-0.0016345+0.0098732i,-0.00042827+0.005646i,0.0012953+0.0025375i,0.0045415+0.00030249i,0.0073117-0.0026274i,0.0071791-0.0052852i,0.0053591-0.0057032i,0.0036426-0.0039835i,0.0014484-0.002577i,-0.00014174-0.0014856i,-0.0014996-0.00018143i,-0.0021599+0.00087814i,-0.0021209+0.00036245i,-0.0024843-0.00056551i,-0.002288+0.00053923i,-0.0018594+0.0014659i,-0.0016274+0.0010577i
-0.0123+0.0091447i,-0.0012999+0.0018931i,-0.0068418-0.0085965i,-0.019995-0.0079769i,-0.025417-0.0018233i,-0.020423+9.6552e-05i,-0.011556+0.00023645i,-0.0041437+0.00037829i,-0.00027929+0.00043768i,9.8563e-05+7.9624e-05i,-0.00073565+7.9755e-05i,-0.0024808+0.0010763i,-0.0040829+0.0032467i,-0.0042441+0.0046852i,-0.0045482+0.0038942i,-0.0041018+0.0028842i,-0.002777+0.0028126i,-0.0014983+0.0031141i,-0.0008141+0.0029454i,-0.00091826+0.0017527i,-0.00090176+0.00098295i,-0.00085562+0.00089873i,-0.00054384-0.00022106i
