-0.0014345-0.00045127i,-0.0014167-0.00072197i,-0.0016015-0.00077822i,-0.0029272-0.00065543i,-0.0037833-0.00013139i,-0.0035744+0.0005657i,-0.0020679+0.00062798i,-0.00023187+0.0015395i,0.00088224+0.0022879i,0.0011553+0.0019092i,0.001078+0.0015024i,0.0008732+0.00094369i,0.000578+7.9544e-05i,0.00048641-0.0001375i,0.000558+0.00012403i,0.00088534+0.00024056i,0.0005068+0.00078491i,8.13e-05+0.00041988i,0.00057099-0.00060777i,0.00030811-0.00044275i,-0.00024681+0.00053825i,-0.00045747+0.0010411i,-0.00064676+0.0011198i
0.0002641+0.0013015i,0.0006358+0.00084037i,0.0015355+0.00083458i,0.0019159+0.00051463i,0.0011042-0.00042422i,-0.00041529-0.00098357i,-0.00047498-0.00068741i,0.00023024-1.8723e-05i,0.00052886+0.000387i,0.00047253+0.00030623i,0.00030303+0.00060229i,0.00011268+0.00098341i,-0.00028738+0.00087604i,-0.00013436+0.00059093i,-0.00028539+0.00025198i,-0.00041095+0.00011386i,0.00039021-0.00019013i,0.001144-6.8021e-05i,0.00080345-6.3046e-05i,0.00021429-0.00058071i,0.00039732-0.00065138i,0.00060351-0.00041813i,0.00022327-0.00030909i
0.00078304-0.0021014i,0.00017865-0.0019138i,-0.00089736-0.0032732i,-0.0018323-0.0028393i,-0.0011832-0.00075696i,-0.00026725-0.00017712i,-0.00041145+0.00018845i,-1.3749e-05+5.3211e-05i,-0.00039595-0.00041241i,-0.0021986+0.00014264i,-0.0025181+0.00098917i,-0.0014337+0.0011312i,-7.6339e-06+0.0011499i,0.00044356+0.0015202i,-0.00014662+0.0014179i,-6.65e-05+0.00048083i,0.00055654-0.00025936i,0.00075106-0.00074552i,0.00021278-0.000658i,-2.5805e-05-0.00017377i,0.00013206+6.5715e-05i,-0.00023826+0.00073472i,-9.6349e-05+0.0010662i
0.00025306+6.3793e-05i,0.0004069-0.00020158i,0.0013236+0.00014732i,0.0018608-9.4696e-05i,0.0012947-0.00088892i,-0.00079814-0.0010397i,-0.0015427-0.00069564i,-0.00037595-0.00080771i,0.00049046-9.3159e-05i,0.00016433+0.00069052i,0.00030069+0.00081056i,0.0003217+0.00023622i,-0.00064596+0.00039591i,-0.00082208+0.00090014i,0.00019981+0.00061467i,0.00049148+0.00061937i,-7.4202e-05-7.4273e-05i,0.00020087-0.0009722i,0.00091339-0.00072728i,0.00070967-0.00055943i,0.00057044-0.00065104i,0.00030388-8.0579e-05i,-0.00014787+0.00073414i
0.00012234-0.00075852i,-0.00022937-0.0010159i,-0.00095438-0.0012115i,-0.0020498-3.3024e-05i,-0.0023927-0.00023605i,-0.00089313-0.0014857i,0.00026105-0.0012938i,0.00036451-5.781e-06i,-0.0001255+0.00051763i,-0.00038384+0.00010533i,-0.00054173+0.00056084i,-0.00027055+0.00087281i,0.00024549+0.0012493i,0.00079244+0.0012978i,0.00098043+0.00069546i,0.00092052+0.0010719i,0.001255+0.0015454i,0.0015045+0.00074781i,0.0017944-0.00043679i,0.0014195-0.00085275i,0.00077735-0.0004448i,0.00017495-0.00029915i,-0.00035035-8.7618e-05i
0.0002496+0.0010062i,0.00088376+0.0008059i,0.00071615+0.00085912i,0.0013592+0.00037599i,0.0020489-0.00067609i,0.0023385-0.000814i,0.0020891+0.00065518i,0.0011875+0.0012954i,0.00050075+0.0010086i,0.00014856+0.00099508i,-1.849e-05+0.00069833i,-0.00014407+0.0006071i,-0.00020159+0.00079246i,-0.00036552-9.2759e-06i,0.00038583+2.213e-05i,0.0012+0.0010937i,0.00074994+0.0014955i,0.0010725+0.00023207i,0.0013401-0.00097377i,0.00031838-0.00067011i,-5.5587e-05-2.1491e-05i,0.00042515+0.00022693i,0.00094921-0.00023209i
-0.00085944+0.0029627i,0.00093167+0.0024621i,0.0024671+0.0024801i,0.0014386+0.0014539i,-0.00024965-1.9926e-05i,-0.00072689-0.00038766i,-0.00043133+3.479e-05i,-0.0001034-0.00042806i,-0.00010774-0.00052068i,-0.00046981+0.00040827i,-0.00044365+0.00065021i,0.00012076+8.7933e-05i,0.00028044-0.00018529i,0.00037294+0.00048792i,0.00011148+0.00097553i,-0.00010246+0.00017097i,-9.1025e-05-0.00023852i,-0.00012149-0.00021726i,0.00055103-0.00099306i,0.0010255-0.00051088i,0.00062936+0.00023979i,0.00017945+0.00025018i,4.147e-05+0.00020767i
0.00035566+0.0014336i,0.0010851+0.00082024i,0.0017204+0.00053338i,0.0015053+0.00033607i,0.00083294+2.3733e-05i,0.00026433-0.00012343i,0.00062739-0.00022425i,0.00075135-0.00026557i,0.0007358+0.00037332i,0.0010086+0.0010047i,0.0011663+0.00084266i,0.00071921+0.00019626i,-0.00022715+0.00037425i,-8.4174e-05+0.00057269i,0.00018217+0.00092244i,-0.00020728+0.00073156i,0.00015528+0.00024758i,0.00048661+0.00049176i,5.289e-06+0.00021875i,-0.00083616-0.00024203i,-0.00083651-0.00021624i,-5.7496e-05-0.00012257i,-0.00024535-2.4991e-07i
0.001106-0.0011558i,0.00023502-0.00065572i,-0.00018273-0.0016137i,8.9951e-05-0.001239i,-0.00055517-0.00027231i,-6.3734e-05-0.00027367i,0.00061008+0.00034325i,0.00031809+5.2371e-05i,0.00020825-1.5558e-05i,-0.00041674+0.00051559i,-0.00093942+0.0016145i,-0.00028817+0.0026294i,0.0004872+0.0024381i,7.3882e-05+0.0015645i,-0.00044849+0.0010815i,-2.0494e-05+0.00098693i,0.00080989+0.0011445i,0.0012285+0.00097796i,0.0010982-0.0002905i,-1.5485e-05-0.00042985i,-0.0002912+0.00021906i,-0.00023165+0.0002i,-0.00058952-4.3273e-06i
0.0007286+0.0016735i,0.0010352+0.00045788i,0.0014428+0.00085781i,0.00087782+0.00055718i,0.00083721-6.9869e-05i,0.00037661-0.00030595i,-0.00012077+0.00052041i,0.00042185+0.00064021i,0.00028969+0.00023774i,3.8305e-05+0.00096152i,0.00051129+0.0011331i,-7.0442e-05+0.00058852i,-0.00031256+0.00069102i,-0.00052375+0.0007164i,-0.00024564+0.00082027i,0.00056252+0.00038398i,0.00087296+0.00039678i,0.00088417+0.00071947i,0.000385-6.5218e-05i,-0.00025534-0.00071931i,-0.00082066-0.00057512i,-0.00053783-0.00065155i,-4.6867e-05-0.00022608i
-0.0010078+0.0011059i,1.6841e-05+0.00090955i,0.00086523+0.001115i,0.00058821+0.00095149i,-9.7615e-05+0.00016448i,-0.00085396-0.0005832i,-0.00097192-0.00015895i,-0.0003372+0.00073668i,0.00032456+0.00065379i,0.00078415+0.00010271i,0.00086169+0.00041865i,0.00080791+0.00039256i,0.00010685+0.00013094i,-0.00056849+9.8773e-05i,-0.00013707+3.5167e-05i,0.00015426-1.7748e-06i,-0.00016486-0.00065521i,0.00037944-0.00099701i,0.00025252-0.00055653i,-0.0007144-0.00011533i,-1.197e-05-0.00022859i,0.00079262-0.00089491i,0.0006099-0.00039988i
-0.00059039+0.001585i,-1.263e-05+0.0018755i,0.00037461+0.0024593i,0.0012482+0.0016028i,0.0013528+5.7433e-05i,0.00064193-0.00086815i,-5.5295e-05-0.00076634i,0.00025493-0.00062338i,0.00039794-8.174e-05i,0.00015489+0.00055262i,-4.6118e-05+0.00087749i,-7.3827e-05+0.00078462i,0.00011139+3.0045e-05i,0.000478-0.00023965i,0.00033538-0.00016768i,0.00025888-0.00037811i,0.00047157-0.00042653i,0.00099763-0.00014981i,0.0011924-0.0004304i,0.00067496-0.00062359i,0.00022812-6.326e-05i,0.0005906+0.00011304i,0.00082558+0.00019678i
-0.00051764+0.001483i,0.00065605+0.0013986i,0.0010217+0.001755i,0.0013167+0.0018127i,0.0011138+0.00061067i,0.00021068-0.00085318i,0.00035826-0.00030187i,0.00093986+0.00050229i,0.0012511+0.00063824i,0.00077312+0.0011428i,6.6964e-06+0.0012893i,-0.00017645+0.00059677i,0.0001222+5.3132e-05i,0.0003937-0.00022922i,0.00037067-0.00045039i,0.00055899-0.00040855i,0.00093519-0.00049958i,0.0011256-0.00044635i,0.0010061+0.00026744i,0.00058879+0.00032582i,-9.7427e-05+8.1854e-05i,-0.00055056+0.0004836i,-0.00027176+0.00049833i
0.00065647-0.0010586i,0.00018093-0.00017735i,-6.1029e-05-0.00041864i,-0.00013871-0.00086341i,0.00015781-0.00060321i,-0.00013861-0.0004541i,-0.00035343-0.00061501i,0.00023866+0.00048635i,0.00073237+0.00093549i,0.00029946+0.00039147i,-0.00053655+0.0010722i,-0.00068118+0.0012094i,-0.00046743+0.00099635i,-0.0005973+0.00084134i,-0.00059205-0.00024605i,0.00011913+0.00027578i,-5.8302e-07+0.0010396i,-7.5756e-05+0.00010969i,0.00035446-0.0005003i,0.00024224-0.00056187i,-0.00016135-0.00073545i,-0.00030104-0.00035468i,-1.4938e-05+0.00066375i
-0.00085998+0.0025139i,-0.0017187+0.0022624i,-0.00029443+0.0027111i,0.0012066+0.0015671i,0.0011814-0.00019708i,3.557e-05-0.0012647i,0.00015793-0.00047793i,0.00091095+0.0012055i,0.0010709+0.00232i,0.00062503+0.0014976i,-2.1264e-05-1.6136e-05i,-0.0002679-0.00011879i,-0.00045722+0.00030453i,-0.00052361+0.00030082i,-0.00040793-0.00010121i,-7.7221e-05+0.00018027i,0.00049855+0.00068531i,0.00068381+0.00065023i,0.0013192+0.00043426i,0.0014169+0.00035628i,0.00062724+0.00025726i,-6.0406e-05+0.00027343i,0.00013858+0.00013788i
0.00030159+0.00049952i,-0.00010731+0.00023883i,0.00061558-0.00079125i,0.00025756-0.0019439i,-0.0010339-0.0013068i,-0.00096363-2.6928e-05i,0.00036537-1.7103e-07i,0.00076278-0.00054914i,0.0008681-0.00035022i,0.00070585+0.00031077i,-1.5889e-05+0.00036812i,0.00067089+0.00041097i,0.0010708+0.0010199i,0.00043191+0.0015942i,0.00051588+0.0017468i,0.0002222+0.001029i,0.00026179+2.5507e-05i,0.00064733-0.00093308i,0.00078495-0.0013213i,0.00063197-0.00061604i,0.00046283-0.0004702i,8.5375e-05-0.00050815i,-0.0007538-0.00018933i
0.0011925-0.0013673i,0.00012298-0.00081558i,-5.8338e-05-0.0010026i,-8.356e-05+7.3448e-05i,-0.00027412+0.0007455i,0.00052626+1.1862e-05i,0.0013445-6.2433e-05i,0.0014126+0.00060383i,0.00055387+0.00052329i,0.0001236+0.00025152i,0.00013489+0.00060392i,-4.67e-05+0.00087736i,0.00057338+0.00088258i,0.0010169+0.0010896i,0.00058279+0.00092497i,0.00078133+0.00058884i,0.0014967+0.00074587i,0.0014823+0.00029075i,0.001332+0.00029837i,0.0013418+0.00072769i,0.00038053+0.0012043i,-0.00091899+0.00058529i,-0.0012728+0.00022249i
0.00071996+0.00015037i,0.00047472-0.00069072i,0.00015904-0.00039069i,0.00073796-0.00080691i,0.00072283-0.0012751i,-0.00043052-0.0007397i,-0.00083147-0.00014408i,-0.00032284+0.00063885i,0.00012471+0.0010412i,0.00058594+0.00084727i,0.00047021+0.00066152i,-0.00023082+0.0010977i,-0.00018402+0.00023816i,0.00023014-0.00041207i,-0.00010778-0.00015626i,0.00027769-0.00039193i,0.00065009-0.00050105i,0.00017276-0.00084835i,-2.2619e-06-0.00063266i,0.00029667-6.5095e-05i,0.00043452+0.00018587i,-0.00011913-8.4384e-05i,-0.00010641-0.00010467i
0.00054633+0.0014632i,-0.00019559+0.0018003i,0.00026388+0.0020514i,0.0015901+0.00091623i,0.0017107-0.00065536i,0.00081611-0.0015293i,0.00030608-0.0013807i,0.00011954-0.00077553i,6.2958e-05+3.0406e-05i,-0.00015277-0.00024243i,-0.00040381-0.00063429i,-0.00043625-0.00034965i,-0.00042488-0.00028629i,-0.00057758+9.8001e-05i,-0.00058804+0.00016939i,0.00020854+0.0003671i,0.00060815+0.0006882i,0.00029243+9.6298e-05i,0.0001303-0.00053648i,0.00068051-0.00017987i,0.00036314+0.00015143i,-0.000172+0.00026924i,-0.00012536+8.4277e-05i
-0.00071814+0.0015048i,-0.000852+0.00055047i,0.00037677+0.00027773i,0.00074661-0.0010733i,0.00062944-0.0019109i,0.00015626-0.0020224i,0.00047292-0.0015703i,0.0011494-0.00037334i,0.0012222+0.00040146i,0.00071581+0.00050862i,5.0964e-06+0.0006906i,-0.0001052+0.00067256i,-0.00020091+0.00051144i,-2.8816e-05+0.00052822i,0.00045566-0.00013616i,0.00040072-0.00047005i,0.00014837+0.00028283i,0.00055197+0.00079119i,0.00083935-2.9566e-05i,0.00068521-0.00058967i,0.0001842-0.00037975i,-0.00032434+0.00022225i,-0.00036644+0.0002015i
0.0015287-2.7623e-05i,0.00052938-0.00079976i,-0.00072429-0.0010394i,-0.00093469-0.00063512i,-0.00047306-0.00033042i,-0.00030066-0.00018976i,0.0002696-0.00017128i,0.0016665+0.00016922i,0.001575+0.00092497i,0.0004609+0.0011975i,1.272e-05+0.00076986i,-5.1971e-05+0.00091508i,-0.00027429+0.00098274i,-0.00072432+0.00073284i,-0.00083486+0.00065211i,-0.00098159+0.00041651i,-0.00065029-0.00013417i,0.00024074-0.00029676i,0.00042544+0.00010901i,0.00016618+9.466e-05i,-0.0003298-0.00011367i,-0.00029158-0.00038638i,0.00027919-0.00036656i
-0.00056051+0.0034825i,-0.00088326+0.0024637i,0.00031003+0.0028333i,0.002154+0.0013892i,0.0026268-0.00015502i,0.0016337-0.00020833i,0.00066288+0.00031934i,0.00074506+0.0009798i,0.00048671+0.001529i,0.00068064+0.0011497i,0.00092145+0.00030452i,0.00066062-0.0005308i,0.00074768-0.00068743i,0.00028859-4.0569e-05i,0.00021965+0.00023696i,0.00060153-7.448e-05i,0.00036785+0.00039i,0.000549+0.00051316i,0.00085086-2.6286e-05i,0.00026715-0.00042615i,0.0003913-0.000502i,0.00049418-0.00042271i,0.00025194+8.6994e-05i
0.00070692-0.001097i,0.00099225-0.0014804i,-0.00086082-0.0022027i,-0.0012838-0.00081763i,-0.0010413+0.00015253i,-0.0012782-6.6419e-05i,-0.00089727-0.00052012i,-0.00066193-0.00082151i,-0.00044736-0.00075444i,-0.00070877+0.00038369i,-0.00092723+0.0011286i,-0.0010228+0.0015371i,-0.00038659+0.0017492i,0.00013874+0.00077456i,0.00027045-0.00023678i,0.00050079-0.0001207i,0.00018617-7.1429e-05i,0.00087335-0.0006908i,0.0013408-0.00078181i,0.00050286-0.00012208i,0.00045096+0.0003621i,0.00060518+0.00064405i,-6.006e-05+0.00013519i
