-0.0013126-0.00023859i,-0.00057505-0.00074679i,-0.00078122-0.0001174i,-0.0013695+0.00066698i,-0.0025615+0.0014975i,-0.003674+0.0024172i,-0.0031951+0.0023547i,-0.0015383+0.0012764i,-0.00036245+6.9871e-05i,-0.00048719+0.00028617i,9.4427e-05+0.00080049i,0.00060897+0.00033724i,0.00014992-0.00032986i,0.00045385-0.00040436i,0.00021329+9.4638e-05i,-0.00041961+0.00087359i,-0.00052723+0.00051647i,-0.00043036-0.00038114i,0.00020771-0.00074809i,0.00088438-0.00086262i,0.0018341-0.00077807i,0.0019744-0.00043916i,0.00074912-4.4799e-05i
0.0006051-0.0012612i,0.00053905+0.00058254i,0.00016367+0.00093092i,-0.00042229+0.00060715i,-0.0013358+0.0010207i,-0.0027165+0.0013432i,-0.0021139+0.0013597i,-0.00064276+0.00073788i,-0.00068794+0.00020668i,-0.00049185+0.00056306i,0.00033508+8.3043e-05i,-2.7698e-05-0.00036983i,-0.00052497-6.6051e-05i,-0.00022082-2.2071e-05i,-0.00019007+0.00016585i,-0.00027004+0.00053924i,0.00021157+0.00022388i,-0.00010404+0.00032583i,-0.00012337+0.00052804i,-0.00026705+0.00017484i,-0.00055152-4.8078e-05i,-0.00020125+0.00046649i,-9.0836e-05+0.00059455i
2.9127e-05-0.0012207i,-0.00026924-0.00059684i,-0.0012756-0.0019053i,-0.002464-0.0023242i,-0.004262-0.00040786i,-0.0046004+0.0012036i,-0.0028057+0.0012059i,-0.0013124+0.0010283i,-0.00098546+0.0006293i,-0.0011144-0.00015097i,-0.00081559-0.00029953i,-0.00046987-0.00036655i,-0.0004798-0.00091859i,-0.00025516-0.00099604i,-0.00058604-0.00025167i,-0.0005399+0.00055831i,0.00023865+0.00041061i,0.00019595+5.2413e-06i,-1.1725e-06-0.00019209i,-0.00018151-6.1252e-05i,-0.00060873-2.8455e-05i,-0.00034643-0.00016378i,-0.0001832-7.2973e-05i
-0.00013252-0.00092264i,-0.00080718-0.00031153i,-0.00040734+0.00015235i,-0.00045169+0.002103i,-0.0012187+0.0031867i,-0.0021102+0.0034885i,-0.0020231+0.002824i,-0.00087327+0.0010508i,-0.00077055-0.00031116i,-0.0012504-0.00071687i,-0.00037224-0.00049223i,3.9706e-05-0.00085264i,-0.0003138-0.0010368i,-0.00032007-0.00071741i,-0.00015018-0.0009395i,0.00023901-0.00082519i,0.00014835-0.00046061i,-0.00016142-0.00041954i,-0.00027979-0.00018615i,-0.00030206-0.00017644i,-0.00050838-3.8658e-05i,-0.00090088-1.3092e-05i,-0.00041871-0.0003843i
-9.5315e-05-0.00089426i,-9.8422e-05-0.00050839i,-0.0015608-0.0016915i,-0.0020464-0.0024673i,-0.0018769-0.00050275i,-0.0022547+0.0015558i,-0.0013443+0.0016552i,-0.00071822+0.0005047i,-0.0014279-0.00074209i,-0.001016-0.00077508i,-0.00010936+8.8843e-05i,0.00055885+1.6898e-05i,-5.8902e-05-0.00061731i,-0.00096595-3.208e-05i,-0.00035054+0.00072009i,-6.5272e-05+0.00066742i,-0.00064727+0.0004326i,-0.00046597+2.3317e-05i,0.00020844-9.2753e-05i,7.4007e-05+0.00022201i,-0.00011929+0.00027216i,0.00034831+0.00028838i,0.000315+0.00035474i
-0.00013311-0.00032618i,-0.00023878+0.00053593i,-2.0455e-05+0.0012189i,-0.00068555+0.00081403i,-0.0018245+0.00058059i,-0.0020595+0.0010089i,-0.0019372+0.0015186i,-0.00080768+0.00062971i,-7.9918e-05-0.00017295i,-0.00029618+0.00039138i,-0.00022817+0.00024297i,-6.2964e-05+0.00019393i,-1.018e-05+0.00013719i,8.4647e-05+0.00052921i,0.00026068+0.00079443i,-5.3736e-05-0.00036674i,-0.0010731-0.0009929i,-0.0013732-0.00034751i,-0.00061089+0.00010072i,0.00027211-0.00047476i,-0.00032043-0.0010707i,-0.0010165-0.0002421i,0.00027391+0.0010035i
-0.00050451+0.0010105i,-0.00085036+0.00078789i,0.00016812-0.00012616i,0.00010638-0.00090173i,-0.001512-0.00031054i,-0.0033912+0.0006362i,-0.0036952+0.00076797i,-0.0022865+0.00025912i,-0.00074719-0.00029231i,-0.00041314-3.6901e-05i,6.7515e-05+0.00032829i,0.00044713+0.00013369i,0.0001425+0.00036794i,0.00038107+0.00093917i,0.00092767+0.00092176i,0.00070424+0.00065288i,0.00024856+0.00062329i,-0.00041062+0.0005688i,-0.00065526+2.7157e-05i,-0.0005575-0.00056517i,-9.4701e-05-0.00039947i,-0.0004114-8.0172e-05i,-0.00033419-0.00016935i
-0.00014474+0.00032697i,0.0004066-0.00018324i,-0.00043098+0.00043266i,-0.0020051+0.0014875i,-0.0027989+0.0023097i,-0.0027004+0.002857i,-0.0018168+0.0022239i,-0.00066698+0.00093442i,-0.00011906-7.6823e-05i,-4.2193e-05-0.00044822i,-0.0004082-0.00040238i,-0.00056798-0.0010275i,-0.0011821-0.0014906i,-0.00062307-0.00093701i,0.000265-0.00043667i,0.00038593-0.00056174i,-0.00035939-0.00029118i,-0.00039362-0.00035993i,0.00022219-0.00026966i,-0.0002109+0.00013298i,-0.0004488-0.00013482i,-0.00031521-0.00018907i,-0.00030391+2.8709e-05i
-0.0015065+0.00089757i,-0.0010028+0.00066046i,-2.2999e-05+0.00085076i,-0.00013807+0.0015975i,-0.0021837+0.0015609i,-0.0036582+0.00055214i,-0.0030872+6.1258e-05i,-0.0025189-0.00054763i,-0.0028076-0.0011184i,-0.002084-0.0011007i,-0.00034502+0.00034108i,3.7235e-05+0.0013108i,0.00044009+0.00062326i,0.00082366+0.00040169i,0.000159+0.0010545i,-0.00074951+0.00089053i,-0.0011189+3.0097e-05i,-0.00083668-0.00022292i,-0.00042252+0.00023846i,-0.00044197+0.00066015i,-0.00025028+0.0003053i,-0.00032456+0.00034414i,-6.6098e-05+0.00054542i
-0.00043876-0.00091338i,-0.00031481-0.0010022i,-0.0010762-0.0013839i,-0.0028809-0.00097417i,-0.0038087-0.00033041i,-0.0032247+0.0011965i,-0.0024203+0.0017361i,-0.0015146-9.4795e-05i,-0.001594-0.0017287i,-0.0017134-0.00085943i,-0.00051107+0.00064536i,0.00037338+0.00073165i,0.00048455-0.0003437i,0.00077463-0.00078453i,0.0006235-0.00081703i,-0.00045654-0.00035866i,-0.00038609-0.00017308i,0.00027645-0.00023905i,-0.00010655+0.00039436i,-0.00028988+0.00028429i,0.00023411+3.1666e-05i,-0.00021043+0.00013637i,-0.00072904+0.00054942i
-0.00032104+0.000733i,-0.00099718+0.00069593i,-0.0015108+0.00084977i,-0.00091814+0.0019703i,-0.00064288+0.0030819i,-0.0023175+0.0025457i,-0.0022973+0.0014287i,-0.00059276+0.00065669i,6.9776e-05+0.0002452i,-0.00014696-0.00038158i,-0.00032981-0.00066868i,6.1981e-05-0.00023346i,0.00055942+0.00048472i,0.00053719+0.00063721i,-2.6794e-05+8.7876e-05i,-0.000127-0.00028208i,2.4788e-05+0.00019456i,6.5619e-05+0.00038745i,-0.0005692-0.00022754i,-0.0010003-0.00068498i,-0.0010881-0.00045779i,-0.00077489-0.00013571i,-5.9813e-05+0.00020054i
0.00096305+0.0019106i,-0.00079282+0.0012664i,0.00015331-0.00058335i,2.6324e-05-0.0017028i,-0.002184-0.0010542i,-0.0034581+0.00046381i,-0.003133+0.0010813i,-0.0018991+1.9747e-08i,-0.0014992-0.00084934i,-0.0010199-0.00078191i,-0.00037337-0.00018416i,-0.00049432-0.00032024i,-0.00067154-0.00063464i,-0.00049168+0.00012016i,-0.00036415+0.00084824i,3.5942e-05+0.0011089i,-7.6816e-05+0.00088895i,-0.00060699+0.00092471i,-0.00051123+0.0010443i,-0.0002915+0.00085205i,-0.00022373+0.00052153i,0.00026397+0.00017416i,0.00050521-0.0002002i
-0.00015973-0.00017357i,-0.0014051+0.00041979i,-0.0026581+0.0011208i,-0.0032874+0.0018056i,-0.0029151+0.0022184i,-0.0022113+0.0023373i,-0.00096198+0.0016476i,6.4897e-05+0.00012222i,-0.00040174-0.00063651i,-0.0014316-0.00027011i,-0.00075857+9.8122e-05i,0.00013479-0.00028095i,0.00036769-0.00063273i,0.00037149-0.00069123i,-4.0181e-06-0.00079234i,-0.00036477-0.00038301i,-0.00063623+0.00066698i,2.453e-06+8.8154e-05i,0.00068398-0.00067751i,0.00075257+7.3669e-05i,0.00037382+0.00057948i,1.1155e-05-0.00019478i,0.00077233-6.6836e-05i
-0.00076851-0.00010945i,-0.00047913-0.00041879i,-0.00057932-0.0016216i,-0.00063842-0.0017305i,-0.00114-0.00012824i,-0.0022026+0.00079668i,-0.0023667+0.00088585i,-0.0014143-3.2279e-05i,-0.0012636-0.00079467i,-0.00088638-0.00048413i,0.00025841+0.00024348i,0.00063806+0.00066491i,-0.00036026+0.00056373i,-0.00058461+0.00017869i,-0.00045589+0.00011339i,-0.00046699-0.00046003i,-0.0003528-0.00067583i,-0.00056407+0.00048491i,-0.00051728+0.0011347i,-0.00061763+0.00049736i,-0.0004435-2.061e-05i,-0.00020545-0.00059731i,3.6307e-05-0.00030458i
0.00066611+0.00010088i,0.00025552+0.00031954i,-0.0017838+0.00058783i,-0.0037128+0.0007342i,-0.0045003+0.0013122i,-0.0042176+0.002738i,-0.0025427+0.0031647i,-0.00081599+0.0017081i,-0.00067632+0.00030763i,-0.00095572+0.00031393i,-0.00025236+0.00032083i,0.00044253-0.0010064i,0.00074603-0.001303i,2.1528e-05+0.00027444i,-0.0005313+0.0012797i,-0.00011044+0.0013733i,-0.00022613+0.00095362i,-0.00038534+0.00047337i,0.00027231+0.00099212i,0.00039113+0.0012262i,6.4855e-05+0.00033583i,0.00049374+1.9293e-05i,0.00018253-0.00024511i
0.00015016-8.0722e-06i,-4.5864e-05+0.0005721i,0.00021904+0.00067807i,0.00020114+0.00052522i,-0.0011165+0.00082083i,-0.0018792+0.0012249i,-0.0018464+0.0011082i,-0.0011026+0.00028475i,-0.0011299-0.00089345i,-0.0013812-0.00091279i,-0.00018489-0.00019214i,0.00016848-0.00013662i,-0.00017786+0.00039159i,-1.0798e-05+0.00028561i,-0.00020588+0.00018591i,-0.00049424+0.00075142i,-0.00014991+0.00077788i,0.00012473+0.0001454i,0.00032359+9.252e-05i,0.0005088+0.00044645i,0.0009304+0.00031757i,0.00059485+0.00046719i,-0.00028379+0.00017338i
8.3259e-05-0.00061105i,-0.00019511-0.00065335i,-0.0013958-0.00074378i,-0.0023339-8.2151e-05i,-0.0032942+0.0017415i,-0.0036119+0.0030844i,-0.0022347+0.001707i,-0.00041449+0.00027928i,-0.00014326-9.3058e-05i,-0.00018646+0.00049658i,-0.00032058+0.0011653i,6.7121e-06+0.00031393i,-6.6348e-06-0.00010545i,-0.00036064-3.4557e-05i,-3.9682e-05-0.00015551i,-7.4647e-05-0.00021024i,-8.6572e-05-0.00034697i,0.00043834-0.00021263i,0.00036007+0.00025024i,1.4786e-05+0.00076417i,0.00012204+0.0011058i,-3.8542e-05+0.00083626i,-0.0001962+0.00035358i
-0.00059868+0.00022485i,-0.0012359+6.0745e-05i,-0.00084212+0.00066114i,-0.0010439+0.001088i,-0.0017203+0.0014116i,-0.0022761+0.0021513i,-0.0017014+0.0019733i,0.00025506+0.0007001i,0.0010869-0.00026688i,-0.00017223-0.00092012i,-0.00074883-0.00026453i,-0.00043073+0.00063043i,-0.0004597+0.0002915i,-0.00031227-0.00077639i,-0.00013679-0.00076869i,-0.00038954-0.00018867i,-0.00033711-0.000276i,0.00011506-0.00053312i,1.3935e-05+0.00036362i,6.6568e-05+0.00068199i,0.00035979+0.00040159i,0.00019155+0.00079551i,6.9035e-05+0.00031333i
0.0016217-0.0001292i,0.0012385+0.000175i,0.00058351+0.00099264i,0.00031962+0.0012178i,-0.0013924+0.0012358i,-0.0025936+0.0016998i,-0.0021013+0.0007888i,-0.0011959-0.00015069i,-0.00066074-0.00058902i,-0.00052142-0.00038349i,0.00037251-4.4692e-05i,0.0010044-0.00027759i,0.00089633-0.00045319i,0.00045342-0.0001871i,0.00016384+0.00026313i,2.5963e-05+0.00021073i,-0.00076825+9.9263e-05i,-0.0008723+0.00029211i,-8.1674e-05+0.00049672i,-0.00018188+0.00099171i,-0.00044895+0.00044251i,-0.00065104+0.00019859i,-0.00040854+0.00063427i
0.00026728-0.00049714i,-0.00079984+0.00029229i,-0.0013318-0.0001838i,-0.0017013-0.00064819i,-0.0029897-0.00042988i,-0.0040325+0.0010309i,-0.0030157+0.0016048i,-0.0012496+0.00054821i,-0.00064395-0.0011438i,-0.0010764-0.00082926i,-0.00045081+0.00037497i,0.0004981+0.00020458i,0.00047524-0.00022257i,-4.6524e-05-0.0005624i,-0.00051288-0.00038459i,-0.00057297+0.00011976i,-0.00016633+0.00071607i,-9.2346e-07+0.00054099i,0.00039547+0.00043565i,0.0005099+0.00022176i,-6.5815e-05-5.0396e-05i,-0.00041411+0.00021253i,0.00034858-0.00049505i
0.00063124+0.00055669i,0.00012579+0.00033626i,0.00047113+0.00016222i,0.00037739-0.00042834i,-0.0002071-0.00042437i,-0.0012061-1.2327e-05i,-0.001307+0.00077558i,0.0001488+0.00027371i,0.00088376-0.0014919i,0.00042889-0.0015762i,-7.8568e-05+0.00011376i,-0.0003283+0.00068546i,-0.00083727-0.00021819i,-0.00083279-0.00017771i,-0.00020097+0.00019264i,0.00018761+0.00034459i,0.00045777+0.00072815i,0.00057139+0.00044685i,3.462e-05-4.8536e-05i,0.0002029-0.00031358i,0.00049762-9.4822e-05i,-5.7353e-05+0.00037587i,-0.00030332-1.8755e-05i
0.001018-0.0015262i,-0.00014533-0.0003571i,-0.00096105-0.00013587i,-0.0018392-0.00016363i,-0.004175+0.001138i,-0.0049978+0.0027872i,-0.0034833+0.0022122i,-0.0019823+0.0010909i,-0.0012843+0.00015274i,-0.0016032-6.1047e-06i,-0.0017737+0.0004835i,-0.00029601+8.3504e-05i,0.0014725-0.00012091i,0.0014206+0.0002883i,0.00016106+0.00011468i,-0.00053177-0.00042974i,-0.00067081-0.00039755i,-0.0004584+0.00042211i,0.0003035+0.0011859i,0.0012769+0.00082134i,0.0010632-5.9149e-05i,0.00031531+0.00014521i,0.00022095+2.8076e-05i
-2.7079e-05-0.00043303i,0.00053917-0.00014088i,0.00084911-0.0004883i,0.00051953-0.00069476i,-0.0016773-0.00067331i,-0.0037239+5.4023e-05i,-0.0031268+0.00096002i,-0.0013556+0.0010093i,-0.002032+9.4215e-05i,-0.0022025+0.00020618i,-0.00044151+0.00094069i,0.00026247+0.00015546i,0.00014336-0.00047439i,0.00065167-0.00012893i,0.00010937+0.0002265i,-0.00057063-0.00028148i,-0.00012687-0.00050188i,-0.00071305-3.4404e-05i,-0.0015871-0.00044785i,-0.00072912-0.00084527i,-0.00029239-0.00042869i,-0.00024831-0.00022919i,-2.1489e-05-0.0001723i
0.001812-0.002165i,0.00042946-0.00084002i,-0.001934-0.00024687i,-0.0032786+0.00012211i,-0.0039701+0.0013005i,-0.0031922+0.0021701i,-0.0008276+0.0016815i,-0.00033697+0.00057257i,-0.0016561-0.0012553i,-0.001538-0.0017519i,-0.00099551-0.00089896i,-0.00036127-0.00052783i,0.000406-0.0005994i,0.00021844-0.00085161i,-0.00023844-0.00052801i,-9.9887e-05-0.00011671i,0.00035141-0.00046052i,0.00072262-0.00028131i,0.0010062+0.00025778i,0.00024-0.00026121i,-0.00060489-0.0013546i,-0.0011318-0.0012434i,-0.00042994-0.0012597i
0.001276+0.00018397i,0.00071004+0.00047886i,0.00089442-0.00092328i,0.0011021-0.0019148i,-0.00083989-0.0011762i,-0.0029576+0.0013239i,-0.002417+0.002457i,-0.00088604+0.0013285i,0.00020297+4.2313e-06i,0.00022515-0.00059449i,-0.00029128-0.00010783i,-0.00014969+0.00028994i,-0.00048769-0.00015714i,-0.00086653-0.00093101i,-0.0003481-0.0011203i,0.00027514-0.00059369i,-6.1828e-05-0.00010958i,-0.00062287-0.00059815i,-0.00020006-0.00084482i,0.00076881-0.00057319i,0.00085716-0.00031418i,0.00074977-0.00051296i,0.00050347-0.0010577i
-0.0011268-0.0016603i,-0.0018572-0.0011064i,-0.0023535-0.00043552i,-0.0035121+0.0008013i,-0.0039067+0.0017441i,-0.0034625+0.0019353i,-0.0024762+0.00079337i,-0.0017011-0.00049867i,-0.0011621-0.0010002i,-0.00072375-0.00040908i,-1.019e-05+0.00034423i,0.00058264+0.00027573i,6.1978e-05-0.00017664i,-0.0011003+0.00015756i,-0.0015354+0.00043263i,-0.0012507+4.8313e-05i,-0.00078547-0.00026887i,-0.00049943+0.00011042i,-0.00054493-0.00027067i,-0.00073759-0.00036306i,-0.00015558+0.00091977i,-0.00022409+0.0015689i,4.7549e-05+0.0005464i
-0.0011861-5.3627e-05i,-0.00087377-0.00025871i,-0.00020442+0.00018112i,0.00043565-0.00024326i,-0.00029563-0.00104i,-0.0024865-0.00041882i,-0.0027571+0.0010493i,-0.0013098+0.00055681i,-0.00010356-0.00040903i,5.3516e-05-0.00077381i,-0.00054847-0.00035849i,-0.0006009-0.00010847i,-0.00044805-0.00022408i,-0.00073982+0.00011118i,-0.00015408+0.00058434i,0.00045028+0.00041113i,0.00016505+0.00040198i,-9.8622e-05+0.00086671i,-0.00039555+0.00057546i,-0.00057059+0.00012509i,-0.00032586+0.00057698i,-7.8076e-05+0.00067081i,7.4307e-05-4.6478e-05i
-0.0015768-0.00067353i,-0.0020536-0.00010636i,-0.0026319+0.00033356i,-0.0035718+0.00048919i,-0.0040158+0.0010506i,-0.0027511+0.0013865i,-0.0017575+0.0015022i,-0.0015639+0.001104i,-0.0019377+0.00063686i,-0.0020732-6.3728e-05i,-0.00019532-2.9496e-05i,0.0010957+0.00055895i,9.7856e-05+5.9662e-05i,-0.00037209-0.00067544i,-0.00051025-0.00070352i,-0.00014295-0.0010153i,0.00095266-0.0011886i,0.00069924-0.00042253i,-0.00047455+0.00022764i,-1.4635e-05+0.0001426i,0.00036159+0.00014107i,-9.5028e-05+0.00013454i,0.00020747+0.00016908i
2.8142e-05-0.0015469i,0.00012137-0.0020874i,-0.00034429-0.0015914i,-0.00092148-0.00068521i,-0.0020998-0.00043847i,-0.0031769-0.0006339i,-0.0019301-0.00075284i,-0.00043238-0.0015598i,-0.0007473-0.0016082i,-0.0013488-0.0009437i,-0.0008293-0.00057015i,-0.00012965-0.00031419i,-0.00010535-0.00042154i,-0.00090533+0.00010206i,-0.00095356+0.00035239i,-0.00050092-0.00034164i,-0.00037476+0.00043217i,6.2464e-05+0.0010164i,0.00070344+0.00013248i,0.00023151-0.00015215i,-0.00043179+0.00012033i,-0.00015353-4.2678e-05i,-0.00020992-0.00021222i
-1.2254e-05+0.0011002i,-0.00046787+0.00010985i,0.00037384+0.00043887i,0.00013236+0.00059194i,-0.00076668+0.00053771i,-0.0018849+0.0014426i,-0.0020217+0.0024134i,-0.0011923+0.0022918i,-0.00049025+0.00095754i,-1.813e-06+6.5261e-05i,0.00071753+0.00010278i,0.00087068-4.7398e-05i,-0.00041409+0.0001395i,-0.001255+0.00061922i,-0.00062773+0.00039399i,3.1068e-05+0.00041403i,-0.00054728-0.00018537i,-0.00059335-0.0003909i,-0.00030738-0.00044834i,-0.00030906-0.00045044i,0.00027875+4.2979e-05i,0.00064378+0.00033941i,0.00034619+0.0003213i
0.00011167+0.0012038i,-0.00092075+9.1275e-05i,-0.0013016-0.00086005i,-0.0021616-0.00015517i,-0.0035683+0.00073952i,-0.0043334+0.00070848i,-0.0025621+0.0005965i,-0.00063312-6.2139e-05i,-0.00070938-0.00018273i,-0.0013862+0.0006335i,-0.00082276+0.001103i,-3.4036e-05+0.0011054i,-0.00018584+0.00087141i,-0.00027846+0.00016837i,-0.0002589-0.00067479i,-0.00014703-0.00019141i,0.0005847-9.9987e-05i,0.00070307-0.0005862i,0.00017162-0.00056373i,0.00025421-0.00066505i,0.00054652-0.00021216i,0.00018645+0.00063585i,-0.00019567+0.00043151i
-0.00089182+0.00037253i,9.4279e-05+0.00088651i,0.00026626+0.0013302i,0.00020938+0.0014742i,-0.00053335+0.0016151i,-0.0016495+0.0012358i,-0.0014398+0.00060427i,-0.00095115-0.00035323i,-0.0015501-0.00095353i,-0.001346-0.00038522i,-0.00059774-8.0304e-05i,-4.5858e-05-0.00063597i,0.00069206-0.0012541i,0.00024841-0.00085355i,-0.00058868+0.00051754i,-0.00068716+0.0010333i,-0.00039138+0.00093719i,8.6594e-05+0.00060823i,0.00016718+0.00031766i,0.00025191+0.00022494i,0.00023253+0.0010418i,0.0004852+0.0016118i,0.00065255+0.0010756i
