-0.0024069+0.0010283i,-0.0011584+0.00018665i,-0.00076104-0.0012255i,-0.00012903-0.0024824i,-0.00031742-0.0033074i,-0.00060369-0.0025158i,-0.00083497-0.00068468i,0.00046231-0.00045807i,0.002368-0.0020159i,0.002527-0.002356i,0.0019325-0.0017001i,0.0012866-0.0013665i,0.0002598-0.00040042i,-0.00022168+0.00034858i,-0.00021991+0.00023328i,-0.0011864+4.813e-06i,-0.0011585-0.00013641i,0.0001767+0.00018877i,0.00074196+0.00092751i,0.00029891+0.0010251i,0.00048371+0.00055745i,0.00087843+0.00022082i,0.00085271-0.00010192i
0.00086197+0.00056137i,0.0015032-0.00018878i,0.0021098-0.00019122i,0.0036081-0.001743i,0.0043352-0.0039544i,0.0022391-0.0036517i,0.00070355-0.0022512i,0.0019874-0.0016737i,0.0023785-0.0012816i,0.0011754-0.00080447i,0.00083223-8.9012e-05i,0.0010913+0.00021773i,0.0004944-0.00044408i,-0.00019238-0.00020211i,0.00020805+0.00054515i,0.00031975+0.0013454i,0.00020771+0.00099546i,-0.00010546+0.00042041i,-0.00099814+0.00056199i,-0.0011455+0.00036107i,-0.0012728+3.3333e-05i,-0.0010253-9.5464e-05i,2.9609e-05-1.6602e-05i
0.002204+0.0016771i,0.0015477-0.00032155i,0.0031566-0.0015928i,0.0047584-0.002738i,0.0036319-0.0044812i,0.0011046-0.0041591i,0.0006065-0.00303i,0.0021411-0.0023212i,0.0027439-0.0013875i,0.0020514-0.0012866i,0.0010378-0.00092962i,-0.00011083-0.00029193i,-0.0017786+7.9081e-05i,-0.0013108+0.00041093i,-2.9998e-05+0.00033571i,9.5254e-05+0.00058996i,-0.0002118+0.00024356i,-4.6153e-05-0.00084242i,0.0011354-0.00069591i,0.0016362-0.00032759i,0.0011943-0.00021363i,0.001204-3.155e-05i,0.00086151-8.3775e-05i
-0.00015952-0.00067978i,0.00034319-0.00022399i,0.001462-0.00054879i,0.0031467-0.0015293i,0.0039131-0.002341i,0.0029973-0.0029121i,0.0021352-0.0024508i,0.0028449-0.0015701i,0.0033871-0.0011316i,0.0026748-0.0010083i,0.0017675-0.00052519i,0.001146+8.4859e-05i,0.0010953-0.00055141i,0.0006643-0.00072526i,-0.00025307+0.00016596i,-0.00072301-0.00054679i,-0.0010318-0.0010157i,-0.0012126+6.9296e-05i,-0.00073746+0.00037964i,-0.00048686+0.00017792i,0.00012155-0.00046862i,0.00013539-0.00021472i,-0.0010455-7.3067e-05i
-0.0015564-0.00035336i,-0.0010953-0.00063628i,-0.0005708-0.00050844i,0.001681-0.0011525i,0.0038698-0.0021176i,0.0028409-0.0025856i,0.001632-0.00234i,0.0016942-0.0014934i,0.0022028-0.0018312i,0.0016024-0.0011911i,3.0741e-05-0.00021677i,-0.00051609-0.00059033i,-0.00042306-0.00098722i,-0.00032424-0.00092688i,-0.00038842-0.00052214i,-0.00035777-0.00039253i,-0.00019187-0.00014819i,-0.00020394-0.00066448i,-0.00017874-0.00098062i,-0.00015125-0.00027598i,0.00024986-4.9794e-05i,7.1597e-05+0.0001292i,0.0001188+0.00029732i
-0.00042583+0.00067074i,0.00118-2.5821e-05i,0.0028615-0.0013375i,0.002801-0.0021505i,0.0012687-0.0027341i,9.015e-06-0.0032538i,-5.596e-05-0.0021769i,0.0010952-0.0005539i,0.0020885-0.00065971i,0.0013475-0.0008698i,-0.00019375-0.00030356i,-0.00024421-0.00026768i,0.00044259-0.00048793i,0.00032558-0.00066801i,-4.3473e-05-0.00058183i,0.00029493+7.0041e-05i,8.1684e-05-3.0626e-05i,-0.00034195+0.00022345i,-0.00068052+0.00063771i,-0.00039787+0.00077002i,0.00032235+0.0003165i,0.00057473-0.00071487i,0.00054444-0.00048439i
-0.00041852-0.0011481i,-0.00093957-0.00089927i,-0.00048124-0.0015424i,0.0010052-0.0022041i,0.0023376-0.0021254i,0.0020963-0.0010307i,0.0017458-0.00066536i,0.0025714-0.0011873i,0.0024782-0.001276i,0.00094235-0.00047157i,-1.7015e-05-9.0426e-05i,0.00021679-5.786e-05i,0.0009517+2.8198e-05i,0.00092007-0.00019279i,-0.00028186-0.00084892i,-0.0011488-0.0012404i,-3.322e-05-0.00027979i,0.00073605+0.00074382i,0.00016491+0.00060393i,-4.9706e-05+0.000339i,0.00030675+0.00063295i,0.00089427+0.00021244i,0.00068641-0.00023966i
0.0025561+0.0013316i,0.0025729-0.00063992i,0.0044989-0.0011947i,0.0048364-0.0021874i,0.0035812-0.0037755i,0.0019475-0.0036466i,0.0009591-0.0019693i,0.0012232-0.0012205i,0.0019458-0.0019733i,0.0019361-0.0012786i,0.00131-0.00026938i,6.7395e-05+3.8651e-05i,-0.00077914+0.00043702i,-0.0001291+0.0010275i,0.00067276+0.00044152i,0.00040973+0.00015095i,-5.9146e-05+0.00052362i,-6.0883e-05+0.00014572i,-0.00020237-3.9388e-05i,-0.00053371+0.00051021i,-0.00014282+0.00061158i,0.00012995+9.5784e-05i,9.9917e-05+0.00021877i
0.00068528-0.00025345i,0.00059344-0.00063686i,0.0015369-0.00069017i,0.00278-0.0014914i,0.0023955-0.0018482i,0.0013838-0.0015854i,0.0018665-0.0012625i,0.0023878-0.0013198i,0.0019669-0.0017521i,0.0014788-0.00114i,0.00070177-0.00064803i,7.1504e-05-0.00064087i,0.00041593-0.0006267i,0.00082884-0.00066076i,0.00069661-0.00010435i,0.00015338+2.7663e-05i,-0.00014434+0.00010592i,8.022e-06+0.00037406i,5.95e-05-0.00013879i,-0.0002072-0.00039917i,-0.00080925-0.00026067i,-0.0009009-6.874e-05i,-0.00075314-0.00031972i
-0.0024455+0.00069513i,-0.0012789+0.00022448i,0.00050074+9.0165e-05i,0.0026086-0.00078213i,0.003405-0.0022495i,0.0019893-0.0029924i,0.00072544-0.001593i,0.0015755-0.00053224i,0.0021762-0.00084776i,0.0008201-0.00095989i,-0.00044689-0.00061443i,-0.0001246-0.00031076i,-0.00036831-0.00037497i,-1.9836e-05-0.0001529i,0.00098401+0.00022727i,0.000648+0.00012584i,0.00063098-4.2023e-05i,0.00099072+0.00039289i,0.00058982+0.00090503i,0.00031082+0.00076327i,0.00035397+0.00024985i,0.00085064+8.5992e-05i,0.00035683-0.00019301i
-0.0023035-0.0012572i,-0.0015634+0.0010324i,-4.6309e-05+0.001504i,0.002711-2.7184e-05i,0.00412-0.0011731i,0.0036459-0.0014505i,0.0027244-0.00090933i,0.0030977-4.9233e-05i,0.002736-3.9154e-05i,0.0012805-0.00061892i,0.0014217-0.00078031i,0.0019169-0.00032716i,0.00090731+1.7054e-05i,-0.000187+0.00033286i,0.00024099+0.00010487i,0.00026303-0.0003553i,7.1744e-05-0.0001379i,0.00075783+0.0004575i,0.00068326+0.00091315i,0.00037059+0.0004682i,0.00068382+0.00046251i,0.00062435+0.00044449i,0.00066582+0.00021609i
-0.00095317+0.00053317i,-0.00018198+0.00066613i,0.00045375+0.00057718i,0.0023838-0.00066317i,0.0040889-0.0022601i,0.0030218-0.0028256i,0.0017871-0.0012002i,0.0019984+0.0002915i,0.0025904+0.00077884i,0.0016541+0.00056706i,0.00038903-0.00024632i,0.00017755-0.00042589i,-0.00022055-0.00022632i,-0.00046367+8.0589e-05i,6.1776e-05+1.0723e-05i,-1.9178e-08-0.00010903i,-0.00043101-0.00089126i,-0.00080744-0.0012234i,-0.00069991-0.00043019i,-0.00030967+0.0002605i,0.00062897+0.00011998i,0.0010935+5.366e-05i,0.00018128-7.2483e-06i
0.00055009+0.0012739i,0.0010826+0.0016891i,0.0024873+0.0012995i,0.0035433-0.00010483i,0.0030816-0.0014768i,0.0016055-0.0016666i,0.00076647-0.00091987i,0.0012249-0.00066717i,0.0013098-0.00085123i,0.00054624-0.00069974i,0.00057267-4.2353e-05i,0.00089281+0.0002882i,-8.0909e-05-0.0006189i,-0.0011664-0.00045827i,-0.00087119-2.7183e-05i,-0.00051606-0.00016532i,-0.0011039-0.00080186i,-0.0011406-0.0012657i,-0.00076913-0.00079955i,-0.00031434-0.00056911i,0.00064871-0.00063325i,0.00082803-0.0009191i,0.00065483-0.00047744i
0.00054344-0.00044102i,0.00019616-0.00092481i,0.0010888-0.0013656i,0.0031767-0.0029032i,0.0044117-0.0045864i,0.0034844-0.0038873i,0.0021167-0.0012907i,0.0019152+0.00012675i,0.0021682-0.00038565i,0.0015503-0.0007327i,0.00039092-0.00051695i,6.9983e-05-0.0002574i,0.0003866+0.00054639i,1.5951e-05+0.00032617i,-0.00024326-0.0003126i,-0.00024616-0.00067944i,-0.00043139-0.00089285i,0.0001894-0.0005447i,0.00018471+0.00021323i,-0.00029165-2.0341e-05i,0.00028716-0.00031791i,-7.4932e-05-0.00029928i,-0.0010896-1.8301e-05i
-0.00046947+0.00085555i,0.00062166+0.0011826i,0.0029947+0.0014567i,0.0055946+0.0011206i,0.0051238-0.00096885i,0.0035197-0.0016946i,0.0023146-0.0012732i,0.0020132-0.0010768i,0.0018027-0.0015103i,0.00094001-0.0017304i,-1.1341e-05-0.00073474i,-4.1628e-05-0.00030169i,0.00012357+2.7224e-05i,0.00038612+0.00015911i,0.00057104-0.00050006i,0.00057664-0.00076158i,0.00037845-0.00045243i,-0.00022361+9.7311e-05i,-0.00052246+0.00052038i,-0.00025986-2.9522e-05i,-2.8855e-05-0.00044808i,0.00061745-0.00011791i,0.00061261+8.3598e-05i
-0.0018313+0.00078072i,-0.0010331+8.9463e-05i,0.0011878-0.0011307i,0.0031625-0.0026427i,0.0035157-0.0037288i,0.0018828-0.0031289i,0.0011638-0.001936i,0.0020944-0.0023253i,0.0020957-0.0022714i,0.00079272-0.00040737i,0.00042712+0.00047851i,0.00093191+0.00060753i,0.0015578+0.00065074i,0.0012194+0.00029283i,0.00054315-0.00024571i,0.00056191-0.00076144i,0.00069529-0.00064423i,0.0010509-0.00024545i,0.00086495-0.00011193i,0.0005841-0.00028659i,0.00030518-0.00039405i,0.00044046-0.00050079i,0.00066798-0.00038699i
0.00042136-0.0011311i,0.00042278-0.00051418i,0.00096069-0.00028699i,0.001986-0.00038057i,0.0010995-0.0013892i,0.00041067-0.0014837i,0.00039217-0.0010166i,0.00072023-0.0017076i,0.0013509-0.0022221i,0.0019324-0.001676i,0.0014803-0.00047384i,0.00048528+0.00061288i,5.7036e-05+0.0012995i,-0.00021438+0.0010748i,0.00011417+0.00052618i,0.00012514+0.0009789i,-0.00029756+0.0011023i,-0.00040992+0.00059265i,-0.00092052+0.00068563i,-0.00064663+0.00031589i,-0.00026376-0.00050516i,-0.00036549-0.0011524i,0.00052347-0.00083563i
-0.0029561+0.00090507i,-0.0019349+0.0007819i,0.0001704+0.0018307i,0.0033994+0.00098094i,0.0050344-0.00090879i,0.004019-0.0013543i,0.0029664-0.00046759i,0.0025159-0.00040532i,0.0022446-0.0014206i,0.0012022-0.0017806i,0.00046951-0.00089318i,0.00048819-0.00040473i,0.0012053-0.00084208i,0.00092539-0.00045109i,-0.00011441-0.0005227i,-0.00021299-0.0011223i,0.0003305-0.0011506i,0.00038109-0.00083776i,-0.00016684+0.00018593i,-0.00043042+0.0009226i,-0.00039657+0.00039156i,0.0002177-4.5349e-05i,4.8299e-06-0.00031447i
-0.00091103+0.0010166i,-0.00076223+0.0014122i,-0.00010929+0.0013949i,0.0016294+0.00034064i,0.0026347-0.0024165i,0.003212-0.0040401i,0.003458-0.0023186i,0.0035804+9.2724e-07i,0.0037444+0.0002477i,0.0022723-0.000354i,0.0010434+0.00024681i,0.00049135+0.0010219i,0.00049213+0.00043642i,0.00023871-0.0010629i,-7.8089e-06-0.00089985i,-0.00042689-9.1387e-05i,-0.001386-0.00013718i,-0.0012851+0.00047399i,-0.00023123+0.00049614i,0.00059323+0.00039615i,0.00025768+0.00072831i,0.00023441-5.8913e-05i,0.0003735-0.00073885i
0.00014803+0.0007798i,0.0011827+0.0005377i,0.003074-0.00026293i,0.0052255-0.0022416i,0.005866-0.0034464i,0.0034136-0.0026027i,0.0013177-0.0017114i,0.0018334-0.0012703i,0.0026221-0.001464i,0.0015001-0.0016537i,2.1746e-05-0.00052021i,0.0007951-0.0002655i,0.00089775-0.00077417i,-0.00038171-0.00071172i,-0.00075984-0.00027199i,6.0098e-05-4.669e-05i,0.00052175-0.00041747i,0.00029173+0.00026089i,-8.9273e-05+0.00017431i,-0.0003202-0.00052308i,0.00035877+0.00023532i,0.00077602+0.00072502i,0.00052375+5.4524e-05i
0.0014904+0.0002298i,0.0014682-0.00050883i,0.0016212-0.0012913i,0.0029678-0.0029409i,0.0030489-0.0047791i,0.00085128-0.0050077i,0.00022742-0.0028547i,0.0013095-0.0011413i,0.001911-0.0012285i,0.0017457-0.0012019i,0.001051-0.00022729i,0.00049507+0.0005979i,0.00043093-1.5854e-05i,0.00011091-4.3988e-05i,-9.6744e-05+0.00029889i,0.00010799+0.00038473i,-6.3358e-06-0.00014903i,-0.00068474-0.00025124i,-0.00096684-2.0388e-06i,0.00024154-0.0003572i,0.001036-0.00014261i,0.00052604+0.00062562i,0.00026092+0.00087172i
0.0019544+0.00088434i,0.0015995+0.00011287i,0.0026671-0.0013993i,0.0044056-0.0023118i,0.0044014-0.002652i,0.0017649-0.0020125i,0.00060828-0.00064299i,0.0018841+0.00065142i,0.0028775-1.9189e-05i,0.0019768-0.00095068i,0.00069915-0.001322i,0.00091031-0.0013103i,0.00099695-4.2307e-05i,0.0002657+0.00035663i,-0.00013639+0.0004574i,0.00012173+0.00043198i,-0.00015966-0.00054796i,-0.00043307-0.00086964i,-0.00013107+0.00014064i,0.00015595+0.00098495i,0.0002706+0.00036271i,0.00066806+0.0002558i,0.00053415+3.9248e-05i
-0.0011412+0.00027767i,-0.0001376+0.00034036i,0.0012558-0.00081379i,0.0035083-0.0020381i,0.0037233-0.003462i,0.0020322-0.0030155i,0.00073301-0.0021846i,0.0014528-0.0022842i,0.0031323-0.0018586i,0.0020526-0.00068593i,0.00036104+0.00031265i,0.00074172+0.0001978i,0.0012593-1.9195e-05i,0.00074849+0.00060811i,0.00030971+0.00058268i,0.00037942-3.5665e-05i,0.00010689+0.00027449i,-6.2567e-05+0.00080697i,-3.6605e-05+0.0011282i,5.8352e-05+0.00035417i,-0.0002068-0.000669i,-0.00086245-0.00047778i,-0.00030109-0.00043891i
-0.00024869+0.00028831i,0.00032994-0.00067971i,0.00044076-0.0012129i,0.0020762-0.0023674i,0.0028402-0.0039161i,0.0018988-0.0039857i,0.0012066-0.0020544i,0.0017941-0.00090224i,0.0018808-0.00096708i,0.0014925-0.00037164i,0.0014274+0.00068939i,0.001027+0.00044254i,0.00056725-0.00084423i,0.00052496-0.00035966i,-6.0966e-05+0.00078201i,-0.00073111+3.2362e-05i,-0.00076609-0.000572i,-0.00065135+0.00066096i,-4.6392e-05+0.0010045i,0.00084766+0.0017842i,0.0013777+0.0015878i,0.0010729-0.00011397i,0.0010272+5.5879e-05i
6.1205e-05+0.0014256i,0.00056845+0.00066645i,0.0026544+4.8806e-05i,0.0049642-0.0010343i,0.0052041-0.0026417i,0.003274-0.0026533i,0.0019778-0.001103i,0.0015404-0.00040659i,0.0018987-0.0010164i,0.0017893-0.0014009i,0.00078443-0.00093916i,0.00070208-0.00059537i,0.0011191-0.00081471i,0.00056169-0.00088511i,-0.00043639-0.00095445i,-0.000317-0.00089959i,-0.00011122-0.00064909i,-0.00043352-0.00065142i,-0.00046602-0.00032948i,-0.00040534+0.00053153i,-0.00042031+0.00013111i,-0.00046517-0.00070339i,0.00018165-0.00051884i
-0.0012319+0.0011694i,-0.00010603+0.0010684i,0.0010487+0.00069892i,0.0024865-0.0007633i,0.0028678-0.0019795i,0.001632-0.0024461i,0.0013579-0.0015905i,0.0021998-0.001442i,0.0024048-0.0014052i,0.0024044-0.00073876i,0.0014471-0.00068636i,1.8057e-05-0.0007004i,-0.00043948-0.00097965i,-0.00018212-0.00096454i,0.00020675-0.00060066i,0.00082983-0.00091862i,0.0011737-0.0011951i,0.0010699-0.00059013i,0.00041834-0.00010678i,0.00051559-0.00025786i,0.0007555-3.7057e-05i,0.00032656-0.00017076i,0.00050524+1.46e-05i
-0.0002244+9.3344e-05i,0.00060695-0.00036417i,0.0011335-0.00040023i,0.002341-0.00096729i,0.0035113-0.0021412i,0.0022925-0.0015416i,0.00079071-0.00089372i,0.0010945-0.0011727i,0.0011263-0.00035322i,0.00096932+0.00070127i,0.00073168+0.00074632i,0.00053655+0.00033767i,-0.0004162-0.00045036i,-0.0007999-0.00061968i,-0.00030552+5.9984e-05i,-0.00060268-0.00014993i,-0.00032496-0.00096405i,3.966e-05-0.0012996i,0.00040686-0.00068271i,0.00084721-0.00031726i,0.00060876-8.6456e-05i,0.00048828+0.00043405i,0.00070426+0.00067284i
-0.00096843-0.0018811i,-0.00045104-0.00031587i,-0.0001305+0.00042402i,0.0012721-9.0043e-05i,0.0025071-0.00045712i,0.0019385-0.00010444i,0.0017756-0.00048818i,0.0030675-0.00087774i,0.0028959-0.001121i,0.0010367-0.0015727i,0.00041363-0.001067i,0.00098011+9.3706e-05i,0.0014533+0.00025158i,0.0013075+0.00063043i,0.00049406-7.6678e-05i,0.0004084-0.00084633i,-3.8153e-05-0.00033343i,-0.00036844-0.00068887i,0.00067206-0.00045528i,0.0010309+0.00070768i,0.00047983+0.00056841i,5.509e-05-0.00015216i,-0.00029058-7.7033e-05i
9.5382e-05-0.00017062i,0.0011932-0.00019653i,0.0027969-0.00082373i,0.0035114-0.0019643i,0.0034677-0.0025686i,0.001827-0.0022154i,0.001161-0.00068905i,0.0021705-0.00013256i,0.0019113-0.00043563i,0.0004419-0.00047011i,0.00014921-0.00059923i,0.00053396-9.4691e-05i,0.00032198-0.00015308i,-2.2289e-05-0.00053808i,-0.00030139+0.00022088i,0.00041011+0.00013266i,0.00051868-0.00052773i,0.00026218-0.00070796i,0.0011557-0.00043861i,0.0017876+0.0002147i,0.0011271+0.00057008i,0.00033902+0.00030575i,0.00078821+9.7017e-06i
0.00027635-0.001279i,1.0097e-05-0.00065823i,0.0013513-0.00075134i,0.0030725-0.0017043i,0.0034763-0.0026278i,0.0023869-0.0022601i,0.0019106-0.0016007i,0.0018842-0.001434i,0.0012247-0.0013006i,0.00077601-0.00069218i,0.00052396+0.00015778i,0.0004098+0.00031611i,0.00052326-8.4538e-05i,0.00045795-0.000752i,0.00057546-0.0012145i,0.00079723-0.00050334i,0.00039573+0.00016307i,-3.3068e-05-0.00021475i,-0.0007007-8.1483e-05i,-0.00069606+0.00068126i,5.3977e-05+0.00098199i,0.00064422+0.00037727i,0.0012469-8.863e-05i
-0.0016814+0.0007342i,-0.0010572+0.0009486i,0.00094712+0.0019397i,0.0028003+0.0022089i,0.0032271-0.00048953i,0.0030656-0.0020446i,0.0016001-0.0012831i,0.001359-0.00078531i,0.0022951-0.0006474i,0.0016833-0.00024648i,0.0009977-0.00034496i,0.00020146-0.00024693i,-0.0010367+0.00015286i,-0.00093772+0.00014065i,-0.00061309-6.5234e-05i,-0.00044685-9.6266e-05i,-0.00020809-0.00033843i,-0.00034479-0.00095368i,-9.4277e-05-0.00092824i,0.00036079-0.00048202i,0.00074126+9.6058e-05i,0.00041836+0.00019449i,0.00056476-0.00031564i
-0.0013683-3.3539e-05i,-0.0013401+0.00015167i,-0.00015546+0.00015212i,0.0029086-0.00064605i,0.0041011-0.0011634i,0.003267-0.0010465i,0.0026118-0.00072599i,0.0030691-0.00065177i,0.0031456-0.00095123i,0.0020635-0.00048875i,0.0012753-0.00019641i,0.00073615-0.00034322i,0.00039986-0.00072931i,0.00037091-0.0010356i,0.00052824-0.0011411i,0.000236-0.0010368i,-7.1224e-05-0.0007833i,-2.8328e-05-0.0006643i,0.0001873-0.00018104i,0.00011186+0.00024583i,-0.00013229+0.0003067i,-0.00035969+0.00040455i,-0.00058543+0.00013101i
0.00017687+0.00035026i,0.00045926+0.00016113i,0.0014802+3.2308e-05i,0.0035671-0.00072376i,0.0048281-0.0021424i,0.0032157-0.0028175i,0.0023669-0.0023861i,0.0030801-0.001645i,0.0028553-0.001565i,0.0019293-0.00056137i,0.00089559+0.00066083i,0.00091206+0.00060139i,0.0014412+0.00017336i,0.0012728-0.0003077i,0.00096881-0.00030549i,2.7152e-05-0.00020584i,-0.00055553-0.00022841i,-0.00031847+8.744e-05i,0.00049277+0.00085267i,0.0013115+0.00079385i,0.00081612+0.00045102i,-0.00041056+0.00063618i,-0.0002132+0.0007558i
-0.00097181-0.0013513i,-0.00060434-0.0013136i,-2.257e-05-0.00031295i,0.0021066-0.0010507i,0.003169-0.0036623i,0.0024013-0.0026719i,0.0015693-0.00062493i,0.0017186-0.00020526i,0.0019943-0.0010866i,0.0015419-0.0014355i,0.00045974-0.00067784i,0.00032203+3.7077e-05i,0.00024752-0.0002063i,0.00014843-0.00053476i,0.00029937-0.00066831i,-1.7249e-05-0.00043193i,-5.6724e-05-0.00036563i,0.00058694-0.00040386i,0.00039092-0.0002419i,-0.00039218-0.00015364i,0.00019752-2.7163e-05i,0.0010704+0.00031393i,0.0010037+0.00014515i
