-0.0025092-0.00050919i,-0.0017004-0.0016578i,-0.0023876-0.0015611i,-0.0030476-0.00032485i,-0.0032185+0.0013985i,-0.0025277+0.0022034i,-0.001553+0.0018425i,-0.001175+0.0015279i,-0.00024308+0.00075128i,0.00084475+0.00018344i,0.0010552-0.00027184i,0.0010819-0.00047316i,0.00012962-2.1235e-05i,-0.00083505-0.0001922i,-0.00018456-0.00016541i,0.00051336+0.00085362i,0.00015708+0.00152i,-0.00072121+0.00099329i,-0.00067986+0.00014619i,0.00032491-0.00023566i,-4.2425e-06+0.00040452i,-0.00041013+0.001093i,-0.00013399+0.00093303i
0.0013374+1.4913e-05i,0.0023518-0.00088455i,0.0020047-0.00096002i,0.00070309-0.0014113i,-0.00030743-0.0012103i,-0.0010316-0.00080477i,-0.00089277-0.00038296i,-0.00051765+0.00039968i,-0.00062161+0.00064297i,-0.00018489+0.00031426i,0.00033337-0.00011194i,-0.00050855-0.00059128i,-0.00088716-0.00076506i,-0.00027153-0.0007929i,-0.00026843-0.000355i,-0.00015208+0.00022445i,-0.00010426+0.00024075i,-0.00028687-0.00028723i,-0.00016895-0.0005679i,-4.113e-05-6.3194e-05i,7.4097e-05+0.00022286i,0.00054897-0.00066583i,0.0006687-0.00082178i
0.00045604+0.00091836i,0.00048776+0.00054596i,-1.9672e-05-0.00015456i,-0.00010248-0.00065652i,7.8189e-05-0.00012388i,0.00037779+7.0756e-05i,-0.00045078-0.00019589i,-0.0010602-0.00012801i,-0.00045164+7.3729e-05i,2.0712e-05+0.00018197i,0.00017638-0.00016627i,0.00075066-0.00097329i,0.0012291-0.0005333i,0.00065966-0.00023481i,8.2662e-05-0.00043301i,-0.00091435+4.0546e-05i,-0.0013531+0.00019737i,-0.00080053+0.0001877i,-0.00035104+0.00065571i,0.00033732+0.00096922i,0.00088369+0.0010017i,0.00040794+0.001548i,-0.00065529+0.001474i
0.00051839-0.00029463i,-0.00075102-0.00014077i,-0.0017224-0.00075363i,-0.0029461-0.00081915i,-0.0037233-0.00034429i,-0.0023711+0.00044581i,-0.00077618+0.00051022i,-0.00081368+0.00039234i,-0.00062664+1.3987e-05i,-4.6101e-06-8.1771e-05i,-0.00020376+0.00041987i,-0.00045992+0.0012437i,5.0699e-05+0.001035i,0.0002242+0.00017593i,0.00031518+3.3354e-05i,0.00015279+0.00029794i,0.00024909+0.00079709i,0.00099864+0.00044934i,0.00068373-0.00018714i,-0.00041209-0.00066918i,-0.00049727-0.0011098i,-0.00015-0.0010328i,0.00034724-0.00053111i
0.0010953+4.2251e-05i,0.0015026+2.5119e-05i,0.00097388-0.00018711i,-0.00049263-0.00027591i,-0.0011795-0.0001176i,-0.0014284-0.00049965i,-0.0018254-0.0008094i,-0.0014113-0.00065755i,-0.00085778-0.00015183i,-0.00024007+0.00025521i,-0.00027757+0.00078391i,-0.00069907+0.00036207i,-0.00050162-7.3666e-05i,-6.3913e-05+0.00015089i,-0.00024574+0.00019038i,0.00026134+0.00069386i,0.0011548+0.0012929i,0.00097993+0.00042535i,-2.0728e-06-0.00011225i,-0.000171+0.00067592i,2.6934e-05+0.00039599i,-0.00014684-0.00025643i,0.00061107+6.6976e-05i
-0.0028606+0.00062967i,-0.001227+0.0012893i,-0.00075894+0.001277i,-0.00096344+0.00044759i,-0.0015162-7.6652e-05i,-0.0015346-0.00032424i,-0.0013716+0.00013405i,-0.0015295+0.0010279i,-0.00073815+0.00084643i,0.00057125-4.0141e-05i,0.0011786-0.00041359i,0.0011374-0.00055677i,0.00088974-0.00048862i,0.0001902-3.8729e-05i,7.8705e-05+0.00019765i,0.00061756+0.00030088i,0.00063045-6.4561e-05i,0.00049505-0.00019464i,-4.8908e-05-0.00016372i,-0.00022616+4.8607e-05i,-1.9662e-05+0.00023469i,-2.491e-05-4.2412e-05i,-0.00022646-0.00011818i
-0.00037948+0.00051902i,0.00058766+0.00042779i,0.00024063+0.00019755i,-0.0014233-0.00039771i,-0.0022678-0.00041458i,-0.0018724+4.1588e-05i,-0.0023759-0.00025421i,-0.0031395-0.00072624i,-0.0014242-0.00020284i,-9.8059e-05+0.00045214i,-0.00032579+0.00024444i,-0.00019464+0.00023704i,-0.00012186+0.0004525i,-0.00020261+0.001143i,0.00050766+0.0010747i,0.00096155+9.5487e-06i,0.00015677-0.00035107i,-2.3053e-05-0.00025483i,0.00039182-0.00032484i,0.001105-5.228e-05i,0.00079491+8.9941e-06i,5.1592e-05-0.00032173i,0.00019411+0.00034764i
0.00019287-0.0011769i,0.00022558-0.001272i,-0.00037747-0.00079433i,-0.0017641-0.00133i,-0.0020064-0.00093032i,-0.0016807-0.00027622i,-0.0010323-0.00053799i,-0.0002834-0.00051073i,0.00071628-0.00065753i,0.00096394-0.0010988i,6.7972e-05-0.00086314i,-0.00047858-0.00029424i,-0.00078875-0.00049403i,-0.00057808-0.00011566i,-0.0006725+0.00026486i,-0.00028252+7.0583e-06i,0.0002735-6.7068e-05i,0.00081382+0.00026296i,0.00078543+0.00045376i,-0.00045414-0.00051615i,-0.0011132-0.00086194i,-0.0011988-0.00056313i,-0.0011303-2.5592e-05i
-0.0013713+0.0012562i,2.245e-05+0.0016688i,-7.2965e-05+0.0017638i,-0.0014476+0.00080082i,-0.0019553-0.00016402i,-0.00068146-0.00081775i,2.6095e-05-0.0012091i,0.00019885-0.0010711i,0.00061947-0.00047997i,0.0013435+0.0004688i,0.0011531+0.00068333i,0.00020095+0.00046023i,-0.00015447+0.00042248i,-0.00082369+0.0003916i,-0.0007578+0.00046574i,-0.00021047+0.00068326i,4.671e-05+0.00053216i,0.00053174+0.00027032i,0.00052757-0.00020582i,0.00029315-0.00043738i,0.00080692+0.0001366i,0.0010968+0.00094156i,0.00098741+0.00080084i
0.0010852+0.0004391i,0.00087904+8.617e-05i,0.00080093-0.00038686i,-0.0003566-0.0011252i,-0.0017862-0.0013267i,-0.0018083-0.00069134i,-0.0018493-0.00013616i,-0.0017475+0.00026345i,-0.00041149+0.0009456i,0.00059958+0.0012621i,0.00065637+0.00073504i,0.0007999-0.00044645i,0.00063373+0.00028675i,4.1078e-05+0.0010999i,-0.00064018+0.00088544i,-0.0011207+0.00031762i,-0.00034841-0.0002645i,0.00035396-4.8022e-05i,3.5693e-05-0.00042722i,-0.00025941-0.00086005i,2.9958e-05-0.00031852i,-4.0227e-05+0.00017233i,-0.00047539-3.5368e-05i
0.0016748-0.00054244i,0.0017159-0.00087623i,0.001027-0.0016278i,-0.0013969-0.0017998i,-0.0028843-0.0020229i,-0.0027837-0.0012348i,-0.0018379+8.904e-05i,-0.0013602+0.0002725i,-0.00086832+0.00062368i,-0.0002534+0.00080961i,0.00037521-1.3075e-05i,0.00088862-0.00073486i,0.0009778-0.00056509i,0.00014323-0.00089667i,-0.00049465-0.00084116i,0.00016486+0.00043541i,0.00044982+0.00050191i,0.0001442+0.00011213i,-5.6238e-06-0.00017015i,-0.00055327-0.00020799i,-0.0005241-0.00018498i,0.00011036+0.00014205i,0.00029672+3.1689e-05i
-0.0010924+0.00011784i,0.00055147-0.00020566i,0.00037914-0.00016552i,-0.0013886-0.00060712i,-0.0015592-0.00054646i,-0.00061014-0.00071875i,-0.00029452-0.00053453i,-0.00038435-0.00010819i,0.00058408+0.00054081i,0.0016441+0.0010378i,0.0011573+0.00062023i,1.3277e-05+0.00010394i,-7.568e-05-0.00059399i,9.4041e-05-0.0011761i,-6.0652e-05-0.0008796i,0.00045267-0.0002585i,0.00087943-0.0004353i,0.0011005-0.00038191i,0.0010661+0.00040523i,0.00056091+0.00052252i,-0.00024382+0.00071496i,-0.0012412+0.0008616i,-0.0010294+0.00069351i
0.00087378+0.00014269i,0.0011107+0.00022396i,0.00069374-0.00093484i,-0.00087082-0.0014634i,-0.0030252-0.0014234i,-0.0031653-0.00081044i,-0.0017121-0.00022741i,-0.00041537-0.00036424i,-0.00013576-0.00044156i,-6.8125e-05-0.00028603i,-0.00075215-0.0003349i,-0.00069285-0.00088114i,0.00047334-0.00069176i,0.00026841-0.00016914i,-0.0002294+7.4637e-05i,5.4483e-05-0.00025102i,-0.00016759-0.00029963i,-0.00054062+4.6373e-05i,0.00012654+0.00022074i,-0.00017399+0.00066365i,-0.00065534+0.00094333i,6.4944e-05+0.0011404i,0.00058078+0.00059154i
0.0010536-0.00026706i,0.00060559-5.4525e-05i,-0.00062663-0.00053291i,-0.0015011-0.00071506i,-0.0017347-0.00054817i,-0.0014957-0.00076957i,-0.00051068-0.00069861i,0.0001999+0.00014957i,-0.0004087+0.0009027i,-0.00074253+0.00068038i,-0.00043077+0.00057702i,-0.00089622+0.00049001i,-0.00057417+0.00079221i,0.00037716+0.001012i,0.0004851-0.0002665i,0.00023759-0.00069718i,-0.00034665+0.00012097i,-0.00059727-0.00032401i,0.00019096-0.0011847i,0.0006365-0.00068189i,0.00016127-0.00016762i,6.3565e-05+8.6974e-05i,0.00020303-0.00056079i
-0.00023012+9.0793e-05i,0.00032294+0.00047974i,-0.00034801+0.00067936i,-0.0016622-5.533e-05i,-0.0023607-0.00065057i,-0.001985-0.00024177i,-0.0012332-5.872e-05i,-0.0013686+0.00025895i,-0.0014428+0.001292i,-0.0003246+0.0012707i,0.00082058+0.00024045i,0.00068243+7.6837e-05i,-0.00011666+0.00011027i,4.2472e-05-0.00051813i,0.00092362+1.154e-05i,0.00098162+0.00096264i,0.00072408+0.00064408i,0.0010368+0.00037877i,0.00048954+0.00028784i,0.00020308+0.00035587i,3.6678e-05+0.00036266i,0.00024219+9.9183e-05i,0.00060943+0.00060708i
0.0021505+0.00050449i,0.0010269+0.00057457i,0.00067252-0.0011639i,-0.00026745-0.0018037i,-0.0010346-0.00057636i,-0.0010639+0.00010002i,-0.0012302+0.00012515i,-0.0010764+0.00022003i,-0.00051916+0.00078966i,-0.00034814+0.0012881i,-0.00074828+0.0007584i,-0.00098429-9.5295e-05i,-0.00049235-0.00018554i,-0.00020567-0.00031498i,-0.00029103+4.1509e-06i,-0.00013069+0.0011081i,-0.00017746+0.0011268i,-0.00019793+0.00023129i,0.00021169-0.00033752i,0.00073945-0.00040562i,0.0010051+4.6477e-05i,0.0010673+0.00042747i,0.0011435+0.0004962i
0.00047358-0.0011714i,-8.3093e-05-0.00093166i,-0.0013382-0.00073105i,-0.0016617-0.00023464i,-0.0021287+0.00075385i,-0.0021328+0.001085i,-0.0012759+0.00042573i,-0.00015423+0.00038547i,0.00014717+0.00054152i,-7.647e-06-0.00014287i,0.00030519-0.00045318i,0.00090903+0.00015689i,0.0011297+3.3442e-05i,0.00081632-0.00035741i,0.00034304-0.00024948i,-0.0001985+0.00017976i,-2.4499e-05+0.00083274i,8.7642e-05+0.00064927i,-0.00088596-0.00020077i,-0.0014985-0.00050972i,-0.00065696-0.00030374i,0.000603-0.00010423i,0.00014506+0.00050304i
-0.0028778+0.0020108i,-0.0016366+0.0019226i,-0.0006334+0.0016757i,-0.00011224+0.0011498i,-0.00014983+0.0004934i,-0.0005521-0.00028896i,-0.00091584-0.0009802i,-0.00074052-0.00061399i,-5.2599e-06-7.4757e-06i,0.00034786+5.8527e-05i,-0.00014825+0.0007021i,-0.00018762+0.00036983i,0.00059439-0.00024322i,0.0010662-0.00080264i,0.00080288-0.00030591i,0.00018459+0.00082046i,0.00019465+0.00040971i,0.00033751-3.6338e-05i,0.00033783+0.00051022i,0.00051072+0.0014674i,0.00012107+0.0010596i,-0.00038151-0.00019949i,-0.00049704+3.7092e-05i
0.0016852+0.00023051i,0.0010857+0.00021051i,-0.00030675-0.00076162i,-0.001656-0.0010134i,-0.0023268-0.00017836i,-0.0017247+0.00056524i,-0.0010479+0.00029746i,-0.00093413+0.00022528i,-0.00035572+0.00070888i,0.00035068+0.00064287i,0.00087103-0.0001282i,0.00045064-0.00065794i,0.0002292-0.00024138i,0.00076942+8.8837e-06i,0.00068119-0.00043808i,3.3856e-05-0.00052322i,-0.00052423-0.0002325i,-0.00039414+9.3908e-05i,0.00052219-0.00016675i,0.0006888-0.00042035i,0.00044569+0.0001569i,-7.2082e-05+0.0009348i,-0.00017385+0.00015829i
-0.0020316-1.698e-05i,-0.0014437+0.00030894i,-0.0011157+0.00087279i,-0.00090453+0.00081142i,-0.00022639+0.0008421i,-0.00023661+0.0013585i,-0.00113+0.00068361i,-0.0018671+0.00047624i,-0.0014281+0.00081348i,-0.00010135+0.00099383i,-6.7532e-05+0.0010665i,-0.0011613-5.4417e-05i,-0.001153-0.00026779i,-0.00075568-3.7376e-05i,-0.00058345-0.00029814i,-0.00048834-0.00023727i,-0.000502-3.6385e-05i,0.00018035-3.2136e-05i,0.00028967+0.00022922i,-2.5031e-05+0.00086173i,-0.00021551+0.00080104i,-0.00028313+0.00030534i,-4.1931e-05+0.00011283i
0.0013173-9.3656e-06i,0.0013617+0.00051628i,0.00042412+0.00064589i,-0.0011894+0.0002582i,-0.0014309+0.0009142i,-0.00061824+0.00026427i,-5.5068e-05-0.00059148i,-0.00071302+6.5115e-05i,-0.00089706+0.00065132i,-0.0003981+0.00033161i,-4.765e-05-0.00011532i,-0.00017889-0.00042105i,-0.00035605-0.00068698i,-0.00018436+0.00010433i,0.00042731+0.00078942i,0.00043437+0.00013165i,-0.00010223-0.00046251i,-9.1662e-05-0.00078966i,-0.00025052-0.00043804i,7.3028e-05+2.9084e-05i,0.00037913+0.00028748i,0.00015142-0.00092929i,0.00010448-0.0018033i
0.00083298+0.0016308i,0.00060735+0.00086083i,0.00033644+8.142e-05i,-0.0002114-0.00040185i,-0.00057413-0.00057466i,-0.00020681-0.00044408i,6.8707e-05-8.4643e-05i,-0.00032143+0.00011076i,-0.00058227+0.00033475i,0.00025264-0.00017005i,0.00084134-0.0012841i,0.0005586-0.0010381i,0.00037434+1.9107e-05i,-0.0001644+0.00058009i,-0.00010036+0.00028678i,0.00071696+0.0001657i,0.00060672+0.00032493i,0.00042906+0.0010681i,0.0012874+0.0018747i,0.0012245+0.0011189i,0.00057364+8.0804e-05i,0.00037745+0.00041585i,0.00072128+0.00031001i
-0.00040412+0.00027439i,-0.00067271-0.00049827i,-0.00079257-0.00032507i,-0.001595+0.00031767i,-0.0022945+0.0003875i,-0.0010661+0.00066495i,-0.00061309-4.5641e-06i,-0.00099852-0.0010184i,-0.00043124-0.00034971i,-0.00012052+0.00027355i,-0.0001987+0.00039767i,0.0006096+0.0011256i,0.00063119+0.00090867i,-0.00018059+0.00014733i,-0.00029631-0.00037245i,0.00013741-0.00095711i,0.00041315-0.00057332i,0.00077617+9.7657e-05i,0.00015146+0.0004387i,-0.00056543+0.00059746i,-0.0011875+0.00035189i,-0.0011771-3.0438e-05i,-0.00051114-0.00031078i
-0.0016605-0.0009063i,-0.0013443-0.00036998i,-0.0020011-0.00067724i,-0.0030822-0.00027097i,-0.0032827+0.0003657i,-0.0016927+0.000328i,-0.00014357-0.00040574i,-0.00012294-0.00093085i,-0.00078508-0.0006517i,-0.00082996-1.1896e-05i,-0.00091261+6.9026e-05i,-0.00073036-0.00051044i,-0.0010036+0.000211i,-0.0012977+0.00083792i,-0.0010044+0.0011744i,-0.00024123+0.001174i,0.00067587+0.00098329i,0.00057106+0.00083534i,-0.00017934-0.00019484i,-0.00086654-0.00090403i,-0.00079262-0.00048595i,9.196e-05-0.00047988i,0.00042808-0.00040437i
-0.00060193+0.00087197i,9.3677e-05+0.00070411i,0.0001515+0.0019335i,-0.0016546+0.0021582i,-0.0027373+0.0010051i,-0.001796+0.00076571i,-0.0016353+0.00058945i,-0.001847+0.0002844i,-0.0013733+0.00039579i,-0.00079879+0.00095293i,-0.00039538+0.00089297i,-0.00043954+0.00034427i,-7.7592e-05+0.00014365i,0.0005229+0.00010388i,0.00073534+0.00027213i,0.0007147+0.00046143i,-6.5605e-06+0.00026259i,5.6191e-05-0.00012052i,0.0004176-0.00014725i,0.00035917+0.0003291i,0.00025859+0.00078924i,2.6319e-05+0.00069221i,0.00031051+0.00080076i
-0.00019137-0.0023033i,-0.00016995-0.001902i,-0.00056047-0.0014429i,-0.0024703-0.001158i,-0.0032114-0.00078913i,-0.0024471-0.00027426i,-0.0020492-1.7913e-05i,-0.001193+0.00018709i,-0.00029452+0.00084186i,0.00079381+0.00070265i,0.0016798+0.00017215i,0.0013652-0.00081965i,0.0012358-0.0013339i,0.0011387-0.00057657i,0.00037101+0.00018071i,-5.1176e-06+0.00011539i,-0.00015887-0.0006054i,-0.00022752-0.00072445i,-0.00032235+0.00026216i,-0.00013596+0.00074702i,-0.00022952+0.00015402i,-0.0002408-0.0011535i,0.00016067-0.0010837i
-0.00094317+0.0011438i,0.00016518+0.00071325i,0.0020884+0.00037202i,0.0015827+0.0010078i,-0.00024896+0.0012021i,-0.0014969+0.0011134i,-0.0023802+0.0007477i,-0.0011369+0.00067436i,0.00013181+0.0011059i,-0.0001689+0.00011756i,-0.00024814-0.00052938i,-0.00044798-0.00043782i,-0.00099775-0.0010292i,-0.0007994-0.00083304i,-0.0008497+0.00011644i,-0.00093149+0.00023741i,3.168e-05-0.00042157i,-0.00021582-0.00090309i,-0.00054717-0.00036061i,3.7879e-06+0.00042288i,0.00010343+0.00025617i,9.7487e-06+4.5642e-05i,0.00027544+2.7714e-05i
-0.00024465-0.00014153i,0.00013108+0.00034779i,-0.00078496+0.00021326i,-0.0028023-0.00011991i,-0.0027083-0.00015917i,-0.00087179-0.00017633i,-0.0004019+3.7474e-05i,-0.00092355+0.00087722i,-0.00050373+0.0011449i,0.00061039+0.00081794i,0.00069422+0.0002935i,0.00014853+4.3948e-05i,-0.00021703+0.00030672i,-0.00031207+0.00091722i,0.00013446+0.0016314i,0.00045963+0.0014486i,0.00063121+0.00031861i,0.00087882-0.00046879i,0.00046997-0.00041525i,0.00021426-0.00026723i,0.00050538-0.00037099i,0.00049327-0.00043577i,0.00032256-6.9848e-06i
-0.00073005-0.0012149i,-0.0003803-0.0007455i,-0.001496-0.00033444i,-0.0019859-0.00032266i,-0.0018585-0.00041675i,-0.0018036-0.00013864i,-0.0011258-0.00068607i,-0.0014195-0.00089749i,-0.0024937+7.413e-05i,-0.0021911+0.00067861i,-0.0016144+0.00066814i,-0.00042783+0.0003789i,0.00045796-2.3042e-05i,0.00036046+0.00023588i,-0.00015455+0.00059931i,-0.00084324+0.00054126i,-0.00037035+0.00074505i,-0.00010305+0.00013773i,-7.8062e-05-0.00086088i,0.00074861-0.00060842i,0.00083204-0.0003117i,-4.5171e-05-0.00019028i,-0.0011979-0.00027946i
-0.00011418-0.0023183i,-0.00038927-0.0019235i,-0.0015461-0.0014299i,-0.0024017-1.9002e-05i,-0.0019369+0.00074651i,-0.0012663+0.00053504i,-0.0010372+0.000442i,-0.00079263+0.0010131i,-0.00037988+0.0012658i,0.00064102+0.00062719i,0.00073873-1.8358e-05i,0.0003718-0.00014882i,0.00010731+0.00019785i,-0.00077828+0.00084238i,-0.0012058+0.0010196i,-0.00055003+0.00050074i,-1.4013e-05+3.8563e-05i,0.00015682-4.6996e-05i,0.00021213-0.00023387i,-0.00012241-0.00018404i,-2.6961e-05+0.00031707i,-0.00026477+0.00011538i,-0.00091278-0.00055798i
-0.00084389-0.00044138i,-0.0010655-0.00022957i,-0.0018171-0.00035168i,-0.0028662-0.000423i,-0.0030882+0.00034107i,-0.0015447+0.00079064i,-0.00063278+0.00049005i,-0.00052527+0.00022129i,-1.331e-06+0.00030515i,0.0004032+0.00024423i,0.0013218-5.1093e-05i,0.00073995-0.0002548i,-0.00046441-0.00014061i,-0.00028518+8.1542e-05i,1.7158e-05+2.4979e-05i,8.6975e-05+8.9373e-05i,4.1364e-05+0.00084824i,-0.00038644+0.0011709i,-0.00076017+0.0014432i,-0.00030688+0.0013862i,0.00022965+0.0012239i,0.00027333+0.001243i,7.2227e-05+0.0013091i
0.00049204+0.00025463i,0.001191+0.00029828i,0.00052267+0.00013228i,-0.0011651+0.00061003i,-0.0017042+0.00096198i,-0.0013673+0.0011864i,-0.00073349+0.0010058i,-0.00091189+0.00062873i,-0.0012616+0.00073258i,-0.00053713+0.00098852i,0.00053942+0.00093145i,0.00092258+0.00062495i,0.00055041+0.00069622i,-5.9416e-05+0.00079111i,0.00038682+0.00073266i,0.0011396+0.00022229i,0.00077846-2.7306e-05i,0.00026487+0.00025543i,0.00011866+0.00040968i,-0.00020151+0.00021197i,-0.00029151+0.00016665i,-0.00012687+0.00014447i,-0.00028036-8.7293e-05i
