-0.0036478-0.0012713i,-0.0039531-5.6001e-05i,-0.0035655+0.0017509i,-0.0018627+0.0026752i,-0.001018+0.002028i,-0.00058541+0.0013455i,-0.00011102+0.0013968i,0.00063143+0.0019748i,0.00092025+0.0022889i,0.00060003+0.0015628i,0.0012391+0.00068015i,0.0012814-0.00035366i,-2.0652e-05-0.0015405i,-0.00091188-0.0014074i,-0.0011081-0.00065487i,-0.0013667-0.00058357i,-0.0012612-0.00045569i,-0.00062975+3.1568e-05i,-2.1103e-05+1.0265e-05i,-7.1872e-05+6.8681e-05i,0.00073712+0.00012993i,0.0006112-8.5715e-05i,-0.00027863-0.00019455i
-0.00037935-0.00045088i,-0.00079928+0.00020766i,-0.0014007+0.00088779i,-0.0012462+0.00045705i,-0.00061149+0.00014211i,-0.00044222-8.7762e-06i,-0.00086327-0.00097742i,-0.0011426-0.0013363i,-0.0012314-0.0011588i,-0.0012662-0.00051927i,-0.00079866-0.00032366i,-0.00014158-0.00085231i,-0.00014627-0.00067824i,0.00013188-0.00017186i,-1.94e-05-0.00028444i,-0.0004441-0.00043898i,-0.00058353-0.00052728i,-0.00054904-0.0007328i,-0.00045406-0.00051951i,-0.0003786-4.8441e-05i,0.00021254+0.00042997i,0.0007851+0.00072832i,0.00092947+0.00094908i
-0.0007862+0.0016917i,-0.00091509+0.0022434i,-0.00089045+0.002606i,-0.00029572+0.0025087i,0.00097601+0.001889i,0.0010775+0.00082947i,-0.00011084-0.0006091i,-0.00060251-0.00092423i,0.00015039-0.00010231i,0.0001229+0.00057733i,-0.00027483+0.00058061i,-0.0004387+0.00018869i,0.00032803-0.00026386i,0.00026445-0.00049614i,-0.000817-0.00017844i,-0.0008389+0.00055515i,-0.00015619+0.00040433i,0.00020916+0.00014645i,-8.6023e-05+0.00028171i,0.00017525+0.00036428i,0.00010957-0.0002461i,2.4593e-05-0.00081042i,0.00020253-9.2495e-05i
-7.3876e-05+0.00028071i,-0.00056231+9.1462e-05i,-0.00042947+0.00061991i,0.00043802+0.0021103i,0.0008431+0.0018695i,0.0012362+0.00041486i,0.0016275-0.00013516i,0.0022426-0.00020726i,0.0012827-0.00058028i,0.00013558-0.00046003i,0.00026567+4.1148e-05i,-1.0369e-05-0.00031799i,-0.00063561-5.7725e-05i,-0.00058417+0.00024444i,-0.00022961-4.8689e-05i,-0.00030104-0.00030047i,-0.00087061-0.00016594i,-0.0007706-3.9576e-05i,-8.9522e-05-0.00049677i,0.00028801-0.00069481i,0.00041355-0.0003188i,0.00025135-0.00016452i,0.0004257-0.00030795i
-0.00040331-0.0005965i,-0.0008602-0.00035058i,-0.0015004-0.00011487i,-0.00098752+5.3562e-05i,7.6771e-05+0.001302i,0.00088212+0.0020164i,0.0012287+0.00149i,0.0010349+0.00043776i,0.00078648-0.00024821i,0.00026918-0.00061622i,-0.00016703-0.00063837i,-8.8126e-05-0.00038307i,0.00023865-0.00020566i,0.0001242-0.00050151i,0.00011773-0.00029099i,-0.00020522+0.00087443i,-0.00075813+0.00093598i,3.376e-05+0.00049676i,-8.1084e-05+0.00069202i,-0.00064525+0.00094486i,-0.00037445+0.00072644i,0.00024272+0.00010567i,0.00050313-6.6287e-05i
-0.0011115-0.0012758i,-0.0011375+0.00019678i,-0.0022815+0.0012541i,-0.0020147+0.0023866i,-0.00055522+0.0030179i,0.00052745+0.0019881i,0.0013772+0.00012284i,0.0011125-0.0009297i,-0.0004018-0.00058902i,-0.0014427-8.0403e-05i,-0.0010988-0.00031907i,-0.00067195-0.00021741i,-0.00061042+0.00035673i,-0.00084035+5.5968e-05i,-0.00075289-0.00073689i,-0.00089664-0.0008599i,-0.001385-0.00058488i,-0.00095603-0.00034369i,6.2488e-05-0.00024958i,0.00016228-0.00028775i,-4.5023e-05-0.0001827i,0.00037859+0.00010353i,0.00084359+0.0005597i
-0.0013975+0.0023304i,-0.00085849+0.0028019i,9.0591e-05+0.0030226i,0.0011137+0.0032088i,0.0016039+0.0014531i,0.0014786-0.00033602i,0.00070913-0.00049364i,0.00022887-0.00039604i,0.00016555-0.00022751i,-3.6075e-05+0.00030268i,-0.00036192+0.00038871i,-0.00060467-7.8923e-06i,-0.00049775-0.00026223i,9.3032e-05+4.6965e-05i,0.00024383+0.0012245i,-1.2869e-05+0.0010089i,-0.0003369-0.00040885i,4.358e-05-0.00058536i,0.00017722+4.7881e-05i,0.00051948+0.00014242i,0.0005612-0.00024243i,-0.0010752-0.00072551i,-0.00079912-0.00039126i
0.00024146-0.0006797i,-0.00044293-7.5309e-05i,-0.0018535+0.00081585i,-0.002083+0.0028086i,-0.00082656+0.0036319i,0.00045392+0.0016926i,0.0005526+0.00070837i,0.00065632+0.00058312i,0.0012125+0.00015605i,0.00093306+0.00051821i,0.0004987+0.00068396i,0.00019592+0.00038488i,-0.00017394-9.613e-06i,-0.00047578-0.00072579i,-0.00090066-0.0015741i,-0.00075882-0.0009167i,-0.0011561+6.6541e-05i,-0.0009708+7.0393e-06i,-0.00018594+2.719e-05i,0.00072106+0.0001436i,0.00041097-0.00025868i,-0.0007725-0.00058003i,-0.00086312-0.00082352i
-0.00026809-0.001427i,-0.00046113-0.0010175i,-0.00055056-0.00049489i,1.3444e-05-0.00076156i,0.00048057-0.00059464i,0.00080901+0.00043138i,0.0016487+0.00047098i,0.001744-0.00010666i,0.0008131-0.00029129i,1.1449e-05-0.00025825i,-0.00056802-0.00036176i,-0.0011706-0.00070335i,-0.0010593-0.0012387i,-0.00023018-0.0013342i,-0.00022096-0.0014218i,-0.00067106-0.001078i,-0.0012624-0.00021614i,-0.0014224-1.5029e-05i,-0.0010876-5.9805e-05i,-0.00051573-0.00091493i,-0.00038369-0.0010184i,-0.00072331-0.00054117i,-0.00063499-0.00011912i
0.00012697-0.00012038i,-0.00062991+0.00012615i,-0.00023057-0.00034918i,-0.000861-0.0005612i,-0.00184-0.0012403i,-0.0012076-0.0010959i,9.5233e-05-0.0001382i,0.0012335+4.3581e-05i,0.0015112-0.0003065i,0.0010841-0.00073023i,0.0007064-0.00065947i,4.8735e-05+0.00012636i,-0.00016322-2.4216e-05i,-4.0205e-05+9.823e-05i,0.00010964+0.00031694i,0.00016848+0.00020478i,0.00042308+0.00039056i,0.0011143+0.00013264i,0.0011353+7.2341e-05i,0.00048342+0.0002666i,0.00011945+0.00050358i,0.0003889+0.00088177i,0.00017802+0.0009633i
0.00028015-0.0010416i,-0.0015852-0.00091254i,-0.0026339+0.00041225i,-0.0017996+0.0014966i,-0.00085828+0.0013976i,0.00033296+0.0007856i,0.0012766+0.00072753i,0.0013671+0.00075662i,0.00095898-0.00067229i,0.00038138-0.0015167i,0.00016715-0.001085i,0.00047631-0.00064428i,0.00039953-0.00019249i,0.00013028-0.00021279i,-0.00042745-0.00014238i,-0.0014272+0.00018362i,-0.0022201-0.00060041i,-0.0019455-0.00063554i,-0.00069963+0.00025373i,-0.00046205+0.00017741i,-0.00038397-0.00027947i,0.0004259-0.00010307i,0.00029691-2.484e-05i
-4.8959e-05+0.0011789i,-0.00028946+0.00032636i,-0.00038024+0.00064956i,0.00069289+0.001934i,0.0024466+0.0016698i,0.0023269+0.00031161i,0.0017779-0.0003325i,0.0013285-0.00073437i,0.00011519-0.00049592i,-0.00015271-0.00015002i,0.00049953-9.244e-05i,0.00039092-0.00011888i,0.00010811-0.00022386i,-0.00031103-0.00036485i,-0.0005941-0.00013841i,-0.00048845-2.222e-05i,-0.0001749+0.00020251i,-0.00023509+0.00016618i,-0.0001693-0.00030831i,-0.00011832-0.00044285i,-0.00020073-0.00026728i,0.00017556-0.0003877i,0.00019293-0.00041424i
0.0010646+0.00029518i,0.00032221-0.00057358i,-0.00036656-0.0010543i,-0.000754-0.00042827i,-0.00074781-0.00084397i,-0.00030037-0.0013496i,0.00030127-0.00065438i,0.00028844+0.00010518i,0.00010049-0.00055037i,-0.00015228-0.0014346i,-0.00050436-0.00086407i,-0.00026875-0.00020426i,0.00011828+0.00020804i,0.00024837+0.000179i,0.00074094-4.2446e-05i,0.00055507-0.00032749i,-0.00089579-0.0012119i,-0.00077431-0.0016626i,0.00075134-0.001057i,0.0010945-0.00019095i,0.0010172+0.00050391i,0.00062576+0.0004993i,0.00041239+0.0006255i
2.7613e-05-0.0020563i,-0.0015746-0.0013555i,-0.0019354+2.2409e-05i,-0.00090353+0.00075467i,0.0006159+0.00066466i,0.0014561-2.0583e-06i,0.0014059-0.00051299i,0.0007874-0.00026603i,0.00077855-0.00039415i,0.000375-0.00061467i,6.5175e-05-0.00080128i,3.157e-05-0.00077158i,9.0192e-05-0.00033393i,5.723e-05-0.00030543i,0.00023845-0.00023789i,-3.8372e-05-5.2892e-05i,-0.0010391-0.00020338i,-0.00082643+0.00032518i,-4.1999e-05+0.00067469i,0.00047733+0.00011736i,0.00069479-0.00019887i,0.00019594-0.00050356i,5.0625e-05-0.00088727i
-0.00087932+0.00080291i,-0.0010992+0.0014055i,-0.00067014+0.0026058i,0.00020422+0.0026556i,0.00055429+0.0012468i,4.9188e-05+9.7239e-05i,-0.00065764-1.1262e-05i,-0.00015059+0.00019308i,0.00076892-1.9999e-05i,0.00052174-0.00054338i,-0.00047608-0.00043832i,-0.00095214-0.00098117i,-0.00042556-0.0010071i,0.00014578-0.00013508i,-0.00042404+0.00018437i,-0.00098458-0.0001722i,-0.0012798+0.00017716i,-0.0014229+0.00054061i,-0.00060172+0.0005929i,3.2171e-05+0.00057922i,-0.00024541+0.00085602i,-7.4859e-05+0.00054346i,-3.7137e-05+0.00032483i
-0.0013194+0.0011469i,-0.00087579+0.0018832i,-0.00043736+0.0027692i,0.00020168+0.0023619i,0.0013065+0.0010634i,0.002641-1.4571e-05i,0.002593+0.00053657i,0.00102+0.00064929i,-0.00013772-0.0002075i,0.00052678-5.9975e-05i,0.00049705-8.4744e-05i,-0.0009313-5.0916e-05i,-0.0014121-4.9812e-05i,-0.0011011+0.00041938i,-0.00062297+0.00068736i,-0.00024737+0.00077272i,-1.978e-06+0.00084431i,3.0691e-06+0.00027745i,-0.00013108-0.00011036i,0.00016506+0.00043887i,-0.00017958+0.00077157i,-0.0005356+0.00044395i,-0.00079536+0.00039474i
0.0011458+1.9461e-05i,0.00047876-5.7003e-05i,-0.00021013+0.0011725i,0.00018075+0.0016864i,0.00041353+0.0010707i,8.9484e-07+5.1332e-05i,5.6914e-05-0.00083384i,0.00079012-0.00055627i,0.0011762-0.00015389i,0.00045199-0.00012747i,-0.00017267-5.8856e-05i,-0.0003046-0.00039593i,-0.000367-0.00012108i,-0.00063471+0.00056338i,-0.00048188+0.00048798i,0.00017579-0.00031542i,0.00036986-0.00067472i,0.00051364+0.00017436i,0.00037491+0.00018161i,-0.00015079-2.1252e-05i,-0.00043803+0.00027742i,0.00028796+1.6047e-05i,0.00049311-0.00075127i
-0.00030732-0.0008911i,-0.0013001-0.0014841i,-0.0015153-0.00091807i,-0.00059106-0.00084962i,-5.086e-05-0.00029961i,0.00012099+0.00020185i,0.00060218+1.3077e-05i,0.00026575-8.8718e-05i,-0.00073473-0.00049652i,-0.00074165-0.00058212i,0.00026067-0.00050697i,0.00080533-0.001219i,0.00063324-0.0010879i,0.00026137-0.00022362i,-0.0005006+0.00036938i,-0.00055014+0.00076885i,8.6261e-05+0.00035601i,-1.8118e-05+0.0001347i,-0.00018325+0.00046742i,-0.00017355+0.00029614i,-9.2965e-05+0.0004664i,-0.00027052+0.00063974i,-0.00013718-0.00021902i
-0.00099484-0.0013443i,-0.0007638-2.8196e-05i,-0.0014605+0.001814i,-0.0010477+0.0027318i,0.00074301+0.0029468i,0.0016374+0.0018819i,0.0016414+0.00021881i,0.0013763-0.00073308i,6.1141e-05-0.00081594i,-0.00049159-0.00045651i,0.00028435+0.0004126i,0.00038413+0.00072515i,0.00016728+0.00031761i,6.7553e-06-0.00022164i,0.00015227-0.00056494i,0.00024605-0.00066172i,-0.0001675-0.000382i,-0.0002209-0.00022381i,-0.00078012-0.00083221i,-0.0010125-0.00088878i,-0.00026041-0.00049839i,-0.00031989-0.00057793i,-0.00035541+5.5611e-05i
-0.00082879+0.0013575i,-0.001149+0.0013745i,-0.00083188+0.0018171i,0.00049873+0.0014118i,0.0015039+0.00078795i,0.0012371-8.2217e-05i,0.00096117-0.00022204i,0.0009266+7.389e-05i,0.00060756+0.00029122i,0.00055091+0.00055017i,0.00037143+0.00033297i,-0.00034466-0.00028093i,-0.001192-0.00081471i,-0.00037392-0.0009137i,9.3096e-06-0.00043135i,-0.00060537+0.00030336i,-0.00060096+0.00055136i,-0.00036084-9.0717e-05i,0.000111-0.0005837i,0.0005555-0.00085692i,0.00045679-0.00074036i,-0.00016025-0.0010048i,-0.00033309-0.0014859i
0.0010163+0.0012862i,0.00095606+0.0013443i,0.0011609+0.0012783i,0.00060101+0.0016307i,0.00063113+0.0021243i,0.0015413+0.00096686i,0.0023435+0.00096237i,0.0018637+0.0013357i,0.0010741+0.00057736i,0.00016257+3.0035e-05i,-0.00030396+8.525e-05i,0.00065079-0.00042247i,0.00046402-0.00096854i,-0.00023932-0.00067251i,-0.0006418-0.00078204i,-0.00031018-0.0008765i,0.00030133-0.00086261i,-5.7521e-06-0.0004992i,-0.00051726+0.00023092i,-0.00055005+0.00045269i,-0.00015895+3.257e-05i,0.00051449-0.00055675i,0.00095085-0.00073905i
-0.0018949-0.0018427i,-0.0023142-0.00096153i,-0.0026905-7.2561e-05i,-0.0021258+0.0012761i,-0.0011608+0.002193i,-0.00011485+0.0015363i,0.00094571+0.00032264i,0.0012567-0.00028737i,0.00056576-0.0006223i,-1.4625e-05-0.00079574i,0.00024345-0.00060228i,-7.4352e-06-0.00041891i,-0.00053274-0.00050904i,-0.00056459-0.00033732i,-0.00049257+0.00051515i,-0.00062083+0.0010626i,-0.00053017+0.0012767i,-0.00026918+0.001328i,0.0001341+0.00037918i,-0.00017631+0.00019794i,-0.00048284-3.7157e-05i,0.00022604-0.00066893i,0.00071523-0.00066264i
-0.00038209-0.0010562i,-0.0017723-0.00089974i,-0.0030986+3.2141e-06i,-0.002913+0.0015766i,-0.0014954+0.0018665i,0.00025516+0.0014295i,0.0018602+0.00040723i,0.0021484-0.00042436i,0.00084635-0.00082795i,-0.00030546-0.0011143i,-0.0002783-0.00043354i,0.00054597+0.00080484i,0.00070021+0.00036476i,0.00012309-0.00043254i,-0.00019957-0.00039897i,0.00033983-0.00033545i,-3.7584e-05-0.00031261i,-0.00080008-0.00010802i,-0.00050417+0.0001948i,-0.00043201+0.00066285i,-0.00083908+0.00084692i,-0.00066149+0.00022858i,-0.00039784-0.00087184i
-0.00033666-0.00061726i,0.00029048-0.00018839i,-0.00039249+0.0005213i,-0.0015064+0.0011695i,-0.0011452+0.0014932i,2.7371e-05+0.0013327i,0.00079299+0.0011625i,0.0013244+0.00066171i,0.0011935+0.00077634i,0.0004036+0.00058075i,-6.631e-05-0.00021155i,-0.00013123-0.00067575i,9.541e-05-0.00027836i,-0.00056009+0.00043002i,-0.00068912-0.00034107i,0.00026838-0.0014206i,0.00022699-0.00063738i,2.7808e-06+0.00041594i,0.00031918+0.00055887i,0.00024825+0.00016848i,0.00035295-0.00018758i,0.00054538-0.00048769i,0.00050812-0.00015323i
0.0012991-0.00020042i,0.00072957-0.00010222i,4.8232e-05+0.00059316i,0.00065485+0.0013628i,0.0010533+0.00092923i,0.00027326+1.5337e-05i,0.00023016+0.0004718i,0.0012983+9.0126e-05i,0.0014428-0.00091777i,0.00076732-0.00098432i,0.00079814-0.00098735i,0.00050283-0.0013285i,0.00021108-0.0011948i,0.00072677-0.0010218i,0.00057141-0.00067115i,-0.00016405+2.6062e-05i,-0.00024412+0.00033824i,-0.00035683-7.8164e-05i,-0.00036938-0.00049388i,-0.00020998-0.00026216i,-5.0769e-05+0.00035207i,-0.00018371+0.00060609i,0.00025513+0.00031067i
-0.0010469-0.00044919i,-0.00023502-0.001071i,-0.0002467-0.00075006i,-0.0014213+0.00061558i,-0.0020866+0.0015394i,-0.00075057+0.0017294i,0.00055074+0.00053033i,0.0011942-0.00044849i,0.0014302-0.0007323i,0.0007692-0.00074047i,-9.4112e-05-0.00072385i,-0.0010231-0.00051509i,-0.0012808-7.6458e-06i,-0.00046504-0.00035334i,-0.00057911-0.0011443i,-0.00033631-0.00084566i,3.8215e-06-0.00067046i,-0.00013634-0.00059889i,-1.2609e-05+0.00023926i,-8.5214e-05+0.00057005i,-1.0758e-05+0.00014724i,0.00025927+0.00038005i,3.4662e-05-3.1448e-05i
-0.00012275-0.0006275i,-0.0010628-0.00022847i,-0.0014578-0.00091389i,-0.000896-0.0012152i,-0.00010272-0.00099352i,0.0002034+0.00014198i,0.0014443+0.00032775i,0.0021696-8.7663e-05i,0.0010134-3.1636e-05i,-0.00016232-6.2089e-05i,-3.0304e-05+9.1015e-05i,-0.00011794-0.00035376i,-0.00070544-0.0013507i,-0.00022745-0.0010279i,-0.00020748-0.00031801i,-0.00047307+0.0002896i,-0.00024986+0.0010584i,-0.00026304+0.00097504i,0.00017354+5.0576e-05i,0.00068087-0.00013688i,0.00075329+0.0001321i,0.00081357-0.00090943i,0.0007012-0.0014189i
0.00064478+0.00063801i,0.00047951+0.00077272i,-0.00014814+0.0013133i,-0.0009574+0.0011023i,-0.0015361-5.1939e-06i,-0.0010596-0.00061753i,-0.00012361-0.00017641i,0.00091907-0.00024323i,0.0006589-0.00036005i,-0.00041182-0.00077048i,-0.00034788-0.00093841i,-0.00023266-0.00027533i,-0.00062129-0.00011753i,-0.00011564-4.0865e-05i,0.00068338-0.00033842i,0.00046695-0.00095917i,-0.00014231-0.00093879i,-0.00068026-0.00047935i,-0.00092228+0.0002178i,-0.0007795+0.0001323i,-0.00053908-0.00053124i,-0.00039416-0.00060737i,-0.00012301-9.3652e-05i
0.00026644+8.7262e-05i,-0.00032967-0.00021814i,-0.0010166+0.00053438i,-0.001387+0.0010393i,-0.0011044+0.0014854i,-0.00014976+0.0012918i,0.0001128+0.00066843i,0.00033817+0.0004316i,0.00059715+0.0004185i,-0.00014272+2.7879e-05i,-0.00072419-9.7549e-05i,-0.00074142-0.00014018i,-0.00081263-0.00078899i,-0.00088226-0.00090239i,-0.00094241-0.00073595i,-0.000466-0.00082782i,-0.00020355-0.00048061i,-0.00066907-0.00040587i,-0.00043505-0.00034147i,-0.0004282-0.00036161i,-0.00045404-0.000149i,-0.00016138+0.00032677i,0.00037657-9.5879e-06i
2.9946e-05-0.00091537i,-0.001912-0.00061101i,-0.0031861+8.2552e-05i,-0.0015597+0.00095304i,8.8526e-06+0.00114i,9.9778e-05+0.001133i,0.0004243+0.0010493i,0.0014455-0.00016375i,0.0012931-0.00077783i,0.00059012-0.00052295i,0.00052389-0.00057231i,-0.00014102-0.0010077i,-0.00017316-0.00070132i,0.00010652-0.00035736i,0.00027004-0.00089022i,0.00030198-0.00066248i,-8.2405e-05+0.00038294i,-0.00069883+0.00066586i,-0.00091271+0.00054924i,-0.0011778+0.00036961i,-0.00083453-0.00018912i,-6.0494e-06-0.00061583i,0.00025858-0.00042764i
0.00085376-0.00070454i,0.00036548-0.00052988i,-0.00026969-0.00032437i,-0.0012517+8.6711e-07i,-0.00089744+0.00012323i,0.00025543-0.00023003i,0.00070123-0.00048923i,0.00062584-2.8501e-05i,0.00022579+4.8967e-07i,-0.00070743-0.00013466i,-0.0011356-0.00047078i,-0.00097859-0.00040122i,-0.0005504-0.00037143i,0.00032979-0.00069173i,0.00040861+0.00020865i,-1.093e-05+0.00096111i,-0.00030301-5.2947e-05i,-6.8722e-05-9.205e-05i,-0.00014624+0.0010365i,-0.0006241+0.00078105i,1.5736e-05-1.9834e-05i,0.00049174-0.00046217i,0.00034727-0.0014274i
0.0002706-0.00079657i,-0.00097116-0.00021186i,-0.0013782+0.00049298i,-0.0004833+0.0018698i,0.00041741+0.0025093i,0.0012348+0.0016978i,0.0015674+0.0011716i,0.00093926+0.00093623i,0.00011991-0.00050599i,-0.00041755-0.0015019i,-0.00062265-0.0016921i,-0.00093625-0.0013749i,-0.001328-0.00083711i,-0.0013907-0.00049734i,-0.00099784-0.00078074i,-0.00028006-0.0011655i,-0.00034489-0.00035851i,-0.0011529+0.00033349i,-0.00087571-5.3867e-05i,8.4933e-05-0.00015062i,6.7716e-05+0.00027971i,-1.2864e-05-0.00044821i,-7.1831e-05-0.00082502i
