0.0010554-0.0013115i,0.00071523-0.002506i,-0.0004447-0.0030278i,-0.0018875-0.0023724i,-0.0018653-0.001079i,-0.00090436+0.00066659i,6.2628e-06+0.00096329i,0.00069902+0.00044383i,0.00088666+0.00015723i,0.00050301-0.00049391i,0.00078621-0.00088029i,0.00084221-0.0010321i,5.339e-05-0.00011611i,-0.0004814+0.0011673i,0.00041024+0.0011688i,0.00033142+0.00024256i,-3.3657e-05+0.0006031i,0.00039786+0.0010129i,0.00050828+0.00047065i,0.00066571+4.0903e-05i,0.00094804+0.00015473i,0.0010247+0.00039799i,0.00096913+0.00012543i
-0.00037891+0.0011628i,-0.00079024+0.0027593i,-0.0012079+0.0027286i,-0.0014082+0.0014211i,-0.001092-0.00024806i,-0.0013425-0.0013938i,-0.0015053-0.00063861i,-0.00097952+0.00028607i,-5.8001e-07+0.00016569i,0.00074255+0.00084081i,0.00080036+0.0013164i,0.00064358+0.00033173i,0.00015945+0.00015894i,-3.887e-05+0.00035907i,0.00021313+0.0003341i,0.00071904+0.00071571i,0.00063184+0.00088539i,0.00031274+0.00017332i,0.00073471-0.00047236i,0.0003718-0.00045829i,-0.0002947-5.2997e-05i,-0.0001035+9.4006e-05i,0.00057163-0.00030278i
-0.00066465-0.0014648i,-0.001046-0.001173i,-0.0026795-0.0010492i,-0.002854-0.00081203i,-0.0018403+0.00015501i,-0.0013517+0.00059913i,-0.00099811+0.00037135i,-0.00013548+0.0005621i,9.7427e-05+0.000584i,-0.00018773+0.00081281i,-6.5318e-06+0.00051994i,0.00080312+0.00012023i,0.00078033-0.00012754i,-0.00028229-0.0006618i,-0.00035183-0.00075879i,2.2386e-05-0.00038701i,-0.00010502+5.8079e-05i,0.00034408+0.00059925i,0.00036547+0.00033859i,4.4873e-05-0.00048918i,-6.6994e-05+4.9418e-06i,8.3714e-05+0.00045266i,8.8856e-05-0.00024592i
-0.0010329+0.0026571i,-6.3896e-05+0.0031828i,0.00089623+0.0023296i,0.0010214+0.00027883i,0.00057435-0.00031589i,-9.4106e-05-0.00029191i,0.00029718-0.00065588i,0.00044772-0.0010416i,0.00034732-0.00082553i,0.00081704-0.00040816i,0.00097585+3.4463e-05i,0.00047883-5.4533e-06i,-0.00012657-0.00031952i,-0.00059783-0.00029105i,-0.00088241-0.0003342i,-0.00069433+0.00013124i,-0.00068769+0.00017324i,-0.00055188+0.00034038i,-0.00024401+0.00028054i,-0.00035439-0.00059878i,6.446e-05-0.001002i,0.00081898-0.00080599i,0.00049173-0.0003048i
-0.0016319-2.8803e-05i,-0.0018712+0.00077101i,-0.0027367+0.0012343i,-0.0023914+0.0014892i,-0.0012205+0.0012685i,-0.00061679+0.00067739i,-0.00067228+0.00029563i,-0.000309+0.00050461i,0.00047867+0.00015265i,0.00067535+0.00019888i,-9.0103e-05+0.00064046i,-7.4419e-05-0.00029848i,0.00079087-0.00069726i,0.00028163-0.00034386i,-0.0010624-2.6338e-05i,-0.0012038+0.00056507i,-0.00068901+0.00059351i,-0.0003803+0.00035344i,-0.0004013-0.00032406i,-0.00039875-0.00052515i,0.00036792+0.00050764i,0.0005909+0.00029553i,0.00032316-0.00029452i
-0.00097864-0.00019657i,-0.0016805+0.00052323i,-0.0024788+0.0015709i,-0.0021725+0.0010134i,-0.00038545-0.00035876i,5.0028e-05-0.0012988i,-0.00097891-0.0008694i,-0.0009151+0.00050581i,-0.00016646+0.00027953i,0.00036785-0.00032638i,0.00026096+0.00013926i,0.00041714+0.00037901i,0.0001047-0.00035887i,-0.00070568-0.00086179i,4.6237e-05-0.00069768i,-7.459e-06+0.00035197i,-0.00073739+0.00050361i,0.00010842+0.00021784i,0.00013928+0.0003815i,-0.0002708+0.00020565i,0.00013502+0.00010979i,-3.3828e-05+0.00018895i,6.6624e-05-5.0589e-06i
-0.0018038+0.0015324i,-0.0013408+0.0026935i,-0.00081117+0.0017695i,0.00038246+0.00031494i,0.00089512-0.00060065i,0.00042962-0.00015334i,-3.2075e-05-6.9391e-05i,-0.00058426-0.00033628i,-0.00033732-0.00039257i,0.00049433-0.00052707i,0.00024203-3.3289e-05i,-0.0001855+0.00011605i,-0.00045755+0.00026412i,-0.0013995+0.00042348i,-0.0013937+0.00010596i,-0.00095219-0.00027072i,-0.0007065-0.00066202i,-0.00065137-5.9855e-05i,-0.00085604+0.00065298i,-0.00079734+1.0212e-05i,-0.00026161-0.00034127i,-6.6317e-05-0.0003704i,-0.00060106-0.00023256i
0.00097696-0.0016517i,0.0006942-0.00064969i,-0.00036548-0.0010935i,-0.0012466-0.001541i,-0.00096963-0.0010737i,-9.1897e-05-0.0010016i,0.00078124-0.00054177i,0.00054783+0.00074201i,0.00043617+0.00059249i,0.00012369-0.0002316i,-0.00076498-7.8936e-05i,-0.00045366+2.0248e-05i,0.00085823-0.00021541i,0.0014404+3.0583e-05i,0.0011669-0.00011058i,0.0013634-0.0008427i,0.001213-7.6398e-05i,3.1657e-05+0.0007131i,-0.00063922+0.00026104i,-0.00075297-0.0001091i,-0.00048748-5.4891e-05i,-3.7179e-05+0.00038213i,-0.00015722-0.00012006i
0.00021086+0.0032116i,0.001833+0.0028666i,0.0025939+0.0025095i,0.0017574+0.00052749i,0.00059274-0.0013587i,0.0001979-0.0013258i,-0.00069902-0.00036063i,-0.001472+0.00063964i,-0.0014314+0.00055784i,-0.00078944-4.4713e-05i,0.0001998-0.00021006i,0.0013952+3.5367e-05i,0.00093885+7.6629e-05i,5.8803e-05+0.00029421i,0.00031901+0.00062053i,8.9344e-05+0.00059081i,-0.00037885+0.00088526i,-0.00037268+0.0015671i,0.0001852+0.0015735i,0.00047257+0.0013455i,0.00032023+0.00077999i,-0.00011429+0.00015078i,-0.00010776+0.00049555i
5.571e-05-0.00072802i,-0.001225+2.0391e-05i,-0.0020213-9.5908e-05i,-0.00089959-0.00016017i,-0.00059289+2.0698e-05i,-0.00076026+3.9878e-05i,-0.00083721+0.00010282i,-0.00097646+0.00018042i,-0.00013998+0.00038467i,-2.3011e-05+0.00022822i,-0.00025143+0.0001194i,0.00049722+0.00035692i,0.0010727+0.00051392i,0.0012426+0.00039004i,0.0010393-0.00051775i,0.00055641-0.00095026i,0.00023351-0.00034938i,0.00021786-0.00036786i,5.0004e-05-0.0015307i,0.0004046-0.0016433i,0.0010746-0.00076209i,0.0011511-0.00045266i,0.00056686-0.00041985i
-0.00084715+0.0010776i,-0.00090993+0.00094873i,-0.00099499+0.00021878i,-0.00079248+2.0474e-05i,-0.00035275-0.00018711i,-0.0006265-0.00051313i,-0.0013075-0.00082372i,-0.00092436-0.00017079i,-0.0001323+0.00065411i,0.00036327-1.2008e-05i,0.00058864-0.00065343i,0.0007926-0.00048489i,0.0010634-0.0001768i,0.0009727+0.00065826i,0.00069656+0.00077622i,0.00047851+0.00058139i,0.00036042+0.00086754i,0.0002512+0.00046132i,0.00032402-0.00019552i,0.00039412-8.7903e-05i,2.1532e-05+9.5561e-05i,0.00015617-0.00029145i,0.00027904-0.00019904i
-0.0003599-0.0004092i,-0.00065469+0.00017398i,-0.00077638+0.00040956i,-0.00055506+8.8526e-05i,-0.00053124-0.00079229i,-0.0005702-0.00087539i,-0.00056814+0.00010765i,-0.00038212+0.00025985i,-0.00057575+0.00023333i,-0.00063846-0.00031961i,-3.0972e-05-0.0010082i,0.0010362-0.00086926i,0.0016288-0.00064147i,0.0016152-0.00013346i,0.00072712+0.00010748i,-0.00024437-0.0001804i,-0.00037556-0.000243i,-0.00095829-0.00023106i,-0.0017762-0.00027466i,-0.0014631-0.00033284i,-0.00028921-0.00029552i,0.00059327-4.535e-06i,0.00071605+0.00030271i
0.00027843-0.0008103i,0.00030244+0.00051756i,-0.0007687+0.0014421i,-0.00080256+0.001632i,1.7347e-05+0.001473i,0.00041181+0.00062831i,-0.00037654+0.00016875i,-0.0008013-0.00026295i,-0.00064927+0.00011041i,-7.9798e-05+0.00079353i,0.00040999+0.00042429i,-0.00011477+0.00031611i,-7.6052e-05+3.9358e-06i,7.6172e-06-0.00056215i,-3.9572e-05-0.00052416i,0.0003554-0.00068019i,0.00055815-0.00035852i,-0.00054967+0.00018944i,-0.0016639+0.0003679i,-0.00068846+2.6639e-05i,0.00028701-2.7766e-05i,-0.00019437-0.00059485i,-0.00096177-0.00083647i
-0.00012851-0.00024701i,-0.00063373+0.00059166i,-0.00090092+0.00082463i,-0.00031462-7.5004e-05i,-7.6559e-05-0.00052393i,-0.00057935-0.00049954i,-0.0014908-0.00051388i,-0.00086551+3.831e-05i,-0.00015493-6.2502e-06i,-0.00032745-0.00046521i,-0.00046249-0.00039558i,-0.00053513-0.00049123i,-0.00051915-0.00022303i,-0.00068477-0.0001328i,-0.00012295-0.0001332i,0.00037578+0.00019253i,1.7077e-07+0.00044576i,0.0003546-0.00018699i,0.00067757-0.00031867i,0.00059854+0.00061694i,0.00034803+0.00056142i,-6.0315e-05+0.00024207i,0.00014649+0.00058436i
0.00076093+0.00085151i,0.00011624+0.0007632i,-0.00062791+0.00022929i,-0.00098937-0.0010469i,-0.0005348-0.0010477i,0.00036414-0.00030558i,5.1299e-05-6.3702e-05i,-0.0002432-2.2041e-05i,5.0098e-05+0.00033523i,-0.0001851+0.00035517i,-0.00052148+0.00021681i,-0.00073163+0.00013494i,-0.00099966+0.00013776i,-0.00042454+0.00038425i,0.00053953+0.00086751i,-7.1221e-05+0.00074018i,-0.0005546+0.00030428i,0.00044068+0.00018735i,0.00086166-0.00023325i,0.00011365-0.00050024i,0.00037056-0.00055688i,0.00089724-0.0010754i,0.00047931-0.00077946i
-0.0007759+5.0193e-05i,-0.0014516+0.0002518i,-0.0019397+0.00090595i,-0.0016503+0.00084503i,-0.0011036-0.00038608i,-0.00035336-0.001314i,-3.7749e-05-0.0011428i,0.00018941-0.0003848i,0.0005082-0.00046772i,2.8106e-05-0.00054766i,-0.00048026-0.00024972i,-0.00074913+9.0299e-05i,-0.0003714+0.00033749i,-0.00010194+0.00050571i,7.0474e-05-0.00012862i,0.00047135-8.9803e-06i,0.00066372+0.00050649i,0.00052193+0.00034655i,0.00065876+0.00076305i,0.00011104-0.00014168i,-0.0009369-0.00096964i,-0.0011397-0.0004439i,-0.00046652+0.00023567i
-0.00032966+0.0020671i,0.00026158+0.0033053i,0.0013173+0.0021761i,0.00071298+0.00050948i,-0.00021347-9.0823e-05i,-0.0010008-5.1609e-05i,-0.0012072+0.00014886i,3.5346e-05+0.00072823i,0.0005274+0.00084949i,-0.00035039+0.00096608i,-0.00016753+0.00044241i,0.00072812-9.3476e-05i,0.00078443+9.1093e-05i,-0.00025571+0.00051001i,-0.0011026+0.00053384i,-0.0011244+0.00063409i,-0.0010326+0.00030824i,-0.00049594-0.00089421i,-0.00024859-0.00031983i,0.00048826+0.00017688i,0.0011461-0.00040105i,0.00021083-0.00018152i,-0.0002926-0.00019123i
-0.00034884-0.00013164i,-0.00033319+0.00031341i,-0.0011313+0.0016824i,-0.00094897+0.0018828i,-0.00028482+0.0010981i,-0.00016351-0.0005708i,-0.00035714-0.0013623i,0.00021826-0.00030057i,0.00083029+0.00017848i,0.00090342+0.00012059i,0.00098434+0.00028193i,0.00063471-0.00059129i,-3.621e-05-0.0011881i,-0.00086142-0.0010234i,-0.0015063-0.00077153i,-0.00087341-0.00119i,-0.00015217-0.0012781i,-0.00038254-0.00032289i,-0.00034933+0.00025713i,-0.00021802+0.00084689i,0.00022043+0.0011401i,3.5477e-05+0.00038175i,-0.00072237+4.5914e-05i
0.00085451+0.0018016i,6.0317e-05+0.0012184i,-0.000426+0.00093089i,-0.00031446+0.00078031i,-9.4508e-05-0.00054115i,-0.0006995-0.0017392i,-0.0010907-0.00035601i,-0.00037438+8.4781e-06i,0.00022757-0.00068253i,0.00014586-0.00095612i,0.00060215-0.00039229i,0.00094438+0.00052296i,0.0007896+0.00038367i,-4.6794e-05+0.00030262i,-0.00021935+0.00061093i,0.00032175+0.0006777i,-0.00049716+0.00037328i,-0.00077213-0.00016627i,-0.000278-5.7135e-05i,-0.00051297+6.0272e-05i,-0.00069577+0.00021687i,-0.00074328+0.00058929i,-0.00064116+0.00026002i
-9.2141e-05-0.00069664i,0.00023848-0.00028184i,0.00027726-0.00045472i,0.00024166-0.00034952i,-0.00016627-0.0003157i,-0.00093602-0.0007902i,-0.001335-0.00042122i,-0.0011901+0.00013783i,-0.00030488-4.4643e-05i,0.00033331+0.00021694i,0.00028617+0.00033327i,-0.0004331-0.00045735i,-0.00088988-0.00094416i,-0.000467-0.00086106i,1.0903e-05-0.0011453i,0.00017639-0.0010836i,0.00038397-0.00036659i,0.00023977+0.00046029i,0.00060054+0.00024232i,0.0012467-0.00033558i,0.00079053+0.0001813i,0.00036509+0.00050172i,-4.1262e-05-0.00010883i
-0.0028018+0.0013978i,-0.0026815+0.0003963i,-0.0022031+5.0603e-05i,-0.00068114+0.00095968i,0.00038592+0.00097745i,0.00035755-0.00012595i,0.0001611-0.00027053i,-0.000442+0.0002222i,-0.00027827-0.00030182i,-8.8189e-05-0.00025237i,-0.00028407-6.5146e-05i,-0.00052296-8.6007e-05i,-0.0010629-4.1976e-05i,-0.00067282+1.3156e-05i,-0.0006536+0.00041195i,-0.0014635+0.00015539i,-0.00069532-0.00048065i,7.1327e-06-0.00055662i,-0.0002974-0.00039504i,0.00013374-0.00027408i,0.00034959+0.00015066i,-9.7023e-05-0.00029609i,-0.0004847-0.00080514i
0.00072919+0.00011587i,0.0001841+0.00011264i,-3.5285e-05+0.0007406i,0.00025496+7.6135e-05i,4.5714e-05-0.0014318i,-0.00031207-0.0015453i,-0.00071906-0.00076647i,-0.00052025-0.00052727i,-8.953e-05-0.0007638i,0.00020757-0.00036474i,9.9412e-05-0.0004274i,0.00038998-0.00099011i,6.1735e-05-0.00031567i,-0.00082177-5.5873e-05i,-0.0004586+0.00044328i,-0.00052234+0.0014711i,-0.00061263+0.0015279i,-0.00042376+0.00095515i,-0.00052105+0.00028466i,6.8192e-05-0.00030798i,9.219e-05-0.00046276i,-0.00027774-0.00021665i,-2.4812e-05+0.00040908i
0.00042484+0.0014321i,0.00021939+0.0011825i,-0.00044065+0.0022642i,4.081e-05+0.0015677i,0.00014842+2.8339e-05i,-0.0014467-0.00082939i,-0.0017184-0.00029427i,-0.001288+0.00036611i,-0.00028169+0.00081057i,0.00058231+0.0012183i,0.00060098+0.0011356i,0.00014304+0.00074766i,-0.00039237-6.3523e-05i,-0.00041605-0.00087649i,0.00011455-0.0012269i,0.00017162-0.00083547i,-0.00061129+0.00021186i,-0.0006969+0.00074658i,-0.00013899+0.00050531i,0.00011544+0.00042653i,-0.00010683+0.00057685i,-0.00037503+0.00016416i,-8.5875e-05+0.00031744i
0.0019516-0.0005712i,0.0014546+0.0005005i,0.00010777-0.00027771i,-0.00055596-0.00079251i,-0.00082303-0.00013764i,-0.0016183-3.9326e-06i,-0.0011973-0.0004423i,-0.00060934-0.00062122i,-0.00038073-0.00046891i,-0.00029311+0.00058807i,-0.00033223+0.0014273i,0.00011237+0.00097473i,0.00090128+0.00065534i,0.00064377+0.00042603i,0.00017122-1.6539e-05i,0.00048162+0.0002827i,0.0001619+0.00031705i,-9.506e-05+7.6942e-05i,-0.00024097+0.00040723i,-0.00015125+0.00080093i,-0.00014575+0.00055834i,-0.00070819-2.1544e-06i,-0.00095083+4.6785e-05i
0.00023992-0.00027459i,-0.00053335+1.2707e-05i,-0.001878-2.4252e-05i,-0.0018842-0.00016394i,-0.0013039-0.00088918i,-0.00076188-0.0010225i,-0.00062757-0.00065001i,-0.00047621+3.7529e-05i,0.00049362+0.0006137i,0.0012058+0.000254i,0.001217+0.00034005i,0.00092291+0.00074989i,0.00031913+0.00052351i,-0.00031355+5.1146e-05i,-0.00023727-0.00032677i,0.00027918-0.00041025i,0.00043491-9.0114e-06i,-0.00065025+7.2328e-05i,-0.00037032-0.00086609i,0.00059744-0.00029058i,-0.00025052+0.00048323i,-0.00061077-0.00038036i,0.00023723-0.0012046i
-0.00071493+0.00089716i,-0.00074757+0.0010281i,-0.00012546+0.0022574i,0.00063018+0.0021556i,0.0013185+0.00054053i,0.0015108+0.00011316i,0.00097532-0.00026568i,0.00032989-0.0003185i,0.00017401+0.00030997i,-0.00010326+0.00054342i,-0.00018096+0.00019749i,0.00081718+8.6623e-05i,0.00090617+0.00042252i,-0.00033578+0.00030007i,-0.00088788+0.00040342i,-0.00045921-6.9918e-06i,-0.00035402-0.00072409i,-0.00036919-0.00036448i,-0.00060752+0.00018574i,-0.00026937+0.00010929i,0.00015784-4.244e-05i,-0.000162+3.2031e-05i,-2.9501e-05-0.00030253i
0.00058442+0.0013603i,0.00040226+0.00086032i,-0.00062077-0.00056186i,-0.0014317-0.00082866i,-0.0015377-0.00010059i,-0.0012952-0.00027942i,-0.00089054-0.00078006i,-0.00036809-0.00013249i,-0.00054788+0.00040689i,-0.0005651-8.2515e-05i,-0.00025951-0.00033713i,3.693e-05+0.00021152i,0.0001163+0.00084651i,-0.00014915+0.0012603i,-0.00047095+0.0013658i,8.2712e-05+0.0011799i,0.00091342+0.00079845i,0.00010803-0.00020842i,-0.00037573-0.00074017i,-0.0004587-0.00034161i,-0.00071609+0.00022401i,-0.00029755+0.00053751i,-0.00015108+0.00038964i
-0.00093958+0.0018804i,-0.0013402+0.0015761i,-0.00090355+0.001619i,-0.00014787+0.0013504i,0.00023833+0.00068065i,-0.00015514-0.00059896i,-0.00039362-0.00084484i,-8.8291e-05-5.3991e-05i,0.00011403+7.813e-05i,2.1477e-05+0.00013013i,-0.00062466-0.00030537i,-0.0005114-0.0003819i,-0.00026706-0.00020718i,-0.00051054+0.00028382i,-0.00020872-3.316e-05i,0.00019842-0.00010186i,0.00028876+0.00023634i,-7.5354e-05+0.000249i,-0.00072715+0.00020587i,-0.00043043-9.423e-05i,0.00017483+0.00014143i,0.00022213+0.0004387i,-6.5979e-05+0.00022748i
0.00058669+0.0022371i,-5.9833e-05+0.0013847i,-0.00035192+0.00017142i,-0.0010426-0.00039025i,-0.0016399-0.00072401i,-0.0018461-0.00075063i,-0.0017474-0.00011322i,-0.00058371+0.00079953i,0.00040882+0.0011803i,-7.9e-05+0.00075815i,-0.00056129+0.00039132i,-0.00048325+0.00014495i,-0.00039186-4.4642e-05i,-0.0009313-0.00024908i,-0.0010776-8.2566e-05i,0.000148+0.00028282i,0.00068924+5.7652e-05i,0.00028235+0.000511i,-5.7149e-05+0.00041604i,-0.0002972-0.0001955i,-0.00057801+0.00018454i,-0.00071866-0.00011991i,-0.00022475-0.00084007i
0.00010193-6.5331e-05i,-0.00044282+0.00041368i,9.6498e-05+0.001341i,0.00035989+0.0011647i,0.00041982+0.00043645i,-5.7992e-05+0.0001952i,-0.0004795+0.00049517i,-0.00027312+0.00085538i,-4.4232e-06-0.00025079i,0.00013452-0.0011255i,-0.0002194-0.00042404i,0.00033571+0.00060083i,0.00042137+0.00095727i,-0.00069385+0.0004992i,-0.00065347+0.00033443i,-0.00014763+0.00023057i,-3.8218e-05-0.00046727i,-0.00031315-0.00037825i,-0.00084398-5.4882e-05i,-0.00099781+0.00054838i,-0.00078354+0.00073593i,-0.00062787-0.00078689i,-9.6569e-05-0.0016769i
-0.0004729-0.00056455i,-0.0012538+4.2876e-06i,-0.0021782+0.00050538i,-0.0020604+0.00067909i,-0.0010726-0.00016153i,-0.00059699-0.0020463i,-0.00044512-0.0022959i,-7.3259e-05-0.00045596i,0.00052846+0.00062016i,0.00096736+0.00024245i,0.00072715+2.1628e-05i,0.00029928-0.00019586i,0.00061212-0.00089899i,0.00074834-0.00047236i,6.2423e-05+0.00024152i,-0.00037499-0.00039413i,9.0831e-05-0.00038749i,0.00072517+0.00014772i,0.00058045+0.00022427i,4.0694e-05-5.2247e-05i,0.00055263-0.00036986i,0.00089179-0.00080762i,0.00048346-0.0004296i
0.00057394+0.0011649i,0.00050022+0.0007461i,0.00043719+0.00027656i,-0.00075938+0.00037548i,-0.001405+0.00023671i,-0.00078113-0.00067944i,-0.00054304+0.00049088i,-0.001023+0.0011618i,-0.00055918+0.00034822i,1.2649e-06+0.00013338i,0.00019083+0.00022603i,0.00062359+0.00039596i,-8.5447e-06+0.00084397i,-0.00027262+0.0010343i,1.0788e-05+0.00018962i,8.6725e-05-0.00022504i,0.00012985+0.00050154i,-0.00044684+0.00034876i,-0.00071425+0.00040874i,-0.00050812-0.00025148i,0.00030546-0.0011449i,0.00041305-0.00088575i,-0.00026524-0.00072476i
