0.00042381+0.0012098i,0.00099605-0.0014465i,0.00076509-0.0032189i,0.00025874-0.0021005i,-0.00093516+0.0002801i,-0.0022252+0.0016339i,-0.0011814+0.0021954i,0.00067315+0.0018792i,0.00026785+0.00051695i,2.2354e-05-0.0008005i,-0.00014081-0.00037372i,-0.00052906-0.00024325i,-0.00016704+9.4158e-05i,-0.0003414+0.00094824i,-0.00018155+0.0012691i,-0.00025191+0.0011243i,-0.00028539+0.00022534i,0.00028585-8.6034e-05i,-4.0424e-05+0.00012055i,-0.0011418-0.00024506i,-0.00085649-0.00056983i,3.5424e-05-0.00013069i,-0.0004209-7.8534e-05i
0.00065701-0.002827i,-0.00034815-0.0032471i,-0.00076715-0.0012327i,-0.0017745+2.4683e-05i,-0.0014922+0.00045629i,-0.00076017+0.00084435i,-0.0012697+0.0010002i,-0.0014972+0.00040173i,-0.00086497+0.00020013i,-0.00046112+0.00058007i,-0.00059265+0.0004398i,-0.00041718-2.1351e-05i,-0.00069072-0.00037102i,-0.00088153-0.0011917i,-0.00018369-0.0016536i,0.00053462-0.0010709i,8.4162e-05-0.00076029i,-0.00037385-0.00069426i,0.0003355-0.00078087i,0.00038594-0.0010738i,2.6978e-07-0.00071207i,0.00047572-0.00024906i,0.0010304-0.00047877i
0.0023413-0.0016629i,0.0014785-0.0021695i,0.000428-0.0019985i,0.00052957-0.0010304i,0.00090545+0.00057471i,0.00045089+0.00086078i,0.00020678+0.00013508i,0.00018309+1.0224e-05i,-0.00031475-0.00032494i,-0.00049232-0.00035647i,-0.00011415-0.00019013i,0.00041917-3.8749e-05i,0.0006632-0.00013254i,0.0010557-0.00035792i,0.0010021+0.0005316i,9.1033e-06+0.0011443i,-0.00033586+0.00051855i,-0.00044311+4.7318e-05i,-0.00093556+0.0004804i,-0.0005839+7.2092e-05i,3.3685e-05-0.0003263i,-0.00030286-0.00045142i,0.00037313-0.0016041i
-0.00011366-0.0009602i,-0.00014498-0.0015877i,0.00096511+0.00022307i,0.0016555+0.00093258i,0.00052629+0.00037035i,-0.0010591+0.00040706i,-0.0011276+0.0011987i,-0.0012635+0.00059155i,-0.00095431-0.0001119i,-0.00030235+0.00087125i,-0.00032121+0.0010526i,-8.508e-05+0.00051387i,0.00030722+0.00044916i,0.00015576+0.00058259i,0.00024527+0.00056392i,-3.5375e-05+0.00028358i,-0.00042209-0.00010199i,-0.00051988-0.00013676i,-0.00089957-0.0003964i,-0.00092914-0.00035775i,-0.00042107+0.00015298i,-0.00033947+9.9249e-05i,-0.0003262-0.00065692i
0.00020897-0.0029272i,-0.0010902-0.0021394i,-0.0014354-0.00038037i,-0.0010546+0.00067701i,-0.001072+0.00079262i,-0.00025337+0.00036332i,0.00033214-6.9659e-05i,-7.0169e-05-8.0291e-05i,-0.00043546-6.3171e-05i,-0.00023854+0.00026866i,-0.00046872+3.5779e-05i,-0.0010303-0.00036296i,-0.0010519+6.1494e-05i,-0.00089096+0.00030383i,-0.00083964+0.00096711i,-0.0006365+0.0011432i,-0.00038235+0.00014206i,-0.00072904+0.00011439i,-0.00039911+4.6063e-05i,0.00012584-0.00014831i,0.00036027+1.5375e-05i,0.00064993-0.00015369i,0.00026522-8.96e-05i
-0.0010372+0.00067551i,-0.00043643+0.00012353i,-0.00036965+5.1106e-05i,-0.00010263+0.00039056i,0.00014669+0.00028741i,0.0002807-0.0006952i,-2.5595e-05-0.0010127i,-0.00073642-0.00038144i,-0.00045001+0.00021763i,0.00049445+0.00025917i,0.00091818+0.00020731i,0.00057912-7.7353e-05i,3.9902e-06-0.00035931i,-0.00035723-0.00075083i,-0.00060516-0.00086311i,-0.00047034-0.00023477i,-0.00015021-0.0001484i,-0.00028565-0.00045829i,-0.00054888+0.00013279i,-0.0007123+0.00068237i,-0.00078635+0.00096387i,-0.00014303+0.00035689i,0.00017286-0.00019139i
-0.00088657-0.0023456i,-0.0013313-0.0018017i,-0.001264-0.00048625i,-0.00047013+0.00037066i,-0.00043231+0.00035826i,-0.00040063-0.00019327i,8.7741e-05-0.00079613i,0.00063673-0.000615i,0.00057861-0.00036884i,-0.00012954-8.36e-05i,-0.00018681+2.5423e-05i,-0.00014879-0.00028818i,0.00032823-0.0003779i,0.0010822+0.00041465i,0.0010253+0.00084673i,0.00018047+0.00020993i,-0.00041488-3.8731e-05i,-0.00066199-0.00059431i,-0.00017532-0.00054458i,0.00017241+0.00015858i,-0.00013627+0.00017048i,-0.0004866-0.00042845i,-9.3966e-05-0.00056013i
0.00048343-0.0004574i,-0.00054848-0.0012896i,-0.0004291-0.0008948i,0.00053419-0.00015426i,0.00076127+0.00050353i,0.00096968+0.00074829i,0.0012215+0.00063666i,0.0007217+0.00042565i,0.00021333+5.964e-05i,0.00015441+0.00019061i,-0.0002492+0.00047435i,-0.00027485-0.00024538i,0.00020264-0.00054761i,0.00050737-0.00017737i,0.0006327+0.00015904i,0.00021732-0.00042732i,-0.00066229-0.0010906i,-0.0004417-0.00055171i,0.00025108-0.00018558i,0.0001753-2.8899e-05i,-0.00058324+0.00019241i,-0.00089049-0.00027841i,-0.00017813-0.00096623i
-0.002382+7.8928e-05i,-0.0011916+0.00069205i,-0.00041544+0.0012257i,-0.0010493+0.0014157i,-0.00085888+0.0011198i,-0.00020326+0.0011379i,-0.00059827+0.00084118i,-0.00091004+0.00032628i,-0.00055053+5.2447e-05i,-0.00049212+0.00015545i,0.00012308-0.00012515i,0.00019683-0.00051886i,-5.3316e-05-0.00076573i,-0.00040293-0.00024712i,4.5508e-05+0.00042079i,0.00071068+0.00064843i,0.00018467+0.00039759i,-0.00038342-0.00027715i,-0.0005562-0.00046198i,-0.00045452-0.00043296i,-0.00042559-0.00027689i,-0.00071148+2.3693e-05i,-0.00087448+0.00025527i
0.0013532-0.0028038i,0.00017235-0.0036214i,-0.00068278-0.0019033i,-0.0013535+9.4736e-05i,-0.00087124+0.0004688i,-0.00042627+0.00056269i,-0.00093295+0.00046407i,-0.00062502+0.00053479i,-0.00033441+0.00027669i,9.457e-05-8.2018e-05i,0.00056309+0.00032151i,0.00014228+0.0005184i,-0.00037051+0.00055392i,-0.00028549+0.00049882i,0.00047731+0.00055727i,0.00057479+0.0002951i,9.2656e-05+0.00027215i,0.00022853+0.00019407i,0.00066594+0.0001166i,0.00039886+0.00026129i,-0.00021608+0.00010415i,0.00017962+0.00036708i,0.00065747+0.00010241i
-0.00018254-0.00094312i,-0.0011429-0.0011264i,-0.0011948-0.00035043i,-0.00079393+0.00097392i,-0.0006344+0.00046418i,-0.00032968-0.00049462i,-0.00019383-0.0012991i,-0.00036069-0.0012311i,-0.00071805+3.1947e-06i,-0.00028262+0.00046141i,0.0002585+0.00027286i,-5.244e-05-0.00011274i,0.00041971+1.1379e-05i,0.00041842+0.00045668i,0.00019824+0.00050538i,0.00042556+0.00052208i,-7.043e-05+0.00053338i,6.4522e-05+0.00032089i,0.00029749+0.00040605i,-7.9108e-05+0.00061117i,0.00017383+0.00040315i,0.00039257+0.00024987i,0.00058414-0.00013509i
-0.00094827-0.0011897i,-0.00033219-0.0012156i,-0.00042637+0.00040527i,-0.00016664+0.0016178i,-0.00011874+0.00098213i,-0.00043693+0.00062603i,0.00033574+0.00056584i,0.0001439+0.00041079i,-0.00079493-6.5688e-05i,-0.00035174-4.9741e-05i,0.00033259-8.7778e-06i,0.0001049+5.1858e-05i,-0.00013905+0.00015507i,-9.994e-06+0.00024566i,0.00038594+0.00010472i,3.521e-05-0.00021381i,-0.00034781-0.00046795i,-0.00013364-0.00025577i,-0.00014907+0.00018525i,-0.00076631+0.0001825i,2.5582e-05+0.00025672i,0.00059415+0.00091846i,0.0001966+0.00077255i
0.0022522-0.0020466i,0.00061765-0.0024001i,-0.000398-0.00089822i,-0.0012369+0.00066787i,-0.001266+0.00051694i,-0.00071239+0.00021716i,-0.00076563+0.00079266i,-0.00088779+0.00090133i,-0.0010685+0.00083224i,-0.0010091+0.0001905i,-0.001089+0.00024934i,-0.0010202+0.00048229i,-0.00028864+0.00078803i,0.00023834+0.0011172i,0.0003926+0.0010049i,0.00041501+0.0007738i,0.00011659+0.00024536i,2.0354e-05+0.00024625i,0.00070632+9.0195e-05i,0.00069304+0.00031795i,0.00023084+0.00047099i,-0.00066201+9.7939e-05i,-0.00076261+0.00042815i
-0.0018389-0.0004613i,-0.0017745-8.949e-05i,-0.0011951+0.0010549i,-0.00044771+0.0011943i,-0.00034432+0.00035239i,-0.0007977-0.0003443i,-0.00024078-0.00013078i,0.0011026+0.00014664i,0.0003137+6.3282e-05i,-0.00067133+0.00014079i,4.4338e-05+0.0003957i,0.00039927+0.00069112i,-3.9492e-05+0.00010822i,0.00054255-0.00070594i,0.001013-4.8091e-05i,0.00066188+0.00044087i,-5.8707e-05+0.00018635i,-0.00078449+0.00045481i,-0.00069593-0.00010069i,-0.00057332-0.0011981i,0.00039506-0.0011922i,0.00074689-5.4722e-05i,6.8893e-05+0.00041753i
0.0018324-0.0044002i,0.0013698-0.00363i,0.00072186-0.0013671i,0.00077259-0.000525i,0.000537-0.00056644i,0.00018879+0.0003678i,0.00042259+0.0010346i,-0.00016004+0.00038221i,-0.00028417-0.00048897i,-0.00028393-0.00014403i,-0.00048819+0.00037044i,-6.9068e-06+1.3289e-05i,0.00033388-0.00030772i,0.00050765+0.00041333i,0.00046075+0.0005805i,0.00037947+0.00019014i,0.00019289-0.00037414i,-0.00058881-0.0006923i,-0.00098631-0.00034641i,-0.00074402+0.00030236i,-0.0008131+0.00085085i,-0.00011874+0.00088308i,-4.4643e-06+0.00076224i
0.00098385-0.00071538i,-0.00059387-0.0012515i,-0.0014923-0.00058891i,-0.0012269+0.00047288i,-0.00092871+0.00079175i,-0.001536-0.00030932i,-0.0013747-0.0013297i,-0.00080065-0.00077785i,-0.0010971-0.00039979i,-0.00082396-0.00015499i,0.00029142+6.8361e-05i,0.0010009-0.00021511i,0.00093186+0.00048257i,0.0010006+0.0016073i,0.00052007+0.0010478i,0.00078896+0.00018093i,0.00086743-0.00019966i,0.00013531-0.00014139i,0.00052572-1.2953e-05i,0.00092409-0.00042838i,-6.858e-05-0.00056748i,-0.0003729-0.00049403i,0.00024454-7.75e-05i
0.0023401-0.0011107i,0.0023325-0.0010028i,0.0015096-0.00014541i,0.00044069+0.00054174i,-0.0010521+0.00059703i,-0.0018867+0.00056532i,-0.0015437+0.0012535i,-0.00094147+0.0013655i,-0.00042983+0.00052667i,0.00024461-0.00019164i,0.00025827+1.6046e-05i,-0.00010577+0.00027552i,-0.00057745+0.00046569i,-0.0014773+0.00051441i,-0.0019452+0.0005533i,-0.0011515+0.0007227i,-0.00024634+0.00081351i,-0.00035914+0.00054836i,-0.00068493+0.00031679i,-0.00041537+0.00042133i,-5.2855e-05+0.00056368i,-0.00015441-9.6748e-05i,-0.00042169-0.00045628i
0.0013054-0.0024157i,7.6713e-05-0.0035973i,-0.00023246-0.003576i,0.00060823-0.0017929i,0.0012478-0.00070115i,0.00086336-0.00034405i,-5.3229e-05-0.0003232i,-0.00093655-0.00025883i,-0.00074243-0.00023563i,-0.00014128-0.00078157i,0.00010169-0.0015998i,0.00077034-0.0013439i,0.00062485-0.0006073i,-4.265e-06-0.00046103i,-0.00057239+0.00028708i,-0.0010071+0.00083089i,-0.0010486+0.00012712i,-0.00038413-0.0010795i,1.3878e-06-0.001186i,0.00027616-0.00010097i,0.00026878+0.0001781i,-0.00055457-5.3002e-05i,-0.00056359-0.00042087i
-0.0011663+0.001742i,-0.00045472+0.0015006i,0.00031746+0.0022351i,0.00086881+0.0018286i,-0.00014807+0.00034219i,-0.0014506-1.0235e-05i,-0.0012611+0.00040845i,-0.00075105+0.00098073i,0.00071519+0.00064959i,0.001123-0.00022935i,1.6399e-05-0.0005328i,-0.00030077-0.00072869i,-0.00074358-0.001023i,-0.00033725-0.00073279i,-0.00016379-0.00028485i,-0.00063847-0.00022277i,-0.00013489-1.0783e-05i,-5.0036e-05+0.00047047i,-0.00065791+0.0011623i,-0.00065443+0.00070083i,-0.00071987-0.00024081i,-0.00012697-0.0007971i,0.00054636-0.00040416i
0.0020709-0.0037435i,0.00060922-0.0034795i,-9.5012e-05-0.0017661i,0.00069097-0.00056762i,0.00023837-4.4573e-05i,-0.00061666-0.00039298i,-0.00056005-0.0012584i,-0.0013477-0.0012168i,-0.0019082-0.0003833i,-0.00041581+0.00013794i,0.00059162+0.00015499i,7.5531e-05-0.00023394i,-0.00038401+7.7042e-05i,-0.00058213+0.0006735i,1.8662e-05+0.0012703i,0.00060647+0.0012936i,-1.081e-05+0.00036234i,-0.00053198+0.00015606i,-0.00022299+0.00045491i,-1.5434e-05-0.00019301i,-2.913e-05-0.00047303i,-7.0258e-05-0.00060137i,-0.00010147-0.0003346i
0.0020113-0.0014512i,-5.3646e-05-0.0018169i,-0.0021449-0.001376i,-0.0023827-0.00035377i,-0.0009611-0.00034142i,-0.00060304+3.386e-05i,-0.00046909+0.00036978i,-0.00027403+0.00030582i,-0.00048562-0.00031674i,-0.0004932-0.00040881i,-0.00031623+0.0006234i,-0.00017455+0.00076432i,-0.00015246+0.00032783i,1.5259e-05+0.0012046i,-0.00010898+0.0010124i,0.00032758-0.0002843i,0.00068028-0.00058702i,0.00013155+9.3597e-06i,-0.00014171+0.00082769i,-3.342e-05+0.0012013i,0.00034421+0.00082495i,0.00054436-9.3007e-05i,2.7028e-05-0.00032573i
-0.0011547-0.00053967i,-0.00036007-0.0013681i,-0.00010102-0.0012926i,0.00064502-0.00070138i,0.00079325-0.00074392i,-0.00012876-0.00055387i,-0.0007682-9.1607e-06i,-0.00099254+0.00024395i,-0.00064226+0.00012198i,0.00029189+9.7994e-05i,0.00059875+8.1746e-05i,0.0001765+0.00022475i,-0.00015877-0.00020047i,0.00020102-0.00087725i,0.000571-0.0010096i,0.00015355-0.00055747i,-0.00070081-0.00038322i,-0.00067065-0.00033397i,-0.00017431+0.00020685i,0.00026873+0.00077132i,4.358e-05+0.00073018i,-0.0001621+0.0005852i,0.0004389+0.00036608i
0.0010831-0.0034338i,0.00032849-0.0036325i,0.00069705-0.0029123i,0.0015991-0.00060751i,0.00054602+0.00069795i,-0.0001745+0.00073856i,-0.00030309+6.4931e-05i,2.3857e-05-0.00070275i,-7.9549e-05-0.00086016i,-0.00075865-0.0014726i,-0.00055258-0.0014831i,-8.2278e-05-0.00090373i,-0.00015748+0.00016228i,-5.8391e-05+0.00064586i,-4.9037e-05+0.00034708i,-7.3513e-05+0.00020626i,3.4299e-05-0.00062376i,0.00022607-0.00073104i,0.00056778+0.00023306i,0.00057599+0.00090465i,0.00011567+0.0002871i,0.00012057-0.00032698i,6.032e-05-0.00061526i
5.5548e-05-0.00083888i,-0.0012454-0.0017682i,-0.0019183-0.0016428i,-0.0010316-6.8806e-05i,-0.00079435+0.00093202i,-0.0010478+0.00048985i,-0.0017504+0.00010457i,-0.0022176-0.0004295i,-0.0015563-0.00036887i,-0.00080039+0.00093487i,-0.00032635+0.0013444i,-0.00037772+0.00069306i,-0.0010346+5.7315e-05i,-0.00139-0.00026401i,-0.0010396-0.00039245i,-5.4491e-05-0.00025357i,0.00070963-0.00011584i,0.00043108-0.00036389i,0.00027573-0.00081774i,0.00077843-0.0012309i,8.653e-05-0.0007506i,-0.00076217-0.00040433i,-0.00096459-0.00032013i
-3.4958e-05-0.0025075i,-0.00096849-0.0017768i,-0.0018621-0.00013532i,-0.0013974+0.00048877i,-0.00064289+0.00091349i,0.00051424+0.00075424i,0.001083+0.00043816i,0.00036971+0.00093142i,-0.00081019+0.0011356i,-0.0011047+0.0010312i,-0.00087766+0.00069247i,-0.00035711+0.00064616i,-0.0004974+0.00078338i,-0.00059185+0.00060388i,1.7054e-05+0.00058505i,0.0001674+0.00019202i,8.5334e-05+7.1623e-05i,0.00030088+0.00062054i,0.00022386+0.0011089i,-0.00026829+0.0010978i,-0.0002774+0.0009738i,-0.00038094+0.00075538i,-0.00034593+0.00038621i
-0.00076968-0.0012783i,-0.00032708-0.00090142i,-0.00082268+0.00025921i,-0.0006689+0.00043365i,0.00010284+0.00026921i,7.3849e-05+0.0001758i,-0.0002723+0.00031754i,-0.0013044-0.00028745i,-0.0013013-0.00097569i,-0.00028306-0.00091445i,0.00056987-0.00067537i,0.00076606-0.00041223i,0.00091014-0.00022843i,0.0010622-0.00018545i,0.0007396-0.0002504i,0.00095118-0.00084127i,0.00070981-0.0016973i,2.9487e-05-0.0018673i,-0.00063316-0.0011239i,-0.00062165-0.00058602i,-0.00037875-0.00034127i,0.00024564-0.00018998i,0.0004213-0.0004391i
-0.0017196+0.001381i,-0.0012254+0.0012353i,-0.00039009+0.0014378i,0.00028294+0.0014293i,0.0015034+0.00081786i,0.0019271+0.00022467i,0.0014014+0.00058481i,0.0006155+0.00094288i,-4.0451e-05+0.0011881i,-0.00049988+0.0010691i,-0.0004914+0.00052073i,0.00019495+0.00030297i,0.0005349+0.00066054i,-0.00050565+0.00062789i,-0.00107-9.713e-05i,-7.7586e-05-0.00024038i,0.00031418-0.00062069i,-1.7792e-05-0.00065493i,-0.00036195+0.00048771i,-0.00053105+0.0008586i,-9.0718e-06+0.00018759i,0.0011141+0.00016842i,0.00054886+0.00059157i
0.0017079+4.218e-05i,0.00058615+0.00029006i,5.1846e-06+0.0025006i,0.00032552+0.0021607i,-0.00015802-0.00012888i,-0.00090407-0.00080489i,-0.0012676-0.00064954i,-0.0017005-0.00055126i,-0.0011036-0.00038897i,-0.00023722-0.00016838i,0.00017827-0.00019097i,0.00025325+0.00034961i,-0.00014222+0.00072373i,-0.00031751+0.00070538i,-0.00089724+7.5449e-05i,-0.00075188-0.00087373i,-5.5754e-05-0.00069596i,-9.8785e-05+0.00028029i,-0.00026386+0.00059074i,-2.2491e-05-6.7195e-05i,0.00025936-0.00049236i,0.00045785-0.00038436i,0.00045519-0.00019461i
0.00016238+0.00029742i,0.00041138-0.0011608i,-0.00059212-0.00069286i,-0.0009901+0.00044398i,-0.00057172+0.00073045i,0.00031272+0.00074796i,2.6495e-05+0.0005211i,-0.00087327+0.00061059i,-0.00089827+0.0006377i,-0.00046402+0.00043851i,-0.00012862+0.00014157i,-0.00063052-8.4707e-05i,-0.00083436-0.00014118i,-0.00045124-0.00018583i,9.0449e-05-0.00071152i,0.00039102-0.00069888i,0.0003732-0.00059041i,0.00020461-0.0006441i,0.00013446-0.00032296i,0.00042162+0.00017387i,0.000602-0.00012505i,0.00068063+0.00030148i,-0.00015914+0.00078651i
0.000308-0.00047921i,0.00013726-0.00056383i,0.001099-0.0003935i,0.0016638-0.0007533i,0.0014409-0.00083808i,0.00031487-0.00037908i,-0.00039666-2.89e-05i,-0.00050941-0.00018728i,-0.00045779-0.00053799i,-4.3621e-05-0.00047421i,0.00019197-0.00033965i,-0.00014039-4.1654e-05i,-0.0011269+0.00015932i,-0.0018288+0.0003497i,-0.0017613+0.00048723i,-0.00086294+0.00070509i,2.8529e-05+0.0010032i,-0.00023912+0.00065829i,-0.00047918+0.00069881i,-0.00056494+0.00037602i,6.6665e-05-0.00059728i,0.00084185-0.0011335i,0.00085162-0.00081386i
0.0017809-0.0021224i,0.00072847-0.0032513i,-0.00068477-0.0024487i,-0.00039771-0.00046071i,-0.00087305+0.00022447i,-0.0017217+0.00082119i,-0.0001996+0.00084135i,0.00033019+0.0002339i,0.00046788-0.00072375i,0.00082963-0.00037841i,0.00103+0.0006616i,0.0011152+0.00095283i,9.5074e-05+0.0011848i,-0.00023272+0.0012126i,0.00049168+0.0012708i,0.0009524+0.0012556i,0.0011666+0.00069723i,0.00081107-0.0003664i,4.6979e-06-0.00048984i,-0.00094348-0.00038729i,-0.00049807-0.00062352i,0.00044465-0.00041358i,0.0007534-0.0002689i
-0.00053537-0.00061139i,-0.00024239-0.00069494i,0.00013345+0.00030118i,0.00010306+0.00085481i,0.00012363+0.00067485i,0.000151+0.00027366i,-2.2878e-05+0.00034803i,-0.00049041+0.0001215i,-0.00091116-0.00052283i,-0.00041501-0.00024324i,0.00062736-0.00055964i,0.00052529-0.001256i,-8.2105e-05-0.00094037i,7.0817e-05-0.0003666i,0.00050056-0.00016126i,0.0007916-0.00043668i,0.00058596-0.00062702i,-0.00033945-0.00098084i,-0.00070042-0.0009505i,6.3604e-05-0.00059608i,0.00021642-0.00071455i,7.9218e-05-0.0010365i,0.00020567-0.00035625i
