-0.002478-0.00050498i,-0.0008702+6.9389e-05i,-0.00040617-0.0010565i,-0.00027159-0.00092014i,0.00016562+0.0005638i,0.0010088+0.00023281i,0.0013759-0.00014266i,0.001122-0.00057579i,0.00054884-0.00062607i,-0.00017238-0.00025523i,-0.00027085+0.00012268i,7.2564e-05-0.00029674i,-0.00031568-0.0010626i,-0.0010266-0.0010434i,-0.0010436-9.8149e-05i,-0.00038858+0.00041737i,-0.00024196+0.00027798i,-0.00032875+0.00012756i,5.92e-05-0.00016598i,0.00014218-0.00079044i,0.00052344-0.0013631i,0.0005537-0.00094128i,0.00033716-0.00029609i
-0.00066334+0.0013229i,-0.0013601+0.0011349i,-0.0014176+0.00054779i,-0.00052357-0.00069141i,0.00029703-0.001786i,0.00010552-0.0025756i,-0.00050005-0.0028582i,-0.0017255-0.0018178i,-0.0020673+0.00038399i,-0.00075011+0.0014052i,0.00014254+4.08e-05i,9.7166e-05-0.00096825i,-0.0001368-0.00066914i,0.00029237+0.00049649i,0.00022899+0.00083731i,-0.00051222+0.000566i,-0.00011646+0.00073601i,-5.066e-05+0.00064841i,-0.00014651+5.6058e-05i,-1.4461e-05-0.00011951i,-0.00024466+0.00023734i,-0.00024114+2.018e-05i,0.00024112-0.00016669i
0.00031343-0.00068615i,-0.00028425-0.0018414i,-0.00045238-0.0018523i,-0.0012436-0.0014903i,-0.0021093-0.0013035i,-0.0023845-0.00050806i,-0.0019957-0.00018936i,-0.001539-4.6534e-06i,-0.0013291+0.00029187i,-0.00063795-0.00075232i,0.00021865-0.00094335i,0.0002955-3.3931e-05i,0.00083426+5.3645e-05i,0.0010887+0.00014036i,0.00026284-0.0001411i,-0.00026159-0.00020521i,0.00016963+0.00051278i,9.8356e-05+0.00016857i,-0.00098432-0.00036035i,-0.0021506-0.00022858i,-0.001909-0.00099988i,-0.00050433-0.00094903i,5.2313e-05-0.00036873i
0.00076893+0.001714i,0.00080721+0.0014266i,0.0011112-0.00035112i,0.00087553-0.0019061i,0.00056948-0.0008677i,0.00069999-0.00016333i,0.00018479-0.00063653i,-0.0011958-0.00065269i,-0.0015547-0.00020081i,-0.0011358+2.9774e-05i,-0.00058025-0.00042034i,-5.8006e-05-0.0008247i,-0.00026941-0.00014649i,-9.5571e-05+0.00047609i,-0.00012611+0.00050371i,3.5489e-05-4.368e-05i,0.00085915-0.0003268i,0.00035936+0.00098132i,-0.0007152+0.00052076i,-0.00083097-0.0012085i,-0.00077796-0.00094796i,-0.00081495-0.00012322i,-0.00066128-0.00023467i
0.0020512+0.00080598i,0.0027778-0.0014045i,0.0030072-0.0031803i,0.0014646-0.0040212i,-5.815e-05-0.0041863i,-0.00028921-0.0030787i,-0.00012012-0.0024467i,-0.0010457-0.0023149i,-0.0016695-0.0009627i,-0.00025273-5.7614e-05i,0.00053375+7.0563e-05i,-0.00034651+0.00031354i,-0.00087069+0.00032535i,-0.00037009+0.00085461i,0.00013717+0.0016225i,0.00022906+0.0016796i,0.00019322+0.00091758i,0.00018259-0.00014389i,0.00043322-0.00043928i,0.0003794-0.00029718i,-8.8158e-06+0.00019184i,-3.8065e-05+0.00043649i,-0.00014176+6.0898e-05i
-5.1447e-05+0.00029309i,-8.5964e-05+0.00054757i,-0.00081686+0.00018683i,-0.0014164-0.00046607i,-0.0014621-0.00072344i,0.00042165-0.0010643i,0.0015833-0.0014315i,0.00024909-0.0011273i,-0.00096378-0.00026952i,-0.00059557-0.00011172i,0.00016772-0.00055327i,-0.00026523-0.00050761i,-0.00013409-0.00071051i,2.0367e-05-0.00012453i,-0.00033829+0.00099262i,-0.00054597+0.001296i,-0.0012294+0.0011649i,-0.0010729+0.00094212i,-0.00041297+0.00034355i,-0.00049367-0.00017899i,-0.00090873-0.00041256i,-0.00077277-0.00039152i,-0.00087621-0.0001499i
0.00079695+0.0018809i,0.00078433+0.001675i,0.0015141+0.00094482i,0.0008605-0.0012991i,0.00055382-0.0031143i,0.0012678-0.0033889i,0.00086038-0.0027025i,-0.00085106-0.0014008i,-0.001198-0.00015012i,0.00029677+0.00034854i,0.0011967-0.00017621i,0.00059887-0.00060913i,-1.7921e-05-0.00042734i,0.00016819-0.0001876i,5.0815e-05-0.00025635i,-0.00028252-0.00010864i,-0.00026886-8.426e-05i,-0.00050158-0.00029424i,-0.00018673-0.00060794i,0.00090013-0.00076131i,0.00054056-0.0006707i,-0.00049131-0.00016122i,-0.000155+0.00026005i
0.00049523-0.00056386i,0.0004439-0.00021455i,0.00029496-0.00085481i,-0.00061609-0.0014451i,-0.0013711-0.00056237i,-0.00087185-0.00029521i,-9.6983e-05-0.0014905i,-0.0010383-0.0016304i,-0.0018183-0.00013029i,-0.00093294+0.00084362i,-0.00027788+0.0002308i,0.00016192+0.00023238i,0.00030821+8.5503e-05i,-0.00025584-0.00024839i,-0.0005334-0.00020307i,-0.00012258-0.00033236i,-0.00047033+0.00046352i,-0.0010378+0.00083155i,-0.00098889+0.00044186i,-0.00080211+0.00017877i,-0.00055141+7.0041e-05i,-0.00018349+0.00036742i,0.00024745+0.0003322i
0.0018034-0.0011504i,0.0010914-0.001922i,-4.967e-06-0.0023177i,-0.0010461-0.0021634i,-0.0012364-0.0021382i,-0.00089942-0.0013543i,-0.00088978-0.00069074i,-0.0012905-0.00024205i,-0.0011704-0.00017935i,2.521e-05-0.00064796i,0.00064059-0.00060313i,5.3131e-05+0.00043442i,0.00013536+0.00067869i,0.00061331+0.00019508i,0.001335+0.00019747i,0.0018725+0.00043456i,0.00084958+0.00025968i,-0.0006011-0.00031483i,-0.00078532-0.00032146i,-0.0008795+0.00020312i,-0.0014417+0.00021818i,-0.0010823+6.3293e-05i,-0.00078201+0.00081362i
0.00050325+0.00041506i,0.00084982+0.00029276i,-0.00013959-0.00062342i,-0.00027223-0.0025844i,0.00081117-0.0040924i,0.0013779-0.0037336i,0.00097918-0.0027159i,-0.0010443-0.0014479i,-0.0015944-7.3115e-05i,-0.00034015+0.00064532i,0.00054444+0.00043085i,0.00046064-0.00027596i,-7.6188e-05-0.00046115i,-0.00020451-0.00072343i,-9.3284e-05-0.00039181i,-0.0001176+8.7222e-05i,-0.00022551+0.00013923i,-0.00030826+0.00027595i,-0.0003961+0.00019172i,-0.00073631+1.8277e-05i,9.8513e-05-0.00033114i,0.00054381+0.00010427i,-0.00048899+4.6095e-05i
0.00051857+0.00039491i,0.0011488+4.2411e-08i,0.00064647-0.0011205i,-0.0005891-0.0011706i,-0.0013781-0.0013485i,-0.00081287-0.001203i,-0.00011572-0.00074989i,-0.0012691-0.00071074i,-0.0012112+0.00021737i,0.00037555+0.00068499i,0.00054117+0.00027226i,-0.00077804-0.00026148i,-0.00099372-0.00068411i,1.094e-05+9.9067e-05i,-0.00011083+0.00042889i,-0.00036741-0.00084174i,0.00060692-0.0011916i,0.00097833-0.0007744i,-0.00022186-0.0010676i,-0.00080288-0.00095919i,-0.00090922-0.00078695i,-0.00069896-0.00013024i,-0.00058836-9.6186e-05i
0.00096136-0.00013208i,0.00010986-0.0009085i,-0.00080957-0.0022953i,-0.0015863-0.0028605i,-0.0020613-0.0023449i,-0.0010005-0.0015428i,-0.00023992-0.0013262i,-0.00040237-0.0012455i,-0.00038302+0.0003087i,-0.00025097+0.0010806i,4.1928e-05+0.00051644i,0.00022536+0.00039789i,0.00047346+0.00059846i,0.00011578+0.0010427i,0.00024358+0.001154i,0.00065416+0.00071689i,0.00053539+0.00044277i,-0.00015079+0.00027053i,-0.00053694-0.00063022i,-1.8066e-05-0.00088806i,0.00041592-0.00025588i,0.00042037-9.6514e-05i,2.2969e-05+0.00015266i
