0.00062495+0.00062003i,0.00018372-0.00048689i,0.00017748-0.0026462i,0.00014938-0.0048044i,-0.0014138-0.0045353i,-0.0029007-0.0016309i,-0.0027236+0.001283i,-0.0008291+0.0016755i,6.9849e-05+0.00060666i,0.00044166+0.00023322i,4.5739e-06-0.00018563i,-0.0012368-0.00021619i,-0.0012624+0.00020978i,-0.00030145-5.3243e-05i,-0.00024786+0.00047109i,-0.00026426+0.001023i,0.00051816+0.00054248i,0.00056325+0.00025354i,0.00053103-0.0004213i,0.0005735-0.00062756i,0.00036358+7.9825e-05i,-0.00019935+0.00092106i,-0.00038515+0.0009113i
0.0010325+0.00013791i,0.00073502-0.0010098i,0.00010456-0.0014853i,0.00047993-0.0023464i,8.6886e-05-0.0029965i,-0.0011382-0.0024346i,-0.0014859-0.00047041i,-0.00099578-2.59e-05i,-0.00039268-0.00071493i,-0.0011063-0.00040354i,-0.0015921-0.00012184i,-0.00076067-0.00047529i,0.00016527+0.00045271i,0.00039144+0.00088049i,0.00055988-0.00017581i,0.00080313-0.00068844i,0.00055177-0.00023485i,-0.00041032+0.00073592i,-0.00070773+0.0011915i,-0.00072843+0.00065957i,-0.00079327+9.6264e-05i,3.7395e-05-1.1062e-05i,0.00088224+3.7831e-05i
-0.00090932-0.001379i,-0.002255-0.00040484i,-0.0029801+0.00043875i,-0.003233-0.00040152i,-0.0027948-0.0021052i,-0.0027701-0.0019539i,-0.0024305-0.0011978i,-0.0014723-0.00080693i,-0.00090122-0.00057996i,-7.0292e-05+0.00015385i,0.00077942+0.00082481i,1.6138e-05+0.00064774i,-0.00042937+0.00035913i,0.00073197-0.00046157i,0.0006693-0.00095187i,0.00011687-0.00081043i,8.5523e-05-0.00023536i,-0.00036397+0.00068646i,-0.00033529+0.0005673i,0.00028199+0.00011517i,0.00042848+9.9247e-05i,-5.061e-05+0.00036801i,-0.00071296+7.8052e-05i
0.0011387+0.00059772i,0.0013262+0.00014851i,0.0020641-0.00063613i,0.0015129-0.0016634i,-0.00013362-0.0032429i,-0.002378-0.0024753i,-0.0027284-0.0004784i,-0.0016311+7.5464e-05i,-0.0013896-0.00048221i,-0.0014713-0.0006168i,-0.0013063+0.00051652i,-0.0013138+0.0018126i,-0.0013978+0.001203i,-0.00097548+0.00039038i,-0.00063169+0.00058944i,-0.00018139+0.00020721i,-0.00073113-0.00026408i,-0.0015197+0.0007269i,-0.00073359+0.0017214i,0.00019006+0.0014322i,0.00018101+0.0011289i,9.8157e-05+0.00065686i,0.00077444+0.00016324i
0.00091867-0.000106i,-0.001388-0.0011645i,-0.0027541-0.0028118i,-0.0026983-0.0043866i,-0.0029152-0.0045351i,-0.0030069-0.0028259i,-0.0019749-0.00049341i,-0.00054262-0.00018131i,-0.0002329-0.00088471i,-0.00064326-0.00071953i,-0.00061196-0.00020624i,-0.00024304-0.00060741i,-0.00013797-0.00059773i,-8.1787e-05+0.00029527i,0.00053327+0.00035049i,0.00031098-0.00058701i,0.00014764-0.00066178i,0.00029159-5.6631e-05i,0.00036043+0.00061954i,0.00076551+0.0006989i,0.0005961+0.00039966i,-0.00010104-0.00016384i,-0.00014152-0.00038992i
-0.0012695+0.00011975i,-0.00094159+0.0010164i,-0.00038846+0.0021293i,0.00012073+0.0016551i,-0.00042761+5.3703e-06i,-0.0017543-0.00070849i,-0.0024323+0.00014834i,-0.0019796+0.00067111i,-0.0015877-0.00035877i,-0.0013933-0.0010261i,-0.00094416-0.00082107i,-0.00046296-0.00015574i,-0.00048178+0.00074906i,-0.00038483+0.00056641i,-2.7816e-05+8.5818e-05i,4.96e-05-0.00038182i,4.15e-05-0.00030573i,0.00080175+0.00034673i,0.00080981+0.00036059i,0.00022304-3.8893e-05i,0.00050655-0.00047109i,0.00034485-0.00048152i,-1.5114e-05-0.00048252i
0.0012395-0.0010351i,0.00035279-0.0020568i,6.5886e-05-0.0031703i,0.00040253-0.0047186i,3.5011e-05-0.0053884i,-0.0010333-0.0036112i,-0.0020534-0.0012448i,-0.0018901-0.0007819i,-0.001226-0.0010472i,-0.0010896-0.00066916i,-0.0010014-0.00015993i,-0.00097657-0.0001925i,-0.00055403+0.0002008i,-0.00037979+0.00057976i,0.00013809+0.00086336i,0.0010065+0.0010303i,0.00074249+0.00067353i,0.00054739+0.00031736i,0.0005543+0.00024043i,-0.0001119+0.00053417i,-0.00011416+0.00015189i,0.00036419-0.00045148i,0.00038733-0.00011257i
-0.00049447-0.0019242i,-0.00145-0.0011817i,-0.0024936-0.0016477i,-0.0027203-0.0019143i,-0.0032616-0.0022729i,-0.0031226-0.0015628i,-0.0021802+0.00023228i,-0.0011181+0.00025436i,-0.0010723-0.00029322i,-0.0011916-0.00083585i,3.382e-06-0.00045088i,0.00030869+4.3781e-05i,-2.653e-05-0.0004559i,2.3451e-05-0.00039382i,-9.9397e-05+0.00010171i,1.6413e-06+0.00057221i,-0.00010537+0.00024398i,-0.00032414-0.00032142i,0.0004824+0.00013928i,0.00029131+0.0009189i,-0.00041794+0.00072676i,-0.0001443+0.0010211i,9.1776e-05+0.0016653i
-0.00016346+0.00075839i,-0.00024126+0.0006048i,-3.4528e-06-0.00045106i,0.00064421-0.0025598i,0.00057611-0.0034539i,-0.00058603-0.0026333i,-0.0015093-0.00083319i,-0.00093421+0.00019481i,-0.00070687-0.00016252i,-0.00072764-0.00027607i,3.3489e-05+6.1096e-05i,-2.1648e-05+0.0002143i,-0.00055408-2.6279e-05i,-0.00052777-0.0001973i,-3.229e-05-0.00024465i,0.00036244-0.00042773i,-0.00014598-0.00088183i,-0.00036904-0.00049983i,0.00010892-1.655e-05i,0.00088944+1.6543e-05i,0.00044861+0.00016827i,1.7089e-05-0.00059652i,-2.8306e-05-0.00068641i
-3.2049e-05+0.0018644i,-0.00094997+0.0026871i,-0.0015189+0.0030883i,-0.0022343+0.0016468i,-0.0020178-0.0017177i,-0.0017552-0.0030188i,-0.0023972-0.0010706i,-0.002223+0.00013132i,-0.0018506-0.00046584i,-0.0017485-0.00090656i,-0.00098541-0.00017243i,-0.00049765+0.00070762i,-0.0005148+0.0002467i,-0.00032784-0.0003727i,-0.00045229-3.3683e-05i,-0.00056791-0.00015701i,-0.00039838-0.00051401i,-0.00062327-0.00012913i,-0.00087749+0.00019708i,-0.001058-0.00021069i,-0.00070711-0.00037058i,1.6476e-05+0.00054146i,0.00068244+0.00093604i
0.00028395-0.0013417i,-0.00038022-0.0020276i,-0.00036116-0.0027626i,6.7853e-06-0.0036581i,-0.0013357-0.0038904i,-0.0029336-0.0024274i,-0.002456-0.00045086i,-0.0014311+0.00041995i,-0.0010981-0.00052055i,-0.00083023-0.0007438i,-0.00047538-0.00012643i,-0.00042072+0.00012753i,-0.00039023+1.9056e-05i,7.8877e-05+2.943e-05i,0.00037638-0.00010574i,3.4904e-05-0.00045906i,-0.00057961-0.00025664i,-0.00041922-0.00013146i,-0.00010998-0.0001247i,-0.00047347-6.5314e-05i,-0.00041497-0.00045586i,0.0001469-0.00028882i,0.00034096+0.00013406i
-0.00092661+0.00033641i,-0.0019681+0.0014406i,-0.0024174+0.0020517i,-0.002027+0.0010217i,-0.0013031-0.0011826i,-0.00061201-0.0025423i,-0.0001757-0.0017782i,0.00024753-0.0008853i,-2.2049e-06-0.00081315i,-0.00094594-0.00076875i,-0.00071797-0.00030159i,-9.1408e-05-5.3976e-05i,-8.0739e-06-0.00018284i,0.00042823-0.00037547i,-5.0822e-05-0.00042175i,-0.0010164-0.00061625i,-0.00093588-0.00033511i,-0.00025138+0.00049298i,1.3849e-05+0.00014634i,0.00064142-0.00051113i,0.00090757+2.6732e-05i,0.00053568+0.00012516i,0.00065274-0.00028688i
0.0020358+0.00055255i,0.0016084-0.0012095i,0.0018402-0.0026982i,0.0016474-0.0034678i,0.00024444-0.0051763i,-0.0011955-0.0047827i,-0.002023-0.0014306i,-0.0019482+0.00036632i,-0.001551+6.4696e-05i,-0.00069477-0.00016335i,0.000386-0.00014148i,0.00057174-0.00031324i,0.0002042-0.00010197i,-0.00047259+0.00090432i,-0.0010877+0.00098992i,-0.0011625+3.5155e-05i,-0.00087184-0.0003008i,-0.0003789+0.00022241i,-0.00016781+0.00022385i,-0.00039163-0.00020971i,0.00017643-9.1796e-05i,0.0011098+0.0001772i,0.00058013+8.4695e-05i
-0.0014694-0.001568i,-0.0018001-0.00052993i,-0.0031916-0.0013271i,-0.0047551-0.0021318i,-0.0044504-0.0025413i,-0.0034993-0.0017817i,-0.0026852-0.0007086i,-0.0013686-0.00015663i,-0.00099966-0.00066473i,-0.0011453-0.00086176i,6.0867e-05-0.00052998i,0.00048415-0.00016248i,-0.00017063-0.00018267i,0.00016531-0.00055814i,0.00081906-0.00051433i,0.00042776+0.00060637i,-0.00061841+0.0010984i,-0.0005276+0.00067365i,0.00056798+0.00031809i,0.00062864-0.000135i,-0.00038258+0.00017604i,4.0237e-05+0.0001203i,0.00029451-0.00050421i
-0.0016301+0.00021901i,-0.00092275+0.00038304i,-0.00060201+0.0010475i,-5.4165e-05+0.00027112i,0.0016336-0.0019875i,0.001402-0.002596i,-3.2744e-05-0.0015i,-0.00023894-0.0011891i,-0.00048299-0.00071408i,-0.0013752+0.00076338i,-0.0015437+0.0012257i,-0.00086774+3.4592e-05i,-0.00072643-0.00057489i,-0.00059925-0.00042371i,0.00026762-0.0001532i,0.00054534-7.2661e-05i,0.00048696+0.00053937i,0.00050764+0.00048644i,0.00055165-0.00056459i,0.0012043-0.00024155i,0.0014492+6.526e-05i,0.00088695+0.00013746i,0.00017142+0.00048262i
-0.00028713-0.00053798i,-0.0011118-0.00092405i,-0.0010927-0.0014658i,-0.0013297-0.0028227i,-0.0024136-0.0044838i,-0.0027245-0.0039915i,-0.0022732-0.0010991i,-0.0022127+0.00016809i,-0.001373+9.6776e-05i,-0.00058234+0.00053999i,-0.00047787-0.00018598i,-0.00046042-0.0012185i,-0.0003509-0.00055721i,-7.9309e-05+0.00083886i,-7.9866e-05+0.0010655i,-0.00040194+0.00020974i,-0.00010137-0.00034817i,0.00015064+9.0133e-05i,0.00037242+0.00050634i,0.0011351+4.6202e-05i,0.0010229-4.4455e-05i,0.00035938+0.0009152i,4.9788e-05+0.00065997i
0.0014262-0.00014279i,0.00094107-0.00048761i,0.00019613-0.0013872i,-0.00085953-0.0012049i,-0.0012599-0.0021004i,-0.0019131-0.0013138i,-0.0022302+0.000569i,-0.0010078+0.00031461i,-0.00038837-0.00044668i,-0.0012046-0.00087568i,-0.00065192-0.00042472i,-0.00030429+0.00016888i,-0.00031406+0.00031629i,-0.00035822+0.00029504i,-0.00028325-0.0005608i,0.00030283-0.00091661i,0.00052808-0.0011836i,0.00017673-0.00067402i,9.1663e-06+7.279e-05i,0.00013216+9.6374e-05i,0.00018487+0.00081472i,0.0003219+0.00092655i,0.00021037+0.0002702i
0.00058797-0.00052968i,0.0003565-0.00062129i,-0.00059319-0.0014106i,-0.0013965-0.0026829i,-0.0011546-0.0040353i,-0.0015094-0.0031132i,-0.0025564-0.00065616i,-0.0018984+0.00034012i,-0.00088735-0.00058334i,-0.0006995-0.0018986i,-0.00064786-0.0014344i,-5.5411e-05-0.00054673i,0.00013972+0.00043929i,-0.00043922+0.0011014i,-0.00020277+0.0013051i,-5.9924e-05+0.00066747i,0.00013874+0.00010981i,0.00066886-5.2134e-05i,0.00058365+8.6721e-05i,0.00032396-0.00018079i,0.00074606-0.00069922i,0.00089841-0.00044649i,0.00042402+0.00044034i
-0.0016616+0.00095672i,-0.0013434+0.0012969i,-0.0012532+0.00018433i,-0.00091389-0.0012673i,-0.00024287-0.0019931i,-0.00057504-0.0021073i,-0.0012492-0.0013347i,-0.00081789-0.00083845i,-0.0010696-0.0012026i,-0.0011193-0.00045703i,-0.00071301+4.2428e-05i,6.5591e-06-0.0010424i,-0.00022584-0.00098341i,-0.00082646-0.00043796i,-0.0009183-0.00071275i,-0.00074199-0.00087624i,-0.00026435-0.00063895i,-0.00038788-0.00037131i,-0.00039553-0.00019269i,-0.00031729+7.3317e-05i,-9.2095e-05+0.00019132i,0.00082814+0.00039581i,0.00065403+0.0003235i
-0.00015168-0.0011687i,-0.00065286-0.0014898i,-0.001584-0.0018006i,-0.0024888-0.001931i,-0.0026801-0.0025817i,-0.0026387-0.0021566i,-0.0022744-0.00054495i,-0.0016198-0.00027187i,-0.0016685-0.00054687i,-0.0014613-0.0003096i,-0.0004623-9.0667e-05i,-0.00026889-0.00028316i,-0.00037438-0.00083715i,-0.00020259-0.001427i,0.00058378-0.0013446i,0.0014011-0.00075707i,0.00056671-1.5331e-05i,-0.00029475+0.0004307i,2.2626e-05+7.1986e-05i,0.00086131+0.00051057i,0.00048638+0.0014227i,-0.00032016+0.0015667i,0.00013067+0.0011543i
0.001207+5.6826e-05i,0.0017352-0.00041091i,0.0016398-0.00096501i,0.00056504-0.0025555i,-0.00023964-0.004491i,-0.0015874-0.0036793i,-0.0024615-0.0014116i,-0.0022422-0.00035668i,-0.0012444-0.00034768i,-0.0011038-0.00016216i,-0.0009472+0.00070086i,-0.00074742+0.0011023i,-0.00090998+0.00049815i,-0.00066586-0.00030284i,-0.00026494-0.00014068i,-0.00062334+0.00043281i,-0.00049605-5.7391e-05i,0.00031778-0.00017181i,0.00032136+0.00054559i,1.6349e-05+0.00065369i,-0.00014874+1.1099e-05i,-6.9201e-06-0.00026068i,0.00016446+0.00027406i
0.0024691+0.0016177i,0.0019255-2.076e-05i,0.0026156-0.0012984i,0.0022602-0.0033212i,0.0015896-0.00486i,0.00053409-0.0045127i,-0.0006748-0.0024071i,-0.00096696-0.00036208i,-0.00035703+0.00017144i,0.00015726+0.00013489i,-2.4917e-05-0.00028171i,-0.00084157-0.00066175i,-0.0012185-0.00056279i,-0.00047557-2.9978e-05i,-0.00058953+0.0001566i,-0.0012943-5.45e-05i,-0.0010725+0.00028252i,-0.00093306+0.0006748i,-0.00040198-5.4965e-05i,-7.2486e-05-0.00071949i,-0.00039696-0.00048715i,-0.00041988-0.00036414i,-8.3497e-05-0.00043921i
-5.4149e-05+0.0004192i,0.00063314+0.00061228i,-0.00013016+0.00013701i,-0.0014752-0.00097445i,-0.0015478-0.0027012i,-0.0022209-0.0026292i,-0.0023853-0.00054133i,-0.0011899+0.00015913i,-0.00036357-0.00088778i,-0.00011402-0.00069338i,0.00073119+8.6333e-05i,0.0014355-0.0001229i,0.00086244-0.0003203i,0.00081168-4.4455e-05i,0.00069914+0.00041681i,-0.00033124+0.00079803i,-0.00080724+0.0007925i,-0.00083642+0.00065431i,-0.0009915+9.7431e-05i,-0.0012966+0.0003854i,-0.0009995+0.00068344i,-1.9411e-06+0.00018839i,0.0003344+0.00010367i
0.0013906+0.00019797i,0.0017536-0.00081641i,0.0024942-0.0015557i,0.0020347-0.0025608i,0.00064393-0.0034636i,-0.0015677-0.0033082i,-0.002466-0.0013149i,-0.0015797-0.00021356i,-0.00087308-0.0007381i,-0.00019552-0.00086888i,0.00010099-0.0011192i,-0.00027178-0.0010482i,3.8674e-07-0.00044395i,0.00032711-0.00017032i,-0.00027674-0.00046095i,-0.0010116-1.0422e-05i,-0.00092366+0.00076214i,-0.00072986+0.00071585i,-0.0012371-6.9132e-05i,-0.00049031-0.00039262i,0.00065502+0.00042593i,0.00092082+8.1698e-05i,0.001174-0.00041537i
0.00031498+0.00086113i,0.00085624+5.2516e-06i,0.0011146-0.0018679i,0.00090585-0.0030213i,1.2912e-05-0.0039327i,-0.0019754-0.0044358i,-0.0025404-0.002373i,-0.0017212-0.00036186i,-0.0014891-0.00031463i,-0.0012908-0.00063044i,-0.00045594-0.00046004i,-0.00045102-0.00056374i,-0.00061757-0.000638i,0.00015285-0.00036045i,0.00070904-0.00015914i,-0.00010245+0.00018677i,-0.00087181+0.0007029i,-0.00048723+0.00088879i,-0.00039764+0.00062981i,-0.0007858+0.00068402i,-0.00080412+0.00031429i,-0.00046622-0.00036127i,-0.00037977-0.00069086i
0.00060949+1.2027e-05i,-3.2165e-05+0.00052053i,-0.00010813-0.00020606i,0.00037167-0.0021482i,0.00016903-0.0029375i,-0.0011552-0.0021697i,-0.0015233-0.00070867i,-0.0014207+0.00054003i,-0.0008595+0.00052302i,-0.00065928+0.00033926i,-0.00035146-0.00044519i,-0.00061507-0.00095248i,-0.0015628-0.00027271i,-0.000998-0.00027927i,0.00012514-4.7314e-05i,-0.00018951+0.00057426i,9.176e-05+0.00037587i,0.00076706-0.0004336i,0.00072792-0.00014967i,0.0001754+0.00041086i,0.00023636+0.00010984i,0.00030161+8.2839e-05i,5.9141e-05+0.00039372i
0.0011569+0.00082768i,2.3391e-05+0.00037898i,0.00022937-0.00044501i,-0.00029024-0.0022116i,-0.0013784-0.0048526i,-0.0027384-0.0040118i,-0.0027046-0.00097492i,-0.0016321-0.00046124i,-0.0011738-0.00059979i,-0.00078953-0.00043786i,-0.00022315-0.00065881i,2.4124e-05-0.00050879i,-0.00039922+0.00055124i,-0.00079126+0.0013558i,-0.0011449+0.00065903i,-0.00078617-0.00049464i,-7.0385e-05-0.00040236i,0.00025379+8.7624e-05i,0.00062668+0.00042301i,0.00043864-7.94e-05i,7.9265e-05-0.00064135i,-0.00026687-0.00097605i,-0.0011777-0.0008112i
-0.00080835+0.00061709i,-5.1952e-05+0.00060513i,0.00047459+0.00076206i,0.00044198-0.00036711i,-0.00011621-0.0016288i,-0.0010154-0.001704i,-0.0014332-0.00074914i,-0.0012329-0.00060375i,-0.00021736-0.0014756i,-0.00023732-0.0015482i,-0.00043997-0.00077414i,0.00038082-0.00031169i,0.00074596-0.00030613i,0.00083507+0.00023125i,0.00029862+0.00056925i,0.00041607-0.0001029i,0.00055182+0.0002244i,-0.00029178+0.00065247i,-0.00080574+0.00031578i,-0.00053658+0.00023793i,-0.00014416+3.6305e-05i,-0.0007047-5.1837e-05i,-0.00052777+2.9325e-05i
0.00028484-0.00015696i,7.2628e-05-0.00020368i,-0.00081421-0.0013023i,-0.0015902-0.0033676i,-0.0022562-0.004076i,-0.0029791-0.002561i,-0.0025386-0.00077085i,-0.0014317-4.2425e-06i,-0.00056391-0.00027089i,-0.00084166-9.3284e-05i,-0.0011593+0.00047554i,-0.0012387+0.00054064i,-0.001547+0.00052062i,-0.00095164+0.00040207i,-0.00012287+0.00026856i,-0.00056234+0.0004907i,-0.00075963+0.00068042i,-0.00021565+0.0010949i,0.00026814+0.0011643i,0.00036575+0.00014876i,-0.00018221-0.00076798i,-3.0202e-05-0.00060104i,0.00078762-9.2684e-05i
0.00025767-0.0017778i,-0.00048767-0.00066219i,-0.0016456-0.00079519i,-0.0027609-0.0017356i,-0.003302-0.0025226i,-0.0034766-0.0016062i,-0.0029106+9.6542e-05i,-0.0014776+0.001411i,-0.0012486+0.00045084i,-0.0012866-0.00093177i,-0.00023723-0.00055001i,0.0002833+0.00045312i,-0.00032668+0.00095321i,-0.00051151+0.00052242i,-0.00021784-0.0001857i,-0.00048481-2.2274e-05i,-0.00089635-0.00010209i,-0.00037829-0.00044319i,0.00061995-7.0519e-05i,0.00047488+0.00065082i,0.00041881+0.00086861i,0.00050506+0.00079819i,-6.8613e-06+0.0011138i
0.0026743-0.001659i,0.0009053-0.0023977i,-0.00041733-0.0029108i,-0.0010884-0.0038567i,-0.0018479-0.0047011i,-0.0026498-0.0023118i,-0.0025944+0.00035253i,-0.0016896+0.00032595i,-0.0017397-0.00076025i,-0.0017678-0.0012661i,-0.00077261-0.00072636i,-0.00058361-0.00056964i,-0.00047857-0.00058254i,-7.4349e-05-0.00051682i,0.000179-0.00052244i,0.00034885-0.0002179i,0.00068885+0.00079482i,0.0003804+0.0012118i,-0.00021202+0.0004342i,7.8005e-05-0.00036626i,0.00037427-0.00057986i,0.00043551+4.9406e-06i,0.00037678+0.00035682i
-0.00022831-1.8699e-05i,0.00052208+0.0009652i,0.00020344+0.0020705i,-0.00050473+0.00057566i,-8.3128e-05-0.0017546i,-0.00061864-0.0023812i,-0.0020067-0.0013411i,-0.0019301-0.0010913i,-0.0016227-0.0012831i,-0.0015768-0.0010217i,-0.0005061-0.00095737i,0.00057433-0.0012647i,0.00054685-0.001401i,0.0003611-0.00036569i,-0.00024888+0.00096235i,-0.0010667+0.00030004i,-0.0007218-0.00040057i,-0.00055507+0.00045857i,-0.0010203+0.00093675i,-0.00057849+0.00029152i,0.00043523-0.00016892i,0.00086826+9.6619e-05i,0.0005983+0.000744i
