0.0008115+9.9248e-05i,0.00049101+0.00020097i,-0.001713-0.00064206i,-0.0022926-0.00021171i,-0.0013989+0.0006103i,-0.00083614+0.0017278i,0.00028958+0.0020891i,0.0010446+0.0015925i,0.00088173+0.00032113i,7.94e-05-0.00074708i,-0.00085226-0.00059846i,-0.0013309-0.00019791i,-0.0014337-0.00043439i,-0.00054315-0.00054081i,0.00020087-0.0001246i,-0.00049148-0.00041198i,-0.00041564-0.00021345i,0.00016051+9.3946e-05i,-0.00022136-0.00042602i,-0.00092787-0.00073911i,-0.0013248-0.0012299i,-0.0012391-0.00042546i,-0.001091+0.000302i
-0.0027056+0.0022923i,-0.0013049+0.0025602i,0.0012276+0.0043725i,0.0034893+0.0039276i,0.0036134+0.0011087i,0.002202-0.00089682i,0.0013004-0.00072359i,0.00043156-0.00028644i,5.5435e-05-0.00010173i,0.00013955+0.00010447i,-0.00042836-0.0006068i,-0.00039098-0.00088607i,0.00071505-5.4241e-06i,0.0010804+0.00052099i,0.00056967+0.00091503i,7.7375e-05+0.00067708i,-0.00017057+0.00041741i,0.00028733+0.00024557i,0.00023061-0.0003284i,-0.00045388-0.00026754i,-0.0008786+0.00063091i,-0.00051495+0.00044202i,0.00028279+0.00037071i
-0.00096552+3.8454e-05i,-0.0013226-0.00029893i,-0.00058409+0.00057303i,-0.0002781+0.001812i,-0.00080829+0.0020051i,-0.0002961+0.0018218i,0.0011701+0.00193i,0.0019421+0.0012888i,0.0018098+0.00042817i,0.00075953+0.00067756i,0.00013631+0.0010426i,-5.8238e-05+0.00061534i,-7.3509e-05+0.00027424i,8.4227e-05+0.00050092i,-0.00012519+0.00041178i,-0.00027037+0.00031383i,-0.00071378+0.00036434i,-0.00077366-0.00010821i,-0.00048708-9.8797e-05i,-0.00034395+0.00034813i,0.00066739+3.5795e-05i,0.0011336+0.00020266i,0.00038476+0.0005425i
-9.6592e-05+0.00089398i,0.00055786+0.00054475i,0.00090926-0.00051747i,0.0005191-0.0011871i,0.001179-0.0008232i,0.0021312-0.00021956i,0.0018708+0.00019773i,0.0015215-0.00047582i,0.00091099-0.0010599i,0.00023085-0.0010223i,-0.00025373-0.00047382i,-0.00023454-0.00014813i,0.00065913+1.6256e-05i,0.00048691+0.00079041i,-0.00039812+0.0011316i,-6.0104e-05+0.00039599i,2.717e-05+7.0039e-05i,-0.00016982+0.0002559i,0.00027951+5.3424e-05i,0.00010277-0.00012614i,2.3435e-05-0.00015872i,0.00033514-0.00046195i,0.00031437-0.00030066i
-0.00056129+0.0014458i,-0.00059814+0.00085073i,0.00060942+0.0012047i,0.0012425+0.0012284i,0.0010867+0.0012264i,0.00019806+0.0021505i,0.00093368+0.0022771i,0.0015049+0.0018152i,0.0012446+0.0011795i,0.00099457+0.00044471i,-0.00024127-9.1042e-05i,-0.00095466+3.505e-05i,-0.00077333+0.00030519i,-0.000861+4.7276e-05i,-0.00085275+7.188e-05i,-0.00094699+6.1934e-05i,-0.00091656-0.00037022i,-0.00016897-0.00064564i,-2.9068e-05-0.00038273i,-0.00010489+0.00014947i,0.00021529+0.00022323i,0.0005966-0.0001193i,0.00039162-0.00020008i
-0.0025508+0.00035672i,-0.0028726+0.00077494i,-0.0018601+0.0013903i,0.00034436+0.0018641i,0.0011728+0.0020181i,0.0014938+0.001588i,0.0025135+0.00072169i,0.0028457-4.8002e-05i,0.0019219-0.00020422i,0.0010134-3.7515e-05i,0.00057402-4.6189e-05i,0.00025747+0.00013919i,-4.3495e-05+0.00050558i,2.8021e-06+0.00027764i,0.00010078-0.00024509i,9.84e-05-0.00079512i,0.00050293-0.00086148i,0.00077246-0.00035797i,-0.00020937+8.1885e-06i,-0.00035247-7.0955e-05i,0.00058154+0.00040173i,0.00057489+0.00049101i,-0.00031675+0.0001057i
0.00041717-9.0647e-06i,0.0015965-0.00038426i,0.0019016-0.00028155i,0.00053478-0.00042666i,7.4274e-05-0.00013699i,0.000727+0.0006582i,0.00063797+0.00069685i,0.00036476+0.00048484i,-8.2255e-07+0.00090432i,-0.00027302+0.00062731i,0.00023479-1.16e-05i,0.00078991+0.00033186i,0.00031882+0.00025861i,-0.00036046+0.00015279i,-0.0008632+0.00048107i,-0.00058204+0.00029592i,-0.00036189+0.00044766i,6.8642e-05+0.00046456i,0.00017866+0.00039362i,-0.0003626+0.00049761i,6.5432e-06+0.0005553i,-0.00013884+0.00039588i,-0.00084823-0.00047741i
-0.00085939+0.00056211i,5.7791e-05+0.0011654i,0.0005615+0.0017639i,0.00059181+0.0011269i,0.00041682+0.0005299i,0.00033294+0.0016243i,0.0013582+0.0026435i,0.0017093+0.0022312i,0.0012142+0.00067838i,0.00063094-0.00040552i,-0.00045877-0.00041913i,-0.0011906-0.00014096i,-0.0010567-0.00026375i,-0.00018519-0.00032923i,0.00090226+0.00015298i,0.00080625+0.00075288i,0.00014009+0.001243i,-0.00063112+0.00079308i,-0.00090324-0.0001956i,-3.661e-05-0.00058833i,0.0003484-8.9108e-05i,-0.00016769+1.9574e-06i,-0.00018086-0.00046128i
0.0011767-0.00042424i,6.9632e-05+0.00079015i,-0.00022655+0.0003857i,0.00030318-0.00038172i,0.000607+0.00026544i,0.00066929+0.001192i,0.0012721+0.0011565i,0.001173+0.00040624i,0.00028099-0.00068255i,-0.00070327-0.001265i,-0.0007641-0.00062268i,1.9629e-05+0.00051231i,0.00031242+0.00048285i,0.00031467-0.00019478i,0.0002305-0.00043039i,0.00048682+0.0004138i,0.00051447+0.0003949i,0.00035009-0.00048971i,0.00056777+6.2232e-05i,0.00040532+0.00075939i,0.00018835+0.00068403i,0.00057888+0.00092414i,0.001059+0.00074595i
-0.0013341+0.00030512i,-0.0028081+0.00093528i,-0.0036366+0.0010626i,-0.0020923+0.0011234i,-0.00075384+0.0010241i,-1.0089e-05+0.00096598i,0.0012468+0.00092899i,0.0013088+4.8063e-05i,0.0013304-0.00047574i,0.00064275-0.00036333i,-0.00024796-0.00076848i,0.00028869-0.00075411i,0.00059019-0.00028533i,-1.4172e-05-0.00017557i,-0.00030011-0.00044622i,-0.0003041-0.00068743i,0.00025427-0.0013449i,0.0008607-0.00087748i,0.00092817-0.00013365i,0.00073697+0.00023736i,0.00060425+0.000551i,0.00042549+0.00017935i,0.00017413-0.00048264i
3.4313e-06+0.00093499i,0.00072601+0.00098486i,0.0011955+0.0011271i,0.0012501+0.0010003i,0.001126+0.00046145i,0.00098774+0.00021123i,0.00016158+0.00018873i,-0.00010813-0.00012147i,0.00034685+0.00014853i,0.00078197+0.00044477i,0.0006761-4.8832e-05i,-0.00013348-0.00061556i,-0.0005636-0.00050497i,-0.00020196-0.00011733i,0.00031347-0.00026143i,0.00055658-0.00060727i,0.00062598-0.00032269i,0.00039318+0.00036025i,-0.00027929+0.00099772i,-0.00039239+0.0010495i,-2.2271e-05+0.00043496i,0.00053129+0.00011805i,0.0003666+0.00025186i
0.00022882+0.0013048i,0.00084431+0.0019571i,0.0018762+0.0016595i,0.0017145+0.0012614i,0.00082803+0.0011803i,0.00075974+0.0011313i,0.00093251+0.00073641i,0.00040904-0.00034809i,0.00084925-0.0010051i,0.00097321-0.00053739i,0.0010868-0.00029109i,0.0011874+8.3471e-05i,0.00019206+0.00023743i,-0.00014608+0.00025599i,0.00068892-0.0002219i,0.0011007-0.00032776i,0.00057706+0.00027627i,0.00030888+0.00081817i,0.00029321+0.00050815i,-5.9573e-07-0.00044937i,-0.00050873-0.00055549i,-0.00090524-0.00050175i,-0.00057922-9.2076e-05i
-0.00068824-0.00014447i,-0.0020238+0.00045332i,-0.0022409+0.00076947i,-0.0014045+0.001708i,-0.00035706+0.0025312i,0.00060642+0.0014181i,0.0015062+0.00030354i,0.0016544+0.00015904i,0.0011179-0.00031586i,0.0016472-0.00064366i,0.0014137+5.4307e-05i,0.00039425+0.00065946i,0.00051604+0.0004475i,0.00088406-0.00018094i,0.00076173-0.00049537i,0.00097564-5.1757e-05i,0.0012012+0.00015378i,0.00053656+0.00033615i,-3.2808e-05+0.00065065i,-0.0004901+0.0006069i,-0.00035011+6.8571e-05i,0.00026017-0.00042848i,0.00072177-0.00061704i
-0.00065553-0.00048905i,-0.00044214-0.0014285i,0.0002346-0.0025714i,0.0013402-0.0010584i,0.0020484+0.00075502i,0.0026125+0.00067072i,0.0027104-0.00016639i,0.0015502-0.00094885i,0.00018022-0.0010075i,-0.00026397-0.00092986i,-0.00027597-0.00094567i,0.00039926-0.00046247i,0.00064617-4.8277e-05i,0.00033925+0.00084909i,-0.00019257+0.0012344i,-0.00074848+0.00090565i,-0.00023124+0.00063184i,0.00054768+0.00034155i,0.00076196+0.00017289i,0.00015203-0.00012902i,-0.00033619-0.00039352i,-0.00038695-0.0005616i,-0.00015865+3.4748e-05i
0.00042331+0.00011366i,0.0005581+0.00092398i,0.00080009+0.0020313i,0.00052313+0.0016798i,0.0003842+0.0019272i,0.00073445+0.0019977i,0.0010961+0.0012552i,0.0011045+0.0002749i,0.00065488+0.00052814i,0.0005746+0.0012309i,0.00039141+0.0010394i,0.00045543+0.00014242i,0.0010612-4.7003e-05i,0.00089703+0.00053426i,0.00018012+0.00038149i,8.9763e-05+0.00071273i,0.00016241+0.0011453i,0.00039633+0.00026325i,-6.4065e-05-1.6677e-05i,-0.0001761+0.00047868i,0.0001814+0.00061976i,0.00051898+0.00028052i,0.00079743+0.00023212i
1.1007e-05+0.0016695i,-0.00042807+0.0020984i,3.2788e-05+0.0015264i,0.00022722+0.00090428i,0.00097132+0.00057582i,0.0016636+0.00071609i,0.0013734+0.00080136i,0.00086318+0.00043255i,0.00043629-0.00053027i,0.00043604-0.0012439i,0.00063169-0.0014i,0.00057808-0.0012244i,0.00051632-0.00030734i,0.00017853+0.00049211i,0.00047762+0.00031887i,0.0004744-0.00010231i,0.00027027-0.00018907i,0.00028613+0.00017158i,-7.9453e-05-9.1303e-05i,4.3774e-05-0.00079446i,6.9977e-05-0.00093949i,-0.00011259-6.9079e-05i,-0.00017225+0.00029017i
0.0011809-0.00041862i,-1.2648e-05+0.00041453i,0.00019333+0.0001775i,0.00033827-0.00084403i,0.00057601-0.0012308i,0.00066643+4.9911e-05i,0.00088514+0.00056298i,0.0013509-0.0004514i,0.0011153-0.00045045i,0.00053416-0.00011131i,0.00016941-0.00077384i,0.00051742-0.0003334i,0.00065205+0.00019777i,0.00056975-0.00019357i,0.00075831+0.0001673i,0.00078164+0.00027479i,0.00027148+0.00047838i,0.0001361+0.00032436i,0.00055717-0.00056979i,6.2977e-05-0.00049631i,9.0015e-05-0.0001137i,0.00019873+0.00012846i,-0.00030168+0.00061274i
0.0013789+0.0010636i,0.0004607+0.0011807i,0.00053399+8.7973e-05i,0.00096485-0.00042363i,0.00099704+8.5774e-05i,0.00096926+0.00068422i,0.00089998+0.00041306i,0.00097595+0.00012687i,0.00084895-0.00027652i,0.00055339-0.00050099i,0.00037575-0.00019732i,0.00023956-9.4962e-05i,0.0006535+3.9013e-05i,-9.8246e-05-0.0002647i,-0.0014513-0.00021111i,-0.000937-2.7309e-05i,-0.00024102+3.6696e-05i,1.4039e-05+8.497e-05i,-0.00037449+0.00021921i,-0.0010201-0.00012411i,-0.00029136-0.00040338i,0.00016307+6.0015e-05i,0.00019387+0.00078851i
-0.0011351+0.0001074i,-0.00041955+3.5354e-05i,0.00076488+0.00011831i,0.0014119+0.00023373i,0.00056577+0.00053769i,0.0007857+0.0014877i,0.0015604+0.0021659i,0.0017998+0.0012815i,0.0013692+0.00016461i,0.00075944+2.8543e-05i,0.00066345-0.00019816i,0.00023346-0.00047896i,-2.9394e-08-0.00062033i,0.00041958-0.00041469i,-3.4509e-05-1.1675e-05i,-0.00047423-4.2343e-05i,0.00012586+7.6546e-05i,0.00078986+0.000344i,0.00033911-7.5085e-05i,-0.0004391+0.00019116i,-0.00076533+0.00090549i,-0.00043673+0.00094835i,-0.00026519+0.00065131i
-0.00048054-0.0016488i,-0.00080297+6.1093e-06i,-0.0005665+0.0010469i,-1.9944e-05+0.00059877i,0.00026872+0.00043293i,0.00060308+0.001224i,0.00060298+0.00085539i,0.00030378+6.2192e-06i,-0.00025001+0.00010262i,-0.00056518-0.0002453i,-0.00023478-0.00097162i,9.9777e-05-0.00032394i,0.00037647+0.00017377i,0.00064031-0.0008083i,0.00052583-0.0012713i,-6.4436e-05-0.00084002i,0.00026578+1.961e-05i,0.00042753+0.00061902i,-9.0797e-05+0.00033511i,-0.00042481+0.0001813i,0.00011842-0.0002223i,0.000819-0.00075793i,0.0004346-8.2356e-06i
0.00011265+0.0010621i,0.00048629+0.00089849i,0.00078337+0.00035189i,0.00097654-0.00018259i,0.0010894+0.0010897i,0.00094602+0.0020905i,0.00083525+0.001719i,0.0011071+0.00020579i,0.00093821-0.00059671i,0.00028431+5.6565e-06i,-5.0473e-05+0.00036764i,-0.00012608-0.00016536i,-0.00013002-3.8112e-05i,-0.00028699+0.00038666i,-0.00037103-0.00049111i,-3.664e-06-0.0011502i,0.00019844-0.00031493i,9.4826e-05+0.00037265i,0.00040325+0.00036602i,0.00058026+7.5127e-05i,0.00020748-0.00025584i,0.00025237+7.181e-05i,-0.00017517+0.0010214i
-0.001347+0.0012879i,-0.0014028+0.0026572i,-0.00032295+0.0040818i,0.00071615+0.00328i,0.0015268+0.0017742i,0.0015126+0.0015714i,0.00093961+0.0011357i,0.00071057+0.00035099i,0.001289+0.00059216i,0.0021538+0.0008331i,0.0013325+0.00072907i,0.00017204+0.00027935i,-0.00043442-0.00010114i,-0.00032639+0.00019905i,-3.6555e-05+0.00082745i,-7.6311e-05+0.00076972i,0.00020859+3.0509e-05i,0.00069126-0.00042444i,0.00079751+0.00059313i,0.00012434+0.000615i,0.0002678-0.0001986i,-0.00023491+0.00025489i,-0.0011731+0.00060532i
0.00020244-0.0014472i,-0.0003429-0.0014557i,-0.0011349-0.0017342i,-0.0014927-0.0012958i,-0.00098146-4.5649e-05i,-0.00045453+0.00060051i,-0.00039748+0.00051983i,7.1052e-05+0.00017814i,0.00066006-0.00049772i,0.00050654-0.000804i,0.00029841-0.00045699i,-0.00032608+0.00038316i,-0.00065875+0.00029869i,-0.00025573-0.00039834i,4.1833e-05-0.00013718i,1.3149e-05+0.0007457i,0.00065422+0.00061411i,0.001093-0.00033854i,0.00092081-0.00058648i,0.00048798+0.00041971i,-0.0004839+0.00086419i,-0.00061319+0.00013347i,-0.00013926-0.00017859i
-0.0010667-0.00054941i,-0.00027432+0.00068139i,0.00048864+0.0014586i,0.00064973+0.0014077i,0.0011466+0.0019202i,0.0015037+0.0015004i,0.0012698+0.00095769i,0.00042791+0.00050603i,-3.5189e-05+0.0003464i,0.00047433+0.00064783i,0.0003102+0.00083845i,-0.00032346+0.0010626i,-0.00031344+0.0010889i,5.0008e-05+0.00028592i,-7.6401e-05+0.00014331i,-6.1082e-06+0.00048967i,-0.00017022+0.00046925i,-0.00032259+0.0002583i,-0.00048333-0.0003067i,-0.00048679-0.00078391i,0.00026822-0.00086179i,0.00060544-0.00073625i,0.00053971-0.00054454i
-0.00048741-0.00098019i,-0.0010295-0.00072893i,-0.001701+8.266e-06i,-0.0010827+0.00014683i,-0.00090208+0.0010206i,-0.00010357+0.0015149i,0.0011989+0.00081141i,0.0013778+4.5894e-05i,0.00080396-0.00043055i,-3.3063e-05-0.00042512i,-0.0006365-0.00043643i,-0.00015535-0.00084139i,5.9154e-05-0.001166i,-3.6626e-05-0.00087659i,0.00037138-0.00056645i,0.00067809-0.00035423i,0.00025964-0.00025408i,-0.00048153-0.00033159i,-0.00062157-0.00025252i,-0.00022587-0.00021132i,-0.00010181-0.00013505i,-0.00048534-9.0417e-05i,-0.00093278-0.00019145i
-0.00039716+0.00073348i,-0.00091452+0.00090135i,-0.00077082-0.00015996i,-6.0543e-05-0.00034624i,0.0004644+0.00073488i,0.0012679+0.0011484i,0.002089+0.00063377i,0.0014413-4.1564e-05i,0.00082172-0.00080827i,0.00056197-0.00081935i,0.00055538-0.00016445i,0.0013047-0.00043531i,0.0010338-0.00079865i,-0.00013375-0.00040831i,-0.00094105+0.0004681i,-0.0016039+0.00079989i,-0.0008012+0.00048097i,0.00031346-0.00035011i,0.00026092-0.00085813i,0.00030476-0.00034124i,-0.00011048-0.00035399i,-0.00013019-0.00070273i,0.00071227-0.00032086i
0.00080978+0.0015777i,0.0011537+0.0012718i,0.0013745+0.00079843i,0.001292+0.0012317i,0.00010057+0.0010141i,-0.00013632+0.00067936i,0.00015153+0.00022959i,0.0003728-5.4029e-05i,0.00067293+0.00020665i,0.00085014-0.00046906i,0.00072978-0.00046376i,0.00053313-4.4703e-06i,0.0005236-5.2263e-05i,0.00057892+0.00014964i,0.0005707+0.00033139i,0.00032204+0.00069601i,0.00052521+0.00082593i,0.0008903+5.0168e-05i,0.00013374-0.00074379i,-2.2083e-05-0.0004206i,0.00043403+0.00062229i,0.0010578+0.00074036i,0.00098671+0.00071284i
-0.0011992-0.00044013i,-0.001749-0.00106i,-0.00088246-4.1813e-05i,-0.00047019+0.0008744i,-0.00049296+0.0013588i,0.00056269+0.0015137i,0.00095052+0.0014777i,0.00052321+0.00047938i,0.00067088-0.00041635i,0.0012252+3.8271e-05i,0.0016444-0.00035452i,0.0010265-0.001273i,4.215e-05-0.0010585i,-0.00026845-0.00059506i,-0.0005196-0.00024121i,-0.00073733+0.00033076i,-0.00098863-1.7564e-05i,-0.00069275-6.6532e-05i,-0.00077345-1.6059e-06i,-0.00089369-0.0001684i,-0.00036197-0.00045351i,-0.0001063-0.00040565i,-0.00032376+0.00043241i
-0.00059027+0.00071436i,0.00074273+0.00047639i,0.0011544+0.0012523i,0.00077547+0.001752i,0.0012595+0.0015678i,0.001345+0.0012475i,0.0012597+0.00051211i,0.0013184-0.00020618i,0.00068267-0.00019041i,0.00048775+0.00016217i,0.0013642+0.00024454i,0.0012943+0.00029283i,0.00031281+0.00021848i,-0.00085406+0.00035509i,-0.00069576-3.3702e-05i,0.00043104-0.0010312i,0.00057459-0.001036i,3.0016e-05-0.00031726i,-0.00034729+0.00042357i,-0.00033154+0.00053668i,-0.00024954+0.00014462i,-0.00026216-4.2931e-05i,-0.0006986-0.00051755i
-0.0013715+0.0012553i,-0.0011405+0.0015096i,-0.00052131+0.0019593i,0.0010092+0.0024358i,0.0021073+0.0020981i,0.0022664+0.0014195i,0.0020931+0.00097083i,0.0018243+0.00018117i,0.00094199+0.00013711i,0.00079451+0.00022503i,0.00092661-8.2472e-05i,0.00039379-0.00038151i,-0.00019511-0.00020382i,-0.00060279-9.7901e-05i,-0.0011004+0.00038868i,-0.0011726+0.00043399i,-0.00039795-0.00037068i,0.00048556-0.00059564i,0.0001239-0.00096018i,-0.00012509-0.00097664i,0.00013067-0.00071904i,4.832e-05-0.00011825i,-0.00027264+0.0006449i
