-0.00035065-0.00057815i,-0.00049228-0.00071818i,-0.00051943-0.0013428i,0.00073426+5.7689e-05i,0.0015122+0.0012743i,0.0016122+0.0014812i,0.00091386+0.00087061i,0.0013471+0.00087049i,0.0014522+0.0014268i,0.00080266+0.0011738i,0.00039113+0.00012805i,4.3961e-05-0.00025694i,-0.00045293-0.0011688i,-0.0012126-0.0014603i,-0.00082291-0.00043906i,0.0001972+0.0004529i,-1.7874e-05+0.00031875i,-9.1406e-05+4.8184e-05i,0.00023244-0.00010897i,0.00042951-0.00048466i,0.00025397-0.00038808i,0.00025967-8.6156e-06i,2.2212e-05+0.00056848i
0.001028+0.00040234i,0.0014799-0.00021339i,0.00048707-7.2861e-05i,0.00062565+0.0011535i,0.00089094+0.0031356i,0.00033484+0.0030068i,-0.00031859+0.00104i,-0.00024726+0.00086395i,0.00011638+0.0011065i,7.3265e-06+0.00027337i,2.1593e-05+0.00014297i,1.0152e-05+0.00094517i,-0.00074523+5.3349e-05i,-0.0012251-0.0011271i,-0.0004421-0.00097674i,4.9597e-05-0.00056949i,-0.00063274-0.00040523i,-0.00060284+3.0334e-05i,-0.00072933+0.00079531i,-0.00037534+0.0014045i,-0.00010324+0.0014088i,-0.00061451+0.00041095i,-0.00044384-7.99e-05i
0.0006986-0.00062933i,-0.00034757-0.00033566i,-0.00026919+0.00043917i,-0.00013086+0.0012515i,-0.00048612+0.0018436i,0.00033722+0.0012199i,0.00081884+0.0010977i,-0.00029395+0.0010354i,-0.00036289+0.00033083i,0.00018556-0.00012308i,-8.0309e-05+0.00017122i,-2.7156e-05+0.00092518i,7.1864e-05+0.0011482i,-0.00079313-1.4267e-05i,-0.00082766-0.0015651i,-0.00014337-0.0015451i,3.355e-05-0.00097623i,-8.1556e-05-0.00043643i,0.00021052-0.00065561i,0.0011348-0.0010087i,0.00085156-0.00041944i,0.00011728+1.5873e-05i,-0.00014647+0.00024255i
0.00056306-0.0011194i,0.0014276-0.00081341i,0.0016091+5.1488e-05i,0.00091243+0.0018923i,0.0013066+0.0025761i,0.0017647+0.0014481i,0.00090641+0.000262i,0.00011483+0.0010756i,0.00037329+0.0014582i,6.5836e-05-0.00013011i,-0.00060585-0.0012652i,-0.00015629-0.00058327i,0.00091383+0.00056998i,0.0013586+0.00038149i,0.0005438+0.00025667i,-0.00035172-0.00013781i,-0.00030504-0.00054141i,-0.00057912-0.00053174i,-0.00058742-0.00058204i,-6.1318e-05-3.1826e-06i,0.00023815+0.00046634i,0.00047695-0.00014932i,0.00057906-0.00088516i
-0.0010991+0.00051741i,-0.0012598+0.0012045i,-0.00079979+0.0015881i,-0.00080114+0.003092i,-0.00033056+0.0029239i,-1.6359e-07+0.001236i,2.3314e-05+7.8571e-05i,0.00049783+0.00018783i,0.00017279+0.00019996i,-7.3072e-05-0.0001533i,0.00047745-0.00043464i,0.00059481-0.00047436i,-2.2015e-06-0.00046211i,-0.0011572-0.00033071i,-0.0013018-0.00041821i,0.0001285+0.00049876i,0.0008905+0.0012964i,-0.00010143+0.0012668i,-0.00051614+0.0010415i,0.00025201+0.00058427i,0.00036579-0.00013934i,-0.00043156-0.00090309i,-0.00086663-0.00057441i
-0.0030136-0.0011168i,-0.0026175+0.00033004i,-0.0017152+0.0023828i,-0.0010357+0.003867i,0.00026274+0.0035017i,0.0014532+0.0024072i,0.0011936+0.00073647i,0.0011575+0.00057711i,0.00075496+0.0013194i,-0.00052422+0.00077539i,-0.00083038+0.0004881i,-0.00010808+0.00061788i,4.2054e-05-7.0942e-05i,0.00024166-0.00099616i,0.00019526-0.00073666i,-0.00027724-0.00028942i,-0.00048255+0.00015295i,-0.00028581+0.0010827i,0.00022639+0.00089818i,0.00026781+0.00037369i,8.1715e-05+0.00012907i,-0.000357-5.2325e-05i,-0.00037469-0.00024534i
0.0004507+0.0017931i,0.0013082+0.0014679i,0.0016696+0.001361i,0.0013125+0.0023651i,0.0010847+0.0035622i,0.00092805+0.0029486i,-3.1706e-05+0.0021385i,-0.00053828+0.0016131i,7.6672e-05+0.00063985i,0.00018566+0.00073389i,-0.00013605+0.00054859i,-0.00013754-8.752e-05i,-0.00031305+0.0003603i,-0.0008648+0.00048014i,-0.00077063+0.00017623i,-0.0003134+0.00049421i,-0.00045665+0.00040821i,-0.0008093+0.0002678i,-0.00086343+3.6289e-05i,0.00042875-0.00031677i,0.0008384-2.569e-05i,0.00021876+0.00012714i,0.0004704-0.00022011i
0.0016543+0.001101i,0.0010378+0.00098312i,0.00094212+0.00087997i,0.0011891+0.0013397i,0.00069411+0.00095244i,0.00099137+0.00033664i,0.00072608+0.0005i,-0.00016059+0.00058411i,-0.00054551+0.00073054i,-0.00045455+0.00052169i,-0.00022766+0.00055021i,-8.3217e-05+0.00082759i,0.00028907+0.00066075i,0.00021915-0.00012538i,-0.00052288-0.00016211i,-0.00084911+0.00035704i,-0.00036763+0.00030336i,0.00041311+0.00073681i,0.00083582+0.0013576i,0.0007193+0.00030366i,0.00026362-0.00014331i,-0.00019078+0.00054141i,-0.00022859+0.00057433i
0.0003476+0.00097804i,0.00079284+0.00094704i,0.0010208+0.00037509i,0.0015948+0.0011335i,0.0022419+0.0020878i,0.0020329+0.0016999i,0.0015721+0.0016409i,0.00065173+0.0021783i,-0.00034054+0.0019855i,-0.00028901+0.00085525i,0.00016148+0.00019301i,1.8114e-05+1.8467e-05i,0.00020542-0.00011683i,0.00030273-0.00026999i,-9.8418e-05-0.0005227i,0.00015694+0.00038064i,-6.2064e-05+0.0010635i,-1.9391e-05+0.0010636i,0.00043729+0.00078193i,0.00017955+0.00070076i,0.00037593+0.0012475i,0.00010266+0.00090025i,-0.00076778+0.00013925i
-0.000623-8.7443e-05i,-0.0005324-0.00018684i,-0.00044111+0.00018849i,-5.7003e-05+0.0017386i,-7.5561e-05+0.0033393i,0.00035096+0.0030885i,0.00046204+0.0021031i,-9.0647e-06+0.00099288i,0.00057963+0.00030876i,0.00060737+0.00018563i,7.1132e-05+3.7014e-05i,0.0004406-0.00047073i,0.0010151-0.00094332i,0.00070133-0.00041194i,-0.00057295+5.3414e-07i,-0.00072712-0.0003648i,3.3624e-06-0.00048141i,-0.00011297+0.00027948i,4.5055e-05+0.00099382i,0.00035651+0.0010283i,-0.00019425+0.00068784i,1.8529e-05+0.00032518i,5.4154e-05+0.0003668i
