-0.0018402+0.00021961i,-0.0017832-9.7391e-06i,-0.001406+4.574e-05i,-0.0013294-0.00079964i,-0.0013962-0.001405i,-0.0018146-0.00038763i,-0.0017917+0.0010219i,-0.0014327+0.0019646i,-0.00076539+0.0019768i,0.00039012+0.0016912i,0.0016165+0.0011101i,0.0013437+7.0901e-05i,0.00036903-0.00099253i,-3.9907e-05-0.00096902i,-0.00012044-0.00050678i,9.6153e-05-0.00029361i,0.00046475-0.000139i,0.0004882-0.0004018i,7.1128e-05-0.00044263i,-0.00010837-0.00075826i,-0.00018736-0.0011722i,-0.00011404-0.00059337i,0.00025816-0.00026785i
-0.00025596+0.00099116i,0.00059691+0.00025992i,6.8018e-05-0.00021829i,-0.00048122+6.0864e-05i,0.00023902-0.00041029i,0.0012729-0.00099076i,0.00037987-0.00083568i,-0.00028279+0.00014473i,-0.00017688+0.00095208i,-0.00064824+0.0010678i,-0.00088261+0.00069128i,-0.00062588+0.00077628i,-0.00044817+0.00076007i,1.4587e-05-3.1776e-05i,-0.00011535-2.6404e-05i,0.00016279+0.00068888i,0.0013096+0.00092384i,0.0010325+0.00073029i,-6.3246e-05+0.00043365i,-0.00054556-6.46e-05i,-0.00060285+0.00027962i,-0.00045744+0.00074098i,0.00020225+0.00033515i
-0.00013374-0.00094768i,-0.00028601-0.00062284i,3.5683e-05-0.00049449i,0.00090281-0.00038959i,0.0011538+0.00038507i,-0.00031618+0.00042599i,-0.00088272-0.00020104i,-0.00039542-0.0010254i,-0.0010693-0.0015175i,-0.001206-0.00093114i,-8.2704e-05-0.0003785i,0.00064681-0.00034799i,0.00095157+0.0002558i,0.00014855+0.0004953i,-1.3055e-05-1.3106e-05i,0.0010552-0.00080904i,0.0014734-0.000996i,0.00046237-0.00079494i,-0.00014191-0.00040106i,1.9305e-05+0.0005759i,0.00040995+0.00088949i,0.00094815+0.00060972i,0.00057185+8.2971e-05i
-0.00034692-0.00056647i,-0.00046676-0.0006568i,-0.00074159+0.0002699i,-0.00026861+0.0013018i,0.0007315+0.0018944i,0.0011802+0.00077446i,0.00071334-0.00045415i,0.00020095-0.00080865i,0.00023244-0.00039743i,0.00020358+0.00033706i,0.00036649+0.00070748i,0.00049171+0.00085156i,0.00062563+0.0013404i,0.00087185+0.0016995i,0.00062616+0.00095034i,-6.9364e-05-0.0001695i,-0.00077672-0.00045883i,-0.00067545-0.00088663i,9.8586e-05-0.00062404i,-0.00017145-0.00033334i,-0.0006479+0.0001995i,-8.7862e-05+0.0005513i,0.00045665-0.00039373i
-0.00035802-0.0010313i,-0.00060661-0.00029623i,-0.0010292+0.00032886i,-0.0012514+0.00017855i,-0.00089895+0.00026197i,4.566e-05+0.00015822i,-6.1509e-05-0.00024025i,-0.00063323-0.0002533i,-0.00084544-0.00038906i,-0.00033584-0.00049825i,0.00019289-0.0004299i,7.5236e-05+8.3857e-05i,0.00050967+0.00022922i,0.00051601+6.3633e-05i,0.00040127-0.0003393i,0.00085858-0.00013218i,0.00087221+0.00052308i,0.00017528+3.1811e-05i,-0.00015235-0.00045459i,-8.2516e-05+0.00021287i,-0.00033851+0.00070084i,-0.00047467+0.00069045i,-0.00030674+0.00047068i
0.0011756+0.00071074i,0.0015872+0.00061535i,0.001536+0.0010483i,0.0017758-9.883e-06i,0.0017692-0.0024124i,0.00051825-0.0033696i,-0.00078682-0.0025728i,-0.00023089-0.0011613i,-1.5396e-05-0.00031417i,-0.00042163-0.00058437i,5.6177e-05-0.00028673i,0.00045947-2.5384e-05i,0.00016892-0.00043623i,-0.00012248-0.00051559i,0.00035012-0.00042053i,0.00095636+0.0002643i,0.0011092+0.0003847i,0.0011266+0.00065276i,0.00050754+0.0013567i,-0.00015463+0.00062579i,-0.00025867-0.00060421i,-2.0347e-05-0.00064967i,0.00010076-6.107e-05i
-0.00088873-0.00080063i,-0.0012788+1.7319e-05i,-0.0013246+0.00054165i,-0.0011632+0.00088003i,-0.0002871+0.00084625i,-0.00052478-0.00011174i,-0.0017242-0.00040321i,-0.0017912-7.3708e-05i,-0.0007923+3.2236e-06i,-0.00035042+0.00081776i,-0.00040031+0.00037363i,0.00047002-0.00061846i,0.00083014-0.00030038i,0.00031858-0.000199i,0.00042098+0.00029535i,0.00011279+0.00064966i,0.0001349+0.00050125i,0.00020284+0.00082151i,-0.0006842+0.00070329i,-0.00068338-8.7691e-05i,-0.00014857-0.00069617i,-0.00037869-0.00079799i,-0.000421-0.00094594i
-0.00044049+3.3468e-05i,0.00041874+8.5095e-05i,-0.00014819+0.00015163i,-0.00066875-0.00038361i,-0.0004565-0.00068273i,0.00020895+5.2417e-05i,0.00011656+8.5279e-05i,-0.00061365-0.00053842i,-0.0010009-6.9043e-05i,-0.00092428+0.00088274i,-0.00054402+0.001035i,-0.0002422+0.00050283i,-0.00038042-0.00010667i,-0.00055204-0.0002056i,-0.00015047+0.00028776i,0.00017926+0.00058682i,0.00029332+0.00040318i,0.00054966-0.00041279i,-0.00011197-0.001416i,-0.00092269-0.0012009i,-0.00051837-0.00013592i,0.00014861+0.00034085i,0.00063175+5.6578e-06i
0.00020715+0.00045526i,0.00031423+0.0002372i,-1.19e-05+0.0010004i,0.00029047+0.0011115i,0.0014437+7.0214e-05i,0.0012542-0.00092126i,0.00025397-0.00071477i,0.00015809-4.1595e-05i,0.00033695-0.0001406i,-0.00039099+0.00028298i,-0.00087099+0.0011674i,-0.00020358+0.00065988i,0.00027492-0.00014118i,0.00041638-0.00028708i,0.00063507-0.00033974i,0.00070207+0.00042735i,0.00031638+0.0005824i,0.00020362+0.00043376i,-0.0002477-0.00018951i,-0.0005708-0.00038607i,-0.00077431-0.00013397i,-0.00063557-0.00063349i,0.00010366-0.00052297i
0.00043095-0.00059864i,4.4888e-05-0.0010957i,9.9502e-05-0.00095688i,0.00057689-0.0012538i,0.00012102-0.0018298i,-0.00077789-0.002345i,-0.00062344-0.0017274i,-0.0006505-0.0008852i,-0.00046684-0.00040202i,0.00045946+6.6614e-05i,0.00030924+0.00016121i,-0.00066266+3.223e-05i,-6.641e-05-9.3355e-05i,0.00093608-0.00024668i,0.00082803-0.00030314i,7.3018e-05+0.00023048i,5.8924e-05+0.0006489i,0.00024078+0.00057227i,-0.0003368+0.00036942i,0.00014778+0.00035931i,0.00039212+0.00051945i,3.7792e-05+0.00056622i,2.9671e-05+2.525e-05i
-0.00054207+0.00092271i,0.00010336+0.0014857i,0.00025742+0.0019446i,-0.00017938+0.0015622i,-6.4499e-05+0.0012238i,0.00080669+0.0010934i,0.00086345+5.6009e-05i,0.00021284-0.0007176i,-0.00051059-7.3408e-05i,-0.00077713+0.00042315i,-0.00032749+0.00019647i,-0.00031687-0.00013503i,0.00040134-0.00038102i,0.00060261-0.00031812i,-0.00012722-0.00011177i,0.00013189-6.9634e-05i,0.001266+0.00033557i,0.00057892+0.00060457i,-0.00097561+0.00015757i,-0.00026416-0.00053465i,0.00046496-0.00096472i,-0.00035491-0.00035471i,-0.00061825+0.00024007i
0.00080372+0.00059574i,-0.00057389+0.00061492i,-0.00069085+0.00077748i,-0.00082092+0.0013186i,-0.0011507+0.0017732i,-0.00082933+0.0010166i,-0.00044537+5.4538e-05i,-0.00083928-0.00042407i,-0.001001-0.00066013i,-0.0006411+0.00015167i,7.0736e-05+0.0011485i,0.00057146+0.0007911i,0.00013953+0.00052319i,-0.00039221+0.00057267i,0.00042-8.5362e-05i,0.00090703+4.0659e-05i,1.1055e-05+0.00054573i,-2.3533e-05+0.00044064i,-0.00029711+0.00034648i,-0.00058206+0.00047412i,-0.00038759+0.00081485i,-0.00096979+0.00039738i,-0.0003777-0.00094678i
-0.00056453-0.00040439i,-0.00021074+0.00050706i,-0.00064115+0.00016938i,-0.0001998-8.5758e-05i,0.0007761-0.00033481i,0.00026633-0.00087816i,2.698e-05-0.0011463i,-0.00043101-0.0013347i,-0.00080103-0.00090986i,-0.00040145-6.6944e-05i,-3.6846e-05+0.00040585i,-0.00019294+0.00059922i,6.5749e-05+1.2579e-05i,0.0007697+0.00032244i,0.00031886+0.00091511i,8.7203e-05+0.00049614i,0.00075533-0.00030282i,0.001302-0.00027969i,0.0014548+0.00044883i,0.0013241+0.00015966i,0.00093868-0.00038128i,0.00065037-0.00034321i,0.00049609+4.8497e-05i
0.00056594+0.00024251i,-0.0002875-0.00012017i,-0.0017663+6.2529e-05i,-0.0023015-2.0686e-05i,-0.0016391-0.00085908i,-0.0013227-0.0015251i,-0.00060098-0.0012081i,-7.4085e-05+4.6198e-05i,2.2018e-05+0.0011611i,6.1251e-05+0.0012462i,0.00089917+0.0010917i,0.0012683+0.0011635i,0.0002585+0.001176i,-0.0011324+0.00095773i,-0.0010948+0.00012531i,-0.00036357-0.00010882i,-0.00043047+0.00034864i,-9.9199e-05+0.00052778i,0.00015538-0.00014768i,3.9052e-05-0.00061229i,6.184e-06-0.00059896i,0.00015948-0.00047249i,0.0001026-0.0003446i
0.00044088+0.0011504i,0.00043181+0.00090543i,0.0014261+0.0015038i,0.0016234+0.00092015i,0.00075526-0.00072796i,0.00077794-0.0015345i,0.00040589-0.0011614i,0.0001859-0.00088791i,-0.00021429-0.00081115i,-0.00082779-0.00044686i,-0.0001423-0.00018748i,0.00062372-7.7031e-05i,0.00050358-0.00025676i,0.0003275+4.4673e-05i,0.0006851+0.00022898i,0.0012588-0.00023592i,0.0011486-0.00030981i,0.00094749-0.0002417i,0.00031079-0.00045057i,-2.1027e-05-0.00057257i,-2.8457e-05-3.2548e-05i,0.00021972+0.00031302i,9.9087e-05-0.00031638i
0.00097051-0.0023439i,-2.1761e-05-0.0027029i,-0.0015915-0.0036795i,-0.0020619-0.0033866i,-0.0022637-0.0022314i,-0.0021502-0.00091804i,-0.0013847-0.0002348i,-0.00089574-2.8311e-05i,-0.00081033-0.00067705i,-0.00080985-0.0017933i,-0.0002988-0.0015779i,3.5388e-05-0.00051693i,-0.0003335-0.00010331i,5.5783e-05+2.7783e-05i,0.00065114+0.00011162i,0.00062447+9.8864e-05i,7.9546e-05-0.00029353i,-0.00040119-0.00039843i,-0.00063133+0.00039561i,-0.00045016+0.00050295i,-0.0004963+0.00026886i,-0.00012136+0.0002459i,0.00022608+0.00013009i
-0.0013372-0.00097918i,-0.0012906-4.2249e-05i,-0.0012753+0.00029427i,-0.0010856+0.0006533i,-0.00062274+0.00072266i,-0.00031237+0.00035701i,-0.00019545-0.0003152i,-9.0088e-05-0.00099074i,-0.0002915-8.6011e-05i,-0.00043727+0.0009401i,3.6445e-06+0.0010036i,0.00062999+9.0655e-05i,0.00017267-0.00052841i,-0.00022922-9.4471e-05i,-0.00017474+0.00027779i,-0.00026425+0.00045271i,-0.00057092+0.00058581i,-0.00041554+0.0012358i,0.00021739+0.0011601i,0.00028426-5.6595e-05i,0.00045238-0.00056526i,0.00011007-0.00034699i,-0.00069699-0.00025279i
-0.00025918+0.00026199i,0.00011621+0.001125i,0.00081621+0.00071542i,0.0017999-0.00021188i,0.0029134-0.00026709i,0.0023714-0.0010214i,0.00084973-0.0010286i,-0.00019546-0.00050207i,-0.0002404-0.00020861i,-5.062e-05+0.00030373i,-0.00032005+0.00061765i,-0.0006691+0.00092905i,-0.00064496+0.00090376i,-0.0002197+0.00042571i,0.0001454-0.0001775i,0.00026174-4.5392e-05i,0.00051531+4.1662e-05i,0.00081594-0.00022187i,0.00083559+0.00024695i,0.00034391+0.00084409i,-0.00052536+0.00052179i,7.8704e-05+9.5325e-05i,0.00075184+1.8785e-05i
0.00115+0.0021699i,0.0014717+0.0012054i,0.0018958-0.000318i,0.0016953-0.0010232i,0.00012732-0.0018169i,-0.0012033-0.0025448i,-0.00098389-0.0013873i,-0.00060132-0.00016436i,-3.1072e-05-0.00027357i,0.00021893-0.00036288i,0.00017969-0.00023472i,0.00038461+0.0001315i,-6.5465e-05+0.00060212i,-0.00027153+0.00089642i,-0.00016149+0.00086327i,0.00035911+0.00093341i,0.00058985+0.00070398i,-6.0821e-05-0.0001979i,-0.00070962-0.00066126i,-0.001075-0.00021782i,-0.0013853-0.00025473i,-0.00072768-0.00056669i,0.00026919-0.00069826i
0.00092571-0.00010776i,0.0014343+0.00068128i,0.0014822+0.00059335i,0.0012263-4.609e-05i,0.0010722-0.0005397i,0.00019597-0.00047204i,-0.00061597-8.3852e-05i,-0.00025012-0.00012641i,0.0005599-0.00046108i,0.0010521+0.0002199i,0.00036785+0.0007371i,-0.00023169+0.00047576i,-0.00010641+9.1957e-05i,1.8589e-05-7.4459e-05i,0.0006919+0.00042631i,0.0011713+0.0010644i,0.00059347+0.00067643i,0.00057549+0.00051614i,0.00069702+0.00043433i,0.00058671+0.00051071i,0.00051873+0.0011815i,-3.0157e-05+0.00065023i,-0.00022435-0.00020555i
-0.0017976+0.00025157i,-0.0016762-0.00019419i,-0.00019973-0.00053201i,0.0012603+0.00033788i,0.0020109+0.00049093i,0.0017399-0.00063927i,0.00045768-0.00092383i,-0.00045925-0.0005781i,-0.00081344-0.00064092i,-0.00041602-0.00023281i,9.8537e-05+0.00042822i,0.00017825+0.00038885i,0.00022804+0.00013638i,-1.1605e-06-0.00027927i,-0.0005729-0.00074742i,-0.0003981-0.0006518i,0.00055822-0.00081946i,0.0011004-0.0011972i,0.0010173-0.00052708i,-0.00021357+0.00058754i,-0.0014237+0.0005346i,-0.0016244+0.00012657i,-0.00088937+0.00050273i
0.00046548-0.0013578i,-8.3836e-05-0.00056924i,-0.0028542-0.00011722i,-0.0031919+3.2971e-05i,-0.0012185+0.00031433i,-0.00029198+0.00075843i,0.00019812+0.0006554i,0.00021936-0.00011046i,-0.00031389-0.00080839i,-0.00088088-0.00062607i,-0.00039022+0.00030713i,0.00095949+0.00011396i,0.0012166+0.00037576i,0.00074204+0.0010342i,0.00069411+0.00012217i,0.0011909-0.00012768i,0.00095112+5.1826e-05i,0.00073348-0.00022624i,0.00033705+6.5064e-05i,-0.00054171+0.00041189i,-0.00042564+0.00053284i,0.00065526+0.00030451i,0.00071856-0.00014969i
-0.00095748+0.0014983i,0.00021487+0.00022931i,0.00078164+0.00021302i,0.0010051+0.0014068i,0.0011208+0.0007429i,0.0013561-0.0012768i,0.00080543-0.0018153i,0.000473-0.00066066i,-9.5602e-05+0.00016723i,-0.00035807+0.00094814i,0.00028897+0.0015155i,0.00042112+0.00042502i,8.1296e-05-0.0005986i,-0.00030041-0.00041673i,-0.0010088-0.00017924i,-0.00085962+0.00043711i,0.00058537+0.0011449i,0.0010065+0.00078553i,0.00046816+0.00054412i,-0.00013831+0.00066904i,8.8553e-05+0.00029057i,0.00041653-0.00031215i,7.4185e-05-0.00049057i
-9.9214e-06-0.00022229i,0.0012063-0.00032775i,0.0016513+0.00025135i,0.00098974+0.00039973i,9.6682e-05-0.00077023i,4.8601e-05-0.0013637i,0.00014376-0.0014897i,-0.00075743-0.0016661i,-0.0010446-0.0011267i,-0.00046531-0.00010151i,0.00022512+0.00060538i,0.0010207+0.00077428i,0.001591+0.00046261i,0.0015239+6.9623e-05i,0.00092794+0.0002395i,7.6759e-06+0.00057377i,0.00039199+0.00048796i,0.0013769+0.00092488i,0.0014405+0.0012003i,0.00076779+0.0003343i,0.00022773-0.00020049i,4.0889e-05-0.00036577i,0.00027999-0.00034893i
-0.00013095-0.0013808i,0.00037243-0.0018097i,0.00069844-0.0018903i,-0.00052919-0.00098106i,-0.001208+6.5969e-05i,-0.00082047+7.3992e-05i,-0.00010698-0.00035966i,0.00052688+0.00016064i,0.00078669+0.00062317i,0.00075049+0.00061993i,0.00030528+0.00048987i,0.00028784-3.7374e-05i,0.00080262+0.00018537i,0.00064661+0.00067522i,-0.00022907+0.0004512i,-0.00035287+0.00023471i,0.00046386+0.00017855i,0.0010576+2.6121e-05i,0.00050128+0.00014581i,-1.5222e-06-0.00040214i,0.00075827-0.00041994i,0.00093125-3.1219e-05i,-1.0174e-05-0.00065823i
-0.0014501-0.00043161i,-0.0017371+1.915e-07i,-0.0018533-2.562e-05i,-0.0012826-0.00010437i,-0.00056713-0.00010046i,-0.00023464-0.00020151i,-0.00021141-0.00039198i,-0.0005046-0.00094027i,-0.00059186-0.00016291i,-0.0010048+0.00024695i,-0.00093952-0.00038995i,-0.00016806-0.00061063i,0.00059751-0.00033063i,0.00066348+0.00024323i,0.00062306+2.4483e-05i,0.00095559-0.00048291i,0.00065653+8.7545e-06i,5.1215e-05+0.0005824i,0.00024334-0.00014196i,4.6557e-05-0.00026773i,-3.3147e-05+5.6923e-05i,2.0058e-05+0.0001607i,-0.00031345+0.00050431i
-0.00058635-0.0010051i,-0.00010575-0.00032011i,-0.00062399+0.00020215i,-0.00044686+0.00086621i,0.0001298+0.00096599i,-0.00029714+0.00082399i,-0.00093333+3.6133e-05i,-0.00057019-0.00061878i,-0.0002794-0.00026944i,-0.00046612-4.1719e-05i,0.0002616+0.00030106i,0.00024992+0.00081485i,-4.4011e-05+8.8635e-05i,0.00057065-0.00089515i,0.0012502-0.0012815i,0.0019075-0.00079816i,0.0015872-0.00018934i,0.00045552-0.00061483i,0.00013581-0.00054996i,0.00039882-4.3525e-05i,0.0012181-0.0003224i,0.0012915-0.00045004i,0.00022584-0.00043711i
0.0020066+0.00089146i,0.0012157+0.00079154i,-2.8158e-05-0.00013936i,0.00026188-0.00092535i,0.00089053-0.0012825i,0.00070232-0.0010977i,0.00025118-0.00069515i,2.075e-05-0.00027478i,0.00015162-0.00055737i,0.00053906-0.00028771i,3.993e-05+0.00064007i,-0.00090818+0.00087304i,-0.0010203+0.00056462i,-0.00060387+0.00022653i,-0.00025176+0.00011258i,-0.00016534+0.00073444i,0.00051768+0.00060022i,0.00055398+0.00051806i,0.00017274+0.00057537i,-0.00012077+0.00049098i,-0.00011747+0.00018533i,0.00053203+0.00010785i,0.00070088+0.00015803i
0.00018755+0.00023518i,-0.0001626+0.00091062i,-0.00029612+0.0013587i,-0.00019594+0.0016919i,7.4799e-05+0.001258i,7.7632e-05+0.00030899i,-0.00011837-0.0011753i,-0.00030301-0.0012706i,-0.0003522-0.00011305i,0.00021309+0.00082947i,0.00060943+0.00046118i,0.00058575-0.00036839i,0.00062408-0.0002972i,0.0006453+0.00034217i,0.00065804+0.00069652i,0.00038307+0.00064393i,0.00049697+0.00020762i,0.0013605+0.00011063i,0.00074709+0.00023081i,-0.0003378-5.5436e-05i,-4.6831e-05-0.00020342i,0.00047035-0.00030255i,4.7948e-05-0.00040099i
0.0005424-0.00070316i,0.00057272-0.0013765i,0.0011737-0.0016709i,0.0015138-0.0016604i,0.00015875-0.00075636i,-0.00067168-0.00018294i,-0.00059734-7.1492e-05i,-0.00079625+0.00017579i,-0.00059062+0.00021437i,-0.00020103+0.00034639i,0.00030033+0.00013i,0.00080125+0.00064963i,0.00081327+0.001278i,0.00080161+0.0011128i,0.00093876+0.00027616i,0.00069951+0.00022403i,0.00077467+0.0001323i,0.00093324-0.00050364i,0.00035703-0.00033165i,-0.00010057-0.00013433i,-0.00026232-0.00072868i,-0.0004423-0.00056396i,0.00037907-5.1354e-05i
-0.0012883-0.0010986i,-0.00079859+0.0008076i,-0.00090616+0.0017951i,-0.00014482+0.0022387i,0.00063801+0.0024383i,4.5571e-05+0.0011473i,-0.00039515+9.1093e-05i,-0.00035499+0.00040038i,-0.00089043+0.0006406i,-0.0010677-3.0687e-05i,2.1915e-05+0.00054826i,0.00078962+0.0010983i,0.0013246+6.8453e-05i,0.0015471-0.00019424i,0.0011955+0.00043382i,0.00083588+0.00070244i,0.00061664+0.00019317i,-1.8455e-05-2.9024e-06i,-0.00010513+0.00015737i,0.00018252-9.1122e-05i,-0.00012305+4.1619e-05i,-2.2831e-05+0.00048995i,0.00016218+0.00048765i
0.0010076+0.0023196i,0.00099359+0.0013824i,0.00035135+0.0013661i,0.00064592+0.00055908i,0.0012327-0.00045196i,0.0013171-0.0013836i,0.00063185-0.0022609i,-0.0002306-0.0018844i,-0.00035651-0.00032397i,-0.00065367+0.00063927i,-0.00030674+0.00074018i,-0.00023223+0.0012441i,-0.00044787+0.0014304i,-0.00051949+0.00084243i,7.6472e-05+0.00062039i,0.00070896+0.0012354i,0.00065721+0.0010713i,0.00021683+0.00067491i,0.00022917+0.00028658i,0.00018917-0.00020816i,6.0695e-05-0.0003502i,6.3991e-05+7.7311e-05i,-9.4033e-05+0.00075765i
