-0.0033158+0.00050816i,-0.0030508+0.00077141i,-0.0025555+0.0021421i,-0.0014311+0.0028111i,-0.0005691+0.0035521i,3.9283e-05+0.0036927i,0.0011112+0.0021632i,0.0016283+0.0010721i,0.00077105+0.0015761i,0.00058824+0.00096676i,0.001083-0.00038568i,0.0010863-0.0013601i,0.00039581-0.0018671i,-0.00085699-0.0015207i,-0.0010154-0.00043816i,-0.00058922-0.00032527i,-0.0001887-0.00061172i,0.00089653-0.00041138i,0.0010675-0.00018587i,0.0006771+8.8601e-05i,9.9358e-05+1.0598e-05i,-0.00017892-0.00019676i,0.00054333-0.00031846i
7.9635e-05+0.0011954i,-0.00015207+0.00080114i,3.9775e-05+0.00063825i,-9.0025e-05+0.00025345i,0.00037491-0.00025892i,0.00051895-0.00047797i,0.00034355-0.0004379i,-0.00032064+2.1103e-05i,-0.00053538+0.00090487i,-0.00025059+0.00031027i,0.0003023-0.00010033i,0.00050852+0.00097709i,-0.00076374+0.0016862i,-0.00090433+0.0012942i,-0.0001134+0.0010517i,7.1718e-05+0.00065372i,0.00024083+0.00044578i,0.00045654+8.3637e-05i,0.00061596-9.3551e-05i,0.00064425+0.00046281i,0.00065127+0.00011436i,0.00027671-0.00052821i,-6.4859e-05-0.00031073i
0.00018913-1.529e-05i,-0.0011698+0.00029344i,-0.00048021-0.0011407i,0.00016119-0.0018208i,-0.00070496-0.00091809i,-0.0012789-0.00042704i,-0.00055267+4.8942e-05i,0.00032763+0.00038129i,0.00064756+0.00016267i,0.00072815+0.00021904i,0.00045718+0.00060221i,-0.00012841+0.00064591i,-0.00018557+0.00061774i,0.0010109+0.0010173i,0.0012098+0.0012894i,0.00039814+0.00089262i,8.2248e-06+0.00075591i,-6.7452e-05+0.00021186i,0.00022248-4.5371e-05i,0.0001721+0.0006645i,0.00029951+0.00047982i,0.00080807-0.00034496i,0.00058923-0.0001741i
0.00048498-0.0017931i,0.0017018-0.0019375i,0.0017367-0.0012307i,-9.9936e-06-0.0010188i,-0.00084196-0.0001357i,-0.00020833+0.0013787i,0.00035608+0.0014496i,0.00039021+0.00012941i,-0.00025015-0.00039367i,-0.00058181-0.00025628i,-3.5e-05-0.00028012i,0.00044606-0.00041314i,0.00053586-0.00075428i,0.00052477-0.00070417i,0.00024453+3.6516e-07i,-0.00016664+0.00038326i,-0.001252-0.00025401i,-0.0019763-0.00056203i,-0.00064381-6.3944e-05i,0.0001133+8.9086e-05i,-0.00039096-0.00052882i,-0.00033673-0.00052321i,-4.1084e-05+0.00095038i
-0.0005872+0.00020704i,-0.001065-1.4844e-05i,-0.0011405+0.00023275i,-0.0012135-0.00050851i,-0.0012171-0.00098012i,-0.0012645-0.0007317i,-0.00058698+4.3186e-06i,0.00026218+0.00042671i,0.00086401+0.00092546i,0.0011114+0.0011673i,0.00086792+0.0008199i,-5.066e-05+0.00021518i,-0.00053719-0.00061188i,-0.00061817-0.00068554i,-0.0009133+0.00019201i,-0.00075288+0.00067806i,-0.0002159+0.00037113i,0.00046501+0.00038207i,0.00071041+0.00067369i,0.00040801+0.00057082i,2.61e-06+0.00035573i,5.6077e-05-0.0003977i,0.00019367-0.00055859i
0.0014718-0.00011665i,0.00092992-0.00019768i,-0.0001806-0.00090487i,-3.4475e-05-0.0006998i,0.00021344+0.00030192i,0.0002659+0.00045935i,-5.889e-05-0.00064917i,-0.00053925-0.00075249i,0.00016102-2.8422e-06i,0.00063023-4.0637e-05i,0.00019801+0.00015842i,0.00038723+0.00051296i,0.0013259+0.00047338i,0.0014232-0.00010963i,0.001006+0.00011023i,0.00048192+0.00074158i,0.00010922+0.00016456i,0.00025736-0.0006595i,-7.1544e-05-0.00047268i,-0.00063149-0.00026373i,-0.00062202-0.00054093i,-0.00021814-0.0003821i,-0.00012124-0.00040741i
-0.00031931+0.00086075i,0.00024784+0.0010303i,0.00055036+0.00076956i,0.00044116+0.00028149i,0.0005015-0.00022047i,0.0013042-0.00053101i,0.0014685-0.00081833i,0.0004216-0.0013894i,0.00083932-0.00074787i,0.0011936+0.00074228i,8.6104e-05+0.0013989i,-0.00070871+0.00076194i,0.00034836+5.9286e-05i,0.0012439+0.00034295i,0.0006306+0.0003599i,5.7487e-05-0.00015082i,-6.8736e-05-0.00054732i,-0.00037489-0.00034498i,-0.00025869+8.8153e-05i,0.00013623+0.00018329i,0.00017809+2.5954e-05i,2.5945e-05-0.00033797i,0.00024758-0.00043597i
0.0023114-0.00066521i,0.0018562-0.00099229i,0.00066344-0.001814i,-0.00083318-0.0018833i,-0.00083219-0.0007877i,-0.00051961-0.00028502i,-0.00024002-0.00041139i,0.00064825-0.0005785i,0.00086093-0.00076211i,-6.7682e-05-0.00051874i,-0.00026577-0.00014029i,-0.00028651-0.0001838i,-0.00019532-0.00037196i,6.077e-05-0.00037779i,0.00059236-0.00012888i,0.00046209+0.00032231i,0.00043836+0.00098179i,0.0003896+0.00090937i,9.2109e-05+3.298e-05i,0.00032968+9.7997e-05i,0.00028939+0.00088479i,0.00012689+0.00095618i,-0.00034022+0.00058442i
0.0024695+0.00096549i,0.0022581-0.00056323i,0.0035036-0.00083468i,0.0024613-0.0016065i,0.00022589-0.0022913i,-0.00060205-0.0012367i,0.00016451+0.00040449i,0.00063164+0.00086724i,0.00093896+0.00054752i,0.00095603+0.00063989i,0.00076043+0.00029045i,0.00011568+0.00014328i,-0.0011876+0.00029532i,-0.0010948+0.00073799i,9.3533e-06+0.0012291i,0.00013494+7.4564e-05i,-1.3573e-05-0.00075379i,0.00061105+0.00010946i,5.4829e-05+0.00033022i,-0.0010596+0.00016331i,-0.00068749-0.0001754i,-0.00071075-8.611e-05i,-0.00054349-9.7553e-05i
-0.0019983+0.0018717i,-0.0025641+0.0021942i,-0.0024692+0.0018044i,-0.0014091+0.0015307i,0.00036629+0.00082667i,0.0010276-7.2673e-05i,0.00048002-0.00029159i,9.9676e-05+0.00027707i,0.000719+0.00053963i,0.0013172+0.00068351i,0.0013833+2.3621e-05i,0.00099815-0.00044472i,-9.9664e-05+0.00037019i,-0.00024642+0.00066663i,4.0988e-05-0.0002942i,-0.00049337-0.00062538i,-0.00093753+0.00035801i,-0.00073851+0.00018252i,-0.00030554-0.00018316i,-0.00034247-0.00031129i,-0.0011027-0.00093358i,-0.0012027-0.0004075i,-0.0004904+0.00043382i
0.00059581-0.0019666i,0.0010532-0.0014053i,0.00077751-0.00068038i,0.00036525-0.0005048i,3.4705e-05-0.00063698i,4.909e-05-3.9549e-05i,1.2069e-06+1.5262e-05i,6.2294e-05+0.00036832i,4.4183e-05+0.00076548i,0.00019305+0.00036895i,0.0003652-0.00055857i,0.00016628-0.00083113i,-0.00044671+7.6386e-05i,-0.00086941+0.00086017i,-0.00020637+0.0011679i,0.00025526+0.0011005i,-6.2391e-05+0.00027289i,0.0002151-0.00013439i,0.0007524+0.00029559i,0.0010829+0.00062085i,0.0010663-9.2359e-05i,0.0002413-0.00063791i,0.00012371-0.00020524i
0.00099105+0.0020977i,0.0011048+0.0016688i,0.0011786+0.00018399i,0.00057525-0.00032173i,-0.00068347-0.0003095i,-0.00079935-0.00055033i,0.00036273-0.00071548i,0.00058949-0.001085i,-5.963e-05-0.0012625i,-0.00016326-0.00057006i,-0.00037216-7.4029e-05i,-0.00057859+0.00040847i,-0.00048407+0.00097469i,0.00015299+0.0010227i,0.00054858+0.00048966i,0.00044017+0.00010604i,-7.8364e-06+0.000132i,-0.00059777+0.00019878i,-0.00040787-0.0002105i,0.00045616-0.00027681i,0.00047926+6.0783e-05i,0.00073753+0.00032705i,0.0012358-9.1686e-05i
0.0013936-0.0011353i,0.0014897-0.0024346i,0.0011671-0.0026212i,3.847e-05-0.0015334i,-0.00062519-0.00034466i,-6.5023e-05-7.3163e-05i,0.00072641-0.0007095i,0.00071703-0.001144i,0.00058321-0.0005856i,4.5181e-05-0.00042357i,-0.00033684-0.00084971i,-0.0009093-0.00065797i,-0.0003838-0.00026229i,0.0010937-0.00027789i,0.0010267-7.6268e-05i,-0.00021291+1.499e-05i,-0.00098234+0.00048101i,-0.00056391+0.00036374i,7.3411e-05-9.4769e-05i,0.00038369-0.00034594i,0.00086243-8.7612e-07i,0.00088814+0.0010825i,0.00064686+0.0013719i
-0.0018225+0.00229i,-0.0019279+0.0019401i,-0.0015248+0.0008975i,-0.0004395-0.00027611i,0.00054447-0.0010326i,0.00068708+9.2174e-05i,0.00035149+0.0012715i,0.00026603+0.00097098i,-0.00054273+0.00015221i,-0.0010748-4.8294e-05i,-0.00096955-0.00040767i,-0.0010236-0.00036444i,-0.00022308-0.0002578i,0.00054293+0.00062229i,0.00097929+0.0012662i,0.0011596+0.0005195i,0.00012199-8.7259e-06i,-0.00029475-0.00019608i,0.0010032-6.3228e-05i,0.001253+0.00074639i,0.00020667+0.00094625i,1.3722e-05+0.00058804i,-2.1236e-05+0.0002361i
