0.0016234-0.00022919i,0.00025007-0.0012518i,-0.0010921-0.0027374i,-0.0018575-0.0036563i,-0.0032816-0.0033956i,-0.0038618-0.001035i,-0.0022843+0.00052039i,-0.00026825+0.0010675i,0.00082339+0.0015769i,0.00084637+0.00099523i,0.00028525-0.00010836i,0.0002633-0.00037273i,0.00037814-0.00025817i,0.00067334-5.4092e-05i,0.00092884+0.00027091i,0.0012593+0.0004221i,0.00078674-0.00015567i,0.00045875-0.00081278i,0.00068516-0.00098042i,0.00028366-0.00057973i,-0.00012852-2.3869e-05i,-0.00045546-0.00038379i,-0.00089779-0.0010274i
-0.0013049+0.00066619i,-0.00030518+0.0009168i,-0.00046874+5.2842e-05i,-0.0014263-0.00071745i,-0.0018275-0.00060001i,-0.0010281+6.7448e-06i,0.00061937+0.00032529i,0.0013201-0.00010318i,0.00096243-0.00014823i,0.00033253+0.00017074i,-0.0005793+0.0004303i,-0.0009667+3.6663e-05i,-0.00050051-0.00024759i,-0.00054611+0.0004266i,-0.00020635+0.00058955i,0.00062395-3.39e-06i,0.00017965-0.00024704i,0.0001068+0.00022014i,0.000587-0.00016972i,0.00030467-0.00067449i,-0.00019995-0.00043962i,-0.00032417+0.00021742i,-0.0014294+0.00022729i
-0.00013699+0.00081977i,0.00052245+0.000535i,0.00055856+0.00014846i,-0.00029925-0.00081695i,-0.0013683-0.0013985i,-0.0012035-0.0012894i,-0.00059026-0.00057641i,0.00026995-0.0013999i,0.0005873-0.0017394i,0.00029607-0.00040978i,0.00022072+0.00046621i,0.00037446+0.00032116i,0.00027451+0.00045237i,-0.00052424+0.00011287i,-0.00018612-0.00050754i,-0.00011631-0.0005226i,-0.00091763-0.00026507i,-0.00050704-9.1738e-06i,0.00080692+0.00034209i,0.00074208+0.00030812i,0.00025706+0.00030159i,-9.3771e-05-0.00020749i,-0.00033263-2.573e-06i
-0.0026934-7.4493e-06i,-0.0015932+0.00066752i,-0.0014082+0.00094902i,-0.001511-0.00076412i,-0.0013602-0.0020395i,-0.0019292-0.00074233i,-0.0019477+0.00066177i,-0.0009781+0.0001946i,-0.00076433-0.00036664i,-0.0012196+0.00027541i,-0.00065495+0.00076813i,-0.00053815+0.00047844i,-0.00042979+0.00015375i,-0.00020005+0.00010409i,-0.00031104+5.1454e-05i,4.1557e-05+0.00026235i,0.00043793+0.00012714i,0.00035203+0.00016427i,5.5327e-05+0.00019205i,0.00031192-0.00026514i,0.00028788-0.0003772i,-0.00035564-0.00022601i,-0.00037148-0.0002535i
-0.00016097-0.0006316i,-0.0010262-0.00036298i,-0.001194-0.00050822i,-0.00079002-0.0013526i,-0.00093195-0.0016761i,-0.0013019-0.00030398i,-0.0013188+7.0225e-05i,-0.0011739-0.00076502i,-0.00095033-0.00088073i,-0.00028551-0.00071073i,-0.00023527-0.00065217i,-0.000612-0.00051452i,-0.00073778+0.00046012i,-0.00075799+0.0011056i,-0.00065999+0.00051828i,-0.00034196+0.00023283i,2.2173e-05+0.00049159i,-0.00023978+0.00045792i,-0.00025396-0.00034837i,-0.00037474-0.00030405i,-0.00038814+9.4903e-05i,7.8665e-05-0.00073193i,0.00037365-0.0012182i
-0.000489-0.00030352i,-0.0008784-0.00066426i,-0.0020183-0.00096938i,-0.0037683-0.00086755i,-0.0037089-0.00074944i,-0.0026819-0.00047298i,-0.0016336-0.00051766i,-0.00044454-0.00059455i,-1.1041e-05-0.00082317i,0.00046944-0.0002457i,0.00034629+0.00066772i,-0.00095813+0.00034982i,-0.0011849+0.0003594i,-0.00034929+0.00040462i,-0.00029585+0.00030673i,-0.00011064+5.7723e-05i,-0.00012104+5.7199e-05i,-0.00022609-0.00011199i,-0.0009184+8.0106e-05i,-0.0013997+0.000335i,-0.00058475+0.00017103i,-4.9787e-05+0.00031947i,-0.0002265+0.00033835i
0.0022152-0.00048432i,0.0020533-7.747e-05i,0.0019532-0.00045315i,0.001049-0.0013327i,-0.00067113-0.0016814i,-0.0016816+0.00022524i,-0.001289+0.00096518i,-0.00025785+0.00019443i,0.00017284-0.0011876i,0.00096181-0.002325i,0.00073126-0.0014663i,-3.5876e-05-0.00054836i,-0.00024012-8.1242e-05i,-6.3211e-05-3.3361e-05i,0.00017476-0.00018525i,-0.0004797+0.00052786i,-0.0006834+0.00089916i,0.00065359+0.0002939i,0.0010159-0.00043913i,1.2103e-05-0.00055759i,-0.00081836-0.00020988i,-0.00079279+0.00021729i,0.00027724+0.00024986i
0.00011069+0.00054077i,0.00039981+0.00023727i,0.00075922-0.00040669i,-0.00024656-0.0020604i,-0.0021953-0.0028104i,-0.0023831-0.0014417i,-0.0011387-0.00017428i,-0.00031184-0.00022741i,-0.00034884-0.0002474i,-0.00046266+0.00038741i,-0.00095408+0.00045497i,-0.00070953-0.00011062i,1.2624e-05-0.00056719i,0.00020096-0.00033599i,0.00040239-3.5299e-05i,0.0004984+4.6768e-05i,-4.9274e-05+5.867e-05i,0.00015848+0.00010493i,0.00013002-5.2442e-05i,-0.00048126-0.00018706i,0.00011916-0.00019201i,0.0001817-0.00019516i,-4.8726e-05-3.8966e-05i
0.0022128-0.0019487i,0.0012042-0.0024474i,-0.00059357-0.0042687i,-0.001802-0.0047242i,-0.0018112-0.0033478i,-0.001814-0.0014271i,-0.001111+0.0003431i,0.00052034+0.00042342i,-3.6484e-05-0.00044677i,-0.00087783-0.00065482i,-0.00034639-0.0010311i,-0.00062352-0.00057793i,-0.00097+0.00064171i,-0.00083135+0.00060491i,-0.00082539-0.00052768i,5.5253e-06-0.00049928i,-6.1504e-05+0.00047159i,-0.00024816+0.00017102i,-0.00033517-0.00056992i,-0.00049241-0.00065674i,0.00015121-0.0007299i,0.00084277-0.00046314i,0.00055184-3.2466e-05i
-0.0015768+0.00071211i,-0.00070158+0.00059245i,-0.00090918+0.00013097i,-0.001383-0.00097554i,-0.0025105-0.0019157i,-0.0029043-0.00096243i,-0.001764+0.00016671i,-0.0010356+0.00027057i,-0.00083424+4.1103e-05i,-0.00041896+9.4212e-05i,-0.00073057+0.0003885i,-0.0013046+0.00097346i,-0.00059245+0.0011601i,0.00036692+0.00059762i,-0.00029652-0.00036365i,-0.00021766-0.0013634i,0.00048423-0.0015013i,0.00047525-0.00065396i,0.00069618+0.00016479i,-0.00012824-0.00011863i,-0.001104-0.00025597i,-0.00076258+0.0004656i,-0.0004115-6.8135e-05i
-0.00022418+0.00014845i,0.00072644-0.00035058i,0.00081309-0.00095178i,-0.00059651-0.0022443i,-0.0013348-0.0033524i,-0.0019805-0.0023924i,-0.0011283-0.00052471i,0.00062346-0.00045524i,0.00031223-0.0011131i,-8.8916e-05-0.00080772i,-0.00029961+0.0001736i,-0.0011215+0.00085495i,-0.0013787+0.0011338i,-0.00062258+0.0011306i,-2.7662e-05+8.9989e-05i,-6.6098e-05-0.00074608i,0.00065544-0.00045527i,0.001396-0.00059134i,0.0011622-0.0009317i,0.0003551-0.00091567i,0.00019226-0.00023295i,0.00034294+0.00020618i,0.00018573+0.00036727i
