-0.0021372-0.00091746i,-0.0031802-0.00022316i,-0.0031393+0.00061103i,-0.0025399+0.00037663i,-0.0020103-0.00041573i,-0.0018307+9.3093e-05i,-0.0011579+0.0013791i,-4.0917e-05+0.0012829i,0.00050021+0.0010651i,0.0005726+0.0014458i,0.00078221+0.0013788i,0.00044989+0.00086796i,0.00032841+5.5858e-05i,0.00092841+0.00023695i,0.0012106-0.00034029i,0.00073741-0.00097603i,0.00069315-0.00035545i,0.00071112+0.00030988i,0.00027946-6.0196e-05i,0.00019569+0.00014914i,0.00016066+0.00032932i,1.1369e-05+0.000251i,-6.4626e-05+2.8669e-05i
-0.0032747+5.1107e-05i,-0.0031917+0.00085198i,-0.0026218+0.0022772i,-0.0021838+0.0031494i,-0.0011204+0.0034004i,0.00016545+0.0025568i,-0.00010409+0.00090118i,-0.00046033-0.00043063i,-0.00056038-0.0008158i,-0.00010606-0.00059719i,0.00085824-0.00049486i,0.00075459-0.00016975i,-0.00015947-1.6502e-05i,-0.00050395+0.00019295i,-0.00058431+0.00014962i,-0.00022163-0.0004288i,0.00042783-0.00073509i,4.6595e-05+0.00011994i,-0.00017785+0.0004991i,0.00012863+0.00032102i,0.0004905+0.0005572i,0.00040266+0.00099619i,-0.00016436+0.00052651i
0.002197+0.0011487i,0.00098242-0.00041898i,0.0016622-0.0018091i,0.0020486-0.0017584i,0.00068782-0.0011276i,0.00023213-0.00084928i,0.00062948-0.00092223i,0.00029921-6.9089e-05i,-0.00036014+0.00046896i,-0.0003774+0.00034484i,-0.00011439+1.3637e-05i,-0.00088884-0.00029527i,-0.00065638-0.00041439i,0.00025709-0.00018346i,-9.2901e-05+0.00016116i,-0.00016856+0.00014742i,0.00020521+4.6743e-05i,0.00081249+0.0002103i,0.0010206+0.00023271i,0.00057079+4.4836e-05i,0.00029121-0.00032797i,-2.9127e-05-0.00064733i,-0.00050922-0.00050493i
-0.00072343-0.00066138i,-0.0011966-0.00013139i,-0.0020333+0.00020344i,-0.0019962+0.00081083i,-0.00085973+0.0012938i,0.00014031+0.0010775i,0.00092561+0.00050558i,0.00052704-0.00025561i,-1.9052e-05-0.0010498i,-0.00041342-0.0015082i,-0.00087495-0.0010791i,-0.00078555-0.00061381i,-0.00046099-0.000565i,-0.00058001-0.00044913i,-0.00027264+2.6289e-07i,0.00044258-0.00020698i,0.0012611-0.00048137i,0.0013198+0.00018445i,0.00085475+0.00041942i,-2.2022e-07-0.00020042i,-0.00023435+4.0674e-05i,0.00036388+0.00026046i,0.00033222+6.0653e-05i
0.0021173-0.00087277i,0.0016872-0.00082737i,0.0015499-0.0015408i,7.3482e-05-0.0019635i,-0.00046244-0.0016542i,-5.9702e-05-0.00091677i,0.00017077-0.00066977i,0.00049477-0.0010458i,0.00068474-0.00086001i,0.00077973-0.00080171i,0.00063849-0.00028431i,-0.00040579+0.00041904i,-0.00066552+0.0001857i,-0.00010759-9.6208e-05i,-8.3012e-05+0.0001152i,-0.00028372+0.00019373i,-0.00084368+8.8272e-05i,-0.00048058-0.00046798i,0.00067231-0.0001059i,0.0010768+0.00059996i,0.0010428+0.00065457i,0.00039046+0.00021919i,0.00025407-0.00059098i
0.00040198+0.00020365i,0.00025823-0.00016204i,0.00014134+4.0932e-05i,-2.4154e-05+0.00090991i,-0.00079441+0.0007833i,-0.0004303+0.00042523i,0.00050316+0.00013801i,0.000666+4.9862e-05i,0.00074531-0.0005372i,0.00020168-0.0011377i,-0.00011182-0.00071934i,0.00033772-0.00088446i,1.2584e-05-0.00075222i,-0.00038826-0.00054651i,8.0679e-05-0.00079459i,-0.00015157-0.00044987i,-0.00044166-0.00012838i,-0.00061342-0.00049419i,-0.00037165+3.4881e-06i,3.2577e-05+0.0007967i,0.00049992+0.00082977i,0.0012358-0.00013695i,0.000695-0.0015163i
-0.0010906+0.00016924i,-0.0010108+0.00062715i,-0.00011556+0.001927i,0.00075576+0.0021047i,0.00077521+0.002021i,0.00070272+0.00112i,0.00051623-0.00024014i,0.00065726-0.00035282i,0.00062706+4.5394e-05i,0.00018562-5.9042e-05i,-0.00019147-0.0001734i,-0.00023527+8.2628e-05i,0.00049681+9.7313e-05i,0.00089024-0.00024712i,0.00058411-0.00016209i,-0.00023142-0.00010614i,-0.0014879+0.00042918i,-0.0013215+0.001011i,4.7221e-05+0.00042946i,0.0002317-0.00028307i,-3.5758e-05+0.00015887i,-0.00029419+0.00093786i,-0.00070077+0.00067826i
-0.0015618-0.0015558i,-0.0011332-0.0019987i,-0.0017641-0.0010371i,-0.0015844+0.00051373i,-0.001015+0.0015471i,-0.00034245+0.0014079i,0.00041426+0.00064638i,0.00081546-0.00050119i,-0.00020911-0.00099496i,-0.0008709-0.00039064i,-0.00035839-0.00037859i,-0.00020073-0.00054453i,-0.00034816-0.00069419i,-4.3908e-05-0.0010561i,0.00053917-0.0017516i,0.00050567-0.0019227i,-0.00052836-0.0019066i,-0.00059459-0.0012571i,0.00025327-0.0003648i,0.00020255-0.00039193i,-5.7334e-05-4.9475e-05i,0.00014875+0.00044533i,0.0001834-0.00011424i
-0.00059903-0.0010963i,-0.00089403-0.00035548i,-0.0021441+0.0011586i,-0.0021584+0.0012927i,-0.0014088+0.0007833i,-0.00038572+0.00036104i,-4.1655e-06+5.2901e-06i,0.00020566+0.00022941i,0.00049208-0.00053259i,-0.0006617+5.6208e-05i,-0.0019645+0.00079883i,-0.00093312+0.00051786i,8.3413e-05+0.00038458i,-4.8127e-05+0.00062089i,0.00087457+0.00026088i,0.00095925-0.00063168i,-3.1009e-05-0.00043822i,0.00017346+0.0003116i,0.00068334+0.00027953i,0.00026011-9.6448e-05i,-0.00069443+0.00029881i,-0.00096563+0.00055262i,-0.00094521+0.00020326i
0.00014839+0.0016105i,0.00065389+0.00075095i,0.00028546+0.00092206i,-0.00029027+0.00096011i,-0.00018758+0.00010295i,2.2467e-06-0.0010836i,0.00019427-0.001018i,0.00019474+4.4746e-05i,0.00058394-6.7893e-05i,0.00021433-0.00047389i,-0.00045319+1.6057e-06i,0.00053092-0.00043323i,0.00093808-0.00056539i,-1.9377e-05-0.00058017i,0.00023188-0.0009455i,0.00083986-0.0011342i,0.00046934-0.001602i,0.00030586-0.0014121i,2.478e-05-0.00010106i,-0.00022628-7.1256e-05i,4.2377e-05-0.00050669i,0.00023161+0.00015007i,-0.0005157+0.00099863i
-0.0021467+1.303e-05i,-0.0015604+0.00057553i,-0.0018705+0.0011867i,-0.0022233+0.0013237i,-0.0013731+0.0021981i,0.000264+0.0028679i,0.0011807+0.0023386i,0.00038788+0.00064587i,-0.00045644-0.00056248i,-0.00054847-0.00079864i,-0.00027706-0.00048504i,0.0002303+2.2556e-05i,0.00033285-8.0233e-05i,0.0001259-0.0012366i,0.00011491-0.0013292i,0.00017403-1.1641e-06i,0.00037076+0.00010979i,0.00061471+0.0005226i,0.00082471+0.00059827i,0.0010766+0.00030696i,0.00068435-0.00019685i,3.7555e-05-0.00071105i,-0.00030413-0.00018786i
0.00097934+0.00039074i,0.00053442-2.1094e-05i,0.00023983-0.0015378i,0.00070462-0.0012054i,0.0010517+7.749e-05i,0.0010771-9.6496e-05i,0.0016251-4.2216e-05i,0.0013706-2.4099e-05i,0.00030651-0.00054828i,0.00017126-0.00031661i,0.00014553-3.9792e-05i,-0.00034025+0.0008395i,-0.00066955+0.00072195i,-0.00058327-0.00046589i,-0.00045741-0.00049503i,-0.0006586-0.00072546i,-0.00047087-0.00086186i,-0.00040857-4.3031e-05i,-0.00072391+0.0010509i,-0.00017591+0.0012181i,0.00045221+0.00045342i,3.0502e-05-0.00042899i,5.4337e-06-0.00037811i
0.0024975+0.00093592i,0.0022616+0.0011497i,0.0022507+0.00021277i,0.0018368-0.00021178i,0.00062242+0.00037309i,-0.00033734+0.0011279i,-0.0006854+0.00077852i,-0.0005452-1.0513e-05i,-3.0499e-05-0.00075508i,-1.4037e-06-0.0018653i,-9.9403e-06-0.0023886i,-8.022e-05-0.001735i,-0.00075139-0.00038919i,-0.00031774+0.00010561i,0.00021209-0.00063821i,-0.00026622-0.00082424i,-0.00057733-0.00049855i,0.00023301-0.00033036i,0.00011164+6.3552e-05i,-2.4482e-05+0.00027114i,0.00027764+0.00052909i,0.00036692-6.0449e-05i,0.00093475-0.00064524i
0.001694+9.49e-05i,0.0012702-0.00021001i,0.0017904+0.00022744i,0.0016805+2.1511e-05i,0.0003793-0.00025896i,-0.00020272+0.00053516i,0.00039745+0.00028763i,0.00018678-0.00057164i,6.0412e-05-0.00095674i,-2.9501e-06-0.00083593i,-0.00080151-0.00067289i,-0.00053096-0.00061867i,-0.00031148+3.0056e-05i,-0.0012979+0.00027505i,-0.0020427-0.00045144i,-0.0013828-0.00028806i,-0.00020231+0.00013895i,0.00034773-0.00039309i,0.00040571-0.00059184i,0.00043731-0.00057277i,0.00035772-0.00049541i,0.0002256+0.00021651i,0.00030821+0.00011613i
0.0002281+0.003546i,0.00021792+0.0030176i,0.00084386+0.0029523i,0.0016639+0.0024971i,0.0017107+0.0020321i,0.00077597+0.0012277i,0.00082771+0.00060155i,0.00082367+0.00040287i,0.00040463-1.5193e-05i,0.001098-0.00036056i,0.00070929-0.0002266i,0.00013427-0.00064666i,0.00026073-0.0011757i,0.00031412-0.0010175i,0.00012412-0.00083278i,-6.4649e-05-0.00026793i,-0.00026978+0.00015693i,-0.00055456+0.00025225i,-0.00020239+0.00031759i,0.00050618+0.00034697i,0.0010441+0.00042603i,0.0007205+0.00013973i,5.0236e-05-0.00021178i
0.00208+0.00066206i,0.0023716+0.0006885i,0.0017716+0.00087286i,0.0012759+0.00083452i,0.00031933-0.00016448i,-0.00056219-0.00026984i,-0.00085109+0.00099247i,-0.00062902+0.00087756i,-1.1838e-05-0.00055058i,0.00024875-0.0010912i,-0.00079659-0.00048132i,-0.0012886+0.00038352i,-0.00028762+0.00010615i,0.00023167-0.00034826i,-0.00060023-0.00011839i,-0.0016476+0.00011973i,-0.0011353+3.6784e-05i,-0.00063627+3.9385e-05i,-0.00059814+0.00093604i,0.0002907+0.0010034i,0.00037214+0.00012394i,-0.00031206-0.00010719i,-0.00057382+6.9148e-06i
0.0030683-0.0009708i,0.0026374-0.0016751i,0.0014558-0.0027041i,0.0008202-0.0033876i,-0.00047462-0.0016236i,-0.001196+0.00042917i,-3.7314e-05+0.00087397i,0.00024948+0.00036631i,-0.00035724-0.00026i,-0.00074709-0.00097183i,-0.0010734-0.00063438i,-0.0007751+0.0003971i,-0.0014061+0.0003354i,-0.0014414+0.00010223i,-0.00069841+0.00046817i,-0.00037443+0.00051233i,-0.00010552+0.00023746i,0.00028909+0.00042939i,0.00094104+0.00052868i,0.00065854+0.00099896i,7.3475e-05+0.00055371i,-0.00044809+7.7361e-05i,-0.00023461-7.0702e-05i
0.00099574+0.0017929i,0.0005853+0.0014955i,0.00090502+0.0024426i,0.00094742+0.0019399i,0.00078225+0.00080913i,0.00084013+0.00055702i,0.00056405+0.00014933i,0.00042761-2.848e-05i,0.000174+0.00011867i,-0.00044193+0.00013758i,-0.00074055-0.00018982i,-3.0869e-05-0.00040519i,0.00070429+0.00033393i,0.00040704+0.0008384i,-0.00028913+0.00042372i,-0.00061824+4.8278e-05i,-0.00083098+0.00024294i,-0.000215+0.00028731i,0.00028689+0.00029019i,0.00029912+0.0004933i,-0.00015708+0.00064623i,-0.00055458+0.00041791i,0.00013645+0.00025891i
-0.0013039-0.00016908i,-0.0013275-0.00017259i,-0.0022011-0.00092889i,-0.0018702-0.00019829i,-0.00054188+0.00082144i,-5.6668e-05+0.00014003i,-0.00084272-0.00014034i,-0.0010101-0.00018576i,0.00016551-0.00038558i,0.00092521+0.00031204i,0.00037392+0.00047309i,3.546e-05-3.9953e-05i,6.0433e-05-0.00031552i,0.00023024+0.00011022i,-9.462e-05+0.0011623i,-7.2499e-05+0.0012719i,-2.5333e-05+0.00024652i,-0.00032306+0.00013469i,-0.00064328+0.00055032i,-0.0011919+0.00027369i,-0.00046057+0.0004946i,0.00018869+0.001012i,7.1282e-05+0.0010233i
0.00068824+0.0004073i,0.00072245-0.00054995i,0.0012184-0.0005075i,0.00032191-0.00062963i,-0.00073887-0.0004551i,-0.00048133+0.00016134i,0.00053975+0.0003432i,0.00087992-0.00058618i,0.00050955-0.0011572i,8.1295e-05-0.0012748i,-0.00041113-0.00089564i,-0.00061217-0.00032542i,-0.00060389-0.00055254i,-0.00049027-0.00046711i,-0.00032797-0.0011463i,0.00018862-0.001403i,0.00076242-0.00030146i,0.00149+0.00026845i,0.0015053+0.00073296i,0.00049427+0.0012001i,-0.00015876+0.0005532i,-0.000375-0.00025897i,-0.00054222-0.00011195i
0.00050272-0.00060365i,0.00030012-0.00057313i,0.00090801+0.00031686i,0.001291+0.00090299i,0.00098892+0.0014414i,0.00048041+0.00078911i,0.00017664+2.1157e-05i,0.0001584+7.3023e-05i,0.00055215+3.6543e-05i,0.00078379-0.00093191i,6.1723e-05-0.0014403i,-0.0010966-9.9658e-05i,-0.0013551+0.00025779i,-0.0011301-0.00057846i,-0.00031932-0.00054679i,-2.8564e-06-0.00062575i,-0.00017846-0.00061942i,0.00037449+0.00028146i,0.00055996+0.00072288i,0.00076375+0.00073705i,0.00040543+0.00049581i,0.00027191+0.00026244i,7.1135e-05+0.00062474i
-0.0019393-0.0001228i,-0.0011279+0.00019459i,-0.0016368+0.00099492i,-0.0018099+0.0015374i,-0.00097344+0.0016093i,-0.00072925+0.0011549i,-0.00014896+0.00066856i,0.00034692+4.4864e-05i,0.00023564-0.00010794i,-0.00042671+0.0009028i,-0.00080624+0.00045201i,-0.00054531-0.00091022i,7.5354e-05-0.00067867i,0.00050636-0.00044732i,0.00020628-0.0010835i,0.00022709-0.0012722i,0.00026185-0.0009463i,-0.00035285-0.00065827i,-0.00059239-0.00039823i,-0.00081316-0.00013142i,-0.00033358-1.0766e-05i,-0.00058214+0.00011856i,-0.001043-2.4295e-05i
-0.00053151+0.00021005i,0.00058226-0.00029197i,0.0010806-0.00012381i,4.4564e-05+0.00032408i,-0.00060305+0.0007445i,-0.0010359+0.00050872i,-0.00064387-0.00044876i,0.00031766-0.00089008i,0.00031727-0.00095376i,-0.00038432-0.00092959i,-0.00087799-0.00046351i,-0.00024511-0.00062448i,0.00070751-0.00092346i,0.00043426-0.0005662i,1.6804e-05-0.00022296i,0.00030703-0.00021274i,0.00072396-0.00024458i,0.0011666-9.4302e-05i,0.00064258+0.00031952i,0.00043737+0.00069077i,0.0005743+0.000268i,0.00054716-0.0010427i,-0.00022256-0.00023919i
-0.0010374+7.6839e-05i,-0.00112-0.00037535i,-0.00030705-0.00023395i,-0.00048368+0.0014132i,-0.0012946+0.0022441i,-0.001107+0.0018263i,0.00019125+0.00094303i,0.0014162+0.0005654i,0.00092436+0.00071779i,-0.00023259+0.00011834i,-0.00021865-0.00011527i,0.00026424+0.00010154i,0.00066301+0.00017545i,0.00050994-0.00042047i,9.8498e-05-0.0014876i,0.00019408-0.001253i,-0.00010999-0.00068227i,7.2042e-05-0.00034977i,0.00074699+0.00013513i,0.0011095+0.00078902i,0.00043708+0.00031487i,7.0918e-05-0.00077914i,0.00078387+2.3681e-05i
0.0019094-0.0004125i,0.0014008-0.00079557i,0.0019436-0.00013175i,0.0018865+4.9296e-05i,0.0006946-0.00069472i,0.00012099-0.00057494i,-0.00031143+0.00012773i,-0.00055965+0.00028672i,-0.00057675+0.00029331i,-0.0010379-0.00022917i,-0.0012223-0.00043143i,-0.0011805-0.0001887i,-0.00052927-0.00029874i,0.00033688-0.00042666i,0.0002792-0.00048216i,0.0001006-0.00030814i,0.00020698-0.0002345i,0.0011015-0.00071106i,0.0011812-0.00074751i,0.0005671+0.0002809i,0.0002071+4.1615e-05i,0.00035588-0.00093478i,7.2313e-05-0.00091885i
-0.00083619-0.00065326i,-0.000401+6.868e-05i,-0.0011497-0.00030982i,-0.0011281-0.00098472i,-0.00089511-0.00079657i,-0.00052065-0.00060819i,8.4773e-05-0.00068914i,0.00026553-0.0009639i,0.00060832-0.0015857i,0.00076986-0.0012637i,0.00062046+3.9414e-05i,0.00089685+0.00065457i,0.00056744+0.00082074i,1.9092e-05+0.00054977i,-0.00066719-0.00018446i,-0.00067664-0.00093657i,-0.00014218-0.00072405i,0.00035743-0.00015263i,0.00056363-6.0783e-06i,-0.00013473+0.00062923i,-0.00071226+0.00099266i,-0.0011798+0.00015329i,-0.0015832-0.00029127i
-0.00051972+0.00016705i,-0.00028072-0.00024694i,-0.00098965-0.00028194i,-0.0012513+0.0013036i,-0.00090702+0.0023195i,-0.00019889+0.0017267i,0.00053543+0.00080675i,0.00082478+0.00017411i,0.00067283-0.00022803i,4.2077e-05+0.00014835i,-0.00039396+0.00013141i,0.00011228-0.00038458i,0.0010103-0.00076395i,0.00037418-0.0012152i,-0.00013606-0.00071921i,-5.0817e-05-0.00017767i,-9.0196e-05-0.00020716i,0.0002492+0.00024853i,0.0005637+0.00021766i,0.00059011+2.5182e-05i,0.00033783+0.00043823i,9.7703e-05+0.00061598i,-0.00039322+0.00011536i
0.00085207+7.0701e-05i,1.2766e-05+0.00015534i,-0.00020424-0.00076176i,-0.0014455-0.0010731i,-0.002098-0.00041726i,-0.00057646-0.00027131i,0.00053651-0.00074036i,0.00054748-0.00093812i,-1.6222e-05-0.00032922i,-0.00050295-0.00036891i,-0.0010043-0.00075817i,-0.0016142-0.00062566i,-0.0010924-0.0001372i,-0.00016934-3.4238e-06i,-0.00051931-0.00018959i,-0.00051472+0.00023797i,-0.00018562+0.00056887i,-0.00031045+0.00056198i,-0.00062029+0.00055291i,-0.00042544+0.00059291i,-0.0001652-0.00026387i,0.00012344-0.00072409i,-0.00043532+0.00016853i
-6.9777e-05-0.00086342i,-0.0008946-0.001228i,-0.00029932-0.0011844i,-0.0004438-0.00035483i,-0.00024227-0.00056273i,0.0005627-0.00047777i,0.0005785-0.00086774i,0.00074575-0.0011674i,0.0006475-0.00065274i,0.00040775-0.00038611i,0.00023916-0.00030906i,-6.0023e-05-0.00063841i,-6.9885e-05-0.00038717i,-0.00036249+0.00012514i,-0.00095843+6.9533e-05i,-0.0013221-0.00069335i,-0.0013434-0.00085228i,-0.0008765-0.0001231i,2.7684e-05+0.00022147i,0.00012835+0.00063642i,-0.00050163+0.00067979i,-0.00068504-0.00019626i,-0.00068458-0.00051506i
-0.0012963+0.0011074i,-0.00075056+0.0012182i,-0.0004438+0.00094299i,-8.5668e-05+0.0010012i,-0.00013169+0.00085826i,0.00040314+0.00025384i,0.00062995-0.00033412i,0.00036377-0.00067329i,5.306e-05-0.0004138i,-0.00038873-0.00044721i,-0.00030403-6.8661e-05i,-0.00040446+2.4367e-05i,-0.00025403-0.00080794i,-0.0002941-0.0006673i,-0.00062123+8.9662e-05i,-4.7777e-05-0.0003364i,0.00091135-0.0011142i,0.00068994-0.0011316i,-0.00026932-0.00068454i,-0.00048675-0.00026037i,-2.196e-05-0.00042106i,0.00067341-0.0012934i,0.00051381-0.0013861i
-0.00060924+0.00046039i,-0.00027198+0.00026386i,-8.2479e-05+0.0012438i,-0.00017387+0.0025675i,-0.00016062+0.0025648i,0.00032611+0.0015895i,0.00012121+0.0004571i,-0.00017115+9.5397e-05i,0.0004349-2.588e-05i,0.00055129-0.00019689i,0.00027694-0.0005644i,0.00064507-0.00069422i,0.0013258-0.00056258i,0.00094013-6.2152e-05i,-0.00035497+0.00033104i,-0.00033056-0.00022436i,0.0003731-0.00081096i,0.00024804-0.000911i,0.00030326-0.00068539i,0.00061997-9.2299e-05i,0.00029356+0.00013496i,0.00020641-0.00014485i,0.00031391-0.00020461i
0.0010495-0.0017461i,0.00058389-0.0022587i,-5.7241e-05-0.0013217i,-0.00037394-0.00016273i,-0.00070304+0.00017975i,-0.0013432+0.00061149i,-0.00090328+0.00034493i,-6.8353e-05-0.00039353i,0.00054651-0.00042267i,0.0006879-2.761e-05i,1.1936e-05+0.00057432i,-0.00025221+0.00061353i,-0.00023136-0.00015968i,-0.00023603-0.00069022i,-0.00021327-0.00070809i,-8.7853e-05-5.391e-05i,-0.00036493-0.00031619i,-0.00014483-0.00080119i,0.0001384-9.6513e-05i,-0.00051051+0.00023444i,-0.00035928+0.00063665i,-0.00022143+0.00025557i,-0.00039518-0.00046655i
