-0.00015186+0.00022867i,0.0015567-0.00063041i,0.00091026-0.0020645i,0.00033215-0.0020604i,-0.00082622-0.00093774i,-0.001838-0.00013046i,-0.0009245+0.00091527i,0.00081705+0.0020315i,0.0017271+0.0023054i,0.0020291+0.0014385i,0.0018459-3.4095e-05i,0.00085417-0.00018981i,4.1407e-05-0.00010248i,0.00017091+0.00011421i,-2.5013e-05+0.00087635i,-0.0011007+0.00092816i,-0.00083815+0.00095816i,-6.0397e-05+0.00098123i,-0.00021651+0.00056521i,-0.0004882+0.00064261i,5.94e-05+0.00053582i,0.00087791+2.7925e-05i,0.00074827+6.9904e-05i
0.00088016-0.00078372i,0.00099098-0.0015862i,0.0011129-0.0021818i,0.00083553-0.0024529i,0.00032862-0.0028753i,-0.00085033-0.0030114i,-0.00039449-0.0019462i,0.0006841+0.00062791i,0.0014987+0.0014358i,0.0021791+0.00075587i,0.0012971+0.00020309i,0.00022701+6.206e-05i,-0.00017495+0.00029033i,-0.00024339-0.00016447i,0.00016425-0.00035899i,0.00058376-1.1985e-05i,0.00041203+0.00019884i,-0.0003759+0.00012256i,-0.00023542+0.00034475i,-4.7018e-05+0.00014547i,0.00029184+0.00011863i,0.00060154+0.00013022i,-0.00026058+0.00018308i
0.00028675-0.00048023i,-0.00061892-0.00070006i,-0.00029334-0.00029857i,6.9453e-05+0.00024382i,-0.00031588-0.00046047i,-0.00050802-0.0016248i,-0.001013-0.00066699i,-0.00037934+0.00087143i,0.00069234+0.0011338i,0.0009544+0.0011553i,0.00042276+0.00084802i,0.00010709+0.00016836i,0.00012982+0.00052909i,1.9566e-05-0.00016671i,0.00095012-0.0013479i,0.0015116-0.00082603i,0.0009111-0.00062236i,0.00085238-0.0007958i,0.00095321-0.00041469i,0.00084401+0.00042385i,0.0010645+0.00095786i,0.00075898+0.00045099i,0.00013479+0.00025991i
-8.8161e-05-0.00072527i,-0.00050312-0.0005006i,-0.0017801-0.00063174i,-0.0010814-0.0013776i,0.00043725-0.0014787i,0.00063302-0.0012007i,0.00027592-0.00054118i,0.0007423+0.0011481i,0.00076844+0.0021783i,0.00011296+0.0016723i,-0.00057254+0.00074718i,-0.0002026+0.00025194i,0.00074309+0.00035684i,0.001159+0.00052008i,0.00062351+0.00028983i,-0.00010796-0.00065187i,0.00016443-0.00072992i,0.00048727+2.8455e-05i,2.4347e-05+0.00028943i,-0.0007767+0.0001291i,-0.00048318+0.00035322i,0.00045702+0.00032034i,0.00043867-9.2473e-05i
0.00062294+0.0014649i,0.0012458+0.0004154i,0.0026176-0.00091294i,0.0025491-0.0032125i,0.0011928-0.0050718i,0.00018073-0.0043488i,-0.00089644-0.0023562i,-0.00059914-9.4834e-05i,0.00056758+0.0012004i,0.0005927+0.00066315i,6.5639e-05+0.00028864i,-0.00021563+7.5648e-05i,-0.00014761-0.00033176i,-0.00051478-0.00055573i,-0.00067516+0.00017014i,-0.00050381+0.00044772i,-0.00023978-5.0645e-05i,0.00012388-5.1613e-05i,-8.2459e-05-0.00013575i,0.00034574-0.00031634i,0.00041556-0.00019444i,7.6775e-05+1.2835e-05i,0.00021533+6.501e-05i
0.0011676+0.0016862i,0.0014846+0.00032888i,0.0016052-0.00018332i,0.00099809-0.00093365i,0.001242-0.0023983i,-0.00016364-0.0028804i,-0.0021524-0.0018522i,-0.0011238+2.034e-05i,0.00063428+0.0018914i,0.00084791+0.0014111i,0.00059852+0.00057308i,0.0009078+4.3889e-05i,0.0014601-0.0004377i,0.0010596+0.00040594i,0.00042562+0.00068673i,0.00072351+0.00044067i,0.00061523-4.5383e-05i,0.00097864-0.00096874i,0.00095643-0.00026792i,-0.00079431+0.00064442i,-0.001187+0.00076234i,-0.00045535+0.00045257i,0.00053092-0.00084186i
0.00015144+2.9979e-05i,-0.00040406-0.00044959i,-4.6106e-05-0.00080517i,4.5942e-05-0.0022553i,-0.0003143-0.003286i,-0.0006127-0.0027677i,-0.00060507-0.0010942i,4.3619e-05+0.00047211i,0.0010861+0.0011302i,0.0012664+0.00066824i,0.00098436-8.1706e-05i,0.00073896-0.00021574i,0.00042498-0.00049316i,-1.9675e-05-0.00066939i,9.8861e-05-0.00078506i,0.0011891-0.0012215i,0.0012708-0.00060465i,0.00055713+0.00043942i,-0.00014505+0.00087942i,-0.0004395+0.0011099i,0.00017366+0.00039002i,0.00026951-0.00040233i,0.00021828-0.00043869i
0.00018427-0.00017479i,2.0443e-05-0.00099443i,0.00035673-0.0012209i,0.00034074-0.00069106i,0.00048409-0.0015369i,0.00033119-0.0024284i,-0.00032646-0.0017225i,-0.00031381+0.0002209i,0.0005393+0.0013538i,0.00085653+0.00097513i,0.0004148+4.3855e-05i,0.00040469-0.00033797i,0.0010971-0.00023905i,0.001002+0.00014983i,0.00013793+0.00080195i,-0.00038206+6.4383e-06i,-0.0005802-0.0010022i,-0.0005514-0.0002426i,-0.00050155+0.00051607i,-0.00022953-2.8982e-05i,0.00058852-0.0001322i,0.00062381+0.0011934i,0.00016534+0.0013924i
-0.00039123-0.00059919i,-0.00063993-0.00059234i,-0.00051904-0.00067004i,-8.7413e-05-0.00073409i,-0.00019627-0.00153i,-0.00083399-0.0021233i,-0.00068864-0.00037354i,0.00027825+0.0014184i,0.0014289+0.001362i,0.001362+0.00063254i,0.00071422-5.9761e-05i,-0.00010146+2.4854e-05i,-0.00027057-0.0002664i,0.00077111-0.00099568i,0.00090978-0.00049918i,0.00070239+0.00046061i,0.00063382+0.00050548i,0.00066139+0.00060459i,0.00059167+0.00025297i,-4.0052e-05-0.00011531i,-0.00060789+0.00024231i,-0.00050604+0.00072488i,-0.00019733+0.00081598i
0.00016844+0.00038022i,0.00015388+0.00072179i,-0.00057037+0.0014352i,-0.00091181+8.4241e-05i,-0.00078515-0.001337i,-0.00091183-0.0010302i,-0.00088167-0.00057799i,-0.00024127+0.00049133i,0.00053314+0.0011359i,0.0010489+0.00084789i,0.00068422+0.00065897i,-7.0307e-05-0.00036183i,-0.00013739-0.0004226i,0.00025309+0.00059022i,0.00086376+0.00042672i,0.00054657-0.00063824i,0.00052712-0.00082129i,0.00096771-9.1603e-05i,0.00079753-6.6492e-05i,0.0010141-0.00066169i,0.00025126-0.00076146i,-0.00087845-0.00076375i,-0.00036872-0.00055306i
0.0014102+3.4124e-05i,-7.2882e-05-0.00080071i,-0.00038313-0.00067848i,0.00094599-0.00037591i,0.0014366-0.00087105i,-0.0010678-0.0013899i,-0.0018775-0.00071494i,-0.00034414+3.3396e-05i,0.00020105+4.16e-05i,0.00047491+0.00019818i,0.00058822+0.00025429i,0.00049005-9.1673e-05i,-0.00026422-0.00010426i,-0.00033353-9.067e-05i,0.00036795-0.0001032i,0.00021156-0.00018664i,-0.00035318-0.00016881i,-0.00058231-0.00048382i,-9.5037e-05-0.00070533i,4.6536e-05-0.00041458i,3.4952e-05+5.3909e-05i,-3.6202e-05+0.00029621i,-0.00016134+0.0002414i
-0.0011243-0.00016424i,-0.0024043-0.0003853i,-0.0015813+0.00085445i,-0.0012456+0.00056876i,-0.0011574-0.0015548i,-0.0010464-0.002221i,-0.0011959-0.0012488i,-0.00043389-2.303e-05i,0.00078442+0.00033331i,0.00080105+0.00048082i,0.00050557+0.00069653i,0.00056741+0.00039294i,0.00092646+9.976e-05i,0.00069794+0.00013151i,0.00040846-0.00044398i,0.00042629-0.00029902i,0.00084387+0.00070554i,0.0011016+0.00072652i,0.00069589+4.5283e-05i,-0.00029599+4.2225e-05i,-0.00068446-0.00013263i,-0.00032125-0.00069243i,0.00023433-0.00064767i
-0.00016956-0.00057169i,-0.00076404-0.0010373i,-0.0013217-0.00093498i,-0.0014552-0.0012863i,-0.00090302-0.0023633i,-0.0010713-0.0019994i,-0.0012535-0.00022338i,-0.00060874+0.00095466i,0.00035164+0.0010697i,-0.00010385+0.00010805i,-0.00087973-0.00035528i,-0.00086979+0.00025419i,-0.00080239+0.00010123i,-0.00033343-0.00039486i,8.0386e-06-0.00026772i,4.0568e-05+0.0002733i,7.3852e-05+0.00033313i,0.00072174+8.7621e-05i,0.00058882+0.00027517i,0.00034906+0.00068224i,0.00074727+0.00077655i,0.00091848+0.00071724i,0.00022709+3.5961e-05i
0.00074071-0.0011201i,-0.00041979-0.0019174i,-0.0012569-0.0035667i,-0.0007999-0.0043068i,-0.0011352-0.0039789i,-0.0016832-0.0028595i,-0.00050806-0.0010671i,0.00070077+0.00047682i,0.0020029+0.0021968i,0.0019414+0.0018119i,0.00069391+0.00076775i,0.00053211+0.0011179i,0.0012258+0.00098729i,0.0014309+0.00043434i,0.0014952-9.4288e-06i,0.0013688-0.00016321i,0.00094186+0.00018666i,0.00052435+0.00012054i,-0.00030482-0.00067171i,-0.00097935-0.00048827i,-0.00086194-0.00028107i,-0.00042132+3.4289e-05i,-2.277e-05+6.0911e-05i
0.00015327+0.00045945i,-0.00015348+0.00074343i,-7.4701e-05+0.00078652i,0.0001785-0.00039871i,0.00042677-0.0016668i,0.00021477-0.0019537i,-0.00011448-0.0011739i,0.00017154+0.00046142i,0.00091415+0.0013i,0.0014153+0.00093459i,0.00088341+0.00015243i,0.00048104-0.00062849i,0.0001228-0.00039038i,-8.1842e-05-0.00042488i,0.00074549-0.00092439i,0.0010364-0.000791i,0.00040657-0.0009825i,-5.5909e-05-0.00061582i,-0.00048945+3.0437e-05i,-0.00070488+4.2689e-05i,-0.00095699+0.00020333i,-0.00041447+0.00027665i,0.00035893-8.7075e-05i
0.00019149-0.00041767i,0.00038835-0.00076074i,0.0002025-0.0013666i,0.00020715-0.0025994i,-0.00051862-0.0031432i,-0.00098923-0.0027333i,-0.00083972-0.0019851i,-0.00056186-0.0003478i,-6.0547e-05+0.0012123i,-4.6529e-05+0.001004i,1.0272e-05+0.00039417i,0.00023779+0.00086814i,0.00052515+0.0009838i,0.0006093+0.00039053i,0.000585+0.00022915i,0.00052681+0.00020069i,0.00039513-0.00011165i,0.00055375+3.2688e-05i,6.227e-05+1.4289e-05i,-0.00089162-0.00016036i,-0.00064819+0.00045306i,-8.7535e-06+0.00088154i,0.00024816+0.00066281i
0.0019901-0.00037316i,0.0016032+3.8551e-05i,0.0010813-0.00072314i,0.0010423-0.0014416i,0.00038611-0.0019317i,-0.00060849-0.0021273i,-0.0013869-0.001224i,-0.00068525+0.00051826i,0.00070141+0.0019857i,0.00099213+0.0017679i,0.0008254+0.00073102i,0.00057957+0.00047839i,0.00011468+0.00082281i,-0.00030141+0.00083531i,3.0926e-05-8.9388e-05i,0.00058761-0.00024421i,0.00087388+0.00047883i,0.00084914+0.00070384i,0.00028767+0.00054644i,0.00024695+0.00068488i,0.0002589+0.00039163i,0.00042814+2.0596e-05i,0.00062384-0.00013957i
8.1988e-05-0.0011566i,0.00036659-0.0013408i,-0.00049284-0.0010839i,-0.0014796+3.1926e-06i,-0.0016903+0.00018305i,-0.00059104-0.00066629i,-0.00018429-0.00030141i,-0.00051347+0.00083722i,-9.9198e-05+0.0013497i,6.5098e-05+0.0013116i,-0.00024742+0.00091162i,0.00022975+0.00067012i,0.00082653+0.00060659i,0.0011395-0.00033333i,0.001012-0.00087417i,0.00041667-0.00013295i,0.00061644-0.00035648i,0.0008631-0.00050992i,-0.00011035-0.00069434i,-0.00039417-0.00062598i,-0.00030813-0.00022243i,-0.00073702-0.00041233i,-0.00059923-0.00010525i
-0.001731-5.5528e-05i,-0.00091287+0.00031016i,-2.1324e-05+0.00043037i,0.00029234-0.00016516i,0.00077575-0.0014509i,-0.00029233-0.0021004i,-0.0011977-0.00087772i,-0.00087087+0.00099107i,0.00017159+0.0015188i,0.00081661+0.00079957i,0.00077729+0.00018443i,0.00026688-0.00012879i,-7.6035e-05-0.00011585i,-0.00039089-0.00020922i,-0.00039637+0.00033301i,0.0005226+0.0012452i,0.00077833+0.0011147i,0.00033291+0.00030239i,-2.0326e-06-0.00014996i,-0.00055714+7.4661e-05i,-0.00011062+0.00031553i,0.0005819-0.00020944i,0.00057294-0.00057096i
0.00031658+0.0019511i,0.0012597+0.0015233i,0.002589+0.0010988i,0.0029048+0.0013019i,0.0022503+0.00093541i,0.00094783-0.00070321i,-0.0004331-0.00027847i,0.00010973+0.0013123i,0.0015695+0.0016245i,0.0015999+0.00076914i,0.0011415+0.00037876i,0.00069216+0.00037872i,0.00021963+0.00014704i,0.00017055+0.00050901i,0.00035389+0.00069543i,0.0003669+0.00035602i,-0.00033951+1.0225e-05i,-0.00070574+0.00027264i,-0.00029497+0.00061232i,-9.1278e-05+0.0004093i,-0.00034008+0.00030229i,-0.00050555+0.00060015i,-1.807e-05+0.0011517i
-0.00135-8.2872e-05i,-0.0018124+0.00057824i,-0.001374+0.00072045i,-0.00042527-9.2063e-05i,0.00046432-0.0019125i,0.00059905-0.0028935i,-7.0806e-05-0.0015708i,0.00053904-3.6802e-05i,0.001364+0.00058401i,0.0011859+0.00047863i,0.0014808-0.00014945i,0.0016245-0.00055124i,0.00086646-0.00028764i,0.00039395+0.00059939i,0.0005118+0.00084623i,0.00038394+0.00042559i,0.00061764-6.1336e-05i,0.00033478+0.00043842i,-0.0001348+0.00030127i,0.00056961-0.00037787i,0.00023657-0.00037533i,0.00014003-0.00077074i,-0.00020133-0.00099841i
-0.001233+0.0022021i,0.00065209+0.0032478i,0.0011318+0.0022504i,0.0018952+0.0002756i,0.0023393-0.0015105i,0.0014886-0.0027093i,1.3854e-05-0.0016969i,-0.00078068-0.00045482i,0.00037819+0.0012197i,0.0015441+0.0011416i,0.0011811-0.00086681i,0.00025699-0.0011061i,-0.0004219-0.00039663i,-0.00074876-5.5563e-05i,-0.00058758+0.00029894i,-0.0004925+0.00042482i,8.8718e-05-9.5929e-05i,0.00047372-0.00030812i,0.00028246+0.00020574i,0.00044092+0.00036793i,-0.00013316+0.00036822i,-0.00062928+0.00065129i,0.00017048+0.00052524i
0.001768-1.5409e-05i,0.0023782+7.5211e-05i,0.0018386-0.00024689i,0.0011632-0.0016807i,0.00076644-0.0033144i,-6.6627e-05-0.003485i,-0.0010379-0.0017158i,-0.00051235+7.7494e-05i,0.0004605+2.0159e-05i,0.00089751-0.00095265i,0.0013019-0.0010201i,0.0016099-0.00036333i,0.00085096-3.3194e-07i,-9.3486e-05-3.4702e-05i,-0.00035733+0.00026786i,0.00027345+0.00042338i,0.00092352-0.00031873i,0.00050295-0.00013262i,-0.00011319+0.00034414i,1.6423e-05-0.0005329i,0.00045015-0.00021491i,0.0004757+0.0010199i,2.2606e-05+0.00055777i
0.00017851+0.00077403i,-0.0002085+9.632e-05i,0.0006438-0.0010636i,0.0011956-0.0020341i,0.0008455-0.0027085i,-0.00047668-0.0022876i,-0.0011444-0.00078618i,-0.00069613+0.0010876i,0.00062763+0.0011818i,0.00067231-4.879e-05i,0.00038787-0.00042903i,0.00014653+9.6375e-05i,-0.00060205+0.00051432i,-0.00051775+0.0002708i,5.6318e-05+0.00053134i,0.00034184+0.00079903i,0.00036531+0.00053796i,0.00086089-0.00036519i,0.0011327-0.0015498i,0.00040001-0.0010329i,0.00010297+0.00033404i,9.3466e-05+0.0014403i,-0.00022808+0.0013762i
0.00036797+0.0021116i,0.00089284+0.00086588i,0.00096793+7.7271e-05i,0.00067242-0.0015657i,0.00023421-0.0027499i,-0.00094722-0.0028603i,-0.0014854-0.0019612i,-0.00106-5.3472e-05i,0.00022864+0.0013268i,0.0012117+0.0010044i,0.00063773+2.6101e-05i,0.0003007-0.00053519i,-8.6635e-05-0.00069748i,-0.00039697-0.00049504i,0.00022941-0.000818i,0.00061686-0.0013i,0.00039155-0.0011034i,0.00062332-0.00081034i,0.00039534-0.0010074i,0.00038006-0.0010024i,0.00085879-6.1151e-05i,0.00037332+0.0005267i,3.9935e-05+0.00075859i
-0.00030096-0.00094229i,-0.0013012-0.00047182i,-0.0018549-0.0013312i,-0.0014161-0.0014219i,-0.0015492-0.001193i,-0.0015371-0.00098701i,-0.00099091-0.00032563i,0.00017579+0.00017303i,0.00042371+0.00046582i,0.00021024+0.00014538i,0.0005165-0.00010636i,0.00065633-9.7898e-05i,0.00058324+0.00049551i,0.00073961+0.00090787i,0.00065185+0.00091189i,-3.5479e-05-0.00015671i,-0.0002228-0.0013138i,-0.00025676-0.0012677i,-0.00080359-0.00073238i,-0.00040948-0.00042342i,0.00059381+0.00031823i,0.00043312+0.00013856i,-0.00012148-0.00082888i
-0.0010207-0.0010022i,-0.0014944-0.00083794i,-0.00080791-0.00087313i,0.00064796-0.00105i,0.00077267-0.0010121i,-0.00023698-0.001728i,-0.00091252-0.0013555i,-0.00034677+0.0013049i,0.00038056+0.0023281i,0.00074574+0.00090853i,0.0010158-0.0007444i,0.00059097-0.00074706i,5.811e-05-4.3322e-05i,0.00037132+0.00020633i,5.4327e-06-0.00018689i,-0.00034021-8.4335e-05i,-0.00038439+5.4984e-05i,-0.00015151-0.00051985i,0.00013914-0.0001813i,-0.00068765+0.00054727i,-0.0017239+0.0012587i,-0.0016163+0.00088404i,-0.00053007-9.144e-05i
0.000551+0.0020679i,0.00079023+0.00091319i,0.00075678-0.00034527i,0.0013592-0.0013771i,0.0021796-0.0025i,0.00081592-0.0029796i,-0.00096914-0.0019908i,-0.00018512-7.9364e-05i,0.0014095+0.00089748i,0.0017871+0.00085095i,0.0013953+0.000593i,0.00077372-0.00019254i,-0.00029939-0.00067632i,-0.00094812-0.00038177i,-0.00048579-0.00039362i,-0.00041206+2.8673e-05i,-0.00049332+0.00088524i,-6.4938e-05+0.00063827i,-0.00041163+0.00070778i,-0.00070595+0.00082047i,-0.00031089-0.00016997i,0.00026468-0.00079247i,0.0003047-0.00023321i
0.0018105-9.2644e-05i,0.0015594-0.00040669i,0.00059776-0.0017478i,0.00055655-0.0022523i,-0.00010218-0.0023434i,-0.00067195-0.0021081i,-0.00079691-0.0010989i,-0.00025691+0.00045501i,0.0010069+0.0014772i,0.00092485+0.001123i,-9.992e-05-0.00017151i,-0.00075654-0.0008361i,-0.0004357-0.00041644i,-0.00011153+0.00053993i,-0.00024244+0.00061729i,0.00010934+1.8371e-05i,0.00044374-0.00035511i,0.00011937-0.00088556i,-0.00035311-0.0017699i,-0.00041652-0.0012992i,-0.00010539-6.7186e-05i,-0.00033204+0.00062052i,3.572e-05+0.0005453i
0.0030043+0.00016785i,0.0020342-0.00055997i,0.0016518-0.0014177i,0.0017082-0.0018853i,0.0016262-0.0022043i,0.0013283-0.0021518i,9.3207e-05-0.0011122i,-0.00075328+0.00061876i,0.00018728+0.0015101i,0.00086045+0.001085i,0.00034395+9.8868e-05i,-6.8998e-05-0.00011642i,-0.00020022+0.00020151i,-0.0006194+0.00080447i,-0.00070961+0.0010258i,-0.00048438-0.00010288i,2.2507e-05-0.00051252i,-0.00010841-4.7485e-05i,-0.00049276+5.4031e-05i,-0.00074057+0.00032023i,-0.0007572+0.00028441i,-0.00088093+0.00015751i,-1.5812e-05+0.00015731i
-0.00064571+0.0019158i,0.00053144+0.0011026i,0.0014027+0.00020666i,0.0021165-0.0003602i,0.0023144-0.00053306i,0.0010996-0.001712i,-0.00020033-0.0016023i,-0.00036488+0.00054865i,0.0011095+0.0016583i,0.0018691+0.0009621i,0.0012103+0.00025645i,0.00066795+0.00017901i,0.00026957+0.00016512i,0.00018107-0.00047755i,-0.00015999-8.3442e-05i,-0.00026344+0.00032282i,-5.3068e-06-0.00021114i,0.00018977-0.00061873i,-5.3042e-05-0.00026645i,-0.00012825+1.0093e-05i,0.001152+0.00018288i,0.0011818+0.00023029i,0.00035672+7.6129e-05i
-0.00092285-0.0012975i,-0.00084495-0.0004083i,-0.00092153+0.00048174i,-0.0023288-0.00032616i,-0.0022045-0.0018413i,-0.00096601-0.0027018i,-0.00033546-0.0022849i,0.00028098-0.0011146i,0.00072581-8.0314e-05i,0.00031319+0.00046205i,1.7207e-05+0.00072602i,-0.00017553+0.00075051i,4.9394e-05-1.5921e-05i,0.00038093-0.00021761i,-3.6817e-06+8.3199e-05i,0.00028175+5.0853e-05i,0.001116+0.00027537i,0.00058212+0.00021995i,-0.00063827-0.0003662i,-0.00028468-0.00069422i,0.00042822-0.00029129i,0.00041538+5.5675e-05i,0.00064354-6.7603e-05i
0.00024794-0.00023305i,0.00038315-0.00066794i,0.0014403-0.0010536i,0.0019757-0.0018548i,0.0018146-0.002812i,0.00033487-0.0032914i,-0.00085862-0.0019251i,-0.00032611+0.00011235i,0.0014909+0.00039873i,0.0021758-6.2413e-05i,0.00095888-0.00020729i,0.00034435-0.0001344i,0.00065884+0.00026316i,0.0004081+0.00075609i,7.2697e-05+0.00060131i,-0.00019062+0.00061746i,6.754e-05+0.00018835i,-6.4569e-05-3.9651e-05i,-0.0006046-0.00019522i,-0.00035352+0.00034631i,4.6129e-05+0.00060409i,-0.00042285-0.00012113i,-0.00064691+0.00040985i
