-0.0002571+0.00061091i,1.9826e-06-0.00092973i,-0.0019132-0.0010991i,-0.0026388+0.00052813i,-0.0015166+0.0017528i,2.2343e-06+0.0014579i,0.0011631+0.0014396i,0.0018343+0.0012741i,0.0022805+0.00019251i,0.0017707-5.1568e-05i,8.5927e-05-0.00016442i,-0.00050736-0.0001255i,-0.00023512-0.00012933i,0.00040726-0.0010712i,0.00055889-0.0010658i,-0.00016409-0.00033653i,-0.00014793-0.0001144i,0.00013402+6.2498e-05i,-5.0331e-05-0.00024809i,-0.00034354-0.00067137i,-0.00039289+0.0002153i,-0.00069081+0.00086836i,-0.00074677+0.00030198i
0.0029172-0.0010391i,0.0026492-0.0014811i,0.00052537-0.001243i,-0.0008542+0.00060411i,-0.00010145+0.0011675i,0.00053725+0.0007512i,0.00098904+7.8056e-05i,0.0014651-0.00067283i,0.0012325-0.00042286i,0.00016791-0.00038627i,-0.00030363-0.00081822i,2.5395e-05-0.00033075i,-0.00027385+0.00037959i,-0.00058407-6.8102e-05i,-0.00087769-0.00024088i,-0.00073974+0.00035234i,0.00023146+0.0010536i,0.00093847+0.00052695i,0.0008925-0.00047404i,0.00010257-0.00037258i,-0.00028468-0.00022202i,-0.00041713+0.00021339i,-0.00049717+0.00017113i
0.00081736+0.00017535i,-0.00053803-0.00066012i,-0.0017156-0.0013718i,-0.0017351-0.00063428i,-0.0010556+0.00049669i,-0.00013682+1.7388e-05i,0.00066154-0.00047188i,0.00081752-0.00024696i,0.00041228-0.00031644i,0.00029751-0.00079166i,-0.00026226-0.00059743i,-0.00055365+0.00054318i,-0.0010942+0.0011018i,-0.0012064+0.00056681i,-0.0005755+0.00058898i,-0.00078348+0.00058745i,-0.00097527+0.00018886i,-0.00073895-0.00024143i,-5.931e-05-0.00024901i,0.00036672-0.00013305i,3.9333e-05-0.00034514i,0.00045608-0.00013821i,0.00064296+0.00045106i
0.0006706+0.000754i,0.0014596+0.00062002i,0.0005787-0.0002644i,-0.00077815+0.00023158i,-6.0357e-05+0.0011794i,0.0019029+0.0011048i,0.0023583+0.00021335i,0.0017332-0.00055119i,0.0010689-0.0010629i,0.00085601-0.0012285i,0.00061224-0.00061975i,0.00010625-2.9527e-05i,0.00012877-0.00010285i,0.00039373-0.00090079i,0.00011857-0.0013575i,4.9611e-05-0.00066706i,-0.00030638+0.00017748i,0.00033882+0.00018618i,0.00075691+4.5939e-05i,-1.5124e-05+0.00022486i,-0.00041535-0.00032807i,0.00048166-0.00085093i,0.0010571-0.00017358i
0.0014569-0.00012097i,0.0018409-0.00045428i,0.00024008-0.00038725i,-0.0011864+0.0011306i,-0.00070499+0.0017552i,0.0015685+0.00076862i,0.0020937-0.00016977i,0.0011704-0.00051124i,0.00013587-0.00043772i,-0.0003327-0.00031839i,-0.0004641-1.8704e-05i,-0.0014429+0.00015193i,-0.0015972-2.4212e-05i,-0.00064787+7.6635e-05i,-0.00029729+0.00049935i,-0.00048202+0.00039191i,-0.00032177-0.00018723i,-0.00021763-0.00087383i,-0.00055996-0.0009821i,-0.00044101-0.00049752i,-0.00056304-0.00030387i,-0.00057143+0.00039502i,-0.00022377+0.0010724i
0.0017865+0.00093177i,0.0019253-0.00030533i,0.00034667+0.00045951i,-0.00074474+0.0014778i,-0.00012995+0.00083764i,0.00086703-0.00071863i,0.00096194-0.00044209i,0.00067127+0.00049146i,0.00045554-4.1183e-05i,0.00049643-0.0010286i,4.2179e-05-0.0015954i,-0.0002317-0.0011743i,-2.8885e-05-0.00057866i,1.2903e-05-0.00059728i,0.0002861-0.00076893i,0.00052756-8.5978e-05i,0.00039325+0.00059981i,-0.00017932+0.0005624i,0.00010791+0.00079606i,0.00036247+0.0011568i,-0.00071302+0.00064008i,-0.00070645-0.00013231i,8.0717e-05-0.00039858i
0.0023927+0.00045126i,0.0022269-0.00053318i,-5.3071e-05-0.0012656i,-0.00076227-0.0010781i,0.00030476-0.00059995i,0.00081822-9.9611e-05i,0.00081673+0.00021879i,0.00063029-0.00041676i,0.00024362-0.00079905i,5.9893e-05-0.00072521i,0.00054581-0.00044957i,0.00037287+0.00011742i,-0.00033667+0.00039798i,-0.0010977-9.5617e-05i,-0.0015304-0.00017223i,-0.001349+0.00043671i,-0.00086022+0.00023914i,1.1385e-05-0.00067533i,-0.00037916-0.00056458i,-0.00052171-0.00029712i,8.9056e-05+8.4629e-05i,-0.00026824+0.00013547i,-0.00036489-0.00051596i
0.0013897+0.00067864i,0.0016811-0.00046705i,0.0011883-0.0010747i,0.00046217+0.00064275i,-2.5309e-05+0.0016491i,0.00021948+0.00031421i,0.0010169-0.0010554i,0.0010714-0.00074459i,0.00040948-0.00035749i,0.00019107-0.00018703i,0.00031555+0.00049756i,0.00067584+0.00036724i,-0.00034899-0.00047424i,-0.0018538-0.00057537i,-0.0015276-0.00052314i,-0.0015249-0.00032085i,-0.0016061-7.8501e-05i,-0.00034651+0.00031583i,0.00051868+0.00065259i,-2.1586e-05+0.00045934i,-0.00026852+0.00092786i,4.9486e-05+0.0010361i,0.00055923+0.00097483i
0.0028613+0.0018729i,0.0036556+0.0024152i,0.0029333+0.0024153i,0.0011617+0.00053069i,7.2642e-05-0.0010639i,0.00042493-0.0011496i,0.0012837-0.00092812i,0.0011226-0.00063919i,0.00050611-5.5087e-05i,-6.8628e-05-0.00050453i,-0.00052915-0.00095485i,-0.0010066+0.00017811i,-0.00091333+0.0011091i,-0.00068419-7.1143e-05i,0.0001166-0.00052356i,0.0004651+9.7452e-05i,-0.00015227-0.00012844i,-0.00032939-0.00045908i,-0.00099687-0.00049718i,-0.0008985-5.6615e-05i,-0.00051245+0.00022322i,-0.0006856-3.803e-05i,-0.00053952+0.00024222i
0.0040533-0.00068805i,0.0034089-0.001435i,0.0012458-0.0014243i,-0.00073952-0.00086767i,-0.001232-0.00053751i,-0.00071675-0.0001805i,9.1612e-05-0.00019834i,0.00087653-0.0001433i,0.0010073-6.4645e-05i,0.00075491-0.00067313i,0.00050902-0.00072845i,0.00010552-0.00020065i,-0.00047239-0.00016566i,-0.00093318-0.00021557i,-0.000819-0.00012969i,-6.3634e-05-0.00050211i,0.0005819-0.00032761i,6.9684e-05-0.00029099i,-0.00050701-0.00030191i,-0.00019483-5.4566e-05i,0.00011069-7.3833e-05i,-0.00023931-0.00016531i,-0.0006708+9.5331e-05i
0.0031744-0.001053i,0.0031094-0.00075897i,0.00045085-0.00049861i,-0.0014726+0.00013554i,-0.00068069+0.00066391i,0.00070998+0.0010108i,0.0012838+0.00068771i,0.00062302+0.00030849i,0.00010799-0.00030636i,-0.00023253-0.00029714i,-0.00062659-0.00014601i,-0.00067217+8.3409e-05i,-0.00042335+0.00039923i,-0.00061126+0.00022925i,-0.00037199+0.00012065i,0.00060618+9.7389e-05i,0.00041907+0.00060862i,-0.00036153+0.00023368i,0.00019185-0.00040652i,0.00078514-0.00063534i,0.0004801-0.00092924i,0.00019405-0.00058594i,-0.00050323+0.00030212i
0.00011583-0.00042232i,0.00090479-0.00052795i,-0.00072578-0.0010533i,-0.0013141+0.00034651i,-7.127e-05+0.0015434i,0.001109+0.0013801i,0.0018046+0.00049072i,0.0015771-0.00057892i,0.0013782-0.00069877i,0.00062427-0.00025349i,-0.00016578-0.00047128i,-0.00031971-0.00060701i,-0.00038975-9.712e-05i,3.3122e-05-0.00051675i,-0.00018766-0.00075164i,-0.00081302-8.9294e-05i,-0.00079879+0.00045932i,-0.0010483+0.00062641i,-0.00049697+1.4389e-05i,0.00044625-0.0001509i,0.00060622+0.000371i,0.00055734+0.001234i,0.00087312+0.001653i
0.0039556-0.00031429i,0.0026558-0.0011619i,0.0012372-0.0010373i,-0.00018838+9.951e-05i,-0.00043095+0.00062394i,0.00075924+0.00039417i,0.0014879-0.00036759i,0.0012347-0.0012514i,0.00056486-0.00073132i,0.00053929-0.00022587i,0.00027511-0.00080807i,-0.00018847-0.00050267i,0.00063007+0.00055808i,0.0011537+0.0012496i,0.00033392+0.00080146i,-3.0794e-05+0.00021344i,-0.00049557+0.00051545i,-0.00046772-0.00019706i,-0.00014402-0.00091769i,-0.00024705-0.0010532i,7.1139e-05-0.00076178i,0.0005072+6.9161e-05i,-6.0482e-05+0.00048167i
0.0017935+0.0016601i,0.0013547-0.00040425i,0.0011872-0.0005091i,0.00015305+0.00085002i,-0.00016044+0.00089657i,0.0010581-6.7655e-05i,0.0014623-0.001006i,0.0015911-0.0013596i,0.00097926-0.00092952i,0.00048792-0.00081369i,0.00049042-0.00080475i,0.0002271-0.0010068i,0.00012449-0.00087206i,-0.00031992-0.00070841i,-0.00088635-0.00070279i,-0.00074976-0.00084086i,-0.00043267-0.00087463i,5.0754e-05-0.00051544i,4.007e-05-0.00061547i,-0.00068405-0.00096379i,-8.6919e-05-0.0006633i,0.00092903-0.00035276i,0.00039615-0.00011899i
0.0032826-0.0015446i,0.0029394-0.0023824i,0.0010233-0.0026036i,-0.0011692-0.0010148i,-0.0020187+0.00046151i,-0.0014928+0.00045326i,0.00025758-0.00063791i,0.00078618-0.0013824i,0.0005416-0.0011559i,0.00054444-0.00040617i,-0.00024074-0.00056649i,-0.00053586-0.00053843i,-0.00059498+0.00024363i,-0.00068049+0.00072843i,-0.00052784+0.00086058i,-0.00094268-6.6592e-05i,-0.0009622-0.0013464i,-0.00030374-0.000921i,-0.00022989+0.00021979i,-0.00011605+0.00060178i,2.9306e-06+5.192e-05i,-0.00036607-0.00023828i,-0.00061003-7.1431e-05i
0.0043319-0.00043582i,0.002856-0.0010666i,0.0008855-0.0010859i,-0.00088797-0.00070978i,-0.0018055-0.00012916i,-0.00077107+0.00045102i,0.00085508-0.00010658i,0.00073255-0.00066864i,0.00035794-0.00090692i,0.0002253-0.0018173i,-0.00034144-0.0014613i,-0.00066338-0.00048482i,-0.00035934+0.00037844i,-2.9134e-05+0.0009141i,-0.00037481+0.00089008i,-0.00057199+0.00029272i,-0.00034444-0.00041939i,-3.4599e-05-0.00014593i,0.00022252+0.0009315i,-0.00053335+0.00056325i,-0.0010226-0.00078223i,-0.00039091-0.00045885i,-0.00017509+0.00085827i
0.0037441+0.00071646i,0.0029859+0.00037312i,0.00093837-0.00094622i,-0.00014859-0.0012396i,0.00035449-0.00090703i,0.0010875-0.00062613i,0.0015996-3.0315e-05i,0.0014994-0.00032043i,0.00070006-0.0012613i,-0.00016608-0.0010774i,-5.2258e-05-0.00051815i,-0.00048979+0.00018607i,-0.00081801+0.00073726i,-0.00050632+0.00013985i,-0.00071951-0.0010012i,-0.00080611-0.00060423i,-0.00054665+0.00016765i,-0.00045368+0.00022085i,-0.00062692+0.00044959i,-0.0013742+0.00025221i,-0.0013489-0.0002026i,-0.00049881+0.0003285i,-0.00027717+0.00064171i
0.00095605+0.001734i,0.00098774+0.00024732i,0.00092504-0.00020853i,0.000338+0.00046611i,8.1845e-05+0.0010354i,7.0392e-05+0.00044589i,0.00047829-0.00070053i,0.00043791-0.0010134i,0.00049256-0.0009149i,3.8859e-05-7.9993e-05i,-0.00080131+0.00011028i,-0.00067172-0.0005413i,-0.00042724-0.0007265i,-0.00039287-0.00060958i,-0.00028935-0.0008126i,-8.7938e-05-0.0003955i,0.00016509+0.0006689i,-0.00014888+0.00056245i,-0.00040006+4.227e-05i,0.00021102-7.976e-05i,0.00091151+0.00011258i,0.00066426+0.00025379i,-0.00024304+0.00013645i
0.0018285-0.002222i,0.0019476-0.0019973i,6.0732e-05-0.0013635i,-0.0021859+0.0001307i,-0.0018119+0.0016857i,0.00064014+0.0013411i,0.0016575-1.2688e-05i,0.0011336-0.00043966i,0.0007452-0.00038774i,0.00063881+0.00012269i,5.8852e-05+0.0004802i,2.2455e-06+0.00022035i,6.0759e-05-0.0002146i,5.7103e-05-0.00019138i,0.00033259-0.00020075i,0.00015952-0.00019383i,-0.00046885-0.00032628i,-0.000699-0.00056289i,-0.0002841-0.00079777i,-0.00036733-0.00069565i,-0.0002334-0.00062146i,0.00027549-0.00084392i,0.00025611+6.1999e-05i
0.0029237+0.0011626i,0.0030298+0.0011365i,0.0018569+0.00095598i,-5.902e-06+0.0015648i,-0.00050888+0.001062i,0.00052083-9.9851e-05i,0.0010188-0.00072785i,0.0004978-0.00058019i,-0.0003559+0.00041393i,-0.00015251+0.00070688i,-0.00030832+0.00014156i,-0.00067031-0.00062099i,-0.00030047-0.0010271i,-0.00044362-0.0003858i,-0.00090243-0.00055472i,-0.0013652-0.0013476i,-0.00099316-0.001009i,-0.00032123-0.00050959i,-0.00020369-0.0007134i,-0.00043533-7.8972e-05i,-0.00050701+0.00082582i,-0.00036653+0.0002244i,-0.00038088-0.00013211i
0.0024713+0.0012596i,0.0019084+0.00029936i,-0.00016728+0.00098303i,-0.0018037+0.00062242i,-0.00059099-0.00076403i,0.0010329-0.00024666i,0.0016774+0.00011424i,0.0016074-0.00034515i,0.00062242-0.00059192i,-0.00051514-0.00077372i,-5.7069e-05-0.0010385i,0.00057321-0.00095081i,0.00047381-0.00051988i,0.00028078-0.0001819i,0.00010246+0.00013803i,-0.00035728+6.9119e-05i,2.6564e-05+5.3333e-05i,0.0011583+0.00027758i,0.0013355+0.00034165i,0.0007816+6.7625e-06i,0.00032753-3.5092e-05i,0.00075296+7.532e-05i,0.00072806-0.00010845i
6.8767e-05+0.00012214i,0.00017431-0.00056863i,0.0001339-0.00068379i,4.1684e-05+0.00026734i,-0.00068259+0.0013193i,0.00033036+0.00078692i,0.0013024-0.00019907i,0.00096865-0.00037608i,0.00068304-0.00078689i,-8.3728e-05-0.00023982i,-0.00099528+1.5633e-05i,-0.0011165-0.00044673i,-0.0011385-0.0010995i,-0.0012465-0.0014361i,-0.0014145-0.00057489i,-0.0012944-0.00027551i,-0.00061419-0.00091094i,-0.00054968-0.00096565i,-0.00054329-0.00071079i,-0.00040627-0.00024537i,-0.00035439-0.00023905i,0.00027744+0.00014585i,0.00022426+0.00084216i
0.0032125-0.00051243i,0.0030853-0.0010067i,0.00085064-0.00070546i,-0.00077993+0.00018314i,-0.00074858+0.00061443i,-0.00043236+0.00032141i,0.00014941-0.00040238i,0.0008862-0.00063672i,0.0012194-0.00075236i,0.00071414-0.00041501i,0.00051009-0.00044799i,0.00040568-0.0005677i,5.7041e-05-8.7108e-05i,-0.00054517+0.00015111i,-0.00095043-6.3779e-05i,-0.00020383-0.0001038i,0.00046414-0.00048769i,0.00069004-0.00079443i,8.6771e-06-0.00025822i,-0.00038193+0.00056885i,-9.1914e-05+0.00070742i,-0.0001142+9.0173e-05i,-0.00062223-0.00044262i
0.0040384+0.00088395i,0.0031374+0.00025354i,0.0015222-0.00010851i,0.00023413+0.00029894i,-0.00083965+0.00058013i,-0.00053724+0.00025062i,0.0013649+0.00036377i,0.0013176-8.6294e-05i,-1.5654e-05-0.00095535i,-0.00049106-0.000997i,-0.00028548-0.00036488i,0.00019024+0.00027875i,-0.00061784+0.0004919i,-0.0010714+0.00086553i,-0.00027919+0.0014034i,0.00021311+0.0012735i,-0.00012427-7.1661e-05i,-0.00062956-0.00092684i,-0.00031586-0.00035167i,0.00030798-0.00049382i,0.00011774-0.00040541i,-0.00066013+0.0001224i,-0.00059991+0.00016209i
0.00098939-0.0010757i,0.00090592-0.0012429i,-0.00037583-0.00059076i,-0.0013619+0.00065711i,-0.00071442+0.0014093i,0.00055786+0.0016263i,0.00050441+0.00049396i,0.00054104-0.00043399i,0.00079573-0.00052208i,0.00017795-2.8458e-05i,-0.00056572-0.00013747i,-0.00073466-0.0010095i,-0.00062707-0.00046228i,-0.00097616-5.5684e-05i,-0.000975-0.00034487i,-0.000427+6.9969e-05i,-0.00065984+0.00062184i,-0.00071195+0.00046851i,-4.8281e-05+0.00010506i,0.00043045+0.00025389i,0.00056205+0.00069203i,0.00050697+0.00051748i,4.4701e-05+0.00013831i
0.0013908+0.00040845i,0.0026576-0.00041452i,0.0022341+2.4159e-05i,0.001271+0.0013362i,0.00034241+0.0012924i,0.0008545+0.00011807i,0.0022662-0.00092203i,0.0019015-0.0011425i,0.0014575-0.00054387i,0.0011524+3.2032e-05i,0.00062135+3.6168e-05i,0.00025328-0.00014831i,-0.00038104-9.7527e-05i,-0.00030303+0.00012842i,-0.00033105-5.7365e-05i,-0.0013263-0.0008032i,-0.0010862-0.00087428i,0.0001729-0.00063225i,0.00106+0.00028968i,0.00078588+0.0011466i,0.00011963+0.00017651i,5.1732e-05-0.00068709i,-2.1938e-05-0.00041162i
0.0018154+0.00099869i,0.0018394+0.00084881i,0.00051937+0.0012626i,4.3611e-05+0.0016295i,0.0001025+0.001237i,0.00071162+0.00036948i,0.00088225+0.00010041i,0.00055929+0.00022478i,0.00027659-0.00020551i,0.00034446-0.00042098i,0.00066945-0.00034219i,0.00033653-0.0008887i,-0.00085792-0.0010641i,-0.0014492-0.0008226i,-0.00067738-0.0010826i,-0.00024526-0.0013679i,-0.00067478-0.00076674i,-0.00037234-0.00055267i,0.00014019+0.00020579i,0.00026997+0.0012052i,0.00016321+0.00068415i,5.4269e-05-0.00021364i,-0.00014908+0.00015781i
0.0040856-5.3553e-05i,0.0035642-0.00030581i,0.0016298-0.00060964i,-0.00042955-0.00021647i,-1.6357e-05+0.00041587i,0.00096262+0.0011041i,0.00073676+0.0005971i,0.00098892-0.00016217i,0.0010511-0.00025217i,0.00031122-0.00025182i,0.00018805-0.00053779i,0.00067424-0.001148i,-5.5146e-05-0.00075183i,-0.00092719+0.00042996i,-0.0010685+0.00043666i,-0.0012191+0.00011489i,-0.00027063-8.3303e-06i,0.00075712+9.6065e-05i,0.00014981+0.00038956i,-0.00050895+0.00034092i,-0.00029041-0.0001673i,-0.00021095-0.00012327i,-0.00047342-0.0002448i
0.0011977-0.00098945i,0.00094337-0.0020901i,-0.00084016-0.0019134i,-0.001823-0.00037096i,-0.0020212+0.00036844i,-0.00053196-5.7192e-05i,0.0010092-0.00075662i,0.0010278-0.001062i,0.00080496-0.0012779i,7.7628e-05-0.0012595i,-0.00027702-0.0008521i,0.00020762-0.00025499i,0.00044566+7.3515e-05i,5.0947e-05-5.9323e-05i,-0.00050382-1.4493e-05i,-0.00087691+8.1629e-05i,-0.00062665-0.00018168i,-0.0004387-0.00064059i,-0.00043492-0.0010041i,-0.00019908-0.00087072i,-0.00031719-0.0003479i,0.00027938+0.00022456i,0.00020315+0.00040251i
0.0035527-0.00011889i,0.0042185-0.00088081i,0.0028869-0.00086936i,0.0013814-0.00019556i,0.00062589+9.8314e-05i,0.00044847-0.00032992i,0.0013478-0.00085893i,0.0012831-0.0011226i,0.00062651-0.0010586i,0.0009425-0.00081505i,3.6358e-05-0.00087297i,-0.0011612-0.00072688i,-0.0015635-0.00054787i,-0.0014198-0.0010381i,-0.0010512-0.0013336i,-0.0011996-0.00073289i,-0.0012748+0.00018948i,-0.00021349+0.00034497i,0.00018743-0.00043781i,-0.00043891-0.0008291i,-0.00076921-0.000354i,-0.00061109-2.6968e-05i,-0.00059586-0.00010932i
0.0024767+0.0015459i,0.0020091+0.00062085i,0.0016256+0.0013047i,0.00060347+0.001818i,0.00098834+0.00098891i,0.0013316-0.00016069i,0.00060963-0.00076076i,0.00039044-0.0014143i,0.00048884-0.00095298i,0.00033065-0.00072483i,-0.0001604-0.0012925i,-0.0010254-0.0013206i,-0.0012656-0.00061072i,-0.0012107+0.00026315i,-0.0012497+4.6408e-05i,-0.0011756-3.3866e-05i,-0.00081135-2.7659e-06i,-9.9352e-05-0.00044027i,0.00041488-6.6828e-05i,0.00041558+0.00013556i,0.00027198+0.00013329i,-0.00011265+2.936e-05i,0.00010417-0.00036453i
0.0036614+0.0002184i,0.0030932-0.00097156i,0.0012571-0.0014143i,-0.00060722-0.0014643i,-0.00091254-0.00057777i,-0.00012646-2.6768e-05i,0.00047246-0.00045786i,0.00083037-0.00054792i,0.00086656-0.00040648i,-0.0005537-0.0007i,-0.00092155-0.00060042i,-0.00049068-0.00022852i,5.2372e-05-0.00016987i,0.00032276+0.00018517i,-0.00042472+0.00066595i,-0.00042939+0.0010459i,-0.00033475+0.00065148i,-0.00028663-0.00011894i,0.00023852-0.00034261i,0.00056681-2.3042e-05i,0.00030133+0.000651i,0.00027506+0.00076534i,0.00047129+0.0004065i
0.0018736-0.0013121i,0.0017353-0.0029595i,-9.4082e-05-0.0028554i,-0.0023533-0.0002536i,-0.0021476+0.0014925i,-0.00012978+0.0010765i,0.0011847+0.00041422i,0.0014074+0.00053155i,0.00061856+0.00021815i,-0.0003695-0.0010173i,-0.0013371-0.0020529i,-0.0017336-0.0016099i,-0.001077-0.00065201i,-0.00046179-0.00039152i,-0.00068409-0.00069028i,-0.00038802+9.5136e-07i,2.8154e-05+0.00059641i,0.00020788+0.00015172i,0.00041999+0.00010503i,0.00083765+0.00033357i,0.0012337-7.2338e-05i,0.00045677-0.00020393i,-0.00022055-0.00014642i
