-0.00015202+0.00051268i,0.0011526-0.0010508i,0.0021839-0.0021286i,0.0021993-0.0019763i,-0.00013155-0.0015671i,-0.0015417-0.00071185i,-0.0022038-0.00025083i,-0.0026715+1.4775e-05i,-0.0015681+0.00016088i,-0.00061215+5.4864e-05i,7.7671e-05-0.00068245i,0.00094527-0.00071414i,0.00094707-0.0007638i,0.00051365-0.0010268i,0.00033738-0.00068377i,0.00010784-0.0010731i,-0.00097663-0.0019333i,-0.00076313-0.0018475i,-2.0345e-05-0.00088809i,9.0104e-05+8.1779e-05i,5.7964e-05+0.00053981i,-0.00032168-5.3203e-05i,-0.00041464-0.00061453i
0.00037079-4.9207e-05i,-0.00040559-0.00067874i,3.0701e-05-0.0013922i,0.00030517-0.0018799i,-6.5169e-05-0.0022292i,-0.00075211-0.0014547i,-0.0011247-0.0001527i,-0.00088085-0.00022073i,-0.00096446-0.00036115i,-0.0011774+0.0003396i,-0.00066304+0.00039533i,-0.0003674-0.00030444i,0.00015772-0.00030375i,0.0007629+8.0084e-05i,0.0013724+0.00012327i,0.001901-0.00023388i,0.0011768+0.00020387i,0.00045829+0.00070102i,0.00032379+0.00014675i,0.00024023-0.00026041i,0.00047099-0.00010157i,0.00052416+0.00041475i,0.00084748+0.00088914i
0.0011369-0.00078319i,0.0019515-0.0018728i,0.0024394-0.0022332i,0.0016696-0.0026899i,0.00046801-0.0016616i,-0.00023158-0.00037161i,-2.6419e-05-0.00025981i,0.00051284-0.0001444i,0.00068079-0.00056537i,0.0011518-0.00063481i,0.00086751-0.00011265i,0.00029805+0.00021379i,0.00050762-8.4853e-06i,0.00066044-0.0004114i,0.00042913-9.2661e-05i,0.00015071+0.00054649i,-0.00033554+0.00011503i,-0.0001431-0.00012568i,0.00069671+0.00035157i,0.00086318+0.00034518i,0.00071337+0.00051137i,0.00043232+0.00058884i,-0.00022041+0.00034044i
0.00085857+0.00080028i,0.00048551+0.00028226i,0.00070329-0.00011089i,0.00070474-0.0013648i,-0.00030894-0.0018625i,-0.0013359-0.0012156i,-0.0016237-0.00032767i,-0.0012458+0.00049344i,-0.00053226+0.00038535i,0.00027939+0.00012036i,0.00017012-3.9009e-05i,-0.00065496-0.00082891i,-0.00044084-0.00087034i,8.1233e-05+7.3702e-05i,4.5033e-05+0.00010749i,0.00047945-0.00054156i,0.0014391-0.00040714i,0.0015753-0.00027298i,0.0014067-0.00086904i,0.0011665-0.00062584i,0.00048801+4.5816e-05i,7.8347e-05-0.0005795i,-8.9587e-05-0.0011564i
0.00010795+0.00063031i,0.00093783+0.00048474i,0.0010968+0.0013002i,0.00078487+0.0011228i,0.00055376-0.00059607i,-2.229e-06-0.000845i,-0.00048656-0.00056919i,-0.0003468-0.00086946i,0.00010282+0.00015987i,0.00018646+0.0011204i,0.00036707+0.00069948i,0.00031177+0.00031242i,-0.00046579+0.00033309i,-0.00055878+0.00046325i,0.00023836+0.0006196i,0.0013516+0.00027382i,0.0013544-9.145e-05i,0.00084535-0.00024045i,0.0002657-0.00024404i,-0.00014325-0.00022973i,-0.0002235+0.00024155i,-6.1775e-05+0.00075737i,0.00052644+0.0010872i
0.00069777+0.00018483i,0.0011063-0.0003451i,0.0019946-0.0019703i,0.0025704-0.0019389i,0.00077921-0.00071388i,-0.001063-3.0936e-05i,-0.0015849+6.25e-05i,-0.0017331-0.00015796i,-0.0018573-3.7633e-06i,-0.0016335+0.00027436i,-0.0012873+0.00026385i,-0.00085102+0.00012633i,-0.00069171-0.0004669i,-0.00075199-0.00092135i,-0.0001287-0.00049542i,0.00131-0.00033607i,0.0016062-0.00046625i,-4.5983e-05-0.00042846i,-0.00065006-0.00026056i,-0.00014044+0.00028116i,-1.2442e-06+0.00019221i,-0.00013872-0.00013685i,-0.00077574+9.8728e-05i
0.00017874+3.289e-05i,0.00060977-3.0672e-05i,0.0010993+0.00028367i,0.0023569-0.0004541i,0.0025201-0.00097793i,0.0014972-0.0013919i,0.00090336-0.0022338i,0.00011972-0.00075087i,-0.00052814+0.00073056i,-0.00018228+0.0010867i,0.0010267+0.0012794i,0.0011457+0.00033415i,8.4171e-05-0.0001454i,-0.0003947+0.00027075i,-0.00039139-0.00020771i,0.00025888-0.00067211i,0.00063794-0.00072724i,-0.00026714-0.0011387i,-6.7722e-05-0.0013866i,0.00037647-0.00094418i,3.3798e-05-5.0038e-05i,-0.00010099+0.00049045i,0.00011392-0.00023436i
-3.8235e-05-0.0015832i,9.6504e-05-0.0016096i,0.0011543-0.001529i,-0.00013663-0.00023859i,-0.0023485-0.00018969i,-0.0018834-0.00057985i,-0.00059086-0.00050887i,-0.00048187-0.00030195i,-0.00026428+0.00091598i,0.00062536+0.0013045i,0.00054038+0.00065609i,-5.344e-05+0.00078317i,-0.0002456+0.00090476i,0.00038917+0.0001744i,0.0011598-4.9301e-06i,0.0018024-0.00022252i,0.0020237+0.00027627i,0.0013146+0.00051534i,0.00011975-0.00066124i,0.00016614-0.00055672i,0.00052221+1.796e-05i,-0.00013079+0.00028055i,-0.00029887+0.00091732i
-0.0014772-8.6271e-05i,-0.00072359+0.0002757i,0.00029229+5.6602e-05i,0.0016216-0.00015463i,0.0015784+0.0006733i,0.00057849+0.00029728i,0.00034313-0.00048327i,3.1584e-05-0.00074004i,-0.00033337-0.00084999i,-0.00067771-3.9751e-05i,-0.00040849+0.00034092i,0.00019591-0.00042913i,0.00086336-0.001079i,0.001169-0.00054052i,0.00043474-1.5279e-05i,4.9137e-06-0.00016614i,-9.9308e-05+9.2517e-05i,-8.9512e-05+0.00091252i,-0.0003781+0.0010569i,-0.00053729+0.00037205i,-0.00054018-0.00014759i,-0.00088699-0.0004563i,-0.00077146+0.0003102i
0.00022773-0.00098071i,0.00051951-0.0016232i,0.00075193-0.00092394i,0.00090365-0.00042685i,0.00019837-0.00025157i,0.00022039+4.9857e-05i,0.00023315-2.8852e-05i,-0.00061451-0.00011545i,-0.0015663+0.00018192i,-0.0016178-0.00012144i,-0.00013529-0.00026958i,0.00011109-3.1455e-05i,0.00017946+7.3472e-05i,0.00085188-2.5542e-05i,0.00068966-0.00079711i,0.00067055-0.00067826i,0.00087322+0.00021484i,0.00026863+0.00010147i,0.00011556-0.00047749i,0.00037195-0.0005001i,0.00078597+0.0001607i,0.0010153+0.00058646i,0.00035115+0.00039451i
0.00059685-0.00060671i,0.00074408-0.0013673i,0.00060409-0.0021417i,0.00056698-0.0025081i,-0.00023293-0.0027011i,-0.00049119-0.0020962i,0.00020724-0.00046695i,-0.00020368+0.00026761i,-0.00016056+5.3091e-05i,0.00021384+0.00044782i,-5.159e-06+6.4652e-05i,-0.00023692-0.00019801i,6.1122e-05+0.00050237i,0.00033735-0.00027852i,0.00037469-0.0012805i,0.00019192-0.0015506i,-5.7435e-05-0.0011911i,0.00041939-0.00078345i,0.0010455-0.00023413i,0.00013431+0.00040949i,-0.00085047-0.00027665i,-0.0004683-0.00092022i,0.00025134-0.00067557i
-0.00010598-0.001717i,-0.00031559-0.0011989i,-7.4636e-05-0.00069563i,0.00021526+0.00026638i,-1.0823e-05+0.0011088i,-0.00024335+0.0006107i,-0.00049544-4.4931e-05i,-0.0012103-4.4144e-05i,-0.0016842+0.00046652i,-0.0016678+0.00075815i,-0.0010915+0.0002192i,-0.0010571+0.00015251i,-0.00093518-0.00035472i,-8.2538e-05-0.00052313i,0.00023195-0.00062457i,-0.00018243-0.00077523i,-0.00021053-0.00086295i,0.00083752-0.00074502i,0.0010755+0.00010691i,0.00022355+0.00054266i,-0.00015842+5.0473e-05i,0.0001467+0.00021563i,-0.00032947+0.00043239i
0.00073956-0.00072076i,0.0016306-0.00091814i,0.0027146-0.0018664i,0.002978-0.0018902i,0.0020681-0.0014943i,0.00047394-0.0010502i,-0.00053947-0.0011783i,-0.00063623-0.0015441i,-0.00010957-0.00087725i,0.00037716-7.9815e-05i,0.00084039+0.0002303i,0.00073178+0.00032291i,0.00032134-0.00053813i,5.2284e-05-0.00119i,-0.00028609-0.0002762i,-0.0002587+0.00033549i,7.5557e-05+0.00025599i,9.6907e-05+0.0001061i,-0.00020195-0.00016241i,-0.00037745-0.00020774i,-9.9083e-05+0.00046415i,-0.0003103+0.00082034i,0.00013911+0.00053328i
-0.00055694-0.0003763i,0.00018755-0.00032128i,0.00013829-0.00035794i,0.0005063-0.00045319i,0.00095708-0.00087821i,0.00045926-0.00077874i,-0.00059543-0.00014089i,-0.0012397-0.00017123i,-0.00073659+0.00012983i,-1.7124e-05+0.00049598i,0.00020873-5.1276e-05i,0.00013573-0.00011482i,0.00010112-0.00027196i,0.00053788-0.00025637i,0.0002337+0.00021302i,-0.00042475+0.00014515i,-6.7998e-06+0.000474i,0.00030424+0.00040951i,0.00018667-0.00016971i,-0.00047079-7.3277e-05i,-0.00084541+0.00051203i,-3.7713e-05-0.00019703i,0.00037103-0.00033369i
0.00033203-0.00028901i,0.00017661-0.0005248i,0.00075087-0.0021492i,0.0015241-0.0030316i,0.0007542-0.0022441i,0.00018083-0.00053818i,0.0004402+0.00018759i,0.00050812-0.00044908i,0.00032881+0.00050079i,-0.0004069+0.0013569i,-0.00068042+0.00076623i,-0.00016477+0.0002058i,0.0011649-0.00057504i,0.0017206-0.00023501i,0.0010819+0.00036833i,0.00088136+9.399e-05i,0.00079155+7.4777e-05i,0.00043525-0.00037111i,0.00039789-0.00056146i,0.0010239-0.00037444i,0.00069557-0.00040802i,-0.00019427+0.00011379i,-0.00053392+0.00038405i
0.00059328-0.00049345i,0.0011454-0.00034584i,0.0017337-0.00067262i,0.0014844-0.00083702i,0.00038339-0.00021208i,-0.00049018-5.4173e-05i,-0.00040108-0.00041669i,-0.00095964+3.1254e-05i,-0.0009222+0.0005322i,-0.00031153-1.0354e-05i,-0.00044955-0.00054823i,2.2999e-05-0.00030036i,0.00094055+3.0863e-05i,0.00070496-9.7724e-05i,0.00039492+0.00019402i,0.00077803-4.4067e-05i,0.0009538-0.00050827i,0.001244-0.00021273i,0.00098005+6.3413e-05i,0.00038914+0.00019006i,0.00062636-8.0104e-05i,0.00087759-0.00040503i,0.00053974+0.00022215i
0.0011787-7.8526e-05i,0.0019615+8.0477e-05i,0.0026423-0.00025468i,0.0024042-0.0010741i,0.0010639-0.0018628i,-0.00097661-0.0015239i,-0.0024263-0.00092077i,-0.0017205-0.00094621i,-0.00069845-0.00069147i,-0.00058208+6.774e-05i,-0.00062536+3.8838e-05i,0.00054872-0.00021976i,0.00092259-0.00027959i,0.00016068-0.0002517i,-0.00010891-0.00060978i,-3.6263e-05-0.00045203i,-7.7727e-05+0.00030371i,-0.00036274+0.00042874i,-0.0005099+7.6226e-05i,-0.00042302+0.00027187i,-0.00068841+0.00041318i,-0.00041505+0.0003022i,0.00026915+0.00083248i
0.00032714+0.0013761i,0.0010325+0.00068589i,0.0019321+0.00019569i,0.0023618-0.00034541i,0.00093938-0.00052616i,-0.00034783-0.00048247i,-0.00027289-4.8991e-05i,-0.00026963+0.00055648i,-0.00027578+0.00042569i,0.0002326+7.162e-05i,-5.8373e-05+0.00052624i,-0.00037566+0.00084749i,0.00038526+0.00054707i,0.00085388-0.00027612i,0.00068937-0.00099664i,0.00064124-0.00072901i,0.00045626+0.000147i,0.00025593+0.00036049i,2.5792e-05-8.9522e-05i,7.0967e-05+0.00043662i,0.00016031+0.00074947i,2.8709e-05+0.00014992i,-0.00014565-0.00047068i
0.001604-0.0022384i,0.0017542-0.0013947i,0.0016964-0.0019705i,0.001086-0.0026305i,-0.00058571-0.001904i,-0.0011916-0.00050404i,0.00038092+0.00012498i,0.00092862+1.813e-06i,0.00037224+0.00028209i,0.00015562+0.00033286i,0.00020648-0.0001189i,0.00017753-0.00020315i,0.00021162+7.3404e-05i,4.6437e-05+0.00031107i,-0.00074002-0.00033883i,-3.7035e-05-0.00095051i,0.00080455-0.00074515i,0.00069883-0.00063245i,0.00072369-0.0002615i,0.00042458+0.00030826i,-7.1473e-05+0.00031146i,2.8541e-05-4.4347e-06i,0.00057415+4.9891e-05i
0.00093551+0.0015259i,0.001263+0.00053986i,0.0016146+0.0004711i,0.0016992+0.00030694i,0.0004915-0.0007601i,-0.00013188-0.0011259i,-0.00054541-0.00083972i,-0.00067658-0.00065517i,-0.00013584+0.00026605i,-6.7469e-05+0.00079773i,-0.00014605+0.00037723i,0.00014786+0.00028781i,-0.00018367+0.00041338i,-0.00049555-3.9928e-05i,0.00044708-0.00071891i,0.0013104-0.00058519i,0.00082376-0.00049934i,0.00035195-0.00089746i,-0.00030875-0.0010391i,-3.8852e-05-0.00098647i,0.0007151-0.00036227i,0.00072915+0.00027463i,0.0010751+9.3828e-05i
-0.00055109+0.0002275i,0.00030982+7.1071e-05i,0.001343+0.00070067i,0.001309+0.00050579i,0.00086897-0.00057887i,0.0002881-0.0010833i,-0.0010207-0.0011949i,-0.0014496-0.0013285i,-0.00055536-0.001045i,0.00037369-0.00026185i,0.0010756+5.7372e-06i,0.0010202-0.00020374i,0.00068414-0.00035763i,0.00048923-0.0003635i,0.0002279-0.0004545i,0.00048825-0.00093733i,0.0010149-0.00078047i,0.001132-0.00034912i,0.00092022+0.00030818i,0.00053282+0.00024095i,-3.7308e-05+0.00017139i,6.311e-05-0.00011426i,-2.0081e-05-0.0010828i
0.00083667+0.001315i,0.001607+0.00069345i,0.0019628-0.00091891i,0.002053-0.0026926i,0.00099315-0.0031839i,9.9929e-05-0.0019844i,-1.4328e-05-0.000977i,-0.0010035-0.00011472i,-0.0014521+0.00039587i,-0.00091802-0.00016367i,-0.00086893-0.00077156i,-0.00068852-0.0010516i,-0.00044653-0.00023289i,-0.00031157+0.00025774i,-0.00011361-0.0002585i,0.00027848-0.00054117i,8.2197e-05-0.00013803i,-0.00069419+0.00015701i,-0.0012126+0.00034734i,-0.0009984+0.00017477i,-0.00034643-0.00029418i,-2.0564e-05+9.0199e-05i,-8.8863e-06+0.00056683i
0.00020338-0.0010034i,0.00014456-0.00042134i,0.0005397-0.00063626i,0.0004353-0.00054943i,-0.00066874+8.2889e-05i,-0.00095988+0.00062271i,-0.00056346+0.00056333i,-0.00049098+0.0004595i,-0.00090586+0.0010826i,-0.0016417+0.0012616i,-0.0017819+0.00039041i,-0.0009088+0.00016016i,-0.00017697+0.00056166i,0.00040906-0.00010077i,0.00049456-0.0010652i,0.00075786-0.0014024i,0.00079833-0.00082605i,-0.00014617+0.00010097i,0.00019335+0.00077462i,0.00088087+0.00033674i,-0.00018315-0.00010232i,-0.00055805-0.00012397i,0.00020224+4.8683e-05i
0.0012195-0.00036141i,0.0019152-0.0017326i,0.0023626-0.0022873i,0.0021746-0.0018912i,0.00075501-0.0014896i,-8.9881e-05-0.0010673i,-0.00014935-0.00082272i,-0.00082263-0.00080902i,-0.00062937-0.00067518i,6.1704e-05+3.7904e-05i,-0.00027555+0.00034205i,-0.0003572-0.00059564i,-0.00040982-0.00041261i,-0.0004633+0.00045957i,0.00063265+0.00017254i,0.0015016-1.6204e-06i,0.00055614-0.00012373i,0.00037634+8.0627e-05i,0.00043773+0.00068352i,0.00021441+0.00071304i,-4.6735e-06+0.00056756i,-0.00029035+0.00065559i,-0.00022523+0.00045195i
-0.00033613+0.00025453i,0.00028579+1.6685e-05i,0.0013314-6.7158e-05i,0.0016715-0.0011045i,0.0010959-0.0014654i,0.00050767-0.00054867i,0.00010688-0.00039268i,-0.00015456+0.00019445i,-0.00093785+0.00080739i,-0.00037949+0.00070944i,0.00041745+0.00039788i,0.00044917+0.00082816i,0.00037128+0.0011417i,-0.00029853+5.7204e-05i,-0.00060981-0.00063696i,0.00020834-0.00040496i,0.0007934-0.00062873i,0.0005983-0.00067558i,0.00052612-0.0002118i,0.0005414-6.4228e-05i,0.00073089+0.00032935i,0.00061687+0.00028266i,-0.00013843+0.00012502i
0.0012361-6.6409e-05i,0.0018758-0.00091864i,0.0023581-0.0012645i,0.0017366-0.0012074i,0.00046053-0.00097626i,-0.00049342+0.00018951i,-0.0013324+0.00036906i,-0.0014984-0.00017092i,-0.0014619-0.00016721i,-0.0010266-0.00032336i,-0.00023046+5.6132e-05i,0.0001757-3.4467e-07i,0.001023-0.00067916i,0.0012497-0.0010418i,0.00089211-0.00083535i,0.00088614-0.0012795i,0.00034868-0.0013738i,-0.00048223-0.00078055i,-0.00046726+0.00035929i,-0.00047714+0.00061472i,-0.00031736-0.00013491i,0.00054188-0.00080545i,0.00051979-0.00044419i
0.00019259-0.00096609i,0.0011821-0.00077509i,0.0025991-0.0015791i,0.0021636-0.0024025i,0.00072299-0.0013696i,-0.00033911+1.7281e-05i,-0.0014063+0.00013687i,-0.0012506-0.00024365i,-0.00099341-0.00033267i,-0.00055319-0.00040743i,-7.839e-05-0.0006251i,-0.00015244-0.00043618i,-0.00049712-7.7521e-05i,-0.0003824-0.0010078i,0.00065676-0.0012961i,0.0010822-0.00070282i,0.00028067-0.00087817i,6.7799e-05-0.0010629i,0.00017994+0.00016827i,-3.8918e-05+0.00087702i,-0.00011828+0.00050133i,0.00018189+0.0010937i,-0.00013839+0.0010519i
0.0010848-0.00031998i,0.00057483+0.00016313i,0.0005084-0.0009651i,0.00067885-0.0016682i,0.0002109-0.001802i,-0.00044266-0.0013245i,-0.0006076-0.00045777i,6.9027e-05+0.00014966i,-0.00014068+6.9856e-05i,-5.5385e-05+9.034e-05i,-8.8669e-05+0.0006846i,-0.00015364+0.00041217i,0.00015489-0.00028007i,0.00015078-0.00056708i,-0.00037445-0.00071654i,-0.00023414-0.00077421i,0.0006048-7.8785e-05i,0.00062715+0.0003037i,0.00010251+0.00056283i,5.3466e-05+0.00079712i,-0.00018434+0.00060714i,-0.00052131+0.00053298i,-0.00021407+0.00064024i
0.00028487+9.237e-05i,0.00094956-0.00032477i,0.0019132-0.00058283i,0.0016749-3.9915e-05i,5.2109e-05+2.3793e-05i,0.00020893+0.00026039i,3.7804e-05+0.00010315i,-0.0011827-0.0002905i,-0.0012232+0.00014847i,-0.0014371+0.0012975i,-0.00088123+0.0014774i,2.065e-05+0.00030897i,-5.8057e-05-0.00025509i,-0.00025529+2.2122e-05i,-6.2442e-05+0.00016447i,0.0002806+0.00076826i,0.00064056+0.0011963i,0.0016057+0.00036761i,0.0017349-0.00016267i,0.00049638-0.00018005i,-4.4237e-05-0.00058957i,0.00061687-0.00042387i,9.072e-05+0.00024918i
0.0012127-2.567e-05i,0.0020788-0.00027254i,0.0036082-0.00093186i,0.0033934-0.0010959i,0.00097015-0.0013567i,-0.0004493-0.0014914i,-0.00024131-0.00085294i,0.00011192-0.000189i,-0.00011087+0.00026301i,0.00012515+0.00027997i,0.00045072+0.00038724i,0.00019798+0.00031104i,0.00032106-0.00076535i,0.00075336-0.00086651i,0.00018626+0.00037762i,-0.00012932+0.0010678i,0.00051374+0.00039051i,0.00068732-0.00015147i,0.00059356+0.00046437i,0.0004978+0.00042928i,0.00019084+0.00011491i,-0.00018006+0.00027518i,-8.7789e-05+0.00054073i
-0.00015017-0.0015582i,0.00053782-0.00044302i,-0.00036348-0.00046699i,-0.0011206-0.00096341i,-0.0011839-0.00061778i,-0.00088813-0.000128i,-0.00069204-0.00021686i,-0.00082267-0.0008219i,-0.00069977-0.00082887i,-0.00092985+0.00019371i,-0.0015906+0.00070815i,-0.0014195+0.00042825i,-0.00044047-8.4874e-05i,6.5275e-05+4.9218e-05i,0.00068772+0.00023492i,0.00099913-0.00066067i,0.0012949-0.00084134i,0.00097524-0.00033589i,-6.5819e-05+9.0731e-05i,0.0003242+0.00054509i,0.00084318+0.00042884i,0.00081369+0.00030898i,0.00032072+0.00049462i
0.0015628-8.8466e-06i,0.0017951-0.00027196i,0.0034589-0.00098996i,0.0037737-0.00074667i,0.0015497-0.00095257i,-3.0175e-05-0.0013154i,0.00027899-0.0012644i,0.00074609-0.0002106i,0.00018649+0.00038735i,0.00014557-2.2446e-05i,0.00053467-9.012e-05i,0.00010281-0.0005755i,-8.9058e-05-0.00032454i,0.001024+0.00058643i,0.0015668+0.00034343i,0.00015953-0.00072319i,-0.00010959-0.00091213i,0.00045452-0.00060759i,-0.00027831-0.00073319i,-0.00025791+0.00015782i,7.2884e-05+0.0010671i,-0.00039482+0.00072064i,-0.001028-0.00031304i
0.00027237+0.00069245i,-5.7297e-05-0.00044904i,0.00087725-0.0018311i,0.0012997-0.0019851i,0.00083118-0.0012124i,-1.7263e-05-0.00017122i,-0.00054407+0.00019668i,-0.00051822-0.00022908i,-0.00057665-0.00045461i,-0.00045376+0.00026181i,-2.5183e-05+0.00091032i,0.00022355+0.00073417i,0.00013533-0.00023289i,-4.6715e-07+7.8313e-05i,-0.00033558+0.00018014i,-0.00036997-0.00053312i,-0.00080597-0.00060064i,-0.0010038+7.6595e-06i,3.2466e-05+0.00047296i,0.00057423+0.00059735i,-0.00028407+0.00019505i,-0.00059995-7.4332e-06i,2.2627e-06+0.00010971i
