0.0011222-0.0012963i,0.001521-0.0025409i,0.00010372-0.0035882i,-0.0016717-0.0033633i,-0.0026551-0.0021989i,-0.0029065-0.00036831i,-0.0023401+0.00065659i,-0.0013629+0.00046251i,-4.9785e-05+0.00056457i,0.0013454+0.00011992i,0.0015569-0.00070769i,0.00047832-0.00029906i,0.00010321+0.00014656i,7.3655e-05-0.00016386i,-0.0003743+0.00017306i,-0.00078194+0.00050184i,-0.00052779-0.00042831i,-8.8831e-06-0.001147i,0.00060647-0.00061931i,0.00093409-0.00012573i,1.9401e-05-0.00038519i,-0.00050653-0.0015633i,-0.00027337-0.0014601i
-0.038615+0.08134i,0.015724+0.28097i,0.1842+0.54912i,0.37402+0.68174i,0.38495+0.5874i,0.18288+0.42339i,0.0015819+0.31618i,-0.016261+0.20267i,0.015215+0.079981i,0.021934+0.038724i,0.033215+0.034568i,0.030528+0.013527i,0.021491-1.1054e-05i,0.029722-0.013701i,0.033836-0.043826i,0.014-0.076093i,-0.024873-0.079409i,-0.05397-0.038316i,-0.047002+0.012278i,-0.018503+0.029515i,0.00087639+0.015696i,0.0021012-0.0044408i,-0.0021821-0.015584i
0.081951-0.0090253i,0.1105-0.082149i,0.054484-0.28089i,-0.12378-0.47088i,-0.24934-0.45429i,-0.1619-0.29916i,-0.027192-0.21458i,-0.0096661-0.1734i,-0.01203-0.1021i,0.014464-0.061757i,0.01937-0.037977i,0.025116-0.0045976i,0.027807+0.0031352i,0.0041249-0.0018581i,-0.015803+0.014415i,-0.013632+0.044536i,0.0022242+0.049811i,0.019283+0.01536i,0.024757-0.021924i,0.018332-0.031466i,0.0071567-0.022164i,-0.0075621-0.00994i,-0.019791+0.0042727i
0.0071564-0.044357i,0.064301-0.033321i,0.15724+0.038933i,0.24142+0.13611i,0.269+0.15503i,0.198+0.11464i,0.11897+0.12762i,0.096728+0.15153i,0.060321+0.1196i,0.010565+0.082006i,-0.0059969+0.042603i,-0.017882-6.5796e-05i,-0.027503-0.0042785i,-0.0094284+0.0080804i,0.012083-0.0070759i,0.009774-0.03754i,-0.0092586-0.039955i,-0.026662-0.0013034i,-0.033437+0.039092i,-0.034956+0.049772i,-0.032946+0.04292i,-0.017798+0.037816i,0.0057563+0.031366i
-0.0037754-0.037149i,-0.11052-0.10465i,-0.2822-0.16072i,-0.41023-0.11356i,-0.39468-0.021122i,-0.26303-0.010896i,-0.15867-0.074527i,-0.11192-0.1015i,-0.066949-0.071747i,-0.029786-0.039054i,-0.011917-0.016922i,-0.00025568-0.010662i,0.0046565-0.022809i,-0.004447-0.016491i,-0.011709+0.025972i,0.005485+0.067944i,0.0379+0.06752i,0.05527+0.024233i,0.047521-0.02805i,0.030762-0.056372i,0.018362-0.05769i,0.013773-0.051336i,0.012357-0.04799i
-0.054412+0.024977i,-0.042786+0.090677i,0.071357+0.13052i,0.24134+0.033597i,0.27656-0.10457i,0.17511-0.093229i,0.14239+0.0039907i,0.17643+0.0073632i,0.15027-0.048847i,0.087419-0.054111i,0.051088-0.028103i,0.033115+0.0016251i,0.027138+0.033113i,0.034024+0.026229i,0.03208-0.025843i,0.0076727-0.072089i,-0.022469-0.078474i,-0.034599-0.053379i,-0.031081-0.01029i,-0.019033+0.029849i,-0.00093064+0.043155i,0.0040308+0.029927i,-0.010788+0.01554i
0.0687+0.091388i,0.091592+0.1817i,0.023476+0.2849i,-0.11418+0.37311i,-0.14606+0.39281i,-0.035284+0.29023i,0.0021979+0.12536i,-0.085442+0.060647i,-0.10509+0.10144i,-0.034749+0.096072i,-0.0055001+0.042993i,-0.019577+0.016819i,-0.017889+0.0071945i,-0.0042694+0.0064076i,0.0045259+0.023898i,0.010137+0.044883i,0.016654+0.057533i,0.023725+0.055577i,0.030603+0.0315i,0.027193-0.0033724i,0.0058766-0.023089i,-0.014786-0.013981i,-0.015868+0.0056493i
0.057542-0.098015i,0.20129-0.23861i,0.36465-0.42886i,0.36048-0.58406i,0.15648-0.58771i,-0.039808-0.40887i,-0.048765-0.18645i,0.060864-0.082405i,0.076893-0.097389i,-0.0015172-0.083452i,-0.022903-0.027368i,0.0072088-0.013897i,0.0021905-0.025094i,-0.032997-0.018499i,-0.056647-0.00059195i,-0.057302+0.010609i,-0.053686+0.0015462i,-0.054641-0.0093232i,-0.044308-0.0050526i,-0.021033-0.0015553i,-0.0023537-0.0062802i,0.006754-0.013188i,0.010955-0.014271i
-0.096101+0.017249i,-0.34057+0.061223i,-0.61775+0.24811i,-0.62181+0.56527i,-0.33405+0.69182i,-0.068671+0.45492i,-0.0051655+0.1642i,-0.035803+0.056827i,-0.023414+0.059802i,0.011787+0.041159i,0.0060969-0.0024472i,-0.024313-0.015668i,-0.023179+0.0028679i,0.019668+0.011231i,0.067979-0.017113i,0.085938-0.061422i,0.076087-0.073533i,0.058146-0.053522i,0.034109-0.027571i,0.016093+0.00042855i,0.019226+0.018049i,0.03052+0.015282i,0.038687-0.0014523i
0.041159+0.019333i,0.25485+0.11663i,0.57881+0.1149i,0.74928-0.09278i,0.60844-0.24186i,0.3524-0.11466i,0.24323+0.023207i,0.21886-0.018192i,0.14405-0.079685i,0.073951-0.04773i,0.05874+0.0058208i,0.057884+0.027576i,0.042379+0.019674i,0.0010762+0.0023075i,-0.054117+0.0195i,-0.076367+0.073081i,-0.053179+0.091928i,-0.023388+0.050928i,-0.011945-0.0046289i,-0.017567-0.036947i,-0.030714-0.038676i,-0.039234-0.025058i,-0.045932-0.0059088i
-0.049214-0.05237i,-0.1997-0.13431i,-0.4158-0.2071i,-0.51559-0.12637i,-0.39646-0.017358i,-0.24594-0.065694i,-0.23602-0.12351i,-0.23958-0.066635i,-0.17688-0.0074276i,-0.11296+0.0004821i,-0.068634-0.0088502i,-0.042753-0.019286i,-0.030769-0.0046412i,-0.0073054+0.037502i,0.029871+0.056491i,0.047041+0.028193i,0.02566+0.0010234i,0.00088942+0.015427i,0.0049343+0.04409i,0.022253+0.049518i,0.027388+0.030954i,0.015486+0.012498i,0.004519+0.009014i
0.08357+0.023714i,0.28798+0.2166i,0.5321+0.34896i,0.57722+0.21234i,0.3906-0.01152i,0.22243-0.010557i,0.21874+0.071712i,0.22089+0.03913i,0.15667-0.0061339i,0.096312-0.0041283i,0.058661+0.0022503i,0.049107+0.0080315i,0.068279-0.00086033i,0.067413-0.045442i,0.02546-0.084296i,-0.017416-0.083012i,-0.036716-0.06507i,-0.04376-0.044662i,-0.04242-0.019647i,-0.035222-0.0027177i,-0.029212+0.012321i,-0.01045+0.0307i,0.016635+0.029926i
-0.026012-0.15095i,-0.10533-0.48321i,-0.28835-0.80543i,-0.44677-0.728i,-0.41106-0.39071i,-0.25275-0.18716i,-0.17353-0.10907i,-0.15177-0.038192i,-0.12392+0.013757i,-0.073595+0.045325i,-0.023113+0.039561i,-0.036136+0.012469i,-0.082331+0.016998i,-0.077536+0.053683i,-0.012232+0.081084i,0.05958+0.06888i,0.09573+0.026822i,0.09059-0.022304i,0.049988-0.054703i,0.0057077-0.056526i,-0.011082-0.048816i,-0.013498-0.051315i,-0.015769-0.051645i
-0.10835+0.17259i,-0.2422+0.56529i,-0.28076+0.96632i,-0.14331+0.92017i,-0.049578+0.52996i,-0.077883+0.25557i,-0.028039+0.17354i,0.05774+0.12203i,0.088528+0.069082i,0.086713+0.01038i,0.056491-0.033542i,0.049011-0.033481i,0.076769-0.027572i,0.071632-0.033718i,0.023483-0.034294i,-0.022538-0.013801i,-0.03636+0.025461i,-0.019247+0.053084i,0.0087824+0.046855i,0.022862+0.019501i,0.013443-0.0041431i,-0.010509-0.010218i,-0.030991-0.0024217i
0.20709-0.032427i,0.56081-0.21838i,0.8689-0.47454i,0.75924-0.56954i,0.39687-0.40429i,0.23195-0.16132i,0.21656-0.071017i,0.14873-0.056484i,0.064247-0.0089975i,0.019835+0.039775i,0.01079+0.063064i,0.0038601+0.05263i,-0.024373+0.021568i,-0.050242-0.0017451i,-0.054497-0.0001497i,-0.047237+0.012731i,-0.048034+0.012775i,-0.048542+0.0083521i,-0.02605+0.010455i,0.0047813+0.0098766i,0.024363+0.0064607i,0.045665+0.0013074i,0.061003-0.0083769i
-0.1011-0.066654i,-0.36563-0.082029i,-0.58049-0.034398i,-0.48112+0.033616i,-0.19273+0.061021i,-0.059753+0.031364i,-0.085056+0.048139i,-0.049957+0.081291i,0.030252+0.027242i,0.040314-0.05058i,0.016338-0.057244i,0.01133-0.01896i,0.026992+0.020744i,0.087652+0.029618i,0.15499-0.036854i,0.14702-0.12811i,0.094145-0.15733i,0.059319-0.12231i,0.02999-0.061849i,-0.001712-0.013125i,-0.026994+0.0081202i,-0.042988+0.025255i,-0.031285+0.041871i
