-0.0012751-0.00046687i,-0.0010442-0.00036998i,-0.00012667-0.0001882i,0.00054692-0.0003189i,0.00057215-0.00018071i,0.00083663+0.00063345i,-0.00037369-0.00011319i,-0.0025013-0.00014371i,-0.0023389+0.0020973i,-0.00054902+0.0029335i,0.00038327+0.001991i,0.0007408+0.00054897i,0.00073366-0.00031616i,0.00032676-0.00094098i,0.00015727-0.0011067i,-8.001e-05-0.00018897i,-0.00045984+0.00026006i,-0.00024354+0.00020647i,0.00031963-0.00042259i,0.00037956-0.00092706i,0.00013006-0.00049286i,-2.9108e-05-0.00011134i,-4.5012e-05+0.00015847i
-1.1013e-05+0.00028941i,-0.00012353+1.6679e-05i,-0.00062815+2.8295e-05i,0.00038251+0.00060939i,0.0021837+0.0010572i,0.0027805+0.0007902i,0.0021381-0.00015784i,0.001198-0.00023718i,3.6659e-05+0.00017542i,-0.00052529+0.00064869i,-0.00039751+0.00074246i,0.00020369+0.00042277i,0.00021426+8.5585e-05i,-7.6796e-05-0.00073479i,-0.00011026-0.00078286i,0.00013739-0.00028501i,0.00036039-9.7124e-05i,0.0001883-0.00020426i,-0.00060834-0.00053782i,-0.00069234-0.0012552i,-0.00018702-0.0012772i,-0.00015109-0.00067236i,-0.00014236-0.00025554i
-0.00097765+0.0002318i,-0.00022154-0.00017627i,-3.5687e-05+5.814e-05i,0.00024253+0.00014578i,0.001332+0.00076548i,0.0023242+0.00037439i,0.0018052-0.00073418i,0.00032124-0.00033288i,-0.0008912+0.00087535i,-0.00070551+0.0010081i,-9.4181e-05+0.00022905i,3.1474e-05-0.00063453i,0.00032367-0.00044523i,0.00088782+0.00034772i,0.00059509+0.00037934i,0.00020446+0.00024684i,0.00028931+8.6118e-05i,0.0002423-0.0012581i,-0.00037727-0.0020305i,-0.00099695-0.00051179i,-0.00054027+0.00035525i,0.00019323+0.00034955i,1.1633e-05+0.00041462i
0.00042532+2.5711e-05i,0.00079782-0.00018313i,0.0002489-0.00050362i,-0.00046706+0.00029128i,6.6419e-05+0.00076772i,0.0017105+0.0003159i,0.0014897-0.0014464i,-4.214e-05-0.002218i,-0.0012523-0.0009479i,-0.0011047+0.00013305i,-0.00047032-8.5967e-05i,0.00023614-0.0008083i,0.00051694-0.0007782i,2.0207e-05+0.00044639i,0.00036221+0.00048204i,0.0005096-4.6605e-05i,3.3005e-05+0.00031803i,1.874e-05+0.00010895i,8.1586e-05-2.6846e-06i,6.4022e-05+7.8474e-05i,0.00031521+9.4832e-05i,0.00032656+0.00075903i,4.7804e-06-2.7012e-05i
0.00045025-0.0021296i,0.00035047-0.0012918i,-0.00017791-0.0010362i,0.00027676-0.0010335i,0.0011829+0.0004188i,0.0012898+0.0010368i,0.0012214-0.00065489i,0.0001512-0.0010298i,-0.00067411-6.9796e-05i,-0.00093759+0.00016435i,-0.0011847-0.0002673i,-0.0012799-0.00049012i,-0.00085349-0.00048189i,0.00010934+5.1629e-05i,0.00046974+0.00027379i,0.00031918+0.00011971i,0.00042498+0.00042167i,-0.00028945+0.00021352i,-0.001041-0.00035313i,-0.00037457-0.00057359i,0.00043957-0.00032284i,0.00054058+0.00015553i,8.4679e-05+0.0003506i
-0.00022266+0.00028508i,-0.0010378+0.00054889i,-0.0016646-0.00057858i,-0.00084154-0.00012657i,0.00047065+0.0008028i,0.0017543+0.00097399i,0.0015364-0.00011512i,-0.00023759-0.00038569i,-0.0017915+0.0004564i,-0.0014707+0.00074789i,-0.0002613+0.00061817i,0.00033782+0.00073473i,0.00025098+0.00087911i,-3.6854e-05+0.0004552i,-6.5812e-05+9.6925e-05i,6.4469e-05-0.00031607i,-0.00012689-0.00034659i,-0.00065625-0.00044778i,-0.00073154-0.00042547i,-0.00041061-9.0699e-05i,-0.00027114-9.8923e-05i,-0.0001145+0.0004595i,0.00023906+0.0011084i
-0.00027982+2.9524e-05i,-0.00018147+0.00061879i,0.0010724+0.00080973i,0.00048161+0.00099837i,4.7599e-06+0.00072386i,0.0011468+0.00060741i,0.0014353+0.00032144i,-6.3336e-05-0.00027363i,-0.0011493+8.3456e-06i,-0.00038279+0.00075613i,0.00054806+0.00073734i,0.00051236+0.00072409i,0.00016323+0.0010592i,0.00025155+0.00033244i,0.00028418+0.00023838i,0.00048802+0.00074012i,7.6337e-05+0.00037446i,-0.00052028-0.00068017i,-0.00045587-0.0013472i,-0.00044895-0.0011674i,-0.00040387-0.001406i,-0.00029081-0.0011526i,-6.822e-05-0.00070228i
-0.0025446-0.0013338i,-0.0028409-0.00099696i,-0.001818-0.0006102i,-0.00028968+0.00010262i,0.0011806+0.0021284i,0.002567+0.0016151i,0.0026587-0.0012927i,0.00045434-0.0018936i,-0.0015094-0.000415i,-0.0014038+0.00023955i,-0.00040715+0.0007216i,0.00028021+0.00088845i,0.00029048+0.0001013i,0.00062182+0.00019025i,0.00097793+0.00016231i,0.0011579+5.4474e-05i,0.00095153+0.0003054i,0.00021055-0.00019083i,-0.00020425-0.00019439i,-8.3694e-05+0.00058427i,-0.00015304+0.0006813i,0.0001433-8.2114e-05i,0.00033814-0.00016159i
3.3124e-06-0.00082936i,-0.00071459-0.0012331i,-0.0015878-0.00097427i,-0.0023691+0.00038736i,-0.0021071+0.0020149i,0.00066787+0.0025449i,0.0023197+0.00098315i,0.0011214-0.00031399i,-0.00047302+0.00021338i,-0.0011125+0.0010852i,-0.0007256+0.00078944i,0.00034554+0.0004253i,0.00075185+9.456e-05i,0.00045212-0.00090661i,0.00030763-0.0011685i,0.0005121-0.00074699i,0.00029429-0.00034857i,-0.0006945-0.00030039i,-0.0013014-0.0004116i,-0.0010613-0.00024711i,-0.00012661-0.00031995i,0.00026934-0.00033467i,0.00017794-9.2012e-06i
0.0015517+0.00098501i,0.0013996+0.00049143i,0.0010202+0.00056643i,0.00049647+0.0010916i,0.00088287+0.0017307i,0.0014522+0.0016265i,0.00074919+0.00011787i,-0.0012571-0.0010291i,-0.0017638-0.00029631i,-0.0010119+0.00073609i,-0.00045541+0.00019107i,1.7919e-06-0.00051777i,-0.00010659-3.3239e-05i,-0.00019067+0.00055454i,-0.00018088+0.00052115i,-0.00026157+0.00048867i,0.00015611-0.00036289i,0.0003785-0.00076817i,0.00013623-0.00035773i,0.00055117-4.3309e-05i,0.00083617+0.00041989i,0.00051971+0.00029284i,0.00049506-0.00043611i
-0.00091166+0.00015237i,-0.00083237+0.00083934i,-0.0011188+0.0006775i,-0.0013029+0.00075283i,-9.595e-05+0.0009129i,0.0020278+0.00030769i,0.0025108-0.0013127i,0.00076128-0.0015034i,-0.0014787-0.00046627i,-0.0024671+0.00042854i,-0.0009666+0.00095023i,0.00029839+0.0011247i,0.00019183+0.0003588i,0.00043449-0.00060813i,0.00058567+0.00013567i,-7.2496e-05+0.00069663i,-0.0012785+0.0001017i,-0.00093568-0.00044999i,-0.00045544-0.00073299i,-0.00099856-0.00072177i,-0.00076336-0.00068529i,-0.00036002-0.0002414i,-0.00041246-0.00025123i
0.00089279-0.0010199i,0.0014625-0.00084711i,-2.1581e-05-0.00055524i,-0.00091763+0.00014729i,0.00047328+0.0010699i,0.0018083+0.0012933i,0.0014617-0.00014058i,-0.00054062-0.0010258i,-0.0017447-0.00023264i,-0.0010982+0.00067062i,-0.00057423+0.00080446i,-0.00032258+0.00043943i,-0.00059032+7.2343e-05i,-0.00097327+0.00017063i,-0.001021+0.00019756i,-0.0010631+1.0568e-05i,-0.00094727-0.00019108i,-0.00018914-0.00071539i,0.00050293-0.0007502i,0.0003681-0.00047139i,0.00027995-0.00074516i,0.00041262-0.0009988i,0.00090698-5.8098e-05i
0.00052623+0.00063866i,0.00048965+0.0017386i,0.00021195+0.0022173i,0.00088397+0.0019731i,0.0017109+0.0018231i,0.0025538+0.00069519i,0.0022947-0.00029841i,0.00011931-0.00020784i,-0.0012621+0.00030873i,-0.00093081+0.00024275i,-0.00018605-0.00021924i,0.00079516-9.0214e-05i,0.00074578-0.00010267i,0.0003823+0.00010487i,0.00048732+0.00011424i,0.00083838-0.00049079i,0.00098194-0.00055646i,0.0010718-0.00037098i,0.00088534-0.00043088i,0.00034664-0.00027127i,-0.0002513-0.00050414i,-0.00050039-0.00063168i,-0.0005371-0.00020433i
-0.0011613+0.00070397i,-0.0012472+0.00089141i,-0.0010589+0.0011521i,-0.00051743+0.001319i,0.0010085+0.0016231i,0.0023674+0.00080841i,0.0015512-0.0013146i,0.00012636-0.0019049i,-0.0008634-0.00066105i,-0.0011816+0.0011173i,-0.001261+0.0017475i,-0.0017209+0.00079983i,-0.0018056+1.5404e-05i,-0.0013068-0.00024892i,-0.00029299+0.00014138i,-3.8647e-05+2.069e-05i,-0.00012783-0.0004185i,0.00015777-0.00061503i,0.00065549-0.00099652i,0.00067241-0.00088038i,-0.00034535+7.0605e-05i,-0.00043174+0.00026253i,0.00011481-9.7701e-05i
-3.1079e-05+0.00050316i,-0.0010722+0.00014466i,-0.0018044+0.00047782i,-0.00080178+0.00072361i,0.0010325+0.0015986i,0.0026441+0.0014911i,0.0021124-0.00011097i,-0.00031411-0.00096955i,-0.0015776-0.00089257i,-0.0014316-0.00019946i,-0.0010167+0.00068728i,-0.00046866+0.00077977i,0.00025126+0.00083119i,3.2537e-05+0.00028057i,0.00040039-0.00072629i,0.00091088-0.00098261i,7.8908e-05-0.000975i,-0.00074491-0.0010282i,-0.00019871-0.0010929i,0.00050337-0.00067976i,0.00051187-8.605e-05i,0.00035014+0.00022235i,-0.00026178+0.00044505i
-0.00033644+0.00076105i,-0.0003127+0.0012715i,0.00071238+0.0025592i,0.0017878+0.0024638i,0.0023335+0.0018664i,0.0027618+0.00092898i,0.0021846-0.00061276i,9.853e-05-0.00042618i,-0.0015806+6.0173e-05i,-0.0020482+0.00080342i,-0.0011918+0.0011903i,-0.00051886+0.00096146i,-0.0011408+0.00045532i,-0.0011348-0.0002041i,-0.00031368-0.00046272i,0.00036187+8.0681e-06i,7.4424e-05+0.00019206i,-0.0004076-0.00050983i,-0.00026696-0.00088312i,0.00018419-0.0010059i,0.0002031-0.0002739i,5.58e-05+0.00031529i,0.00011031+8.2601e-05i
-0.00037876+0.0007962i,-0.0014989+0.00078928i,-0.0011434+0.0012588i,0.00015507+2.3934e-05i,0.0014807-0.00108i,0.0022564-0.0001426i,0.0016787-0.00026146i,-0.00049264-0.0012052i,-0.0020333-0.00069855i,-0.0016617+0.0010176i,-0.0014555+0.0018721i,-0.0010838+0.00095651i,-0.00042084-0.00030055i,-0.00087663-0.00062194i,-0.0012043-0.00069422i,-0.00028829-0.0001999i,0.00045664+0.00036147i,0.00036745-0.00015337i,-0.00047743-0.00063697i,-0.00088437-0.00077104i,-0.00018626-0.00086375i,0.00031674-0.00016465i,0.00027485+0.00067938i
-0.00014496-0.00082153i,0.00023713-0.00067224i,-0.00015471-0.00060258i,-0.00066468-2.3853e-05i,0.00053606+0.00060347i,0.0015305+3.1367e-05i,0.0015097-0.001164i,4.7868e-05-0.00099404i,-0.0019977+0.00035795i,-0.0022518+0.0005937i,-0.0010999+0.00046667i,6.2438e-05+0.00069303i,0.00069725+7.6254e-05i,0.00024541-0.00018398i,-0.00077769-0.000418i,-0.00097147-0.00091317i,-0.000724-0.00054908i,-0.00045649-0.00083752i,0.00017085-0.00087406i,0.0003387-0.00054809i,0.00013092-0.00024704i,2.3124e-05+0.00016456i,-0.0005077+0.00044731i
-0.00060867-0.00097618i,-0.0015379-0.0010156i,-0.0015505-0.0014397i,-0.00066594-0.0009877i,-0.00029484+0.00021607i,0.0013266+0.00090162i,0.0020569+0.00034821i,0.00036801-0.00035187i,-0.00098495-6.2286e-05i,-0.0011846+0.00028016i,-0.00054258+0.00031465i,-0.00024589+0.00014331i,0.000108-8.9149e-05i,0.00041884+0.00014133i,-0.00023532+0.00015663i,-0.00044232-0.00040799i,-0.0001917-0.00034627i,-0.0003087-0.00038638i,-0.00022913-0.00090377i,-0.0004959-0.00055205i,-0.00066599+5.3551e-07i,-0.00012395-0.00062038i,0.00045282-0.0008894i
