-0.0015292+0.00077732i,-0.00056682+2.4655e-05i,-0.0011538-0.00062578i,-0.0012654-0.00049309i,-0.0010752+0.00028204i,-0.00023609+0.00042994i,0.00046503+0.0016052i,0.00097719+0.0021046i,0.0019592+0.0014984i,0.0021807+0.00049183i,0.001555-0.00041359i,0.00046089-0.00020486i,0.00026773-0.00028296i,0.00010122-0.001281i,3.9959e-05-0.0012967i,-0.00017563-0.00053747i,-0.00022368+0.00014045i,-7.674e-05+0.00034672i,-0.00013414+0.00060566i,-0.00010181+0.0006932i,-0.00011066-0.00027871i,-0.00032787-0.00065374i,-5.7883e-05-0.00044717i
0.0024415-0.00024395i,0.0019468-0.0012557i,0.0025483-0.002376i,0.0029337-0.0022397i,0.00094835-0.0011194i,-0.00064337-0.00092302i,-0.00079468-0.00086723i,-0.00081784-0.00027598i,0.00046289+0.00063738i,0.0013323+0.0012748i,0.00099664+0.0006937i,0.00040658+0.0006228i,4.4145e-05+0.0010479i,0.00059317+0.00062489i,0.0015215+0.00056757i,0.0012742+0.00054383i,0.00038916-5.6316e-05i,-0.00019165-1.1354e-05i,-0.0002039+0.0010226i,0.00046599+0.00099454i,0.00089681+0.0004894i,0.00021428+0.00020995i,-0.00035852-0.00025056i
-0.00035525+0.00083479i,0.00014289+0.00028099i,0.00013237-0.00041001i,-0.00029398-0.00082161i,-0.00033067-0.00077285i,7.0716e-05-0.00060623i,0.00035815-2.8925e-05i,0.00031647+0.00012687i,-0.00016571+0.00016935i,2.4051e-05+0.00022046i,0.00080991-3.065e-05i,0.00015018+9.7403e-05i,-1.3389e-05+7.4629e-05i,0.00025978+3.7682e-06i,-0.00054318+3.6024e-05i,-0.00066091-1.1212e-05i,-0.00013417+2.9606e-07i,1.4767e-05+0.00086842i,1.1487e-05+0.0012605i,-3.9948e-05+0.0010429i,-0.00039663+0.00031453i,-0.00063235-0.00042715i,-0.00091612+0.0001391i
-6.4149e-05+0.00078815i,-5.2862e-05+0.00089566i,3.0881e-05+0.00050548i,-0.00012942+2.6028e-05i,-0.00038051+0.0005805i,-0.00057672+0.00058324i,-0.00075057-0.00041469i,-0.00075286-0.00038795i,-0.00070222+0.00078593i,-0.00042789+0.00075038i,0.0002248+0.00026314i,-1.3103e-05+0.00073782i,-0.00017148+0.0012801i,-1.1275e-05+0.00072081i,-0.00021906+0.00028098i,0.00055292+0.00019471i,0.0010241+0.00019312i,0.0003068+0.00092891i,-0.00022342+0.00065459i,-0.0001902+0.00047847i,-0.00078751+0.00030756i,-0.00058045-0.00051901i,0.00024597-0.00076106i
0.00021081-0.0007246i,4.0188e-05+0.00065947i,9.1085e-05+0.00064435i,-2.5423e-05-0.00065113i,-0.00022257-0.0016216i,0.00014293-0.00074643i,0.00018857-0.00019294i,-0.00012017-0.00047693i,-0.00033062-0.00038435i,0.00039336-0.00010694i,0.00059614+0.00034119i,0.00023675+0.00051827i,0.00053659+3.3082e-05i,0.0010221+0.0002054i,0.00028616+0.00061698i,-0.00076572+0.00083767i,-0.00064862+0.00075714i,0.00011015+0.0002699i,0.0002324-0.00018514i,-0.00028094-0.00074612i,-0.00054843-0.0006779i,-0.00090736-0.00010254i,-0.00091201-0.00029208i
0.00027103+0.00059707i,7.6047e-05-0.0004263i,0.00027235-0.001037i,0.0004162-0.00085679i,-0.0002054-0.0011826i,-0.00047891-0.00066173i,0.00028536+2.0329e-05i,0.00088134-1.746e-06i,0.00059755+0.00033913i,0.00023616+0.00023939i,-0.00047429+3.75e-05i,-0.00089587+5.0595e-05i,-0.00028463+0.00013392i,0.00020007+0.00034652i,-0.00037322-0.00012436i,8.0609e-05-0.00098989i,0.00034197-0.00069063i,0.00028366-4.7472e-05i,0.0012879-0.0003469i,0.0013702-0.00013086i,0.0002454+0.0004513i,0.0002136-0.00022427i,0.00015136-0.0007221i
0.0028371+0.00068114i,0.0021721+0.00035441i,0.0022251-0.00076718i,0.0014905-0.0028198i,-0.00071462-0.003836i,-0.0020331-0.0018562i,-0.0015318+0.00074247i,-0.00039293+0.0013436i,0.00054299+0.0010964i,0.0012499+0.00057613i,0.00083763-6.0243e-05i,-0.00031569-0.00030348i,-0.00061408+0.00079487i,-0.0003423+0.001701i,0.00032981+0.00080119i,0.00077127+0.00019416i,0.00022074+0.00014924i,0.0003036-0.00018593i,0.0001291+0.00013002i,-0.0009539+0.00065497i,-0.001534+0.00073337i,-0.0012678+0.00057823i,-0.00092681+0.00021882i
-0.0015744+7.3373e-05i,-0.00015251+0.0002156i,0.00035903-0.00068247i,-0.0002174-0.00074036i,-0.0010733-0.00020324i,-0.0010633+0.00077198i,-0.00091285+0.00098873i,-0.00053017+0.00039461i,-0.00050697-4.9927e-05i,-0.00036828-0.00036021i,0.00024511+0.00040103i,0.00051527+0.0012321i,0.00019364+0.00094565i,3.9485e-05+9.0037e-05i,0.0001365+0.00060241i,4.8724e-05+0.001045i,-0.00022782+0.00057039i,-0.00039158+3.8962e-05i,-0.00046119+0.00032382i,-0.00060175+0.00040731i,-0.00038203+0.00028614i,-0.00032151+0.00072852i,-0.00095801+0.00053159i
0.0017796+0.00012967i,0.0010456+0.00018595i,0.0014829-0.00096412i,0.0011622-0.0020095i,-0.00018327-0.0025495i,-0.00025677-0.0017196i,-0.00042618-0.00014334i,0.00011734+0.00070727i,0.001295+0.00094314i,0.00073989+0.00041805i,0.0001703+1.0582e-05i,8.5532e-07+0.0005853i,-1.4815e-05+0.0009806i,0.00077776+0.00092869i,0.00056+0.0012343i,-0.00019116+0.0012403i,5.9403e-05+0.00020164i,0.00070831+7.0844e-05i,0.0004043+0.00077308i,-3.2894e-05+0.00023326i,7.8485e-05+4.7459e-05i,0.00015871+0.00050143i,-0.00018725+0.0010477i
0.00057048+0.00067734i,0.00045007-4.5188e-05i,0.00034926-0.00092328i,0.00089732-0.0021935i,0.0013866-0.0021202i,0.00042554-0.00053612i,-0.00018829+0.00099622i,-0.00011147+0.00048787i,0.00068841-0.00023729i,0.0012882+3.5341e-05i,0.00078467+0.0006033i,0.00076338+0.00091457i,0.00025276+0.00082173i,-0.00080784+0.00087573i,-0.00049621+0.00093291i,-5.5215e-05+0.00059545i,-0.00017093+6.4501e-05i,-0.00033652+0.0001953i,-0.00059776+0.00068821i,-0.00013612+0.0002348i,0.00039871-0.00042266i,0.00014786-0.00034096i,-8.0514e-05-9.3567e-05i
-0.00078367+0.00063134i,0.00014916+0.00070875i,0.0011512+0.0010448i,0.0012738+0.0002066i,0.00061907-0.00092154i,-3.9431e-05-0.00054715i,-0.00037011+0.00015084i,-0.00033808+0.0010293i,0.0002793+0.0013252i,0.00053365+0.00087148i,0.0003521+1.6123e-05i,-0.00013763+3.5325e-05i,-0.00073231+0.0006988i,-0.0002884+0.00053948i,0.00073356+7.345e-05i,0.00096414+0.00026094i,0.00072682+0.00047951i,0.00066856-0.00038526i,0.0002209-0.000453i,-0.00046769-0.00043749i,-0.00067396-0.00031433i,-0.0002186-0.00071641i,0.00021817-0.00070277i
0.0011109+0.00055861i,0.0017165-0.00025996i,0.0020243-0.0019202i,0.0018423-0.0022059i,0.00033534-0.0021422i,-0.0015447-0.0017877i,-0.0016907-0.00095547i,-0.0011661-0.00051653i,-0.00072507+0.00016358i,0.00027774+0.0003224i,0.0012125-1.7549e-05i,0.0011257-0.00041333i,0.00052683-0.00046501i,8.7747e-05+0.00026955i,-0.00013649+0.0012609i,-0.00072588+0.0012469i,-0.00084215+0.0010224i,9.8407e-06+0.00093404i,0.00078882+0.00027922i,0.00092581-0.00048079i,0.00085769-0.00049953i,0.00033588+8.7362e-05i,-0.00011639+9.4555e-05i
0.00026974+0.0011298i,0.00066349+0.00053962i,0.0018322+0.0007611i,0.0013872+0.00090451i,0.00069923+0.0011683i,-0.0005387+0.00081569i,-0.00096944+0.00062021i,0.00066267-0.00012521i,0.00063928+3.1696e-05i,-0.00031583+0.0011404i,-0.00053614+0.0011291i,-0.0012396+0.00055557i,-0.00067933+0.00037873i,0.00068088+0.00011803i,0.00072908-0.00043078i,-0.00024306-0.00032126i,-0.00054261-0.00021149i,-0.00044879+0.00019157i,-0.00058729+0.00062564i,0.00033202-8.5025e-05i,0.00080058-0.00019802i,-0.00010174+9.1602e-07i,-0.00065665+0.00041032i
0.00083134-0.0017694i,-0.00034307-0.00093919i,-0.0009824-0.0013214i,-0.0012468-0.001756i,-0.0019247-0.0017845i,-0.0014815-0.00048658i,-0.00037126+0.0008877i,-0.0003808+0.0010147i,-0.00010518+0.00062398i,0.00028642+0.00035827i,0.00057792+0.00041503i,0.00021107+0.00015922i,-0.00035181+9.5548e-05i,-0.00023907+0.00071623i,0.00022998+0.0004821i,0.00021625+0.00014058i,0.00094862+0.00025159i,0.0011918-0.00017136i,0.00086654-0.00055348i,0.00073302-0.00036275i,-0.00020302-0.0001407i,-0.00083616+6.372e-05i,-0.00064408+2.7586e-05i
0.0030325-0.00017077i,0.0032693-0.0015877i,0.0024264-0.002462i,0.0013028-0.0033165i,0.00055931-0.003172i,-0.00018566-0.0011011i,-4.3841e-07+0.0011458i,0.00035008+0.0014158i,0.00088212+0.00079959i,0.0010327+0.00041417i,-6.1393e-05+8.458e-05i,-0.00093615-3.4014e-05i,-0.00037588+0.00015156i,0.00068926+0.00066107i,0.0010953+0.0012511i,0.00159+0.0010268i,0.0010989+0.00016801i,0.00089472-0.00015949i,0.00081+0.00040536i,0.00060957+0.00036634i,5.5628e-05-0.00014787i,-0.00050014-0.00034545i,-0.00029018-0.00053145i
0.00069485-0.00019518i,0.0011934-0.00059948i,0.00060463-0.0017298i,-0.00039868-0.0025033i,-0.00075511-0.0027286i,-0.00070105-0.0016506i,-0.001137-0.00074405i,-0.00058163-0.00071883i,9.8716e-05+0.00025346i,0.00020758+0.0003901i,0.00051259+2.5915e-05i,0.00049913+0.00058614i,-0.00022663+0.00044067i,-0.00049849+8.0533e-05i,-0.00012278+0.00018433i,0.00055273+0.00028883i,-1.3958e-05+0.00040163i,-0.00064054+0.00067701i,-0.00043106+0.001152i,-0.00052899+0.0014335i,-0.00026504+0.00036336i,-6.7495e-05-0.00033158i,0.00047321-0.00035288i
0.0016328-0.0008741i,0.00093049+0.00052511i,0.00015211+0.00057655i,-5.1922e-05-5.1039e-05i,-0.001091-0.00085452i,-0.002147-0.0010744i,-0.0013251+0.00050452i,0.00028844+0.0011551i,0.00051091+0.0007358i,0.0001754+0.00062106i,1.1825e-05-8.0747e-05i,8.209e-05-0.00047188i,0.00058813-9.3865e-05i,0.00085842+0.00078575i,0.00057595+0.00016126i,0.00077878-0.00067756i,0.0012112-0.00075286i,0.00059953-0.00055063i,0.00018086+4.2393e-05i,-6.8832e-05+0.00064766i,-0.00041282+0.0011034i,0.00031115+0.00085723i,0.00058135+0.00038882i
-0.00013281+0.0016872i,-4.3144e-05+0.0012118i,0.00077965-0.00049711i,0.0015516-0.0018978i,0.00090625-0.0013018i,0.00021961-0.0006775i,0.00028957-0.00043093i,0.0004216-0.00032008i,0.00027804-0.00036494i,0.0001227-0.00018952i,-0.00040466-0.00019152i,-0.00067271+4.9335e-06i,-0.00050441+0.00085966i,-0.00044611+0.0010347i,-2.4543e-05+0.00082291i,0.001017+0.00088353i,0.0010578+0.00055705i,0.00045068+0.00038574i,0.00012049+0.00049846i,-6.616e-05+0.00031123i,-0.00045966-0.00065003i,-0.00058521-0.00091976i,-2.6031e-05-0.00013434i
-0.00026237+8.3088e-06i,-0.00059294-0.00012405i,-0.00080489-0.00029851i,-0.00092804-6.7396e-05i,-0.00096684-0.00048398i,-0.0002007-0.00074571i,0.00027756-5.862e-05i,0.00012392+0.00016419i,0.00067508+0.00035266i,0.00058218+0.00023411i,-0.00079712-0.0002471i,-0.00063235-2.6953e-05i,0.00048539+0.00039616i,0.00061374+0.00072774i,0.00011111+0.00068447i,9.7856e-05+0.00018229i,0.00085558-0.00011206i,0.00071606-6.6854e-05i,0.00022453+1.6124e-05i,3.1499e-05+0.0002402i,-0.00050471+0.00034004i,-0.00083941+0.00035117i,-0.00048318+1.8152e-05i
-0.00099113+0.00045088i,1.5775e-05+0.00033561i,0.00083871-0.00039816i,0.00022003-0.0016449i,0.00036517-0.0025538i,0.00081291-0.0014944i,-0.00014184-0.00022744i,-0.0010915+0.00033337i,-0.00081513+0.00052588i,-5.664e-05-0.00013492i,-0.000301-0.00040318i,-0.00014457-0.00020163i,0.00091256+0.00063133i,0.00031079+0.0016337i,8.997e-05+0.0020208i,0.00037591+0.0016815i,0.00023472+0.00090253i,8.1293e-05+0.00054064i,-0.00030716+0.00030018i,-4.0841e-05-0.00035791i,0.00047075-0.00035745i,0.00022149+6.9332e-05i,-4.4015e-05+0.00052158i
-0.0020447-9.41e-05i,-0.00081129+0.0012969i,-0.00056673+0.0012882i,-0.00070657+0.00066644i,-0.0015378+0.00083903i,-0.0016445+0.0013255i,-0.00078729+0.00079352i,-0.00022863+0.00045029i,-0.00040838+0.00073056i,-0.00090145+0.0010978i,-0.00027645+0.0006142i,0.00081346-0.00013652i,0.00084353-0.00053477i,0.0006843-0.00093957i,0.00089709+2.7085e-05i,0.00062709+0.00081038i,0.00018411+0.00059438i,0.00013754+0.00047845i,2.7741e-05+5.5397e-05i,-0.00015455+0.00024877i,0.00027881+0.00035151i,-0.00011612+0.00040544i,-0.00046614+0.0011173i
-0.00057522+0.00064411i,-0.00018088+0.00034605i,0.00044667-0.00022371i,0.00081177-0.00041532i,0.0010655+7.4724e-05i,0.00053429+0.0006284i,5.3303e-05+0.00036482i,0.00019072+0.0001731i,0.00026899+0.00074671i,0.00028019+0.00084177i,-0.0002549+0.00026699i,-0.00043348+4.23e-05i,0.00029843-0.00035214i,0.00051144-0.00065655i,0.00038669-0.00011506i,0.00055859+0.00019303i,0.00083475+0.00030275i,0.00046612+0.00036462i,0.00015193-7.6936e-05i,0.00040186+0.00043269i,-0.00013903+0.0010087i,-0.0009267-5.2482e-05i,-0.00054245-5.0109e-05i
-0.0016986+0.00051225i,-0.00080022+0.00050328i,0.00051109+0.00099679i,0.00072409+0.00099747i,0.00055255+0.0012347i,-7.0465e-05+0.0014358i,-0.00062449+0.0012174i,-0.00055646+0.0011011i,-0.00028644+0.00090302i,0.00071334+0.00090046i,0.0012942+0.001348i,0.00097811+0.0010809i,0.00047173+0.0012633i,4.6742e-05+0.001068i,-0.00044173+0.00010117i,-0.00061023-0.00052552i,-4.1866e-05+0.00029931i,0.00011946+0.0012244i,-0.00030862+0.0012633i,-0.00072761+0.00055648i,-0.00060499-0.00016942i,-0.00039257-0.00062883i,-0.00040721-0.0011975i
0.00055098+0.00015187i,0.00041891-0.00076149i,-5.192e-05-0.00086742i,-0.00023664-0.00089392i,-0.00039391-0.0010208i,-0.00098103-0.00023628i,-5.3632e-05+0.00076362i,0.00062946+0.00083151i,-5.3157e-05+0.0013788i,0.00050463+0.0016198i,0.0011033+0.00094403i,0.00033244+0.00036657i,0.00028375-0.00017089i,-6.2596e-05+0.00026992i,-0.00052524+0.0011349i,-0.00050836+0.00077598i,2.9868e-05-2.094e-05i,0.00040081+0.00016332i,-0.00051591-4.0796e-05i,-0.00080688-0.00042754i,-0.00063429-0.00063587i,-0.00018887-0.0011714i,0.00037516-0.001225i
0.00027825+0.001007i,0.00032633+0.00021014i,0.00059777-0.00029037i,-0.00024238-0.00058957i,-0.0014194-0.0008798i,-0.001425-0.00088095i,-0.0007749-0.00044026i,-0.00029215-8.2541e-05i,-0.0006641-5.8922e-05i,-0.00013193-0.00020338i,0.00017956-0.00032587i,-0.00039211-0.00030719i,-3.8178e-05-0.0002039i,0.00081012+7.6527e-05i,0.0013302+0.00031784i,0.0012613+0.00045796i,0.00017983+0.00046764i,-0.00055931+0.00048888i,5.625e-05+0.00021599i,0.00033804-0.00046303i,-0.0003057-0.00045312i,-0.00063106-0.00052066i,-2.3919e-05-0.00049385i
0.0021292+0.00079249i,0.00083074+0.0011554i,0.00015937+0.0015975i,-5.9635e-06+0.0012446i,-0.00070422-0.00021685i,-0.00091102-0.00084755i,0.00012211-0.00010969i,0.00019149+0.00062927i,-0.00040429+0.001103i,-0.00039466+0.001312i,-0.00019347+0.0007611i,-0.00023794+0.00012142i,0.00047247-0.00022646i,0.00099495-3.1725e-06i,-0.0002733-0.00033462i,-0.00016493-0.00086697i,0.00062581-0.00035945i,0.00050423-9.5805e-05i,-0.00020897-0.000407i,-0.00048497-0.00049076i,8.1416e-05-0.00043305i,0.00017703-5.1593e-05i,0.00044466-0.00045433i
0.00052628+0.0016152i,0.0015015+0.00086413i,0.0029243-0.00023032i,0.0030134-0.0015652i,0.0017407-0.0015325i,0.00038079-0.00029871i,0.00041125+0.0005113i,0.00064232+0.00045819i,0.00032116+0.00047434i,-0.00010517+0.00078771i,-0.00020083+0.00068034i,-0.00038822+0.00062761i,-0.0007769+0.00046481i,-0.0010215+0.00038984i,-0.00027167+0.0010491i,0.00107+0.0012912i,0.0015811+0.0011332i,0.0010618+0.0010829i,0.00061696+0.0008783i,0.00033875+0.00049424i,0.00017355-5.706e-05i,-0.00016896+9.2058e-05i,2.3924e-05+0.00098588i
0.00094493+0.00092461i,0.0010266-0.00048866i,0.00099058-0.0010404i,0.0012259-0.0013142i,-0.00019192-0.0022187i,-0.0010069-0.0012107i,-0.0010421+0.00077991i,-0.0013731+0.0019828i,-0.00058981+0.0017895i,0.00026614+0.00021012i,0.0011526-0.00056666i,0.00084748-3.5306e-05i,-0.00022079-0.00015559i,-0.00034803-0.0005768i,-0.00025912+0.00041499i,5.6556e-05+0.0010098i,0.00019411+8.031e-05i,2.1082e-05-0.00042764i,-0.00072915+0.00026151i,-0.00061961+0.00031416i,-0.00018529+1.2798e-05i,-0.00056459-0.00040817i,-0.00074554-0.00047417i
-0.00029471+4.8181e-06i,0.00078904+0.00047291i,0.001557+0.00082405i,0.0014365+0.00030411i,0.0018231-0.00054124i,0.0014693-0.00011422i,0.00068131+0.00054554i,0.0003874+0.00021781i,0.00036452+0.00012856i,0.00057875+0.00011133i,0.00099638-0.00024658i,0.00067852-0.00076086i,-5.9282e-05-0.00038424i,-0.00028273-1.4333e-05i,5.6572e-05-0.00029103i,0.00017661-0.00070927i,0.00011887-0.00087166i,-0.00026467-0.00038253i,-0.00040717-6.6602e-06i,5.4082e-05+0.00010043i,0.000494+0.00016812i,0.00037591+0.00051432i,-0.00039429+0.0005439i
-0.0014207+8.0576e-05i,-0.0017291+0.00074508i,-0.0022196+0.0013523i,-0.0019076+0.001397i,-0.00033973-0.00012149i,0.0012428-0.000828i,0.0009854+0.00019799i,0.00028586+0.0010757i,-9.9039e-06+0.0012686i,0.00080947+0.0011926i,0.0016889+0.00057835i,0.00083687-0.00053604i,5.4902e-05-0.00099497i,0.00068036-0.00083231i,0.00053796-0.00050906i,-0.00021793-0.00020054i,0.00028379+0.0001096i,0.00085362-9.8657e-05i,0.00034167-0.0004504i,0.00013456-0.00044025i,0.00060141-9.6388e-06i,0.00037908+0.0003218i,-0.00017635+1.2266e-05i
-0.0013015+0.0005026i,-0.0010274+0.001064i,-5.2761e-05+0.0016197i,-0.00011765+0.00095303i,-0.0014734+0.00051751i,-0.0015179+0.00092704i,-0.00050923+0.0015383i,9.2915e-05+0.00099274i,0.00041546+0.0011088i,0.00072245+0.0015482i,0.0005762+0.001428i,5.2894e-05+0.00078737i,-0.00029009-0.00047467i,-0.00034274-0.00090761i,0.00012134-0.00021887i,0.00052211+0.0005535i,0.00055952+0.0003426i,0.00048278-0.0004343i,9.4009e-05-0.0002711i,-0.00062483-4.9499e-05i,-0.00041119-0.00079601i,-0.00015297-0.0011647i,-0.00034964-8.5063e-05i
0.00032756+0.00099858i,-0.00012305+0.0012129i,0.00016733-8.1748e-06i,0.00065916-0.0010409i,0.00031251-0.0015274i,-0.00122-0.0011773i,-0.0018778+0.00026047i,-0.0013168+0.0010351i,-0.0002248+0.0010065i,0.00035527+0.0009863i,0.00030489+0.00069774i,0.000367+0.00078853i,9.0521e-05+0.00080755i,-0.00017024+9.9056e-05i,-0.00018805-3.8034e-05i,-0.00037023-0.0001936i,-0.0004339-0.00033268i,-0.00017788+0.00036529i,-0.00037088+0.00035037i,-3.108e-05-0.00010505i,0.00050007+0.00026303i,0.00041832+0.00014048i,6.8952e-05-0.00028122i
