-0.0036869+0.00072671i,-0.0019063+0.0010737i,-0.0014619+0.0018827i,-0.00059866+0.003683i,-0.00028806+0.0048501i,0.00050949+0.0035505i,0.0012705+0.0025949i,0.00058597+0.002371i,-1.9095e-05+0.0013385i,-0.00063038+0.00069996i,-0.00043186+0.00022264i,0.00058772-0.00084741i,0.00097962-0.0014595i,0.00041542-0.001424i,9.259e-05-0.0014384i,0.00012061-0.0010671i,-0.00060188-0.0011289i,-0.0011513-0.00092285i,-0.00041181-0.00061276i,-6.3298e-06-0.00038267i,-0.00021954+3.5624e-05i,-0.00050208+7.541e-05i,-0.00042988+0.00080017i
0.0009105+0.00088361i,0.0012106+0.00062156i,0.0016216+0.0002299i,0.0018037+0.00020523i,0.0011488+0.00046352i,-0.00015764+0.00047271i,-0.00065407+0.00049122i,-0.00016169+0.0013373i,-0.00018806+0.0021754i,-0.00073945+0.0015865i,-0.00059295+0.00029469i,-0.0006496-0.0010683i,-0.00061867-0.0014453i,-0.00025376-3.5441e-05i,-0.00017917+0.00046577i,0.00028175-0.00020838i,0.00025905-0.00053932i,0.00044334-0.00050565i,-0.00021721-0.0004384i,-0.0011823-0.00057127i,-0.0012759-0.00018728i,-0.0016411+0.00060566i,-0.0017446+0.00085402i
0.00047722+0.00096305i,0.00088641+0.00033133i,0.001118-0.00021435i,0.00030751-0.00038141i,-0.00054288-0.00060861i,-0.00063425-0.00046619i,-3.6094e-05+4.0592e-05i,5.6493e-05+0.00012046i,-0.00093945+0.0004657i,-0.00091633+0.00045281i,8.998e-05+0.00016164i,3.4222e-05-1.2046e-05i,-0.00028604-0.00027699i,0.00020967+0.0002872i,1.7261e-05+0.00063267i,-0.00024159+0.00021652i,0.00033025+0.00035525i,0.00046428+0.0010147i,0.00028402+0.00043726i,0.00048729-0.00021566i,0.0010353-6.8032e-05i,0.0011628+0.00029888i,0.00010296+0.000301i
0.0011583-0.00060098i,0.0014066-0.0011023i,0.00028519-0.001078i,-0.0010502-0.00039418i,-0.001408+0.0008019i,-0.00080924+0.00093702i,-0.00073313+0.00050699i,-0.00086041+0.0013609i,-0.00049419+0.0019567i,-0.0006578+0.00065843i,-0.00018906+2.5149e-05i,0.00020474+0.00030844i,0.00043943-0.00012979i,0.00066704-6.6606e-05i,0.00016221+0.00052416i,0.00020824+0.00092764i,0.00025685+0.0015258i,0.00015145+0.0012463i,0.00012308+0.00038696i,-0.00047826+2.473e-05i,-0.00025295+0.00028467i,0.00017806+0.00022728i,-0.00011263-0.00035906i
-0.00073671-0.0001396i,0.00012252-0.0002704i,0.00082313-0.00033693i,0.0009875-0.000133i,0.001325-0.00019174i,0.00089818+0.00051894i,1.4063e-05+0.0017273i,-0.00093841+0.0011181i,-0.0017335+0.00048706i,-0.00079192+0.00087287i,-0.00034157+0.0014341i,-0.00029748+0.00061413i,0.00042333-0.00015858i,0.00075461-0.00022111i,0.00061247-0.00036667i,0.00057016-2.8656e-05i,0.00043457+5.9713e-05i,0.00045469-0.00043507i,0.0009526-0.00041114i,0.0012996+0.00055719i,0.00065314+0.00064504i,6.0005e-05+0.00035609i,0.00010071-7.9587e-05i
-0.00070378+0.0013372i,-0.00090113+0.000674i,-0.00054158+0.0010215i,0.00016023+0.0016314i,0.00096491+0.0018126i,0.0017278+0.00069062i,0.0016365-0.0001838i,0.0010668-5.4885e-06i,4.5598e-05+3.0843e-05i,-0.00043994+0.00052211i,-1.6196e-06+0.00068417i,0.00063054-0.00045055i,0.00025563-0.00097647i,9.4608e-05-0.00041695i,0.00059408-0.00030116i,5.1393e-05-0.00048525i,9.8137e-05-0.00048149i,0.00070031-0.00062907i,0.00091115-0.00075982i,0.00074543-0.00023733i,-0.0005131+6.4719e-05i,-0.0013355+0.00010058i,-0.00054254-7.2463e-05i
-0.0011844+0.0014499i,-0.0011109+0.001662i,-0.00059098+0.0017917i,0.00016814+0.0026149i,0.00042573+0.0035457i,0.00031218+0.0021713i,1.2905e-05-0.00034559i,-0.00037573-0.0011126i,-0.00076739+0.00025997i,-0.0011716+0.0012181i,-0.00095133+0.00042738i,6.2084e-05-0.00051368i,0.00058027-0.00061845i,-0.00013433-0.00012377i,-0.00091187+0.00018015i,-0.00037276+0.00033997i,0.00027929+0.00077768i,0.00036698-3.9408e-05i,0.00091786-0.0011146i,0.0010312-0.00034171i,0.00067611-7.7609e-05i,-0.00017541-0.00020188i,-0.00074325+0.00044806i
-0.001354+0.0014508i,-0.00047928+0.0011881i,-0.0002393+0.0021605i,1.151e-05+0.0019217i,0.00031796+0.0012878i,0.00018472+0.0011518i,-0.000651+0.0004923i,-0.001331+0.00071778i,-0.0012861+0.0013736i,-0.0013445+0.00088893i,-0.00049499+0.00036275i,0.00018658+0.00029658i,-0.00043537-0.00022529i,-0.00083142-0.0011458i,-0.00025918-0.0011361i,-0.00035218+0.00037164i,-0.00037326+0.0012165i,3.3755e-05+0.00092779i,3.0315e-05-9.2852e-05i,0.0002846-0.00026711i,-0.00012414-5.7779e-05i,-0.00020035-0.00010156i,0.00034676+1.7722e-05i
-0.00037435+0.0031899i,-0.00016397+0.002333i,0.0016775+0.0024112i,0.0034815+0.0014593i,0.0034821-0.00021212i,0.0018108-0.00080919i,0.00047447-0.00051035i,0.00070494-9.9426e-05i,0.0005325+0.00098169i,0.00025206+0.00065662i,0.00066975-0.00037818i,0.00065012-0.00039194i,-0.00011402-8.5502e-05i,-0.00064823+0.00014501i,-0.00061943-0.00018415i,-0.00026635-0.00039003i,-0.00032037+0.00022253i,-0.00012244+0.00029548i,0.00052894+0.00036507i,0.00068861+0.00032187i,0.00058102-0.00039934i,0.00044839-0.00088908i,0.00049764-0.00061525i
-0.0002395-0.00098243i,0.00054498-0.00037633i,-3.388e-05-0.00016497i,-0.00085128-0.00046354i,-0.00076948+0.00032908i,0.00012464+0.0014622i,0.00025201+0.0012026i,-0.0012486+0.0010351i,-0.001233+0.00091954i,-0.00054783+0.00075191i,-0.00035685+0.00094187i,-0.00033806+0.00035444i,-0.00024173-0.00048999i,2.0018e-05-0.00048455i,4.6947e-05-0.00022923i,0.00033362-4.6153e-05i,0.00028444-0.00014769i,0.00049716+0.00031191i,0.00035525+0.00011414i,0.00051115-0.00062036i,0.00059684-1.3988e-05i,0.00043017+0.00028217i,0.00048482+0.00030458i
-0.00085296-0.00046361i,-0.00036173+0.00059432i,-0.0016998+0.00073732i,-0.0014185+0.0011133i,0.0011544+0.0019245i,0.0013028+0.0015936i,0.00079625+0.0015794i,0.00052501+0.0018276i,-0.00033841+0.0019133i,-0.00021851+0.0014693i,2.8963e-05+0.0010039i,0.00017395+0.00091363i,0.00032405+0.00053412i,9.1936e-05+0.0005481i,-0.00016739+0.00043179i,-0.00028663-0.00014626i,-0.00034297+0.00030712i,-0.00044057+0.00082626i,-0.000524+0.00024903i,-0.00062055-9.3161e-05i,-9.8349e-05-0.00024398i,0.00026603-0.00011534i,-0.00032515+0.00035393i
-0.00011622-0.001394i,-5.0628e-05-0.0008028i,-0.00086854+0.00017187i,-0.0015483+0.00037704i,-0.0015866+0.00056487i,-0.0016198+0.0013356i,-0.0011837+0.0012835i,-0.0010874+0.0011389i,-0.0014229+0.00092229i,-0.0013318+0.0008702i,-0.00099159+0.00048036i,-0.00061767-0.00034781i,-0.00051846+9.2906e-06i,-0.00057453+0.00017304i,-0.00059008-0.00011059i,-7.3645e-05+0.00014032i,-0.00010351+0.0010199i,-0.00012066+0.0010204i,-0.00023826+0.00038173i,-0.00054024+0.0002849i,-8.3532e-05+0.00067679i,1.737e-05+0.00060208i,-0.00049736+0.00044685i
-0.00052278+0.0015876i,-0.00014809-0.00020919i,0.00011687+0.00033961i,0.00025151+0.0017022i,5.0032e-05+0.0013894i,-0.00058559+0.00094459i,-0.00075822+0.0010633i,-0.0011058+0.0015192i,-0.0011007+0.0015001i,-0.00060269+0.00089605i,-0.00040116+0.00028186i,-0.00038427+0.00029797i,1.3731e-05+0.00028034i,5.1384e-05+0.00011758i,-0.0004743-5.2084e-05i,-0.00056211+8.4638e-05i,-6.7212e-05+0.0010774i,0.00026429+0.0011233i,2.158e-05-0.00041751i,7.5514e-05-0.00066564i,3.2177e-05+2.7633e-05i,-0.00029093-7.2288e-05i,-0.00042645-0.00014701i
0.00099911+0.0027484i,0.0014046+0.0021303i,0.0023727+0.00037396i,0.0019633-0.0015313i,0.00035735-0.0016885i,8.513e-05-0.0014483i,0.00075705-0.00055951i,0.00055669+0.00098357i,-0.00021338+0.0013249i,-0.00050478+0.00012721i,-0.00050952-0.00060951i,-0.00064171-0.0002038i,-0.00071772+6.3368e-05i,-0.00028632+0.00010693i,0.00016761-8.2534e-05i,0.0003003-0.00020763i,0.00067163-0.00027063i,0.00074227-0.00039528i,0.00017369-0.00071967i,0.00022927-0.00026946i,4.2587e-05-0.0001571i,-0.00052-0.00012105i,-0.00044498-0.00020864i
