-0.0021191-0.00024098i,-0.0029399-0.00062462i,-0.0043191-0.00087015i,-0.0029338-0.001029i,-0.0012626-2.1024e-05i,-0.00045131+0.0011717i,-0.00085232+0.00076158i,-0.00077462+0.00048405i,-3.6462e-05-1.3898e-05i,0.00049369-0.0010579i,0.00046501-0.00089441i,-0.00013175-0.00046873i,-0.00027347-0.00089046i,-0.00050618-0.00059062i,-0.00075153-7.6925e-05i,-2.4615e-05-0.00043746i,0.00057486-0.00047393i,0.00093432-0.00026733i,0.00075358-0.00033624i,0.00013591-0.0002347i,-0.00023657+3.2565e-05i,-0.00023018-0.00018975i,-0.0004252-0.00046818i
0.00011447-0.00012268i,0.00017492-0.0002994i,-9.2992e-05-0.00062785i,-0.00062642-0.00072817i,-0.00078582-0.0013843i,-0.00017654-0.00025294i,-9.3944e-05+0.00081497i,-0.00069677+0.00039796i,-0.00060042+0.00036629i,-0.00015822+0.00086024i,-0.00029964+0.00061754i,-0.00095667-0.00023595i,-0.00061456-0.00059442i,0.0002825-0.00068486i,-2.8429e-06-0.00094672i,-0.00027312-0.0012015i,0.00033478-0.00045941i,0.00024498+0.00030641i,-0.00031101+0.00045294i,-0.00026868+0.00020638i,0.00023254+0.00030046i,0.00044998+0.00055906i,0.00036445+0.0004837i
0.0028802+0.0012787i,0.0029334-0.00016559i,0.0017636-0.00072768i,0.00063292-0.00070312i,0.00052565-0.001014i,0.00018647-0.00076076i,-0.00033313-9.1216e-05i,-0.00027471+0.000663i,0.00070379+0.00057964i,0.0010235-0.00032059i,0.00064316-0.00038978i,0.00028824+0.0001353i,0.00024223-0.00011702i,0.00016276+0.00012598i,-0.00034225+0.00040612i,4.514e-05+0.00061095i,-0.00041843+0.00056288i,-0.0007389-0.00042766i,-0.00011052-0.00044016i,4.7902e-05+0.00026545i,-0.00027481+0.00046863i,-0.00078721-0.00058869i,-0.00057574-0.0014983i
0.0015067+0.00045635i,0.0020436+0.00081025i,0.0009105+0.00068968i,0.0002898-2.8028e-05i,0.00022091-0.00011654i,-0.00021489+0.0004953i,-0.00060468+0.00064718i,-0.00032724+0.00049093i,0.00069919+0.00027696i,0.0010962+0.00031703i,0.0012537+0.00025181i,0.00077015-0.00027596i,-0.0001953-0.00051146i,-0.00035527+0.00018855i,0.00014525+1.0913e-05i,0.00011238-0.00058125i,-0.00010864-3.992e-05i,0.000331+4.3209e-05i,0.00036584-0.00020718i,-0.00018156-0.00016596i,-0.0011191-0.0001492i,-0.001172-1.5474e-05i,-0.00081038+0.00036141i
0.0021647-0.00042944i,0.00097199-0.001039i,0.00096258-0.00080994i,0.00071678-0.00018162i,-3.6204e-05+0.00063947i,-0.0004078+0.00084402i,-0.00094225+0.00095068i,-0.00099651+0.0010304i,-0.00024222+0.00028551i,0.00045729+0.000262i,0.00021405+0.00087832i,0.00066617+0.00082788i,0.0013263+0.00059722i,0.00059254+0.00030674i,-4.2902e-05+0.00058587i,-0.0001775+0.00070144i,0.00022178+0.00027899i,0.0004403+0.00040073i,0.00012712+0.00039397i,5.5974e-05-7.8575e-05i,-3.6106e-05-0.00013457i,0.00056934+0.00036065i,0.00063545+0.00053907i
0.00072024-0.0015595i,0.00096561-0.0023407i,-6.6967e-05-0.0019806i,-0.00081185-0.0015731i,-0.00071998-0.00098399i,-0.0011111-0.00029831i,-0.0013019-0.0002482i,-0.00039288-0.00070672i,5.3387e-05-0.00038717i,-0.00034413+6.2239e-05i,-0.00075004-0.00047823i,-1.4046e-05-0.00087507i,0.0011509-0.00024846i,8.7677e-05-0.00019878i,-0.00054171-0.00075212i,9.0542e-05-0.0011134i,0.00013021-0.00016151i,0.00060014+0.00061262i,0.00080725+0.00023763i,0.0004427-0.00053257i,2.7038e-05-0.00065249i,-0.00038392-0.0003975i,-0.00038703-0.00052264i
0.0017804-0.00030501i,0.0015364-0.00074412i,0.00031403-0.00095297i,-0.0012492-0.00094822i,-0.002455-0.0007038i,-0.0019178+0.00010663i,-0.00010966+0.00085351i,0.00071451+0.00074546i,0.0006907+0.0001562i,0.00066934-0.00023619i,0.00049705-8.2477e-05i,-1.872e-07+0.00017827i,-0.00025952+0.00082767i,-0.00025941+0.00065908i,0.00075738-0.00026845i,0.0013859-0.00027013i,0.0005622+3.9865e-05i,0.00037844+4.1203e-05i,0.00047627-1.5796e-05i,0.0008452-0.00026204i,0.00064291-0.00069999i,0.00032677-0.00043131i,0.00037605-9.9004e-05i
-0.00076857-0.0014079i,-0.00052979-0.0016126i,-0.00085847-0.0011013i,-0.0012035-0.00050733i,-0.00042401+0.00033199i,4.0849e-05+0.00030599i,-9.7026e-05-0.00023535i,3.3467e-05+0.00018603i,-0.00023953-2.8102e-05i,-0.000189-0.00017039i,-0.00018758+0.00040826i,-0.0003899+0.00020611i,0.00059433-0.0005361i,0.00086086-0.00066267i,0.00010853-0.00030149i,-3.6457e-05+0.00013427i,-0.00010687-7.6532e-05i,0.00026424-0.00051044i,0.00022286-0.00032923i,0.0003779+1.4524e-06i,0.00053735+0.00054372i,-7.4458e-05+0.00076847i,-0.00029048+0.00050414i
0.00089415+0.0014919i,0.0018566+0.0012376i,0.00082577+4.8565e-05i,-0.0002379-0.00042519i,0.00045453+0.00017853i,0.0010545+0.00011542i,0.000596-0.00010721i,-3.3299e-05+0.00013981i,-3.0956e-05+0.0004476i,0.00065025+0.00021833i,0.00059233+0.00033837i,-0.00022234+0.00073627i,5.2032e-05+0.00058755i,0.00016775+9.4431e-05i,-0.00030832-0.00050823i,-0.00056-0.00029716i,-0.00051996-6.8432e-05i,-0.00019146-0.00070858i,0.0003312-0.00058083i,0.00068402-0.00052259i,0.00058849-0.0007285i,-8.0553e-05-0.00027063i,-0.00072596+0.00044442i
-0.0010821-0.00011743i,-0.00062398-0.001129i,-0.00067475-0.00049524i,0.00023414+0.00063163i,0.0014306+0.00065713i,0.00087274+0.00032568i,8.4148e-05+4.0094e-05i,-0.0001687+0.00028694i,-0.00030237+9.1236e-05i,-0.00048686-1.0052e-05i,-0.0010744-3.1317e-05i,-0.00058262-0.00066902i,6.4339e-05-0.00063061i,-0.00019231-0.0004495i,-0.00050561+0.00040147i,1.1381e-05+0.00051504i,0.00017667-0.00014239i,-0.00032613+0.00025707i,-0.00027654+0.00068772i,-9.4549e-05+0.00052412i,-0.00042382+0.00017926i,-0.00056228-0.00028462i,-0.0005743-0.00023173i
-0.00049976+8.9386e-05i,-0.00022865+3.7231e-05i,-0.00056592-3.6878e-06i,-0.0012385+0.00016175i,-0.0010698+5.5528e-05i,-4.6661e-05+0.00045083i,0.00042193+0.0012063i,3.3678e-05+0.0016906i,-0.0003209+0.002158i,0.00023614+0.0010348i,0.00088199-0.00036821i,0.0010559-0.00064651i,0.0009101-0.00078184i,0.00061121-0.00029568i,0.00010022+0.00029821i,-0.00044431-0.0005168i,-3.0768e-05-0.0010466i,3.5633e-05-0.00016686i,-4.5869e-05+0.00091393i,-0.00052843+0.00075836i,-0.00092871-1.1786e-05i,-0.00046062+6.2051e-05i,-0.00059711+0.00012849i
-0.00039964-0.0019333i,0.00024886-0.0016169i,9.0107e-05-0.0017884i,-0.00030332-0.001054i,-0.0010515-0.0005792i,-0.00065307+0.00019269i,-0.00033983+0.001032i,-0.00039929-0.00018683i,-0.00016315-0.00077623i,-0.0002161-0.00052319i,-0.00056918-0.00061197i,-0.00051404-0.00028666i,0.00012998-7.8148e-05i,0.00027159-0.00075028i,0.00041356-0.00078746i,0.00039635-0.00093995i,0.00029172-0.0012952i,5.142e-05-0.00090737i,-0.00070085-0.00056919i,-0.00097735-0.00042846i,-0.0010753-0.00089887i,-0.00035467-0.0008848i,-7.4796e-05-0.00024764i
0.00032904+0.00069172i,0.00011018-0.00033017i,0.00025545+5.1314e-05i,3.6989e-05+0.00023938i,-2.2311e-05+5.8659e-05i,-9.3762e-06-0.0001026i,-0.00089881-0.00019075i,-0.00066803+0.00036126i,0.00044557+0.0010195i,0.00091007+0.00074277i,0.00077767-0.00031435i,-0.00024625-0.00086968i,-0.0007809-0.00032699i,-0.00059763+0.00040676i,0.00018051+0.00035636i,0.00053561-0.00018679i,0.0001891+0.00022299i,-2.622e-05+0.00046359i,0.00011745+0.0004902i,0.0003244+0.00074844i,0.00022495+0.00025792i,-5.1809e-05+1.8922e-06i,5.5575e-05+0.00055269i
0.00056324+0.00087102i,0.0022963+0.00015294i,0.0021937+6.7193e-05i,0.0018299-6.6512e-05i,0.0011404-0.00043804i,0.0007457-0.00094441i,0.00068867-0.00062146i,-0.00032554-4.8756e-05i,-0.00057649+0.00010122i,0.00012953-0.00035588i,0.00023411-0.00074516i,-3.5182e-05-0.00080134i,-0.00025133-0.00044828i,-0.0002966+0.0001372i,-0.00013636+0.00067084i,-2.5826e-05+0.0010613i,0.00012435+0.00038376i,0.00046221-0.00041346i,0.00089136-0.00034929i,0.00087649+2.8103e-05i,0.0001096+0.00033757i,0.00046158-8.8272e-07i,0.00025671+0.00017612i
0.0016937-0.00052123i,0.0005177-0.0014151i,-0.00016591-0.0023916i,-0.00033583-0.0014005i,-0.00030945+0.00046162i,-4.9756e-05+0.0010039i,2.0786e-05-0.00015297i,-0.0003759-0.0012316i,-0.00046843-0.00085237i,-0.00026373-0.00030379i,-0.00044135-0.00017372i,4.5224e-05-0.00084452i,0.00045832-0.0014244i,-0.00015433-0.00069308i,0.00035295-3.893e-05i,0.00081762-0.00023502i,0.0008241-0.00041953i,0.00076582-0.00058233i,5.5918e-05-0.00046503i,-9.1798e-05-0.00016101i,0.00030404-0.00033477i,0.00036557-0.001228i,0.00011248-0.0013447i
0.00048613+0.00047763i,0.00033033-0.00020808i,0.00018458-0.00042616i,0.00026013+0.000638i,0.00047279+0.0013934i,0.00049839+0.0017755i,0.00059098+0.00089367i,0.00035684-0.00015144i,-8.8986e-06-0.00011388i,-0.00027601-4.4864e-05i,-0.001108-0.00019415i,-0.00092832-0.00067684i,-7.6041e-05-0.00089358i,0.00032248-0.00060888i,4.8783e-05-0.00075466i,-0.00011789-0.00059594i,-0.00040658-0.0009434i,-8.2289e-05-0.0013154i,0.00044349-0.00061212i,0.00068209-0.00046516i,0.001177-0.00088338i,0.00067748-0.0011407i,-7.3381e-05-0.00086086i
0.0022348+0.002577i,0.0033252+0.00191i,0.0041819+0.00059343i,0.0038596-0.00058259i,0.0019511-0.001208i,0.00029106-0.00074316i,-0.00028688-0.00029249i,-0.00014458-0.0004503i,0.0001015-0.00068861i,0.00039663-0.00089394i,0.00030112-0.001184i,9.9481e-05-0.0010891i,-0.00016918-0.00072459i,-0.0005158+7.5163e-06i,-0.00059101+0.00050492i,-0.00039267+0.00033446i,0.00028348+0.00043446i,4.4334e-05+0.00031112i,-0.00027514-9.0812e-05i,-0.00036746+0.00012491i,-0.00034835+0.00054069i,0.00024152+0.00071496i,0.00054555+0.0001299i
-0.0017013+0.00010796i,-0.0016203-5.8122e-05i,-0.00088213-0.00071161i,-0.00064896-0.00048054i,-0.00014688+0.0001094i,-0.00021368+0.00024083i,-0.00045517+0.00051531i,-0.00082342+0.00021521i,-0.00098131+0.0002168i,-0.0012579+0.00066913i,-0.0011937+0.00034165i,-0.00071212-0.00043263i,-0.00030582-0.00053981i,4.8169e-05+0.00030742i,0.00023982+0.0004929i,-0.00021321-7.3902e-05i,-8.7766e-06-0.00031583i,0.00059429-0.00058709i,0.00063809-0.00060217i,0.00034539-8.7811e-05i,-1.6174e-05+4.3309e-07i,-9.345e-05-3.4637e-05i,-0.00024704+0.00062349i
0.00078053+0.001462i,0.0017204+0.0010528i,0.001527+3.1734e-05i,0.00035141-0.00061686i,-5.1141e-05-0.00076748i,-0.0001086-0.00076186i,-0.00040582+4.6401e-05i,-0.00035467+0.00071315i,-0.00054933+0.00020768i,-0.00043268+9.8639e-05i,-0.00011812-3.6806e-05i,-4.7191e-05-0.00025177i,-5.4523e-05-0.00040626i,-0.00012088+3.4893e-05i,-0.00098132+0.00073242i,-0.0013117+0.00046332i,-0.0011897+0.00047265i,-0.0008009+0.0011264i,-0.00013513+0.00080268i,-0.0002037+0.00014312i,-0.00051182-7.4085e-05i,-0.00045881-0.00033099i,-2.5302e-05-0.00032554i
-0.00030293-9.7839e-05i,-0.00026164-0.00032153i,0.00048438-0.00081566i,0.00072562+0.0008882i,0.00014117+0.0012085i,-0.00041022+0.00039258i,-0.00067495+0.00046433i,-0.00074694-5.9025e-05i,-0.00048016-0.0013395i,-0.00062379-0.00071438i,-0.00091489+1.079e-05i,-0.00075079-0.00075072i,-0.00063293-0.00072426i,-0.00066283-0.00021638i,-0.00087267+0.00037392i,-0.00022633-1.554e-05i,0.00032051-0.00040907i,-0.00016114-0.0002063i,-0.001284-0.00052058i,-0.0012769-0.00088603i,-0.00099491-0.0010585i,-0.00026094-0.0016007i,0.00053361-0.0011754i
-0.00035773+0.0011806i,0.00034086+0.00082185i,0.00035249+0.00045862i,0.00058573-0.00043128i,0.00047298-0.00014928i,0.00027261-3.0747e-05i,0.00042508-0.00010822i,0.00050121+4.5149e-05i,0.00057254+0.00074784i,0.00098469+0.00035638i,0.00062625-0.00084999i,-0.00053782-0.0014675i,-0.00027989-0.0013306i,0.00019572-0.00050976i,-0.00017034-0.00028302i,-0.00024717-7.1989e-05i,-0.00014711+0.00037995i,8.9532e-05+0.00028656i,0.00057619+0.00020119i,0.00076149+4.6158e-05i,-0.0003848+0.00014552i,-0.0010831+0.0003383i,-0.00052102+0.00027767i
0.0014492+0.00025684i,0.0014794-0.00028339i,0.0015882-0.00063512i,0.0015298-8.0703e-05i,5.2303e-05+0.00024485i,-0.0013638+0.00047386i,-0.00091266+1.0725e-05i,-0.00043129-8.9302e-05i,-0.00064929+0.00029747i,-0.00031081+0.00080907i,-0.00030007+0.00062077i,3.7827e-05+6.2193e-05i,0.00055684+0.00035399i,0.00020377+0.00024084i,0.0004063-0.00030539i,0.0002539-0.00028606i,-0.00024518+0.00013723i,-0.00028215+0.00046362i,0.00013083+0.00018968i,0.00037829+7.4078e-05i,0.0003351-0.00038689i,0.0007807-0.00065226i,0.00049923-0.0004615i
0.00093982-0.001225i,0.0019997-0.0013629i,0.0014513-0.0010636i,0.00088849-0.00039321i,0.0013725+0.00012365i,0.0017159+0.00052627i,0.0014793+0.0003491i,0.00072451+0.00011382i,-0.00038694+0.00045469i,-0.0010391+0.00060969i,-0.00072646-6.2303e-05i,6.2422e-05-0.00045115i,0.00047679+8.2655e-06i,-0.00014658+0.00019208i,-0.00058684-0.00029003i,-0.0001642-0.00057593i,0.00013006-0.00060138i,0.00020978-6.4188e-05i,0.00054674+0.00035439i,0.00035783+0.0008956i,-0.00040788+0.00094731i,-0.00032575+0.00039952i,0.00040614-0.00016495i
0.00044666+0.00041212i,0.00058129+0.0010218i,0.00053956+0.0011156i,0.00046835+0.00027227i,0.00025744+0.00028678i,-0.00025363+0.00059553i,-0.0010979+0.00022033i,-0.0011007+0.0001401i,-0.00040136+0.0004644i,-0.00011749+0.00062357i,-0.00010204+0.00019806i,-0.0002571-0.00043222i,-0.00041275-0.00043541i,-0.00013409-0.00041326i,0.0001018-4.0312e-05i,0.00014105-0.00023653i,0.00070675-0.00028903i,0.00087142+0.00038915i,0.00045126-1.8489e-05i,-3.4208e-05-0.00054846i,-0.00013273-0.00016979i,-0.0004358+0.00033914i,-0.00017442+0.00035497i
-0.00045195-0.00044425i,-0.00056282-0.001912i,-0.00095501-0.001415i,-0.00093609+0.00015623i,-0.00076053+0.00034421i,-0.00028333-8.536e-05i,-0.00059999+0.00054556i,-0.0014336+0.00090065i,-0.0010844+0.00060406i,0.00022752+0.00011164i,0.00062408-0.00024558i,0.00070513-0.00039872i,0.0006942-0.00076491i,-0.00035708-0.0012492i,-0.0012854-0.00011215i,-0.00078398+0.00038347i,-0.00017773+8.3689e-05i,-0.00036522+0.00071818i,-0.00024558+0.00083224i,9.9971e-05+0.00040134i,-3.4369e-05+0.00031524i,-0.00055852+0.00024602i,-0.00066822+0.00030329i
0.0013284-0.00013569i,0.0015993-0.00070024i,0.0020549-0.00087435i,0.0014817-0.00060658i,-0.00029437-0.0001454i,-0.0015705+0.0002852i,-0.00096395+0.00079653i,0.00023309+0.0010108i,0.00016782+0.00013494i,-0.000616-0.00055946i,-0.00045801-0.00043983i,5.8217e-05-0.00020474i,2.2146e-05+4.3437e-05i,7.3254e-05+0.00021756i,0.00048755+0.00056833i,0.00027278+0.00061039i,-0.00018826+0.00016274i,3.3364e-05+0.0002689i,7.5085e-05-5.2838e-05i,-4.7723e-05-0.00077135i,-1.3576e-05-0.00043036i,0.00085272+0.00021937i,0.00131+0.00012084i
0.0020727+0.00049102i,0.0016971+0.00026329i,0.00042534-0.00044964i,4.8448e-05-3.7614e-05i,-0.0001718+0.00066723i,-0.0005061-9.256e-05i,-8.5726e-05+9.4874e-05i,0.00030445+0.00083872i,-1.9524e-05+0.00079011i,-0.00046916+0.00043731i,-4.2176e-05-0.00034857i,0.00083466-1.2936e-05i,0.0011075+0.00029287i,0.00080488+4.5984e-05i,0.00058546-0.00014961i,9.5321e-05-0.00017377i,-0.00042768-0.00027119i,-9.3325e-05-0.000108i,-9.0362e-05+0.00011901i,-0.0007043-0.00024393i,-0.00073208-0.00017683i,-0.00013942+0.00010504i,-4.4994e-05-0.00031528i
0.0018797-0.0013527i,0.0013171-0.0016516i,0.0013923-0.0021891i,0.00082083-0.0016171i,-0.00020206-0.00038656i,-0.00052983+0.00036555i,-0.00071515+0.00016509i,-0.00036674-3.792e-05i,0.0003411-0.00021185i,0.00039822-0.0004855i,0.00066105-0.00023439i,0.0009665+1.3722e-05i,0.0014643+0.00044975i,0.00086623+0.00015271i,-3.4138e-05-5.1116e-05i,9.6109e-05+0.00076077i,0.00060279+0.00046498i,0.00096836-0.00056698i,0.00040515-0.00049264i,-0.00020829-6.2145e-06i,-0.00018446+0.00032956i,-6.428e-05-5.2142e-05i,8.6582e-05-0.00053146i
0.0015366-0.0011098i,0.0015398-0.0011139i,0.00059913-0.001982i,0.00018527-0.0018467i,0.00020138+0.00020155i,0.00015803+0.0022055i,0.00034186+0.0020118i,0.00019912+0.0012551i,0.00046523+6.2725e-05i,0.00079208-0.0010404i,0.00040015-0.00091163i,0.00039136+0.00013954i,0.00034321+0.0007517i,0.00031163-0.00013217i,0.00032526-0.00063724i,-0.00045121-0.00012075i,-0.0011528-5.4297e-05i,-0.001016-0.00043891i,-0.00067911-3.6951e-05i,-0.00015371+0.00064451i,9.0598e-05+0.00038747i,-9.3871e-05+6.0709e-05i,-0.00040598-0.00014215i
-0.0013509+0.0011397i,-0.0011604+0.00024269i,-0.0010821-2.5772e-05i,-0.00066128+0.0014101i,-0.00052705+0.0016922i,-0.00041891+0.00021629i,-8.0024e-05+1.538e-05i,-0.0004604+0.00080082i,-0.0012125+0.00036107i,-0.00081783-0.00025947i,2.8636e-05-0.00063282i,-2.5475e-05-0.00087087i,-0.00028489-0.00052033i,-0.0011103-0.00019965i,-0.0011277+0.00019095i,-0.00023955+0.00059915i,-0.00026238+0.00050009i,-0.00086316+5.471e-05i,-0.00048289+0.00020226i,0.0004593+0.00047733i,0.00084259+1.8289e-05i,0.0004264+8.7215e-05i,-0.0004533-7.7347e-05i
0.00079322-0.00032304i,0.0013966-0.00014134i,0.0011338-0.00057549i,0.00052382-0.00024128i,-5.747e-05+0.00066651i,0.00018719+0.00024565i,0.00013505+0.00021732i,-0.00041847+0.0007917i,-0.00042506+0.00054907i,6.505e-05+4.5533e-06i,0.00076651-0.00017508i,0.00086081+7.0653e-05i,0.00053328+0.00039489i,0.00045933+0.00039315i,0.00028538+0.00088003i,-0.00012432+0.0007601i,5.5258e-05+0.00016894i,8.9895e-08+0.00034313i,-0.00058956+0.00044741i,-0.00041366-8.9332e-05i,-1.6914e-05-0.000312i,0.00019135+1.9996e-05i,-8.9487e-05-6.2134e-05i
0.0015453+0.00021707i,0.0015766-0.0005811i,0.00053131-0.0014182i,7.3605e-05-0.00077165i,0.0010992+0.00014807i,0.0011774+0.0017375i,-0.00040154+0.0018977i,-2.7055e-05+0.00087362i,0.00070086+0.00055976i,-0.00037865+0.00020563i,-0.00047486-0.00013785i,0.00043822-0.000948i,0.0011257-0.00080632i,0.001277-0.00033759i,0.0007495+0.00016295i,0.00033882+0.00029845i,0.00011003-0.00014141i,9.3689e-05-0.0005025i,0.00058885-0.00013202i,0.00072724+0.000458i,0.00078844+3.4358e-05i,0.00044293+0.00013014i,0.00024541+0.00021083i
