-0.0022766+0.00016143i,-0.00077395+0.00027899i,-0.00027883-1.8638e-05i,-0.00026748-6.2984e-05i,-9.7151e-05+0.00099764i,0.00069882+0.0015318i,0.00097195+0.00078105i,0.00034528+0.00028514i,-0.00050816+5.9001e-05i,-0.00013206-4.0638e-05i,0.00079509-0.0002377i,0.00052652-0.00086424i,-0.00078217-0.0010432i,-0.0014246-0.00091409i,-0.0010143-0.00096546i,-0.00052037-0.0005038i,-0.0012315+0.00036938i,-0.0016226+0.00048582i,-0.00072216+0.00016237i,-0.00048972+6.045e-05i,-0.00075468-0.00016408i,-0.00040702-0.00034041i,0.00024938+0.0006581i
8.8761e-05+0.0017159i,0.00053499+0.00061093i,0.00033769-0.00022569i,2.0269e-05-0.00079658i,0.0011845-0.0010902i,0.0012473-0.000728i,0.00027535-0.00054763i,-0.00055623-0.00055666i,-0.00047773+0.00010557i,0.00048095+0.00041897i,0.00065908+0.00061881i,0.00019488+0.00087488i,-0.00075048+0.0006593i,-0.0015586+0.00069373i,-0.00087401-5.8555e-05i,9.7841e-05-0.00070051i,-0.00051432+0.00012226i,-0.0011144+0.00056757i,-0.00045806-0.00026372i,-0.00016008-0.00078947i,-0.00055342-0.00029165i,-0.00018421+0.00026422i,0.00053548+0.00030619i
-0.00019177+0.0012479i,-0.00099866+0.0016785i,9.5799e-05+0.0019804i,0.00039037+0.0015644i,0.00039174+0.0013368i,0.00030148+0.0012176i,3.3721e-05+0.00056613i,-6.5389e-05+0.00029427i,-0.00088549+0.00012793i,-0.00060914-0.00010086i,0.00065969+0.00042699i,0.00070716+0.00050184i,-8.6313e-06-9.9874e-05i,-6.2465e-05-0.00021382i,0.00013532+6.1601e-05i,-0.0002238-5.179e-05i,-0.00024338+0.00013868i,0.00072167+0.00034665i,0.0009721+0.00011808i,0.0002855-0.00040776i,0.00078532-0.0008161i,0.00087416-0.00012297i,-6.2636e-05+0.00056147i
0.00069901-0.00059099i,0.001243+7.1045e-05i,0.0012267-0.00031041i,0.0005504-0.00047138i,-0.0001953+0.00011211i,8.7834e-05+0.00029925i,0.00031169-0.0001983i,-5.0328e-06-0.00091504i,8.3073e-05-0.00077252i,0.00079068-0.00021396i,0.000417+0.00024798i,2.2278e-05+0.00045486i,0.00030009+0.00038483i,-9.6934e-05+0.00055526i,-0.00082259+0.00027722i,-0.00079066+0.00021027i,-0.00050122+0.00028893i,-0.00068705-0.00021554i,-0.00067757-0.00069328i,-0.00020298-0.00068i,0.00048588-0.00051274i,0.00031424-0.00032518i,0.00014757-0.00042022i
0.00030561+0.0011105i,0.00079199+0.0020315i,0.00030735+0.0010238i,-0.0002334+0.00092439i,-0.00011204+0.0018487i,0.00075611+0.0020189i,0.00098699+0.0012211i,0.00021877-5.1966e-05i,-0.00053566-0.0005686i,-0.001019+0.00039999i,-0.0018763+0.00045219i,-0.0012348-0.00050724i,0.00029935-0.00082743i,0.00016679-0.00041846i,-0.00044568+0.00017749i,-0.0010858+0.00098524i,-0.00082974+0.00067656i,1.7728e-05-0.00071833i,0.00020988-0.0012299i,0.00022781-0.00074995i,0.00036156-0.00035193i,0.00013967-0.00042i,0.00017965-0.00077942i
-0.0011734+0.00050014i,-0.0015267+0.0011092i,-0.0010624+0.00073312i,-0.00072506-0.00024348i,0.00018388-0.00015851i,0.0010218+0.00050203i,0.0004753+0.00015749i,-0.00050359+0.00020847i,-0.00090444+0.00037874i,-4.2232e-05+0.00039639i,0.00098991+0.00072785i,0.00052001+0.00029679i,-0.00052162-0.00023873i,-0.00066277+9.7908e-05i,-0.00026858+0.0007914i,-0.00013258+0.00098456i,-0.00024465-2.703e-05i,-0.00026033-0.00022206i,0.00032518+0.00050317i,2.7861e-05+0.00075818i,-0.0006492-0.00014253i,-4.9958e-05-0.00068729i,0.0003338-0.00010255i
-0.0020722+0.0014323i,-0.00084913+0.0023107i,7.8323e-05+0.0016918i,0.00083904+0.00090574i,0.0012132+0.00074949i,0.0010447-0.00023906i,0.00092911-0.00094419i,-0.00012948-0.0005998i,-0.00013812-2.2093e-05i,-3.5709e-05+0.00019252i,-0.00032481-0.00083994i,1.5215e-05-0.0018158i,0.00010665-0.00092794i,0.00024147+0.00071226i,0.00012136+0.00052743i,-0.00020987-0.00051754i,3.5849e-05-0.00089138i,0.00013127-0.00024658i,-0.00086151+0.00043525i,-0.0014877+0.0005116i,-0.00059505+0.00065185i,3.3018e-05+0.00072218i,0.00019114+8.1027e-05i
0.00013089+0.0010437i,0.0011278+0.00098986i,0.0027623+0.00082721i,0.0019421+0.0014095i,0.00058568+0.0022389i,0.00055738+0.0019518i,0.00088436+0.00076692i,-0.00023933-0.0003686i,-0.0011914-0.00033195i,-0.00043596+0.00059512i,0.00032151+0.00086347i,0.00025558+8.3161e-05i,0.00032404-0.00067271i,0.00016282-0.0010794i,-0.00024739-0.00050322i,-0.00039338-0.00040546i,-0.00017507-0.00090535i,0.00011659-0.00042581i,-0.00041443-0.000218i,-0.00059643+0.00016108i,0.00013453+0.00027322i,0.00089708-0.00057538i,0.0010038+2.5647e-05i
0.00066066+0.00026077i,0.00035109+0.00081051i,-0.00011646-0.00050262i,0.00059107-0.001341i,0.0011037-0.00030742i,0.0013054+0.00056083i,0.0015273-0.00016075i,0.00026093-0.00047698i,-0.00044705-0.00062815i,-0.00016777-0.00032884i,0.00025709+0.00017046i,5.4991e-05-0.00018388i,-0.00060782-0.00061617i,-0.00028667-0.00041132i,-1.6765e-05-0.00052251i,6.2096e-05-0.00057359i,0.00044411-1.1262e-05i,0.00044669-0.00020181i,0.00033257-0.0006955i,0.0003317-0.00075651i,1.1895e-05-2.129e-05i,0.00021947+0.0007718i,9.4498e-05+0.00093002i
7.1055e-05+0.0017804i,-0.0012576+0.0020606i,0.00020813+0.0012479i,0.0007706+0.00025149i,0.0010554+0.00033674i,0.00091983+0.00083586i,-0.0010377+0.00039133i,-0.0017102-0.00023525i,-0.0012258+0.00017214i,-0.00053809+0.00099114i,0.0001356+0.00063502i,0.00040387-0.00065831i,0.00056921-0.00047691i,0.00023478+0.00029407i,-0.00015662+6.4176e-07i,-0.00039351-0.00020727i,-0.00043069-0.00080678i,-0.00010717-0.00077968i,-2.9493e-05+7.3607e-05i,-0.00028507+0.00019306i,-7.7426e-05-0.0001771i,0.00035114-0.000387i,0.00068277-0.00034569i
-0.00077235+0.0015434i,-0.00099935+0.0016239i,-0.00051464+0.00066158i,-0.00030072-0.00033496i,9.2958e-05-0.00016038i,0.00094953-0.00018034i,0.0012529-0.0013525i,0.00031724-0.0016704i,-0.00064763-0.00060285i,-0.00032493-0.00030778i,0.00023799-8.1648e-05i,1.6107e-05+2.6548e-05i,-0.00024681-0.00042599i,-0.00021535-9.3283e-05i,2.1906e-05-0.00055233i,0.00045892-0.00086724i,2.0872e-05-0.00048715i,-0.00048531+0.00016237i,-3.6385e-06+0.00034091i,0.00030931+0.00022211i,0.00010956+9.5851e-05i,0.00041784-7.0758e-05i,0.0005799-6.8871e-05i
-0.00032657-0.000971i,0.00080631+0.00040801i,0.0016158+0.0014575i,0.0020262+0.0012657i,0.0020072+0.0014645i,0.0013631+0.0011159i,0.0011066-9.7473e-06i,0.00069549-0.00027948i,-9.9036e-05+3.9941e-05i,-0.0001397+0.00022142i,1.278e-05-0.00020475i,-7.5964e-05-0.00071652i,-0.00020546-0.00054774i,-0.00099303-0.00027749i,-0.0017568-0.00059673i,-0.0014696-0.0007872i,-0.0007006+0.00016451i,-0.00025289+0.00014533i,-0.00088627-0.00039964i,-0.00050811+1.937e-06i,0.00042095+0.00076852i,-1.5434e-05+0.0011242i,0.00014376+0.00049418i
-0.0019316+0.0021132i,-0.0013763+0.0022085i,-0.00014404+0.0013549i,0.00087789+0.00014831i,0.0011863-0.00061948i,0.00098501-0.00043056i,0.00093006-0.00069136i,0.00066117-0.00072512i,-8.1958e-05-8.3487e-05i,-0.00010805+7.9644e-05i,0.00020344+0.000193i,-0.00020066+0.00090195i,-0.00064064+0.00042281i,-0.00047057-0.00019449i,-0.00025328+0.00041484i,-0.00036688+0.00085285i,-0.00060455-1.922e-05i,-0.00036912-0.00064714i,0.00017591-0.00076684i,8.0644e-05-0.00036995i,-5.0259e-05+0.00046506i,0.00045471+0.00094528i,0.00027551+0.000445i
-6.509e-05+0.002146i,0.00053691+0.0026053i,0.0016099+0.001179i,0.0014382+0.00034108i,0.00061265-0.00034325i,-6.1058e-05-0.00010911i,-0.00041078-0.00027755i,-0.00045997-0.0011362i,-0.00076998-0.0012158i,-0.00078788-0.0007576i,-9.6777e-05+0.0002924i,0.00067289+0.0001564i,0.0006724-0.00040947i,0.00020663-0.00042317i,-0.00020831-0.00031533i,-0.00089547+5.8964e-05i,-0.00071653+0.00024962i,-3.6759e-06-5.4382e-05i,-0.00021476-0.00091992i,9.4302e-05-0.00050082i,0.000297+0.00033743i,3.0172e-05+0.00014429i,0.00025459+3.0788e-05i
0.00058448-0.0013554i,0.0002384+4.8976e-05i,0.00023534+7.0802e-05i,-0.00024062+0.00046754i,-0.00054348+0.00042757i,-0.00035907+0.00040558i,-0.00022565+0.0011746i,-0.00020376+0.0012149i,-0.0006118+0.00068324i,-0.00032057-0.0002741i,0.00065521-0.00055755i,0.00049498-2.1234e-05i,-0.0005949+0.00030355i,-0.00046474+0.00037573i,0.00010236+0.00010786i,0.00048554+0.00034978i,0.00019177+0.00082129i,-0.00035321+0.00056745i,-0.00081656-0.00021869i,-0.00060462-0.00035946i,-0.00035349-0.00020072i,-0.00033214-0.00033007i,-0.00026171-8.8612e-05i
0.00039282+0.00010583i,0.00079029+0.00078805i,0.00075134+0.0013487i,0.00059647+0.0011458i,0.00079619+0.00095786i,0.00013509+0.00095104i,5.8788e-05+4.0865e-05i,0.00024865-0.00057023i,-0.00050016+0.00021939i,-0.0011371+0.0013874i,-0.00051117+0.0013151i,0.00034663+0.0012379i,7.4789e-05+0.00093159i,-0.00059234+0.00020846i,-0.00020374+8.3257e-05i,-7.757e-05-0.00026026i,-0.00061768-0.00029602i,-0.00045662-3.2825e-05i,9.6614e-05-0.0003773i,0.00014139-0.0004619i,-0.00045011+5.0952e-05i,-0.00061243+0.00049072i,-9.1157e-05+0.0003188i
-0.00049944+0.0027053i,-0.00022752+0.0021365i,0.00072111+0.0012681i,0.0020702+0.00075126i,0.0024326+0.00065796i,0.0020581+0.00039347i,0.00093861-0.00025372i,-0.00078751-0.0006461i,-0.0012966-0.00070723i,-0.00083573-0.00055814i,-0.001104-4.807e-05i,-0.0010421+0.00033486i,-0.00031336+0.00054355i,-0.00019284+0.00037861i,2.0946e-05-0.0004005i,-4.1643e-05+0.0001435i,0.00013246+0.0013514i,0.00033682+0.0014244i,4.5654e-05+0.0011744i,-0.00031329+0.0016183i,0.00035105+0.00087028i,0.0012686+0.00035897i,0.0010578+0.00067305i
0.00097696+0.00086237i,0.0010149+0.001165i,0.0003837+0.00015568i,-0.00079435+0.00068298i,-0.0012942+0.0012805i,-0.00037419+0.00074396i,0.00074563+0.00078562i,0.00029801+0.00064708i,-0.00054626-3.4575e-05i,-0.00013635-0.0009647i,0.00030668-0.0012242i,0.00075194+6.9369e-05i,0.0012631+0.00038434i,0.0013845+2.5897e-05i,0.00052357+0.00025212i,-0.00029725-0.00021031i,-0.00052123-0.00052846i,-0.00066898-0.00043139i,-0.00050909-8.9763e-05i,0.00024199+0.00066083i,0.0010174+0.0012419i,0.0006947+0.0006043i,0.00022182+0.00038995i
-0.00078931+0.00096532i,-0.00074829+0.0015399i,-0.00062703+0.0022169i,0.00072382+0.0014958i,0.0021074+0.0013099i,0.0016068+0.00079188i,0.00056445-0.00063076i,0.00012868-0.00051799i,-0.0003883+0.00025239i,-0.00034958+0.00027342i,-0.00024754+0.00019959i,-0.00044828+2.8341e-05i,-0.00094534+0.00034275i,-0.0012296+0.0010476i,-0.0012925+0.00057641i,-0.00065023-0.00034703i,-0.00029825-4.1019e-05i,-0.00063121-0.00015625i,-0.00033329-0.00021745i,0.0005479-0.00019865i,0.00085844-0.0003401i,-2.5049e-05-0.00010091i,-0.00034269+0.00029597i
0.001015+0.0015878i,0.0014182+0.0016128i,0.0028893+0.0013148i,0.0025975+0.0009196i,0.0010369-9.8187e-05i,0.00031015-0.00085268i,0.00047643-0.00091037i,0.00037728+0.00015937i,9.0217e-05+0.00053133i,4.3103e-06-0.00018166i,0.00079684-0.00068396i,0.00158-0.0002762i,0.0010737-0.00023514i,0.00079569-0.00023675i,0.00054158+9.7573e-05i,-4.8466e-05-0.00025062i,-0.00021575-0.00074419i,-0.00053614-3.7577e-05i,-0.00075282+0.00071382i,-0.0002631+0.0013224i,-3.0974e-05+0.0015232i,0.00025367+0.00054916i,0.0012013-0.0001929i
0.00086659+0.001322i,0.00056801+0.00055587i,-0.00023689-0.0001044i,5.7489e-06-0.0011367i,0.00026943-0.00095652i,-7.1124e-05-0.00015559i,0.00017604-1.0684e-05i,4.1597e-05-0.00066247i,-0.00048049-0.00041342i,0.00013356+5.4452e-05i,0.00078827-0.0001291i,0.00081298-0.00034626i,0.00024938+0.00015163i,2.8158e-05+0.00093309i,6.6111e-05+0.0010117i,-0.00030042+0.00079059i,-0.00063865-0.00017289i,-0.00041824-0.00054807i,0.00038328-2.2757e-06i,0.00019776-0.00022049i,-0.00027268-0.00045845i,1.0835e-05-0.00025518i,-0.00024551+7.6212e-05i
0.00015932+0.0014754i,0.00058564+0.0016055i,-3.1849e-05+0.00062295i,-0.0011949+0.00050249i,-0.001202+0.00048815i,-0.00057334+0.00039871i,0.00068969-9.8103e-05i,0.00071976-0.0002117i,-0.00032426-0.00025782i,-0.00073906-1.947e-05i,-0.0004283+0.00028924i,-0.0002542+0.00063901i,-9.7764e-05+0.00089277i,-4.374e-05+0.0010163i,-0.00052305+0.00072305i,-0.00068424+0.00018656i,-0.00025369-0.00018253i,-0.00030312+0.000204i,-0.00014378+0.00068014i,1.7721e-05+0.00032962i,-0.00033209+0.00073511i,-0.0004662+0.00046922i,0.00036654-0.00026135i
-0.00096059+0.00027649i,-0.00011729+0.00072465i,0.00043326+0.00077597i,0.00090529+0.0010564i,0.0010729+0.00069608i,0.0015108+4.6924e-05i,0.0017491-0.00039229i,0.0010045-0.00059293i,9.8897e-05-0.0004298i,-0.00037665-7.1139e-05i,-0.00076768+0.00020377i,-0.00117-0.00033296i,-0.00079713-0.0010596i,-0.00015913-0.00096872i,-0.00065492-0.00018171i,-0.0010914+0.0004623i,-0.00090861+0.00016706i,-0.00051716-0.00012347i,-1.3952e-05+1.2304e-05i,-0.00026429+0.00031493i,-0.00087347+0.00016766i,-6.4423e-05+5.2544e-05i,0.00033114+0.00051558i
-0.0013375+0.00011974i,0.00016144+0.00042458i,0.0012685+0.000964i,0.0014086+0.00079325i,0.0011353+0.0001529i,0.0014336+0.00029541i,0.0011339+3.7519e-05i,0.00012549+0.00015486i,-0.00055977+0.00046395i,-0.00032687+0.00080463i,0.00037966+0.00052459i,0.00054034+0.00043084i,0.00027394+0.0003762i,0.00047347-4.9821e-05i,0.00089068-0.00022513i,0.00063059-0.00029665i,1.1604e-05+0.00035087i,-0.00035377+0.00015691i,-0.00065604-0.0011663i,-0.00079885-0.0009837i,-0.00068282-0.0005189i,0.00018233-0.00096564i,0.00067652-0.0011959i
0.00073258-0.00021396i,0.0011802+0.0011008i,0.00078372+0.00090791i,-0.00015911+0.00057768i,-0.00071278+0.00057954i,0.00031361+0.0004083i,0.0010573+0.00052159i,0.00060989+3.8538e-05i,0.00021068+0.00029292i,-0.00076384+0.00032906i,-0.0016385+2.6461e-05i,-0.0018321+0.000514i,-0.00080091+0.00056084i,-1.3739e-05+0.00026635i,-1.7481e-05+5.4174e-05i,5.065e-05+8.4753e-05i,4.2637e-05+0.00038032i,7.4005e-05+0.00098902i,-0.0002543+0.00080059i,-0.00051121+0.00060334i,-0.00078188+0.00074467i,-0.0010744+0.00014195i,-0.00033462+0.00028162i
-5.3748e-05+0.0012723i,-0.00046306+0.00084368i,-0.00032993+0.0006524i,-0.00029919+0.00062124i,0.00038447+0.00014425i,0.0011769-0.00022127i,0.0011913-0.00034854i,-0.0002182-0.00024982i,-0.0014626+0.00025281i,-0.00085169+0.00025995i,6.2522e-05+0.00028512i,0.00046486+0.00030445i,0.00056415+0.00019306i,-8.2069e-05-0.00027553i,-0.0002632+0.00060575i,-0.00046992+0.00087768i,-0.00061911-0.00053534i,-0.00068566-0.00087203i,-0.0006967-0.0003874i,-0.00047563+0.000271i,-0.00026609+0.0007901i,7.5671e-05+0.00057353i,0.0004307+0.00012135i
-0.00062583+0.0010663i,-0.00081461+0.0025521i,-0.0010311+0.0020831i,-0.00083621+0.00084003i,-0.00040004+0.00057561i,-0.00036009+0.00079706i,-0.00094082+0.00029336i,-0.00097566-0.00049128i,-0.00046002-0.0004928i,7.3639e-05+0.00038339i,0.00058327+0.00095226i,0.00011929+0.0015705i,-0.00079743+0.0010317i,-0.00076481-0.000219i,-0.0007821-0.001226i,-0.00050615-0.0010094i,0.00016585+0.00018189i,0.00061301+0.00059954i,0.00081448+0.00038942i,0.0006006+0.0007204i,0.00036016+0.00056295i,-0.00033165+8.5615e-05i,-0.00020964+0.00041109i
-3.9161e-05+0.0018248i,-0.00027102+0.0025595i,0.00032985+0.0024129i,0.0011966+0.00088715i,0.00095537+0.00013512i,0.00023622-0.00050841i,0.00037675-0.00075646i,0.00052144-0.00027392i,0.0001732+0.00040371i,-0.00038049+0.00050576i,-0.00037231-5.0027e-05i,-0.00011579-0.00026901i,0.00021938-0.00013943i,0.00030625-0.00012999i,-5.6054e-05-0.00014835i,-0.00034312+0.00010098i,-0.00052108-3.6493e-05i,-0.00033653-0.00029582i,1.6945e-05-0.00020345i,-0.00029939-4.6797e-05i,-0.00034077+0.00043729i,-0.00044038+0.00049563i,-0.00033955-0.00011086i
0.0009471+0.0011414i,0.00075+0.00051409i,0.0021307-0.00011488i,0.0017865-0.00039304i,0.0004065-0.00027767i,-7.5313e-05-0.00035307i,9.1561e-05-0.0010703i,0.00050798-0.0014896i,-0.00033236-0.00076681i,-0.0012305-0.00050976i,-0.0010875-0.00073084i,-0.00017809-0.00097338i,2.5396e-05-0.00063655i,-0.00061383-0.00033788i,-0.0010425-0.00036684i,-0.0011542-0.0005663i,-0.00075062-0.00069398i,-0.00062092-0.00089619i,-0.0001457-0.0013181i,0.00021758-0.00024053i,0.00026394-2.0968e-05i,2.2836e-05-0.00075528i,-0.00026927-0.00041021i
0.00040075+0.00064708i,0.00027999+0.00068361i,0.00027002-0.00060431i,0.0002391-0.0007364i,0.00025819+0.00051313i,-2.4386e-05+0.00079887i,0.00016871-2.1669e-05i,0.00051472-0.00021994i,-0.0002658-0.00077957i,-0.00071365-0.0010989i,-0.00048528-0.00083549i,-0.00049964-0.00085253i,-2.6287e-05-0.0010395i,0.00081565-0.0013476i,0.00049845-0.00074041i,0.0004606+0.00039189i,0.00061547+0.00066129i,-0.00048166+0.00087052i,-0.0014617+0.00080576i,-0.0014177+0.00010351i,-0.0010084+0.00016616i,-0.00069302+0.0002395i,-0.00032852-5.3009e-05i
-0.0017331+0.00076831i,-0.0013032+0.00094268i,0.00058578+0.0018811i,0.0012341+0.0014938i,0.0014345+0.0015161i,0.0031192+0.0010059i,0.0033979-0.00046175i,0.0011466-0.00055991i,-0.00074079+0.00030573i,-0.0010365+0.0005245i,3.2543e-05+0.00050404i,-4.6828e-05+0.00079984i,-0.00047982+0.00072074i,-0.00015943+0.0004213i,-0.00010732+5.0379e-05i,-0.00038135+0.0003127i,-0.00059556+0.00012725i,-0.00032043-0.00040287i,0.00027863+0.00019748i,0.00013092+0.00036185i,-0.00048403-0.00026238i,-0.00061456-0.00024727i,-0.00065633+0.00044057i
-0.00044523+0.0013122i,-0.0011999+0.0018328i,-0.00040816+0.0014378i,0.00078788+0.00027538i,0.0010258+0.00014814i,0.000234+0.00059026i,-0.00073767+0.00059504i,-0.00086582+3.313e-05i,-0.0004527-0.00062313i,-0.00040224-0.00028938i,0.00039962-0.00011856i,0.0004836-0.00018208i,-0.00057855-4.3998e-06i,-0.001015-0.00018896i,-0.00063124-0.00025822i,-0.00051739+0.00017604i,-0.00011852+0.00067165i,-0.00046488+0.00025948i,-0.00058278-0.00053461i,-0.00041644-0.00037466i,-0.00075067+9.7723e-05i,-0.0008639+0.00046535i,-0.00013216+1.765e-05i
