0.00034372-0.00056361i,0.00056832-0.00081108i,0.00032941-0.00047629i,-0.00023694+0.00057481i,-0.00051381+0.0018819i,-0.00024488+0.0024522i,0.00097044+0.00157i,0.0013871+0.00019948i,0.00074913+0.00023117i,5.7608e-05+0.00011979i,-0.00038877-0.0012377i,-0.00024701-0.0011025i,9.5192e-07-0.00015191i,1.6523e-05-0.0010206i,-7.532e-05-0.0018191i,7.8535e-05-0.00038199i,-7.3697e-05+0.00073428i,-0.00070445+0.00012801i,-0.00078021+1.4177e-06i,-0.00067651+0.00035679i,-0.00058213-0.00011384i,0.00027904-0.00058149i,0.00058413-0.0003476i
0.0004833-0.00024447i,-0.00031125+0.00030244i,-0.00071632+0.001143i,-0.0011506+0.0023235i,-0.0020748+0.0037019i,-0.0017869+0.0034594i,-0.00018648+0.0011835i,0.00021596-0.00016444i,0.00014825-4.8387e-05i,0.00051953-0.001251i,0.00023761-0.0016847i,3.5687e-05-0.00011803i,-0.00020999+0.0004597i,-0.00064825+0.00016773i,-0.00067001-0.00018607i,-0.00084923-0.00016881i,-0.00081039+0.00043131i,-0.00055134+0.0008062i,-0.00037797+0.000312i,-0.00021323-0.00032722i,-0.00010181-0.00043954i,0.0001951-0.00046523i,0.00056462-0.00034911i
0.00027638-0.00087303i,5.9977e-05+0.00050022i,-0.00051041+0.0011173i,0.00024159+0.002312i,0.0011049+0.0035662i,0.0015126+0.002708i,0.0015941+0.00064064i,0.0003348-0.00031921i,-0.00062677-0.00051309i,-0.0005948-0.00069757i,-0.00092813-0.0005714i,-0.00070738+0.00020166i,-5.0422e-05+0.0006482i,0.00066285+0.00037267i,0.0010273-0.00017406i,0.00053732-0.00014115i,0.00021294-3.7224e-05i,0.0003155-0.00013884i,0.00033753+0.0002689i,-0.00037706+6.042e-05i,-0.00014329-0.00029392i,0.0002259-0.00068303i,-0.00050689-0.0014701i
-0.0010923+0.00040714i,-0.00039993+0.00099818i,-0.0002211+0.0015113i,-5.4985e-06+0.0029858i,0.0014745+0.0044957i,0.0028936+0.0034345i,0.0022314+0.00076688i,0.00063651-0.00053145i,-0.00034171-0.00050518i,-0.00051006-0.00056296i,-0.00039843-8.3637e-05i,-5.4986e-05+0.00057877i,0.0013809+0.00087092i,0.0014759+0.00052449i,0.00095158+0.00012201i,0.0012042-0.00014134i,0.0016385+0.00010917i,0.0011858+0.00070948i,4.3999e-05+0.00062963i,-0.00019992+1.1901e-05i,0.00014699-0.0008232i,0.00040662-0.00055336i,0.00040645+0.00066118i
0.00037164-0.00070068i,0.00011132+7.5726e-06i,8.6024e-06+0.0011981i,-0.000729+0.0023174i,-0.0014569+0.0025653i,-0.00094197+0.0020019i,0.00049753+0.00097198i,0.0010547-0.00042582i,0.00029115-0.0017622i,6.5198e-05-0.0010681i,0.00030555+0.00055037i,0.00052227+0.00097046i,0.00065165+0.00039808i,0.00048207+0.00026882i,5.6544e-05+0.00051979i,-2.8723e-05+0.00072259i,-0.00027399+0.00079222i,-0.0007508+0.00059432i,0.00023995+0.00018781i,0.00047115+0.00015419i,-0.00016707-5.0666e-05i,-0.00021523-0.00048765i,8.6137e-05-0.00026742i
-0.00036436-0.00024365i,-0.00087519+0.0002836i,-0.0008966+0.0010768i,-0.0012391+0.0029542i,-0.0010453+0.0045838i,0.00067657+0.0035051i,0.00064904+0.00087294i,-6.65e-05-0.00044667i,0.00043676-0.0011728i,0.00062953-0.0012683i,0.00068199-0.00083793i,0.00049328-0.0006305i,0.00029128+0.00022587i,0.00058669+0.00040996i,0.0002971-8.448e-05i,0.00014326-0.00065823i,0.0003404-0.0010854i,0.0002417-0.0010135i,2.3846e-05-0.0007264i,-0.00037669+0.00017284i,-0.0005748+0.00017913i,-0.00081576+0.00011958i,-0.001006+0.00029774i
-4.3271e-05+0.0009733i,-0.00013664+0.00065615i,0.00010731+0.00082292i,-0.0001656+0.0014156i,3.4611e-05+0.0022229i,0.00032325+0.002816i,0.0003722+0.0022244i,0.00016389+0.0013613i,0.00034848+0.0003781i,0.00035639-0.00045994i,0.00029794-6.9561e-05i,0.00067312+0.00072676i,0.00056347+0.00045338i,8.0926e-05-0.00094066i,-0.00011556-0.0012063i,-1.2294e-05-0.00034901i,-0.00072017-0.00026164i,-0.00097629-0.00056025i,0.00012478-0.00021354i,0.00068407+0.0010464i,0.00044112+0.001112i,0.00030732-2.5776e-05i,-0.00043113-0.0003872i
0.0027538+0.0013518i,0.0013035+0.0013035i,0.001096+0.00021879i,0.001016+0.00069134i,0.00028157+0.0019968i,0.00031208+0.0017113i,-5.1341e-06+0.00078765i,-0.00053964+6.027e-05i,0.00038456-0.00043747i,0.00030831-0.0012583i,-0.00055709-0.0015854i,-0.00024854-0.00066344i,-0.00060315+0.00022643i,-0.001144+0.00046902i,-0.0010481+0.00021999i,-0.0007726+7.6994e-05i,-0.00085723+0.00023871i,-0.00061973-0.00016353i,-0.00050652-0.00073929i,0.00016103-0.00064991i,0.00062772-0.0002838i,7.5512e-05-0.00035444i,6.6768e-05-0.00018003i
0.0017426-0.00047287i,0.0016353-0.00047947i,0.00046039+0.00040462i,-0.00049926+0.0017407i,-0.00070174+0.0035439i,-0.0005026+0.003091i,5.225e-05+0.00071976i,0.00056822-0.00082297i,0.0011445-0.0014172i,0.0010935-0.00091669i,0.00032896-0.0003486i,-0.00045106+0.00018563i,-0.00082775+0.00010897i,-0.0001592+0.00025119i,0.00044773+0.00058151i,0.00010044+0.00040848i,0.00023415+3.2062e-05i,0.00023691-0.00024075i,-0.000503-0.00022758i,-0.00038086-9.7413e-05i,0.00023757-4.6512e-05i,0.00052598-0.00032543i,0.00058183-8.9424e-05i
-0.00096934+1.8211e-05i,-0.0013199+0.0011994i,-0.0018538+0.0032815i,-0.0017802+0.0042226i,-0.00064264+0.0046824i,0.00045657+0.0041631i,0.00038282+0.0024733i,0.00028947+0.0014215i,0.00043578+0.00076275i,-2.9385e-05-3.281e-05i,-0.00069203-0.0004505i,-0.00019744-5.9863e-05i,0.00021244+0.00068204i,-0.00024805-0.00018953i,-0.00077008-0.0010346i,-0.0005868-0.00086382i,-9.4791e-05-0.00084444i,6.4092e-05-0.00053974i,0.00062887-0.00038167i,0.00074021-0.00081843i,0.00041469-0.00050462i,0.00047945+0.00016703i,0.00024804-0.0005906i
