-0.0044794+0.0011429i,-0.0046159+0.00095508i,-0.0040143+0.0020204i,-0.0022772+0.0027464i,0.00011136+0.0029129i,0.0018924+0.0025993i,0.0019097+0.0018141i,0.0011199+0.0011687i,0.00010602+0.0010882i,0.00035407+0.0011548i,0.0010061+0.00042904i,0.00062471-0.00048673i,3.3815e-05-0.0013045i,-0.00070122-0.00090582i,-0.0012728-0.00037656i,-0.00099107+0.00016714i,-0.00099857+0.0001955i,-0.0011389-0.00027209i,-0.001063-0.00011739i,-0.00038836+4.5251e-05i,-0.00012421-0.00027135i,-0.00033403-0.00055723i,-6.8707e-05-0.00042471i
-0.00042102-0.00069798i,-0.00083768-0.00099148i,-0.0016599-0.0015235i,-0.00053737-0.0014944i,0.00040861-0.00031254i,0.0004099+0.00072236i,0.00033667+0.00068463i,0.00032231+0.00048799i,-0.0003937+0.00064129i,-0.00086387+0.00013789i,-3.0206e-05-9.9908e-05i,0.00052005-0.00026557i,0.00037944-0.00051285i,0.00026089-0.00080956i,0.0005974-0.00081477i,0.00062172-0.00018524i,4.8329e-05+3.5494e-05i,-0.00038648+0.00010053i,-0.00045591+0.00054121i,-0.00031714+0.00050863i,-0.00033547-0.00032684i,-0.00023719-0.00089072i,8.7295e-06-0.0010358i
0.00030249-0.00015027i,0.00069741-0.0010587i,0.0010107-0.0012087i,0.00071974+0.0002254i,3.6002e-05+0.0016448i,-7.0162e-05+0.001703i,-0.00010462+0.0011014i,-0.00040716+0.00074352i,-0.00011668-1.5855e-05i,0.00020144-0.00035017i,-0.00032976-0.0001684i,-0.00038785-0.00055036i,-0.00011841-0.0011643i,0.00010556-0.00061806i,7.2252e-05-0.00054778i,0.00036864-0.00085466i,0.00037957-0.00054059i,0.00011957-0.00058227i,-2.886e-05-4.4411e-05i,-0.00026739+0.00066493i,-0.00039251+0.0006039i,-0.00053385+0.00023308i,9.3394e-05-6.8981e-05i
-0.00046201+0.0015534i,-0.00026079+0.0022744i,7.0822e-05+0.0028235i,-1.4332e-05+0.0024198i,0.00039555+0.0020242i,0.00034115+0.0010703i,-2.1255e-05+0.00099361i,-9.7254e-05+0.0009547i,-7.2665e-05+0.00051325i,2.5694e-05+0.00070298i,0.00017205+6.0465e-05i,-0.0001763-0.00044283i,-0.00084389-0.00039532i,-0.00055655-0.00011554i,-0.00018108+0.00010736i,-4.5894e-05-6.8188e-05i,-0.00023361-0.00063797i,-0.0003748-0.00035232i,-0.00014417+0.00027628i,0.0006724+0.00091352i,0.0015199+0.00041352i,0.0014462-0.00064541i,0.0004935-0.00030415i
-0.001175+0.0007591i,-0.00073291-0.00027043i,-0.0014406-0.00071133i,-0.0018264-0.00030475i,-0.0012915-0.00010151i,-0.00014395+0.00023397i,0.00088117+0.00077487i,0.00027561+0.00088915i,-0.00095346+0.0010747i,-0.00024596+1.4418e-06i,0.0008868-0.00070674i,0.00050225-0.00031436i,-0.00073184-0.00012935i,-0.0013178+0.00041262i,-0.0010664+0.00053084i,-0.00037295+0.00022212i,0.00017031+4.1781e-05i,0.00047957+0.00018081i,0.00059202+0.00072212i,0.0001225+0.00032916i,0.00030076+0.0003264i,0.00048304+0.00029689i,-7.877e-05+4.8609e-05i
0.00033856+0.0012355i,0.0019261+0.0010272i,0.0024405+0.00024649i,0.0018154-0.00027242i,0.00067604-0.00053307i,0.00047256+0.00029624i,0.00023805+0.0012033i,-0.0001555+0.00096907i,-3.1707e-05+0.00039219i,0.00035636+8.7301e-05i,0.00042579-0.00011435i,-0.00019689-0.0002609i,-0.00059811-0.00014975i,-0.00068148+0.00040237i,-0.0015747+0.00037992i,-0.0010511+0.00033835i,-0.00045012+0.00043714i,-0.0008482-0.0001994i,-0.00033322-0.0008377i,4.7905e-05-0.00061311i,-0.00042288+9.0946e-05i,-0.00082421+0.00015007i,-0.00072573-0.00017198i
0.0010358+0.00095084i,0.0014459+9.34e-05i,0.00135+0.0007281i,0.0011711+0.0016342i,0.00017678+0.0017064i,-0.00032319+0.00061683i,0.00012809-0.00013071i,0.00042314-0.00014126i,9.1925e-05+0.00068212i,-0.00026784+0.00092136i,-4.2644e-05+0.00043709i,-0.00024228+0.0003264i,-0.00025372+0.00074408i,-2.1747e-05+0.00074988i,-0.00031722+0.00036293i,-0.0001224+0.00031846i,0.00014009+0.00028869i,0.00026435-0.0004693i,0.00020521-0.00053299i,-0.00062038+0.00021774i,-0.0012034+4.0587e-05i,-0.00037881+0.0001711i,0.00025736+0.00053012i
0.00073473+0.0015201i,0.0013075-0.0003379i,0.0015655-0.0013731i,0.0014372-0.00097394i,0.0014543+8.7252e-05i,0.00096302+0.00016877i,1.325e-05-0.00042101i,-0.00020636-0.0008664i,-4.0475e-05-0.00043397i,-0.00084873+5.8044e-05i,-0.0010736-0.00030291i,-0.00060017-0.00033309i,-0.00072178+0.00048918i,-0.00077201+0.00076822i,-0.00059044-0.00019136i,-0.00045425-0.00030992i,3.3596e-05-6.2599e-05i,0.00026869-0.00060591i,0.00066261-0.00073485i,0.00085504-0.00036104i,7.0884e-05+0.0006634i,-0.00020202+0.0012353i,0.00022247+0.0012566i
-4.9901e-05-0.00029617i,0.00035252+0.00028159i,0.00083077+0.00090766i,0.00082773+0.002001i,0.00083225+0.00245i,0.00099956+0.0019039i,0.00076521+0.0020026i,5.0463e-05+0.00070733i,6.5751e-05-0.0009543i,0.00051803-0.00039768i,-0.000162-3.5908e-05i,-0.0004265-0.00019911i,0.00050051-0.00067867i,0.0010974-0.00089567i,0.00085992+0.00010131i,0.00037599+5.8704e-05i,0.00060569-0.00034351i,0.0005123+0.00038971i,0.00049668+0.00075967i,0.00086347-1.0536e-05i,-0.00029318-1.3089e-05i,-0.0010341-0.00012283i,-0.00043654-0.00033357i
0.00029312-0.00032593i,0.00069567-3.582e-05i,-0.00028439+0.00051586i,-0.0010124+0.00091725i,-0.00098663+0.0003766i,-0.00042107-8.3917e-05i,0.0007816+8.1647e-05i,0.0010589+0.00025263i,0.00042843-0.0001145i,4.6718e-05-0.00037146i,6.347e-05-8.4212e-05i,-0.00038693+0.00017963i,-0.00039987-3.9709e-05i,1.2892e-05-0.00028123i,-0.00055711+5.6718e-05i,-0.00099667+0.000657i,-0.00073287+0.00061697i,-0.00028571+0.00071646i,-3.1579e-05+0.00070934i,-0.00055308+0.00066483i,-0.00052847+0.00089985i,0.0001502+0.0010966i,0.00046085+0.0013307i
-0.00080114+0.0023231i,-0.00039764+0.0019926i,0.00081217+0.00095349i,0.00040347-1.0073e-05i,-0.0013834+0.00022148i,-0.0017362+0.00076363i,-0.00077402+0.001196i,-0.0003708+0.0015319i,-0.00020116+0.0015126i,0.00034581+0.000517i,9.1886e-05-0.00023408i,-1.3766e-05+3.7857e-06i,-0.00035061+0.0006418i,-0.00073578+0.0008676i,0.00017236+0.00015839i,0.00037631+0.00015956i,-0.00059576+0.00043099i,-0.00034494-0.00016839i,0.00016586-0.000726i,0.00052646-0.00014131i,0.00084019+0.00014569i,0.00030656-0.00037746i,-0.00031836-0.00067464i
0.0013128-4.5953e-05i,0.0012259-0.00036106i,0.00059478-0.0011631i,0.00089509-0.00071939i,0.0011132+0.00092727i,0.00085656+0.0022179i,0.00069126+0.0017175i,0.00069249+0.00028122i,0.00030611+0.00022176i,-0.00039162+0.00051811i,-0.00041842-1.4786e-06i,0.00010901+8.227e-05i,-4.9772e-06+0.00076717i,-0.00023284+0.00068064i,-0.00043507-0.00042944i,-0.00047451-0.00093563i,6.418e-05-4.0227e-05i,0.00029992+0.00040537i,1.0916e-05+0.00014171i,-0.00010322-0.00012565i,0.00010916-0.00059371i,0.00029588-0.00089196i,0.00040139-0.00023796i
0.00016245-0.00029502i,-6.7822e-05-3.7468e-05i,4.6782e-05+0.00038892i,0.00050637+0.00024919i,0.00028915+0.00012633i,0.00017305-0.00085018i,0.00015927-0.00091191i,-0.0004653-0.00019862i,3.1956e-05-0.00017683i,0.00047626+0.00013589i,2.1111e-05-0.00023914i,-9.2359e-05-0.00030427i,-0.00052167+8.7103e-05i,-0.00051459-7.5674e-05i,-0.00028698+0.00038674i,-0.00027263+0.00045481i,-0.00033331+0.00060976i,-0.00024656+0.00069021i,7.691e-05+0.00022021i,0.00014998-0.00047059i,-0.00037015-0.00040765i,-0.0011571+7.5981e-05i,-0.00081784-0.00026231i
0.00086429+0.00018851i,0.0010941+0.00075637i,0.00088688+0.0010413i,-0.00068397+0.00021551i,-0.00059664+1.8067e-06i,0.00041084+0.00095686i,0.00043006+0.0014502i,0.00044289+0.0014268i,0.00056124+0.0012701i,-0.00011167+0.00068378i,-0.00019875-7.8233e-05i,0.00053199-0.00053781i,0.00057211-0.00039775i,9.0082e-05+8.2534e-05i,-0.00034371-0.00047631i,4e-05-0.00086353i,-5.1698e-05-0.00025958i,-0.00043996-0.00025599i,-4.2608e-05-0.00042987i,0.00049233+2.2184e-06i,-0.00013514+0.00057926i,-0.0010167+0.00055818i,-0.0010682-6.7513e-05i
0.0013824-3.353e-05i,0.00053615-0.0012017i,-0.00033854-0.0020945i,-0.00014281-0.0012455i,0.00059651-0.00013103i,-0.00041358+0.00037903i,-0.00027016-1.3842e-05i,0.00097086-0.00080557i,0.00085997-0.0011671i,0.00097444-0.00094253i,0.0013513-0.00074555i,0.00040375+2.5196e-06i,-0.00036641+0.00063671i,-0.00023456+0.0012722i,-0.00093522+0.00087091i,-0.0014352-0.00019204i,-0.0010396-0.00082868i,-0.00063869-0.0012859i,-0.00014686-0.00054744i,2.8933e-06-0.00036294i,-0.00044537-0.00071i,-0.00048838-0.00047128i,-0.00052283+3.4585e-06i
0.0014814+0.00067299i,0.0028839-0.00041329i,0.0025411-0.00049328i,0.0016075+3.1753e-05i,0.0012055+0.0011355i,0.0012833+0.0014534i,0.00059687+0.00096952i,-0.00019231+0.00038488i,-0.00014435+0.00068193i,-6.8409e-05+0.00086722i,-0.00014565+0.000339i,-0.00033416+0.0003489i,0.00029293+0.00017449i,0.00037822-1.7062e-05i,-0.0001135-0.00023557i,-0.00039925+0.00028039i,-0.00036354+0.0015325i,-0.0003791+0.0014938i,-0.00018746+0.00081742i,0.00082026+0.00033431i,0.00082138-0.0002223i,0.00080763-0.00013695i,0.00039867+0.00028364i
-0.00013563-0.00059385i,-0.00060343+7.2139e-05i,-0.00046782-0.00013185i,-0.00092207+0.00011814i,-0.0016103+0.0010434i,-0.00030025+0.0019039i,0.00090399+0.00055253i,0.0011205-0.00094097i,0.0011442-2.6566e-05i,0.00078603+0.0011908i,0.00019873+0.00053801i,-0.00028307-0.00012526i,-0.00039331-0.00012084i,0.00030038+0.00030998i,0.0010928+7.4234e-05i,0.00040458+4.0292e-05i,-0.00075186+0.00022752i,-0.001054-0.00068224i,-0.00057687-0.0016741i,6.7195e-05-0.0012787i,4.9785e-05-0.0002774i,0.00017374+0.00017211i,0.00037133+0.00053056i
-0.002554-0.0015519i,-0.0017827-0.0012901i,-0.00075375-0.00029081i,-0.00048009+0.00027654i,-0.0002691+0.00068912i,9.225e-05+0.00074915i,9.8064e-05+0.0006342i,-0.00027136-0.00021329i,-0.00090869-0.001056i,-0.00099368+0.00011862i,-0.00075453+0.0011407i,-0.0005903+0.0002235i,-0.00037604-0.0006797i,-6.7662e-06-0.00042791i,0.00057832-0.0010182i,0.00027335-0.0013705i,7.4166e-05-0.00042027i,0.00041248+3.4055e-05i,-0.00013382-2.4416e-05i,-0.00068424+0.00017036i,-0.00023788+0.00060381i,4.6185e-05+0.00021127i,-0.00016878-6.4895e-05i
-0.0010345+0.0027756i,0.00021158+0.0028863i,0.0018012+0.002561i,0.0018621+0.0013834i,0.0012832+0.00054765i,0.001246+0.00077033i,0.0017345+0.00074552i,0.0017486+0.00059087i,0.0014033+0.00046489i,0.00075756+0.00011292i,0.00011457-0.00013159i,-7.1035e-05+0.00014276i,-0.00031132+0.000809i,-0.000609+0.0013331i,-0.0010177+0.0010528i,-0.0014981+0.00087297i,-0.0011989+0.00066473i,-0.00047459+0.0001482i,-5.6939e-05-0.00034834i,-8.9393e-05-6.1629e-05i,-0.00047849+0.0010233i,-0.00075942+0.0010162i,-2.2383e-05+0.00047269i
-0.0015335-0.00032912i,-0.0014002-5.4745e-05i,-0.0014479+0.00071159i,-0.0013002+0.0012727i,-0.0012509+0.001285i,-0.001061+0.00066528i,-0.00095969+0.00044791i,-0.00042272+0.00039475i,-0.00030948+0.00015596i,-0.00089093-0.00030953i,-0.00084261-0.00084089i,-0.00035257-0.0006004i,4.2197e-05+1.2957e-05i,-0.00022279-7.8718e-05i,-0.00074586-0.00092724i,-0.00053535-0.00067017i,-0.00011476+0.00072786i,-0.00049239+0.0011191i,-0.00067126+0.00011701i,-0.00065136-0.00056191i,-0.00078511-0.00045882i,-0.00053193-0.00018037i,-0.0002194+0.00048614i
0.0012597+0.00046i,0.002236+0.00029544i,0.0014639-0.00036174i,0.0004326-0.00016878i,2.9236e-05+0.0010094i,-0.00017547+0.0016046i,-0.00024862+0.0016499i,0.00057216+0.001008i,0.00076284+0.00033453i,0.00036565-4.5387e-05i,0.00048732-0.0007347i,0.00080069-0.00091372i,0.00040815-0.00060815i,-0.00014458-0.00020241i,2.6672e-06+0.00036887i,0.00029427+0.00013501i,-6.1847e-05+0.00029418i,-0.00088208+0.00055515i,-0.00066276+0.00013632i,0.00017842-0.00020206i,7.3829e-05-0.0002884i,-0.0001068+0.0001553i,2.8282e-05+0.0003798i
-8.6918e-05+0.0017172i,0.00031394+0.0027936i,0.0014342+0.0028235i,0.0015254+0.001676i,0.00075983+0.00074546i,0.00026976+0.00038973i,0.00017927+5.5417e-05i,0.00044304+0.00033475i,0.00094783+0.00021736i,0.0012053-0.00049966i,0.00056865-0.00038141i,-5.2856e-05-0.00030292i,-0.00038802+9.2001e-05i,-0.00094938+0.0004352i,-0.0007905+0.00069902i,-0.0010172+0.00057009i,-0.0010066+0.00035316i,-0.00022721+0.00064689i,0.00070032+0.00098399i,0.00075724+0.00075953i,0.00032136-0.00011351i,0.00064333-0.00050736i,0.00048111-0.00051609i
0.00099285-0.0012252i,0.00034336-0.0008226i,-0.0018185+0.00026835i,-0.0024805+0.00052964i,-0.0014569+0.00057957i,-0.00056971+0.001133i,7.4686e-05+0.0014371i,8.8932e-05+0.001148i,-0.00056044+0.0005602i,-0.00060323+0.00042472i,2.2816e-05+8.6289e-05i,0.00079521-0.00016922i,0.0010509+9.0016e-05i,0.0011534+0.00042192i,0.00097619+0.00025166i,0.00064068-0.00030261i,0.00072734-3.627e-05i,0.00016841+0.00051204i,0.00014063+0.00055839i,8.6086e-05+0.00044578i,-0.00029758-0.00016595i,-0.00060827-0.00036581i,-0.00068704+0.00042787i
-0.0011887-0.00067672i,-3.9265e-05-0.0015629i,1.1453e-05-0.0020177i,-0.00031749-0.0020528i,7.2454e-05-0.001611i,0.0003599+6.0225e-05i,0.0001731+0.001157i,-5.633e-05+0.00074874i,0.0001953+0.00050634i,-1.9571e-05-0.00010567i,-0.0011231-0.00022029i,-0.0011982-0.00050078i,-0.0003083-0.00070892i,0.00010394-4.5057e-05i,-8.5829e-05+0.00050497i,-2.8581e-05+0.00062234i,0.00016787+0.00072715i,-2.9971e-05+0.00067766i,0.00031286+0.00070198i,0.0010368+0.00098073i,0.00061855+0.0005233i,0.00014275-0.00018503i,0.00018187-0.00015337i
-0.00068319+0.00028018i,-0.00026433+0.0010935i,2.7845e-05+0.0015275i,0.00063543+0.0019143i,0.00048513+0.0022325i,0.00011057+0.0013392i,0.00065941-0.00026946i,0.00087041-0.0011757i,0.00091396-0.0012175i,0.0010224-0.00022256i,0.00044389+0.00069892i,0.00080182+0.00036001i,0.00074079-0.0003353i,0.00035526-0.0010708i,0.00039864-0.00094165i,-2.9582e-05+0.00066085i,-0.00014143+0.0011731i,6.0361e-05+0.0002538i,-9.2583e-05-0.00017302i,2.7137e-05-0.00069866i,4.903e-05-0.0006015i,-0.00019456+6.9617e-05i,0.00025043-0.0002281i
-0.00073534-0.00033378i,-0.0011053-0.00069385i,-0.0013408+0.00060553i,-0.00095961+0.002147i,-0.00055236+0.0026442i,0.00038353+0.0023677i,0.00034337+0.0017425i,-0.00022419+0.001058i,-0.00059833+0.00054274i,-0.00059866+0.0003163i,0.00024106+0.00010436i,0.00056422-9.381e-06i,9.7017e-05-0.00015936i,-0.00070266-0.00068242i,-0.0014004-0.00086874i,-0.00028997-0.00083754i,0.00088717-0.00022796i,0.00090736+1.2315e-05i,0.00035988+0.00015954i,-0.0003026+0.00035707i,0.00036304+0.00023905i,0.00094316+0.00028233i,0.0008222+0.00045991i
0.00019203-0.0017191i,0.00047954-0.0021058i,0.00028508-0.0019366i,-0.00026639-0.0017591i,-0.00077471-0.00096751i,-0.00060229+0.00061976i,0.00021179+0.0012721i,0.0006869+0.00065916i,6.2612e-05+0.00014864i,-0.00046346-0.0003967i,-0.00057437+7.7789e-05i,-0.00044749+0.00036496i,7.1494e-05-0.00036473i,0.00077977-0.00062695i,0.00052534-0.00043781i,-0.00016302-0.00033133i,-0.00031213-0.00058619i,2.123e-05+2.6535e-05i,0.00054938+0.00041138i,-6.9394e-05+0.00021307i,-4.5954e-05+7.5926e-05i,-3.4892e-05-0.00064901i,7.3803e-05-0.00052957i
0.00028559+0.00063156i,-0.00052377+0.0010511i,-0.00135+0.00074744i,-0.0012841+0.00032235i,-0.00095515+0.00090988i,-0.00019316+0.0017102i,0.00061411+0.00092078i,0.00038621-0.00044974i,-0.00031023-0.00032738i,-0.00066155-7.6675e-05i,-0.00042537-0.00043874i,0.00096005-0.00026887i,0.0013021+0.00070958i,0.00019404+0.00056136i,0.00018068-0.0004443i,0.00023327-0.00022108i,0.00023845+0.00039122i,0.00032023+0.00040439i,0.00054198+0.0012564i,0.00084559+0.0011821i,0.00029729+0.00087891i,-1.7601e-05+0.0011788i,2.7797e-05+0.00049144i
0.00151-0.0012083i,-7.15e-05-0.0017242i,-0.0012639-0.0027108i,-0.0012871-0.0016681i,-0.00096057+0.00040787i,-0.00072274+0.0012336i,-4.2525e-05+0.0011207i,0.00086573+0.00072554i,0.00048564+0.00041043i,-0.00035861+2.9952e-05i,0.00028811-4.9208e-05i,0.00050316+0.0005725i,-0.00036589+0.00046313i,-0.00018515+0.00057234i,0.00082297+0.00068711i,0.0010535+0.00083569i,0.0012288+0.00084587i,0.0012601+0.00066392i,0.00046951+0.00061118i,9.3725e-06+0.00022504i,9.9795e-05-0.00027826i,0.00013961-0.00014765i,-0.00047232+0.00054939i
0.00045139-0.00047787i,0.00073523-0.0004663i,0.00020268-0.00075237i,-0.00020697-0.0012527i,-0.00041137-0.00095901i,-0.00030571-3.8128e-05i,3.1024e-05+0.00032234i,-0.00013285+0.00064356i,-0.00057511+0.00036453i,3.4341e-05-3.1974e-05i,0.00056861+0.00026278i,0.00049647+8.8372e-05i,0.0015869-0.00048899i,0.0020657-0.00048905i,0.00094327+0.00022204i,0.00083315+0.0006853i,0.00050118+0.00053845i,0.00043665+0.00033908i,0.0010439-0.00011876i,0.0012279-0.00014331i,0.0011375+0.00030736i,0.0002505+0.00091265i,-0.00052257+0.0014355i
-0.0003292+0.00041447i,-0.00067863+0.00037425i,-0.00036228+0.001484i,0.00027764+0.0021105i,0.00014404+0.0015227i,0.00013864+0.0015601i,0.00086531+0.00029298i,0.0010692-0.00070878i,0.00052149-0.00012248i,0.00061507+0.0001978i,0.00050976-0.00019995i,0.00018594-0.00041916i,-0.00063626-0.00084419i,-0.00085855-0.0013448i,-0.00085563-0.00080908i,-0.001091-8.0297e-05i,-0.00024955+2.8324e-05i,0.00014279+0.00020523i,-0.00023878+0.0006686i,-0.00027941+0.00086345i,0.00011643+0.0011528i,0.00014838+0.00084215i,-0.00036588+0.00053856i
-0.00013292+0.00041782i,0.00072818-5.3815e-05i,0.00089673-0.00031091i,-0.00078053+0.00046424i,-0.0013526+0.0012131i,-0.00024299+0.0017139i,-4.0093e-06+0.0019802i,-0.00046141+0.0014202i,-0.00023115-1.9364e-05i,0.000493-0.00080411i,0.00026183-7.4319e-05i,-0.00025697+0.00055259i,5.1902e-05+9.9639e-05i,-0.00012313+0.00012541i,0.0002647+0.00025386i,0.00063915+0.00062948i,0.00019671+0.0008081i,8.4682e-05-0.00034237i,-0.00025348-0.00094888i,-5.8871e-05-0.00078697i,0.00028829-0.00058758i,0.0001097-0.00055216i,-7.4713e-06-0.00055567i
