0.00069136-0.0013317i,-0.0004588-0.0022068i,-0.0013136-0.0026924i,-0.0014383-0.0019795i,-0.0016821-0.00098989i,-0.0019362+3.3697e-05i,-0.0016404+0.0005515i,-0.0011256+0.00082532i,4.4639e-05+0.00023891i,0.00053352-0.00036204i,0.0010362-0.0001336i,0.0013863+3.1808e-05i,0.0013956+0.00023204i,0.0010308+0.00051787i,6.8135e-05+0.00031474i,-0.00064691+0.00031251i,-0.0010305-0.0003383i,-0.0005218-0.00060191i,0.00060687-0.00015873i,0.0004502-0.00032577i,0.00013246-0.00041261i,0.00013906+0.00031216i,-0.00021176+0.00095575i
-0.014367+0.063682i,-0.06071+0.16801i,-0.11159+0.26515i,-0.081626+0.25573i,0.018269+0.16608i,0.053335+0.1072i,0.023002+0.093864i,0.0014207+0.078808i,-0.0075278+0.04951i,-0.013274+0.022356i,-0.014136+0.007326i,-0.011536+0.0031243i,-0.0091115+0.0027949i,-0.0091372+0.0010719i,-0.0087958-0.0023282i,-0.0052636-0.0048926i,-0.00094988-0.0049798i,0.00050959-0.005029i,-0.0006971-0.0054957i,-0.0012715-0.0048766i,-0.00028995-0.0033782i,0.0011781-0.0010333i,0.0024935+0.001616i
0.012048-0.071382i,0.044515-0.19017i,0.083614-0.28771i,0.072787-0.23156i,0.02201-0.08023i,0.016959-0.024819i,0.02796-0.07581i,0.003875-0.10185i,-0.013319-0.067123i,-0.0023773-0.028606i,0.0084321-0.014368i,0.0059972-0.0087935i,0.0014792-0.0017372i,0.0023312+0.0027048i,0.0045638+0.0034829i,0.0056482+0.0042907i,0.0056887+0.0053623i,0.0047197+0.0058755i,0.0029464+0.0049681i,0.00097338+0.0030582i,-0.00018117+0.0018351i,-0.00051754+0.0013887i,-0.0015571-0.00018092i
0.0046328+0.076873i,-0.0044226+0.20645i,-0.015807+0.31226i,0.0084555+0.2463i,0.060346+0.065496i,0.06609-0.020813i,0.039613+0.020592i,0.034791+0.061965i,0.032265+0.051935i,0.013733+0.028259i,-0.0014838+0.01767i,-0.0013708+0.014356i,0.0034675+0.0090225i,0.0027678+0.0049145i,-0.0022047+0.0038436i,-0.007042+0.0010736i,-0.0075335-0.0015956i,-0.0050837-0.0014395i,-0.0029037+0.00045876i,-0.0013352+0.00080796i,-0.00059071-0.0010361i,-0.00099603-0.0023746i,-3.4397e-05-0.0015497i
-0.015269-0.083985i,-0.022341-0.22586i,-0.025629-0.35273i,-0.024417-0.31127i,-0.029651-0.15215i,-0.042821-0.067074i,-0.064655-0.071804i,-0.077774-0.064645i,-0.058592-0.037173i,-0.025126-0.023472i,-0.0063577-0.019311i,-0.0035236-0.0135i,-0.0029953-0.0087457i,0.00092267-0.0077046i,0.005605-0.0071457i,0.0079709-0.005824i,0.0068521-0.0038855i,0.0047352-0.0020427i,0.0038373-0.00050048i,0.0028477+0.00092249i,0.002672+0.0017214i,0.0019154+0.0016786i,-0.00038369+0.0012921i
0.024751+0.077855i,0.056236+0.21902i,0.073385+0.34524i,0.035091+0.29829i,-0.035726+0.13553i,-0.046242+0.061348i,0.017996+0.074004i,0.069512+0.055563i,0.058955+0.017659i,0.023628+0.011347i,0.0092672+0.020402i,0.01233+0.016601i,0.010637+0.0053428i,0.0042234+0.0024394i,-0.00020254+0.005148i,-0.0033051+0.0057439i,-0.0055339+0.0037258i,-0.0051199+0.00036714i,-0.0032549-0.0013655i,-0.0021632-0.001811i,-0.0012745-0.0022195i,-0.00045148-0.0011068i,0.0016523+0.00077478i
-0.040576-0.078792i,-0.097091-0.21618i,-0.15423-0.34072i,-0.13463-0.28692i,-0.042249-0.10225i,-0.00046425-0.0025067i,-0.042674-0.0034609i,-0.078022+0.0048715i,-0.063065+0.019704i,-0.03342+0.0088322i,-0.019939-0.0068669i,-0.017785-0.0075975i,-0.016738-0.0015425i,-0.013843-0.0014861i,-0.0085353-0.0056208i,-0.0025383-0.007583i,0.00087302-0.0063594i,0.0020707-0.0046565i,0.0024168-0.0037519i,0.0018172-0.002138i,0.0007055+0.00010482i,0.00060232+0.0012726i,-0.00018289+0.0013929i
0.05542+0.070768i,0.14161+0.19893i,0.2274+0.3314i,0.21558+0.32564i,0.11394+0.19768i,0.069148+0.10046i,0.10133+0.04488i,0.10152-0.0095316i,0.058757-0.025166i,0.030814-0.0019544i,0.025551+0.0098913i,0.021219+0.0020128i,0.014927-0.0019932i,0.011847+0.0029577i,0.0091052+0.0075256i,0.0055171+0.0095576i,0.0028289+0.010281i,0.00064209+0.010841i,-0.00043401+0.0092246i,-0.0017364+0.0046125i,-0.0029598+0.00013552i,-0.0021589-0.0021677i,-0.00097997-0.0030822i
-0.067085-0.066108i,-0.17226-0.17959i,-0.27501-0.29626i,-0.24507-0.29841i,-0.09056-0.20368i,-0.0081697-0.13024i,-0.043972-0.06546i,-0.056166+0.010123i,-0.020835+0.032961i,-0.0071542+0.0073536i,-0.018441-0.0056086i,-0.02215+0.0033102i,-0.014412+0.0082955i,-0.0087667+0.0048191i,-0.0075873+0.002163i,-0.0076009-0.0012222i,-0.0068692-0.0055804i,-0.0047963-0.0064285i,-0.003482-0.0026829i,-0.0010586+0.00035127i,0.0028743+0.00075481i,0.0039066+0.00038759i,0.0013025-0.00017801i
0.082958+0.048464i,0.21442+0.13553i,0.34635+0.21665i,0.33418+0.20352i,0.18253+0.11883i,0.077388+0.054148i,0.071157-0.0046358i,0.052318-0.058772i,0.01236-0.057498i,0.0055691-0.025122i,0.016441-0.010303i,0.018282-0.0104i,0.015341-0.011194i,0.013623-0.0095899i,0.013367-0.0077628i,0.012866-0.0056758i,0.010883-0.0020259i,0.0080674+0.00087474i,0.0053349+0.0021068i,0.0025458+0.0010133i,0.00024985+0.00011426i,-0.0015322+0.00065363i,-0.0018233+0.00098086i
-0.080152-0.048801i,-0.22952-0.11513i,-0.39021-0.1747i,-0.41397-0.16872i,-0.29147-0.12013i,-0.17408-0.068501i,-0.11552-0.0012942i,-0.057161+0.043642i,-0.017013+0.030564i,-0.023133+0.0077832i,-0.031194+0.01198i,-0.020496+0.019616i,-0.011993+0.015876i,-0.011483+0.010055i,-0.011024+0.0076783i,-0.0097434+0.0064206i,-0.0086933+0.0027814i,-0.0071197-0.0007996i,-0.0046018-0.002439i,-0.0021749-0.0024618i,-0.00041597-0.0014277i,0.00098329+0.00011925i,0.0014691+0.00085734i
0.09304+0.029233i,0.24761+0.06777i,0.40195+0.086218i,0.40475+0.078909i,0.27366+0.085414i,0.16249+0.07987i,0.096096+0.018539i,0.021517-0.02327i,-0.017289-0.0031034i,-0.00038162+0.014332i,0.01501+0.0036638i,0.011186-0.0082519i,0.0047722-0.010265i,0.00054311-0.0094034i,-0.0014301-0.010371i,0.00011651-0.010065i,0.0032313-0.0051801i,0.0045021+0.0005454i,0.0035724+0.0022902i,0.0011718+0.00056171i,-0.001734-0.0015577i,-0.0028972-0.0013132i,-0.0013899+0.00018413i
-0.085065-0.019654i,-0.23843-0.030557i,-0.39491+0.00051541i,-0.39852+0.055472i,-0.26185+0.057936i,-0.14368+0.033605i,-0.074886+0.046091i,-0.008441+0.050455i,0.019498+0.022368i,0.0041765+0.010563i,-0.0048229+0.016962i,-0.0022991+0.015576i,-0.00069866+0.012146i,0.0010767+0.013455i,0.0030778+0.015676i,0.0013455+0.016282i,-0.0016707+0.011444i,-0.0036304+0.0053769i,-0.0045744+0.0028215i,-0.0026888+0.0015907i,0.0011682+0.001861i,0.0027736+0.00037403i,0.00072265-0.0019946i
0.093184+0.0080062i,0.24286-0.0081034i,0.3952-0.076707i,0.40912-0.14743i,0.30338-0.13648i,0.20389-0.09128i,0.11843-0.073273i,0.042492-0.043555i,0.025844-0.0095146i,0.038119-0.012433i,0.026091-0.024254i,0.0078691-0.018476i,0.0031345-0.0099673i,0.0012264-0.0077266i,-0.0035307-0.0086606i,-0.0047209-0.010402i,-0.0010752-0.0089822i,0.0038396-0.0065163i,0.0059104-0.0058237i,0.0028348-0.0040407i,-0.0011043-0.0020468i,-0.0026829-0.00035227i,-0.0019102+0.00088394i
-0.084534+0.002719i,-0.21443+0.038172i,-0.33515+0.12576i,-0.32225+0.19061i,-0.21622+0.15428i,-0.14214+0.088828i,-0.078745+0.058247i,-0.020211+0.016218i,-0.018528-0.022004i,-0.033471-0.01509i,-0.021243+0.00078028i,-0.0072562+0.00081294i,-0.0020836-0.00093502i,0.0047466-0.00097903i,0.01159-0.00066637i,0.013182+0.00069563i,0.0078405+0.00051433i,0.00013871+0.001656i,-0.0030339+0.0050865i,-0.0001674+0.0071456i,0.002779+0.0061005i,0.0027573+0.0032319i,0.00035497+0.0024751i
0.080648-0.0086225i,0.196-0.069075i,0.28284-0.18374i,0.23486-0.26564i,0.11894-0.22947i,0.070632-0.14136i,0.050011-0.085617i,0.014492-0.042804i,0.0034156-0.013185i,0.0023275-0.013551i,-0.0061446-0.010516i,-0.0039272-0.00036356i,0.00028119-0.00085326i,-0.0058704-0.0010961i,-0.01432+0.0028818i,-0.016412+0.0029195i,-0.011923-0.00017823i,-0.0074731-0.0032004i,-0.0063382-0.0052943i,-0.0066196-0.0062313i,-0.0066081-0.0052386i,-0.0044773-0.0012782i,0.0010214+0.0013619i
-0.074197+0.018378i,-0.16981+0.08627i,-0.23377+0.20505i,-0.18594+0.28433i,-0.089308+0.25897i,-0.047641+0.18484i,-0.036461+0.11795i,-0.03081+0.06346i,-0.039118+0.047989i,-0.029565+0.054847i,-0.01151+0.039785i,-0.0090402+0.017747i,-0.0087082+0.0096431i,-0.0028809+0.0039488i,0.0038454-0.0031075i,0.0055727-0.0051603i,0.0022869-0.0026084i,-0.00014914+0.0012756i,0.0023622+0.0043418i,0.0073253+0.0037039i,0.010065+0.00062382i,0.0072867-0.0011798i,0.0020066+0.0004091i
0.068591-0.020829i,0.14759-0.096378i,0.17629-0.20477i,0.11141-0.24218i,0.044102-0.18108i,0.03864-0.12323i,0.037944-0.092076i,0.036015-0.047267i,0.049121-0.022766i,0.040915-0.023088i,0.023444-0.011353i,0.019281-0.00097019i,0.014738-0.000577i,0.0074954+0.0061224i,0.0028227+0.014677i,0.00044355+0.016693i,0.0019404+0.015757i,0.0036713+0.011531i,0.0014394+0.0043705i,-0.003577-0.0007158i,-0.0060125-0.00081748i,-0.0028496-0.00042528i,0.00038172-0.0033354i
-0.05944+0.028149i,-0.11707+0.10501i,-0.11176+0.2116i,-0.021822+0.23642i,0.045661+0.16081i,0.033216+0.10039i,0.0039391+0.08241i,-0.0038603+0.054227i,-0.00027974+0.029322i,0.011465+0.015184i,0.01157-0.00081075i,-0.0016988-0.0049386i,-0.0076058-0.0027983i,-0.0058703-0.0081599i,-0.0034469-0.015005i,-0.0040494-0.01628i,-0.0046993-0.011471i,-0.00075268-0.0046496i,0.0039562-0.00089643i,0.0058838-0.0015669i,0.0042371-0.0034868i,0.00067551-0.0018017i,-0.001691+0.001715i
0.05713-0.028794i,0.10412-0.10618i,0.090354-0.2118i,0.017038-0.23532i,-0.023918-0.16468i,-0.013267-0.11601i,0.00046551-0.10822i,0.00025601-0.09642i,-0.0099604-0.085826i,-0.021596-0.062788i,-0.010927-0.030083i,0.0079271-0.016198i,0.013412-0.010747i,0.013231-0.003131i,0.012554+0.0026441i,0.013118+0.0045284i,0.012459+0.00080806i,0.0054561-0.0036574i,-0.0044315-0.0026706i,-0.0095981+0.0011651i,-0.0085843+0.0026006i,-0.0049918+0.00063087i,-0.002336-0.0017286i
-0.04576+0.020423i,-0.07638+0.088778i,-0.054656+0.17843i,-0.0015029+0.18633i,0.006118+0.11318i,-0.0060377+0.087912i,0.0034415+0.10367i,0.0028661+0.092111i,-0.013182+0.072299i,-0.016957+0.050548i,-0.019804+0.026628i,-0.024232+0.016788i,-0.019336+0.012118i,-0.017777+0.0042073i,-0.020316-0.0011368i,-0.01957-0.0016556i,-0.01555-0.0013898i,-0.0092587-0.0041516i,-0.0019729-0.0065976i,0.0035792-0.0050811i,0.0057581-0.0019485i,0.0048819+0.0024892i,0.0041515+0.0076286i
0.043999-0.025055i,0.061096-0.090177i,0.020481-0.18194i,-0.040707-0.19482i,-0.0371-0.11516i,-0.0065706-0.074064i,-0.012862-0.08498i,-0.028849-0.069107i,-0.027175-0.026721i,-0.013228+0.0046023i,0.0033569+0.0083554i,0.01048+0.0005988i,0.010194+0.00076039i,0.011601+0.0038559i,0.012944+0.0045281i,0.013132+0.0037374i,0.010046+0.0029891i,0.0059691+0.0046538i,0.0038565+0.0065926i,0.0017365+0.005681i,0.00057626+0.0019454i,-0.00060715-0.0025062i,-0.0026964-0.0057809i
-0.031488+0.017175i,-0.036591+0.076697i,0.003417+0.17106i,0.046542+0.21847i,0.03434+0.18158i,0.024787+0.13687i,0.055646+0.11231i,0.080951+0.089056i,0.081681+0.058184i,0.057268+0.02371i,0.019737+0.010487i,-0.0024113+0.01171i,-0.011879+0.0054228i,-0.016956+0.0030586i,-0.015031+0.0068078i,-0.012957+0.0074287i,-0.012245+0.0082945i,-0.0091362+0.0086519i,-0.0042343+0.0048103i,0.00033235+0.0013378i,0.0024557+0.0011493i,0.0047009+0.0027196i,0.005958+0.0030374i
0.028808-0.020057i,0.021667-0.07242i,-0.032047-0.15424i,-0.071426-0.20001i,-0.039143-0.17864i,-0.017048-0.14756i,-0.057838-0.12252i,-0.078707-0.096395i,-0.053221-0.077547i,-0.021918-0.058125i,0.00023871-0.038929i,0.014047-0.025936i,0.020301-0.017028i,0.020714-0.013376i,0.016049-0.013646i,0.011219-0.012664i,0.008371-0.010942i,0.0066767-0.0072898i,0.0033005-0.0036724i,-0.003279-0.0040585i,-0.0085633-0.0049786i,-0.0116-0.0043111i,-0.011714-0.0038561i
-0.018307+0.0091401i,0.0088337+0.050119i,0.088631+0.12121i,0.15541+0.1749i,0.13895+0.16729i,0.097642+0.13098i,0.10327+0.082969i,0.098548+0.026937i,0.049507-0.0034025i,0.0017721+0.00085582i,-0.015178+0.013892i,-0.017311+0.018644i,-0.022219+0.018584i,-0.021961+0.016188i,-0.013675+0.011261i,-0.0063529+0.0068924i,-0.0030653+0.0036961i,-0.0035572-0.00059374i,-0.0042652-0.0026116i,0.00049303-0.00021831i,0.0075161+0.0023134i,0.011209+0.003638i,0.012015+0.0052086i
0.02426-0.0094833i,-0.01092-0.043401i,-0.11223-0.10475i,-0.20794-0.16101i,-0.20831-0.16845i,-0.1556-0.128i,-0.14173-0.056619i,-0.14434+0.012879i,-0.11778+0.041871i,-0.069441+0.033779i,-0.026757+0.014352i,-0.00093135+0.00017962i,0.016273-0.0054875i,0.019942-0.0063655i,0.010965-0.0045687i,0.005747-0.0020358i,0.0047761-0.00094905i,0.0035421-0.00028943i,0.0023043+0.00045656i,-0.0017923+0.0013022i,-0.0064898+0.0027842i,-0.0075975+0.0023123i,-0.0066023-0.00080834i
-0.012699+0.001244i,0.033379+0.01462i,0.15165+0.038106i,0.25665+0.062629i,0.25946+0.0831i,0.20102+0.075254i,0.16598+0.02381i,0.14263-0.021584i,0.10356-0.013902i,0.067366+0.012279i,0.036237+0.0195i,0.0046241+0.02125i,-0.01601+0.024442i,-0.018195+0.022213i,-0.010412+0.016415i,-0.0074967+0.010318i,-0.011162+0.0084887i,-0.011102+0.010089i,-0.0050607+0.0089327i,0.0032256+0.0036686i,0.0097134-0.0030986i,0.011603-0.0074916i,0.010427-0.0073642i
0.025171+0.0061132i,-0.027062+0.0036918i,-0.16926+0.012729i,-0.30212+0.033948i,-0.30666+0.036811i,-0.21181+0.032754i,-0.12528+0.056104i,-0.067267+0.084581i,-0.013493+0.065204i,0.009586+0.014757i,0.0072598-0.01254i,0.015193-0.023782i,0.025685-0.03838i,0.020658-0.040602i,0.0089687-0.02807i,0.0042589-0.01614i,0.0064246-0.011011i,0.0082738-0.0085482i,0.0058719-0.0057937i,-0.001833-0.0021225i,-0.0099384+0.0029457i,-0.01364+0.0054077i,-0.014052+0.0040142i
-0.010913-0.011508i,0.042351-0.032232i,0.17828-0.07993i,0.29525-0.13407i,0.2913-0.1395i,0.20489-0.11157i,0.11818-0.11776i,0.057872-0.15024i,0.018722-0.14008i,0.0043602-0.086776i,0.00077422-0.036901i,-0.006774-0.0026676i,-0.014579+0.019555i,-0.012891+0.023877i,-0.004475+0.014037i,-0.0013911+0.0074561i,-0.0013999+0.0091564i,0.00041537+0.0077343i,0.0010299+0.0022127i,0.001778-0.003733i,0.0038209-0.0073976i,0.0036215-0.0058879i,0.0040333-0.00072209i
0.024526+0.021685i,-0.018325+0.060728i,-0.13604+0.14311i,-0.22146+0.2381i,-0.18158+0.25533i,-0.10434+0.18759i,-0.058085+0.14058i,-0.02838+0.12784i,-0.023078+0.091408i,-0.036361+0.048173i,-0.030716+0.020837i,-0.013613-0.0057998i,-0.0064936-0.022895i,-0.0063062-0.021473i,-0.0071785-0.012898i,-0.0035856-0.0084352i,-9.7531e-05-0.013356i,-0.0029096-0.017101i,-0.0056169-0.010911i,-0.0038454-9.9507e-05i,-0.0006107+0.0077125i,0.0013621+0.0090489i,-0.00043168+0.005625i
-0.013467-0.032007i,0.02137-0.091011i,0.11526-0.19642i,0.1602-0.30526i,0.091327-0.31567i,0.02119-0.21946i,-0.016754-0.13886i,-0.067731-0.096025i,-0.084746-0.03862i,-0.044485+0.0033658i,-0.012353+0.013139i,-0.0090273+0.024943i,-0.0069496+0.038876i,2.2967e-05+0.037118i,0.0053869+0.02426i,0.0044581+0.014195i,0.000671+0.012489i,-0.0010814+0.013485i,-0.002252+0.010378i,-0.003532+0.0034546i,-0.0017963-0.0033505i,0.0026412-0.0070663i,0.0066874-0.0086118i
0.023481+0.038987i,0.006299+0.10305i,-0.047123+0.2064i,-0.037702+0.29083i,0.055453+0.27764i,0.10863+0.18063i,0.11284+0.11526i,0.13448+0.098297i,0.13637+0.066854i,0.088722+0.033067i,0.042157+0.012987i,0.021814-0.0056321i,0.014696-0.022337i,0.0051346-0.02679i,-0.0070296-0.015122i,-0.011648-0.0053007i,-0.012147-0.0045353i,-0.0093488-0.0029901i,-0.0013065-0.00087803i,0.0052119+6.2731e-05i,0.0057819-7.4024e-05i,0.0017952-0.00046431i,-0.0045175+0.00071585i
-0.020204-0.045727i,-0.0068632-0.12412i,0.0078212-0.23267i,-0.057487-0.28539i,-0.16229-0.22258i,-0.16709-0.10459i,-0.10453-0.049617i,-0.077047-0.042902i,-0.055938-0.020828i,-0.021631-0.011689i,-0.0078301-0.010666i,-0.0012143+0.0054937i,0.0066804+0.017135i,0.011095+0.014262i,0.014242+0.00068659i,0.010228-0.0058776i,0.0087405+0.0030452i,0.01179+0.0096117i,0.0088498+0.0080634i,0.0019066+0.0042383i,-0.0035358+0.0014783i,-0.0049374+0.00089191i,-0.0018171+0.00078i
0.021876+0.050233i,0.020324+0.13236i,0.015899+0.22297i,0.080007+0.22323i,0.17334+0.11164i,0.16957-0.0036551i,0.1081-0.039747i,0.078141-0.059833i,0.041905-0.087518i,-0.0018762-0.065106i,-0.0084157-0.027146i,-0.00331-0.023671i,-0.0089787-0.028144i,-0.014212-0.016509i,-0.011893+0.0029943i,-0.0039263+0.011129i,-0.0022905+0.0045143i,-0.0061452-0.0036226i,-0.0070562-0.0075022i,-0.0036852-0.0069494i,-3.1469e-05-0.0035257i,0.0013024+0.00033272i,-3.8617e-05+0.0026007i
-0.019891-0.054202i,-0.020892-0.13892i,-0.02971-0.20043i,-0.094891-0.12726i,-0.15925+0.048141i,-0.13263+0.13281i,-0.096593+0.089517i,-0.097711+0.063769i,-0.070843+0.071465i,-0.026858+0.049927i,-0.0087811+0.025276i,-0.0046803+0.021349i,-0.0033704+0.023906i,-0.001839+0.018406i,-0.00020712+0.0028626i,-0.00064034-0.0054603i,0.003244-0.0062999i,0.0052122-0.006311i,0.00035776-0.0012443i,-0.0033004+0.0055629i,-0.0015602+0.0073507i,0.0012746+0.0033639i,0.0018262-0.0013705i
0.033975+0.05809i,0.042491+0.14049i,0.049621+0.19987i,0.090499+0.11738i,0.11413-0.065895i,0.068176-0.13896i,0.031404-0.072979i,0.020477-0.022586i,-0.0045215-0.0065965i,-0.011977+0.013861i,0.0010975+0.011493i,0.0040482-0.0034317i,0.0064014-0.0096191i,0.0064686-0.0077532i,0.0026298+0.00049929i,0.003606+0.0026351i,0.0019309-0.00044009i,-0.00082666+0.00043928i,0.0024027-0.00064197i,0.005037-0.0061975i,0.0030074-0.0084652i,0.0011513-0.0067122i,0.00044316-0.0041565i
-0.023742-0.065451i,-0.022152-0.16087i,0.0016786-0.22583i,0.027271-0.13992i,0.063277+0.040849i,0.099674+0.12341i,0.084282+0.085616i,0.056898+0.055662i,0.066863+0.038125i,0.055359+0.0027382i,0.017416-0.0053907i,0.002697+0.010599i,0.0044005+0.017643i,0.004381+0.0079481i,0.00058291-0.0071427i,-0.0061644-0.0089639i,-0.0076994-0.00012674i,-0.0030465+0.0054284i,0.0008963+0.0075329i,0.0032578+0.0090395i,0.0036702+0.0067597i,0.00091036+0.0047548i,0.00043464+0.0051467i
0.040592+0.067799i,0.042668+0.16063i,0.005491+0.20156i,-0.064389+0.098431i,-0.12994-0.050082i,-0.13671-0.08817i,-0.058946-0.049709i,0.0032318-0.040825i,-0.01101-0.038196i,-0.025538-0.018082i,-0.016015-0.015673i,-0.010501-0.025365i,-0.0087004-0.027949i,-0.007021-0.015204i,-0.0018985+0.001527i,0.0025141+0.0040963i,-0.0012795+0.00081246i,-0.0054585+0.00073138i,-0.0060646-0.0019995i,-0.007181-0.0066896i,-0.0080321-0.0074341i,-0.0066351-0.0075514i,-0.0053305-0.0079216i
-0.024823-0.084706i,-0.039233-0.191i,-0.026739-0.26352i,0.015134-0.20794i,0.082618-0.096605i,0.11635-0.04907i,0.060475-0.055852i,-0.0006931-0.061638i,-0.012073-0.061494i,-0.012051-0.043065i,-0.0072959-0.0053194i,-0.00066909+0.0141i,-0.0082231+0.014935i,-0.015856+0.012605i,-0.015329+0.0083317i,-0.0085981+0.0074253i,0.0012492+0.0029476i,0.0037415-0.0040869i,-0.0010389-0.0041158i,-0.0030369+0.001259i,-0.0024803+0.0063942i,-0.0013973+0.0094346i,0.0031602+0.01125i
0.041796+0.084323i,0.056069+0.20361i,0.023954+0.31588i,-0.040394+0.33361i,-0.096448+0.27198i,-0.08858+0.18536i,-0.033876+0.099404i,-0.012322+0.061544i,-0.0042723+0.070624i,0.014669+0.060212i,0.013836+0.023667i,0.0064169+0.0022242i,0.014819-0.0038509i,0.021214-0.0060317i,0.017608-0.0036386i,0.010147-0.0016207i,0.0063369+0.00054591i,0.0094574+0.0041911i,0.011538+0.0031867i,0.0065911-0.00038204i,0.00063218-0.0016008i,-0.002834-0.003041i,-0.0088638-0.0040191i
-0.030575-0.094097i,-0.036312-0.21395i,-0.010505-0.31164i,0.03224-0.29551i,0.056662-0.21823i,0.025896-0.14784i,-0.032266-0.063768i,-0.051553+0.001855i,-0.047577+0.014185i,-0.04217+0.013482i,-0.023573+0.01931i,-0.010097+0.024446i,-0.01086+0.03244i,-0.010179+0.028818i,-0.0060493+0.0099529i,-0.0046415-0.0030483i,-0.0071736-0.0042933i,-0.011779-0.001758i,-0.011389+0.0031747i,-0.0010165+0.0067022i,0.0092096+0.0046422i,0.014603+0.0026549i,0.020387+0.0011061i
0.038188+0.093696i,0.068811+0.2197i,0.10454+0.30841i,0.15555+0.26686i,0.19099+0.16467i,0.16479+0.092202i,0.12173+0.04309i,0.10313+0.0028682i,0.08749-0.026323i,0.049461-0.043544i,0.0068989-0.039954i,-0.0028363-0.032419i,0.0069193-0.040005i,0.0079035-0.040297i,0.0035645-0.023664i,0.0010903-0.0098508i,0.0008013-0.0038115i,0.0054812-0.00051199i,0.0075212-0.0024962i,0.0015756-0.0070274i,-0.0047609-0.0071231i,-0.010637-0.0048561i,-0.017136-0.00014351i
-0.035116-0.098879i,-0.067495-0.24685i,-0.11421-0.3725i,-0.19184-0.36303i,-0.25477-0.23089i,-0.21234-0.082509i,-0.11031-0.0075084i,-0.049887+0.0013274i,-0.032436+0.0091025i,-0.0058489+0.027662i,0.022643+0.027787i,0.020871+0.019167i,0.001929+0.022636i,-0.010358+0.02808i,-0.014709+0.025046i,-0.014993+0.019047i,-0.012857+0.012936i,-0.014425+0.0069784i,-0.016266+0.0033761i,-0.012631+0.0019718i,-0.0072268-0.0002748i,-0.00085041-0.0050137i,0.0051973-0.012423i
0.039399+0.09954i,0.065+0.23051i,0.068984+0.31997i,0.071998+0.253i,0.097204+0.090123i,0.11026-0.023474i,0.087852-0.056667i,0.048312-0.059111i,0.012866-0.051312i,-0.011857-0.032436i,-0.016745-0.01467i,-0.0059222-0.013169i,0.0017212-0.021472i,0.0019539-0.023148i,0.0046009-0.015471i,0.010221-0.0084587i,0.015831-0.0083328i,0.020885-0.010772i,0.01985-0.010341i,0.011012-0.0060542i,0.0009776+0.0011567i,-0.0061996+0.010664i,-0.0091316+0.020424i
-0.033571-0.09626i,-0.062545-0.2197i,-0.10216-0.25572i,-0.13444-0.068753i,-0.11236+0.18022i,-0.044368+0.23766i,-0.017415+0.14143i,-0.041388+0.074969i,-0.035308+0.066845i,-0.00034188+0.041337i,0.0060125+0.0073803i,-0.0081737+0.0092519i,-0.0072574+0.033221i,0.0091574+0.040726i,0.019417+0.026947i,0.015201+0.013127i,0.0041672+0.0094729i,-0.0057156+0.010529i,-0.0072617+0.011069i,0.002205+0.0084816i,0.010868+0.0005584i,0.010787-0.0088156i,0.0064572-0.015798i
0.043385+0.098055i,0.093457+0.23002i,0.16649+0.30337i,0.22667+0.17203i,0.1964-0.060193i,0.082451-0.16187i,0.010388-0.10635i,0.014074-0.042583i,0.0081178-0.036053i,-0.027632-0.031424i,-0.039545-0.010277i,-0.021579-0.0086357i,-0.0082405-0.025357i,-0.012138-0.030506i,-0.018159-0.02508i,-0.018079-0.022663i,-0.016386-0.018046i,-0.010996-0.0075787i,-0.0045197-0.0017947i,-0.0032993-0.0026548i,-0.0025121-0.00043783i,0.0029908+0.005987i,0.0097635+0.011028i
-0.027089-0.096584i,-0.053884-0.23458i,-0.055114-0.34071i,0.012268-0.28977i,0.12306-0.13653i,0.16222-0.038764i,0.092747-0.011015i,0.034288+0.012171i,0.036818+0.022041i,0.043459+0.013752i,0.033255+0.01294i,0.022246+0.018225i,0.016545+0.012767i,0.012282-0.0010055i,0.0062456-0.0053266i,0.0036417+0.0018808i,0.0044307+0.0064725i,0.001711+0.0024096i,-0.0040501-0.0037445i,-0.0077223-0.0062595i,-0.010403-0.0067742i,-0.013015-0.0061999i,-0.015837-0.0044031i
0.037819+0.083408i,0.06887+0.18891i,0.046486+0.23385i,-0.087761+0.12071i,-0.25779-0.020693i,-0.27744-0.016168i,-0.12552+0.028516i,-0.012642+0.00066483i,-0.012736-0.0063318i,-0.019365+0.029505i,0.0013704+0.035894i,0.013498+0.013234i,0.0090632-0.00070596i,0.00021999+0.0032391i,-0.0058734+0.009968i,-0.0081116+0.011839i,-0.0017004+0.010543i,0.010196+0.0097333i,0.015567+0.0098883i,0.010203+0.0098544i,0.0029985+0.01091i,0.0027859+0.0075743i,0.0046814-0.0011444i
-0.029027-0.081983i,-0.081412-0.18303i,-0.14825-0.24954i,-0.16321-0.16758i,-0.088778-0.02985i,0.0041632-0.0015806i,0.0074222-0.029969i,-0.036853-0.023483i,-0.039361-0.014961i,-0.018208-0.028647i,-0.00934-0.034837i,-0.017292-0.02032i,-0.026192+0.0049361i,-0.015954+0.018566i,0.0018778+0.013712i,0.010664+0.0015887i,0.0070093-0.011469i,-0.0062993-0.0223i,-0.01599-0.022001i,-0.009498-0.013622i,0.0037664-0.0092096i,0.0068859-0.0059148i,0.0046213+0.00093782i
