0.00069136-0.0013317i,-0.0004588-0.0022068i,-0.0013136-0.0026924i,-0.0014383-0.0019795i,-0.0016821-0.00098989i,-0.0019362+3.3697e-05i,-0.0016404+0.0005515i,-0.0011256+0.00082532i,4.4639e-05+0.00023891i,0.00053352-0.00036204i,0.0010362-0.0001336i,0.0013863+3.1808e-05i,0.0013956+0.00023204i,0.0010308+0.00051787i,6.8135e-05+0.00031474i,-0.00064691+0.00031251i,-0.0010305-0.0003383i,-0.0005218-0.00060191i,0.00060687-0.00015873i,0.0004502-0.00032577i,0.00013246-0.00041261i,0.00013906+0.00031216i,-0.00021176+0.00095575i
-0.00014434-0.00015251i,0.00021486-0.00015804i,-0.00031068+0.00036586i,-9.6873e-05+2.7942e-05i,0.0011964-0.00064114i,0.0013567-0.0013578i,0.00030435-0.0014916i,5.5587e-05-0.00059275i,-0.00078203+7.9732e-05i,-0.00096272+0.00069959i,-0.00035559+0.00066517i,0.00016112+0.00096278i,0.00098138+0.0010698i,0.00052964+0.00097301i,-0.00020589+0.00078409i,0.00022614+0.00010207i,0.00055047+0.00040712i,0.00037965+0.00091867i,0.00026999+0.00056774i,-0.00019918-0.00017202i,-0.00085262-0.00082653i,-0.00094182+9.4995e-05i,-0.00030831+0.00072265i
0.0011404-0.0018486i,0.00044077-0.0026023i,-0.00041618-0.0024181i,-0.00032241-0.00092536i,0.00017966-0.00020633i,0.00017-0.00090384i,0.00040312-0.0012849i,0.00053125-0.00073529i,0.00048309-9.0362e-05i,0.00014258+0.00087591i,8.8181e-05+0.00094299i,0.0005873+0.00064714i,0.00083094+0.00084434i,0.00064652+0.0010143i,-9.1915e-05+0.00057124i,-0.00069005-0.00010715i,-0.00050605+0.000492i,0.00015431+0.00074053i,0.00049086+4.4991e-05i,-0.00025845+0.0001148i,-0.0010249+0.00052064i,-0.00082829+1.5072e-07i,-0.00038884-5.8361e-05i
-0.0012198+0.0020446i,-0.0007219+0.00039459i,-0.00077942-0.00051594i,-0.00043419-0.00069237i,0.0010189-0.0010633i,0.0016693-0.0014311i,0.00088712-0.0013313i,0.00037036-0.00055391i,0.00099207+0.0002906i,0.0014536+0.0010192i,0.00089103+0.00070332i,0.0007531-0.00053819i,0.00029896-0.0010306i,-0.00076244-0.00030806i,-0.00025901+0.00013436i,9.6819e-05+0.00032573i,-0.00065195+0.00022228i,-0.00049538+0.0001335i,7.1236e-05+0.00012326i,0.0001216-2.3549e-05i,0.00021311-0.00032597i,0.00082817-0.00048929i,0.00037228-0.00045095i
-0.0015881-0.00013112i,-0.0020454-0.00038736i,-0.0012036-0.00065251i,-8.5075e-06-0.00059479i,0.0018116-0.00094033i,0.0027556-0.0014889i,0.0013155-0.001124i,-0.00031344-0.00047986i,-0.00056724+2.5164e-05i,9.6014e-05+0.00018774i,0.00046287+0.00056758i,0.00071301+0.00096173i,0.0015406+0.00064148i,0.0010473+0.00056233i,0.00026869-0.00025573i,0.00021191-0.00026817i,0.00061008+0.00082599i,0.00077654+0.00066281i,0.00025239-0.00020235i,-0.00014717-0.00025084i,-0.00045102+0.00016376i,-0.00041836-0.00021147i,-4.558e-05-0.00042126i
0.0027533+0.00018077i,0.0016201+0.00020161i,0.00061352-0.00026013i,0.00017807-0.0014583i,0.00046752-0.0015848i,0.00075748-0.0015212i,0.00081928-0.0018411i,0.0010058-0.0012775i,0.00075865-0.00053862i,0.00043265-0.00066009i,0.00026117-0.00026798i,0.00054084-0.0002181i,0.00074541-0.00041108i,-0.00013726-0.00012078i,-0.00095191-0.00031469i,-0.00057998+6.197e-05i,0.00029268+0.00051185i,0.00048787+0.00062701i,0.00023235+0.00048673i,0.00020838+0.00063993i,0.00035972+0.00012044i,0.00017248-0.00046415i,2.0269e-05-0.00048638i
0.00060125+0.00091438i,-0.00045213-0.00080487i,0.0001775-0.0011038i,-5.2649e-05-0.00082233i,0.0005572-0.0011338i,0.0011086-0.0026233i,0.00027698-0.002077i,-0.00048999+0.00014972i,0.00015416+0.0012222i,0.00064394+0.00055399i,2.2853e-05-9.4537e-05i,-0.00042492-0.00015196i,-0.0004206-0.0011609i,-0.00038182-0.0010701i,-0.00066556-0.00042093i,-0.00070368-0.00043402i,-0.00010434+0.00025587i,0.00052041+0.00041849i,-0.00037001-0.00057184i,-0.0008107-0.00063649i,0.00018219-0.00071779i,0.00074569-0.00057908i,0.00046431-0.00012786i
-0.00050102+0.00039386i,-0.0011669-0.00021635i,-0.00082313+0.00092772i,-6.1837e-05+0.0012649i,-0.00021228-0.00087242i,-0.00057001-0.0024515i,-0.0004027-0.0013601i,-0.00036059-8.1725e-05i,-0.00029154+0.00030746i,0.00029037+0.00075144i,0.00061786+0.00037526i,0.00044861+5.0615e-05i,0.00030026+5.8517e-05i,-0.00014135-0.0007631i,-0.00035474-0.00048899i,0.00033664+0.00019382i,0.00041951-0.00017302i,7.7144e-05+4.7764e-05i,0.00052369+6.413e-05i,0.00063048+3.5789e-06i,0.00044017+0.00016367i,0.00062776+0.00016076i,0.00039164-0.00011796i
0.0001637-0.00016298i,0.00047764-0.00027389i,4.089e-05-0.00088532i,0.00059003-0.001108i,0.0020853-0.001066i,0.0024484-0.0021246i,0.00099717-0.0023127i,9.321e-05-0.0010767i,0.00067198+0.0001639i,0.00057516+0.00019515i,0.0011498-0.00058781i,0.0013567-0.0003827i,0.0007945+0.00016041i,0.00038855-0.00025092i,0.00035708-0.00027609i,0.00045918+0.00016896i,0.00038934+0.00036673i,-0.00027267+0.00026123i,-0.00014226+0.00056309i,-8.3351e-05+0.00073759i,-0.00048493+0.00047668i,-0.00015543+0.00028123i,0.00048154+0.00031841i
-0.00085435+2.6885e-05i,-0.0012221-0.00033662i,-0.001403-0.0006128i,-8.6142e-05-0.00045675i,0.0013676-0.00033186i,0.001602-0.0002759i,0.00093897-0.00044838i,0.00064175-0.00082382i,8.3262e-05-0.00070234i,-0.00029827-0.00043019i,-4.4563e-05-0.00013305i,0.00028728+0.00023157i,0.00039365+7.8834e-05i,-0.00027965+1.2446e-05i,-0.0003901-0.00040068i,0.00044704-0.00092973i,4.9452e-05-0.00031587i,-0.00050309+0.0005848i,0.00042936+0.0010877i,0.00085812+0.0010082i,0.00019535+0.00026552i,-5.095e-05-0.00018501i,0.00034492+0.00022303i
3.7064e-06-0.00016708i,-0.00023759-0.00028516i,-0.00067796-0.0010757i,-0.00014077-0.0011811i,-0.00021722-0.00083519i,-0.0001047-0.0014435i,7.8335e-05-0.0015165i,-0.00035369-0.001469i,-5.6478e-05-0.0011171i,5.7356e-05-0.00070903i,-0.00059285-0.00029673i,-0.00013019+0.00055838i,0.00024766+0.0001938i,0.00010567-0.00022622i,-0.00020477-0.00031067i,-0.00022639-0.00066887i,0.00055065-0.00060745i,0.0009921+0.00031602i,0.0011062+0.00088516i,0.00084122+0.00033374i,3.9006e-05+0.00019355i,-0.00035039+0.00049028i,-4.1e-05-0.00016038i
