-0.0040511+0.00050719i,-0.0052067+0.00066533i,-0.0042025+0.0037523i,-0.0017366+0.0045486i,-2.339e-06+0.003823i,0.0003372+0.0025569i,-0.00056355+0.0019788i,-0.00025875+0.0021985i,0.00088723+0.0019479i,0.0016317+0.0021994i,0.0017534+0.0019464i,0.0010388+0.0003567i,0.0007506-0.00085663i,0.00048055-0.00066988i,0.00013708+2.351e-05i,5.6501e-05+0.00065145i,0.00022555+0.00082936i,0.00021809+0.00089924i,-9.3879e-06+0.0011391i,0.00018829+0.0012356i,0.00038706+0.00020809i,9.3241e-05-0.00084701i,2.9294e-05-0.0012388i
-7.8146e-05+7.5984e-06i,-0.00012795+0.00084747i,-0.0015262+0.0014505i,-0.0013295+0.0011634i,-6.4613e-05+0.0013956i,0.00090779+0.0011439i,0.0008605-0.00035387i,-7.1188e-05-0.00056801i,-0.00028321-0.00034746i,2.4279e-05-0.00032899i,0.0002896-4.6898e-05i,0.00049571+0.00028791i,-0.00053666+0.00045433i,-0.0013995+0.00030749i,-0.00059062+7.064e-05i,-2.9917e-05+4.7312e-05i,-0.0002033-0.00077896i,0.00020421-0.0011412i,7.9065e-05-0.00039598i,-0.00051988+0.00054649i,-0.0001501+0.00066516i,0.00014171+0.00050029i,-4.0456e-05+0.00037849i
0.00062792-0.0025539i,3.3001e-06-0.0024325i,-0.00072521-0.0023014i,-0.00084023-0.00073027i,-0.00098516+9.8156e-05i,-0.0004428-0.00027089i,-0.0011379-0.00046798i,-0.0021478-0.00060207i,-0.0021243-0.00012332i,-0.0022216+0.00052434i,-0.0016571+0.0010465i,-0.00081444+0.0011421i,-0.00068033+0.0011338i,-0.00011058+0.00097702i,0.0002817+0.00099406i,0.0001117+0.00019901i,-0.00028115-7.1919e-05i,-0.0008402+0.00030027i,-0.00078233-0.0003173i,-0.00049052-0.00045508i,4.4802e-05+0.00011968i,0.00037257+0.00031531i,0.00049684+9.0909e-05i
-0.0014251-0.001221i,-0.0011022-0.0010615i,-0.0017942-0.00048494i,-0.0015156+0.00084732i,-0.00010012+0.001175i,0.00034785+0.00026784i,-0.00062506+2.7096e-05i,-0.0010734+0.0012695i,-0.00054552+0.0021619i,-9.5704e-07+0.0015596i,0.00010941+0.00078334i,0.00082219+0.00026177i,0.001316-9.612e-05i,0.001115+0.00032338i,0.0011118+0.0006082i,0.00064334+0.00043829i,-0.00022439+0.00015342i,-0.00012615+7.0534e-05i,0.00060279+0.00056176i,0.00083292+0.00091189i,6.3573e-05+0.00093521i,1.3539e-05+0.00054561i,0.00036607+6.7775e-05i
0.0015997+0.001407i,0.0029066+0.0016028i,0.0028059+0.00098369i,0.0023231+0.0004574i,0.0013691-0.00013006i,-0.00020285-0.0011616i,-0.00073584-0.0013971i,-0.00030159-0.00043932i,0.00020633+2.2625e-05i,0.00097361-3.9651e-06i,0.00055545+0.00021517i,0.00035377-0.00020541i,0.00018176-0.00017019i,-0.00026411+0.00021064i,-0.00061131-0.00020125i,-0.00053733-0.00063994i,-0.00017939+7.0856e-05i,0.00020108+0.0003774i,0.00077724-0.00032005i,0.00036732-0.0005288i,-0.00068343-0.00067596i,-0.00071632-0.00031486i,0.00013426+0.00014211i
-0.0016023-0.00078481i,-0.0012511-0.00099601i,-0.0011783-0.00017734i,-0.0017656+0.0013607i,-0.0017798+0.0018272i,-0.00063222+0.0010363i,-0.00018455-0.00017351i,-0.00039636-0.00063809i,-0.00045289+3.374e-07i,4.8682e-05+0.00052389i,-0.000179+0.0004803i,-0.0013371+0.00092566i,-0.00090603+0.00082283i,5.5398e-05-6.4963e-05i,0.00010613-0.0008471i,-0.00016078-0.00050824i,-0.0003877+0.00015284i,-0.0003794+2.399e-05i,-0.00099943-7.2692e-05i,-0.0010161-0.00028942i,-0.00038772+8.47e-05i,-0.00042478+0.00046253i,8.2746e-06-0.00011997i
0.0020958+0.00046732i,0.0026677+0.00030034i,0.002584-7.3565e-05i,0.0018588-0.00053124i,0.0010563-0.00016714i,-0.0003883-0.00018541i,-0.00068351-0.00039863i,-0.00011996+0.00027538i,-0.0002232+0.00054779i,-0.00069612-0.00070863i,-0.00099933-0.0014044i,-0.0007869-0.00066922i,-0.00069936+0.00038884i,-0.0012304+0.00087972i,-0.0011383+0.00096198i,-0.00051261+0.00050637i,5.6412e-05-1.8491e-05i,0.00012269+0.00016282i,-0.00035181+6.0817e-05i,-0.00013846-1.8461e-05i,0.00043809+0.00054464i,-3.5475e-05+0.000727i,0.0002597+0.00045088i
-0.0016618+0.0015951i,-0.00038256+0.0014278i,0.00020042+0.0014486i,0.00082514+0.0005188i,0.00084827-0.00048184i,0.00061837-0.00081414i,-2.6352e-05+0.00047166i,7.2629e-05+0.0012403i,3.2331e-06+0.00078039i,-0.00025833+0.0010507i,-0.00020949+0.0016438i,-0.00021073+0.0013836i,0.000532+0.00078509i,0.0006482+0.00022344i,0.00030263+0.00014882i,-0.0001425+0.0010382i,-0.00054479+0.0011799i,-0.00042761+0.00015626i,-6.022e-05-0.00072338i,0.00024616-0.00040809i,0.00010325+0.00027951i,-0.00048602+0.00057147i,-0.00052333+0.00017181i
-0.00018535-0.00052081i,9.3926e-05+0.00032237i,-0.00023845+0.00048281i,0.00037588+0.00089624i,0.00016268+0.001322i,-0.00092041+0.00052005i,-0.0015197-0.0005733i,-0.0013657-0.00090555i,-0.00042359+0.00042304i,0.00039875+0.0009293i,0.00088919+0.0012327i,0.0008783+0.0018222i,0.00043823+0.0015346i,-0.00015643+0.00076343i,0.00037608-0.00011351i,0.0010291+0.0002299i,0.00083407+0.0010559i,0.00031612+0.00022596i,0.00072932-0.00011133i,0.00081985+0.00041516i,-0.00019961+0.00042661i,-7.1834e-05+0.00017183i,0.00012554-0.00027633i
-0.0014054+0.002794i,-0.00068537+0.0021838i,-0.00042654+0.002096i,0.00023983+0.00085316i,0.00063438-0.0011284i,-0.00016835-0.002276i,-0.00056353-0.0016079i,0.00012635+6.5947e-05i,0.00067159+0.00075563i,0.00095022+0.0012609i,0.00097711+0.00093036i,0.00061245+1.4189e-05i,0.0006861+0.00031049i,0.00095854+0.00066467i,0.00014619-0.00035652i,-0.00062793-0.00079872i,-0.00057822-0.00030482i,0.00028011-0.00018958i,0.00073189-0.00024849i,0.00073386-0.0002094i,0.00072619+0.00061493i,-5.5965e-05+0.00051002i,-0.00056216-0.00070912i
-0.00083981+0.00095706i,-0.00048341+0.0011309i,-6.177e-05+0.0018923i,2.6607e-05+0.0023065i,0.00059687+0.0014316i,0.0012558+9.8906e-05i,0.00072593-0.00098167i,4.6159e-05-0.00037288i,-4.8853e-05+0.00026372i,0.00010565-0.00025104i,-7.8717e-05-0.0001146i,-0.00029086-9.4378e-05i,3.4589e-05-0.00082388i,7.4376e-05-0.0013077i,-0.00033036-0.0010375i,-0.00038418+1.4469e-05i,6.915e-05+0.00087289i,0.00039817+0.0004212i,-8.3638e-05-0.00063364i,0.00027538-0.00075275i,0.00088863+0.00012815i,0.00092249+2.0179e-05i,0.00079011+5.8481e-06i
-0.001286-0.0020456i,-3.4555e-05-0.0022422i,-0.0013213-0.0024835i,-0.001848-0.0011698i,-0.001196+0.0011129i,-0.00014384+0.0013925i,-8.1578e-05+0.0004461i,-0.00071085-2.207e-05i,-0.0010772+6.1031e-05i,-0.0013835+1.3213e-05i,-0.0012519+5.6657e-05i,-0.0013013+0.00024532i,-0.0010531+0.00042525i,-0.00018809+0.00027774i,0.00020821-9.08e-05i,-4.0064e-06+0.00023569i,-0.00035061+0.00024801i,-0.00098496+0.00040883i,-0.001352+0.00072701i,-0.00017619+0.00073365i,0.00016674-8.1463e-05i,-0.00073398-0.00058609i,-0.00086314-0.00010037i
-0.00035083+0.0004593i,-0.00047574+0.00019596i,-0.0010174+0.001412i,-0.00057114+0.0018399i,0.0002638+0.00024636i,0.00048621-0.0013611i,0.00014775-0.0017526i,-0.00039807-0.0010925i,-0.0012966-0.00055597i,-0.0012712+2.7665e-05i,-0.00097695+0.0018808i,-0.00047612+0.0028561i,0.00032635+0.0014261i,0.00082695-3.8598e-06i,0.0004679-0.00020793i,0.00018462-0.00038631i,6.9184e-06-0.00046776i,0.00027643-0.00059388i,8.1281e-05-0.00025979i,-0.00032157+0.00057548i,-0.0001373+0.00024234i,0.00085271-0.00017454i,0.0013289+0.00072519i
-0.0007194+0.002013i,-0.00058672+0.0022105i,0.00034797+0.0014008i,0.0003606-0.00031917i,0.00058662-0.0011188i,0.00072435-0.00072185i,-1.8008e-05-5.8355e-05i,-0.00028794+0.00012794i,2.1071e-06+0.00049934i,0.00053578-0.00034312i,0.00058322-0.00075444i,0.00039751+0.00021431i,0.00031025+0.00063626i,-0.00035005+0.00011496i,-0.00079752-0.00045455i,-0.00081663-0.00031876i,-0.00073663-0.00033333i,-5.5613e-05-0.00064976i,0.00015306-5.1301e-05i,0.00030297+0.00029842i,-4.4385e-05+0.00019764i,0.00044929+0.00052997i,0.00086943+0.00025254i
