0.00064594+0.00061753i,-0.00013755-0.00052429i,-0.00031142-0.0013559i,-0.0014161-0.0013328i,-0.0025774-0.00030076i,-0.00241+0.00068085i,-0.00092699+0.001164i,0.00066647+0.0013565i,0.0014331+0.0017728i,0.00068332+0.0016945i,0.00015231+0.0010608i,0.000171+0.00016295i,0.00038501-0.00054345i,0.00055026-0.00073811i,0.00085373-0.0010102i,0.00058191-0.0009343i,0.00056437+0.00015775i,0.00057051+0.00023954i,3.4308e-05-0.00014385i,0.00015405+0.00039781i,0.00050945+0.00042584i,0.00064708-0.0004683i,0.0011538-0.00033643i
0.0005111+0.00074448i,-0.00032458+0.00013766i,-0.00067065-0.00017831i,-0.00080884+0.00027091i,-0.00088849+7.2659e-05i,-0.00038493-0.00087931i,0.00052611-0.00097308i,0.00070182+0.00032322i,0.0014387+0.0011469i,0.0015699+0.00072767i,-8.5388e-05+0.00035806i,-0.0008847+0.000598i,-7.116e-05+0.00039441i,0.00040907-5.5906e-05i,0.00068936+9.5793e-05i,0.0010581+0.00034803i,0.00083599+0.00030147i,-5.9947e-05-0.00018215i,-0.00021157-0.00059802i,0.00044937-0.00052842i,0.00045797-0.00065081i,0.00024122-0.00064474i,0.00054572-0.00047479i
-0.0008929+0.00066523i,-0.00054387+0.00039882i,0.00036152+0.000299i,0.00030067-0.00069474i,-0.00061019-0.0022597i,-0.00086125-0.0018956i,-0.0011497-0.00013927i,-0.0008868+0.00066053i,0.00014951+0.00051332i,0.00040032+0.00075946i,0.00027688+0.00098511i,-5.3718e-05+0.00026649i,0.00014128-0.00032345i,0.00065261+0.0003283i,0.00032877+0.00061245i,0.00040401+0.00033286i,0.00035734+5.8433e-05i,-0.0002434+0.00044391i,-0.00073951+0.0010384i,-0.00078485+0.00065924i,-0.00046082-6.8493e-05i,0.00020549+9.8665e-05i,0.0002616+0.00017931i
-0.00073678+0.0016981i,-0.00050348+0.0009778i,0.00015389+0.0017101i,0.00055897+0.0013105i,0.00029263+0.00020203i,0.00018744-0.00059813i,0.00069322-0.00059932i,0.0010929-0.00036788i,0.0011456+7.9848e-06i,0.0010452+4.5672e-05i,0.00021097-0.00080359i,-0.00032185-0.0007713i,0.00025499+9.5846e-05i,0.00088248+0.00019607i,0.00016783-0.00042116i,-0.0007546-0.00069796i,-0.00069324-0.00030183i,-0.00091543-0.00011145i,-0.00040919+9.3838e-07i,6.5166e-05+0.00021205i,-2.3811e-05+0.00016605i,0.00014926-6.3071e-05i,0.00017871-0.00010586i
-0.00039353-0.00044521i,-0.0010208+0.00028154i,-0.001731-0.00034091i,-0.0010415-0.00031752i,-0.00048492-4.653e-05i,0.00016507-0.0002021i,0.0001846+0.00015902i,-0.00043757+0.00057402i,3.1016e-05+0.00078154i,0.00075706+0.00095137i,0.00048533+0.0010913i,-0.00022846+0.00047483i,-0.00080706+2.3633e-05i,-0.00067201+0.00068977i,0.00040941+0.00098206i,0.00064378+0.00076005i,0.00047292-0.00058816i,0.00083938-0.0016826i,0.00063217-0.0010066i,0.00026752-0.00058486i,0.00016009-0.00059627i,0.00012245-0.00039757i,0.00078029-0.00023745i
0.001059+0.0010634i,0.0016042+0.0011872i,0.0014353-0.00024954i,0.001125-0.0012779i,0.00025846-0.0010658i,-0.00056532-0.00060787i,-0.00062415+3.7394e-05i,-0.00019348+0.00045231i,0.000614+0.00027128i,0.00084392+0.00040078i,0.00042687+0.00056259i,-0.0003597+0.00055129i,-0.00012472+0.00039118i,0.00073877+0.0006234i,0.00069852+0.00074036i,0.00045321+0.00023459i,0.00049891+0.00040393i,-5.8827e-05-2.214e-05i,-0.00086988-0.00075653i,-0.00064837-0.00075725i,1.4278e-05-0.0009313i,0.00038311+2.8777e-05i,7.4269e-05+0.0010114i
0.0012815+0.00044281i,0.001287+0.00051013i,0.00094043-0.0001812i,0.001095-0.00074856i,0.0010685-0.0012896i,0.00029233-0.0012621i,0.00043881-0.00063764i,0.00064131-0.00051553i,0.00025477-0.00026183i,0.00042118+0.00012311i,0.00041979+0.00023396i,0.00047656+0.00035744i,0.00055886+0.00056908i,0.00063314+0.00032937i,0.00015315-0.00078531i,-0.00072259-0.00098049i,-0.0012142-0.0010553i,-0.0010532-0.0016123i,-0.00098378-0.0011283i,-0.0012207-0.00041153i,-0.00042334-0.00064344i,0.0003754-0.00047909i,-7.6906e-05+0.00035201i
-0.00057664+0.0016904i,0.00057448+0.0014833i,0.0014876+0.0019219i,0.0016717+0.00088773i,0.00036507-0.00015529i,-0.001123-0.00052619i,-0.00093724-0.00025186i,-0.00035634-0.00010784i,0.00052622-4.3263e-05i,0.00070376+0.00052201i,0.00041484+0.0005125i,0.00032423-0.00042323i,0.00013195-0.00069952i,0.00043532+0.00031034i,0.00070128+0.00031155i,0.00060825-0.00048768i,-1.7784e-05-0.00087829i,-0.00076392-0.00075157i,-0.00013707-0.00045461i,0.00026991-0.001085i,8.3673e-05-0.0015466i,0.00061613-0.00089004i,0.00048365-0.00016124i
0.0025642+0.0009238i,0.0010935+0.00027665i,0.00034452-0.00092538i,0.00058806-0.0016552i,-7.6163e-05-0.0015442i,-0.00068892-0.00043202i,-0.00071268+0.00027019i,-0.00026875+0.00029969i,0.00047287+0.00028087i,3.2059e-05-0.00050243i,-0.00055232-0.00079546i,1.5766e-05-0.00093592i,0.0010469-0.00067086i,0.0012016+0.00019256i,0.00020918+0.00082972i,-0.00095035+0.00072984i,-0.00070968+0.00010973i,0.00013769+0.00014419i,0.00060288+0.00063712i,0.00081668+0.00065802i,0.000282-1.4893e-05i,-0.0001427-0.00015071i,0.00071349+0.00036333i
-0.00081497+0.00043418i,-0.0011148+0.0006229i,-0.0011702+0.00082707i,0.00029085+0.00063063i,0.0013412+0.0003097i,0.00096257-0.00054918i,0.00062703-0.00059453i,8.6564e-05+0.00028375i,-0.00023406+7.9375e-06i,0.00027595+6.228e-05i,0.00051464+0.0010279i,0.00035222+0.00096497i,0.00039235+4.186e-05i,0.00093668-0.00040116i,0.00034929-0.00041984i,-4.7992e-05-0.00031653i,0.00015259-0.00024985i,0.00017976-0.00057609i,0.00055009-0.00098432i,0.00047549-0.00080061i,-0.00015528+0.00015659i,-0.00035212+0.00041201i,-0.00012905+0.00011072i
0.00070748+0.0019411i,0.0016204+0.002228i,0.0026027+0.0005175i,0.0024375-0.00077868i,0.0016005+5.2288e-06i,0.00095863+4.9944e-05i,0.0001965-0.00010516i,-0.00054022+0.00041546i,5.5132e-05+0.0011371i,-0.00020472+0.0017869i,-0.0011764+0.001162i,-0.00050834-8.6946e-05i,-0.00024943-0.00029148i,-0.00048212-0.0001906i,-0.00057851-0.00098104i,5.3732e-05-0.00068165i,0.00037383+3.9269e-05i,-4e-05+0.00017713i,-0.00081498-6.9583e-05i,-0.0010746-0.000224i,-0.00056835-0.00045479i,-0.00024699-0.0010096i,6.9977e-05-0.0010399i
-0.0019621-0.0014896i,-0.001976-0.0011816i,-0.0020928-0.00031667i,-0.0016625-0.00033349i,-0.00095488-0.0004795i,-0.0005439-0.00087986i,-0.00043549-0.00080336i,-4.1529e-05-0.00034159i,0.00059603+0.00023274i,0.00049857+0.0010307i,-0.00040363+0.0013175i,0.0002545+0.0011467i,0.00067631+0.00082105i,0.00022009+3.6319e-05i,-3.6553e-06-0.00058139i,0.00013673-0.00087372i,0.00033751-0.00097741i,0.00010527-0.00071246i,-0.00014071+0.00033849i,-0.00051436+0.00046542i,-0.00049905+0.00033994i,0.00010246+0.00036063i,-0.00018723-0.0004109i
0.00044246+0.0016741i,0.0003562+0.00041532i,0.00011501-0.00037975i,-0.00016549-0.00041902i,-0.0003138+0.00017241i,-0.00046518+0.00055843i,0.00014722+0.00058064i,-2.7532e-05+0.00040134i,-0.00061207+0.00061189i,-0.00020332+0.00058382i,0.00025806+0.00098197i,0.00024927+0.0010714i,0.00073002+0.00033894i,0.00096072+0.0003586i,-5.4841e-05+0.00026767i,-0.000767-0.00027606i,-0.00046653-0.00018354i,-0.00084797-0.00033739i,-0.0012105-0.00020458i,-0.00013261+0.00010327i,0.00052801+0.00017571i,0.00082075+0.00048372i,5.8842e-05+0.00094248i
0.00040097-0.00037911i,0.0003708+8.6175e-05i,-0.00070142-0.00063743i,-0.001622-0.00092937i,-0.00090233-0.00033472i,4.2716e-05+0.00039421i,0.00021296+0.00105i,0.00036834+0.0010985i,0.00043481+0.00097508i,-6.999e-05+0.00090392i,1.4015e-06+0.00026335i,0.00055433+0.0003362i,0.00067929+0.00023169i,0.00056352-0.00066389i,0.00060382-5.0789e-05i,9.8943e-05+0.00049858i,-0.0001029-0.00034446i,0.00037585-0.00040917i,0.00064042-0.000365i,1.0213e-05-0.00056522i,-0.00054805+1.2459e-05i,-0.00045396+0.00038794i,-0.0001577-6.6427e-05i
-0.00026074-0.0007379i,-0.00090156-0.00015538i,-0.0002974+0.00044217i,-0.0010528+0.00063533i,-0.0013986+0.00039308i,-0.00049483+0.00042033i,2.0621e-05+0.0005873i,0.00069259+0.00066918i,0.0010246+0.00030294i,0.00049091-0.00035548i,8.4177e-06-2.3901e-05i,-0.00012773+0.00088887i,-0.0001201+0.00061794i,0.00073716+0.00024432i,0.00072363+0.00035837i,0.00085878+0.00021819i,0.0010984+0.00020307i,0.00078825+0.00041093i,0.00032748+0.00083695i,0.00032254+0.00058716i,0.00039598-0.00017636i,8.2862e-06-0.00017532i,-0.00045076-0.00034216i
0.00084804-0.00041992i,0.00027594-0.00080963i,0.00036446-0.00055654i,0.00065612-0.0011799i,-6.7792e-05-0.0020829i,-0.00040826-0.0021722i,-0.00055764-0.00080392i,-0.00014235+0.00058161i,-4.6028e-05+0.00055085i,-0.00056035+0.00032346i,-0.00065714+0.0004423i,-0.0010342+0.00057261i,-0.00081302+0.00062209i,0.00043456+9.3057e-05i,0.00078721-0.00028773i,0.0006457-0.00047888i,0.00013422-0.00021534i,-0.0007227-0.00014919i,-0.00048623+0.00019489i,-0.00029429+0.00082729i,-0.00038967+0.00097281i,-0.00028566+0.00072043i,-0.00079648+0.00033641i
-0.00030368+0.0007359i,-0.00046036+0.00061487i,-0.00066109-0.00067288i,-0.0010818-0.0010705i,-0.0013123-0.00024868i,-0.00025594+0.0006727i,0.00061906+0.0004961i,0.00051383+0.00044519i,0.0011066+0.00013248i,0.0011663-0.00041487i,0.0008223-0.00063544i,0.0012495+0.00010113i,0.0014096+0.0009665i,0.0010784+0.00077871i,0.00068777-9.5573e-05i,0.00026612-0.00035716i,-0.00028572-0.00044882i,-0.00060022-0.00024079i,-0.0002737+0.00025827i,0.00026928+0.00047852i,0.00053529+0.00030062i,0.00043305+1.4669e-05i,-0.0004773-0.00050433i
-0.0016669+0.00096243i,-0.0014478+0.00052561i,-0.000521+0.0012742i,-0.0002527+0.00077037i,3.3318e-05-0.00038699i,-0.00021006-0.0003311i,-9.339e-05+0.00092464i,0.00060727+0.0018376i,0.00053989+0.0016877i,0.00045412+0.0011704i,0.00052175+0.0010295i,0.00014839+0.00089619i,0.00019486+0.00017885i,0.00067587-9.3224e-05i,0.00053204+0.00035137i,-0.00013241+0.00050311i,-0.00081783+0.00017059i,-0.00048418-0.00084418i,1.5854e-05-0.0010152i,0.0002119-0.00077371i,1.0819e-05-0.0006891i,-0.00031609-0.00037803i,0.00010046-0.00076912i
-0.00014289-0.00031723i,-0.00039326-0.00071855i,8.21e-05-0.0012939i,-4.8258e-05-0.0022619i,-0.00092105-0.0021513i,-0.00076306-0.0006477i,-0.00066865+0.0006721i,-0.00035068+0.0010036i,0.00018971+0.0009263i,-9.9898e-05+0.0011532i,-0.0003493+0.00057112i,0.0001307-0.00057237i,0.00081245-0.00024192i,0.00096253-0.00025802i,0.0003388-0.00021281i,0.00052846+0.00014598i,0.0011652+0.00068267i,0.0010411+0.00058785i,0.00092599-1.3352e-06i,0.00087304+0.00019314i,0.00060832+2.8002e-05i,0.00048106+0.0001143i,0.00028651+0.00061073i
-0.0011452+0.00053597i,-0.00031643+0.0001257i,-0.00031491+0.00049955i,3.2065e-05+0.00025393i,0.00027496-0.00044546i,0.00057521-0.00039657i,0.0002415+0.0003731i,-5.426e-05+0.00046735i,0.00056794+0.0005341i,0.0004007+0.0015307i,0.00025963+0.0016423i,0.00085218+0.00115i,0.0013909+0.0011007i,0.0017367+0.00092188i,0.0009195-0.00011536i,-0.00065075+3.5669e-06i,-0.00060166+0.00082731i,0.00018653+0.00096597i,-0.00036868+0.00067811i,-5.4761e-05+0.00046362i,0.00070031+0.00028463i,0.00074203+0.00044569i,0.00056769+0.0010374i
-0.0012549+0.00056594i,-0.00044694+7.5635e-05i,-0.00051596-0.00033901i,-0.00039723-0.00022253i,-0.00023144+0.00039872i,-0.00030779+0.00070039i,1.8861e-05+7.216e-05i,0.00032363-0.00015514i,0.00035324+7.2687e-05i,0.00064929-0.00024104i,0.00060773-0.00011101i,0.00010519-9.1436e-05i,6.568e-05-0.00033866i,0.00052255-0.00040198i,-0.00010657+9.6754e-05i,-0.00093357+0.00079783i,-0.00057546+0.00096455i,-0.00034076+0.00031975i,-0.00027776+3.4703e-05i,8.2204e-05-0.00025839i,0.00030751-0.00038019i,-3.586e-05+0.00016225i,0.00016581+6.1362e-05i
-0.0007499-0.00010072i,0.00034137-0.0006271i,1.7893e-05-0.0005584i,-0.0004591-0.00045891i,-0.001028-0.00030686i,-0.0004975-0.00046928i,0.00016796-0.00041569i,-0.00094784+0.00036198i,-0.0011335+0.00091537i,4.4492e-05+0.00096611i,0.00014162+0.00074668i,-0.00043093+0.000749i,-0.00046732+0.00045914i,0.00031861-0.00023026i,0.00020064-7.7468e-05i,9.6351e-05+0.00014476i,0.00086011-0.00064091i,0.00046877-0.00092028i,-0.00042234-0.00060092i,-0.00013163-6.1204e-05i,0.00027019+0.00064803i,0.00045264+0.00023955i,4.3122e-05-0.0006036i
-6.2279e-05+0.00077181i,0.00012355+0.0013946i,0.0012124+0.0027958i,0.0022177+0.0020603i,0.0017943-0.00011576i,0.0010609-0.00093937i,0.00025789+0.00014901i,-0.00055398+0.00032239i,-0.00062798+0.00019105i,-0.00041208+0.00039651i,-0.00023012-0.00030051i,-0.00056224-0.00065537i,-0.0002849-0.00047682i,0.00046431-0.00034777i,-6.4064e-05-0.00068312i,-0.00044131-0.0011057i,-8.7884e-05-0.00097875i,0.00048189-0.00026521i,9.8141e-05+0.00087897i,-0.00052891+0.0007588i,-0.00022639+3.4465e-05i,0.00056612-5.3632e-05i,0.00063743-0.00010437i
-0.0012225+0.0010974i,-0.0012032+0.002566i,-0.0016479+0.0034683i,-0.00028806+0.0016441i,0.0010416+0.0002923i,-0.00017641+0.00056032i,-0.00057798+0.00087038i,0.00054464+0.00085527i,0.00071365+0.0013299i,0.00053506+0.0018044i,0.0013021+0.00047626i,0.00081349-0.00044773i,-0.00038192-0.00010326i,-7.4588e-05-0.00011041i,0.00015124-0.00048514i,-0.00016067-0.00077075i,-0.00028487-0.00048886i,-0.00073809-0.00010108i,-0.00078677-0.00018727i,-0.00012195-0.00099245i,0.00057034-0.0015518i,0.00069014-0.00092793i,0.00013012+6.1132e-05i
-0.00033314-0.0011189i,-0.00093254+8.8186e-05i,-0.001349-0.00021367i,-0.0011804-0.00053628i,-0.0013876-0.00021688i,-0.0010838-6.9152e-05i,-0.00039913-0.00018561i,-0.00031619-8.7895e-06i,-4.2763e-05+8.3456e-05i,-0.00019528+0.00057808i,-0.00063019+0.00054893i,0.00011519-0.00013923i,0.00095451+8.4205e-05i,0.00099523+0.0010791i,0.00065881+0.00093678i,0.00036969+7.5061e-05i,0.00037871-0.00070171i,0.0006423-0.0004911i,0.00091238+0.00011646i,0.00079978+0.00036523i,0.00058779+0.00093342i,0.00059333+0.00063181i,0.0005807-2.1658e-05i
0.0010367-8.2253e-05i,0.00066621-0.00081056i,0.0011413-0.0014229i,0.00049167-0.0019696i,-9.3411e-05-0.0022976i,-0.00014573-0.0014304i,-0.00074866-0.00018349i,-1.8239e-05+0.00057842i,0.0010575+0.00031302i,0.00062804+0.00022137i,0.00026741+0.00052652i,-0.00027374+0.0002279i,-9.5567e-05+0.00030942i,0.0007258+0.0006205i,0.00081831+0.00076671i,0.00059569+0.00055709i,-0.00010261+7.5343e-05i,-0.0009714+0.00026625i,-0.0010659-0.0003516i,-0.00077978-0.000481i,-0.00014884+0.00046304i,0.0008096+0.00018051i,0.00099908-2.7552e-05i
-0.00083328-0.00043894i,-0.0014995-0.00086178i,-0.0025482-0.00062977i,-0.0021258+0.00017851i,-0.0020425+0.00024411i,-0.0017765+0.00012404i,-0.00092822+3.5625e-05i,-0.00034732+2.294e-05i,-0.00016035-0.00019812i,0.00041707-0.00019369i,0.0007382+0.00024387i,0.00045075+0.00061866i,0.0010053+0.00090896i,0.0012499+0.00096655i,0.00049676+0.00038578i,-1.0415e-05+0.00038745i,2.2263e-05+3.1377e-05i,0.00059434-0.00084547i,0.0014771-0.00067093i,0.0012706-0.00013952i,8.6682e-05+2.7393e-05i,-0.00044365-0.00010561i,-0.00049543-0.00057167i
0.00067176-0.0023412i,-0.00044294-0.0027218i,-0.00076682-0.001332i,-0.00055361+0.00019708i,-0.00057052+0.00044477i,-0.00059486+0.00082793i,-0.00058069+0.0014333i,-0.0012101+0.0014769i,-0.0011614+0.0014996i,-0.00086175+0.00093704i,-0.0010168+0.00048202i,-0.00086465+0.00053497i,-0.00051043+0.0011711i,0.00025295+0.0015295i,0.00097713+0.0011726i,0.00088102+0.00086171i,0.00042554+0.00016408i,0.00064754-0.00027886i,0.00013551-0.00050554i,-0.00075716-0.00052276i,-0.00075874-5.3943e-05i,-0.00013632+0.00033598i,-0.00010456+0.00033541i
0.0013804+9.5948e-05i,0.0015549-0.0011415i,0.00091942-0.0020538i,-0.00018058-0.0025169i,5.0368e-05-0.002433i,2.358e-05-0.001322i,-0.0001479-0.00087769i,0.0003978-0.00043679i,-2.3339e-05+0.00039375i,-0.0006627-0.00023379i,-0.00076434-0.00091049i,-0.001053-0.00023197i,-0.00068791+0.00089168i,0.00072294+0.0012734i,0.001068+0.0011054i,0.00016693+0.0010613i,0.0001128+0.00094653i,0.00056914+0.00098423i,0.00014339+0.00071457i,-0.00017413+0.00024075i,0.00029857-0.00018479i,0.00038336-0.0011275i,-0.00062159-0.0011735i
0.00077644-0.00042514i,6.2358e-05+0.00074321i,-0.00034161+0.0012141i,2.6509e-05+0.00081556i,-0.00019518+2.6131e-06i,-0.00099987-0.00030116i,-0.0012901+0.00042286i,-0.00068555+0.00091746i,-6.0881e-06+0.0016066i,0.00054538+0.0013139i,0.00081486+0.00077851i,0.00049621+0.00045086i,-0.00018778+0.00016911i,-2.7099e-05-0.0005254i,0.00098268-0.00090134i,0.00071763-0.00056864i,-1.307e-05-0.00054877i,3.5757e-05+0.00017586i,0.00027363-1.0147e-05i,0.00021486-0.00053211i,0.00014027-0.00050267i,0.00010384-0.00039406i,0.00014911-0.00058523i
0.0003817+0.00062567i,0.00076843+0.000377i,0.001645-0.00054967i,0.0012863-0.0017429i,1.5337e-05-0.0021686i,-0.0012643-0.0015465i,-0.0015454-0.00059063i,-0.00077302-0.00010037i,0.0002405+0.00011401i,0.00071638+0.00030557i,0.00080554+0.0002626i,0.00012658+0.0001223i,-0.00047831+0.00015507i,-3.1659e-05-0.0002295i,0.00032181+1.4336e-05i,0.00076871+0.00064711i,0.0011489+0.00015105i,0.00070275-0.00089661i,0.00049852-0.0010187i,0.00016988-0.0007171i,-0.00073218-0.00051695i,-0.00094415-0.00046857i,-0.00043765-0.00051105i
-0.00031991+2.0751e-05i,-0.00080047+0.00041746i,-0.00042748-0.0004313i,-0.00016204-0.0013719i,-0.00040587-0.0011759i,-0.00020284+0.00010054i,7.487e-05+0.00047349i,3.8396e-05+3.5456e-05i,0.00047423-0.0004002i,0.00045072+0.00039412i,-0.00068616+0.0007997i,-0.00076805+0.00012523i,-8.9048e-05-0.00036587i,-9.0014e-05-0.00031654i,0.00024958-2.8861e-05i,0.0005651-0.000358i,0.00043113-0.00088888i,0.00016833-0.00090033i,-0.00019717-0.0014156i,0.00052585-0.001453i,0.00084787-0.00054068i,0.00050005+0.00025436i,-2.7854e-06+0.00037417i
9.3296e-05-0.00043614i,3.5466e-05-1.3116e-07i,-0.00058952-0.0011675i,-0.00077452-0.0028713i,4.0233e-06-0.0030235i,0.00044822-0.0011615i,0.0001544+0.00017113i,-0.00023097+0.00028724i,-0.00044508-0.00026538i,-0.00028144-0.00025939i,-0.00025597+0.00027997i,-0.00088256+0.00079035i,-0.001096+0.0013519i,-0.0010585+0.0011315i,-0.00065408+0.00020233i,-0.00031414-0.00023918i,-2.0771e-05+0.00027639i,5.3645e-05-0.00010609i,-6.2548e-05-0.0013558i,-0.00015472-0.0013737i,-0.0001503+0.00014065i,9.2832e-05+0.00091814i,-0.00018758+0.00064312i
