-0.002402+0.0011997i,-0.0016002+0.00032854i,-0.0014519+0.00095806i,-0.00098598+0.00090415i,-0.00094428+0.0013739i,-0.00033956+0.0016513i,-0.00019024+0.0022341i,-0.00023192+0.0024737i,0.00030415+0.001805i,0.0010752+0.00046234i,0.0016033-0.00043322i,0.0017996-0.0014675i,0.0011391-0.0016728i,1.3031e-05-0.0018003i,0.00030769-0.0016782i,0.0006087-0.00030246i,0.00057695+0.00010272i,0.00027855+0.00032221i,-0.00048462+0.00036774i,-0.00050071-0.00048907i,8.4984e-05+0.00044421i,0.00011788+0.0015944i,0.00031766+0.0011541i
-0.00034149-0.0024895i,-0.00085735-0.0027236i,-0.0014848-0.0023904i,-0.0013155-0.002008i,-0.00023148-0.00079175i,0.00070183+0.00042903i,0.00063414+0.00041367i,0.00016701-0.00082443i,-4.8813e-05-0.0010161i,9.3059e-05-0.00038722i,-0.00019482+0.00034471i,-4.2815e-05+0.00083141i,0.00058808+0.00062953i,0.00073289+0.00045308i,0.001133+0.00040788i,0.0010865+0.00043732i,0.000852+0.00022287i,0.00091968+0.00024443i,0.00033159+0.00030656i,-0.00047529-0.00058483i,-0.00037719-0.00086368i,0.00018164-0.00092008i,9.485e-05-0.0013942i
-0.0016873-6.0578e-05i,-0.0027719+0.0005206i,-0.0031667+0.00023208i,-0.0019111+0.00097365i,-0.00029174+0.0021043i,0.00015128+0.00090233i,0.00034094+9.9054e-05i,0.0007826+0.00051182i,0.0008092-6.803e-06i,0.0002812-0.00078691i,-0.00041458-0.00022719i,-7.6006e-05+0.00045946i,0.00061024+0.00038193i,0.00098834+0.00014538i,0.00080755-0.00022429i,-0.00040145-0.0003354i,-0.0008256-0.00067007i,-0.00067391-0.0015783i,-0.00057835-0.00037367i,4.7576e-05+0.0009448i,0.00091171+0.00058974i,0.0012337+0.00018675i,0.0004262-0.00035183i
0.00029804-0.0011551i,-0.00023018-0.0020859i,-0.00014656-0.0016765i,-0.00021708+9.1682e-05i,-0.00050774+0.0008246i,-0.00071258-2.0385e-06i,4.6523e-05-0.00038555i,6.9853e-05-0.00015744i,-0.00066517-0.00043169i,-0.00059895-0.00032432i,-0.00043896-0.00056667i,-0.0008347-0.0013751i,-0.00056132-0.00088206i,-0.00041907+0.00056536i,-5.3861e-05+0.00045224i,5.7323e-05+0.00020159i,0.00025398-0.00025509i,0.00070732-0.00055004i,0.00069212-3.0983e-05i,0.00058247+7.1356e-05i,0.00018265+0.00023748i,-0.00056363+0.00043339i,-0.00083159+0.00059023i
-0.0032569-3.4736e-05i,-0.0037913+0.00085552i,-0.003394-8.1841e-05i,-0.0021598-0.00062314i,-0.00035868-9.2513e-05i,0.00041758+0.00029526i,-0.00062199-8.1883e-05i,-0.0011827-0.00069242i,-0.00041423-0.00040981i,0.0003015+0.00032112i,0.00037525+0.0011612i,0.00023063+0.00099738i,0.00039082+7.883e-05i,0.00053543+0.0002483i,0.00053315+0.0010247i,0.00071468+0.00083357i,0.0003063+0.00017569i,-6.713e-05+0.00020662i,-1.9247e-05+0.00033066i,-0.00015247+0.00029343i,-0.00050563+0.00040873i,-0.00062292+0.00078109i,0.00039443+0.0010915i
-0.00054947+6.4827e-05i,-0.00056663-2.1898e-05i,-0.00019452-0.0002797i,0.00010067-0.00055514i,0.00058359-0.0013696i,0.0010558-0.00099452i,0.00046278-0.00010644i,0.00019403-0.00021314i,0.00052163+9.9744e-05i,0.00020206+0.0002224i,-0.00058912-0.00020688i,-5.2047e-05-0.0003368i,0.00070749-0.00071276i,0.0011863-0.00091713i,0.00044604-0.00058727i,-9.8949e-05+0.00013063i,-0.00066254-0.00011126i,-0.0004108-0.00034149i,0.00072377-0.00030453i,-9.3184e-05-0.00048436i,-0.00080119-0.00049583i,-0.00012847-0.00091148i,0.00062757-0.00064244i
-0.0015056-0.001116i,-0.002833-0.00060366i,-0.0030479-0.00043569i,-0.0017131+0.00064403i,-0.00012577+0.0018484i,0.00023173+0.0013764i,0.00012732+0.00046812i,-2.6716e-05-0.0003864i,0.00018679-0.00020905i,-0.00019119+0.00044917i,-0.00065262+0.00056416i,0.00018555-1.259e-05i,0.00091122-0.00047742i,0.00057397-1.6152e-05i,0.00056174+0.00041142i,0.0011655+0.00016413i,0.00095676-0.00024007i,0.00024669-5.657e-05i,0.00018065+0.00028565i,0.00025749+0.00029959i,0.00016285+6.9456e-05i,0.00051721-0.00043601i,-0.00022895-0.00053462i
-0.00055033-0.00040991i,-0.00080913-0.00068356i,-0.00034833-0.00041442i,8.4855e-05-0.00038808i,-0.00011328-7.1535e-05i,-0.00052621-0.00032407i,-0.00057897-1.856e-05i,-0.00041423+0.00070712i,6.9217e-06+0.00059143i,0.0010091-7.3338e-05i,0.0011545+0.00023075i,0.0003453+0.00020783i,-0.00033858-0.00022706i,-0.00053513-0.00048838i,-0.0002994-0.00081947i,0.00020065-0.00035358i,0.00075534-6.4987e-06i,0.0014849+0.00038792i,0.0011917+0.0003838i,0.00036034+8.9094e-05i,0.00020128+7.457e-05i,0.00035797-0.00031417i,-0.000103-0.00031154i
0.00078754+0.00098633i,0.00072123+0.0011619i,0.00042858+0.0003072i,8.0772e-05-0.00011327i,0.0004644-0.00021675i,0.00044969-0.0013217i,-0.00044476-0.0015778i,-0.0007143-0.00069468i,-0.00054707-8.7088e-06i,-0.00035475-0.00011637i,-0.00022347-0.00035697i,-0.00016821-0.00048989i,0.00015737-0.0013631i,0.00060205-0.0016349i,-6.1641e-05-0.00073041i,-0.00098722-0.0005051i,-0.00073943-0.00033391i,-0.00034971+0.00029337i,3.0764e-05+0.00020361i,2.2441e-05-0.00017556i,-0.00047079+9.0696e-05i,-0.000506+0.00059372i,0.00034946+0.00052998i
-0.0030978-0.00042829i,-0.0027478-0.00039251i,-0.00074595-0.00063124i,7.5012e-05+3.1612e-05i,-0.00018955+0.00014567i,-0.00056516-0.00038825i,-0.00052331-0.00053116i,-0.0004589+9.0449e-05i,-3.5879e-05+0.00027061i,-7.4864e-05+0.00036586i,-0.00058777+0.00082633i,-0.0010048+0.0011883i,-0.00072502+0.00043013i,0.00025747-0.00016996i,0.00011697-0.00014808i,-0.00053023-7.4008e-05i,-0.00021469+0.00031333i,0.00067344+0.00027493i,0.00046934+0.00042978i,-0.00060291+0.00014186i,-0.00098719-0.00041511i,-0.00088554-0.00041826i,-0.00076119-0.00076416i
0.00028059-0.001079i,-0.00016689-0.0014705i,-2.6604e-06-0.0010579i,0.0010112-0.00044139i,0.0018021-0.00014633i,0.0011347+0.00017238i,0.00020278+0.00011153i,-2.0041e-05-8.5401e-05i,0.00024699+0.00021827i,0.00043863+0.00073048i,0.0010881+0.00070261i,0.0013565+0.00038882i,0.00053318-0.00064362i,-0.00077537-0.00039535i,-0.0015348+1.7397e-05i,-0.00073162-0.00053437i,0.0008666+0.00010443i,0.00063055+0.00090596i,-0.00041352+0.00093276i,-0.00045192+0.00036688i,-0.00046521+0.00012531i,-0.0003703+6.7492e-05i,-0.00035428-0.00015818i
-0.00071799+0.0013314i,-0.0016438+0.0014474i,-0.0017306+0.0008911i,-0.0011626+0.00021092i,-0.00082806-0.00039523i,-0.00047184-0.00032151i,-0.00024144+8.8008e-05i,-0.00082234+0.00038289i,-0.00076896-0.00017972i,-4.1483e-05-0.00092277i,0.0001309-0.0010096i,0.00017806-0.00037942i,-5.6386e-05+0.00078576i,-0.00080895+0.001058i,-0.00060531+3.0197e-05i,-0.00058017-0.0011804i,-1.4857e-05-0.0013227i,0.00058279-0.0010993i,0.00011887-0.00065283i,7.3856e-05+0.00023899i,-0.00013523+0.00070997i,-0.001184+0.0010166i,-0.0011818+0.0012827i
-0.0023005-0.0021436i,-0.0024387-0.0021917i,-0.0016904-0.0020155i,-0.00063789-0.00039483i,-0.00033141+0.00037997i,-0.00025393+0.00014726i,5.0805e-05-0.00016056i,-0.00015513+0.00042278i,-0.00052818+0.00049486i,0.00028559+0.00036518i,0.00086039+0.00029355i,-0.00018402+0.00023033i,-0.00059729+0.00071462i,-0.00016345+0.0011317i,-4.6563e-05+0.00081938i,0.00019904-0.0008381i,0.0001329-0.0010439i,-0.00065633-0.00023556i,-0.00043439+0.00055529i,0.00040563+0.0010263i,0.00079862+0.00024579i,0.00080569+0.00028822i,0.00041982+0.00018508i
0.00019927+0.0015927i,-0.0010486+0.0014249i,-0.0013538+0.00043061i,-0.00092264-8.4184e-05i,-0.00058518-0.00038396i,0.00042188-0.00020133i,0.00015534+0.00011154i,-0.00075374+0.00033687i,-0.00017365+0.00077993i,0.00038258+0.0009525i,0.00029079+0.00036625i,0.00059099+0.00011929i,0.00072806+0.00025654i,0.00018386-0.0001531i,-0.00029599-0.00067562i,-0.00052149-0.00051998i,-0.00017876+0.00017849i,0.00042294+0.00081884i,0.00050927+0.00017897i,0.000328-7.3642e-05i,0.00029735+0.00067247i,0.00030818+0.00045027i,0.00047167-3.1804e-05i
-0.0017957+0.0011969i,-0.0018248+0.0002699i,-2.7201e-06-0.00028094i,0.0016892-0.0014288i,0.0020715-0.0013828i,0.0012646-0.00062386i,0.00061177-0.00063147i,-6.6072e-05+4.8948e-05i,-0.00038932+0.00079208i,-0.0005264+0.0004261i,-8.1232e-05-0.0001609i,0.00043218-0.0008969i,0.00026638-0.00071284i,0.00049151-5.4367e-05i,0.00029325+4.3906e-05i,-0.0001041+0.00022105i,4.6088e-05+0.00016488i,4.3148e-05+0.00019356i,-1.235e-05+0.00083084i,0.00014291+0.00089903i,0.00091044+0.00067552i,0.00083187+0.000879i,-0.0001169+0.00065943i
-0.0012803-0.00084125i,-0.0014708+0.00020785i,-0.00085926+0.00095863i,-0.00023275+0.00027374i,0.00078167-0.00032526i,0.00080685-0.00058567i,-2.9901e-05-0.0011214i,-2.9432e-05+5.4502e-05i,0.00024823+0.00074475i,-0.00020489-1.4632e-05i,-0.00021393+0.00014397i,-0.0001664+0.00043715i,-9.0531e-05-0.00035133i,0.00056874-0.001155i,0.00053828-0.0014129i,-0.00023216-0.00033474i,0.00010606+0.00035487i,0.00013575+5.4057e-05i,-0.00014103-5.284e-05i,8.5267e-05+0.00037573i,-9.7491e-06+0.00088456i,2.7044e-05+0.00095788i,0.00066248+0.0001108i
5.1661e-05+0.0014282i,-0.00013808+0.00013524i,-0.00029104-0.00081256i,-0.00045456-0.00080557i,-0.00044686-0.0003927i,-0.00036197+9.7459e-05i,-0.00049802-0.00012164i,-0.0010141+0.00032344i,-0.001059+0.00065661i,-0.0002782+0.0006215i,0.0002604+0.00090557i,0.00031142+0.00039724i,0.00024331-0.00048796i,-2.4573e-05+0.00020956i,-2.5548e-05+0.0006117i,9.6265e-05-0.00043441i,-0.00015884-0.00078637i,-0.00061171-0.00034715i,-0.00066989-0.00044905i,-4.6942e-05-0.00088105i,9.2628e-05-0.00062493i,0.00042208+0.00018426i,0.00041951+0.00040827i
-0.0018569-0.00043075i,-0.0020952+0.00074107i,-0.0014436+0.00075759i,-0.00054767-9.8917e-05i,-0.00036939-0.00065211i,-2.9482e-05-0.00020783i,-0.00071134-0.00032726i,-0.001615-0.00041789i,-0.00084024+0.00054811i,-0.00059442+0.0010424i,-0.00043789+0.00071985i,-0.00069299-0.00013846i,-0.0010013-0.00091744i,-0.00074924-0.0012459i,-0.00020699-0.0008593i,0.00013202-0.00051893i,0.00048182-0.00040642i,0.00069606-0.00021007i,-1.473e-05-0.00019127i,-0.00065678+0.00025742i,-0.00044487-0.00011808i,-9.2077e-05-0.00048298i,0.00044655-0.0002654i
-0.0014103+0.0011342i,-0.0015589+0.00048299i,-0.0012467+0.00045322i,-0.000336+0.00035158i,-0.00012726+6.1497e-05i,-0.00028642-0.00078268i,-0.00051026-0.0017604i,-0.0012985-0.001355i,-0.0014676-9.9504e-05i,-0.00067854-0.0003057i,0.00021978-0.0005461i,-0.00020124-0.00042255i,-0.0012921-0.00020115i,-0.0014204-0.00056094i,-0.00067727-0.0015832i,0.00019368-0.0013822i,0.00043088-0.00014672i,5.2034e-05-0.00034332i,0.00013951-0.00058472i,0.00052078-0.00010386i,0.00045396+5.6155e-06i,-1.8535e-05-6.7669e-05i,-0.00048008-0.00029126i
-0.0017149-7.5415e-06i,-0.0022552-0.00031956i,-0.0024899+0.00033808i,-0.00098273+0.00035378i,0.00093595+0.00015463i,0.0012299-0.00028661i,4.2684e-05-0.00099613i,-0.00057116-0.00067123i,-0.00031628-0.00045307i,-0.00025678-0.00010599i,-7.4352e-05+0.00052369i,-6.2547e-05+0.00018609i,0.00015403-0.00050687i,0.0004184+4.4702e-08i,0.00059734-1.6768e-05i,0.00092884-0.0003417i,0.000607+8.3246e-05i,0.00036478+0.00044384i,0.0004931-0.00046645i,0.00042464-0.0011032i,0.00027316-0.00032306i,-0.00023029-0.00011994i,-0.00037341-0.00042883i
0.00094887-0.00030235i,-0.00054054-0.00038787i,-0.00043242-0.001115i,-0.00055433-0.0010593i,-0.0015293+4.697e-05i,-0.0015879-1.1226e-05i,-0.0016587-0.00060836i,-0.0012163-0.00033631i,-0.00037995-0.00028296i,-6.2819e-05-0.00011327i,-6.0627e-05+0.00072666i,-0.00016181+0.00010908i,0.00015322-0.00087905i,-2.0396e-06+1.1946e-05i,9.2053e-06+0.00042081i,0.00015372-0.00014723i,1.417e-05-0.00080239i,0.00057764-0.0004862i,6.0391e-05+3.5675e-05i,-0.00030737-0.0001121i,-0.00043912+0.00024032i,-0.00090633+0.0004002i,-0.0009969+0.00050574i
-0.00086891-0.0017332i,-0.0011788-0.0014454i,-0.0011592-0.0006909i,-0.00078624-0.00084075i,-0.00033147-0.0013252i,-0.00018142-0.00086573i,-0.00068625+0.00013372i,-0.00058826+7.8763e-05i,-0.00021302-0.00072709i,-0.00038125-0.00062772i,-0.00018388+2.072e-05i,0.0001689+0.00016887i,0.00017041+0.00031826i,-0.00026785+0.00037125i,-0.00018232+0.00012003i,-5.551e-05+0.00067308i,-0.00010121+0.0010446i,0.00018254-3.691e-05i,0.00050393-0.00057448i,0.00054604-0.00020692i,0.00077211+0.00042128i,0.00036611+0.0010293i,-0.00036378+0.00096105i
0.00041751-0.00050367i,0.00028768+0.0011787i,0.00016716+0.0013228i,0.00028701+0.00020993i,6.2243e-05-0.00048791i,-0.00028763-0.0012084i,-0.00074133-0.00078356i,-0.00060035+0.00083753i,3.2804e-05+0.0017059i,4.6263e-05+0.00090395i,3.6929e-05-0.00027679i,0.00048293-0.00033759i,3.9995e-05+0.00010087i,-0.00047205-0.00018796i,-0.000538-0.00020089i,-0.00075308+0.0003302i,-0.00063156-0.0001547i,1.0362e-05-0.00052674i,3.0951e-05+0.0003856i,-0.00018933+0.00014699i,0.00031131-0.00036513i,0.00081034-0.00015655i,0.00017369-0.0002823i
-0.0023718-0.001996i,-0.002501-0.0016275i,-0.0021374-0.0013727i,-0.001221-0.00048161i,-0.00027924+0.00022871i,0.00011607+0.00030729i,0.00039953+4.6594e-05i,0.00095517-0.00052075i,0.00014992-0.00052104i,0.00037872-0.00015094i,0.00026565+0.00022119i,-0.0002208+0.0006779i,-7.2288e-05+4.0555e-05i,0.00053939+0.00012338i,0.00039538+0.00086424i,-0.00060691-0.00021617i,-0.00088393-0.0011705i,-0.00042236-0.00081302i,-0.00078369-0.00054539i,-0.0013381-0.00051149i,-0.00081949-8.7653e-05i,-0.00039732-0.00012554i,0.00051424-0.00075668i
0.00022199-0.00027975i,0.00015831+0.00037445i,-0.00027172+0.00095157i,-0.00028337+0.00033521i,0.00024954-0.00019523i,0.00071018-0.00012365i,0.00055631-0.00022275i,-0.00013484+0.00024116i,-0.00034309+0.00024971i,-0.00052472-0.00021021i,-0.00066164-0.00056672i,-0.0001462-0.00067668i,0.0001531-0.00030269i,-0.00027244+0.00010433i,4.4566e-05+0.00032546i,9.168e-05-0.0002093i,6.2115e-05-0.00062239i,0.00022265-0.00037135i,0.00018974-0.00042854i,-0.00056177-0.00063102i,-0.0011505-0.00053185i,-0.00092177+0.00022826i,-0.00065371+0.00056781i
-0.0030237-0.0011011i,-0.0033238-0.00084278i,-0.00237-0.00052067i,-0.0011533-0.00030836i,0.00014106+5.0717e-05i,0.00037329-0.00011226i,0.00029592-0.00040753i,0.00033406+0.0001455i,0.00021784+0.00087705i,-0.00011192+0.00065069i,3.9998e-05-5.9839e-05i,-1.2904e-05-0.00062022i,-0.00031088-0.00048897i,1.0972e-05-0.00020789i,0.00062389+7.5091e-05i,0.00030305+0.0007064i,-0.0006442+0.0004021i,-0.0011983-0.00017927i,-0.0010602-0.00099239i,-0.00066476-0.0012692i,6.6421e-05-0.00046022i,0.00017582-0.00021113i,-0.00022826-0.00024255i
3.8623e-05-0.0011866i,-0.00074493-0.00075361i,-0.0019085+4.8644e-05i,-0.0017065+0.00075317i,-0.0013426+0.0007528i,-0.00033551+0.0006778i,5.56e-05+1.8951e-06i,0.00012995+0.00019403i,0.0001744+0.0012462i,0.00016087+0.001075i,0.00016394+0.00020872i,0.00076516-0.00014263i,0.0012308-0.00055728i,0.00069672-0.00061345i,0.00015031-0.00036049i,-0.00013379-0.00040437i,-0.00047186+8.1837e-05i,-0.00056568+0.00029375i,-0.0007731-0.00040848i,-0.00038117-0.00084973i,-8.0788e-05-0.00059584i,-2.0059e-05-0.0003088i,0.00017889+9.8147e-05i
-0.001187-0.00023495i,-0.0019906-0.00075042i,-0.0016975-0.0010289i,-0.0012633-0.00029069i,-0.00039803+0.00016607i,-4.2162e-06+0.0005074i,0.00023956-3.8644e-07i,0.00024419-0.00014303i,-0.00038216+0.00037507i,-0.00081948+0.00043877i,-0.0010621+0.00053546i,-0.00084899+0.00074899i,-0.00039468+0.00069055i,8.6684e-05+0.00037838i,-0.00048186-5.2092e-05i,-0.00072417-0.0001492i,-0.00015646+7.6264e-05i,9.9612e-05-0.00019058i,0.00014238-0.00062803i,0.00082264-0.00044521i,0.0006365-0.00030917i,-0.00040103-0.00027797i,-0.00094767-0.00032711i
-0.0013166-0.0025481i,-0.0015005-0.0028254i,-0.00084153-0.0014762i,-0.00058947-0.00020838i,-0.00029622-0.00059447i,3.9897e-05-0.0012659i,-0.00079818-0.0014911i,-0.0013587-0.0010085i,-0.0012754-0.00041308i,-0.0010918-4.9178e-05i,-0.0010532-0.0002261i,-0.00043955-0.00050018i,0.00025092-0.00092602i,-0.00043052-0.001408i,-0.0011879-0.0010948i,-0.0011818-0.0003025i,-0.00061929-0.00014003i,0.00034474-0.00023822i,0.00033731+0.00034658i,0.00052052+0.00048846i,0.00066233+0.00046791i,-0.00016657+0.00028738i,-0.0002561-0.00031137i
