-0.0038847+0.00019336i,-0.0032615-0.0013553i,-0.0041773+0.00030783i,-0.0034129+0.0018454i,-0.0012269+0.0023895i,1.868e-05+0.0030316i,-0.0010322+0.0032202i,-0.002061+0.0023228i,-0.0010871+0.0014266i,0.0004638+0.00061494i,0.00068107+0.00020151i,0.00042226+5.5198e-05i,0.00078261+0.00032241i,0.00037785+3.6537e-06i,-0.00013296-0.00021829i,0.00011345-3.4387e-05i,0.00073781-0.00015795i,0.00080408-2.71e-05i,0.00022645-5.1168e-05i,0.00013525-7.4745e-05i,-0.00023076+0.00021595i,-0.00063516+0.00049351i,-0.0003176+9.3056e-05i
0.0010066-0.00064686i,-0.00065472-0.0005832i,-0.0011399+0.00028181i,-0.00066965+0.00074481i,-0.00076182+0.0010721i,-0.00030207+0.0011393i,0.00033403+0.00067013i,0.00040007+0.00088623i,-0.00019368+0.0014091i,-0.0010501+0.0010658i,-0.0012366+0.00078289i,-0.00092164+0.00066256i,-0.00076233+0.00070082i,-3.9435e-05+0.0004227i,0.00072079+9.375e-05i,0.00082809+7.2451e-05i,0.0010856-0.00018114i,0.0011699+6.8232e-05i,0.0010547+0.00069319i,0.00051158+0.00038436i,-0.00037083-0.00028485i,-0.00091344-0.00014587i,-0.00075302-0.00013643i
-0.00095108+0.00037538i,-0.00073814-0.0002198i,-0.00011976-0.0017941i,0.00018227-0.0013197i,0.00043749-0.00025644i,0.00026036-0.00037227i,-7.4887e-05-0.00016628i,-0.00073802+0.0007369i,-0.0011424+0.00070227i,-0.00086939+0.00017168i,-0.00050059+0.00030821i,0.00025336+0.00058834i,0.0011055+5.1652e-05i,0.00055296-0.00061038i,-0.00031531-0.0010888i,-1.6385e-05-0.00076336i,0.00067179-0.00048405i,0.00054635-0.00027765i,-8.6566e-05+3.4682e-05i,-0.00016201+0.00051659i,-0.00012109+0.0005394i,-0.00014516+9.3244e-05i,-0.00024729+8.9413e-05i
-0.0014122+0.0028497i,-0.0012288+0.0026729i,9.5699e-05+0.0043144i,0.0017319+0.0037623i,0.0022213+0.0016535i,0.0006391+0.0004476i,-0.00089662-0.00014436i,-0.0010163-4.1724e-05i,-0.0014113+1.383e-05i,-0.0018439-0.00021318i,-0.00092611-1.0466e-05i,5.864e-05+0.00068831i,5.3345e-05+0.00081738i,-0.00022487-0.00017388i,-0.0010669-0.00052536i,-0.0011969-0.00042739i,-0.00072043-0.00034705i,-9.452e-05-7.3825e-05i,0.00048527-1.0264e-05i,0.00058053+0.00011295i,0.00047185+0.00021081i,8.138e-05-0.00020244i,0.00039632-0.0011314i
-0.0013223-3.7864e-05i,-0.0016627-0.00019221i,-0.0013272+0.00080097i,-0.00026218+0.0018799i,0.00074525+0.0023947i,0.0011351+0.0011712i,0.00086776-0.00052616i,0.00029438-0.00031081i,-0.00031233+0.00075967i,-0.0011962+0.00086615i,-0.00075955+9.8707e-05i,0.00040773-0.00060535i,0.0014698-0.0012697i,0.0022988-0.0017385i,0.001439-0.00039066i,-1.1283e-05+0.00015794i,-0.00095146-0.0001423i,-0.00062061+0.00013859i,0.00017778-0.00026553i,0.00057511+0.0002499i,0.00053729+0.0013071i,0.00039338+0.0011173i,0.00011822+0.00080815i
-0.001101-0.0002927i,-0.0010164-0.00076541i,-0.0020301+1.3955e-05i,-0.0015174+0.0008711i,-0.0001578+0.0015612i,-0.0004759+0.0012452i,-0.00089947+0.00062658i,-0.000811+0.00073817i,-0.00057976+0.0010754i,5.0406e-06+0.00045468i,0.00023286+0.00079152i,0.00043629+0.0012172i,0.00077218+0.00058138i,0.00072012-5.4573e-05i,0.00053485+1.5461e-05i,0.00031295-0.00044886i,0.0002641-0.0014292i,-9.2284e-05-0.0014516i,0.00030389-0.00045925i,0.00016116-0.00010723i,-0.00082016+8.8058e-05i,-0.00058283+0.00010363i,0.00021717+3.2845e-05i
0.00038697+0.00067635i,0.0006536+8.5001e-05i,0.0011155+0.00015479i,0.0012359+0.0005947i,0.0014558+0.00061842i,0.0010648+0.00069432i,0.00013814+0.00092099i,-9.6265e-05+0.00093382i,0.00012712+0.000574i,0.00046311+0.00044327i,0.00048527+0.00065371i,0.00074714+0.00076582i,0.00036157-0.00011057i,-0.00019813-0.00062044i,0.00017282-0.00045565i,9.3301e-05-0.00051982i,-0.00034165-0.00066225i,-0.00044238-0.00032721i,-0.00015493-1.4401e-05i,-0.00019565+0.00030845i,0.00021455+0.00059454i,0.00092911+0.00045534i,0.00084078+0.00022904i
0.00014085-0.0013126i,-0.00038835-0.00038873i,5.0256e-05-0.00076978i,0.00060639-0.00018021i,0.0003342+0.00076877i,-0.00017204+0.00031288i,-0.00075444+0.00017247i,-0.0012334+0.00011667i,-0.0016676+0.00027761i,-0.0011797+0.00079154i,0.00012354+0.00074105i,7.7059e-05+0.00014179i,-0.00048938+3.7706e-05i,-0.00046729-0.001005i,-0.00034706-0.0016128i,-4.163e-06-0.00047256i,0.0009065+0.00016896i,0.001211-0.00015201i,0.00038703-0.00017218i,7.2165e-05-0.00021997i,0.00019689-0.00010111i,0.00046228-0.00019188i,0.00047657-8.9155e-05i
-0.0011913-0.00028051i,-0.0014576-0.00066446i,-0.0020518+0.00052473i,-0.001463+0.0015489i,-0.00065137+0.0014362i,0.00022753+0.00092729i,-0.00014417+0.00042497i,-0.00073259-6.6277e-05i,-0.0013118-0.00063377i,-0.00165-0.00035235i,-0.00088375+0.00029292i,0.00032146-1.1368e-05i,0.0012249-0.00031353i,0.0014692-0.00057929i,0.00096601-0.00096571i,0.0004601-0.00012725i,0.00064094+0.00033959i,5.0495e-05-0.0001219i,-0.0010537+0.00011627i,-0.0010742-0.00010808i,-0.0011721-0.0010199i,-0.0013589-0.0016352i,-0.00081542-0.0012795i
0.00154+0.0020276i,0.002421+0.0017635i,0.0035189+0.0010632i,0.0029488+0.00026711i,0.0011186-0.00029295i,-0.00063471-0.0011291i,-0.0013851-0.001612i,-0.00075547-0.00046312i,-0.00017366+0.00058399i,-2.0828e-05+0.00032346i,-0.00035524-2.0652e-06i,-0.00053183-0.00046417i,-0.00015995-0.00040701i,-0.00044943-3.3925e-05i,-0.00078118-0.00099237i,-0.00051924-0.00094194i,0.00036979-0.00053255i,0.00099938-0.000427i,0.00083242+0.00043682i,0.00035299+0.0005068i,4.6478e-05+0.00038977i,-0.00015375+0.00031382i,-0.0009622-0.00035939i
-0.00030874+0.00030635i,-0.00034482+0.00014306i,-0.00070825+0.0011288i,-0.00099604+0.0012522i,-0.00042115+0.00041108i,-0.00026539-0.0010712i,-0.00056332-0.00085133i,-0.00050515+0.00047578i,-0.0008553+0.00095451i,-0.00088302+0.00061037i,-0.00026208+0.00025538i,0.00017324+5.1652e-05i,0.00029833+0.00026279i,0.00010909+0.00028555i,-1.3131e-05+0.00026955i,0.00013262-0.00045456i,0.00046685-0.00054881i,0.00037657-0.00034358i,0.00018037-0.0006163i,0.00012103-0.0003651i,0.00027383-0.00043468i,0.00044867-0.00022173i,0.00021758+0.00028026i
0.00026825+0.0015705i,-0.00056903+0.0023892i,-0.00036942+0.0019362i,0.00050493+0.001363i,0.0010945+0.001174i,0.0012822+0.00063322i,0.0011524+0.001042i,0.00071126+0.0014998i,-0.00053595+0.00078887i,-0.00082638+0.00056276i,0.00054587+0.00076444i,0.0013824+0.00031416i,0.0010448-0.00018076i,0.00049004-0.00034825i,0.00037684-0.00017777i,0.00061105-0.00089944i,0.00055026-0.00069611i,0.00016879-8.5067e-05i,0.00014676-0.00046361i,0.00021329-0.00044172i,0.00030126+0.00037731i,0.00027761+0.00056527i,0.00063048+0.0002996i
8.813e-05-0.0005203i,-0.00028149+0.00085969i,-0.001038+0.0017749i,-0.00020352+0.0015591i,0.00041163+0.0011343i,-0.00032539+0.00064843i,-0.00049462+0.00072627i,-0.00033317+0.0013371i,-0.00066888+0.0015602i,-0.0010338+0.0010157i,-0.00085997+0.00027386i,0.00037114+0.00040466i,0.00065288+0.00024729i,0.00042394-0.00053866i,0.00089186-0.0010172i,0.00082894-0.00064221i,0.00019059+0.00010858i,-7.361e-05+0.00059713i,-0.00036408+0.00015015i,-0.00043211-0.00061634i,0.00014203-0.0003846i,0.00040073-4.2662e-05i,0.00054953-0.00011037i
0.0010221-0.0017058i,0.0004931-0.0014785i,-0.00050374-0.0018398i,-0.0011672-0.00096595i,-0.00094374+0.00040409i,-0.00056762+0.0012402i,-0.00035658+0.0017869i,-0.000711+0.0015785i,-0.0010404+0.00093086i,-0.00069477+0.0011935i,-0.00039266+0.0012976i,-0.00017096-6.6144e-05i,8.3087e-05-0.00075764i,-2.1371e-05+6.6446e-05i,0.00070358+0.00014064i,0.00083478-0.00031831i,4.3883e-05-0.00038148i,0.00047577-0.00026224i,0.00059699-7.0608e-05i,0.00031765-7.1172e-05i,0.00035793-0.00048858i,0.0011441-0.0006043i,0.001374+0.00031068i
-0.00070644-0.0006036i,-0.001162-0.0006684i,-0.0010543-0.00053261i,4.8495e-06-0.00092421i,0.00090624-0.00061604i,6.9153e-06-0.00064218i,-0.0010474-0.00063185i,-0.00079153+0.00065088i,-0.00078425+0.0010033i,-0.00075288+0.00091133i,0.00011503+0.00044824i,-1.2063e-05-0.00044032i,-0.0003124-0.00057705i,-2.1364e-05-4.1248e-05i,-0.00054755+0.00024793i,-0.00032318+0.00072661i,0.0010206+3.7912e-06i,0.00095237-0.00077963i,-0.00028989-0.00072796i,0.00024208-0.00057414i,0.001454-8.7019e-05i,0.0010779-0.00055623i,-1.2053e-05-0.0010551i
2.96e-05-0.0031973i,-0.00074788-0.0027848i,-0.0010331-0.0018481i,-0.0012662-0.00087321i,-0.0010097-0.00024245i,-0.00074235-0.00035038i,-0.001188-0.00052641i,-0.0015518-0.00020904i,-0.001761-0.00016348i,-0.0017068+0.00030956i,-0.0011043+0.00040611i,-0.00070709+2.4117e-05i,0.00043119-0.0002557i,0.001048+0.00031406i,0.00060695+0.00083477i,0.00026255+0.00048367i,0.00042929-0.00018274i,0.00057557-0.00035917i,0.00027013-2.5559e-05i,0.00027553+0.00043346i,6.4006e-05+0.00038893i,-0.00076822+0.00080641i,-0.00072235+0.00091948i
-0.00095067-0.0024946i,-0.0010229-0.0018412i,-0.0030698-0.00074311i,-0.0030777+0.00059974i,-0.00044656+0.0014743i,0.00094874+0.0012954i,0.00021198+0.0011773i,-0.00064526+0.0010283i,-0.00054592+0.00080946i,-0.00052969+0.00078123i,-0.00033279+0.00087624i,0.0006732+0.0012397i,0.0014833+0.00050145i,0.0013097+0.00039261i,0.00030222+0.0010186i,0.00011078+0.0010071i,0.0005649+0.00038682i,0.0010257-0.00046333i,0.00099128-0.00054985i,0.00019328+9.969e-05i,-0.00037975-1.1494e-05i,-0.00022236+3.7531e-06i,5.1094e-05+0.00036763i
-0.00068913-0.00053721i,-0.000563-0.00092939i,-0.00019677+0.00045447i,-0.00029118+0.0025802i,8.9691e-05+0.0025778i,-7.9724e-05+0.0010548i,-0.000892-0.00026552i,-0.0010759-0.00054911i,-0.0010135+0.00016911i,-0.001016+0.00052424i,-0.00089835+1.7794e-05i,-0.00054492-0.00019448i,0.00011441+7.6537e-05i,0.00097817+0.00041486i,0.00091165-0.00025102i,0.00063927-0.00048217i,0.00032025-0.00035926i,-0.00016109-0.00080207i,-0.00051351-0.00037139i,-0.00037504+0.00032175i,-0.00014666+0.00049537i,-0.00010852+0.00035251i,-0.00013616-2.2481e-05i
-0.0012891+0.00067534i,-0.0013668+0.00053848i,-0.0014618-4.5174e-05i,-0.0010166+0.00049876i,-0.00046447+0.0012413i,4.3371e-05+0.00035306i,-0.00032844-0.00023149i,-0.00094334+0.00030239i,-0.00063001+0.00071675i,-0.00043841+0.00063396i,-0.00069143+0.00010114i,-0.00065289-0.0002359i,-0.0003285-0.00067775i,0.00023552-0.0010368i,0.0010212-0.00091416i,0.0010788-0.00063057i,0.00077641-0.00016469i,0.00074515+0.00066092i,0.00020641+0.00065858i,-0.00033371+0.00034259i,0.00013727+0.00051552i,0.00041112+0.00096463i,0.00088271+0.0010443i
0.00013953-0.00030503i,0.00070822-0.00035283i,0.00094144-0.0008433i,0.00082648-0.00054977i,0.00020036+0.00016957i,-0.00037501+9.2535e-05i,-0.00072595-0.00074521i,-0.0012174-0.0009257i,-0.00096515-0.00045252i,-0.00021215-0.00036531i,-0.00027493-0.00049781i,-0.00028484+0.0003349i,-3.9565e-05+0.00050938i,-0.00016824+7.4091e-05i,-0.00039547-0.00057331i,-0.00037526-0.0013126i,-2.4349e-05-0.0012038i,0.00042442-0.00082165i,0.00083738-1.0718e-05i,0.00092462+0.00013014i,0.00084027-0.00044615i,0.00016783-0.00079171i,-0.00035485-0.00031624i
-0.00017727+0.00042843i,0.00062387+9.3272e-05i,0.00098193+0.00013278i,0.0018461+0.000222i,0.0018667+0.00096265i,0.00068557+0.00056839i,0.00026347-0.00021601i,0.0002859+4.4466e-05i,0.00016855+0.00040824i,-0.00033011+0.00051631i,-0.00058051+0.0007818i,-0.00040732+0.0010922i,-0.00071871+0.00076688i,-0.00081424-3.8167e-05i,-0.00084124-0.00064258i,-0.00062901-0.00074702i,0.00020597-0.00037574i,0.00097791-0.00022112i,0.00079892-0.00039912i,0.00027317-0.00033347i,0.00053455-0.00052736i,0.00039884-0.0012938i,-0.00019621-0.0010361i
-0.0013956+0.00036018i,-0.0011189+0.0017735i,-0.0011922+0.0025582i,-0.00063289+0.0019877i,0.00019376+0.0010528i,0.00041725+0.0010404i,0.00038844+0.0012387i,-7.1122e-05+0.00096326i,-0.00018018+0.00020451i,-0.00031367+1.1589e-06i,-0.00053684+0.00079773i,-0.00030928+0.0013491i,5.387e-05+0.0004747i,0.00051071-0.0003576i,0.00088066-0.00026484i,0.00062543-0.00019052i,0.00025707-0.00025551i,0.00014622-0.00060545i,-0.00021661-0.00023226i,-0.00032368+0.00024434i,-0.00038211+0.00012901i,0.00031933-4.8068e-05i,0.00075687-6.7965e-05i
0.00027547+0.00036554i,-0.00024224+0.00017149i,0.00029966-0.00056817i,-0.00012794-6.897e-05i,0.00016488-0.00011535i,0.00053402-0.00079115i,-0.00025806-0.00060646i,-0.00039558-0.00064459i,-0.00035661+6.1925e-05i,-0.00073274+9.3619e-05i,-0.00062124-0.0005884i,-0.00030368-0.00034097i,0.00042736-0.00040498i,0.00063837-0.0004666i,0.00031593-0.00056846i,-2.6594e-05-0.00083175i,0.00012574-0.00068216i,-4.6042e-05-0.00025403i,-0.00041594+5.8076e-05i,-0.00048874+1.9233e-05i,-0.00015881+0.00010881i,0.0001247+0.00059924i,0.00025741+0.00068053i
0.0015254-0.00025696i,0.0018321+2.2684e-05i,0.0014241-0.00048109i,0.0013843-0.0011714i,0.0014108-0.00050087i,0.00018204+0.00058111i,-0.0011524+0.0010685i,-0.0012984+0.00036915i,-0.0011138-5.2062e-05i,-0.0010309+0.00020382i,-0.00025131+0.00023893i,0.00046177+0.00071992i,8.769e-05+0.0012983i,0.00020492+0.0010255i,0.00020929+0.00048284i,-0.0005882+0.00018801i,-0.00035909+0.00052085i,0.0010388+0.00107i,0.0010208+0.00036057i,0.00019242-0.00029106i,5.3944e-05-0.00078797i,0.00015205-0.0015064i,-0.00025255-0.0013755i
-0.0002361+0.00010834i,0.00013721+0.00038219i,2.593e-05+0.00073664i,0.00022104+0.0012472i,0.00020062+0.0016411i,0.00032546+0.00090483i,0.00019549-0.00060967i,0.0001652-0.00074553i,-0.00013423-4.8832e-05i,-0.00038123+0.00065332i,9.9104e-06+0.00093867i,0.0010074+0.00023024i,0.0013664-0.00032799i,0.00050529-0.00016054i,0.0006914+0.00019617i,0.00092422+9.3555e-05i,0.00060545-0.00012898i,0.001053-0.00019195i,0.00082218-0.00029787i,-0.00048596-7.9494e-05i,-0.00073209-0.0002145i,-4.588e-05-0.00093886i,0.00027432-0.001238i
-7.491e-05+0.0019558i,-0.00066746+0.0015045i,0.00061814+0.00097434i,0.0017052+0.00073401i,0.0016991+0.00070835i,0.0004568+0.00093249i,-0.00042303+0.0010617i,-0.00034199+0.001609i,-0.00040683+0.0013839i,-1.4555e-05+0.00026269i,0.00059983+0.0002305i,0.00060493+0.00084723i,0.0002806+0.00088326i,1.253e-05+0.00021369i,-0.00021193-0.00048398i,-0.00076164+0.00016056i,-0.0011712+0.0011114i,-0.0010045+0.00069084i,-0.00023536+0.00048865i,0.00048055+0.00063068i,0.0005795-0.0003605i,-0.00049203-0.0006465i,-0.00094164-0.00020566i
-0.00039118+0.00038693i,0.0004607-0.00030527i,0.00072756-0.00037206i,-6.4352e-05+0.00035665i,-0.000363+0.00021463i,-0.0010286-3.9228e-05i,-0.001438+0.00046293i,-0.00094889+0.00090082i,-1.8044e-05+0.00037137i,0.0001686-0.00014951i,-0.00068882+0.00015256i,-0.0010762+9.2639e-05i,-0.00041373-6.6478e-05i,0.00040484-0.00036628i,0.00024182-0.00026311i,-0.00036925+0.00012495i,0.00030244-0.00012786i,0.00080322+0.00021278i,0.00015821+0.0011599i,2.5046e-05+0.0011109i,-0.00037911+0.00073145i,-0.00083669-0.00024603i,-0.0011713-0.00064174i
