-0.0027327-0.00055102i,-0.002688+9.9379e-05i,-0.0031355+0.0011838i,-0.0041568+0.0013988i,-0.0049945+0.0021417i,-0.0031152+0.0025066i,-0.0010278+0.0020353i,-0.00095953+0.0023649i,-0.00038617+0.0027667i,0.00035388+0.0023147i,1.9906e-05+0.00091369i,-0.00033616-6.8623e-06i,-0.00044905-0.0002877i,-6.2178e-05-0.00049637i,-0.00056299-0.00064672i,-0.0010619-0.0010688i,-6.9679e-05-0.00059341i,0.00018382+0.00053215i,-0.00010408+0.00028524i,-8.4531e-05-0.00038452i,0.00038358+3.7339e-05i,0.00098316-0.00012734i,0.00085851+0.00010549i
-0.0001026-0.0025642i,-0.0009337-0.0028395i,-0.0026584-0.0015034i,-0.0044888-0.00015771i,-0.0041616+0.00051391i,-0.0014069+0.001081i,0.00054783+0.00078012i,0.00092774+0.00068066i,0.00061737+0.0013545i,0.00071124+0.00087169i,0.00091901+0.0010445i,0.00027093+0.0011791i,-0.00017553+0.00036527i,0.00081615+0.00012876i,0.0010185+0.00089924i,0.00050801+0.00090554i,2.5685e-05+0.00011191i,-0.00040565+0.00023047i,-0.000613-0.00026127i,-0.0004903-0.00052264i,0.00077526-0.00014914i,0.0012834+1.7219e-05i,0.0010461+0.00024468i
0.00037621+0.0002759i,0.0013912+0.0010331i,0.00057904+0.00053621i,-0.00024491+0.00023717i,-0.00080295+0.00051853i,-0.00083757+0.00050794i,-0.0010403+0.00030198i,-0.0013092-5.1854e-05i,-0.00058432+0.00043186i,-0.00035056+0.00064931i,-0.00041371+0.00040111i,2.9745e-05+0.00050117i,0.00025258-0.00017508i,-0.00016363-0.00012117i,-8.4692e-05+0.00069295i,0.00037581+0.00017187i,0.00037256-0.00027541i,-3.9679e-05-3.241e-06i,-8.5272e-05-0.00043648i,0.00032599-0.00056898i,0.00050982-0.00021889i,0.00066385-4.2135e-05i,0.00022453-4.9185e-05i
0.00015296-3.8007e-06i,-0.00054219-0.0013999i,-0.0013974-0.0024289i,-0.0021046-0.0010821i,-0.0023341-0.00028385i,-0.0017143-5.3252e-05i,-0.00010317+0.00021141i,0.00043621+0.00088399i,8.8512e-05+0.001431i,0.00022736+0.0010564i,0.00058539+0.00031915i,0.00014761+5.5701e-05i,-0.00058761+0.00014122i,-0.00068532+0.00048687i,-0.0011338+0.00055964i,-0.0009433-2.3326e-05i,0.00051165-0.00021352i,0.00077175-0.00029191i,0.00010592-2.5412e-07i,-0.00023627+0.0001133i,-0.00017876+0.00026405i,-0.00032693+0.00069376i,-0.00012221+0.00053577i
-0.0018035-0.00050151i,-0.00086001-0.000652i,-0.00088595+0.00033278i,-0.00099274+0.0013078i,-0.0010872+0.0021061i,-0.00059296+0.001112i,0.00019152-0.00053086i,-0.00012786-0.00015207i,-0.0012906+0.0012779i,-0.0015068+0.0015159i,-0.00042594+0.0011676i,0.00092228+0.00065081i,0.00093776+7.5351e-05i,0.00051862-0.00034088i,-2.0151e-05-0.0002815i,-0.00056419-0.00026213i,-0.00044563+0.00019731i,0.00048351+0.00079462i,0.00071207+0.00050036i,-7.301e-05+0.00072156i,-0.00067142+0.00045766i,-0.00069103+0.00039087i,0.00025399+0.00034466i
0.0012899+0.001679i,0.0014209+0.00042272i,0.001067-0.00037094i,-0.00095488-0.001515i,-0.0022428-0.0012279i,-0.002093+4.9158e-05i,-0.0010663+0.0001815i,-0.00025061+0.00057686i,0.00018041+0.0016028i,0.00040487+0.0015326i,5.312e-05+0.00086085i,-0.00057796+0.0002384i,-0.0005791-0.00022182i,-0.00046638-0.0004765i,-0.00039307-0.00017758i,7.7994e-05+0.00028707i,0.00064393+3.9996e-05i,2.1316e-05-0.00022591i,-0.0010971-0.00053648i,-0.00078752-0.000713i,0.00040107-0.00013631i,0.00080883+0.00025493i,0.0001777+0.00012141i
0.00058113-0.0021058i,0.00026536-0.0010921i,-0.0011522+0.00065804i,-0.0019881+0.0016443i,-0.00122+0.0022201i,-0.00019111+0.0018404i,0.00039161+0.0011508i,-0.00021704+0.0010617i,-0.00095079+0.00092419i,-0.00053154+0.00076806i,-0.00041959+0.00063444i,-0.0009905+0.00059897i,-0.0012458+0.00085766i,-0.0014134+0.0009628i,-0.00079181+0.00061388i,-8.732e-05+0.00021468i,0.00036956+0.0002288i,0.00011593+0.00014965i,-0.00059341-0.00010895i,-0.0012875-0.0004557i,-0.00073098-0.00043996i,-0.00037983-0.00025615i,-0.00088572-0.00039233i
-0.00074073-0.0013326i,-0.00027163-0.00072272i,-0.0008856-0.00069436i,-0.0015651-0.0005758i,-0.001849-0.00047484i,-0.00070555-0.00058172i,0.00042014-2.2801e-05i,0.00038608+0.000334i,-0.0003052+0.00065225i,-0.00083631+0.000908i,-8.521e-05+0.00093633i,0.00056222+0.00092496i,0.00061439+8.9544e-05i,0.0007277-0.0015019i,0.00069349-0.0012806i,0.00040002-0.0003783i,0.00057804-0.00027422i,0.00060195-0.00023743i,0.00043726-0.00024845i,-0.00016533-0.00038538i,-4.3382e-05-0.00030906i,0.00046378+0.00051159i,0.00041079+0.00047353i
4.7425e-05-0.0012528i,-0.00099755-0.00016256i,-0.0021874+0.00055439i,-0.0028054+0.00053834i,-0.0029631+0.00064793i,-0.0013612+0.0011952i,-2.2318e-05+0.00078359i,-0.0006454+0.00022456i,-0.0011678+0.00096172i,-0.00072389+0.0010439i,-0.00027478+0.00042549i,-0.00010164+0.00093113i,0.00071967+0.00087298i,0.0014296+0.00012748i,0.0003954-0.0004084i,0.00025925-0.0011274i,0.00036976-0.0011481i,-0.0011115-0.00046588i,-0.0016986-0.0009764i,-0.0010329-0.0013996i,-0.00029276-0.0010857i,0.00053477-0.00055079i,0.0010266+0.00034258i
0.00062529+0.00087544i,0.00074385-0.00044401i,5.6931e-05-0.00098916i,-0.001201-0.00093589i,-0.0012963-0.00068297i,-0.0006721-0.00037243i,-0.00021579+0.00022522i,5.4646e-05+0.0012223i,1.8603e-05+0.001632i,0.00029739+0.00077188i,0.00065771+0.00049664i,0.00052085+0.00060719i,0.0002396+0.0006355i,0.00022983+0.00066336i,0.00044955+0.00092119i,9.3111e-05+0.0012697i,-0.00056384+0.00078045i,-0.00035913+0.0002788i,-0.00051857+0.00055927i,-0.00071873+0.00068921i,-0.00044965-6.6081e-05i,0.00037011-0.00062499i,0.0010976-0.00032204i
-0.00099327-0.0014404i,-0.0014171-0.0011858i,-0.0021781-0.00047945i,-0.0032274+0.00043613i,-0.0032295+0.0015403i,-0.0018666+0.0021744i,-0.00031312+0.0012408i,0.00037139+0.00057564i,7.0547e-05+0.00049397i,-9.5476e-05+0.0015151i,1.5642e-05+0.0019933i,-0.00021298+0.00076249i,0.00014307+0.00018218i,0.00037378+0.00037085i,9.0028e-05+0.00010753i,0.00028809+0.00015774i,0.00046083-1.4534e-05i,7.6642e-05-0.00011627i,-0.0001734+0.00020148i,-0.0002713+5.4368e-05i,-0.0001352-4.8895e-05i,-4.9751e-05+0.00026241i,-3.886e-05+0.00056514i
-0.001192+0.00082045i,-0.0016355-0.00042713i,-0.0014279-0.00021057i,-0.001164+0.00042098i,-0.0010156+0.00090444i,0.000571+0.00060662i,0.00092867+0.00017613i,-0.00024144+0.00067893i,-0.0011715+0.0014147i,6.6061e-05+0.00087062i,0.00068432+0.00041372i,-9.7418e-05+0.0012328i,-0.00086989+0.0014124i,-0.00092042-1.8159e-05i,-0.00072641-0.0010128i,-0.0004875-0.00074545i,-2.7842e-05+0.00017069i,0.00089652+0.00038161i,0.00087347+0.00024454i,-0.00035235-0.00032754i,-0.0012052-0.00051018i,-0.00076766-0.00092453i,-9.7944e-06-0.0011058i
-0.00087527-0.00077575i,-0.00068174-0.00059391i,-0.0017453+0.00014062i,-0.0029852+0.00014624i,-0.0022779+0.00042597i,-0.00079088+0.00043413i,-0.0006844+0.00034946i,-0.0011949+0.00097042i,-0.00070307+0.00089013i,-0.00017838+0.00080785i,-0.00059445+0.0011781i,-0.0003514+0.0010216i,-7.5843e-06-3.4841e-07i,0.00058408-0.0010117i,0.00080506-0.00050764i,0.00066268+7.0893e-05i,0.00041028+4.2974e-05i,-9.77e-05-0.00019512i,-0.00010125-0.00019326i,0.00046606+4.7393e-05i,0.0011632+0.00069633i,0.00042233+0.00055214i,5.1315e-05-0.00042435i
0.0010261+0.00054765i,-0.00078519+0.00024134i,-0.0013231-0.00081744i,-0.001693-0.001208i,-0.0019064-0.0010084i,-0.0015148-0.00089407i,-0.0008802-0.00020636i,5.4613e-06+0.00079734i,3.5084e-05+0.0011636i,0.00013649+0.00056173i,-0.0002624+6.0624e-05i,-0.0012654+0.00061137i,-0.0012296+0.00094193i,-0.00068932+0.0001587i,-0.00036719+3.6977e-05i,0.0004718+0.00071144i,0.001375+0.00043731i,0.0010893-8.8229e-05i,4.5385e-05-0.0004894i,-0.00060017-0.00070399i,0.0004747-0.00034268i,0.00058144+0.00024934i,-0.00039764-2.7841e-05i
-0.00021472-0.00079822i,-0.0010884-0.001192i,-0.0017834-0.0017843i,-0.0025535-0.0020708i,-0.0019729-0.0012158i,0.00026101+0.00053174i,0.0017126+0.0010769i,0.0018858+0.00099257i,0.00097711+0.0013391i,0.00051046+0.00093318i,0.00023082+0.00075502i,0.00021195+0.0010611i,-0.00017607-1.3316e-05i,-3.6903e-05-0.00037458i,0.00066967+0.00073691i,0.00026933+0.00068429i,-0.0001328+0.00021691i,-0.00031832+0.00028566i,-0.00011952+0.00030808i,-0.00014429+0.00036379i,0.00029271+4.2442e-05i,0.00073678-0.00048301i,-0.00021356-0.00040532i
-0.00077876+0.00037982i,-0.0014049+0.00063121i,-0.0023471+0.00080961i,-0.00393+0.0014624i,-0.0045003+0.0019717i,-0.0022568+0.0013526i,-0.00074813+0.00079715i,-0.0010237+0.00075687i,-0.00069429+0.00094912i,-7.0591e-05+0.0015424i,8.7897e-05+0.0015281i,0.00040737+0.00042274i,-0.00024923-0.0003699i,-0.0012186-0.00057862i,-0.00083378-0.00022999i,-0.00028872+0.00011092i,-0.00025774-0.00019164i,-0.0011597-0.00060436i,-0.0010602-0.00066926i,6.946e-05-0.00046075i,0.00062246-0.00037167i,0.00044187-6.6364e-05i,0.00018171+0.0012735i
0.0013972+0.00079049i,0.0010311+0.00060353i,0.00096205+0.00041275i,0.001675-0.00033128i,0.00069181-0.00038929i,-0.0004632-0.00072526i,-0.00024877-0.00055951i,0.00019844+0.00074111i,-0.00020957+0.0014312i,8.8156e-05+0.0014965i,0.00068125+0.0010956i,0.00048739+0.00047565i,0.00048503+0.00017553i,2.3357e-05+0.00043885i,-0.00021908+0.00030386i,0.00030303-0.00042952i,0.00038784-0.00030353i,-2.9089e-05-9.0793e-05i,0.00026444+0.00023513i,0.00055459+0.00076691i,0.00088483+0.00051332i,0.0005918-0.00012744i,5.7617e-05-0.00038919i
0.00028854-0.00059603i,-0.00070103-0.00061675i,-0.0020311-0.00066851i,-0.0028871-0.0005553i,-0.0026835+0.00035001i,-0.0011046+0.0010944i,0.00020314+0.00058667i,0.00021626+0.00047363i,-0.0007278+0.0010988i,-0.0010383+0.0012002i,-0.00063602+0.0003603i,-0.00050786+0.00050695i,-0.00060949+0.00042847i,-0.00018005-5.5939e-05i,-0.00011608+0.00016394i,-0.00033246+0.00075666i,-0.00088418+0.00087188i,-0.0017029+0.0001113i,-0.00098139-0.00019249i,0.00022589-0.00013207i,-0.00011404+0.00013917i,-0.00034681+0.00035859i,-0.00022743+6.8631e-05i
0.0012106-0.00044183i,-1.0686e-05-0.0011964i,-0.00067509-0.00075875i,-0.0016676-0.00098132i,-0.0021213-0.0012981i,-0.0010646-0.00010279i,-0.00030037+0.00053223i,-2.6092e-05+0.000986i,5.5807e-05+0.0016221i,0.00033384+0.0014377i,0.00018627+0.00075229i,-0.00053346-0.00022067i,-0.00095079-0.0013768i,-0.001099-0.00085931i,-0.00034038+0.00054228i,0.00093772+0.00037188i,0.00062681-0.00032304i,-0.00048205-0.00071287i,-0.00022914-0.00065967i,0.00057338-0.00021641i,0.00053265+0.00055555i,0.00037724+0.00071297i,0.00014281+0.0003884i
0.0010394-0.0011712i,0.00018868-4.1236e-06i,-0.0015342+0.00085799i,-0.0026088-8.1627e-06i,-0.0026173-6.6372e-06i,-0.00093911+0.001484i,-3.5853e-05+0.0015033i,-0.00025198+0.00091612i,-0.00015385+0.0005737i,9.8105e-05+0.00066714i,-0.00012914+0.00069965i,-0.00053962-2.011e-05i,-0.00025713-0.00035419i,-0.00057134-9.3882e-05i,-0.00042106-0.00070554i,0.00042908-0.00093422i,0.00022538-0.00061697i,2.302e-05-0.00050976i,-4.9988e-06-0.00090685i,9.454e-06-0.00039994i,0.00030632+0.00058567i,0.00027363+0.00081929i,-2.7275e-05+0.00069636i
